Orthogroup	Chordata_Vertebrata_Danio_rerio	Cnidaria_Anthozoa_Acropora_digitifera
OG0000018	Danio_rerio_tr_Q2PS19_Q2PS19_DANRE tr|Q2PS19|Q2PS19_DANRE Lysyl oxidase homolog OS=Danio rerio OX=7955 GN=si_ch211-238c15.1 PE=2 SV=1, Danio_rerio_tr_Q6NYT8_Q6NYT8_DANRE tr|Q6NYT8|Q6NYT8_DANRE Lysyl oxidase homolog OS=Danio rerio OX=7955 GN=zgc_77447 PE=2 SV=1	Acropora_digitifera_adi_v1.18502 adi_v1.18502
OG0000019	Danio_rerio_tr_Q1LWW7_Q1LWW7_DANRE tr|Q1LWW7|Q1LWW7_DANRE Bone morphogenetic protein 8A OS=Danio rerio OX=7955 GN=bmp8 PE=3 SV=1, Danio_rerio_tr_Q7T288_Q7T288_DANRE tr|Q7T288|Q7T288_DANRE Bone morphogenetic protein 5 OS=Danio rerio OX=7955 GN=bmp5l PE=2 SV=1, Danio_rerio_tr_Q5CZV5_Q5CZV5_DANRE tr|Q5CZV5|Q5CZV5_DANRE Bmp6 protein OS=Danio rerio OX=7955 GN=zgc_113595 PE=2 SV=1, Danio_rerio_tr_Q9PTF9_Q9PTF9_DANRE tr|Q9PTF9|Q9PTF9_DANRE Bone morphogenetic protein 7 OS=Danio rerio OX=7955 GN=Bmp7 PE=2 SV=1, Danio_rerio_tr_Q08CJ5_Q08CJ5_DANRE tr|Q08CJ5|Q08CJ5_DANRE Bone morphogenetic protein 7 OS=Danio rerio OX=7955 GN=zgc_153025 PE=2 SV=1, Danio_rerio_tr_F1QD07_F1QD07_DANRE tr|F1QD07|F1QD07_DANRE Bone morphogenetic protein 7 isoform X1 OS=Danio rerio OX=7955 GN=zgc_153025 PE=3 SV=1	Acropora_digitifera_adi_v1.07696 adi_v1.07696
OG0000019	Danio_rerio_tr_O57574_O57574_DANRE tr|O57574|O57574_DANRE Bone genetic protein 4 OS=Danio rerio OX=7955 GN=zBMP-4 PE=2 SV=1, Danio_rerio_tr_O13109_O13109_DANRE tr|O13109|O13109_DANRE BMP2 OS=Danio rerio OX=7955 GN=BMP2 PE=2 SV=1, Danio_rerio_tr_O93369_O93369_DANRE tr|O93369|O93369_DANRE Bone morphogenetic protein 2 OS=Danio rerio OX=7955 GN=BMP2b PE=2 SV=1	Acropora_digitifera_adi_v1.01025 adi_v1.01025
OG0000019	Danio_rerio_sp_A8E7N9_GDF6B_DANRE sp|A8E7N9|GDF6B_DANRE Growth/differentiation factor 6-B OS=Danio rerio OX=7955 GN=gdf6b PE=2 SV=1, Danio_rerio_sp_P85857_GDF6A_DANRE sp|P85857|GDF6A_DANRE Growth/differentiation factor 6-A OS=Danio rerio OX=7955 GN=gdf6a PE=1 SV=1, Danio_rerio_tr_F1QK08_F1QK08_DANRE tr|F1QK08|F1QK08_DANRE Growth differentiation factor 5 OS=Danio rerio OX=7955 GN=gdf5 PE=3 SV=1, Danio_rerio_tr_A0JML2_A0JML2_DANRE tr|A0JML2|A0JML2_DANRE Bone morphogenetic protein 3 OS=Danio rerio OX=7955 GN=zgc_153939 PE=2 SV=1, Danio_rerio_tr_D2CN89_D2CN89_DANRE tr|D2CN89|D2CN89_DANRE BMP3b OS=Danio rerio OX=7955 GN=bmp3b PE=2 SV=1, Danio_rerio_tr_B8A5X9_B8A5X9_DANRE tr|B8A5X9|B8A5X9_DANRE Growth differentiation factor 10a OS=Danio rerio OX=7955 GN=gdf10a PE=3 SV=1	Acropora_digitifera_adi_v1.07728 adi_v1.07728
OG0000019	Danio_rerio_tr_Q58FS4_Q58FS4_DANRE tr|Q58FS4|Q58FS4_DANRE Bone morphogenetic protein 15 precursor OS=Danio rerio OX=7955 GN=wu_fi35a05 PE=2 SV=1, Danio_rerio_tr_Q5MD90_Q5MD90_DANRE tr|Q5MD90|Q5MD90_DANRE Growth and differentiation factor 9 OS=Danio rerio OX=7955 GN=zgc_123030 PE=2 SV=1	Acropora_digitifera_adi_v1.02299 adi_v1.02299
OG0000020	Danio_rerio_tr_F1R5X4_F1R5X4_DANRE tr|F1R5X4|F1R5X4_DANRE Collagen alpha-2_XI_ chain isoform X6 OS=Danio rerio OX=7955 GN=col11a1 PE=1 SV=2, Danio_rerio_tr_A0A8M1P8Y1_A0A8M1P8Y1_DANRE tr|A0A8M1P8Y1|A0A8M1P8Y1_DANRE Collagen alpha-2_XI_ chain isoform 2 precursor OS=Danio rerio OX=7955 GN=col11a1 PE=1 SV=1, Danio_rerio_tr_A0A8M1NB54_A0A8M1NB54_DANRE tr|A0A8M1NB54|A0A8M1NB54_DANRE Collagen alpha-2_XI_ chain isoform 1 precursor OS=Danio rerio OX=7955 GN=col11a1 PE=1 SV=1, Danio_rerio_tr_D6MUD3_D6MUD3_DANRE tr|D6MUD3|D6MUD3_DANRE Collagen alpha-1_XI_ chain OS=Danio rerio OX=7955 GN=COL11A1b PE=2 SV=1, Danio_rerio_tr_F1QSJ2_F1QSJ2_DANRE tr|F1QSJ2|F1QSJ2_DANRE Collagen alpha-1_XI_ chain isoform X2 OS=Danio rerio OX=7955 GN=wu_fb34e11 PE=1 SV=2, Danio_rerio_tr_A2RUX5_A2RUX5_DANRE tr|A2RUX5|A2RUX5_DANRE Collagen alpha-1_XI_ chain OS=Danio rerio OX=7955 GN=zgc_158335 PE=1 SV=1, Danio_rerio_tr_D6MUD6_D6MUD6_DANRE tr|D6MUD6|D6MUD6_DANRE Collagen alpha-3_V_ chain precursor OS=Danio rerio OX=7955 GN=COL5A3a PE=1 SV=1, Danio_rerio_tr_D6MUD7_D6MUD7_DANRE tr|D6MUD7|D6MUD7_DANRE Collagen type V alpha-3b OS=Danio rerio OX=7955 GN=COL5A3b PE=1 SV=1	Acropora_digitifera_adi_v1.07215 adi_v1.07215
OG0000020	Danio_rerio_tr_Q2LDA1_Q2LDA1_DANRE tr|Q2LDA1|Q2LDA1_DANRE Collagen alpha-1_II_ chain precursor OS=Danio rerio OX=7955 GN=col2a1 PE=1 SV=1, Danio_rerio_tr_B3DLK0_B3DLK0_DANRE tr|B3DLK0|B3DLK0_DANRE Col2a1a protein OS=Danio rerio OX=7955 GN=col2a1 PE=1 SV=1, Danio_rerio_tr_L0S5L0_L0S5L0_DANRE tr|L0S5L0|L0S5L0_DANRE Collagen type II_ alpha-1b OS=Danio rerio OX=7955 GN=im_6788778 PE=2 SV=1, Danio_rerio_tr_Q6PEI9_Q6PEI9_DANRE tr|Q6PEI9|Q6PEI9_DANRE Collagen_ type I_ alpha 1b precursor OS=Danio rerio OX=7955 GN=col1a3 PE=1 SV=1, Danio_rerio_tr_Q6U1J5_Q6U1J5_DANRE tr|Q6U1J5|Q6U1J5_DANRE Chihuahua OS=Danio rerio OX=7955 GN=chi PE=1 SV=1, Danio_rerio_tr_Q6IQX2_Q6IQX2_DANRE tr|Q6IQX2|Q6IQX2_DANRE Collagen alpha-2_I_ chain precursor OS=Danio rerio OX=7955 GN=alpha2_I_ PE=1 SV=1, Danio_rerio_tr_E7FE47_E7FE47_DANRE tr|E7FE47|E7FE47_DANRE Collagen alpha-2_V_ chain OS=Danio rerio OX=7955 GN=col5a2b PE=4 SV=1	Acropora_digitifera_adi_v1.23219 adi_v1.23219, Acropora_digitifera_adi_v1.23748 adi_v1.23748, Acropora_digitifera_adi_v1.04537 adi_v1.04537, Acropora_digitifera_adi_v1.23610 adi_v1.23610, Acropora_digitifera_adi_v1.00434 adi_v1.00434, Acropora_digitifera_adi_v1.10005 adi_v1.10005
OG0000021	Danio_rerio_tr_F1RAG3_F1RAG3_DANRE tr|F1RAG3|F1RAG3_DANRE Nidogen 1a OS=Danio rerio OX=7955 GN=nid1a PE=1 SV=2	Acropora_digitifera_adi_v1.16464 adi_v1.16464, Acropora_digitifera_adi_v1.16465 adi_v1.16465
OG0000023	Danio_rerio_tr_Q7ZYZ9_Q7ZYZ9_DANRE tr|Q7ZYZ9|Q7ZYZ9_DANRE A disintegrin and metalloproteinase domain 8a OS=Danio rerio OX=7955 GN=zgc_64059 PE=2 SV=2, Danio_rerio_tr_E7F6J8_E7F6J8_DANRE tr|E7F6J8|E7F6J8_DANRE ADAM metallopeptidase domain 8b OS=Danio rerio OX=7955 GN=adam8b PE=4 SV=1, Danio_rerio_tr_Q08C21_Q08C21_DANRE tr|Q08C21|Q08C21_DANRE A disintegrin and metallopeptidase domain 28 OS=Danio rerio OX=7955 GN=zgc_153755 PE=2 SV=1, Danio_rerio_tr_Q66IC3_Q66IC3_DANRE tr|Q66IC3|Q66IC3_DANRE A disintegrin and metalloproteinase domain 9 OS=Danio rerio OX=7955 GN=zgc_101824 PE=2 SV=1, Danio_rerio_tr_A0A0R4INJ8_A0A0R4INJ8_DANRE tr|A0A0R4INJ8|A0A0R4INJ8_DANRE ADAM metallopeptidase domain 12 OS=Danio rerio OX=7955 GN=adam12 PE=4 SV=2, Danio_rerio_tr_F1Q4N9_F1Q4N9_DANRE tr|F1Q4N9|F1Q4N9_DANRE ADAM metallopeptidase domain 19b OS=Danio rerio OX=7955 GN=adam19b PE=4 SV=2, Danio_rerio_tr_E7FGJ0_E7FGJ0_DANRE tr|E7FGJ0|E7FGJ0_DANRE ADAM metallopeptidase domain 15 OS=Danio rerio OX=7955 GN=adam15 PE=4 SV=1, Danio_rerio_tr_F8W3T1_F8W3T1_DANRE tr|F8W3T1|F8W3T1_DANRE ADAM metallopeptidase domain 23a OS=Danio rerio OX=7955 GN=adam23a PE=4 SV=1, Danio_rerio_tr_F1QF43_F1QF43_DANRE tr|F1QF43|F1QF43_DANRE ADAM metallopeptidase domain 22 OS=Danio rerio OX=7955 GN=adam22 PE=4 SV=1, Danio_rerio_tr_E7F698_E7F698_DANRE tr|E7F698|E7F698_DANRE ADAM metallopeptidase domain 11 OS=Danio rerio OX=7955 GN=adam11 PE=4 SV=1	Acropora_digitifera_adi_v1.19445 adi_v1.19445
OG0000024	Danio_rerio_tr_A0A0R4IMY5_A0A0R4IMY5_DANRE tr|A0A0R4IMY5|A0A0R4IMY5_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 3 OS=Danio rerio OX=7955 GN=im_7139568 PE=4 SV=2, Danio_rerio_tr_F1RAX3_F1RAX3_DANRE tr|F1RAX3|F1RAX3_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 3 OS=Danio rerio OX=7955 GN=im_7139568 PE=4 SV=2, Danio_rerio_tr_E7F9M2_E7F9M2_DANRE tr|E7F9M2|E7F9M2_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 1 OS=Danio rerio OX=7955 GN=spock1 PE=4 SV=3	Acropora_digitifera_adi_v1.21193 adi_v1.21193
OG0000030	Danio_rerio_tr_Q6PFU9_Q6PFU9_DANRE tr|Q6PFU9|Q6PFU9_DANRE A disintegrin and metalloproteinase domain 17a OS=Danio rerio OX=7955 GN=fc20b01 PE=2 SV=1, Danio_rerio_tr_U3JAD1_U3JAD1_DANRE tr|U3JAD1|U3JAD1_DANRE ADAM metallopeptidase domain 17b OS=Danio rerio OX=7955 GN=adam17b PE=4 SV=1	Acropora_digitifera_adi_v1.13106 adi_v1.13106
OG0000030	Danio_rerio_tr_F1RA88_F1RA88_DANRE tr|F1RA88|F1RA88_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=3, Danio_rerio_tr_A0A0R4IVX1_A0A0R4IVX1_DANRE tr|A0A0R4IVX1|A0A0R4IVX1_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=2	Acropora_digitifera_adi_v1.02168 adi_v1.02168, Acropora_digitifera_adi_v1.09623 adi_v1.09623
OG0000033	Danio_rerio_tr_Q6AXL0_Q6AXL0_DANRE tr|Q6AXL0|Q6AXL0_DANRE Collagen triple helix repeat containing 1a OS=Danio rerio OX=7955 GN=zgc_101075 PE=2 SV=1	Acropora_digitifera_adi_v1.07578 adi_v1.07578, Acropora_digitifera_adi_v1.18539 adi_v1.18539, Acropora_digitifera_adi_v1.16436 adi_v1.16436, Acropora_digitifera_adi_v1.08950 adi_v1.08950, Acropora_digitifera_adi_v1.12445 adi_v1.12445, Acropora_digitifera_adi_v1.06458 adi_v1.06458, Acropora_digitifera_adi_v1.08949 adi_v1.08949, Acropora_digitifera_adi_v1.12446 adi_v1.12446, Acropora_digitifera_adi_v1.12447 adi_v1.12447, Acropora_digitifera_adi_v1.02615 adi_v1.02615, Acropora_digitifera_adi_v1.06456 adi_v1.06456, Acropora_digitifera_adi_v1.18540 adi_v1.18540, Acropora_digitifera_adi_v1.06457 adi_v1.06457, Acropora_digitifera_adi_v1.02616 adi_v1.02616, Acropora_digitifera_adi_v1.08953 adi_v1.08953, Acropora_digitifera_adi_v1.08952 adi_v1.08952, Acropora_digitifera_adi_v1.06455 adi_v1.06455
OG0000034	Danio_rerio_tr_F1QBZ9_F1QBZ9_DANRE tr|F1QBZ9|F1QBZ9_DANRE Multiple EGF-like-domains 8 OS=Danio rerio OX=7955 GN=megf8 PE=4 SV=2	Acropora_digitifera_adi_v1.13495 adi_v1.13495
OG0000035	Danio_rerio_tr_A4QP32_A4QP32_DANRE tr|A4QP32|A4QP32_DANRE Mfge8l protein OS=Danio rerio OX=7955 GN=mfge8l PE=2 SV=1, Danio_rerio_tr_A2RRT1_A2RRT1_DANRE tr|A2RRT1|A2RRT1_DANRE Milk fat globule EGF and factor V/VIII domain-containing b OS=Danio rerio OX=7955 GN=mfge8 PE=1 SV=1, Danio_rerio_tr_F1Q6J1_F1Q6J1_DANRE tr|F1Q6J1|F1Q6J1_DANRE EGF-like repeat and discoidin I-like domain-containing protein 3 isoform X1 OS=Danio rerio OX=7955 GN=edil3b PE=4 SV=3, Danio_rerio_tr_A0A0R4IMA9_A0A0R4IMA9_DANRE tr|A0A0R4IMA9|A0A0R4IMA9_DANRE EGF-like repeat and discoidin I-like domain-containing protein 3 isoform X1 OS=Danio rerio OX=7955 GN=edil3a PE=4 SV=1	Acropora_digitifera_adi_v1.01269 adi_v1.01269, Acropora_digitifera_adi_v1.00036 adi_v1.00036, Acropora_digitifera_adi_v1.22626 adi_v1.22626, Acropora_digitifera_adi_v1.02763 adi_v1.02763, Acropora_digitifera_adi_v1.22961 adi_v1.22961, Acropora_digitifera_adi_v1.02263 adi_v1.02263, Acropora_digitifera_adi_v1.00783 adi_v1.00783
OG0000036	Danio_rerio_tr_Q1RLZ3_Q1RLZ3_DANRE tr|Q1RLZ3|Q1RLZ3_DANRE EGF-like-domain_ multiple 7 OS=Danio rerio OX=7955 GN=zgc_136669 PE=2 SV=1, Danio_rerio_tr_Q6DHG1_Q6DHG1_DANRE tr|Q6DHG1|Q6DHG1_DANRE EGF-like-domain_ multiple 6 OS=Danio rerio OX=7955 GN=cb3 PE=2 SV=1, Danio_rerio_tr_B8A5G4_B8A5G4_DANRE tr|B8A5G4|B8A5G4_DANRE Nephronectin a OS=Danio rerio OX=7955 GN=POEM PE=3 SV=1	Acropora_digitifera_adi_v1.11172 adi_v1.11172
OG0000037	Danio_rerio_tr_A0A0R4IPF4_A0A0R4IPF4_DANRE tr|A0A0R4IPF4|A0A0R4IPF4_DANRE Periostin isoform X2 OS=Danio rerio OX=7955 GN=fa99h07 PE=1 SV=2, Danio_rerio_tr_A0A0R4IS83_A0A0R4IS83_DANRE tr|A0A0R4IS83|A0A0R4IS83_DANRE Periostin isoform X1 OS=Danio rerio OX=7955 GN=fa99h07 PE=1 SV=1, Danio_rerio_tr_Q75U66_Q75U66_DANRE tr|Q75U66|Q75U66_DANRE Periostin OS=Danio rerio OX=7955 GN=postn PE=1 SV=1, Danio_rerio_tr_A0A0R4INY2_A0A0R4INY2_DANRE tr|A0A0R4INY2|A0A0R4INY2_DANRE Periostin isoform X5 OS=Danio rerio OX=7955 GN=fa99h07 PE=1 SV=1, Danio_rerio_tr_A0JMK0_A0JMK0_DANRE tr|A0JMK0|A0JMK0_DANRE Periostin isoform 1 precursor OS=Danio rerio OX=7955 GN=postn PE=1 SV=1, Danio_rerio_tr_Q7T1R2_Q7T1R2_DANRE tr|Q7T1R2|Q7T1R2_DANRE Beta ig-h3 OS=Danio rerio OX=7955 GN=BIGH3 PE=1 SV=1	Acropora_digitifera_adi_v1.12940 adi_v1.12940, Acropora_digitifera_adi_v1.22657 adi_v1.22657
OG0000038	Danio_rerio_tr_E7FBC0_E7FBC0_DANRE tr|E7FBC0|E7FBC0_DANRE Light OS=Danio rerio OX=7955 GN=light PE=2 SV=1, Danio_rerio_tr_B0YIF1_B0YIF1_DANRE tr|B0YIF1|B0YIF1_DANRE Ectodysplasin OS=Danio rerio OX=7955 GN=si_ch73-223d24.5 PE=2 SV=1, Danio_rerio_tr_A8WG11_A8WG11_DANRE tr|A8WG11|A8WG11_DANRE TNF superfamily member 13b-like protein OS=Danio rerio OX=7955 GN=tnfsf13b PE=2 SV=1, Danio_rerio_tr_D2DMJ8_D2DMJ8_DANRE tr|D2DMJ8|D2DMJ8_DANRE A proliferation-inducing ligand-like protein OS=Danio rerio OX=7955 GN=april PE=2 SV=1	Acropora_digitifera_adi_v1.19171 adi_v1.19171
OG0000038	Danio_rerio_tr_Q1L8A5_Q1L8A5_DANRE tr|Q1L8A5|Q1L8A5_DANRE Lymphotoxin-alpha OS=Danio rerio OX=7955 GN=tnfa PE=1 SV=1, Danio_rerio_tr_Q08CQ3_Q08CQ3_DANRE tr|Q08CQ3|Q08CQ3_DANRE Lymphotoxin-alpha OS=Danio rerio OX=7955 GN=tnfa PE=2 SV=1, Danio_rerio_tr_Q0PKX7_Q0PKX7_DANRE tr|Q0PKX7|Q0PKX7_DANRE Fas ligand OS=Danio rerio OX=7955 GN=fasl PE=2 SV=1, Danio_rerio_tr_E7F3U1_E7F3U1_DANRE tr|E7F3U1|E7F3U1_DANRE TNF superfamily member 11 OS=Danio rerio OX=7955 GN=tnfsf11 PE=3 SV=1, Danio_rerio_tr_Q7ZYX9_Q7ZYX9_DANRE tr|Q7ZYX9|Q7ZYX9_DANRE TNF superfamily member 10_ like OS=Danio rerio OX=7955 GN=wu_fc12f06 PE=2 SV=1, Danio_rerio_tr_Q6DHG9_Q6DHG9_DANRE tr|Q6DHG9|Q6DHG9_DANRE TNF superfamily member 10 OS=Danio rerio OX=7955 GN=tnfsf10l2 PE=2 SV=1	Acropora_digitifera_adi_v1.19173 adi_v1.19173, Acropora_digitifera_adi_v1.19174 adi_v1.19174, Acropora_digitifera_adi_v1.19172 adi_v1.19172
OG0000040	Danio_rerio_tr_Q08CJ3_Q08CJ3_DANRE tr|Q08CJ3|Q08CJ3_DANRE Endothelial cell-specific molecule 1 precursor OS=Danio rerio OX=7955 GN=zgc_153027 PE=2 SV=1, Danio_rerio_tr_B0V1B1_B0V1B1_DANRE tr|B0V1B1|B0V1B1_DANRE Kazal-type serine peptidase inhibitor domain 3 OS=Danio rerio OX=7955 GN=im_7144240 PE=4 SV=1, Danio_rerio_tr_Q6NW92_Q6NW92_DANRE tr|Q6NW92|Q6NW92_DANRE Insulin-like growth factor-binding protein 7 precursor OS=Danio rerio OX=7955 GN=zgc_85888 PE=1 SV=1	Acropora_digitifera_adi_v1.09775 adi_v1.09775
OG0000044	Danio_rerio_tr_Q66L63_Q66L63_DANRE tr|Q66L63|Q66L63_DANRE Protein-glutamine gamma-glutamyltransferase 2 OS=Danio rerio OX=7955 GN=tgm2 PE=2 SV=1, Danio_rerio_tr_Q1ECX3_Q1ECX3_DANRE tr|Q1ECX3|Q1ECX3_DANRE Protein-glutamine gamma-glutamyltransferase 2 OS=Danio rerio OX=7955 GN=TGM2 PE=1 SV=1, Danio_rerio_tr_A0A0R4IGK8_A0A0R4IGK8_DANRE tr|A0A0R4IGK8|A0A0R4IGK8_DANRE Transglutaminase 5_-like OS=Danio rerio OX=7955 GN=si_ch1073-277p6.1 PE=3 SV=2, Danio_rerio_tr_F1QC84_F1QC84_DANRE tr|F1QC84|F1QC84_DANRE Coagulation factor XIII_ A1 polypeptide a_ tandem duplicate 1 OS=Danio rerio OX=7955 GN=f13a1a.1 PE=1 SV=1, Danio_rerio_tr_Q08CA3_Q08CA3_DANRE tr|Q08CA3|Q08CA3_DANRE Coagulation factor XIII A chain OS=Danio rerio OX=7955 GN=f13a1 PE=1 SV=1, Danio_rerio_tr_Q4V9H9_Q4V9H9_DANRE tr|Q4V9H9|Q4V9H9_DANRE Transglutaminase 1 OS=Danio rerio OX=7955 GN=tgm1l4 PE=1 SV=1	Acropora_digitifera_adi_v1.17869 adi_v1.17869, Acropora_digitifera_adi_v1.01279 adi_v1.01279, Acropora_digitifera_adi_v1.01276 adi_v1.01276, Acropora_digitifera_adi_v1.01277 adi_v1.01277
OG0000045	Danio_rerio_tr_Q2Q1W5_Q2Q1W5_DANRE tr|Q2Q1W5|Q2Q1W5_DANRE Laminin alpha 5 OS=Danio rerio OX=7955 GN=wu_fb81a10 PE=1 SV=1	Acropora_digitifera_adi_v1.10227 adi_v1.10227, Acropora_digitifera_adi_v1.09586 adi_v1.09586, Acropora_digitifera_adi_v1.17109 adi_v1.17109
OG0000045	Danio_rerio_tr_Q2TJF5_Q2TJF5_DANRE tr|Q2TJF5|Q2TJF5_DANRE Laminin alpha 4 OS=Danio rerio OX=7955 GN=si_busm1-189a20.2 PE=1 SV=1	Acropora_digitifera_adi_v1.23198 adi_v1.23198
OG0000049	Danio_rerio_tr_A8IYK2_A8IYK2_DANRE tr|A8IYK2|A8IYK2_DANRE Plexin-A1 OS=Danio rerio OX=7955 GN=plxna1 PE=1 SV=1, Danio_rerio_sp_B0S5N4_PLXA3_DANRE sp|B0S5N4|PLXA3_DANRE Plexin A3 OS=Danio rerio OX=7955 GN=plxna3 PE=2 SV=2, Danio_rerio_tr_B3DK42_B3DK42_DANRE tr|B3DK42|B3DK42_DANRE Plexin A4 OS=Danio rerio OX=7955 GN=plxna4 PE=2 SV=1, Danio_rerio_sp_Q6BEA0_PLXA4_DANRE sp|Q6BEA0|PLXA4_DANRE Plexin-A4 OS=Danio rerio OX=7955 GN=plxna4 PE=2 SV=1, Danio_rerio_tr_T1ECS6_T1ECS6_DANRE tr|T1ECS6|T1ECS6_DANRE Plexin-A4 OS=Danio rerio OX=7955 GN=D204 PE=1 SV=1, Danio_rerio_tr_F1Q7U0_F1Q7U0_DANRE tr|F1Q7U0|F1Q7U0_DANRE Plexin b1b OS=Danio rerio OX=7955 GN=plxnb1b PE=1 SV=1, Danio_rerio_tr_A0A8M3B4P7_A0A8M3B4P7_DANRE tr|A0A8M3B4P7|A0A8M3B4P7_DANRE Plexin-B3 OS=Danio rerio OX=7955 GN=plxnb3 PE=1 SV=1, Danio_rerio_tr_E3NZJ2_E3NZJ2_DANRE tr|E3NZJ2|E3NZJ2_DANRE Plexin B2b short isoform OS=Danio rerio OX=7955 GN=plxnb2b PE=2 SV=1, Danio_rerio_tr_F1QBC0_F1QBC0_DANRE tr|F1QBC0|F1QBC0_DANRE Plexin b2a OS=Danio rerio OX=7955 GN=fk37b01 PE=1 SV=3, Danio_rerio_tr_C5H5I1_C5H5I1_DANRE tr|C5H5I1|C5H5I1_DANRE Plexin B2 OS=Danio rerio OX=7955 GN=plxnB2 PE=1 SV=1, Danio_rerio_tr_Q6DSU3_Q6DSU3_DANRE tr|Q6DSU3|Q6DSU3_DANRE Plexin D1 OS=Danio rerio OX=7955 GN=zgc_77379 PE=1 SV=1, Danio_rerio_tr_Q5RGW1_Q5RGW1_DANRE tr|Q5RGW1|Q5RGW1_DANRE Plexin C1 _Fragment_ OS=Danio rerio OX=7955 GN=plxnc1 PE=1 SV=3	Acropora_digitifera_adi_v1.00526 adi_v1.00526
OG0000059	Danio_rerio_tr_F1R0I7_F1R0I7_DANRE tr|F1R0I7|F1R0I7_DANRE Scube3 OS=Danio rerio OX=7955 GN=scube3 PE=2 SV=3, Danio_rerio_tr_A0A0R4IBT9_A0A0R4IBT9_DANRE tr|A0A0R4IBT9|A0A0R4IBT9_DANRE Signal peptide_ CUB and EGF-like domain-containing protein 1 isoform 2 precursor OS=Danio rerio OX=7955 GN=im_7427863 PE=4 SV=1, Danio_rerio_sp_Q5G872_SCUB2_DANRE sp|Q5G872|SCUB2_DANRE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Danio rerio OX=7955 GN=scube2 PE=2 SV=1, Danio_rerio_tr_A0A0B5JWE1_A0A0B5JWE1_DANRE tr|A0A0B5JWE1|A0A0B5JWE1_DANRE Scube2 _Fragment_ OS=Danio rerio OX=7955 GN=scube2 PE=2 SV=1	Acropora_digitifera_adi_v1.03807 adi_v1.03807, Acropora_digitifera_adi_v1.22370 adi_v1.22370
OG0000063	Danio_rerio_tr_Q6DBX7_Q6DBX7_DANRE tr|Q6DBX7|Q6DBX7_DANRE Hedgehog protein OS=Danio rerio OX=7955 GN=twh PE=2 SV=1, Danio_rerio_sp_Q90419_TWHH_DANRE sp|Q90419|TWHH_DANRE Tiggy-winkle hedgehog protein OS=Danio rerio OX=7955 GN=shhb PE=1 SV=1, Danio_rerio_tr_Q1MTB5_Q1MTB5_DANRE tr|Q1MTB5|Q1MTB5_DANRE Hedgehog protein OS=Danio rerio OX=7955 GN=shha PE=2 SV=1, Danio_rerio_sp_Q92008_SHH_DANRE sp|Q92008|SHH_DANRE Sonic hedgehog protein OS=Danio rerio OX=7955 GN=shha PE=1 SV=1, Danio_rerio_sp_Q98862_IHH_DANRE sp|Q98862|IHH_DANRE Indian hedgehog B protein OS=Danio rerio OX=7955 GN=ihhb PE=2 SV=1, Danio_rerio_tr_F1QTR5_F1QTR5_DANRE tr|F1QTR5|F1QTR5_DANRE Indian hedgehog B protein OS=Danio rerio OX=7955 GN=IHH PE=4 SV=2, Danio_rerio_tr_A3KNS3_A3KNS3_DANRE tr|A3KNS3|A3KNS3_DANRE Hedgehog protein OS=Danio rerio OX=7955 GN=hha PE=2 SV=1, Danio_rerio_tr_Q4PLX3_Q4PLX3_DANRE tr|Q4PLX3|Q4PLX3_DANRE Hedgehog protein OS=Danio rerio OX=7955 GN=dhh PE=2 SV=1, Danio_rerio_tr_F6NTL6_F6NTL6_DANRE tr|F6NTL6|F6NTL6_DANRE Hedgehog protein OS=Danio rerio OX=7955 GN=dhh PE=2 SV=1	Acropora_digitifera_adi_v1.13405 adi_v1.13405, Acropora_digitifera_adi_v1.14406 adi_v1.14406
OG0000064	Danio_rerio_tr_B6CS38_B6CS38_DANRE tr|B6CS38|B6CS38_DANRE Fibrillin 2 OS=Danio rerio OX=7955 GN=fbn2 PE=1 SV=1, Danio_rerio_tr_A0A0G2KQ62_A0A0G2KQ62_DANRE tr|A0A0G2KQ62|A0A0G2KQ62_DANRE Fibrillin 2b OS=Danio rerio OX=7955 GN=fbn2 PE=1 SV=2	Acropora_digitifera_adi_v1.06463 adi_v1.06463, Acropora_digitifera_adi_v1.10842 adi_v1.10842
OG0000065	Danio_rerio_tr_V5NES1_V5NES1_DANRE tr|V5NES1|V5NES1_DANRE Glypican 5a OS=Danio rerio OX=7955 GN=Gpc5a PE=2 SV=1, Danio_rerio_sp_Q6V9Y8_GPC3_DANRE sp|Q6V9Y8|GPC3_DANRE Glypican-3 OS=Danio rerio OX=7955 GN=gpc3 PE=1 SV=1, Danio_rerio_tr_V5NF21_V5NF21_DANRE tr|V5NF21|V5NF21_DANRE Glypican 5b OS=Danio rerio OX=7955 GN=Gpc5b PE=2 SV=1	Acropora_digitifera_adi_v1.01898 adi_v1.01898, Acropora_digitifera_adi_v1.06117 adi_v1.06117, Acropora_digitifera_adi_v1.06118 adi_v1.06118
