Orthogroup	Chordata_Vertebrata_Danio_rerio	Ctenophora_Tentaculata_Mnemiopsis_leidyi
OG0000078	Danio_rerio_tr_B8A4C9_B8A4C9_DANRE tr|B8A4C9|B8A4C9_DANRE Cystatin C _amyloid angiopathy and cerebral hemorrhage_ OS=Danio rerio OX=7955 GN=fb51d07 PE=4 SV=1	Mnemiopsis_leidyi_ML09791a ML09791a
OG0000081	Danio_rerio_sp_Q7SXF6_CREL2_DANRE sp|Q7SXF6|CREL2_DANRE Cysteine-rich with EGF-like domain protein 2 OS=Danio rerio OX=7955 GN=creld2 PE=2 SV=2	Mnemiopsis_leidyi_ML082317a ML082317a, Mnemiopsis_leidyi_ML056914a ML056914a
OG0000114	Danio_rerio_tr_X1WCP5_X1WCP5_DANRE tr|X1WCP5|X1WCP5_DANRE Host cell factor 2 OS=Danio rerio OX=7955 GN=si_ch73-376i21.2 PE=4 SV=1	Mnemiopsis_leidyi_ML082712a ML082712a
OG0000148	Danio_rerio_tr_Q66I23_Q66I23_DANRE tr|Q66I23|Q66I23_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=zgc_92058 PE=2 SV=1, Danio_rerio_tr_A0A8M9QGK2_A0A8M9QGK2_DANRE tr|A0A8M9QGK2|A0A8M9QGK2_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=tgfb2l PE=3 SV=1, Danio_rerio_tr_Q7SZV4_Q7SZV4_DANRE tr|Q7SZV4|Q7SZV4_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=tgfb2 PE=2 SV=1, Danio_rerio_tr_Q7ZZU7_Q7ZZU7_DANRE tr|Q7ZZU7|Q7ZZU7_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=xx_ai39657 PE=2 SV=1, Danio_rerio_tr_E9QHW0_E9QHW0_DANRE tr|E9QHW0|E9QHW0_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=tgfb1b PE=3 SV=1	Mnemiopsis_leidyi_ML048212a ML048212a
OG0000156	Danio_rerio_tr_Q7ZTX7_Q7ZTX7_DANRE tr|Q7ZTX7|Q7ZTX7_DANRE Microfibrillar-associated protein 1 OS=Danio rerio OX=7955 GN=zgc_56551 PE=1 SV=1	Mnemiopsis_leidyi_ML000712a ML000712a
OG0000157	Danio_rerio_tr_A0A0R4IQJ3_A0A0R4IQJ3_DANRE tr|A0A0R4IQJ3|A0A0R4IQJ3_DANRE Extracellular matrix protein FRAS1 isoform X1 OS=Danio rerio OX=7955 GN=id_ibd5080 PE=1 SV=2, Danio_rerio_tr_F1Q633_F1Q633_DANRE tr|F1Q633|F1Q633_DANRE Extracellular matrix protein FRAS1 OS=Danio rerio OX=7955 GN=id_ibd5080 PE=1 SV=1, Danio_rerio_tr_F1R2T2_F1R2T2_DANRE tr|F1R2T2|F1R2T2_DANRE Fras-related extracellular matrix protein 1b isoform X1 OS=Danio rerio OX=7955 GN=si_ch211-219p7.1 PE=3 SV=3, Danio_rerio_tr_B6IDE5_B6IDE5_DANRE tr|B6IDE5|B6IDE5_DANRE Fras-related extracellular matrix protein 1b precursor OS=Danio rerio OX=7955 GN=si_ch211-219p7.1 PE=2 SV=1, Danio_rerio_tr_D7PS89_D7PS89_DANRE tr|D7PS89|D7PS89_DANRE FRAS1-related extracellular matrix protein 1 precursor OS=Danio rerio OX=7955 GN=rfl PE=2 SV=1	Mnemiopsis_leidyi_ML01552a ML01552a
OG0000171	Danio_rerio_sp_Q503I8_NGLY1_DANRE sp|Q503I8|NGLY1_DANRE Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Danio rerio OX=7955 GN=ngly1 PE=2 SV=1, Danio_rerio_tr_B2GSS9_B2GSS9_DANRE tr|B2GSS9|B2GSS9_DANRE Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Danio rerio OX=7955 GN=zgc_110561 PE=2 SV=1	Mnemiopsis_leidyi_ML104332a ML104332a
OG0000202	Danio_rerio_sp_Q7T3Q2_CRIM1_DANRE sp|Q7T3Q2|CRIM1_DANRE Cysteine-rich motor neuron 1 protein OS=Danio rerio OX=7955 GN=crim1 PE=2 SV=1	Mnemiopsis_leidyi_ML161335a ML161335a
OG0000214	Danio_rerio_tr_Q7ZUK5_Q7ZUK5_DANRE tr|Q7ZUK5|Q7ZUK5_DANRE Integrator complex subunit 14 OS=Danio rerio OX=7955 GN=zgc_55794 PE=1 SV=1, Danio_rerio_tr_Q1LWK5_Q1LWK5_DANRE tr|Q1LWK5|Q1LWK5_DANRE Integrator complex subunit 14 OS=Danio rerio OX=7955 GN=fi19c12 PE=1 SV=1	Mnemiopsis_leidyi_ML43434a ML43434a
OG0000394	Danio_rerio_tr_Q6IQH0_Q6IQH0_DANRE tr|Q6IQH0|Q6IQH0_DANRE SPARC OS=Danio rerio OX=7955 GN=hm_zeh0062 PE=1 SV=1, Danio_rerio_tr_B3DJ32_B3DJ32_DANRE tr|B3DJ32|B3DJ32_DANRE SPARC-like 1 OS=Danio rerio OX=7955 GN=sparcl PE=2 SV=1	Mnemiopsis_leidyi_ML10224a ML10224a
