Orthogroup	Chordata_Vertebrata_Danio_rerio	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000023	Danio_rerio_tr_Q7ZYZ9_Q7ZYZ9_DANRE tr|Q7ZYZ9|Q7ZYZ9_DANRE A disintegrin and metalloproteinase domain 8a OS=Danio rerio OX=7955 GN=zgc_64059 PE=2 SV=2, Danio_rerio_tr_E7F6J8_E7F6J8_DANRE tr|E7F6J8|E7F6J8_DANRE ADAM metallopeptidase domain 8b OS=Danio rerio OX=7955 GN=adam8b PE=4 SV=1, Danio_rerio_tr_Q08C21_Q08C21_DANRE tr|Q08C21|Q08C21_DANRE A disintegrin and metallopeptidase domain 28 OS=Danio rerio OX=7955 GN=zgc_153755 PE=2 SV=1, Danio_rerio_tr_Q66IC3_Q66IC3_DANRE tr|Q66IC3|Q66IC3_DANRE A disintegrin and metalloproteinase domain 9 OS=Danio rerio OX=7955 GN=zgc_101824 PE=2 SV=1, Danio_rerio_tr_A0A0R4INJ8_A0A0R4INJ8_DANRE tr|A0A0R4INJ8|A0A0R4INJ8_DANRE ADAM metallopeptidase domain 12 OS=Danio rerio OX=7955 GN=adam12 PE=4 SV=2, Danio_rerio_tr_F1Q4N9_F1Q4N9_DANRE tr|F1Q4N9|F1Q4N9_DANRE ADAM metallopeptidase domain 19b OS=Danio rerio OX=7955 GN=adam19b PE=4 SV=2, Danio_rerio_tr_E7FGJ0_E7FGJ0_DANRE tr|E7FGJ0|E7FGJ0_DANRE ADAM metallopeptidase domain 15 OS=Danio rerio OX=7955 GN=adam15 PE=4 SV=1, Danio_rerio_tr_F8W3T1_F8W3T1_DANRE tr|F8W3T1|F8W3T1_DANRE ADAM metallopeptidase domain 23a OS=Danio rerio OX=7955 GN=adam23a PE=4 SV=1, Danio_rerio_tr_F1QF43_F1QF43_DANRE tr|F1QF43|F1QF43_DANRE ADAM metallopeptidase domain 22 OS=Danio rerio OX=7955 GN=adam22 PE=4 SV=1, Danio_rerio_tr_E7F698_E7F698_DANRE tr|E7F698|E7F698_DANRE ADAM metallopeptidase domain 11 OS=Danio rerio OX=7955 GN=adam11 PE=4 SV=1	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein
OG0000024	Danio_rerio_tr_A0A0R4IMY5_A0A0R4IMY5_DANRE tr|A0A0R4IMY5|A0A0R4IMY5_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 3 OS=Danio rerio OX=7955 GN=im_7139568 PE=4 SV=2, Danio_rerio_tr_F1RAX3_F1RAX3_DANRE tr|F1RAX3|F1RAX3_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 3 OS=Danio rerio OX=7955 GN=im_7139568 PE=4 SV=2, Danio_rerio_tr_E7F9M2_E7F9M2_DANRE tr|E7F9M2|E7F9M2_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 1 OS=Danio rerio OX=7955 GN=spock1 PE=4 SV=3	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein
OG0000030	Danio_rerio_tr_Q6PFU9_Q6PFU9_DANRE tr|Q6PFU9|Q6PFU9_DANRE A disintegrin and metalloproteinase domain 17a OS=Danio rerio OX=7955 GN=fc20b01 PE=2 SV=1, Danio_rerio_tr_U3JAD1_U3JAD1_DANRE tr|U3JAD1|U3JAD1_DANRE ADAM metallopeptidase domain 17b OS=Danio rerio OX=7955 GN=adam17b PE=4 SV=1	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein
OG0000030	Danio_rerio_tr_F1RA88_F1RA88_DANRE tr|F1RA88|F1RA88_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=3, Danio_rerio_tr_A0A0R4IVX1_A0A0R4IVX1_DANRE tr|A0A0R4IVX1|A0A0R4IVX1_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=2	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein, Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein
OG0000033	Danio_rerio_tr_Q6AXL0_Q6AXL0_DANRE tr|Q6AXL0|Q6AXL0_DANRE Collagen triple helix repeat containing 1a OS=Danio rerio OX=7955 GN=zgc_101075 PE=2 SV=1	Clytia_hemispherica_TCONS_00050100-protein TCONS_00050100-protein, Clytia_hemispherica_TCONS_00060254-protein TCONS_00060254-protein, Clytia_hemispherica_TCONS_00060270-protein TCONS_00060270-protein, Clytia_hemispherica_TCONS_00063125-protein TCONS_00063125-protein, Clytia_hemispherica_TCONS_00053701-protein TCONS_00053701-protein, Clytia_hemispherica_TCONS_00039900-protein TCONS_00039900-protein, Clytia_hemispherica_TCONS_00023261-protein TCONS_00023261-protein, Clytia_hemispherica_TCONS_00023250-protein TCONS_00023250-protein, Clytia_hemispherica_TCONS_00025608-protein TCONS_00025608-protein
OG0000034	Danio_rerio_tr_A0A8M3AKE8_A0A8M3AKE8_DANRE tr|A0A8M3AKE8|A0A8M3AKE8_DANRE Multiple EGF-like-domains 11 OS=Danio rerio OX=7955 GN=megf11 PE=4 SV=1, Danio_rerio_sp_E9QJQ6_MEG10_DANRE sp|E9QJQ6|MEG10_DANRE Multiple epidermal growth factor-like domains protein 10 OS=Danio rerio OX=7955 GN=megf10 PE=1 SV=1	Clytia_hemispherica_TCONS_00055927-protein TCONS_00055927-protein
OG0000034	Danio_rerio_tr_F1QBZ9_F1QBZ9_DANRE tr|F1QBZ9|F1QBZ9_DANRE Multiple EGF-like-domains 8 OS=Danio rerio OX=7955 GN=megf8 PE=4 SV=2	Clytia_hemispherica_TCONS_00048912-protein TCONS_00048912-protein, Clytia_hemispherica_TCONS_00057683-protein TCONS_00057683-protein
OG0000036	Danio_rerio_tr_Q1RLZ3_Q1RLZ3_DANRE tr|Q1RLZ3|Q1RLZ3_DANRE EGF-like-domain_ multiple 7 OS=Danio rerio OX=7955 GN=zgc_136669 PE=2 SV=1, Danio_rerio_tr_Q6DHG1_Q6DHG1_DANRE tr|Q6DHG1|Q6DHG1_DANRE EGF-like-domain_ multiple 6 OS=Danio rerio OX=7955 GN=cb3 PE=2 SV=1, Danio_rerio_tr_B8A5G4_B8A5G4_DANRE tr|B8A5G4|B8A5G4_DANRE Nephronectin a OS=Danio rerio OX=7955 GN=POEM PE=3 SV=1	Clytia_hemispherica_TCONS_00001698-protein TCONS_00001698-protein
OG0000040	Danio_rerio_tr_Q08CJ3_Q08CJ3_DANRE tr|Q08CJ3|Q08CJ3_DANRE Endothelial cell-specific molecule 1 precursor OS=Danio rerio OX=7955 GN=zgc_153027 PE=2 SV=1, Danio_rerio_tr_B0V1B1_B0V1B1_DANRE tr|B0V1B1|B0V1B1_DANRE Kazal-type serine peptidase inhibitor domain 3 OS=Danio rerio OX=7955 GN=im_7144240 PE=4 SV=1, Danio_rerio_tr_Q6NW92_Q6NW92_DANRE tr|Q6NW92|Q6NW92_DANRE Insulin-like growth factor-binding protein 7 precursor OS=Danio rerio OX=7955 GN=zgc_85888 PE=1 SV=1	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein
OG0000044	Danio_rerio_tr_Q66L63_Q66L63_DANRE tr|Q66L63|Q66L63_DANRE Protein-glutamine gamma-glutamyltransferase 2 OS=Danio rerio OX=7955 GN=tgm2 PE=2 SV=1, Danio_rerio_tr_Q1ECX3_Q1ECX3_DANRE tr|Q1ECX3|Q1ECX3_DANRE Protein-glutamine gamma-glutamyltransferase 2 OS=Danio rerio OX=7955 GN=TGM2 PE=1 SV=1, Danio_rerio_tr_A0A0R4IGK8_A0A0R4IGK8_DANRE tr|A0A0R4IGK8|A0A0R4IGK8_DANRE Transglutaminase 5_-like OS=Danio rerio OX=7955 GN=si_ch1073-277p6.1 PE=3 SV=2, Danio_rerio_tr_F1QC84_F1QC84_DANRE tr|F1QC84|F1QC84_DANRE Coagulation factor XIII_ A1 polypeptide a_ tandem duplicate 1 OS=Danio rerio OX=7955 GN=f13a1a.1 PE=1 SV=1, Danio_rerio_tr_Q08CA3_Q08CA3_DANRE tr|Q08CA3|Q08CA3_DANRE Coagulation factor XIII A chain OS=Danio rerio OX=7955 GN=f13a1 PE=1 SV=1, Danio_rerio_tr_Q4V9H9_Q4V9H9_DANRE tr|Q4V9H9|Q4V9H9_DANRE Transglutaminase 1 OS=Danio rerio OX=7955 GN=tgm1l4 PE=1 SV=1	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein
OG0000045	Danio_rerio_tr_Q2Q1W5_Q2Q1W5_DANRE tr|Q2Q1W5|Q2Q1W5_DANRE Laminin alpha 5 OS=Danio rerio OX=7955 GN=wu_fb81a10 PE=1 SV=1	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein, Clytia_hemispherica_TCONS_00064870-protein TCONS_00064870-protein, Clytia_hemispherica_TCONS_00064833-protein TCONS_00064833-protein
OG0000045	Danio_rerio_tr_Q2TJF5_Q2TJF5_DANRE tr|Q2TJF5|Q2TJF5_DANRE Laminin alpha 4 OS=Danio rerio OX=7955 GN=si_busm1-189a20.2 PE=1 SV=1	Clytia_hemispherica_TCONS_00036447-protein TCONS_00036447-protein, Clytia_hemispherica_TCONS_00064868-protein TCONS_00064868-protein, Clytia_hemispherica_TCONS_00064836-protein TCONS_00064836-protein, Clytia_hemispherica_TCONS_00043175-protein TCONS_00043175-protein
OG0000049	Danio_rerio_tr_A8IYK2_A8IYK2_DANRE tr|A8IYK2|A8IYK2_DANRE Plexin-A1 OS=Danio rerio OX=7955 GN=plxna1 PE=1 SV=1, Danio_rerio_sp_B0S5N4_PLXA3_DANRE sp|B0S5N4|PLXA3_DANRE Plexin A3 OS=Danio rerio OX=7955 GN=plxna3 PE=2 SV=2, Danio_rerio_tr_B3DK42_B3DK42_DANRE tr|B3DK42|B3DK42_DANRE Plexin A4 OS=Danio rerio OX=7955 GN=plxna4 PE=2 SV=1, Danio_rerio_sp_Q6BEA0_PLXA4_DANRE sp|Q6BEA0|PLXA4_DANRE Plexin-A4 OS=Danio rerio OX=7955 GN=plxna4 PE=2 SV=1, Danio_rerio_tr_T1ECS6_T1ECS6_DANRE tr|T1ECS6|T1ECS6_DANRE Plexin-A4 OS=Danio rerio OX=7955 GN=D204 PE=1 SV=1, Danio_rerio_tr_F1Q7U0_F1Q7U0_DANRE tr|F1Q7U0|F1Q7U0_DANRE Plexin b1b OS=Danio rerio OX=7955 GN=plxnb1b PE=1 SV=1, Danio_rerio_tr_A0A8M3B4P7_A0A8M3B4P7_DANRE tr|A0A8M3B4P7|A0A8M3B4P7_DANRE Plexin-B3 OS=Danio rerio OX=7955 GN=plxnb3 PE=1 SV=1, Danio_rerio_tr_E3NZJ2_E3NZJ2_DANRE tr|E3NZJ2|E3NZJ2_DANRE Plexin B2b short isoform OS=Danio rerio OX=7955 GN=plxnb2b PE=2 SV=1, Danio_rerio_tr_F1QBC0_F1QBC0_DANRE tr|F1QBC0|F1QBC0_DANRE Plexin b2a OS=Danio rerio OX=7955 GN=fk37b01 PE=1 SV=3, Danio_rerio_tr_C5H5I1_C5H5I1_DANRE tr|C5H5I1|C5H5I1_DANRE Plexin B2 OS=Danio rerio OX=7955 GN=plxnB2 PE=1 SV=1, Danio_rerio_tr_Q6DSU3_Q6DSU3_DANRE tr|Q6DSU3|Q6DSU3_DANRE Plexin D1 OS=Danio rerio OX=7955 GN=zgc_77379 PE=1 SV=1, Danio_rerio_tr_Q5RGW1_Q5RGW1_DANRE tr|Q5RGW1|Q5RGW1_DANRE Plexin C1 _Fragment_ OS=Danio rerio OX=7955 GN=plxnc1 PE=1 SV=3	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein
OG0000063	Danio_rerio_tr_Q6DBX7_Q6DBX7_DANRE tr|Q6DBX7|Q6DBX7_DANRE Hedgehog protein OS=Danio rerio OX=7955 GN=twh PE=2 SV=1, Danio_rerio_sp_Q90419_TWHH_DANRE sp|Q90419|TWHH_DANRE Tiggy-winkle hedgehog protein OS=Danio rerio OX=7955 GN=shhb PE=1 SV=1, Danio_rerio_tr_Q1MTB5_Q1MTB5_DANRE tr|Q1MTB5|Q1MTB5_DANRE Hedgehog protein OS=Danio rerio OX=7955 GN=shha PE=2 SV=1, Danio_rerio_sp_Q92008_SHH_DANRE sp|Q92008|SHH_DANRE Sonic hedgehog protein OS=Danio rerio OX=7955 GN=shha PE=1 SV=1, Danio_rerio_sp_Q98862_IHH_DANRE sp|Q98862|IHH_DANRE Indian hedgehog B protein OS=Danio rerio OX=7955 GN=ihhb PE=2 SV=1, Danio_rerio_tr_F1QTR5_F1QTR5_DANRE tr|F1QTR5|F1QTR5_DANRE Indian hedgehog B protein OS=Danio rerio OX=7955 GN=IHH PE=4 SV=2, Danio_rerio_tr_A3KNS3_A3KNS3_DANRE tr|A3KNS3|A3KNS3_DANRE Hedgehog protein OS=Danio rerio OX=7955 GN=hha PE=2 SV=1, Danio_rerio_tr_Q4PLX3_Q4PLX3_DANRE tr|Q4PLX3|Q4PLX3_DANRE Hedgehog protein OS=Danio rerio OX=7955 GN=dhh PE=2 SV=1, Danio_rerio_tr_F6NTL6_F6NTL6_DANRE tr|F6NTL6|F6NTL6_DANRE Hedgehog protein OS=Danio rerio OX=7955 GN=dhh PE=2 SV=1	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein
OG0000064	Danio_rerio_tr_F1QFX6_F1QFX6_DANRE tr|F1QFX6|F1QFX6_DANRE Latent transforming growth factor beta binding protein 3 OS=Danio rerio OX=7955 GN=ltbp3 PE=2 SV=2	Clytia_hemispherica_TCONS_00067923-protein TCONS_00067923-protein
OG0000080	Danio_rerio_tr_Q7SZM6_Q7SZM6_DANRE tr|Q7SZM6|Q7SZM6_DANRE Metalloproteinase inhibitor 2 precursor OS=Danio rerio OX=7955 GN=etID32613.12 PE=2 SV=1, Danio_rerio_tr_Q6NUX9_Q6NUX9_DANRE tr|Q6NUX9|Q6NUX9_DANRE TIMP metallopeptidase inhibitor 2b OS=Danio rerio OX=7955 GN=timp2l PE=2 SV=1, Danio_rerio_tr_A0A0R4IT47_A0A0R4IT47_DANRE tr|A0A0R4IT47|A0A0R4IT47_DANRE TIMP metallopeptidase inhibitor 4_ tandem duplicate 3 OS=Danio rerio OX=7955 GN=timp4 PE=3 SV=1	Clytia_hemispherica_TCONS_00070986-protein TCONS_00070986-protein, Clytia_hemispherica_TCONS_00051832-protein TCONS_00051832-protein, Clytia_hemispherica_TCONS_00001940-protein TCONS_00001940-protein
OG0000081	Danio_rerio_sp_Q7SXF6_CREL2_DANRE sp|Q7SXF6|CREL2_DANRE Cysteine-rich with EGF-like domain protein 2 OS=Danio rerio OX=7955 GN=creld2 PE=2 SV=2	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein, Clytia_hemispherica_TCONS_00022711-protein TCONS_00022711-protein, Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein
OG0000084	Danio_rerio_tr_B0S8G5_B0S8G5_DANRE tr|B0S8G5|B0S8G5_DANRE Col18a1 protein OS=Danio rerio OX=7955 GN=col18a1 PE=1 SV=1	Clytia_hemispherica_TCONS_00057688-protein TCONS_00057688-protein
OG0000089	Danio_rerio_tr_B4XEZ3_B4XEZ3_DANRE tr|B4XEZ3|B4XEZ3_DANRE Chordin-like 2 OS=Danio rerio OX=7955 GN=CHL PE=2 SV=1	Clytia_hemispherica_TCONS_00004749-protein TCONS_00004749-protein
OG0000112	Danio_rerio_tr_Q1LVP9_Q1LVP9_DANRE tr|Q1LVP9|Q1LVP9_DANRE Heparanase OS=Danio rerio OX=7955 GN=im_7144134 PE=3 SV=1	Clytia_hemispherica_TCONS_00062070-protein TCONS_00062070-protein
OG0000114	Danio_rerio_tr_A0A8M3AXL2_A0A8M3AXL2_DANRE tr|A0A8M3AXL2|A0A8M3AXL2_DANRE Host cell factor C1a OS=Danio rerio OX=7955 GN=fc61g09 PE=1 SV=1, Danio_rerio_tr_Q7SZY1_Q7SZY1_DANRE tr|Q7SZY1|Q7SZY1_DANRE Host cell factor C1a OS=Danio rerio OX=7955 GN=zK13A21.2 PE=1 SV=1, Danio_rerio_tr_A0A8M9PQY4_A0A8M9PQY4_DANRE tr|A0A8M9PQY4|A0A8M9PQY4_DANRE Host cell factor 1 OS=Danio rerio OX=7955 GN=fc07b09 PE=1 SV=1	Clytia_hemispherica_TCONS_00018194-protein TCONS_00018194-protein
OG0000120	Danio_rerio_tr_Q0JY12_Q0JY12_DANRE tr|Q0JY12|Q0JY12_DANRE Syndecan 4 OS=Danio rerio OX=7955 GN=SDC4 PE=2 SV=1, Danio_rerio_tr_Q66I66_Q66I66_DANRE tr|Q66I66|Q66I66_DANRE Syndecan OS=Danio rerio OX=7955 GN=zgc_103676 PE=2 SV=1, Danio_rerio_tr_F1DFN3_F1DFN3_DANRE tr|F1DFN3|F1DFN3_DANRE Syndecan _Fragment_ OS=Danio rerio OX=7955 GN=sdc3 PE=2 SV=1	Clytia_hemispherica_TCONS_00010938-protein TCONS_00010938-protein
OG0000123	Danio_rerio_tr_B3DH18_B3DH18_DANRE tr|B3DH18|B3DH18_DANRE Fibulin-1 OS=Danio rerio OX=7955 GN=fbln1c PE=2 SV=1	Clytia_hemispherica_TCONS_00069578-protein TCONS_00069578-protein
OG0000150	Danio_rerio_tr_E9QCK7_E9QCK7_DANRE tr|E9QCK7|E9QCK7_DANRE Papp-a2 _Fragment_ OS=Danio rerio OX=7955 GN=papp-a2 PE=3 SV=1, Danio_rerio_tr_M1WXG8_M1WXG8_DANRE tr|M1WXG8|M1WXG8_DANRE Pregnancy-associated plasma protein A_ pappalysin 1b precursor OS=Danio rerio OX=7955 GN=papp-ab PE=2 SV=1, Danio_rerio_tr_M1XYM1_M1XYM1_DANRE tr|M1XYM1|M1XYM1_DANRE Pappalysin-1 precursor OS=Danio rerio OX=7955 GN=papp-aa PE=2 SV=1	Clytia_hemispherica_TCONS_00003726-protein TCONS_00003726-protein
OG0000156	Danio_rerio_tr_Q7ZTX7_Q7ZTX7_DANRE tr|Q7ZTX7|Q7ZTX7_DANRE Microfibrillar-associated protein 1 OS=Danio rerio OX=7955 GN=zgc_56551 PE=1 SV=1	Clytia_hemispherica_TCONS_00025665-protein TCONS_00025665-protein
OG0000171	Danio_rerio_sp_Q503I8_NGLY1_DANRE sp|Q503I8|NGLY1_DANRE Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Danio rerio OX=7955 GN=ngly1 PE=2 SV=1, Danio_rerio_tr_B2GSS9_B2GSS9_DANRE tr|B2GSS9|B2GSS9_DANRE Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Danio rerio OX=7955 GN=zgc_110561 PE=2 SV=1	Clytia_hemispherica_TCONS_00013906-protein TCONS_00013906-protein
OG0000209	Danio_rerio_sp_Q7SYD9_INT6_DANRE sp|Q7SYD9|INT6_DANRE Integrator complex subunit 6 OS=Danio rerio OX=7955 GN=ints6 PE=2 SV=1	Clytia_hemispherica_TCONS_00065263-protein TCONS_00065263-protein
OG0000215	Danio_rerio_tr_E9QDL3_E9QDL3_DANRE tr|E9QDL3|E9QDL3_DANRE Snake venom vascular endothelial growth factor toxin barietin-like isoform X2 OS=Danio rerio OX=7955 GN=vegfbb PE=3 SV=1, Danio_rerio_tr_Q0QYI0_Q0QYI0_DANRE tr|Q0QYI0|Q0QYI0_DANRE Vascular endothelial growth factor A isoform 2 precursor _Fragment_ OS=Danio rerio OX=7955 GN=fd42e02 PE=2 SV=1, Danio_rerio_sp_O73682_VGFAA_DANRE sp|O73682|VGFAA_DANRE Vascular endothelial growth factor A-A OS=Danio rerio OX=7955 GN=vegfaa PE=1 SV=1, Danio_rerio_tr_X1WBL7_X1WBL7_DANRE tr|X1WBL7|X1WBL7_DANRE Placenta growth factor isoform X1 OS=Danio rerio OX=7955 GN=pgfb PE=3 SV=1, Danio_rerio_tr_Q208T6_Q208T6_DANRE tr|Q208T6|Q208T6_DANRE C-fos induced growth factor OS=Danio rerio OX=7955 GN=figf PE=2 SV=1, Danio_rerio_tr_Q7T3I6_Q7T3I6_DANRE tr|Q7T3I6|Q7T3I6_DANRE Vascular endothelial growth factor C OS=Danio rerio OX=7955 GN=vegfc PE=2 SV=1	Clytia_hemispherica_TCONS_00055555-protein TCONS_00055555-protein
OG0000236	Danio_rerio_tr_A5PMP7_A5PMP7_DANRE tr|A5PMP7|A5PMP7_DANRE Platelet-derived growth factor alpha a precursor OS=Danio rerio OX=7955 GN=pdgfa PE=3 SV=1, Danio_rerio_tr_Q08CD2_Q08CD2_DANRE tr|Q08CD2|Q08CD2_DANRE Platelet derived growth factor alpha b OS=Danio rerio OX=7955 GN=wu_fc32c12 PE=2 SV=1, Danio_rerio_tr_A0A8M9PWR6_A0A8M9PWR6_DANRE tr|A0A8M9PWR6|A0A8M9PWR6_DANRE Platelet-derived growth factor beta polypeptide b OS=Danio rerio OX=7955 GN=pdgfbb PE=3 SV=1	Clytia_hemispherica_TCONS_00057922-protein TCONS_00057922-protein, Clytia_hemispherica_TCONS_00055444-protein TCONS_00055444-protein, Clytia_hemispherica_TCONS_00009404-protein TCONS_00009404-protein
OG0000247	Danio_rerio_tr_B0S5X0_B0S5X0_DANRE tr|B0S5X0|B0S5X0_DANRE Epiphycan OS=Danio rerio OX=7955 GN=dspg3 PE=1 SV=1, Danio_rerio_tr_A0A8M1P5N0_A0A8M1P5N0_DANRE tr|A0A8M1P5N0|A0A8M1P5N0_DANRE Epiphycan OS=Danio rerio OX=7955 GN=dspg3 PE=1 SV=1, Danio_rerio_tr_Q15JE7_Q15JE7_DANRE tr|Q15JE7|Q15JE7_DANRE Opticin OS=Danio rerio OX=7955 GN=dspg3 PE=1 SV=1, Danio_rerio_tr_Q5BLC1_Q5BLC1_DANRE tr|Q5BLC1|Q5BLC1_DANRE Mimecan precursor OS=Danio rerio OX=7955 GN=ogn PE=1 SV=1	Clytia_hemispherica_TCONS_00047950-protein TCONS_00047950-protein
OG0000248	Danio_rerio_tr_Q1MT36_Q1MT36_DANRE tr|Q1MT36|Q1MT36_DANRE Anosmin 1b OS=Danio rerio OX=7955 GN=anosmin-1b PE=4 SV=1, Danio_rerio_tr_Q9IAR4_Q9IAR4_DANRE tr|Q9IAR4|Q9IAR4_DANRE Anosmin-1 OS=Danio rerio OX=7955 GN=wu_fl91z45 PE=2 SV=1	Clytia_hemispherica_TCONS_00073674-protein TCONS_00073674-protein
OG0000298	Danio_rerio_tr_E9QJJ1_E9QJJ1_DANRE tr|E9QJJ1|E9QJJ1_DANRE Insulin-like growth factor-binding protein complex acid labile subunit OS=Danio rerio OX=7955 GN=igfals PE=4 SV=1	Clytia_hemispherica_TCONS_00057296-protein TCONS_00057296-protein
OG0000392	Danio_rerio_tr_E7EXH9_E7EXH9_DANRE tr|E7EXH9|E7EXH9_DANRE Chondroadherin-like a OS=Danio rerio OX=7955 GN=chadla PE=3 SV=1, Danio_rerio_tr_F1Q881_F1Q881_DANRE tr|F1Q881|F1Q881_DANRE Chondroadherin-like b OS=Danio rerio OX=7955 GN=chadlb PE=4 SV=1	Clytia_hemispherica_TCONS_00062021-protein TCONS_00062021-protein
OG0000463	Danio_rerio_sp_Q9W6F9_WIF1_DANRE sp|Q9W6F9|WIF1_DANRE Wnt inhibitory factor 1 OS=Danio rerio OX=7955 GN=wif1 PE=2 SV=1	Clytia_hemispherica_TCONS_00022780-protein TCONS_00022780-protein
