Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000010	Morbakka_virulenta_scaffold52.g35.t2 scaffold52.g35.t2, Morbakka_virulenta_scaffold52.g35.t1 scaffold52.g35.t1, Morbakka_virulenta_scaffold52.g28.t1 scaffold52.g28.t1	Nematostella_vectensis_NV2t022783003.1 NV2t022783003.1, Nematostella_vectensis_NV2t022783004.1 NV2t022783004.1, Nematostella_vectensis_NV2t022783001.1 NV2t022783001.1, Nematostella_vectensis_NV2t022783005.1 NV2t022783005.1, Nematostella_vectensis_NV2t022783002.1 NV2t022783002.1, Nematostella_vectensis_NV2t022081001.1 NV2t022081001.1
OG0000010	Morbakka_virulenta_scaffold535.g12.t1 scaffold535.g12.t1	Nematostella_vectensis_NV2t006047001.1 NV2t006047001.1
OG0000010	Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1	Nematostella_vectensis_NV2t014904001.1 NV2t014904001.1
OG0000010	Morbakka_virulenta_scaffold149.g12.t1 scaffold149.g12.t1, Morbakka_virulenta_scaffold149.g12.t2 scaffold149.g12.t2	Nematostella_vectensis_NV2t000707001.1 NV2t000707001.1
OG0000010	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1	Nematostella_vectensis_NV2t023229003.1 NV2t023229003.1, Nematostella_vectensis_NV2t023229002.1 NV2t023229002.1, Nematostella_vectensis_NV2t023229001.1 NV2t023229001.1, Nematostella_vectensis_NV2t023230001.1 NV2t023230001.1, Nematostella_vectensis_NV2t013423001.1 NV2t013423001.1, Nematostella_vectensis_NV2t013522001.1 NV2t013522001.1, Nematostella_vectensis_NV2t014043001.1 NV2t014043001.1, Nematostella_vectensis_NV2t014046006.1 NV2t014046006.1, Nematostella_vectensis_NV2t014046005.1 NV2t014046005.1, Nematostella_vectensis_NV2t014092001.1 NV2t014092001.1, Nematostella_vectensis_NV2t014093001.1 NV2t014093001.1
OG0000010	Morbakka_virulenta_scaffold386.g7.t1 scaffold386.g7.t1, Morbakka_virulenta_scaffold386.g7.t2 scaffold386.g7.t2, Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1	Nematostella_vectensis_NV2t023832001.1 NV2t023832001.1
OG0000012	Morbakka_virulenta_scaffold155.g40.t1 scaffold155.g40.t1, Morbakka_virulenta_scaffold155.g40.t2 scaffold155.g40.t2	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1
OG0000012	Morbakka_virulenta_scaffold96.g15.t1 scaffold96.g15.t1	Nematostella_vectensis_NV2t006919001.1 NV2t006919001.1
OG0000013	Morbakka_virulenta_scaffold383.g6.t1 scaffold383.g6.t1	Nematostella_vectensis_NV2t023407003.1 NV2t023407003.1, Nematostella_vectensis_NV2t023407002.1 NV2t023407002.1, Nematostella_vectensis_NV2t023407001.1 NV2t023407001.1
OG0000013	Morbakka_virulenta_scaffold120.g22.t1 scaffold120.g22.t1	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1
OG0000013	Morbakka_virulenta_scaffold120.g23.t2 scaffold120.g23.t2, Morbakka_virulenta_scaffold1708.g1.t1 scaffold1708.g1.t1, Morbakka_virulenta_scaffold120.g23.t1 scaffold120.g23.t1	Nematostella_vectensis_NV2t012225001.1 NV2t012225001.1
OG0000013	Morbakka_virulenta_scaffold3.g1.t1 scaffold3.g1.t1	Nematostella_vectensis_NV2t012463001.1 NV2t012463001.1
OG0000013	Morbakka_virulenta_scaffold18.g46.t1 scaffold18.g46.t1, Morbakka_virulenta_scaffold18.g51.t1 scaffold18.g51.t1	Nematostella_vectensis_NV2t022664005.1 NV2t022664005.1, Nematostella_vectensis_NV2t022664004.1 NV2t022664004.1, Nematostella_vectensis_NV2t022664001.1 NV2t022664001.1, Nematostella_vectensis_NV2t022664003.1 NV2t022664003.1, Nematostella_vectensis_NV2t022664006.1 NV2t022664006.1, Nematostella_vectensis_NV2t022664002.1 NV2t022664002.1
OG0000013	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1	Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1
OG0000013	Morbakka_virulenta_scaffold536.g7.t1 scaffold536.g7.t1	Nematostella_vectensis_NV2t003689001.1 NV2t003689001.1, Nematostella_vectensis_NV2t004522001.1 NV2t004522001.1, Nematostella_vectensis_NV2t005661001.1 NV2t005661001.1
OG0000014	Morbakka_virulenta_scaffold67.g21.t1 scaffold67.g21.t1	Nematostella_vectensis_NV2t022999001.1 NV2t022999001.1
OG0000014	Morbakka_virulenta_scaffold2.g203.t4 scaffold2.g203.t4, Morbakka_virulenta_scaffold2.g203.t2 scaffold2.g203.t2, Morbakka_virulenta_scaffold2.g203.t3 scaffold2.g203.t3, Morbakka_virulenta_scaffold2.g203.t1 scaffold2.g203.t1	Nematostella_vectensis_NV2t024253001.1 NV2t024253001.1
OG0000014	Morbakka_virulenta_scaffold164.g20.t1 scaffold164.g20.t1	Nematostella_vectensis_NV2t023275001.1 NV2t023275001.1
OG0000014	Morbakka_virulenta_scaffold105.g40.t1 scaffold105.g40.t1	Nematostella_vectensis_NV2t020821001.1 NV2t020821001.1
OG0000014	Morbakka_virulenta_scaffold269.g24.t1 scaffold269.g24.t1	Nematostella_vectensis_NV2t000088001.1 NV2t000088001.1, Nematostella_vectensis_NV2t000087001.1 NV2t000087001.1
OG0000014	Morbakka_virulenta_scaffold116.g38.t2 scaffold116.g38.t2, Morbakka_virulenta_scaffold116.g38.t3 scaffold116.g38.t3, Morbakka_virulenta_scaffold116.g39.t1 scaffold116.g39.t1	Nematostella_vectensis_NV2t025184002.1 NV2t025184002.1, Nematostella_vectensis_NV2t025184001.1 NV2t025184001.1
OG0000014	Morbakka_virulenta_scaffold356.g5.t1 scaffold356.g5.t1	Nematostella_vectensis_NV2t017494001.1 NV2t017494001.1
OG0000014	Morbakka_virulenta_scaffold366.g6.t2 scaffold366.g6.t2, Morbakka_virulenta_scaffold366.g6.t3 scaffold366.g6.t3, Morbakka_virulenta_scaffold366.g6.t1 scaffold366.g6.t1	Nematostella_vectensis_NV2t022459002.1 NV2t022459002.1, Nematostella_vectensis_NV2t022459001.1 NV2t022459001.1, Nematostella_vectensis_NV2t021229001.1 NV2t021229001.1, Nematostella_vectensis_NV2t022465001.1 NV2t022465001.1, Nematostella_vectensis_NV2t021631001.1 NV2t021631001.1, Nematostella_vectensis_NV2t021630001.1 NV2t021630001.1, Nematostella_vectensis_NV2t021635001.1 NV2t021635001.1, Nematostella_vectensis_NV2t021636001.1 NV2t021636001.1, Nematostella_vectensis_NV2t021230001.1 NV2t021230001.1, Nematostella_vectensis_NV2t021638002.1 NV2t021638002.1, Nematostella_vectensis_NV2t021638001.1 NV2t021638001.1, Nematostella_vectensis_NV2t001124001.1 NV2t001124001.1, Nematostella_vectensis_NV2t001120001.1 NV2t001120001.1, Nematostella_vectensis_NV2t001123004.1 NV2t001123004.1, Nematostella_vectensis_NV2t001123002.1 NV2t001123002.1, Nematostella_vectensis_NV2t001123005.1 NV2t001123005.1, Nematostella_vectensis_NV2t001123003.1 NV2t001123003.1, Nematostella_vectensis_NV2t024070001.1 NV2t024070001.1
OG0000014	Morbakka_virulenta_scaffold257.g1.t1 scaffold257.g1.t1	Nematostella_vectensis_NV2t009914001.1 NV2t009914001.1
OG0000015	Morbakka_virulenta_scaffold468.g7.t1 scaffold468.g7.t1	Nematostella_vectensis_NV2t021903002.1 NV2t021903002.1, Nematostella_vectensis_NV2t021903003.1 NV2t021903003.1, Nematostella_vectensis_NV2t021904001.1 NV2t021904001.1, Nematostella_vectensis_NV2t021903004.1 NV2t021903004.1, Nematostella_vectensis_NV2t021903001.1 NV2t021903001.1, Nematostella_vectensis_NV2t021905001.1 NV2t021905001.1
OG0000015	Morbakka_virulenta_scaffold13.g67.t1 scaffold13.g67.t1, Morbakka_virulenta_scaffold68.g26.t1 scaffold68.g26.t1, Morbakka_virulenta_scaffold68.g27.t1 scaffold68.g27.t1, Morbakka_virulenta_scaffold13.g65.t2 scaffold13.g65.t2, Morbakka_virulenta_scaffold13.g65.t1 scaffold13.g65.t1	Nematostella_vectensis_NV2t005822001.1 NV2t005822001.1, Nematostella_vectensis_NV2t021283002.1 NV2t021283002.1, Nematostella_vectensis_NV2t021283003.1 NV2t021283003.1, Nematostella_vectensis_NV2t021283001.1 NV2t021283001.1, Nematostella_vectensis_NV2t021284001.1 NV2t021284001.1, Nematostella_vectensis_NV2t021284002.1 NV2t021284002.1, Nematostella_vectensis_NV2t005824002.1 NV2t005824002.1, Nematostella_vectensis_NV2t005824001.1 NV2t005824001.1, Nematostella_vectensis_NV2t021288001.1 NV2t021288001.1, Nematostella_vectensis_NV2t021285001.1 NV2t021285001.1
OG0000015	Morbakka_virulenta_scaffold70.g1.t1 scaffold70.g1.t1	Nematostella_vectensis_NV2t012183001.1 NV2t012183001.1, Nematostella_vectensis_NV2t011069001.1 NV2t011069001.1, Nematostella_vectensis_NV2t011632001.1 NV2t011632001.1, Nematostella_vectensis_NV2t011345005.1 NV2t011345005.1, Nematostella_vectensis_NV2t011345001.1 NV2t011345001.1, Nematostella_vectensis_NV2t011345002.1 NV2t011345002.1, Nematostella_vectensis_NV2t011345004.1 NV2t011345004.1, Nematostella_vectensis_NV2t011345003.1 NV2t011345003.1
OG0000016	Morbakka_virulenta_scaffold63.g60.t1 scaffold63.g60.t1, Morbakka_virulenta_scaffold63.g65.t1 scaffold63.g65.t1	Nematostella_vectensis_NV2t019146002.1 NV2t019146002.1, Nematostella_vectensis_NV2t019146001.1 NV2t019146001.1
OG0000016	Morbakka_virulenta_scaffold88.g16.t1 scaffold88.g16.t1, Morbakka_virulenta_scaffold69.g105.t1 scaffold69.g105.t1, Morbakka_virulenta_scaffold69.g105.t2 scaffold69.g105.t2, Morbakka_virulenta_scaffold45.g73.t1 scaffold45.g73.t1, Morbakka_virulenta_scaffold45.g74.t1 scaffold45.g74.t1	Nematostella_vectensis_NV2t020475001.1 NV2t020475001.1
OG0000016	Morbakka_virulenta_scaffold413.g13.t1 scaffold413.g13.t1	Nematostella_vectensis_NV2t002700001.1 NV2t002700001.1
OG0000016	Morbakka_virulenta_scaffold592.g1.t1 scaffold592.g1.t1	Nematostella_vectensis_NV2t000808001.1 NV2t000808001.1
OG0000018	Morbakka_virulenta_scaffold203.g33.t1 scaffold203.g33.t1, Morbakka_virulenta_scaffold290.g29.t1 scaffold290.g29.t1, Morbakka_virulenta_scaffold290.g29.t2 scaffold290.g29.t2, Morbakka_virulenta_scaffold290.g29.t3 scaffold290.g29.t3	Nematostella_vectensis_NV2t019165001.1 NV2t019165001.1, Nematostella_vectensis_NV2t019165003.1 NV2t019165003.1, Nematostella_vectensis_NV2t019165002.1 NV2t019165002.1, Nematostella_vectensis_NV2t019166001.1 NV2t019166001.1
OG0000018	Morbakka_virulenta_scaffold18.g35.t1 scaffold18.g35.t1, Morbakka_virulenta_scaffold18.g35.t2 scaffold18.g35.t2	Nematostella_vectensis_NV2t016213001.1 NV2t016213001.1
OG0000019	Morbakka_virulenta_scaffold47.g131.t1 scaffold47.g131.t1, Morbakka_virulenta_scaffold455.g5.t1 scaffold455.g5.t1	Nematostella_vectensis_NV2t000173001.1 NV2t000173001.1
OG0000019	Morbakka_virulenta_scaffold135.g49.t1 scaffold135.g49.t1	Nematostella_vectensis_NV2t006269003.1 NV2t006269003.1, Nematostella_vectensis_NV2t006269002.1 NV2t006269002.1, Nematostella_vectensis_NV2t006269001.1 NV2t006269001.1
OG0000019	Morbakka_virulenta_scaffold7.g3.t1 scaffold7.g3.t1	Nematostella_vectensis_NV2t019847002.1 NV2t019847002.1, Nematostella_vectensis_NV2t019847001.1 NV2t019847001.1
OG0000019	Morbakka_virulenta_scaffold36.g28.t1 scaffold36.g28.t1	Nematostella_vectensis_NV2t006489001.1 NV2t006489001.1
OG0000020	Morbakka_virulenta_scaffold39.g96.t1 scaffold39.g96.t1	Nematostella_vectensis_NV2t012027001.1 NV2t012027001.1
OG0000020	Morbakka_virulenta_scaffold131.g48.t3 scaffold131.g48.t3, Morbakka_virulenta_scaffold131.g48.t2 scaffold131.g48.t2, Morbakka_virulenta_scaffold131.g48.t1 scaffold131.g48.t1, Morbakka_virulenta_scaffold461.g6.t1 scaffold461.g6.t1, Morbakka_virulenta_scaffold461.g6.t2 scaffold461.g6.t2	Nematostella_vectensis_NV2t011872001.1 NV2t011872001.1, Nematostella_vectensis_NV2t011872002.1 NV2t011872002.1, Nematostella_vectensis_NV2t012159001.1 NV2t012159001.1
OG0000020	Morbakka_virulenta_scaffold116.g19.t1 scaffold116.g19.t1, Morbakka_virulenta_scaffold116.g19.t2 scaffold116.g19.t2	Nematostella_vectensis_NV2t024535002.1 NV2t024535002.1, Nematostella_vectensis_NV2t024535001.1 NV2t024535001.1
OG0000021	Morbakka_virulenta_scaffold66.g10.t1 scaffold66.g10.t1, Morbakka_virulenta_scaffold66.g10.t2 scaffold66.g10.t2	Nematostella_vectensis_NV2t020722001.1 NV2t020722001.1, Nematostella_vectensis_NV2t020722002.1 NV2t020722002.1, Nematostella_vectensis_NV2t020722003.1 NV2t020722003.1
OG0000021	Morbakka_virulenta_scaffold500.g10.t1 scaffold500.g10.t1	Nematostella_vectensis_NV2t009849002.1 NV2t009849002.1, Nematostella_vectensis_NV2t009849001.1 NV2t009849001.1
OG0000021	Morbakka_virulenta_scaffold214.g8.t1 scaffold214.g8.t1	Nematostella_vectensis_NV2t001337001.1 NV2t001337001.1
OG0000021	Morbakka_virulenta_scaffold3.g40.t1 scaffold3.g40.t1, Morbakka_virulenta_scaffold3.g40.t2 scaffold3.g40.t2	Nematostella_vectensis_NV2t012147001.1 NV2t012147001.1
OG0000022	Morbakka_virulenta_scaffold487.g6.t1 scaffold487.g6.t1	Nematostella_vectensis_NV2t009562002.1 NV2t009562002.1, Nematostella_vectensis_NV2t009562001.1 NV2t009562001.1
OG0000023	Morbakka_virulenta_scaffold206.g31.t1 scaffold206.g31.t1	Nematostella_vectensis_NV2t018385002.1 NV2t018385002.1, Nematostella_vectensis_NV2t018385001.1 NV2t018385001.1
OG0000024	Morbakka_virulenta_scaffold12.g79.t1 scaffold12.g79.t1	Nematostella_vectensis_NV2t003372003.1 NV2t003372003.1, Nematostella_vectensis_NV2t003372002.1 NV2t003372002.1, Nematostella_vectensis_NV2t003372001.1 NV2t003372001.1
OG0000024	Morbakka_virulenta_scaffold161.g44.t1 scaffold161.g44.t1	Nematostella_vectensis_NV2t003373001.1 NV2t003373001.1, Nematostella_vectensis_NV2t003373002.1 NV2t003373002.1, Nematostella_vectensis_NV2t003373003.1 NV2t003373003.1
OG0000027	Morbakka_virulenta_scaffold424.g6.t1 scaffold424.g6.t1	Nematostella_vectensis_NV2t007036001.1 NV2t007036001.1
OG0000028	Morbakka_virulenta_scaffold9.g62.t1 scaffold9.g62.t1	Nematostella_vectensis_NV2t021411001.1 NV2t021411001.1
OG0000029	Morbakka_virulenta_scaffold331.g11.t1 scaffold331.g11.t1	Nematostella_vectensis_NV2t004704001.1 NV2t004704001.1
OG0000029	Morbakka_virulenta_scaffold154.g38.t1 scaffold154.g38.t1	Nematostella_vectensis_NV2t004683002.1 NV2t004683002.1, Nematostella_vectensis_NV2t004683001.1 NV2t004683001.1
OG0000029	Morbakka_virulenta_scaffold12.g130.t1 scaffold12.g130.t1	Nematostella_vectensis_NV2t009601003.1 NV2t009601003.1, Nematostella_vectensis_NV2t009601002.1 NV2t009601002.1, Nematostella_vectensis_NV2t009601001.1 NV2t009601001.1, Nematostella_vectensis_NV2t011326001.1 NV2t011326001.1, Nematostella_vectensis_NV2t011326002.1 NV2t011326002.1, Nematostella_vectensis_NV2t011326003.1 NV2t011326003.1, Nematostella_vectensis_NV2t011326004.1 NV2t011326004.1
OG0000030	Morbakka_virulenta_scaffold273.g11.t2 scaffold273.g11.t2, Morbakka_virulenta_scaffold273.g11.t1 scaffold273.g11.t1	Nematostella_vectensis_NV2t006771001.1 NV2t006771001.1, Nematostella_vectensis_NV2t006771002.1 NV2t006771002.1
OG0000030	Morbakka_virulenta_scaffold233.g2.t1 scaffold233.g2.t1	Nematostella_vectensis_NV2t024729009.1 NV2t024729009.1, Nematostella_vectensis_NV2t024729016.1 NV2t024729016.1, Nematostella_vectensis_NV2t024729018.1 NV2t024729018.1, Nematostella_vectensis_NV2t024729004.1 NV2t024729004.1, Nematostella_vectensis_NV2t024729015.1 NV2t024729015.1, Nematostella_vectensis_NV2t024729005.1 NV2t024729005.1, Nematostella_vectensis_NV2t024729010.1 NV2t024729010.1, Nematostella_vectensis_NV2t024729008.1 NV2t024729008.1, Nematostella_vectensis_NV2t024729007.1 NV2t024729007.1, Nematostella_vectensis_NV2t024729006.1 NV2t024729006.1
OG0000032	Morbakka_virulenta_scaffold930.g1.t1 scaffold930.g1.t1, Morbakka_virulenta_scaffold75.g57.t2 scaffold75.g57.t2, Morbakka_virulenta_scaffold75.g58.t1 scaffold75.g58.t1, Morbakka_virulenta_scaffold75.g58.t2 scaffold75.g58.t2, Morbakka_virulenta_scaffold75.g53.t1 scaffold75.g53.t1	Nematostella_vectensis_NV2t008393003.1 NV2t008393003.1
OG0000032	Morbakka_virulenta_scaffold319.g15.t1 scaffold319.g15.t1	Nematostella_vectensis_NV2t007899001.1 NV2t007899001.1
OG0000034	Morbakka_virulenta_scaffold45.g31.t2 scaffold45.g31.t2, Morbakka_virulenta_scaffold45.g31.t1 scaffold45.g31.t1	Nematostella_vectensis_NV2t018302001.1 NV2t018302001.1
OG0000034	Morbakka_virulenta_scaffold592.g10.t1 scaffold592.g10.t1, Morbakka_virulenta_scaffold592.g10.t2 scaffold592.g10.t2	Nematostella_vectensis_NV2t014162001.1 NV2t014162001.1
OG0000034	Morbakka_virulenta_scaffold1.g337.t2 scaffold1.g337.t2, Morbakka_virulenta_scaffold1.g337.t3 scaffold1.g337.t3, Morbakka_virulenta_scaffold1.g337.t1 scaffold1.g337.t1	Nematostella_vectensis_NV2t021926001.1 NV2t021926001.1
OG0000035	Morbakka_virulenta_scaffold72.g49.t1 scaffold72.g49.t1, Morbakka_virulenta_scaffold72.g48.t1 scaffold72.g48.t1	Nematostella_vectensis_NV2t000593001.1 NV2t000593001.1, Nematostella_vectensis_NV2t000581001.1 NV2t000581001.1, Nematostella_vectensis_NV2t000581002.1 NV2t000581002.1, Nematostella_vectensis_NV2t001114001.1 NV2t001114001.1, Nematostella_vectensis_NV2t001113001.1 NV2t001113001.1, Nematostella_vectensis_NV2t019953001.1 NV2t019953001.1
OG0000035	Morbakka_virulenta_scaffold138.g38.t1 scaffold138.g38.t1	Nematostella_vectensis_NV2t012171001.1 NV2t012171001.1
OG0000035	Morbakka_virulenta_scaffold400.g3.t2 scaffold400.g3.t2, Morbakka_virulenta_scaffold400.g3.t1 scaffold400.g3.t1	Nematostella_vectensis_NV2t010387001.1 NV2t010387001.1
OG0000036	Morbakka_virulenta_scaffold2.g64.t1 scaffold2.g64.t1	Nematostella_vectensis_NV2t025171002.1 NV2t025171002.1, Nematostella_vectensis_NV2t025171001.1 NV2t025171001.1, Nematostella_vectensis_NV2t022153002.1 NV2t022153002.1, Nematostella_vectensis_NV2t022153001.1 NV2t022153001.1
OG0000037	Morbakka_virulenta_scaffold93.g25.t1 scaffold93.g25.t1, Morbakka_virulenta_scaffold93.g22.t1 scaffold93.g22.t1	Nematostella_vectensis_NV2t020441001.1 NV2t020441001.1, Nematostella_vectensis_NV2t020449001.1 NV2t020449001.1, Nematostella_vectensis_NV2t003437001.1 NV2t003437001.1
OG0000038	Morbakka_virulenta_scaffold302.g10.t1 scaffold302.g10.t1	Nematostella_vectensis_NV2t022058002.1 NV2t022058002.1, Nematostella_vectensis_NV2t022058001.1 NV2t022058001.1, Nematostella_vectensis_NV2t022054001.1 NV2t022054001.1, Nematostella_vectensis_NV2t022057001.1 NV2t022057001.1, Nematostella_vectensis_NV2t022056001.1 NV2t022056001.1
OG0000038	Morbakka_virulenta_scaffold9.g35.t1 scaffold9.g35.t1	Nematostella_vectensis_NV2t022707001.1 NV2t022707001.1, Nematostella_vectensis_NV2t022707002.1 NV2t022707002.1
OG0000040	Morbakka_virulenta_scaffold2.g172.t2 scaffold2.g172.t2, Morbakka_virulenta_scaffold2.g172.t1 scaffold2.g172.t1	Nematostella_vectensis_NV2t010172001.1 NV2t010172001.1, Nematostella_vectensis_NV2t010172003.1 NV2t010172003.1, Nematostella_vectensis_NV2t010172002.1 NV2t010172002.1, Nematostella_vectensis_NV2t010172004.1 NV2t010172004.1
OG0000040	Morbakka_virulenta_scaffold145.g7.t1 scaffold145.g7.t1	Nematostella_vectensis_NV2t006476001.1 NV2t006476001.1
OG0000040	Morbakka_virulenta_scaffold37.g21.t1 scaffold37.g21.t1, Morbakka_virulenta_scaffold37.g22.t1 scaffold37.g22.t1	Nematostella_vectensis_NV2t013801001.1 NV2t013801001.1
OG0000041	Morbakka_virulenta_scaffold235.g13.t1 scaffold235.g13.t1, Morbakka_virulenta_scaffold235.g9.t1 scaffold235.g9.t1, Morbakka_virulenta_scaffold71.g73.t1 scaffold71.g73.t1	Nematostella_vectensis_NV2t020167001.1 NV2t020167001.1, Nematostella_vectensis_NV2t022463002.1 NV2t022463002.1, Nematostella_vectensis_NV2t022463001.1 NV2t022463001.1, Nematostella_vectensis_NV2t019996001.1 NV2t019996001.1, Nematostella_vectensis_NV2t019992001.1 NV2t019992001.1
OG0000041	Morbakka_virulenta_scaffold92.g7.t1 scaffold92.g7.t1	Nematostella_vectensis_NV2t015230001.1 NV2t015230001.1
OG0000042	Morbakka_virulenta_scaffold130.g32.t2 scaffold130.g32.t2, Morbakka_virulenta_scaffold130.g32.t1 scaffold130.g32.t1, Morbakka_virulenta_scaffold45.g44.t1 scaffold45.g44.t1, Morbakka_virulenta_scaffold130.g29.t1 scaffold130.g29.t1	Nematostella_vectensis_NV2t019653001.1 NV2t019653001.1
OG0000042	Morbakka_virulenta_scaffold263.g24.t1 scaffold263.g24.t1	Nematostella_vectensis_NV2t017038001.1 NV2t017038001.1, Nematostella_vectensis_NV2t016569001.1 NV2t016569001.1, Nematostella_vectensis_NV2t017107001.1 NV2t017107001.1, Nematostella_vectensis_NV2t016567001.1 NV2t016567001.1, Nematostella_vectensis_NV2t017148001.1 NV2t017148001.1
OG0000044	Morbakka_virulenta_scaffold291.g8.t1 scaffold291.g8.t1, Morbakka_virulenta_scaffold99.g38.t1 scaffold99.g38.t1, Morbakka_virulenta_scaffold90.g31.t1 scaffold90.g31.t1, Morbakka_virulenta_scaffold90.g28.t1 scaffold90.g28.t1, Morbakka_virulenta_scaffold433.g1.t1 scaffold433.g1.t1	Nematostella_vectensis_NV2t009869001.1 NV2t009869001.1, Nematostella_vectensis_NV2t010348003.1 NV2t010348003.1, Nematostella_vectensis_NV2t010348004.1 NV2t010348004.1, Nematostella_vectensis_NV2t010348002.1 NV2t010348002.1, Nematostella_vectensis_NV2t010348007.1 NV2t010348007.1, Nematostella_vectensis_NV2t010348005.1 NV2t010348005.1, Nematostella_vectensis_NV2t010348010.1 NV2t010348010.1, Nematostella_vectensis_NV2t010348008.1 NV2t010348008.1
OG0000045	Morbakka_virulenta_scaffold63.g34.t1 scaffold63.g34.t1, Morbakka_virulenta_scaffold63.g34.t2 scaffold63.g34.t2	Nematostella_vectensis_NV2t017119001.1 NV2t017119001.1
OG0000045	Morbakka_virulenta_scaffold15.g24.t1 scaffold15.g24.t1	Nematostella_vectensis_NV2t015818001.1 NV2t015818001.1
OG0000046	Morbakka_virulenta_scaffold117.g12.t1 scaffold117.g12.t1	Nematostella_vectensis_NV2t015588001.1 NV2t015588001.1, Nematostella_vectensis_NV2t007283001.1 NV2t007283001.1, Nematostella_vectensis_NV2t007282001.1 NV2t007282001.1, Nematostella_vectensis_NV2t011749001.1 NV2t011749001.1, Nematostella_vectensis_NV2t011749002.1 NV2t011749002.1, Nematostella_vectensis_NV2t011749003.1 NV2t011749003.1, Nematostella_vectensis_NV2t007825001.1 NV2t007825001.1, Nematostella_vectensis_NV2t022910001.1 NV2t022910001.1
OG0000049	Morbakka_virulenta_scaffold3390.g1.t1 scaffold3390.g1.t1, Morbakka_virulenta_scaffold314.g7.t1 scaffold314.g7.t1	Nematostella_vectensis_NV2t002812001.1 NV2t002812001.1
OG0000053	Morbakka_virulenta_scaffold155.g5.t1 scaffold155.g5.t1	Nematostella_vectensis_NV2t012441001.1 NV2t012441001.1
OG0000054	Morbakka_virulenta_scaffold47.g48.t2 scaffold47.g48.t2, Morbakka_virulenta_scaffold47.g48.t1 scaffold47.g48.t1	Nematostella_vectensis_NV2t000638001.1 NV2t000638001.1
OG0000056	Morbakka_virulenta_scaffold338.g2.t2 scaffold338.g2.t2, Morbakka_virulenta_scaffold338.g2.t1 scaffold338.g2.t1	Nematostella_vectensis_NV2t021066001.1 NV2t021066001.1, Nematostella_vectensis_NV2t021065001.1 NV2t021065001.1
OG0000056	Morbakka_virulenta_scaffold31.g52.t1 scaffold31.g52.t1	Nematostella_vectensis_NV2t020283001.1 NV2t020283001.1
OG0000059	Morbakka_virulenta_scaffold164.g5.t1 scaffold164.g5.t1	Nematostella_vectensis_NV2t018056001.1 NV2t018056001.1, Nematostella_vectensis_NV2t018054001.1 NV2t018054001.1, Nematostella_vectensis_NV2t013183002.1 NV2t013183002.1, Nematostella_vectensis_NV2t013183001.1 NV2t013183001.1, Nematostella_vectensis_NV2t021120001.1 NV2t021120001.1
OG0000061	Morbakka_virulenta_scaffold265.g6.t1 scaffold265.g6.t1, Morbakka_virulenta_scaffold92.g46.t1 scaffold92.g46.t1	Nematostella_vectensis_NV2t004625001.1 NV2t004625001.1
OG0000061	Morbakka_virulenta_scaffold73.g24.t1 scaffold73.g24.t1	Nematostella_vectensis_NV2t000137001.1 NV2t000137001.1, Nematostella_vectensis_NV2t000137003.1 NV2t000137003.1, Nematostella_vectensis_NV2t000137002.1 NV2t000137002.1
OG0000062	Morbakka_virulenta_scaffold194.g47.t1 scaffold194.g47.t1	Nematostella_vectensis_NV2t020618001.1 NV2t020618001.1
OG0000062	Morbakka_virulenta_scaffold601.g3.t1 scaffold601.g3.t1, Morbakka_virulenta_scaffold143.g43.t1 scaffold143.g43.t1, Morbakka_virulenta_scaffold143.g41.t1 scaffold143.g41.t1	Nematostella_vectensis_NV2t009243001.1 NV2t009243001.1
OG0000062	Morbakka_virulenta_scaffold2.g62.t1 scaffold2.g62.t1, Morbakka_virulenta_scaffold2.g62.t2 scaffold2.g62.t2	Nematostella_vectensis_NV2t019817003.1 NV2t019817003.1, Nematostella_vectensis_NV2t019817001.1 NV2t019817001.1, Nematostella_vectensis_NV2t019817002.1 NV2t019817002.1
OG0000064	Morbakka_virulenta_scaffold164.g7.t1 scaffold164.g7.t1	Nematostella_vectensis_NV2t022930001.1 NV2t022930001.1
OG0000065	Morbakka_virulenta_scaffold1.g340.t1 scaffold1.g340.t1	Nematostella_vectensis_NV2t022015001.1 NV2t022015001.1, Nematostella_vectensis_NV2t022018001.1 NV2t022018001.1
OG0000070	Morbakka_virulenta_scaffold64.g73.t1 scaffold64.g73.t1	Nematostella_vectensis_NV2t013306001.1 NV2t013306001.1
