Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Anthozoa_Xenia_spec
OG0000034	Morbakka_virulenta_scaffold1.g337.t1 scaffold1.g337.t1	Xenia_spec_Xe_014072_T1 Xe_014072_T1 Xe_014072
OG0000035	Morbakka_virulenta_scaffold138.g38.t1 scaffold138.g38.t1	Xenia_spec_Xe_009804_T1 Xe_009804_T1 Xe_009804, Xenia_spec_Xe_009806_T1 Xe_009806_T1 Xe_009806
OG0000035	Morbakka_virulenta_scaffold400.g3.t2 scaffold400.g3.t2, Morbakka_virulenta_scaffold400.g3.t1 scaffold400.g3.t1	Xenia_spec_Xe_008540_T1 Xe_008540_T1 Xe_008540
OG0000037	Morbakka_virulenta_scaffold93.g25.t1 scaffold93.g25.t1, Morbakka_virulenta_scaffold93.g22.t1 scaffold93.g22.t1, Morbakka_virulenta_scaffold338.g1.t1 scaffold338.g1.t1, Morbakka_virulenta_scaffold5.g153.t1 scaffold5.g153.t1, Morbakka_virulenta_scaffold119.g10.t1 scaffold119.g10.t1, Morbakka_virulenta_scaffold580.g3.t1 scaffold580.g3.t1, Morbakka_virulenta_scaffold11.g51.t1 scaffold11.g51.t1	Xenia_spec_Xe_014976_T1 Xe_014976_T1 Xe_014976, Xenia_spec_Xe_014975_T1 Xe_014975_T1 Xe_014975, Xenia_spec_Xe_014974_T1 Xe_014974_T1 Xe_014974
OG0000038	Morbakka_virulenta_scaffold302.g10.t1 scaffold302.g10.t1	Xenia_spec_Xe_014048_T1 Xe_014048_T1 Xe_014048, Xenia_spec_Xe_014047_T1 Xe_014047_T1 Xe_014047, Xenia_spec_Xe_014050_T1 Xe_014050_T1 Xe_014050, Xenia_spec_Xe_014051_T1 Xe_014051_T1 Xe_014051, Xenia_spec_Xe_014049_T1 Xe_014049_T1 Xe_014049
OG0000038	Morbakka_virulenta_scaffold9.g35.t1 scaffold9.g35.t1	Xenia_spec_Xe_014606_T1 Xe_014606_T1 Xe_014606
OG0000040	Morbakka_virulenta_scaffold2.g172.t2 scaffold2.g172.t2, Morbakka_virulenta_scaffold2.g172.t1 scaffold2.g172.t1	Xenia_spec_Xe_008384_T1 Xe_008384_T1 Xe_008384, Xenia_spec_Xe_008384_T2 Xe_008384_T2 Xe_008384
OG0000040	Morbakka_virulenta_scaffold37.g21.t1 scaffold37.g21.t1, Morbakka_virulenta_scaffold37.g22.t1 scaffold37.g22.t1	Xenia_spec_Xe_008627_T1 Xe_008627_T1 Xe_008627
OG0000041	Morbakka_virulenta_scaffold235.g13.t1 scaffold235.g13.t1, Morbakka_virulenta_scaffold235.g9.t1 scaffold235.g9.t1, Morbakka_virulenta_scaffold71.g73.t1 scaffold71.g73.t1	Xenia_spec_Xe_005440_T1 Xe_005440_T1 Xe_005440, Xenia_spec_Xe_005437_T1 Xe_005437_T1 Xe_005437, Xenia_spec_Xe_005431_T1 Xe_005431_T1 Xe_005431, Xenia_spec_Xe_005447_T1 Xe_005447_T1 Xe_005447, Xenia_spec_Xe_005456_T1 Xe_005456_T1 Xe_005456, Xenia_spec_Xe_005470_T1 Xe_005470_T1 Xe_005470, Xenia_spec_Xe_005444_T1 Xe_005444_T1 Xe_005444, Xenia_spec_Xe_005450_T1 Xe_005450_T1 Xe_005450, Xenia_spec_Xe_005434_T1 Xe_005434_T1 Xe_005434, Xenia_spec_Xe_005453_T1 Xe_005453_T1 Xe_005453, Xenia_spec_Xe_005472_T1 Xe_005472_T1 Xe_005472, Xenia_spec_Xe_005471_T1 Xe_005471_T1 Xe_005471, Xenia_spec_Xe_005454_T1 Xe_005454_T1 Xe_005454
OG0000041	Morbakka_virulenta_scaffold92.g7.t1 scaffold92.g7.t1	Xenia_spec_Xe_012595_T1 Xe_012595_T1 Xe_012595
OG0000042	Morbakka_virulenta_scaffold130.g32.t2 scaffold130.g32.t2, Morbakka_virulenta_scaffold130.g32.t1 scaffold130.g32.t1, Morbakka_virulenta_scaffold45.g44.t1 scaffold45.g44.t1, Morbakka_virulenta_scaffold130.g29.t1 scaffold130.g29.t1	Xenia_spec_Xe_012350_T1 Xe_012350_T1 Xe_012350
OG0000042	Morbakka_virulenta_scaffold263.g24.t1 scaffold263.g24.t1	Xenia_spec_Xe_020831_T1 Xe_020831_T1 Xe_020831, Xenia_spec_Xe_020822_T1 Xe_020822_T1 Xe_020822
OG0000044	Morbakka_virulenta_scaffold291.g8.t1 scaffold291.g8.t1, Morbakka_virulenta_scaffold99.g38.t1 scaffold99.g38.t1, Morbakka_virulenta_scaffold90.g31.t1 scaffold90.g31.t1, Morbakka_virulenta_scaffold90.g28.t1 scaffold90.g28.t1, Morbakka_virulenta_scaffold433.g1.t1 scaffold433.g1.t1	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377
OG0000045	Morbakka_virulenta_scaffold63.g34.t1 scaffold63.g34.t1, Morbakka_virulenta_scaffold63.g34.t2 scaffold63.g34.t2	Xenia_spec_Xe_020060_T1 Xe_020060_T1 Xe_020060
OG0000045	Morbakka_virulenta_scaffold15.g22.t1 scaffold15.g22.t1	Xenia_spec_Xe_002603_T1 Xe_002603_T1 Xe_002603
OG0000045	Morbakka_virulenta_scaffold15.g24.t1 scaffold15.g24.t1	Xenia_spec_Xe_002601_T1 Xe_002601_T1 Xe_002601
OG0000049	Morbakka_virulenta_scaffold314.g7.t1 scaffold314.g7.t1	Xenia_spec_Xe_014133_T1 Xe_014133_T1 Xe_014133
OG0000053	Morbakka_virulenta_scaffold155.g5.t1 scaffold155.g5.t1	Xenia_spec_Xe_017104_T1 Xe_017104_T1 Xe_017104
OG0000054	Morbakka_virulenta_scaffold47.g48.t2 scaffold47.g48.t2, Morbakka_virulenta_scaffold47.g48.t1 scaffold47.g48.t1	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386
OG0000059	Morbakka_virulenta_scaffold164.g5.t1 scaffold164.g5.t1	Xenia_spec_Xe_008324_T1 Xe_008324_T1 Xe_008324
OG0000061	Morbakka_virulenta_scaffold265.g6.t1 scaffold265.g6.t1, Morbakka_virulenta_scaffold92.g46.t1 scaffold92.g46.t1	Xenia_spec_Xe_020705_T1 Xe_020705_T1 Xe_020705
OG0000061	Morbakka_virulenta_scaffold73.g24.t1 scaffold73.g24.t1	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790
OG0000062	Morbakka_virulenta_scaffold194.g47.t1 scaffold194.g47.t1	Xenia_spec_Xe_011999_T1 Xe_011999_T1 Xe_011999
OG0000062	Morbakka_virulenta_scaffold2.g62.t1 scaffold2.g62.t1, Morbakka_virulenta_scaffold2.g62.t2 scaffold2.g62.t2	Xenia_spec_Xe_011884_T1 Xe_011884_T1 Xe_011884
OG0000062	Morbakka_virulenta_scaffold2.g110.t3 scaffold2.g110.t3, Morbakka_virulenta_scaffold2.g110.t1 scaffold2.g110.t1, Morbakka_virulenta_scaffold2.g110.t2 scaffold2.g110.t2	Xenia_spec_Xe_011964_T1 Xe_011964_T1 Xe_011964
OG0000064	Morbakka_virulenta_scaffold164.g4.t1 scaffold164.g4.t1, Morbakka_virulenta_scaffold164.g4.t2 scaffold164.g4.t2, Morbakka_virulenta_scaffold164.g7.t1 scaffold164.g7.t1	Xenia_spec_Xe_002322_T1 Xe_002322_T1 Xe_002322
OG0000065	Morbakka_virulenta_scaffold1.g340.t1 scaffold1.g340.t1	Xenia_spec_Xe_015641_T1 Xe_015641_T1 Xe_015641, Xenia_spec_Xe_015614_T1 Xe_015614_T1 Xe_015614, Xenia_spec_Xe_015613_T1 Xe_015613_T1 Xe_015613
OG0000070	Morbakka_virulenta_scaffold64.g73.t1 scaffold64.g73.t1	Xenia_spec_Xe_012561_T1 Xe_012561_T1 Xe_012561
OG0000070	Morbakka_virulenta_scaffold190.g18.t1 scaffold190.g18.t1	Xenia_spec_Xe_000193_T1 Xe_000193_T1 Xe_000193
OG0000073	Morbakka_virulenta_scaffold47.g78.t1 scaffold47.g78.t1	Xenia_spec_Xe_001002_T1 Xe_001002_T1 Xe_001002, Xenia_spec_Xe_001017_T1 Xe_001017_T1 Xe_001017, Xenia_spec_Xe_001018_T1 Xe_001018_T1 Xe_001018, Xenia_spec_Xe_001020_T1 Xe_001020_T1 Xe_001020, Xenia_spec_Xe_001022_T1 Xe_001022_T1 Xe_001022, Xenia_spec_Xe_001024_T1 Xe_001024_T1 Xe_001024, Xenia_spec_Xe_020104_T1 Xe_020104_T1 Xe_020104, Xenia_spec_Xe_001000_T1 Xe_001000_T1 Xe_001000, Xenia_spec_Xe_000999_T1 Xe_000999_T1 Xe_000999, Xenia_spec_Xe_001025_T1 Xe_001025_T1 Xe_001025, Xenia_spec_Xe_000993_T1 Xe_000993_T1 Xe_000993, Xenia_spec_Xe_000995_T1 Xe_000995_T1 Xe_000995, Xenia_spec_Xe_000995_T2 Xe_000995_T2 Xe_000995, Xenia_spec_Xe_000996_T1 Xe_000996_T1 Xe_000996, Xenia_spec_Xe_000994_T2 Xe_000994_T2 Xe_000994, Xenia_spec_Xe_000994_T1 Xe_000994_T1 Xe_000994
OG0000081	Morbakka_virulenta_scaffold161.g34.t1 scaffold161.g34.t1	Xenia_spec_Xe_004317_T1 Xe_004317_T1 Xe_004317
OG0000088	Morbakka_virulenta_scaffold280.g21.t2 scaffold280.g21.t2, Morbakka_virulenta_scaffold280.g21.t3 scaffold280.g21.t3, Morbakka_virulenta_scaffold280.g21.t1 scaffold280.g21.t1	Xenia_spec_Xe_008756_T1 Xe_008756_T1 Xe_008756
OG0000089	Morbakka_virulenta_scaffold156.g14.t2 scaffold156.g14.t2, Morbakka_virulenta_scaffold156.g14.t1 scaffold156.g14.t1	Xenia_spec_Xe_014721_T1 Xe_014721_T1 Xe_014721
OG0000093	Morbakka_virulenta_scaffold54.g15.t1 scaffold54.g15.t1, Morbakka_virulenta_scaffold90.g61.t1 scaffold90.g61.t1	Xenia_spec_Xe_018469_T1 Xe_018469_T1 Xe_018469, Xenia_spec_Xe_020077_T1 Xe_020077_T1 Xe_020077, Xenia_spec_Xe_018297_T1 Xe_018297_T1 Xe_018297, Xenia_spec_Xe_018334_T1 Xe_018334_T1 Xe_018334, Xenia_spec_Xe_018335_T1 Xe_018335_T1 Xe_018335
OG0000094	Morbakka_virulenta_scaffold354.g9.t4 scaffold354.g9.t4, Morbakka_virulenta_scaffold354.g9.t1 scaffold354.g9.t1, Morbakka_virulenta_scaffold354.g9.t3 scaffold354.g9.t3, Morbakka_virulenta_scaffold354.g9.t2 scaffold354.g9.t2	Xenia_spec_Xe_014308_T1 Xe_014308_T1 Xe_014308
OG0000099	Morbakka_virulenta_scaffold240.g24.t1 scaffold240.g24.t1	Xenia_spec_Xe_014903_T1 Xe_014903_T1 Xe_014903, Xenia_spec_Xe_002440_T1 Xe_002440_T1 Xe_002440, Xenia_spec_Xe_003140_T1 Xe_003140_T1 Xe_003140, Xenia_spec_Xe_001885_T1 Xe_001885_T1 Xe_001885
OG0000100	Morbakka_virulenta_scaffold275.g5.t1 scaffold275.g5.t1, Morbakka_virulenta_scaffold275.g5.t2 scaffold275.g5.t2	Xenia_spec_Xe_006066_T1 Xe_006066_T1 Xe_006066
OG0000100	Morbakka_virulenta_scaffold275.g7.t1 scaffold275.g7.t1, Morbakka_virulenta_scaffold275.g7.t2 scaffold275.g7.t2	Xenia_spec_Xe_006067_T1 Xe_006067_T1 Xe_006067
OG0000103	Morbakka_virulenta_scaffold34.g37.t1 scaffold34.g37.t1, Morbakka_virulenta_scaffold34.g37.t2 scaffold34.g37.t2, Morbakka_virulenta_scaffold34.g37.t3 scaffold34.g37.t3	Xenia_spec_Xe_009673_T1 Xe_009673_T1 Xe_009673
OG0000106	Morbakka_virulenta_scaffold239.g8.t1 scaffold239.g8.t1	Xenia_spec_Xe_017467_T1 Xe_017467_T1 Xe_017467, Xenia_spec_Xe_017483_T1 Xe_017483_T1 Xe_017483, Xenia_spec_Xe_017470_T1 Xe_017470_T1 Xe_017470, Xenia_spec_Xe_017492_T1 Xe_017492_T1 Xe_017492
OG0000111	Morbakka_virulenta_scaffold143.g12.t1 scaffold143.g12.t1	Xenia_spec_Xe_018449_T1 Xe_018449_T1 Xe_018449
OG0000113	Morbakka_virulenta_scaffold13.g58.t1 scaffold13.g58.t1	Xenia_spec_Xe_014684_T1 Xe_014684_T1 Xe_014684
OG0000116	Morbakka_virulenta_scaffold2.g208.t1 scaffold2.g208.t1, Morbakka_virulenta_scaffold37.g83.t1 scaffold37.g83.t1, Morbakka_virulenta_scaffold37.g83.t2 scaffold37.g83.t2	Xenia_spec_Xe_014990_T1 Xe_014990_T1 Xe_014990
OG0000119	Morbakka_virulenta_scaffold295.g10.t1 scaffold295.g10.t1, Morbakka_virulenta_scaffold568.g2.t1 scaffold568.g2.t1	Xenia_spec_Xe_000603_T1 Xe_000603_T1 Xe_000603
OG0000121	Morbakka_virulenta_scaffold324.g6.t1 scaffold324.g6.t1, Morbakka_virulenta_scaffold324.g6.t2 scaffold324.g6.t2	Xenia_spec_Xe_002883_T1 Xe_002883_T1 Xe_002883
OG0000131	Morbakka_virulenta_scaffold376.g16.t1 scaffold376.g16.t1	Xenia_spec_Xe_012716_T1 Xe_012716_T1 Xe_012716
OG0000133	Morbakka_virulenta_scaffold115.g46.t4 scaffold115.g46.t4, Morbakka_virulenta_scaffold115.g46.t3 scaffold115.g46.t3, Morbakka_virulenta_scaffold115.g46.t2 scaffold115.g46.t2	Xenia_spec_Xe_002448_T1 Xe_002448_T1 Xe_002448
OG0000134	Morbakka_virulenta_scaffold32.g95.t1 scaffold32.g95.t1	Xenia_spec_Xe_007510_T1 Xe_007510_T1 Xe_007510
OG0000138	Morbakka_virulenta_scaffold116.g18.t1 scaffold116.g18.t1, Morbakka_virulenta_scaffold116.g18.t3 scaffold116.g18.t3, Morbakka_virulenta_scaffold116.g18.t4 scaffold116.g18.t4	Xenia_spec_Xe_007880_T1 Xe_007880_T1 Xe_007880
OG0000150	Morbakka_virulenta_scaffold239.g11.t1 scaffold239.g11.t1, Morbakka_virulenta_scaffold239.g11.t2 scaffold239.g11.t2	Xenia_spec_Xe_007831_T1 Xe_007831_T1 Xe_007831
OG0000155	Morbakka_virulenta_scaffold44.g8.t1 scaffold44.g8.t1	Xenia_spec_Xe_002899_T1 Xe_002899_T1 Xe_002899, Xenia_spec_Xe_002898_T1 Xe_002898_T1 Xe_002898
OG0000158	Morbakka_virulenta_scaffold168.g4.t1 scaffold168.g4.t1	Xenia_spec_Xe_004819_T1 Xe_004819_T1 Xe_004819
OG0000159	Morbakka_virulenta_scaffold354.g7.t1 scaffold354.g7.t1, Morbakka_virulenta_scaffold145.g18.t1 scaffold145.g18.t1	Xenia_spec_Xe_013605_T1 Xe_013605_T1 Xe_013605
OG0000160	Morbakka_virulenta_scaffold358.g7.t2 scaffold358.g7.t2, Morbakka_virulenta_scaffold358.g7.t1 scaffold358.g7.t1	Xenia_spec_Xe_004370_T1 Xe_004370_T1 Xe_004370
OG0000165	Morbakka_virulenta_scaffold605.g6.t1 scaffold605.g6.t1	Xenia_spec_Xe_014466_T1 Xe_014466_T1 Xe_014466
OG0000177	Morbakka_virulenta_scaffold10.g110.t1 scaffold10.g110.t1	Xenia_spec_Xe_012642_T1 Xe_012642_T1 Xe_012642
OG0000182	Morbakka_virulenta_scaffold230.g9.t1 scaffold230.g9.t1	Xenia_spec_Xe_018472_T1 Xe_018472_T1 Xe_018472
OG0000187	Morbakka_virulenta_scaffold124.g42.t1 scaffold124.g42.t1	Xenia_spec_Xe_005860_T1 Xe_005860_T1 Xe_005860, Xenia_spec_Xe_005930_T1 Xe_005930_T1 Xe_005930
OG0000188	Morbakka_virulenta_scaffold16.g69.t2 scaffold16.g69.t2, Morbakka_virulenta_scaffold16.g69.t1 scaffold16.g69.t1	Xenia_spec_Xe_000226_T1 Xe_000226_T1 Xe_000226
OG0000192	Morbakka_virulenta_scaffold418.g5.t1 scaffold418.g5.t1	Xenia_spec_Xe_016382_T1 Xe_016382_T1 Xe_016382
OG0000193	Morbakka_virulenta_scaffold139.g21.t1 scaffold139.g21.t1	Xenia_spec_Xe_008475_T1 Xe_008475_T1 Xe_008475
OG0000195	Morbakka_virulenta_scaffold255.g23.t1 scaffold255.g23.t1	Xenia_spec_Xe_009602_T1 Xe_009602_T1 Xe_009602
OG0000197	Morbakka_virulenta_scaffold30.g93.t1 scaffold30.g93.t1	Xenia_spec_Xe_007048_T1 Xe_007048_T1 Xe_007048
OG0000199	Morbakka_virulenta_scaffold99.g3.t1 scaffold99.g3.t1	Xenia_spec_Xe_013084_T1 Xe_013084_T1 Xe_013084
OG0000200	Morbakka_virulenta_scaffold111.g35.t1 scaffold111.g35.t1	Xenia_spec_Xe_015525_T1 Xe_015525_T1 Xe_015525
OG0000201	Morbakka_virulenta_scaffold264.g14.t2 scaffold264.g14.t2, Morbakka_virulenta_scaffold264.g14.t1 scaffold264.g14.t1	Xenia_spec_Xe_003238_T1 Xe_003238_T1 Xe_003238
OG0000203	Morbakka_virulenta_scaffold13.g9.t1 scaffold13.g9.t1	Xenia_spec_Xe_014757_T1 Xe_014757_T1 Xe_014757
OG0000204	Morbakka_virulenta_scaffold496.g8.t1 scaffold496.g8.t1, Morbakka_virulenta_scaffold496.g8.t2 scaffold496.g8.t2	Xenia_spec_Xe_015988_T1 Xe_015988_T1 Xe_015988
OG0000210	Morbakka_virulenta_scaffold13.g23.t1 scaffold13.g23.t1	Xenia_spec_Xe_014129_T1 Xe_014129_T1 Xe_014129
OG0000211	Morbakka_virulenta_scaffold1.g27.t1 scaffold1.g27.t1	Xenia_spec_Xe_009004_T2 Xe_009004_T2 Xe_009004, Xenia_spec_Xe_009004_T1 Xe_009004_T1 Xe_009004
OG0000212	Morbakka_virulenta_scaffold162.g11.t1 scaffold162.g11.t1	Xenia_spec_Xe_007486_T1 Xe_007486_T1 Xe_007486
OG0000213	Morbakka_virulenta_scaffold165.g72.t1 scaffold165.g72.t1	Xenia_spec_Xe_007490_T1 Xe_007490_T1 Xe_007490
OG0000214	Morbakka_virulenta_scaffold1242.g1.t1 scaffold1242.g1.t1	Xenia_spec_Xe_003060_T1 Xe_003060_T1 Xe_003060
OG0000229	Morbakka_virulenta_scaffold531.g6.t1 scaffold531.g6.t1, Morbakka_virulenta_scaffold531.g6.t2 scaffold531.g6.t2	Xenia_spec_Xe_012336_T1 Xe_012336_T1 Xe_012336
OG0000231	Morbakka_virulenta_scaffold23.g97.t3 scaffold23.g97.t3, Morbakka_virulenta_scaffold23.g97.t2 scaffold23.g97.t2, Morbakka_virulenta_scaffold23.g97.t1 scaffold23.g97.t1	Xenia_spec_Xe_000375_T1 Xe_000375_T1 Xe_000375
OG0000237	Morbakka_virulenta_scaffold1.g338.t2 scaffold1.g338.t2, Morbakka_virulenta_scaffold1.g338.t1 scaffold1.g338.t1	Xenia_spec_Xe_014192_T1 Xe_014192_T1 Xe_014192
OG0000248	Morbakka_virulenta_scaffold50.g55.t1 scaffold50.g55.t1, Morbakka_virulenta_scaffold461.g6.t3 scaffold461.g6.t3	Xenia_spec_Xe_002388_T1 Xe_002388_T1 Xe_002388
OG0000258	Morbakka_virulenta_scaffold127.g45.t1 scaffold127.g45.t1	Xenia_spec_Xe_010595_T1 Xe_010595_T1 Xe_010595
OG0000265	Morbakka_virulenta_scaffold9.g9.t1 scaffold9.g9.t1	Xenia_spec_Xe_015827_T1 Xe_015827_T1 Xe_015827
OG0000268	Morbakka_virulenta_scaffold84.g62.t1 scaffold84.g62.t1	Xenia_spec_Xe_018600_T1 Xe_018600_T1 Xe_018600
OG0000286	Morbakka_virulenta_scaffold101.g33.t1 scaffold101.g33.t1	Xenia_spec_Xe_006853_T1 Xe_006853_T1 Xe_006853, Xenia_spec_Xe_005192_T1 Xe_005192_T1 Xe_005192, Xenia_spec_Xe_011406_T1 Xe_011406_T1 Xe_011406
OG0000288	Morbakka_virulenta_scaffold74.g27.t1 scaffold74.g27.t1, Morbakka_virulenta_scaffold145.g15.t1 scaffold145.g15.t1	Xenia_spec_Xe_002020_T1 Xe_002020_T1 Xe_002020
OG0000302	Morbakka_virulenta_scaffold27.g45.t1 scaffold27.g45.t1	Xenia_spec_Xe_000432_T1 Xe_000432_T1 Xe_000432, Xenia_spec_Xe_001210_T1 Xe_001210_T1 Xe_001210
OG0000303	Morbakka_virulenta_scaffold41.g17.t1 scaffold41.g17.t1	Xenia_spec_Xe_013147_T1 Xe_013147_T1 Xe_013147, Xenia_spec_Xe_013893_T1 Xe_013893_T1 Xe_013893
OG0000309	Morbakka_virulenta_scaffold3752.g1.t1 scaffold3752.g1.t1	Xenia_spec_Xe_002052_T1 Xe_002052_T1 Xe_002052
OG0000330	Morbakka_virulenta_scaffold70.g14.t2 scaffold70.g14.t2, Morbakka_virulenta_scaffold70.g14.t3 scaffold70.g14.t3	Xenia_spec_Xe_001209_T1 Xe_001209_T1 Xe_001209, Xenia_spec_Xe_009933_T1 Xe_009933_T1 Xe_009933
OG0000349	Morbakka_virulenta_scaffold224.g30.t1 scaffold224.g30.t1	Xenia_spec_Xe_018605_T1 Xe_018605_T1 Xe_018605
OG0000365	Morbakka_virulenta_scaffold643.g7.t1 scaffold643.g7.t1	Xenia_spec_Xe_020704_T1 Xe_020704_T1 Xe_020704
OG0000375	Morbakka_virulenta_scaffold100.g46.t1 scaffold100.g46.t1	Xenia_spec_Xe_002414_T1 Xe_002414_T1 Xe_002414
OG0000399	Morbakka_virulenta_scaffold241.g22.t1 scaffold241.g22.t1	Xenia_spec_Xe_002872_T1 Xe_002872_T1 Xe_002872
OG0000434	Morbakka_virulenta_scaffold325.g17.t1 scaffold325.g17.t1, Morbakka_virulenta_scaffold325.g17.t2 scaffold325.g17.t2	Xenia_spec_Xe_004432_T1 Xe_004432_T1 Xe_004432
OG0000594	Morbakka_virulenta_scaffold476.g8.t1 scaffold476.g8.t1	Xenia_spec_Xe_020042_T1 Xe_020042_T1 Xe_020042
OG0000595	Morbakka_virulenta_scaffold5.g57.t1 scaffold5.g57.t1	Xenia_spec_Xe_001086_T1 Xe_001086_T1 Xe_001086
OG0000600	Morbakka_virulenta_scaffold582.g5.t1 scaffold582.g5.t1	Xenia_spec_Xe_008212_T1 Xe_008212_T1 Xe_008212
