Orthogroup	Cnidaria_Cubozoa_Morbakka_virulenta	Cnidaria_Anthozoa_Acropora_digitifera
OG0000015	Morbakka_virulenta_scaffold70.g1.t1 scaffold70.g1.t1	Acropora_digitifera_adi_v1.23833 adi_v1.23833, Acropora_digitifera_adi_v1.22393 adi_v1.22393, Acropora_digitifera_adi_v1.10186 adi_v1.10186
OG0000016	Morbakka_virulenta_scaffold88.g16.t1 scaffold88.g16.t1, Morbakka_virulenta_scaffold69.g105.t1 scaffold69.g105.t1, Morbakka_virulenta_scaffold69.g105.t2 scaffold69.g105.t2, Morbakka_virulenta_scaffold45.g73.t1 scaffold45.g73.t1, Morbakka_virulenta_scaffold45.g74.t1 scaffold45.g74.t1	Acropora_digitifera_adi_v1.02177 adi_v1.02177, Acropora_digitifera_adi_v1.02174 adi_v1.02174
OG0000016	Morbakka_virulenta_scaffold413.g13.t1 scaffold413.g13.t1	Acropora_digitifera_adi_v1.22761 adi_v1.22761
OG0000016	Morbakka_virulenta_scaffold592.g1.t1 scaffold592.g1.t1	Acropora_digitifera_adi_v1.03032 adi_v1.03032
OG0000018	Morbakka_virulenta_scaffold203.g33.t1 scaffold203.g33.t1, Morbakka_virulenta_scaffold290.g29.t1 scaffold290.g29.t1, Morbakka_virulenta_scaffold290.g29.t2 scaffold290.g29.t2, Morbakka_virulenta_scaffold290.g29.t3 scaffold290.g29.t3	Acropora_digitifera_adi_v1.08251 adi_v1.08251, Acropora_digitifera_adi_v1.08253 adi_v1.08253
OG0000018	Morbakka_virulenta_scaffold18.g35.t1 scaffold18.g35.t1, Morbakka_virulenta_scaffold18.g35.t2 scaffold18.g35.t2	Acropora_digitifera_adi_v1.18899 adi_v1.18899
OG0000019	Morbakka_virulenta_scaffold47.g131.t1 scaffold47.g131.t1, Morbakka_virulenta_scaffold455.g5.t1 scaffold455.g5.t1	Acropora_digitifera_adi_v1.06152 adi_v1.06152, Acropora_digitifera_adi_v1.06153 adi_v1.06153
OG0000019	Morbakka_virulenta_scaffold135.g49.t1 scaffold135.g49.t1	Acropora_digitifera_adi_v1.07696 adi_v1.07696
OG0000019	Morbakka_virulenta_scaffold7.g3.t1 scaffold7.g3.t1	Acropora_digitifera_adi_v1.01025 adi_v1.01025
OG0000019	Morbakka_virulenta_scaffold36.g28.t1 scaffold36.g28.t1	Acropora_digitifera_adi_v1.07728 adi_v1.07728
OG0000020	Morbakka_virulenta_scaffold39.g96.t1 scaffold39.g96.t1	Acropora_digitifera_adi_v1.23219 adi_v1.23219
OG0000020	Morbakka_virulenta_scaffold131.g48.t3 scaffold131.g48.t3, Morbakka_virulenta_scaffold131.g48.t2 scaffold131.g48.t2, Morbakka_virulenta_scaffold131.g48.t1 scaffold131.g48.t1, Morbakka_virulenta_scaffold461.g6.t1 scaffold461.g6.t1, Morbakka_virulenta_scaffold461.g6.t2 scaffold461.g6.t2	Acropora_digitifera_adi_v1.23748 adi_v1.23748, Acropora_digitifera_adi_v1.04537 adi_v1.04537, Acropora_digitifera_adi_v1.23610 adi_v1.23610
OG0000020	Morbakka_virulenta_scaffold116.g19.t1 scaffold116.g19.t1, Morbakka_virulenta_scaffold116.g19.t2 scaffold116.g19.t2	Acropora_digitifera_adi_v1.09052 adi_v1.09052
OG0000021	Morbakka_virulenta_scaffold66.g10.t1 scaffold66.g10.t1, Morbakka_virulenta_scaffold66.g10.t2 scaffold66.g10.t2	Acropora_digitifera_adi_v1.16464 adi_v1.16464, Acropora_digitifera_adi_v1.16465 adi_v1.16465
OG0000021	Morbakka_virulenta_scaffold3.g40.t1 scaffold3.g40.t1, Morbakka_virulenta_scaffold3.g40.t2 scaffold3.g40.t2	Acropora_digitifera_adi_v1.00468 adi_v1.00468
OG0000022	Morbakka_virulenta_scaffold487.g4.t1 scaffold487.g4.t1	Acropora_digitifera_adi_v1.13744 adi_v1.13744, Acropora_digitifera_adi_v1.07947 adi_v1.07947
OG0000022	Morbakka_virulenta_scaffold487.g6.t1 scaffold487.g6.t1	Acropora_digitifera_adi_v1.17095 adi_v1.17095
OG0000023	Morbakka_virulenta_scaffold206.g31.t1 scaffold206.g31.t1	Acropora_digitifera_adi_v1.19445 adi_v1.19445
OG0000023	Morbakka_virulenta_scaffold2.g131.t1 scaffold2.g131.t1	Acropora_digitifera_adi_v1.03638 adi_v1.03638
OG0000024	Morbakka_virulenta_scaffold12.g79.t1 scaffold12.g79.t1	Acropora_digitifera_adi_v1.21193 adi_v1.21193
OG0000027	Morbakka_virulenta_scaffold424.g6.t1 scaffold424.g6.t1	Acropora_digitifera_adi_v1.00758 adi_v1.00758
OG0000028	Morbakka_virulenta_scaffold9.g62.t1 scaffold9.g62.t1	Acropora_digitifera_adi_v1.22704 adi_v1.22704
OG0000029	Morbakka_virulenta_scaffold331.g4.t1 scaffold331.g4.t1	Acropora_digitifera_adi_v1.05908 adi_v1.05908, Acropora_digitifera_adi_v1.23964 adi_v1.23964
OG0000029	Morbakka_virulenta_scaffold331.g11.t1 scaffold331.g11.t1	Acropora_digitifera_adi_v1.05909 adi_v1.05909, Acropora_digitifera_adi_v1.07579 adi_v1.07579
OG0000029	Morbakka_virulenta_scaffold154.g38.t1 scaffold154.g38.t1	Acropora_digitifera_adi_v1.23498 adi_v1.23498
OG0000029	Morbakka_virulenta_scaffold12.g130.t1 scaffold12.g130.t1	Acropora_digitifera_adi_v1.06123 adi_v1.06123, Acropora_digitifera_adi_v1.06122 adi_v1.06122, Acropora_digitifera_adi_v1.15580 adi_v1.15580, Acropora_digitifera_adi_v1.18528 adi_v1.18528, Acropora_digitifera_adi_v1.24512 adi_v1.24512
OG0000030	Morbakka_virulenta_scaffold273.g11.t2 scaffold273.g11.t2, Morbakka_virulenta_scaffold273.g11.t1 scaffold273.g11.t1	Acropora_digitifera_adi_v1.13106 adi_v1.13106
OG0000030	Morbakka_virulenta_scaffold233.g2.t1 scaffold233.g2.t1	Acropora_digitifera_adi_v1.09623 adi_v1.09623
OG0000034	Morbakka_virulenta_scaffold45.g31.t2 scaffold45.g31.t2, Morbakka_virulenta_scaffold45.g31.t1 scaffold45.g31.t1	Acropora_digitifera_adi_v1.08610 adi_v1.08610
OG0000034	Morbakka_virulenta_scaffold1.g337.t2 scaffold1.g337.t2, Morbakka_virulenta_scaffold1.g337.t3 scaffold1.g337.t3	Acropora_digitifera_adi_v1.13495 adi_v1.13495
OG0000035	Morbakka_virulenta_scaffold400.g3.t2 scaffold400.g3.t2, Morbakka_virulenta_scaffold400.g3.t1 scaffold400.g3.t1	Acropora_digitifera_adi_v1.00964 adi_v1.00964, Acropora_digitifera_adi_v1.01652 adi_v1.01652
OG0000036	Morbakka_virulenta_scaffold2.g64.t1 scaffold2.g64.t1	Acropora_digitifera_adi_v1.11172 adi_v1.11172
OG0000037	Morbakka_virulenta_scaffold93.g25.t1 scaffold93.g25.t1, Morbakka_virulenta_scaffold93.g22.t1 scaffold93.g22.t1	Acropora_digitifera_adi_v1.12940 adi_v1.12940, Acropora_digitifera_adi_v1.22657 adi_v1.22657
OG0000038	Morbakka_virulenta_scaffold302.g10.t1 scaffold302.g10.t1	Acropora_digitifera_adi_v1.19173 adi_v1.19173, Acropora_digitifera_adi_v1.19174 adi_v1.19174, Acropora_digitifera_adi_v1.19172 adi_v1.19172
OG0000038	Morbakka_virulenta_scaffold9.g35.t1 scaffold9.g35.t1	Acropora_digitifera_adi_v1.24713 adi_v1.24713
OG0000040	Morbakka_virulenta_scaffold37.g21.t1 scaffold37.g21.t1, Morbakka_virulenta_scaffold37.g22.t1 scaffold37.g22.t1	Acropora_digitifera_adi_v1.10909 adi_v1.10909, Acropora_digitifera_adi_v1.09775 adi_v1.09775
OG0000041	Morbakka_virulenta_scaffold235.g13.t1 scaffold235.g13.t1, Morbakka_virulenta_scaffold235.g9.t1 scaffold235.g9.t1, Morbakka_virulenta_scaffold71.g73.t1 scaffold71.g73.t1	Acropora_digitifera_adi_v1.03072 adi_v1.03072
OG0000041	Morbakka_virulenta_scaffold92.g7.t1 scaffold92.g7.t1	Acropora_digitifera_adi_v1.21179 adi_v1.21179
OG0000042	Morbakka_virulenta_scaffold130.g32.t2 scaffold130.g32.t2, Morbakka_virulenta_scaffold130.g32.t1 scaffold130.g32.t1, Morbakka_virulenta_scaffold45.g44.t1 scaffold45.g44.t1, Morbakka_virulenta_scaffold130.g29.t1 scaffold130.g29.t1	Acropora_digitifera_adi_v1.01395 adi_v1.01395
OG0000042	Morbakka_virulenta_scaffold263.g24.t1 scaffold263.g24.t1	Acropora_digitifera_adi_v1.15503 adi_v1.15503, Acropora_digitifera_adi_v1.15501 adi_v1.15501
OG0000044	Morbakka_virulenta_scaffold291.g8.t1 scaffold291.g8.t1, Morbakka_virulenta_scaffold99.g38.t1 scaffold99.g38.t1, Morbakka_virulenta_scaffold90.g31.t1 scaffold90.g31.t1, Morbakka_virulenta_scaffold90.g28.t1 scaffold90.g28.t1, Morbakka_virulenta_scaffold433.g1.t1 scaffold433.g1.t1	Acropora_digitifera_adi_v1.17869 adi_v1.17869, Acropora_digitifera_adi_v1.01279 adi_v1.01279, Acropora_digitifera_adi_v1.01276 adi_v1.01276, Acropora_digitifera_adi_v1.01277 adi_v1.01277
OG0000045	Morbakka_virulenta_scaffold63.g34.t1 scaffold63.g34.t1, Morbakka_virulenta_scaffold63.g34.t2 scaffold63.g34.t2	Acropora_digitifera_adi_v1.09586 adi_v1.09586
OG0000045	Morbakka_virulenta_scaffold63.g33.t1 scaffold63.g33.t1	Acropora_digitifera_adi_v1.17109 adi_v1.17109
OG0000045	Morbakka_virulenta_scaffold15.g24.t1 scaffold15.g24.t1	Acropora_digitifera_adi_v1.23198 adi_v1.23198
OG0000046	Morbakka_virulenta_scaffold117.g12.t1 scaffold117.g12.t1	Acropora_digitifera_adi_v1.11433 adi_v1.11433, Acropora_digitifera_adi_v1.13810 adi_v1.13810, Acropora_digitifera_adi_v1.22260 adi_v1.22260, Acropora_digitifera_adi_v1.17607 adi_v1.17607, Acropora_digitifera_adi_v1.10417 adi_v1.10417, Acropora_digitifera_adi_v1.11233 adi_v1.11233, Acropora_digitifera_adi_v1.11714 adi_v1.11714, Acropora_digitifera_adi_v1.18842 adi_v1.18842, Acropora_digitifera_adi_v1.23505 adi_v1.23505, Acropora_digitifera_adi_v1.23018 adi_v1.23018, Acropora_digitifera_adi_v1.02067 adi_v1.02067, Acropora_digitifera_adi_v1.23506 adi_v1.23506, Acropora_digitifera_adi_v1.10319 adi_v1.10319, Acropora_digitifera_adi_v1.24389 adi_v1.24389, Acropora_digitifera_adi_v1.21947 adi_v1.21947, Acropora_digitifera_adi_v1.00626 adi_v1.00626
OG0000049	Morbakka_virulenta_scaffold3390.g1.t1 scaffold3390.g1.t1, Morbakka_virulenta_scaffold314.g7.t1 scaffold314.g7.t1	Acropora_digitifera_adi_v1.00526 adi_v1.00526
OG0000054	Morbakka_virulenta_scaffold47.g48.t2 scaffold47.g48.t2, Morbakka_virulenta_scaffold47.g48.t1 scaffold47.g48.t1	Acropora_digitifera_adi_v1.13439 adi_v1.13439
OG0000056	Morbakka_virulenta_scaffold31.g52.t1 scaffold31.g52.t1	Acropora_digitifera_adi_v1.22521 adi_v1.22521
OG0000058	Morbakka_virulenta_scaffold244.g20.t1 scaffold244.g20.t1	Acropora_digitifera_adi_v1.09968 adi_v1.09968
OG0000059	Morbakka_virulenta_scaffold164.g5.t1 scaffold164.g5.t1	Acropora_digitifera_adi_v1.03807 adi_v1.03807, Acropora_digitifera_adi_v1.22370 adi_v1.22370
OG0000062	Morbakka_virulenta_scaffold194.g47.t1 scaffold194.g47.t1, Morbakka_virulenta_scaffold601.g3.t1 scaffold601.g3.t1, Morbakka_virulenta_scaffold143.g43.t1 scaffold143.g43.t1, Morbakka_virulenta_scaffold143.g41.t1 scaffold143.g41.t1	Acropora_digitifera_adi_v1.19726 adi_v1.19726
OG0000062	Morbakka_virulenta_scaffold2.g62.t1 scaffold2.g62.t1, Morbakka_virulenta_scaffold2.g62.t2 scaffold2.g62.t2	Acropora_digitifera_adi_v1.20013 adi_v1.20013
OG0000065	Morbakka_virulenta_scaffold1.g340.t1 scaffold1.g340.t1	Acropora_digitifera_adi_v1.01898 adi_v1.01898, Acropora_digitifera_adi_v1.06117 adi_v1.06117, Acropora_digitifera_adi_v1.06118 adi_v1.06118
OG0000067	Morbakka_virulenta_scaffold165.g11.t1 scaffold165.g11.t1	Acropora_digitifera_adi_v1.02251 adi_v1.02251, Acropora_digitifera_adi_v1.11440 adi_v1.11440
OG0000070	Morbakka_virulenta_scaffold64.g73.t1 scaffold64.g73.t1	Acropora_digitifera_adi_v1.23658 adi_v1.23658, Acropora_digitifera_adi_v1.06768 adi_v1.06768
OG0000070	Morbakka_virulenta_scaffold190.g18.t1 scaffold190.g18.t1	Acropora_digitifera_adi_v1.05628 adi_v1.05628
OG0000073	Morbakka_virulenta_scaffold47.g78.t1 scaffold47.g78.t1	Acropora_digitifera_adi_v1.08214 adi_v1.08214, Acropora_digitifera_adi_v1.15179 adi_v1.15179, Acropora_digitifera_adi_v1.05328 adi_v1.05328, Acropora_digitifera_adi_v1.04930 adi_v1.04930, Acropora_digitifera_adi_v1.22382 adi_v1.22382, Acropora_digitifera_adi_v1.23720 adi_v1.23720, Acropora_digitifera_adi_v1.20003 adi_v1.20003, Acropora_digitifera_adi_v1.20002 adi_v1.20002, Acropora_digitifera_adi_v1.15653 adi_v1.15653, Acropora_digitifera_adi_v1.23721 adi_v1.23721, Acropora_digitifera_adi_v1.00855 adi_v1.00855, Acropora_digitifera_adi_v1.21206 adi_v1.21206, Acropora_digitifera_adi_v1.22381 adi_v1.22381
OG0000075	Morbakka_virulenta_scaffold563.g1.t2 scaffold563.g1.t2, Morbakka_virulenta_scaffold563.g1.t1 scaffold563.g1.t1	Acropora_digitifera_adi_v1.06180 adi_v1.06180
OG0000075	Morbakka_virulenta_scaffold416.g3.t1 scaffold416.g3.t1, Morbakka_virulenta_scaffold416.g3.t2 scaffold416.g3.t2, Morbakka_virulenta_scaffold307.g13.t1 scaffold307.g13.t1	Acropora_digitifera_adi_v1.02324 adi_v1.02324
OG0000075	Morbakka_virulenta_scaffold326.g8.t1 scaffold326.g8.t1, Morbakka_virulenta_scaffold326.g8.t2 scaffold326.g8.t2	Acropora_digitifera_adi_v1.05194 adi_v1.05194, Acropora_digitifera_adi_v1.05678 adi_v1.05678
OG0000080	Morbakka_virulenta_scaffold190.g25.t1 scaffold190.g25.t1	Acropora_digitifera_adi_v1.23049 adi_v1.23049
OG0000081	Morbakka_virulenta_scaffold161.g34.t1 scaffold161.g34.t1	Acropora_digitifera_adi_v1.14148 adi_v1.14148
OG0000088	Morbakka_virulenta_scaffold280.g21.t2 scaffold280.g21.t2, Morbakka_virulenta_scaffold280.g21.t3 scaffold280.g21.t3, Morbakka_virulenta_scaffold280.g21.t1 scaffold280.g21.t1	Acropora_digitifera_adi_v1.01059 adi_v1.01059
OG0000089	Morbakka_virulenta_scaffold156.g14.t2 scaffold156.g14.t2, Morbakka_virulenta_scaffold156.g14.t1 scaffold156.g14.t1	Acropora_digitifera_adi_v1.01316 adi_v1.01316
OG0000092	Morbakka_virulenta_scaffold60.g13.t1 scaffold60.g13.t1, Morbakka_virulenta_scaffold60.g13.t2 scaffold60.g13.t2, Morbakka_virulenta_scaffold47.g57.t1 scaffold47.g57.t1, Morbakka_virulenta_scaffold60.g15.t1 scaffold60.g15.t1	Acropora_digitifera_adi_v1.06183 adi_v1.06183
OG0000092	Morbakka_virulenta_scaffold60.g52.t1 scaffold60.g52.t1	Acropora_digitifera_adi_v1.12295 adi_v1.12295, Acropora_digitifera_adi_v1.12296 adi_v1.12296, Acropora_digitifera_adi_v1.12926 adi_v1.12926
OG0000093	Morbakka_virulenta_scaffold54.g15.t1 scaffold54.g15.t1, Morbakka_virulenta_scaffold90.g61.t1 scaffold90.g61.t1	Acropora_digitifera_adi_v1.22486 adi_v1.22486, Acropora_digitifera_adi_v1.07717 adi_v1.07717, Acropora_digitifera_adi_v1.18858 adi_v1.18858
OG0000094	Morbakka_virulenta_scaffold354.g9.t4 scaffold354.g9.t4, Morbakka_virulenta_scaffold354.g9.t1 scaffold354.g9.t1, Morbakka_virulenta_scaffold354.g9.t3 scaffold354.g9.t3, Morbakka_virulenta_scaffold354.g9.t2 scaffold354.g9.t2	Acropora_digitifera_adi_v1.13477 adi_v1.13477
OG0000095	Morbakka_virulenta_scaffold3.g135.t1 scaffold3.g135.t1	Acropora_digitifera_adi_v1.07740 adi_v1.07740
OG0000099	Morbakka_virulenta_scaffold240.g24.t1 scaffold240.g24.t1	Acropora_digitifera_adi_v1.10436 adi_v1.10436, Acropora_digitifera_adi_v1.10437 adi_v1.10437
OG0000100	Morbakka_virulenta_scaffold275.g5.t1 scaffold275.g5.t1, Morbakka_virulenta_scaffold275.g5.t2 scaffold275.g5.t2	Acropora_digitifera_adi_v1.11601 adi_v1.11601
OG0000101	Morbakka_virulenta_scaffold417.g12.t1 scaffold417.g12.t1, Morbakka_virulenta_scaffold417.g12.t2 scaffold417.g12.t2	Acropora_digitifera_adi_v1.04659 adi_v1.04659
OG0000103	Morbakka_virulenta_scaffold34.g37.t1 scaffold34.g37.t1, Morbakka_virulenta_scaffold34.g37.t2 scaffold34.g37.t2, Morbakka_virulenta_scaffold34.g37.t3 scaffold34.g37.t3	Acropora_digitifera_adi_v1.12265 adi_v1.12265
OG0000106	Morbakka_virulenta_scaffold239.g8.t1 scaffold239.g8.t1	Acropora_digitifera_adi_v1.02115 adi_v1.02115, Acropora_digitifera_adi_v1.04595 adi_v1.04595, Acropora_digitifera_adi_v1.12730 adi_v1.12730, Acropora_digitifera_adi_v1.04153 adi_v1.04153, Acropora_digitifera_adi_v1.04157 adi_v1.04157, Acropora_digitifera_adi_v1.04154 adi_v1.04154, Acropora_digitifera_adi_v1.08231 adi_v1.08231
OG0000111	Morbakka_virulenta_scaffold143.g12.t1 scaffold143.g12.t1	Acropora_digitifera_adi_v1.05777 adi_v1.05777, Acropora_digitifera_adi_v1.15937 adi_v1.15937, Acropora_digitifera_adi_v1.05774 adi_v1.05774, Acropora_digitifera_adi_v1.05775 adi_v1.05775
OG0000112	Morbakka_virulenta_scaffold181.g16.t1 scaffold181.g16.t1, Morbakka_virulenta_scaffold181.g17.t1 scaffold181.g17.t1, Morbakka_virulenta_scaffold51.g32.t1 scaffold51.g32.t1	Acropora_digitifera_adi_v1.23845 adi_v1.23845, Acropora_digitifera_adi_v1.09025 adi_v1.09025
OG0000113	Morbakka_virulenta_scaffold13.g58.t1 scaffold13.g58.t1	Acropora_digitifera_adi_v1.13246 adi_v1.13246
OG0000116	Morbakka_virulenta_scaffold2.g208.t1 scaffold2.g208.t1, Morbakka_virulenta_scaffold37.g83.t1 scaffold37.g83.t1, Morbakka_virulenta_scaffold37.g83.t2 scaffold37.g83.t2	Acropora_digitifera_adi_v1.04201 adi_v1.04201, Acropora_digitifera_adi_v1.00669 adi_v1.00669, Acropora_digitifera_adi_v1.04200 adi_v1.04200, Acropora_digitifera_adi_v1.00670 adi_v1.00670, Acropora_digitifera_adi_v1.22020 adi_v1.22020
OG0000117	Morbakka_virulenta_scaffold111.g64.t1 scaffold111.g64.t1	Acropora_digitifera_adi_v1.13644 adi_v1.13644
OG0000117	Morbakka_virulenta_scaffold56.g61.t1 scaffold56.g61.t1	Acropora_digitifera_adi_v1.00663 adi_v1.00663, Acropora_digitifera_adi_v1.03578 adi_v1.03578, Acropora_digitifera_adi_v1.07624 adi_v1.07624, Acropora_digitifera_adi_v1.11902 adi_v1.11902
OG0000119	Morbakka_virulenta_scaffold568.g2.t1 scaffold568.g2.t1	Acropora_digitifera_adi_v1.12204 adi_v1.12204
OG0000120	Morbakka_virulenta_scaffold241.g29.t1 scaffold241.g29.t1	Acropora_digitifera_adi_v1.22301 adi_v1.22301
OG0000121	Morbakka_virulenta_scaffold324.g6.t1 scaffold324.g6.t1, Morbakka_virulenta_scaffold324.g6.t2 scaffold324.g6.t2	Acropora_digitifera_adi_v1.07477 adi_v1.07477, Acropora_digitifera_adi_v1.03736 adi_v1.03736
OG0000122	Morbakka_virulenta_scaffold290.g29.t4 scaffold290.g29.t4	Acropora_digitifera_adi_v1.02556 adi_v1.02556
OG0000131	Morbakka_virulenta_scaffold376.g16.t1 scaffold376.g16.t1	Acropora_digitifera_adi_v1.13891 adi_v1.13891
OG0000133	Morbakka_virulenta_scaffold115.g46.t4 scaffold115.g46.t4, Morbakka_virulenta_scaffold115.g46.t3 scaffold115.g46.t3, Morbakka_virulenta_scaffold115.g46.t2 scaffold115.g46.t2	Acropora_digitifera_adi_v1.13517 adi_v1.13517
OG0000138	Morbakka_virulenta_scaffold116.g18.t1 scaffold116.g18.t1, Morbakka_virulenta_scaffold116.g18.t3 scaffold116.g18.t3, Morbakka_virulenta_scaffold116.g18.t4 scaffold116.g18.t4	Acropora_digitifera_adi_v1.12878 adi_v1.12878
OG0000150	Morbakka_virulenta_scaffold239.g11.t1 scaffold239.g11.t1, Morbakka_virulenta_scaffold239.g11.t2 scaffold239.g11.t2	Acropora_digitifera_adi_v1.12343 adi_v1.12343
OG0000152	Morbakka_virulenta_scaffold15.g92.t1 scaffold15.g92.t1, Morbakka_virulenta_scaffold15.g92.t2 scaffold15.g92.t2	Acropora_digitifera_adi_v1.16224 adi_v1.16224
OG0000156	Morbakka_virulenta_scaffold58.g7.t1 scaffold58.g7.t1	Acropora_digitifera_adi_v1.15791 adi_v1.15791
OG0000158	Morbakka_virulenta_scaffold168.g4.t1 scaffold168.g4.t1	Acropora_digitifera_adi_v1.14301 adi_v1.14301, Acropora_digitifera_adi_v1.14565 adi_v1.14565
OG0000159	Morbakka_virulenta_scaffold354.g7.t1 scaffold354.g7.t1	Acropora_digitifera_adi_v1.12814 adi_v1.12814
OG0000159	Morbakka_virulenta_scaffold145.g18.t1 scaffold145.g18.t1	Acropora_digitifera_adi_v1.04349 adi_v1.04349
OG0000165	Morbakka_virulenta_scaffold605.g6.t1 scaffold605.g6.t1	Acropora_digitifera_adi_v1.19692 adi_v1.19692
OG0000171	Morbakka_virulenta_scaffold543.g1.t1 scaffold543.g1.t1, Morbakka_virulenta_scaffold543.g1.t2 scaffold543.g1.t2	Acropora_digitifera_adi_v1.01870 adi_v1.01870
OG0000179	Morbakka_virulenta_scaffold68.g43.t1 scaffold68.g43.t1, Morbakka_virulenta_scaffold177.g25.t1 scaffold177.g25.t1, Morbakka_virulenta_scaffold296.g19.t1 scaffold296.g19.t1	Acropora_digitifera_adi_v1.01048 adi_v1.01048
OG0000188	Morbakka_virulenta_scaffold16.g69.t2 scaffold16.g69.t2, Morbakka_virulenta_scaffold16.g69.t1 scaffold16.g69.t1	Acropora_digitifera_adi_v1.11206 adi_v1.11206, Acropora_digitifera_adi_v1.09473 adi_v1.09473, Acropora_digitifera_adi_v1.16003 adi_v1.16003, Acropora_digitifera_adi_v1.19717 adi_v1.19717, Acropora_digitifera_adi_v1.11466 adi_v1.11466, Acropora_digitifera_adi_v1.20726 adi_v1.20726
OG0000193	Morbakka_virulenta_scaffold139.g21.t1 scaffold139.g21.t1	Acropora_digitifera_adi_v1.08763 adi_v1.08763
OG0000194	Morbakka_virulenta_scaffold3.g18.t1 scaffold3.g18.t1	Acropora_digitifera_adi_v1.00469 adi_v1.00469
OG0000195	Morbakka_virulenta_scaffold255.g23.t1 scaffold255.g23.t1	Acropora_digitifera_adi_v1.01290 adi_v1.01290
OG0000197	Morbakka_virulenta_scaffold30.g93.t1 scaffold30.g93.t1	Acropora_digitifera_adi_v1.04732 adi_v1.04732, Acropora_digitifera_adi_v1.16918 adi_v1.16918
OG0000200	Morbakka_virulenta_scaffold111.g35.t1 scaffold111.g35.t1	Acropora_digitifera_adi_v1.07516 adi_v1.07516
OG0000201	Morbakka_virulenta_scaffold264.g14.t2 scaffold264.g14.t2, Morbakka_virulenta_scaffold264.g14.t1 scaffold264.g14.t1	Acropora_digitifera_adi_v1.11496 adi_v1.11496
OG0000203	Morbakka_virulenta_scaffold13.g9.t1 scaffold13.g9.t1	Acropora_digitifera_adi_v1.04333 adi_v1.04333
OG0000204	Morbakka_virulenta_scaffold496.g8.t1 scaffold496.g8.t1, Morbakka_virulenta_scaffold496.g8.t2 scaffold496.g8.t2	Acropora_digitifera_adi_v1.12294 adi_v1.12294
OG0000209	Morbakka_virulenta_scaffold146.g16.t1 scaffold146.g16.t1	Acropora_digitifera_adi_v1.07265 adi_v1.07265
OG0000210	Morbakka_virulenta_scaffold13.g23.t1 scaffold13.g23.t1	Acropora_digitifera_adi_v1.01691 adi_v1.01691
OG0000211	Morbakka_virulenta_scaffold1.g27.t1 scaffold1.g27.t1	Acropora_digitifera_adi_v1.01976 adi_v1.01976
OG0000212	Morbakka_virulenta_scaffold162.g11.t1 scaffold162.g11.t1	Acropora_digitifera_adi_v1.12729 adi_v1.12729
OG0000213	Morbakka_virulenta_scaffold165.g72.t1 scaffold165.g72.t1	Acropora_digitifera_adi_v1.16428 adi_v1.16428
OG0000229	Morbakka_virulenta_scaffold531.g6.t1 scaffold531.g6.t1, Morbakka_virulenta_scaffold531.g6.t2 scaffold531.g6.t2	Acropora_digitifera_adi_v1.02366 adi_v1.02366
OG0000230	Morbakka_virulenta_scaffold97.g66.t1 scaffold97.g66.t1	Acropora_digitifera_adi_v1.19552 adi_v1.19552
OG0000231	Morbakka_virulenta_scaffold23.g97.t3 scaffold23.g97.t3, Morbakka_virulenta_scaffold23.g97.t2 scaffold23.g97.t2, Morbakka_virulenta_scaffold23.g97.t1 scaffold23.g97.t1	Acropora_digitifera_adi_v1.01923 adi_v1.01923
OG0000235	Morbakka_virulenta_scaffold51.g44.t1 scaffold51.g44.t1	Acropora_digitifera_adi_v1.14371 adi_v1.14371, Acropora_digitifera_adi_v1.18016 adi_v1.18016
OG0000248	Morbakka_virulenta_scaffold50.g55.t1 scaffold50.g55.t1, Morbakka_virulenta_scaffold461.g6.t3 scaffold461.g6.t3	Acropora_digitifera_adi_v1.13105 adi_v1.13105, Acropora_digitifera_adi_v1.15930 adi_v1.15930
OG0000262	Morbakka_virulenta_scaffold89.g28.t1 scaffold89.g28.t1, Morbakka_virulenta_scaffold204.g8.t3 scaffold204.g8.t3, Morbakka_virulenta_scaffold204.g8.t2 scaffold204.g8.t2, Morbakka_virulenta_scaffold204.g8.t1 scaffold204.g8.t1	Acropora_digitifera_adi_v1.05811 adi_v1.05811
OG0000265	Morbakka_virulenta_scaffold9.g9.t1 scaffold9.g9.t1	Acropora_digitifera_adi_v1.10611 adi_v1.10611
OG0000267	Morbakka_virulenta_scaffold22.g46.t2 scaffold22.g46.t2, Morbakka_virulenta_scaffold22.g46.t1 scaffold22.g46.t1	Acropora_digitifera_adi_v1.17264 adi_v1.17264
OG0000272	Morbakka_virulenta_scaffold340.g18.t2 scaffold340.g18.t2, Morbakka_virulenta_scaffold340.g18.t1 scaffold340.g18.t1, Morbakka_virulenta_scaffold263.g5.t1 scaffold263.g5.t1	Acropora_digitifera_adi_v1.06359 adi_v1.06359
OG0000278	Morbakka_virulenta_scaffold2.g14.t1 scaffold2.g14.t1	Acropora_digitifera_adi_v1.22204 adi_v1.22204, Acropora_digitifera_adi_v1.13778 adi_v1.13778
OG0000280	Morbakka_virulenta_scaffold141.g16.t1 scaffold141.g16.t1, Morbakka_virulenta_scaffold141.g15.t1 scaffold141.g15.t1	Acropora_digitifera_adi_v1.17062 adi_v1.17062, Acropora_digitifera_adi_v1.17327 adi_v1.17327
OG0000282	Morbakka_virulenta_scaffold3589.g1.t1 scaffold3589.g1.t1	Acropora_digitifera_adi_v1.06060 adi_v1.06060, Acropora_digitifera_adi_v1.20668 adi_v1.20668
