Orthogroup	Platyhelminthes_Tricladida_Schmidtea_mediterranea	Chordata_Vertebrata_Homo_sapiens
OG0000074	Schmidtea_mediterranea_maker-scaffold388-augustus-gene-4.45-mRNA-1 maker-scaffold388-augustus-gene-4.45-mRNA-1 protein AED_0.03 eAED_0.03 QI_1337|1|1|1|0.30|0.40|27|353|1205	Homo_sapiens_sp_O94813_SLIT2_HUMAN sp|O94813|SLIT2_HUMAN Slit homolog 2 protein OS=Homo sapiens OX=9606 GN=SLIT2 PE=1 SV=1, Homo_sapiens_sp_O75094_SLIT3_HUMAN sp|O75094|SLIT3_HUMAN Slit homolog 3 protein OS=Homo sapiens OX=9606 GN=SLIT3 PE=2 SV=3, Homo_sapiens_sp_O75093_SLIT1_HUMAN sp|O75093|SLIT1_HUMAN Slit homolog 1 protein OS=Homo sapiens OX=9606 GN=SLIT1 PE=1 SV=4
OG0000080	Schmidtea_mediterranea_maker-scaffold16385-augustus-gene-0.38-mRNA-1 maker-scaffold16385-augustus-gene-0.38-mRNA-1 protein AED_0.00 eAED_0.00 QI_443|1|1|1|0|0.33|3|35|141, Schmidtea_mediterranea_maker-scaffold4907-snap-gene-0.19-mRNA-1 maker-scaffold4907-snap-gene-0.19-mRNA-1 protein AED_0.29 eAED_0.29 QI_0|0.16|0.15|0.26|0.72|0.73|19|700|487	Homo_sapiens_sp_P35625_TIMP3_HUMAN sp|P35625|TIMP3_HUMAN Metalloproteinase inhibitor 3 OS=Homo sapiens OX=9606 GN=TIMP3 PE=1 SV=2, Homo_sapiens_sp_P16035_TIMP2_HUMAN sp|P16035|TIMP2_HUMAN Metalloproteinase inhibitor 2 OS=Homo sapiens OX=9606 GN=TIMP2 PE=1 SV=2, Homo_sapiens_sp_P01033_TIMP1_HUMAN sp|P01033|TIMP1_HUMAN Metalloproteinase inhibitor 1 OS=Homo sapiens OX=9606 GN=TIMP1 PE=1 SV=1
OG0000081	Schmidtea_mediterranea_maker-scaffold21973-augustus-gene-0.25-mRNA-1 maker-scaffold21973-augustus-gene-0.25-mRNA-1 protein AED_0.01 eAED_0.02 QI_2|0|0|1|0|0|2|0|715	Homo_sapiens_sp_Q6UXH1_CREL2_HUMAN sp|Q6UXH1|CREL2_HUMAN Protein disulfide isomerase CRELD2 OS=Homo sapiens OX=9606 GN=CRELD2 PE=1 SV=1, Homo_sapiens_sp_Q96HD1_CREL1_HUMAN sp|Q96HD1|CREL1_HUMAN Protein disulfide isomerase CRELD1 OS=Homo sapiens OX=9606 GN=CRELD1 PE=1 SV=3
OG0000088	Schmidtea_mediterranea_maker-scaffold2562-augustus-gene-0.30-mRNA-1 maker-scaffold2562-augustus-gene-0.30-mRNA-1 protein AED_0.31 eAED_0.32 QI_0|1|0.75|1|0.66|0.5|4|179|609, Schmidtea_mediterranea_maker-scaffold2562-snap-gene-0.37-mRNA-1 maker-scaffold2562-snap-gene-0.37-mRNA-1 protein AED_0.07 eAED_0.09 QI_0|0.33|0.14|1|0.66|0.57|7|0|1127, Schmidtea_mediterranea_maker-scaffold2562-snap-gene-0.38-mRNA-1 maker-scaffold2562-snap-gene-0.38-mRNA-1 protein AED_0.62 eAED_0.63 QI_0|0|0|0.16|1|1|6|0|510, Schmidtea_mediterranea_maker-scaffold4198-snap-gene-0.24-mRNA-1 maker-scaffold4198-snap-gene-0.24-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.5|0.2|0.8|0.75|0.8|5|0|730	Homo_sapiens_sp_Q9BUD6_SPON2_HUMAN sp|Q9BUD6|SPON2_HUMAN Spondin-2 OS=Homo sapiens OX=9606 GN=SPON2 PE=1 SV=4, Homo_sapiens_sp_Q9HCB6_SPON1_HUMAN sp|Q9HCB6|SPON1_HUMAN Spondin-1 OS=Homo sapiens OX=9606 GN=SPON1 PE=1 SV=2
OG0000093	Schmidtea_mediterranea_maker-scaffold13106-augustus-gene-0.13-mRNA-1 maker-scaffold13106-augustus-gene-0.13-mRNA-1 protein AED_0.40 eAED_0.40 QI_0|0|0|0.66|1|1|3|0|99, Schmidtea_mediterranea_maker-scaffold13106-augustus-gene-0.14-mRNA-1 maker-scaffold13106-augustus-gene-0.14-mRNA-1 protein AED_0.40 eAED_0.40 QI_0|0|0|0.66|1|1|3|0|99, Schmidtea_mediterranea_maker-scaffold9678-snap-gene-0.36-mRNA-1 maker-scaffold9678-snap-gene-0.36-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.4|0.33|0.5|0.8|0.83|6|359|259, Schmidtea_mediterranea_augustus_masked-scaffold17106-processed-gene-0.0-mRNA-1 augustus_masked-scaffold17106-processed-gene-0.0-mRNA-1 protein AED_0.07 eAED_0.07 QI_0|0|0|1|1|1|2|0|77	Homo_sapiens_sp_P01040_CYTA_HUMAN sp|P01040|CYTA_HUMAN Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1, Homo_sapiens_sp_P04080_CYTB_HUMAN sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2
OG0000114	Schmidtea_mediterranea_maker-scaffold3444-snap-gene-0.54-mRNA-1 maker-scaffold3444-snap-gene-0.54-mRNA-1 protein AED_0.20 eAED_0.21 QI_0|0.71|0.62|1|0.71|0.62|8|144|1028	Homo_sapiens_sp_Q9Y5Z7_HCFC2_HUMAN sp|Q9Y5Z7|HCFC2_HUMAN Host cell factor 2 OS=Homo sapiens OX=9606 GN=HCFC2 PE=1 SV=1
OG0000120	Schmidtea_mediterranea_maker-scaffold913-augustus-gene-0.3-mRNA-1 maker-scaffold913-augustus-gene-0.3-mRNA-1 protein AED_0.01 eAED_0.01 QI_1098|1|1|1|0.5|0.33|3|511|65	Homo_sapiens_sp_P31431_SDC4_HUMAN sp|P31431|SDC4_HUMAN Syndecan-4 OS=Homo sapiens OX=9606 GN=SDC4 PE=1 SV=2, Homo_sapiens_sp_P34741_SDC2_HUMAN sp|P34741|SDC2_HUMAN Syndecan-2 OS=Homo sapiens OX=9606 GN=SDC2 PE=1 SV=2, Homo_sapiens_sp_P18827_SDC1_HUMAN sp|P18827|SDC1_HUMAN Syndecan-1 OS=Homo sapiens OX=9606 GN=SDC1 PE=1 SV=3, Homo_sapiens_sp_O75056_SDC3_HUMAN sp|O75056|SDC3_HUMAN Syndecan-3 OS=Homo sapiens OX=9606 GN=SDC3 PE=1 SV=2
OG0000141	Schmidtea_mediterranea_maker-scaffold11956-snap-gene-0.30-mRNA-1 maker-scaffold11956-snap-gene-0.30-mRNA-1 protein AED_0.14 eAED_0.14 QI_111|0.75|0.8|0.8|0.5|0.6|5|0|273	Homo_sapiens_sp_O76076_CCN5_HUMAN sp|O76076|CCN5_HUMAN CCN family member 5 OS=Homo sapiens OX=9606 GN=CCN5 PE=1 SV=1, Homo_sapiens_sp_P29279_CCN2_HUMAN sp|P29279|CCN2_HUMAN CCN family member 2 OS=Homo sapiens OX=9606 GN=CCN2 PE=1 SV=2, Homo_sapiens_sp_O00622_CCN1_HUMAN sp|O00622|CCN1_HUMAN CCN family member 1 OS=Homo sapiens OX=9606 GN=CCN1 PE=1 SV=1
OG0000156	Schmidtea_mediterranea_maker-scaffold12426-augustus-gene-0.24-mRNA-1 maker-scaffold12426-augustus-gene-0.24-mRNA-1 protein AED_0.01 eAED_0.01 QI_102|1|1|1|0|0|2|41|456	Homo_sapiens_sp_P55081_MFAP1_HUMAN sp|P55081|MFAP1_HUMAN Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2
OG0000171	Schmidtea_mediterranea_maker-scaffold1856-augustus-gene-1.52-mRNA-1 maker-scaffold1856-augustus-gene-1.52-mRNA-1 protein AED_0.15 eAED_0.15 QI_138|0.5|0.8|0.8|0.5|0.6|5|1177|445	Homo_sapiens_sp_Q96IV0_NGLY1_HUMAN sp|Q96IV0|NGLY1_HUMAN Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Homo sapiens OX=9606 GN=NGLY1 PE=1 SV=1
OG0000178	Schmidtea_mediterranea_maker-scaffold16961-snap-gene-0.42-mRNA-1 maker-scaffold16961-snap-gene-0.42-mRNA-1 protein AED_0.11 eAED_0.11 QI_44|0.85|0.77|0.95|0.71|0.95|22|0|1896, Schmidtea_mediterranea_maker-scaffold1813-snap-gene-1.37-mRNA-1 maker-scaffold1813-snap-gene-1.37-mRNA-1 protein AED_0.01 eAED_0.01 QI_361|0.9|0.81|1|0.7|0.81|11|154|1476	Homo_sapiens_sp_Q8NBH2_KY_HUMAN sp|Q8NBH2|KY_HUMAN Kyphoscoliosis peptidase OS=Homo sapiens OX=9606 GN=KY PE=1 SV=3
OG0000291	Schmidtea_mediterranea_maker-scaffold4965-augustus-gene-0.21-mRNA-1 maker-scaffold4965-augustus-gene-0.21-mRNA-1 protein AED_0.00 eAED_0.00 QI_218|1|1|1|1|1|6|22|452	Homo_sapiens_sp_Q9BZV3_IMPG2_HUMAN sp|Q9BZV3|IMPG2_HUMAN Interphotoreceptor matrix proteoglycan 2 OS=Homo sapiens OX=9606 GN=IMPG2 PE=1 SV=3
