protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
2207	NV2t014086001.1	NV2t014086001.1	NV2t014086001.1	11219.6	7.71672	0.0	60	344	15	8	2	12	7	126	1.05101e+07	9.49751e+06	1.41839e+07	7.6517e+07	8.94845e+07	1.07778e+08	1.2191e+09	1.11261e+09	1.46626e+09	619624.0	1.0	0.897797	1.34463	6.9948	8.17631	9.72222	118.577	107.571	142.083	0.0543441	0.0	0.601737	0.935366	13.1969	15.0094	24.8372	132.564	140.941	171.75	0.215216
2208	NV2t013848001.1|NV2t013848002.1|NV2t013848003.1	NV2t013848001.1|NV2t013848002.1|NV2t013848003.1	NV2t013848001.1|NV2t013848002.1|NV2t013848003.1	221117.0|221245.0|221245.0	6.17595	0.0	98	351	8	7	2	6	6	126	9.82025e+06	1.01091e+07	1.25863e+07	2.71011e+07	2.31948e+07	3.25943e+07	2.49293e+08	2.30599e+08	3.0359e+08	317461.0	1.0	1.02941	1.2586	2.75971	2.36374	3.31909	25.2112	23.1893	30.8186	0.0323272	0.0	0.339512	0.801696	0.638654	0.927814	1.4786	39.5135	37.0076	39.6709	0.116318
2209	NV2t001358001.1	NV2t001358001.1	NV2t001358001.1	130676.0	7.36803	0.0	126	1745	52	34	7	45	33	126	7.58287e+07	9.87036e+07	1.03133e+08	4.1673e+08	3.42026e+08	3.9995e+08	3.49394e+09	3.56947e+09	4.04851e+09	3.97013e+06	1.0	1.30825	1.36206	5.53694	4.50429	5.28901	46.5641	46.7203	53.7904	0.050418	0.0	1.04229	0.928023	5.55809	4.37843	5.24055	40.1843	48.2449	48.9305	0.110612
2210	NV2t005293002.1|NV2t005293003.1|NV2t005293004.1	NV2t005293002.1|NV2t005293003.1|NV2t005293004.1	NV2t005293002.1|NV2t005293003.1|NV2t005293004.1	23096.2|26009.8|23096.2	6.4726	0.00248988	36	70	2	2	0	2	2	126	6.28894e+06	6.51952e+06	6.18923e+06	1.6626e+07	1.45853e+07	1.5866e+07	1.22259e+08	9.25951e+07	1.45258e+08	0.0	1.0	1.03667	0.984146	2.64369	2.31921	2.52285	19.4404	14.7235	23.0973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2211	NV2t007413001.1	NV2t007413001.1	NV2t007413001.1	10901.7	7.22571	0.0	53	140	4	3	1	2	2	126	4.71925e+07	5.38573e+07	3.90628e+07	7.46016e+07	4.79285e+07	1.17599e+08	4.55124e+08	2.0619e+08	2.70745e+08	0.0	1.0	1.14122	0.827733	1.58079	1.01559	2.4919	9.64397	4.36911	5.73703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2212	NV2t006200001.1	NV2t006200001.1	NV2t006200001.1	57729.1	6.12335	0.0	71	71	1	1	0	1	1	126	2.41023e+06	2.65601e+06	1.83372e+06	8.18203e+06	8.26008e+06	9.82529e+06	4.98557e+07	3.47417e+07	6.35286e+07	0.0	1.0	1.10198	0.760808	3.39471	3.4271	4.0765	20.6851	14.4143	26.3579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2213	NV2t002642001.1	NV2t002642001.1	NV2t002642001.1	108270.0	6.64634	0.0	96	525	14	9	4	10	9	126	1.07111e+07	8.84733e+06	1.29715e+07	2.57187e+07	2.83335e+07	2.11668e+07	5.33383e+08	3.96506e+08	4.73669e+08	949565.0	1.0	0.826396	1.20465	2.41551	2.64166	1.99164	49.4444	36.905	44.1231	0.0837204	0.0	0.43088	0.441368	1.21782	1.43609	1.15858	31.0543	20.4645	27.6815	0.268733
2214	NV2t005500004.1|NV2t005500007.1	NV2t005500004.1|NV2t005500007.1	NV2t005500004.1|NV2t005500007.1	38072.4|38072.4	5.4342	0.0	77	77	1	1	0	1	1	126	1.07596e+06	1.56757e+06	1.69054e+06	4.22025e+06	3.83115e+06	6.11139e+06	3.41161e+07	1.99775e+07	3.46623e+07	0.0	1.0	1.45691	1.57119	3.92232	3.56069	5.67996	31.7077	18.5672	32.2153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2215	NV2t017122001.1	NV2t017122001.1	NV2t017122001.1	34480.9	6.85037	0.0	54	93	3	2	1	2	2	126	1.58801e+07	3.24239e+07	5.85257e+06	5.71429e+07	6.33026e+07	4.55582e+07	2.41332e+08	2.95528e+08	2.00986e+08	0.0	1.0	2.0418	0.368547	3.5984	3.98628	2.86888	15.1971	18.6099	12.6564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2216	NV2t012458002.1|NV2t012458003.1	NV2t012458002.1|NV2t012458003.1	NV2t012458002.1|NV2t012458003.1	33445.4|58344.1	5.96237	0.0	52	89	2	2	0	2	2	126	1.88641e+06	1.35431e+06	3.20116e+06	4.16867e+06	2.77071e+06	3.54722e+06	1.2178e+08	1.02419e+08	7.40427e+07	473018.0	1.0	0.717927	1.69695	2.20984	1.46877	1.8804	64.5563	54.2931	39.2505	0.25075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2217	###REV######REV###NV2t014157001.1	###REV###NV2t014157001.1 Reverse sequence, was 	###REV######REV###NV2t014157001.1	146021.0	6.1174	0.00545868	33	33	1	1	0	1	1	126	2.57248e+06	1.75862e+06	2.385e+06	6.30554e+06	7.34099e+06	7.66079e+06	4.07174e+07	3.82567e+07	3.29994e+07	0.0	1.0	0.683629	0.927121	2.45115	2.85366	2.97798	15.8281	14.8715	12.8279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2218	NV2t020655001.1	NV2t020655001.1	NV2t020655001.1	40671.2	7.19061	0.00745601	31	60	3	2	1	2	2	126	1.28892e+07	2.05301e+07	6.9656e+06	8.2908e+07	8.42469e+07	1.06781e+08	5.86394e+08	3.5266e+08	5.70122e+08	0.0	1.0	1.59281	0.540421	6.43235	6.53623	8.28449	45.495	27.3609	44.2325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2219	NV2t011113001.1	NV2t011113001.1	NV2t011113001.1	31038.3	8.50226	0.0	66	565	67	13	33	33	12	126	5.36061e+07	4.28392e+07	7.87428e+07	2.31104e+08	2.28868e+08	1.70082e+08	8.92501e+09	4.71833e+09	6.64124e+09	0.0	1.0	0.823408	1.53276	4.45661	4.46097	3.24665	173.802	92.071	129.446	0.0	0.0	0.954946	2.62997	7.95232	7.60655	6.24658	285.768	147.249	205.317	0.0
2220	NV2t015177001.1	NV2t015177001.1	NV2t015177001.1	43432.8	5.79759	0.00646422	32	32	1	1	1	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2221	NV2t001690001.1	NV2t001690001.1	NV2t001690001.1	12980.7	6.55923	0.0	57	100	2	2	0	1	1	126	460076.0	1.03867e+06	713511.0	3.70107e+06	4.27992e+06	4.91469e+06	1.16956e+08	1.05971e+08	1.98497e+08	0.0	1.0	2.2576	1.55085	8.04447	9.30263	10.6823	254.211	230.333	431.444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2222	NV2t022571002.1|NV2t022571004.1	NV2t022571002.1|NV2t022571004.1	NV2t022571002.1|NV2t022571004.1	63733.4|63733.4	6.36908	0.0	83	218	4	4	0	4	4	126	3.47186e+06	4.56996e+06	4.50941e+06	1.25242e+07	1.27623e+07	1.10072e+07	3.17157e+08	2.25128e+08	2.61562e+08	0.0	1.0	1.31629	1.29885	3.60735	3.67593	3.17039	91.3509	64.8436	75.3378	0.0	0.0	0.767633	2.02074	1.6601	1.05844	1.1644	181.248	128.718	135.38	0.0
2223	NV2t000555001.1	NV2t000555001.1	NV2t000555001.1	111271.0	6.96175	0.0	105	1106	24	19	4	20	19	126	3.37014e+07	5.47472e+07	4.0373e+07	7.85402e+07	9.11795e+07	6.4532e+07	2.31241e+09	1.37429e+09	1.62218e+09	6.01407e+06	1.0	1.62372	1.18987	2.31947	2.70735	1.9194	68.9365	40.7952	47.9725	0.173151	0.0	1.83823	1.08531	2.15848	3.20125	1.36141	65.8818	38.7737	45.407	0.341866
2224	###REV######REV###NV2t017495003.1	###REV###NV2t017495003.1 Reverse sequence, was 	###REV######REV###NV2t017495003.1	511430.0	7.40763	0.00143586	39	132	6	2	6	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2225	NV2t004044001.1	NV2t004044001.1	NV2t004044001.1	128974.0	6.70831	0.0	107	780	18	14	3	15	12	126	2.34483e+07	2.89362e+07	2.77712e+07	8.15779e+07	7.61914e+07	7.60529e+07	1.52391e+09	1.06917e+09	1.46724e+09	3.44425e+06	1.0	1.24112	1.17746	3.51378	3.30098	3.32178	65.6681	45.9075	63.4493	0.141246	0.0	0.675825	1.74136	1.8923	4.29721	4.36681	78.4964	49.5611	70.7264	0.345457
2226	NV2t021725001.1	NV2t021725001.1	NV2t021725001.1	62035.2	5.97353	0.0	56	88	2	2	1	1	1	126	2.76053e+06	4.20648e+06	2.42222e+06	6.64049e+06	6.04294e+06	7.9965e+06	3.11774e+07	2.74274e+07	2.73165e+07	0.0	1.0	1.52379	0.877448	2.40551	2.18905	2.89672	11.294	9.93556	9.89537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2227	NV2t004848001.1|NV2t004848002.1	NV2t004848001.1|NV2t004848002.1	NV2t004848001.1|NV2t004848002.1	48172.9|48172.9	6.77796	0.0	76	193	4	4	0	4	4	126	3.63014e+07	9.22489e+07	1.6526e+07	8.07063e+07	7.94188e+07	8.54671e+07	3.71375e+08	3.61957e+08	4.74598e+08	504317.0	1.0	2.5412	0.455244	2.22323	2.18776	2.35438	10.2303	9.9709	13.0738	0.0138925	0.0	1.21142	0.361496	2.69247	1.66899	1.86463	44.3385	43.3621	53.9608	0.0
2228	###REV######REV###NV2t008589001.1	###REV###NV2t008589001.1 Reverse sequence, was 	###REV######REV###NV2t008589001.1	57031.4	8.45447	0.00982981	29	55	3	1	3	0	0	126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2229	NV2t005921001.1	NV2t005921001.1	NV2t005921001.1	68547.6	6.46399	0.00887968	30	30	1	1	0	1	1	126	2.22373e+06	3.24365e+06	2.18845e+06	6.30295e+06	5.7412e+06	5.45536e+06	9.24381e+07	6.07683e+07	8.38841e+07	0.0	1.0	1.45865	0.984134	2.8344	2.58178	2.45324	41.5689	27.3272	37.7222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2230	NV2t008791001.1	NV2t008791001.1	NV2t008791001.1	64886.6	6.68123	0.0	54	85	3	2	2	1	1	126	0.0	291414.0	240657.0	418662.0	603016.0	984234.0	4.05079e+06	2.81058e+06	4.72502e+06	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2231	NV2t020997001.1	NV2t020997001.1	NV2t020997001.1	34063.6	6.40209	0.0	63	172	3	1	2	1	1	126	1.80481e+06	1.44116e+06	2.64488e+06	1.0397e+07	8.59702e+06	1.02611e+07	1.63609e+08	1.61085e+08	2.66473e+08	900214.0	1.0	0.798515	1.46547	5.76074	4.76341	5.68544	90.6518	89.2537	147.646	0.498788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2232	NV2t005917001.1	NV2t005917001.1	NV2t005917001.1	96107.7	6.73557	0.0	59	260	8	6	2	6	6	126	1.81137e+07	2.2671e+07	1.64173e+07	1.45328e+08	8.21551e+07	1.9836e+08	4.77828e+08	3.84159e+08	3.51615e+08	128679.0	1.0	1.25159	0.901494	8.02308	4.52614	10.755	25.6412	21.2082	19.1158	0.00657087	0.0	1.07188	0.496188	8.64671	4.06425	12.4097	59.078	44.6166	36.3307	0.0329096
2233	NV2t016039001.1	NV2t016039001.1	NV2t016039001.1	85833.8	6.93122	0.0	87	678	19	1	18	1	1	126	704194.0	502227.0	363567.0	1.16121e+06	1.47903e+06	1.2048e+06	3.91997e+06	4.02013e+06	4.97383e+06	0.0	1.0	0.713193	0.516288	1.64899	2.10032	1.7109	5.5666	5.70883	7.06314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2234	NV2t018942001.1	NV2t018942001.1	NV2t018942001.1	123110.0	6.29584	0.0	52	247	7	6	1	6	6	126	8.02107e+06	1.19959e+07	7.30149e+06	1.53282e+07	1.79033e+07	1.85231e+07	2.66807e+08	2.06982e+08	2.48732e+08	9865.69	1.0	1.55037	0.929261	1.95561	2.32709	2.40463	33.2632	25.8903	31.0098	0.00114674	0.0	2.04285	1.2792	3.99724	4.77301	4.4915	73.5516	53.4856	68.1797	0.00566212
2235	NV2t013902001.1|NV2t013910001.1|NV2t013910002.1|NV2t013910003.1	NV2t013902001.1|NV2t013910001.1|NV2t013910002.1|NV2t013910003.1	NV2t013902001.1|NV2t013910001.1|NV2t013910002.1|NV2t013910003.1	66110.4|49767.1|66372.7|49767.1	6.47766	0.000974817	41	75	2	1	1	1	1	126	876052.0	291139.0	1.05517e+06	1.2185e+07	1.92686e+07	1.3851e+07	3.89105e+07	3.65574e+07	3.75818e+07	0.0	1.0	0.33233	1.20446	13.909	21.9948	15.8107	44.4158	41.7298	42.8991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2236	NV2t019750001.1|NV2t019750003.1	NV2t019750001.1|NV2t019750003.1	NV2t019750001.1|NV2t019750003.1	94144.4|95523.1	6.37481	0.0	106	299	5	2	3	2	2	126	6.28309e+06	1.00501e+07	8.79459e+06	2.22114e+07	1.40924e+07	1.73716e+07	3.66266e+08	1.97926e+08	2.87289e+08	0.0	1.0	1.59955	1.39972	3.53511	2.24291	2.76482	58.294	31.5014	45.7242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2237	###REV######REV###NV2t013735001.1	###REV###NV2t013735001.1 Reverse sequence, was 	###REV######REV###NV2t013735001.1	98078.7	7.14304	0.00646422	32	32	1	1	0	1	1	126	1.9924e+06	2.54684e+06	865265.0	1.12391e+07	1.1444e+07	1.25194e+07	8.92985e+07	5.39241e+07	8.90539e+07	0.0	1.0	1.27828	0.434282	5.64096	5.7438	6.28355	44.8195	27.0649	44.6968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2238	NV2t005682001.1	NV2t005682001.1	NV2t005682001.1	14884.8	7.57644	0.0135976	27	27	1	1	0	1	1	126	1.52447e+08	3.258e+07	9.9746e+07	8.26764e+07	1.34133e+08	2.3883e+08	4.15194e+07	2.90933e+07	9.05254e+07	4.22395e+06	1.0	0.213714	0.654301	0.54233	0.879867	1.56665	0.272353	0.190842	0.593817	0.0277078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2239	NV2t011745001.1	NV2t011745001.1	NV2t011745001.1	34507.6	6.09694	0.00248988	36	36	1	1	0	1	1	126	2.61539e+06	5.10959e+06	3.90029e+06	1.06126e+07	9.32553e+06	1.54958e+07	5.14785e+07	3.27151e+07	4.76067e+07	0.0	1.0	1.95366	1.49129	4.05777	3.56564	5.92487	19.6829	12.5087	18.2026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2240	NV2t020937001.1	NV2t020937001.1	NV2t020937001.1	24698.0	5.99093	0.000506586	45	84	2	2	0	2	2	126	3.60837e+06	4.54909e+06	4.80979e+06	1.65746e+07	1.37731e+07	1.97113e+07	2.18501e+08	1.66671e+08	2.15055e+08	621030.0	1.0	1.2607	1.33295	4.59336	3.81699	5.46264	60.554	46.1901	59.5989	0.172108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2241	NV2t014831001.1	NV2t014831001.1	NV2t014831001.1	98916.8	6.86123	0.0	103	479	8	8	0	8	8	126	2.14508e+07	7.47694e+06	1.30076e+07	5.65176e+07	5.39433e+07	6.57282e+07	7.3312e+08	4.35961e+08	5.9606e+08	0.0	1.0	0.359048	0.633109	2.77465	2.59814	3.13223	35.4032	20.9773	29.1758	0.0	0.0	0.651749	1.68666	6.34636	5.74721	4.99	67.2331	41.1521	56.4496	0.0
2242	NV2t013558001.1|NV2t013558002.1	NV2t013558001.1|NV2t013558002.1	NV2t013558001.1|NV2t013558002.1	40830.8|40830.8	5.76599	0.0	52	95	2	2	1	1	1	126	597375.0	1.66961e+06	1.14445e+06	4.40362e+06	3.60928e+06	4.10006e+06	6.06561e+07	4.01016e+07	7.70256e+07	976673.0	1.0	2.79492	1.9158	7.37161	6.04189	6.86346	101.538	67.1296	128.94	1.63494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2243	NV2t004412001.1	NV2t004412001.1	NV2t004412001.1	43195.9	7.00854	0.0	74	679	45	4	39	5	4	126	9.05571e+06	6.83396e+06	1.12787e+07	3.64787e+07	3.55718e+07	3.57502e+07	3.45046e+08	3.5686e+08	5.99944e+08	757214.0	1.0	0.754657	1.24548	4.02825	3.9281	3.9478	38.1026	39.6304	66.2503	0.0757661	0.0	1.02747	1.67702	13.234	8.78274	10.179	57.5422	85.004	100.461	0.482966
2244	NV2t006587001.1	NV2t006587001.1	NV2t006587001.1	45953.3	6.35708	0.0	102	272	4	4	0	4	4	126	5.42233e+06	8.19459e+06	3.14579e+06	2.26385e+07	2.24774e+07	2.06479e+07	2.77726e+08	2.65398e+08	3.16366e+08	417163.0	1.0	1.51127	0.580154	4.17505	4.14533	3.80794	51.2189	48.9453	58.345	0.0769343	0.0	1.2147	0.449648	1.64536	2.06563	2.18906	54.2075	58.0225	63.2719	0.304864
2245	NV2t004498001.1	NV2t004498001.1	NV2t004498001.1	51624.8	6.44336	0.00338826	35	61	2	2	0	2	2	126	4.34505e+06	6.95234e+06	6.27832e+06	1.66836e+07	1.69334e+07	1.64651e+07	1.09251e+08	7.40592e+07	1.21727e+08	0.0	1.0	1.60006	1.44494	3.83968	3.89717	3.7894	25.1437	17.0445	28.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2246	NV2t013100001.1	NV2t013100001.1	NV2t013100001.1	102168.0	6.77044	0.0	79	574	13	12	2	11	11	126	1.80514e+07	2.98543e+07	2.09657e+07	5.50349e+07	5.35984e+07	7.46543e+07	7.46807e+08	4.55332e+08	7.44089e+08	0.0	1.0	1.62019	1.15439	3.04232	2.97208	4.00702	41.4979	25.37	41.4173	0.0	0.0	1.39959	0.39121	1.2399	1.50468	3.88011	19.0955	12.6152	16.2657	0.0
2247	NV2t018354001.1|NV2t018354002.1	NV2t018354001.1|NV2t018354002.1	NV2t018354001.1|NV2t018354002.1	175631.0|170186.0	6.07631	0.0	58	217	5	5	0	5	5	126	3.99136e+06	3.83531e+06	4.73531e+06	9.63274e+06	1.1759e+07	1.18582e+07	1.61111e+08	1.19771e+08	1.46892e+08	294520.0	1.0	0.960902	1.18639	2.4166	2.94611	2.97096	40.3649	30.0075	36.878	0.0731051	0.0	0.718117	0.847718	1.34775	1.86352	1.93734	11.5387	15.2307	12.6149	0.334338
2248	NV2t013589001.1	NV2t013589001.1	NV2t013589001.1	32821.2	6.42516	0.0	62	93	2	2	0	2	2	126	8.27101e+06	3.22063e+07	9.67487e+06	1.70731e+07	1.75237e+07	1.90052e+07	1.7928e+08	1.18637e+08	1.91362e+08	0.0	1.0	3.89388	1.16973	2.06421	2.11869	2.29781	21.6757	14.3437	23.1365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2249	NV2t001925001.1	NV2t001925001.1	NV2t001925001.1	67178.0	7.13131	0.0	86	608	20	12	4	16	10	126	7.09748e+07	1.49016e+08	5.94627e+07	4.07184e+08	4.36518e+08	6.748e+08	1.01714e+09	7.74856e+08	9.47036e+08	4.35588e+06	1.0	2.12487	0.851696	5.81093	6.21315	9.66605	14.4661	10.8793	13.3842	0.0609494	0.0	2.5203	1.01977	7.29478	6.88224	11.5413	21.276	16.1255	18.8977	0.0983701
2250	NV2t023527001.1	NV2t023527001.1	NV2t023527001.1	25325.2	6.89696	0.0	113	228	5	4	0	5	4	126	1.03317e+07	1.16995e+07	6.38807e+06	1.93795e+07	1.69924e+07	1.65633e+07	3.75596e+08	2.25509e+08	4.21184e+08	553008.0	1.0	1.13239	0.618296	1.88233	1.65176	1.61388	36.781	22.0982	41.3442	0.0535252	0.0	1.57156	0.78617	1.34807	2.20911	1.84696	50.113	36.1001	52.3201	0.45115
2251	NV2t020632001.1	NV2t020632001.1	NV2t020632001.1	13686.3	6.4341	0.0	70	70	1	1	0	1	1	126	8.02938e+06	1.32374e+07	4.06221e+06	6.15138e+06	6.60973e+06	3.07569e+07	7.36656e+07	1.2964e+08	5.77834e+07	0.0	1.0	1.64861	0.505918	0.766109	0.823193	3.83055	9.1745	16.1457	7.19649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2252	NV2t006151003.1	NV2t006151003.1	NV2t006151003.1	17618.8	6.14793	0.0	107	174	3	3	0	3	3	126	3.35185e+06	4.83201e+06	3.45757e+06	8.65975e+06	7.56262e+06	6.01877e+06	4.03631e+08	2.49936e+08	3.54547e+08	891478.0	1.0	1.4416	1.03154	2.58357	2.25625	1.79566	120.42	74.5665	105.776	0.265966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2253	NV2t007948001.1	NV2t007948001.1	NV2t007948001.1	70290.7	5.5911	0.0	57	177	7	4	4	2	2	126	1.17391e+06	2.11222e+06	1.2856e+06	4.00579e+06	4.17294e+06	5.30039e+06	3.64506e+07	3.46982e+07	3.41193e+07	159185.0	1.0	1.79931	1.09515	3.41236	3.55475	4.51517	31.0507	29.5579	29.0647	0.135603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2254	NV2t013597001.1	NV2t013597001.1	NV2t013597001.1	101425.0	7.80484	0.0	150	1347	55	24	12	42	24	126	6.4371e+07	1.56355e+08	8.17392e+07	1.98422e+08	1.94574e+08	1.3274e+08	9.43767e+09	6.43431e+09	9.09252e+09	1.31954e+07	1.0	2.37956	1.26427	3.112	3.06851	2.13386	148.756	101.783	142.7	0.196447	0.0	2.98166	2.29865	4.14295	3.93202	2.57196	232.252	159.652	219.658	0.312953
2255	NV2t001044001.1	NV2t001044001.1	NV2t001044001.1	33076.5	6.34343	0.0	82	128	3	2	2	1	1	126	2.2227e+06	6.82882e+06	2.34793e+06	3.28872e+07	2.09234e+07	5.15548e+07	8.94891e+07	6.52855e+07	8.05386e+07	0.0	1.0	3.07231	1.05634	14.7961	9.41352	23.1947	40.2615	29.3722	36.2346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2256	NV2t015468001.1|NV2t015468002.1|NV2t015468003.1|NV2t015468004.1|NV2t015468005.1|NV2t015468006.1|NV2t015468007.1|NV2t015468008.1|NV2t015468009.1|NV2t015468010.1|NV2t015468012.1	NV2t015468001.1|NV2t015468002.1|NV2t015468003.1|NV2t015468004.1|NV2t015468005.1|NV2t015468006.1|NV2t015468007.1|NV2t015468008.1|NV2t015468009.1|NV2t015468010.1|NV2t015468012.1	NV2t015468001.1|NV2t015468002.1|NV2t015468003.1|NV2t015468004.1|NV2t015468005.1|NV2t015468006.1|NV2t015468007.1|NV2t015468008.1|NV2t015468009.1|NV2t015468010.1|NV2t015468012.1	63329.3|63329.3|63329.3|63329.3|63329.3|63329.3|63329.3|63329.3|63329.3|66153.9|63329.3	6.43215	0.0	82	349	6	6	0	6	6	126	2.16046e+07	2.65397e+07	3.08632e+07	1.22298e+08	1.5717e+08	1.34353e+08	4.55929e+08	2.60002e+08	4.14945e+08	235125.0	1.0	1.23254	1.40858	5.50416	7.09598	6.02803	21.3151	12.1148	19.2095	0.0105634	0.0	0.848553	2.46968	14.7073	19.6379	12.8842	17.0882	9.53301	17.5396	0.051014
2257	NV2t011083001.1	NV2t011083001.1	NV2t011083001.1	20217.8	8.23341	0.0	115	577	38	8	6	27	8	126	5.88917e+07	1.02765e+08	5.74483e+07	1.77624e+08	1.81537e+08	1.76629e+08	4.60405e+09	3.62668e+09	4.03722e+09	1.30791e+06	1.0	1.72788	0.981044	3.01957	3.08527	3.03014	77.8355	61.3678	68.3567	0.0221558	0.0	1.09847	0.606712	0.737298	0.671426	3.09353	58.7841	46.7143	46.974	0.0398078
2258	NV2t022653001.1	NV2t022653001.1	NV2t022653001.1	41665.6	7.11987	0.0	137	591	16	10	1	15	10	126	1.45444e+07	2.09483e+07	2.06347e+07	8.24192e+07	9.68327e+07	6.10568e+07	1.26044e+09	1.01982e+09	1.32853e+09	4.82081e+06	1.0	1.37417	1.38345	5.61344	6.58539	4.13223	86.2053	67.4968	90.3969	0.318991	0.0	2.40727	1.91796	2.96841	9.19458	5.76965	130.007	109.615	139.539	0.856783
2259	NV2t008486001.1	NV2t008486001.1	NV2t008486001.1	74351.4	6.2475	0.0	69	421	9	8	1	8	8	126	8.96464e+06	8.28807e+06	9.49802e+06	5.0762e+07	5.65754e+07	5.31991e+07	4.06745e+08	2.28356e+08	3.64589e+08	968339.0	1.0	0.917412	1.07081	5.64285	6.25186	5.9204	46.3515	25.8371	41.3025	0.108629	0.0	0.650501	0.850456	1.72317	3.20379	2.63742	45.9704	31.1108	46.5454	0.294551
2260	NV2t001186001.1	NV2t001186001.1	NV2t001186001.1	65789.2	7.07066	0.0	101	944	23	15	2	20	14	126	7.66042e+07	6.36279e+07	6.94153e+07	1.19328e+08	1.52268e+08	2.04806e+08	1.60093e+09	1.20399e+09	2.16507e+09	1.87884e+06	1.0	0.857978	0.909448	1.60037	2.02358	2.66888	21.8902	16.1906	29.3306	0.0249	0.0	1.00402	0.433049	2.32996	1.77152	2.07694	36.0805	25.3884	46.699	0.0933542
2261	NV2t010316001.1	NV2t010316001.1	NV2t010316001.1	21690.5	5.91757	0.000506586	45	45	2	1	1	1	1	126	767864.0	1.07721e+06	486923.0	3.21296e+06	2.69312e+06	2.99875e+06	3.74363e+07	3.56236e+07	5.29348e+07	914594.0	1.0	1.40287	0.634126	4.18428	3.50729	3.90531	48.7538	46.3931	68.9378	1.19109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
