Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000004	Aurelia_aurita_Seg5314.2 Seg5314.2 transcript_id=Seg5314.2_GoldUCD_mRNA.D3Y31 product=Matrilin-4 protein_id=Seg5314.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5314.1 Seg5314.1 transcript_id=Seg5314.1_GoldUCD_mRNA.D3Y31 product="Collagen alpha-3 chain" protein_id=Seg5314.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg670.10 Seg670.10 transcript_id=Seg670.10_GoldUCD_mRNA.D3Y31 product="Collagen alpha-6 chain" protein_id=Seg670.10_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3985.2 Seg3985.2 transcript_id=Seg3985.2_GoldUCD_mRNA.D3Y31 product="Collagen alpha-6 chain" protein_id=Seg3985.2_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00071535-protein TCONS_00071535-protein, Clytia_hemispherica_TCONS_00071269-protein TCONS_00071269-protein, Clytia_hemispherica_TCONS_00071536-protein TCONS_00071536-protein, Clytia_hemispherica_TCONS_00070514-protein TCONS_00070514-protein
OG0000004	Aurelia_aurita_Seg1645.9 Seg1645.9 transcript_id=Seg1645.9_GoldUCD_mRNA.D3Y31 product="Collagen alpha-5" protein_id=Seg1645.9_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00015570-protein TCONS_00015570-protein, Clytia_hemispherica_TCONS_00032641-protein TCONS_00032641-protein, Clytia_hemispherica_TCONS_00005919-protein TCONS_00005919-protein, Clytia_hemispherica_TCONS_00070512-protein TCONS_00070512-protein
OG0000004	Aurelia_aurita_Seg2797.7 Seg2797.7 transcript_id=Seg2797.7_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 2" protein_id=Seg2797.7_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6483.2 Seg6483.2 transcript_id=Seg6483.2_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 2" protein_id=Seg6483.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2869.2 Seg2869.2 transcript_id=Seg2869.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg2869.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1649.3 Seg1649.3 transcript_id=Seg1649.3_GoldUCD_mRNA.D3Y31 product="Collagen alpha-3 chain" protein_id=Seg1649.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1649.2 Seg1649.2 transcript_id=Seg1649.2_GoldUCD_mRNA.D3Y31 product="Collagen alpha-4 chain" protein_id=Seg1649.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00060279-protein TCONS_00060279-protein
OG0000004	Aurelia_aurita_Seg1634.9 Seg1634.9 transcript_id=Seg1634.9_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1634.9_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00005832-protein TCONS_00005832-protein
OG0000004	Aurelia_aurita_Seg27.2 Seg27.2 transcript_id=Seg27.2_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg27.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00025069-protein TCONS_00025069-protein
OG0000004	Aurelia_aurita_Seg397.33 Seg397.33 transcript_id=Seg397.33_GoldUCD_mRNA.D3Y31 product="Collagen alpha-1 chain" protein_id=Seg397.33_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00008136-protein TCONS_00008136-protein, Clytia_hemispherica_TCONS_00059597-protein TCONS_00059597-protein
OG0000004	Aurelia_aurita_Seg284.5 Seg284.5 transcript_id=Seg284.5_GoldUCD_mRNA.D3Y31 product=Thrombospondin-1 protein_id=Seg284.5_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00067439-protein TCONS_00067439-protein, Clytia_hemispherica_TCONS_00048295-protein TCONS_00048295-protein
OG0000004	Aurelia_aurita_Seg1267.6 Seg1267.6 transcript_id=Seg1267.6_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 1" protein_id=Seg1267.6_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00053426-protein TCONS_00053426-protein
OG0000004	Aurelia_aurita_Seg593.6 Seg593.6 transcript_id=Seg593.6_GoldUCD_mRNA.D3Y31 product="Cadherin EGF LAG seven-pass G-type receptor 3" protein_id=Seg593.6_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00067398-protein TCONS_00067398-protein
OG0000004	Aurelia_aurita_Seg4228.1 Seg4228.1 transcript_id=Seg4228.1_GoldUCD_mRNA.D3Y31 product="Protocadherin beta-8" protein_id=Seg4228.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00068125-protein TCONS_00068125-protein, Clytia_hemispherica_TCONS_00059198-protein TCONS_00059198-protein
OG0000004	Aurelia_aurita_Seg6275.2 Seg6275.2 transcript_id=Seg6275.2_GoldUCD_mRNA.D3Y31 product="Adhesion G protein-coupled receptor B2" protein_id=Seg6275.2_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00061976-protein TCONS_00061976-protein
OG0000005	Aurelia_aurita_Seg1361.6 Seg1361.6 transcript_id=Seg1361.6_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1361.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1361.3 Seg1361.3 transcript_id=Seg1361.3_GoldUCD_mRNA.D3Y31 product="Chymotrypsinogen B2" protein_id=Seg1361.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2370.3 Seg2370.3 transcript_id=Seg2370.3_GoldUCD_mRNA.D3Y31 product="High choriolytic enzyme 1" protein_id=Seg2370.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2418.4 Seg2418.4 transcript_id=Seg2418.4_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 1" protein_id=Seg2418.4_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00072424-protein TCONS_00072424-protein, Clytia_hemispherica_TCONS_00046799-protein TCONS_00046799-protein, Clytia_hemispherica_TCONS_00059668-protein TCONS_00059668-protein, Clytia_hemispherica_TCONS_00072452-protein TCONS_00072452-protein, Clytia_hemispherica_TCONS_00056619-protein TCONS_00056619-protein, Clytia_hemispherica_TCONS_00035264-protein TCONS_00035264-protein, Clytia_hemispherica_TCONS_00036935-protein TCONS_00036935-protein, Clytia_hemispherica_TCONS_00069650-protein TCONS_00069650-protein, Clytia_hemispherica_TCONS_00011313-protein TCONS_00011313-protein, Clytia_hemispherica_TCONS_00002962-protein TCONS_00002962-protein, Clytia_hemispherica_TCONS_00024366-protein TCONS_00024366-protein, Clytia_hemispherica_TCONS_00057830-protein TCONS_00057830-protein, Clytia_hemispherica_TCONS_00024970-protein TCONS_00024970-protein
OG0000005	Aurelia_aurita_Seg2002.8 Seg2002.8 transcript_id=Seg2002.8_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2002.8_GoldUCD_D3Y31, Aurelia_aurita_Seg2754.5 Seg2754.5 transcript_id=Seg2754.5_GoldUCD_mRNA.D3Y31 product="Astacin-like metalloendopeptidase" protein_id=Seg2754.5_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00073000-protein TCONS_00073000-protein, Clytia_hemispherica_TCONS_00073053-protein TCONS_00073053-protein
OG0000005	Aurelia_aurita_Seg4825.1 Seg4825.1 transcript_id=Seg4825.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg4825.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00070170-protein TCONS_00070170-protein, Clytia_hemispherica_TCONS_00064563-protein TCONS_00064563-protein, Clytia_hemispherica_TCONS_00002689-protein TCONS_00002689-protein, Clytia_hemispherica_TCONS_00002617-protein TCONS_00002617-protein, Clytia_hemispherica_TCONS_00002686-protein TCONS_00002686-protein, Clytia_hemispherica_TCONS_00051638-protein TCONS_00051638-protein, Clytia_hemispherica_TCONS_00062688-protein TCONS_00062688-protein, Clytia_hemispherica_TCONS_00019373-protein TCONS_00019373-protein
OG0000005	Aurelia_aurita_Seg1450.8 Seg1450.8 transcript_id=Seg1450.8_GoldUCD_mRNA.D3Y31 product="Pre-mRNA-processing factor 19" protein_id=Seg1450.8_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00057196-protein TCONS_00057196-protein
OG0000005	Aurelia_aurita_Seg3210.1 Seg3210.1 transcript_id=Seg3210.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg3210.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00000846-protein TCONS_00000846-protein, Clytia_hemispherica_TCONS_00007901-protein TCONS_00007901-protein, Clytia_hemispherica_TCONS_00004270-protein TCONS_00004270-protein, Clytia_hemispherica_TCONS_00016883-protein TCONS_00016883-protein, Clytia_hemispherica_TCONS_00057198-protein TCONS_00057198-protein, Clytia_hemispherica_TCONS_00048402-protein TCONS_00048402-protein
OG0000005	Aurelia_aurita_Seg2768.4 Seg2768.4 transcript_id=Seg2768.4_GoldUCD_mRNA.D3Y31 product="Myelin expression factor 2" protein_id=Seg2768.4_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00006064-protein TCONS_00006064-protein, Clytia_hemispherica_TCONS_00052231-protein TCONS_00052231-protein, Clytia_hemispherica_TCONS_00051903-protein TCONS_00051903-protein
OG0000005	Aurelia_aurita_Seg765.1 Seg765.1 transcript_id=Seg765.1_GoldUCD_mRNA.D3Y31 product="Meprin A subunit beta" protein_id=Seg765.1_GoldUCD_D3Y31, Aurelia_aurita_Seg768.6 Seg768.6 transcript_id=Seg768.6_GoldUCD_mRNA.D3Y31 product="Meprin A subunit beta" protein_id=Seg768.6_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00027231-protein TCONS_00027231-protein
OG0000005	Aurelia_aurita_Seg1823.3 Seg1823.3 transcript_id=Seg1823.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1823.3_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00071669-protein TCONS_00071669-protein
OG0000005	Aurelia_aurita_Seg599.14 Seg599.14 transcript_id=Seg599.14_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg599.14_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00050320-protein TCONS_00050320-protein
OG0000005	Aurelia_aurita_Seg1488.1 Seg1488.1 transcript_id=Seg1488.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1488.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00005324-protein TCONS_00005324-protein
OG0000005	Aurelia_aurita_Seg98.3 Seg98.3 transcript_id=Seg98.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg98.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3064.3 Seg3064.3 transcript_id=Seg3064.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg3064.3_GoldUCD_D3Y31, Aurelia_aurita_Seg910.13 Seg910.13 transcript_id=Seg910.13_GoldUCD_mRNA.D3Y31 product="Methylmalonic aciduria type A-like mitochondrial" protein_id=Seg910.13_GoldUCD_D3Y31, Aurelia_aurita_Seg4360.3 Seg4360.3 transcript_id=Seg4360.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg4360.3_GoldUCD_D3Y31, Aurelia_aurita_Seg7750.2 Seg7750.2 transcript_id=Seg7750.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg7750.2_GoldUCD_D3Y31, Aurelia_aurita_Seg557.4 Seg557.4 transcript_id=Seg557.4_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg557.4_GoldUCD_D3Y31, Aurelia_aurita_Seg557.2 Seg557.2 transcript_id=Seg557.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg557.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg910.15 Seg910.15 transcript_id=Seg910.15_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg910.15_GoldUCD_D3Y31, Aurelia_aurita_Seg7750.1 Seg7750.1 transcript_id=Seg7750.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg7750.1_GoldUCD_D3Y31, Aurelia_aurita_Seg557.3 Seg557.3 transcript_id=Seg557.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg557.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3064.2 Seg3064.2 transcript_id=Seg3064.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg3064.2_GoldUCD_D3Y31, Aurelia_aurita_Seg910.14 Seg910.14 transcript_id=Seg910.14_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg910.14_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00035760-protein TCONS_00035760-protein, Clytia_hemispherica_TCONS_00017220-protein TCONS_00017220-protein
OG0000005	Aurelia_aurita_Seg876.1 Seg876.1 transcript_id=Seg876.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg876.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1671.13 Seg1671.13 transcript_id=Seg1671.13_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1671.13_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00071436-protein TCONS_00071436-protein
OG0000005	Aurelia_aurita_Seg1684.7 Seg1684.7 transcript_id=Seg1684.7_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1684.7_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00012696-protein TCONS_00012696-protein
OG0000006	Aurelia_aurita_Seg6.11 Seg6.11 transcript_id=Seg6.11_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg6.11_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00068279-protein TCONS_00068279-protein
OG0000006	Aurelia_aurita_Seg1245.6 Seg1245.6 transcript_id=Seg1245.6_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg1245.6_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00017431-protein TCONS_00017431-protein
OG0000006	Aurelia_aurita_Seg2577.1 Seg2577.1 transcript_id=Seg2577.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg2577.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg274.8 Seg274.8 transcript_id=Seg274.8_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg274.8_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00046199-protein TCONS_00046199-protein
OG0000006	Aurelia_aurita_Seg5645.2 Seg5645.2 transcript_id=Seg5645.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5645.2_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00042167-protein TCONS_00042167-protein, Clytia_hemispherica_TCONS_00055514-protein TCONS_00055514-protein, Clytia_hemispherica_TCONS_00001195-protein TCONS_00001195-protein
OG0000007	Aurelia_aurita_Seg2055.3 Seg2055.3 transcript_id=Seg2055.3_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg2055.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6370.1 Seg6370.1 transcript_id=Seg6370.1_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg6370.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.15 Seg1379.15 transcript_id=Seg1379.15_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg1379.15_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.13 Seg1379.13 transcript_id=Seg1379.13_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg1379.13_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00012963-protein TCONS_00012963-protein
OG0000008	Aurelia_aurita_Seg821.1 Seg821.1 transcript_id=Seg821.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg821.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00016456-protein TCONS_00016456-protein
OG0000008	Aurelia_aurita_Seg1422.7 Seg1422.7 transcript_id=Seg1422.7_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg1422.7_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00059356-protein TCONS_00059356-protein
OG0000008	Aurelia_aurita_Seg1422.8 Seg1422.8 transcript_id=Seg1422.8_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" protein_id=Seg1422.8_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00049590-protein TCONS_00049590-protein
OG0000008	Aurelia_aurita_Seg709.6 Seg709.6 transcript_id=Seg709.6_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg709.6_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00009711-protein TCONS_00009711-protein
OG0000008	Aurelia_aurita_Seg1422.9 Seg1422.9 transcript_id=Seg1422.9_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg1422.9_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00049605-protein TCONS_00049605-protein
OG0000008	Aurelia_aurita_Seg1977.2 Seg1977.2 transcript_id=Seg1977.2_GoldUCD_mRNA.D3Y31 product="Protein crumbs" protein_id=Seg1977.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2320.10 Seg2320.10 transcript_id=Seg2320.10_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg2320.10_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00024185-protein TCONS_00024185-protein
OG0000008	Aurelia_aurita_Seg3522.1 Seg3522.1 transcript_id=Seg3522.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg3522.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5732.1 Seg5732.1 transcript_id=Seg5732.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg5732.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1571.3 Seg1571.3 transcript_id=Seg1571.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1571.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg275.10 Seg275.10 transcript_id=Seg275.10_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg275.10_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5012.1 Seg5012.1 transcript_id=Seg5012.1_GoldUCD_mRNA.D3Y31 product=Ficolin-2 protein_id=Seg5012.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00071623-protein TCONS_00071623-protein
OG0000009	Aurelia_aurita_Seg1446.4 Seg1446.4 transcript_id=Seg1446.4_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1446.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1404.2 Seg1404.2 transcript_id=Seg1404.2_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 2" protein_id=Seg1404.2_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00055242-protein TCONS_00055242-protein
OG0000009	Aurelia_aurita_Seg1511.2 Seg1511.2 transcript_id=Seg1511.2_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 1" protein_id=Seg1511.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00046196-protein TCONS_00046196-protein
OG0000009	Aurelia_aurita_Seg7358.1 Seg7358.1 transcript_id=Seg7358.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg7358.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00004070-protein TCONS_00004070-protein
OG0000009	Aurelia_aurita_Seg479.3 Seg479.3 transcript_id=Seg479.3_GoldUCD_mRNA.D3Y31 product="Protein AKTIP" protein_id=Seg479.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg10327.1 Seg10327.1 transcript_id=Seg10327.1_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 1" protein_id=Seg10327.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00049409-protein TCONS_00049409-protein
OG0000009	Aurelia_aurita_Seg1816.4 Seg1816.4 transcript_id=Seg1816.4_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1816.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg360.2 Seg360.2 transcript_id=Seg360.2_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 1" protein_id=Seg360.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00044068-protein TCONS_00044068-protein, Clytia_hemispherica_TCONS_00008272-protein TCONS_00008272-protein
OG0000009	Aurelia_aurita_Seg369.3 Seg369.3 transcript_id=Seg369.3_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg369.3_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00071034-protein TCONS_00071034-protein
OG0000009	Aurelia_aurita_Seg1675.2 Seg1675.2 transcript_id=Seg1675.2_GoldUCD_mRNA.D3Y31 product=Neuropilin-2 protein_id=Seg1675.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00067570-protein TCONS_00067570-protein
OG0000009	Aurelia_aurita_Seg1446.8 Seg1446.8 transcript_id=Seg1446.8_GoldUCD_mRNA.D3Y31 product=Neuropilin-1 protein_id=Seg1446.8_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00072702-protein TCONS_00072702-protein
OG0000009	Aurelia_aurita_Seg2195.8 Seg2195.8 transcript_id=Seg2195.8_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg2195.8_GoldUCD_D3Y31, Aurelia_aurita_Seg918.17 Seg918.17 transcript_id=Seg918.17_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg918.17_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00064060-protein TCONS_00064060-protein, Clytia_hemispherica_TCONS_00064059-protein TCONS_00064059-protein
OG0000010	Aurelia_aurita_Seg241.1 Seg241.1 transcript_id=Seg241.1_GoldUCD_mRNA.D3Y31 product="Roundabout 1" protein_id=Seg241.1_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein
OG0000010	Aurelia_aurita_Seg320.14 Seg320.14 transcript_id=Seg320.14_GoldUCD_mRNA.D3Y31 product=Hemicentin-2 protein_id=Seg320.14_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00064588-protein TCONS_00064588-protein
OG0000010	Aurelia_aurita_Seg1855.12 Seg1855.12 transcript_id=Seg1855.12_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" pseudo=true protein_id=Seg1855.12_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein
OG0000010	Aurelia_aurita_Seg5994.1 Seg5994.1 transcript_id=Seg5994.1_GoldUCD_mRNA.D3Y31 product=Agrin protein_id=Seg5994.1_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00060277-protein TCONS_00060277-protein
OG0000010	Aurelia_aurita_Seg4070.2 Seg4070.2 transcript_id=Seg4070.2_GoldUCD_mRNA.D3Y31 product=Follistatin-A protein_id=Seg4070.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein
OG0000012	Aurelia_aurita_Seg86.3_Seg86.5 Seg86.3_Seg86.5 transcript_id=Seg86.3_Seg86.5_GoldUCD_mRNA.D3Y31 product="BMP-binding endothelial regulator protein" protein_id=Seg86.3_Seg86.5_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein
OG0000013	Aurelia_aurita_Seg564.8 Seg564.8 transcript_id=Seg564.8_GoldUCD_mRNA.D3Y31 product="Protein Wnt-6" protein_id=Seg564.8_GoldUCD_D3Y31 partial=true	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein
OG0000013	Aurelia_aurita_Seg1579.2 Seg1579.2 transcript_id=Seg1579.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-1" protein_id=Seg1579.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00027333-protein TCONS_00027333-protein, Clytia_hemispherica_TCONS_00027371-protein TCONS_00027371-protein
OG0000013	Aurelia_aurita_Seg385.14 Seg385.14 transcript_id=Seg385.14_GoldUCD_mRNA.D3Y31 product="Proto-oncogene Wnt-3" protein_id=Seg385.14_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00003473-protein TCONS_00003473-protein
OG0000013	Aurelia_aurita_Seg1722.5 Seg1722.5 transcript_id=Seg1722.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1722.5_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00065525-protein TCONS_00065525-protein
OG0000013	Aurelia_aurita_Seg915.2 Seg915.2 transcript_id=Seg915.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg915.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00047033-protein TCONS_00047033-protein, Clytia_hemispherica_TCONS_00001198-protein TCONS_00001198-protein
OG0000013	Aurelia_aurita_Seg1688.5 Seg1688.5 transcript_id=Seg1688.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-11b" protein_id=Seg1688.5_GoldUCD_D3Y31, Aurelia_aurita_Seg13025.1 Seg13025.1 transcript_id=Seg13025.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg13025.1_GoldUCD_D3Y31, Aurelia_aurita_Seg675.38 Seg675.38 transcript_id=Seg675.38_GoldUCD_mRNA.D3Y31 product="Protein Wnt-11" protein_id=Seg675.38_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00005153-protein TCONS_00005153-protein
OG0000013	Aurelia_aurita_Seg145.5 Seg145.5 transcript_id=Seg145.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-2b" protein_id=Seg145.5_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein
OG0000013	Aurelia_aurita_Seg1904.2 Seg1904.2 transcript_id=Seg1904.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1904.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00073720-protein TCONS_00073720-protein
OG0000014	Aurelia_aurita_Seg1742.4 Seg1742.4 transcript_id=Seg1742.4_GoldUCD_mRNA.D3Y31 product=Papilin protein_id=Seg1742.4_GoldUCD_D3Y31, Aurelia_aurita_Seg5885.2 Seg5885.2 transcript_id=Seg5885.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5885.2_GoldUCD_D3Y31	Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein
