Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Cnidaria_Anthozoa_Acropora_digitifera
OG0000005	Aurelia_aurita_Seg5180.1 Seg5180.1 transcript_id=Seg5180.1_GoldUCD_mRNA.D3Y31 product="MAM and LDL-receptor class A domain-containing protein 1" protein_id=Seg5180.1_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.12633 adi_v1.12633
OG0000005	Aurelia_aurita_Seg765.1 Seg765.1 transcript_id=Seg765.1_GoldUCD_mRNA.D3Y31 product="Meprin A subunit beta" protein_id=Seg765.1_GoldUCD_D3Y31, Aurelia_aurita_Seg768.6 Seg768.6 transcript_id=Seg768.6_GoldUCD_mRNA.D3Y31 product="Meprin A subunit beta" protein_id=Seg768.6_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.24503 adi_v1.24503
OG0000005	Aurelia_aurita_Seg1488.1 Seg1488.1 transcript_id=Seg1488.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1488.1_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.02212 adi_v1.02212
OG0000005	Aurelia_aurita_Seg1684.7 Seg1684.7 transcript_id=Seg1684.7_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1684.7_GoldUCD_D3Y31, Aurelia_aurita_Seg2976.2 Seg2976.2 transcript_id=Seg2976.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg2976.2_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.23604 adi_v1.23604
OG0000006	Aurelia_aurita_Seg6.11 Seg6.11 transcript_id=Seg6.11_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg6.11_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.21946 adi_v1.21946, Acropora_digitifera_adi_v1.18870 adi_v1.18870, Acropora_digitifera_adi_v1.13727 adi_v1.13727, Acropora_digitifera_adi_v1.10661 adi_v1.10661, Acropora_digitifera_adi_v1.17948 adi_v1.17948, Acropora_digitifera_adi_v1.13200 adi_v1.13200, Acropora_digitifera_adi_v1.01538 adi_v1.01538, Acropora_digitifera_adi_v1.02127 adi_v1.02127, Acropora_digitifera_adi_v1.13976 adi_v1.13976, Acropora_digitifera_adi_v1.13728 adi_v1.13728, Acropora_digitifera_adi_v1.09591 adi_v1.09591, Acropora_digitifera_adi_v1.07190 adi_v1.07190, Acropora_digitifera_adi_v1.01853 adi_v1.01853
OG0000006	Aurelia_aurita_Seg1245.6 Seg1245.6 transcript_id=Seg1245.6_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg1245.6_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.06181 adi_v1.06181
OG0000006	Aurelia_aurita_Seg2577.1 Seg2577.1 transcript_id=Seg2577.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg2577.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg274.8 Seg274.8 transcript_id=Seg274.8_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg274.8_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.15090 adi_v1.15090, Acropora_digitifera_adi_v1.14680 adi_v1.14680
OG0000006	Aurelia_aurita_Seg8820.2 Seg8820.2 transcript_id=Seg8820.2_GoldUCD_mRNA.D3Y31 product="Protein lev-9" protein_id=Seg8820.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4596.1 Seg4596.1 transcript_id=Seg4596.1_GoldUCD_mRNA.D3Y31 product="CUB and sushi domain-containing protein 3" protein_id=Seg4596.1_GoldUCD_D3Y31, Aurelia_aurita_Seg4426.1 Seg4426.1 transcript_id=Seg4426.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg4426.1_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.18431 adi_v1.18431, Acropora_digitifera_adi_v1.10670 adi_v1.10670, Acropora_digitifera_adi_v1.19424 adi_v1.19424, Acropora_digitifera_adi_v1.13848 adi_v1.13848, Acropora_digitifera_adi_v1.20802 adi_v1.20802, Acropora_digitifera_adi_v1.19423 adi_v1.19423
OG0000006	Aurelia_aurita_Seg5645.2 Seg5645.2 transcript_id=Seg5645.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5645.2_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.15339 adi_v1.15339, Acropora_digitifera_adi_v1.00398 adi_v1.00398, Acropora_digitifera_adi_v1.14158 adi_v1.14158, Acropora_digitifera_adi_v1.01971 adi_v1.01971, Acropora_digitifera_adi_v1.11915 adi_v1.11915, Acropora_digitifera_adi_v1.10429 adi_v1.10429, Acropora_digitifera_adi_v1.23717 adi_v1.23717, Acropora_digitifera_adi_v1.07851 adi_v1.07851, Acropora_digitifera_adi_v1.05992 adi_v1.05992, Acropora_digitifera_adi_v1.21365 adi_v1.21365, Acropora_digitifera_adi_v1.06531 adi_v1.06531, Acropora_digitifera_adi_v1.22516 adi_v1.22516, Acropora_digitifera_adi_v1.12683 adi_v1.12683, Acropora_digitifera_adi_v1.07116 adi_v1.07116, Acropora_digitifera_adi_v1.22515 adi_v1.22515, Acropora_digitifera_adi_v1.14619 adi_v1.14619, Acropora_digitifera_adi_v1.06557 adi_v1.06557, Acropora_digitifera_adi_v1.12685 adi_v1.12685, Acropora_digitifera_adi_v1.23984 adi_v1.23984, Acropora_digitifera_adi_v1.04713 adi_v1.04713, Acropora_digitifera_adi_v1.19729 adi_v1.19729, Acropora_digitifera_adi_v1.05540 adi_v1.05540, Acropora_digitifera_adi_v1.00507 adi_v1.00507, Acropora_digitifera_adi_v1.08407 adi_v1.08407, Acropora_digitifera_adi_v1.10833 adi_v1.10833, Acropora_digitifera_adi_v1.00506 adi_v1.00506
OG0000007	Aurelia_aurita_Seg1789.9 Seg1789.9 transcript_id=Seg1789.9_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg1789.9_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.08028 adi_v1.08028
OG0000007	Aurelia_aurita_Seg5071.1 Seg5071.1 transcript_id=Seg5071.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg5071.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3108.5 Seg3108.5 transcript_id=Seg3108.5_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg3108.5_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.11370 adi_v1.11370
OG0000007	Aurelia_aurita_Seg2055.3 Seg2055.3 transcript_id=Seg2055.3_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg2055.3_GoldUCD_D3Y31, Aurelia_aurita_Seg6370.1 Seg6370.1 transcript_id=Seg6370.1_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg6370.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.15 Seg1379.15 transcript_id=Seg1379.15_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg1379.15_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1379.13 Seg1379.13 transcript_id=Seg1379.13_GoldUCD_mRNA.D3Y31 product="Mucin-like protein" protein_id=Seg1379.13_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.00199 adi_v1.00199, Acropora_digitifera_adi_v1.06437 adi_v1.06437, Acropora_digitifera_adi_v1.18885 adi_v1.18885, Acropora_digitifera_adi_v1.09820 adi_v1.09820, Acropora_digitifera_adi_v1.22003 adi_v1.22003, Acropora_digitifera_adi_v1.14298 adi_v1.14298, Acropora_digitifera_adi_v1.14299 adi_v1.14299, Acropora_digitifera_adi_v1.14300 adi_v1.14300, Acropora_digitifera_adi_v1.19005 adi_v1.19005, Acropora_digitifera_adi_v1.11371 adi_v1.11371, Acropora_digitifera_adi_v1.13720 adi_v1.13720, Acropora_digitifera_adi_v1.06951 adi_v1.06951, Acropora_digitifera_adi_v1.06438 adi_v1.06438, Acropora_digitifera_adi_v1.21019 adi_v1.21019, Acropora_digitifera_adi_v1.07913 adi_v1.07913, Acropora_digitifera_adi_v1.11289 adi_v1.11289, Acropora_digitifera_adi_v1.07914 adi_v1.07914
OG0000007	Aurelia_aurita_Seg2947.5 Seg2947.5 transcript_id=Seg2947.5_GoldUCD_mRNA.D3Y31 product="Adhesion G protein-coupled receptor E1" protein_id=Seg2947.5_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.21164 adi_v1.21164
OG0000008	Aurelia_aurita_Seg2080.6 Seg2080.6 transcript_id=Seg2080.6_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg2080.6_GoldUCD_D3Y31, Aurelia_aurita_Seg713.3 Seg713.3 transcript_id=Seg713.3_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg713.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1414.8 Seg1414.8 transcript_id=Seg1414.8_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg1414.8_GoldUCD_D3Y31, Aurelia_aurita_Seg821.1 Seg821.1 transcript_id=Seg821.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg821.1_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.19358 adi_v1.19358
OG0000008	Aurelia_aurita_Seg19.3 Seg19.3 transcript_id=Seg19.3_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg19.3_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.15850 adi_v1.15850
OG0000008	Aurelia_aurita_Seg3952.4 Seg3952.4 transcript_id=Seg3952.4_GoldUCD_mRNA.D3Y31 product="Pancreatic secretory granule membrane major glycoprotein GP2" protein_id=Seg3952.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1034.4 Seg1034.4 transcript_id=Seg1034.4_GoldUCD_mRNA.D3Y31 product="Deleted in malignant brain tumors 1 protein" protein_id=Seg1034.4_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.12140 adi_v1.12140, Acropora_digitifera_adi_v1.22879 adi_v1.22879, Acropora_digitifera_adi_v1.23160 adi_v1.23160, Acropora_digitifera_adi_v1.07571 adi_v1.07571, Acropora_digitifera_adi_v1.04859 adi_v1.04859, Acropora_digitifera_adi_v1.22883 adi_v1.22883
OG0000008	Aurelia_aurita_Seg6445.1 Seg6445.1 transcript_id=Seg6445.1_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg6445.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1927.8 Seg1927.8 transcript_id=Seg1927.8_GoldUCD_mRNA.D3Y31 product=Techylectin-5B protein_id=Seg1927.8_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg3270.1 Seg3270.1 transcript_id=Seg3270.1_GoldUCD_mRNA.D3Y31 product="Fibrinogen-like protein A" protein_id=Seg3270.1_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.23804 adi_v1.23804, Acropora_digitifera_adi_v1.20455 adi_v1.20455
OG0000008	Aurelia_aurita_Seg1422.7 Seg1422.7 transcript_id=Seg1422.7_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg1422.7_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.09584 adi_v1.09584
OG0000008	Aurelia_aurita_Seg1422.8 Seg1422.8 transcript_id=Seg1422.8_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" protein_id=Seg1422.8_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.09582 adi_v1.09582, Acropora_digitifera_adi_v1.06302 adi_v1.06302, Acropora_digitifera_adi_v1.09583 adi_v1.09583
OG0000008	Aurelia_aurita_Seg709.6 Seg709.6 transcript_id=Seg709.6_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg709.6_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.03573 adi_v1.03573, Acropora_digitifera_adi_v1.19697 adi_v1.19697
OG0000008	Aurelia_aurita_Seg1977.2 Seg1977.2 transcript_id=Seg1977.2_GoldUCD_mRNA.D3Y31 product="Protein crumbs" protein_id=Seg1977.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2320.10 Seg2320.10 transcript_id=Seg2320.10_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg2320.10_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.01978 adi_v1.01978
OG0000009	Aurelia_aurita_Seg1446.4 Seg1446.4 transcript_id=Seg1446.4_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1446.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1404.2 Seg1404.2 transcript_id=Seg1404.2_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 2" protein_id=Seg1404.2_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.00989 adi_v1.00989
OG0000009	Aurelia_aurita_Seg778.1 Seg778.1 transcript_id=Seg778.1_GoldUCD_mRNA.D3Y31 product="Deleted in malignant brain tumors 1 protein" protein_id=Seg778.1_GoldUCD_D3Y31, Aurelia_aurita_Seg4427.2 Seg4427.2 transcript_id=Seg4427.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg4427.2_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.09663 adi_v1.09663, Acropora_digitifera_adi_v1.19260 adi_v1.19260, Acropora_digitifera_adi_v1.19569 adi_v1.19569
OG0000009	Aurelia_aurita_Seg7358.1 Seg7358.1 transcript_id=Seg7358.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg7358.1_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.19086 adi_v1.19086
OG0000009	Aurelia_aurita_Seg369.3 Seg369.3 transcript_id=Seg369.3_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg369.3_GoldUCD_D3Y31, Aurelia_aurita_Seg369.1 Seg369.1 transcript_id=Seg369.1_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 2" protein_id=Seg369.1_GoldUCD_D3Y31, Aurelia_aurita_Seg4133.3 Seg4133.3 transcript_id=Seg4133.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg4133.3_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.11309 adi_v1.11309, Acropora_digitifera_adi_v1.11310 adi_v1.11310, Acropora_digitifera_adi_v1.20169 adi_v1.20169, Acropora_digitifera_adi_v1.16563 adi_v1.16563, Acropora_digitifera_adi_v1.16561 adi_v1.16561, Acropora_digitifera_adi_v1.23168 adi_v1.23168, Acropora_digitifera_adi_v1.02161 adi_v1.02161, Acropora_digitifera_adi_v1.02163 adi_v1.02163
OG0000009	Aurelia_aurita_Seg1675.2 Seg1675.2 transcript_id=Seg1675.2_GoldUCD_mRNA.D3Y31 product=Neuropilin-2 protein_id=Seg1675.2_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.13554 adi_v1.13554
OG0000009	Aurelia_aurita_Seg1446.8 Seg1446.8 transcript_id=Seg1446.8_GoldUCD_mRNA.D3Y31 product=Neuropilin-1 protein_id=Seg1446.8_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.04391 adi_v1.04391
OG0000009	Aurelia_aurita_Seg5060.2 Seg5060.2 transcript_id=Seg5060.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5060.2_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.13189 adi_v1.13189
OG0000009	Aurelia_aurita_Seg2256.2 Seg2256.2 transcript_id=Seg2256.2_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 1" protein_id=Seg2256.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2837.4 Seg2837.4 transcript_id=Seg2837.4_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg2837.4_GoldUCD_D3Y31, Aurelia_aurita_Seg2837.5 Seg2837.5 transcript_id=Seg2837.5_GoldUCD_mRNA.D3Y31 product="CUB domain-containing protein 2" protein_id=Seg2837.5_GoldUCD_D3Y31, Aurelia_aurita_Seg1160.13 Seg1160.13 transcript_id=Seg1160.13_GoldUCD_mRNA.D3Y31 product="Dorsal-ventral patterning protein tolloid" protein_id=Seg1160.13_GoldUCD_D3Y31, Aurelia_aurita_Seg2405.1 Seg2405.1 transcript_id=Seg2405.1_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 2" protein_id=Seg2405.1_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.15364 adi_v1.15364
OG0000009	Aurelia_aurita_Seg53.10 Seg53.10 transcript_id=Seg53.10_GoldUCD_mRNA.D3Y31 product="Deleted in malignant brain tumors 1 protein" protein_id=Seg53.10_GoldUCD_D3Y31, Aurelia_aurita_Seg53.11 Seg53.11 transcript_id=Seg53.11_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 2" protein_id=Seg53.11_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg9495.1 Seg9495.1 transcript_id=Seg9495.1_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg9495.1_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.20684 adi_v1.20684
OG0000010	Aurelia_aurita_Seg241.1 Seg241.1 transcript_id=Seg241.1_GoldUCD_mRNA.D3Y31 product="Roundabout 1" protein_id=Seg241.1_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.04228 adi_v1.04228
OG0000010	Aurelia_aurita_Seg1913.2 Seg1913.2 transcript_id=Seg1913.2_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg1913.2_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.06326 adi_v1.06326
OG0000010	Aurelia_aurita_Seg919.4 Seg919.4 transcript_id=Seg919.4_GoldUCD_mRNA.D3Y31 product=Hemicentin-1 protein_id=Seg919.4_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.05562 adi_v1.05562, Acropora_digitifera_adi_v1.07946 adi_v1.07946
OG0000010	Aurelia_aurita_Seg114.11 Seg114.11 transcript_id=Seg114.11_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg114.11_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.16141 adi_v1.16141
OG0000010	Aurelia_aurita_Seg1855.12 Seg1855.12 transcript_id=Seg1855.12_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" pseudo=true protein_id=Seg1855.12_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.05525 adi_v1.05525
OG0000010	Aurelia_aurita_Seg1962.7 Seg1962.7 transcript_id=Seg1962.7_GoldUCD_mRNA.D3Y31 product=Agrin protein_id=Seg1962.7_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.20273 adi_v1.20273, Acropora_digitifera_adi_v1.20157 adi_v1.20157
OG0000010	Aurelia_aurita_Seg4070.2 Seg4070.2 transcript_id=Seg4070.2_GoldUCD_mRNA.D3Y31 product=Follistatin-A protein_id=Seg4070.2_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.05424 adi_v1.05424
OG0000012	Aurelia_aurita_Seg86.3_Seg86.5 Seg86.3_Seg86.5 transcript_id=Seg86.3_Seg86.5_GoldUCD_mRNA.D3Y31 product="BMP-binding endothelial regulator protein" protein_id=Seg86.3_Seg86.5_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.12876 adi_v1.12876
OG0000013	Aurelia_aurita_Seg3321.1 Seg3321.1 transcript_id=Seg3321.1_GoldUCD_mRNA.D3Y31 product="Protein Wnt-16" protein_id=Seg3321.1_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.01147 adi_v1.01147
OG0000013	Aurelia_aurita_Seg564.8 Seg564.8 transcript_id=Seg564.8_GoldUCD_mRNA.D3Y31 product="Protein Wnt-6" protein_id=Seg564.8_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.13606 adi_v1.13606
OG0000013	Aurelia_aurita_Seg1722.5 Seg1722.5 transcript_id=Seg1722.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1722.5_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.23656 adi_v1.23656, Acropora_digitifera_adi_v1.23655 adi_v1.23655, Acropora_digitifera_adi_v1.23654 adi_v1.23654
OG0000013	Aurelia_aurita_Seg1688.5 Seg1688.5 transcript_id=Seg1688.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-11b" protein_id=Seg1688.5_GoldUCD_D3Y31, Aurelia_aurita_Seg13025.1 Seg13025.1 transcript_id=Seg13025.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg13025.1_GoldUCD_D3Y31, Aurelia_aurita_Seg675.38 Seg675.38 transcript_id=Seg675.38_GoldUCD_mRNA.D3Y31 product="Protein Wnt-11" protein_id=Seg675.38_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.16598 adi_v1.16598
OG0000013	Aurelia_aurita_Seg145.5 Seg145.5 transcript_id=Seg145.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-2b" protein_id=Seg145.5_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.02062 adi_v1.02062, Acropora_digitifera_adi_v1.02063 adi_v1.02063
OG0000013	Aurelia_aurita_Seg1904.2 Seg1904.2 transcript_id=Seg1904.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1904.2_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.13774 adi_v1.13774, Acropora_digitifera_adi_v1.13773 adi_v1.13773, Acropora_digitifera_adi_v1.08272 adi_v1.08272
OG0000014	Aurelia_aurita_Seg1742.4 Seg1742.4 transcript_id=Seg1742.4_GoldUCD_mRNA.D3Y31 product=Papilin protein_id=Seg1742.4_GoldUCD_D3Y31, Aurelia_aurita_Seg5885.2 Seg5885.2 transcript_id=Seg5885.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5885.2_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.10799 adi_v1.10799, Acropora_digitifera_adi_v1.14366 adi_v1.14366
OG0000014	Aurelia_aurita_Seg856.9 Seg856.9 transcript_id=Seg856.9_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg856.9_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.10968 adi_v1.10968
OG0000014	Aurelia_aurita_Seg114.1 Seg114.1 transcript_id=Seg114.1_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 7" protein_id=Seg114.1_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.01169 adi_v1.01169
OG0000014	Aurelia_aurita_Seg1394.13 Seg1394.13 transcript_id=Seg1394.13_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 18" protein_id=Seg1394.13_GoldUCD_D3Y31, Aurelia_aurita_Seg659.3 Seg659.3 transcript_id=Seg659.3_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 6" protein_id=Seg659.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg209.3 Seg209.3 transcript_id=Seg209.3_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg209.3_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.16603 adi_v1.16603, Acropora_digitifera_adi_v1.13245 adi_v1.13245, Acropora_digitifera_adi_v1.20449 adi_v1.20449, Acropora_digitifera_adi_v1.05790 adi_v1.05790, Acropora_digitifera_adi_v1.02358 adi_v1.02358, Acropora_digitifera_adi_v1.16964 adi_v1.16964, Acropora_digitifera_adi_v1.13244 adi_v1.13244, Acropora_digitifera_adi_v1.13631 adi_v1.13631
OG0000014	Aurelia_aurita_Seg93.4 Seg93.4 transcript_id=Seg93.4_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 3" protein_id=Seg93.4_GoldUCD_D3Y31, Aurelia_aurita_Seg1865.11 Seg1865.11 transcript_id=Seg1865.11_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 3" protein_id=Seg1865.11_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.16403 adi_v1.16403
OG0000015	Aurelia_aurita_Seg207.8 Seg207.8 transcript_id=Seg207.8_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg207.8_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.23833 adi_v1.23833, Acropora_digitifera_adi_v1.22393 adi_v1.22393, Acropora_digitifera_adi_v1.10186 adi_v1.10186
OG0000016	Aurelia_aurita_Seg8.8 Seg8.8 transcript_id=Seg8.8_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-16" protein_id=Seg8.8_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.02177 adi_v1.02177, Acropora_digitifera_adi_v1.02174 adi_v1.02174
OG0000016	Aurelia_aurita_Seg6389.1 Seg6389.1 transcript_id=Seg6389.1_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-17" protein_id=Seg6389.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg708.15 Seg708.15 transcript_id=Seg708.15_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-25" protein_id=Seg708.15_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.22761 adi_v1.22761
OG0000016	Aurelia_aurita_Seg3243.6 Seg3243.6 transcript_id=Seg3243.6_GoldUCD_mRNA.D3Y31 product="Hatching enzyme" protein_id=Seg3243.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1784.13 Seg1784.13 transcript_id=Seg1784.13_GoldUCD_mRNA.D3Y31 product="Hatching enzyme" protein_id=Seg1784.13_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.03032 adi_v1.03032
OG0000018	Aurelia_aurita_Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3 Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3 transcript_id=Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3_GoldUCD_mRNA.D3Y31 product="Lysyl oxidase 2B" protein_id=Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.08251 adi_v1.08251, Acropora_digitifera_adi_v1.08253 adi_v1.08253
OG0000018	Aurelia_aurita_Seg4118.1 Seg4118.1 transcript_id=Seg4118.1_GoldUCD_mRNA.D3Y31 product="Lysyl oxidase 4" protein_id=Seg4118.1_GoldUCD_D3Y31 partial=true	Acropora_digitifera_adi_v1.18502 adi_v1.18502
OG0000019	Aurelia_aurita_Seg381.25 Seg381.25 transcript_id=Seg381.25_GoldUCD_mRNA.D3Y31 product="Inhibin beta A chain" protein_id=Seg381.25_GoldUCD_D3Y31, Aurelia_aurita_Seg3698.1 Seg3698.1 transcript_id=Seg3698.1_GoldUCD_mRNA.D3Y31 product="Inhibin beta B chain" protein_id=Seg3698.1_GoldUCD_D3Y31	Acropora_digitifera_adi_v1.06152 adi_v1.06152, Acropora_digitifera_adi_v1.06153 adi_v1.06153
