Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Chordata_Vertebrata_Coturnix_japonica
OG0000013	Aurelia_aurita_Seg1904.2 Seg1904.2 transcript_id=Seg1904.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1904.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015731087.1 protein Wnt-8a [Coturnix japonica], Coturnix_japonica_XP_015721972.1 PREDICTED_ protein Wnt-8b [Coturnix japonica]
OG0000014	Aurelia_aurita_Seg1742.4 Seg1742.4 transcript_id=Seg1742.4_GoldUCD_mRNA.D3Y31 product=Papilin protein_id=Seg1742.4_GoldUCD_D3Y31, Aurelia_aurita_Seg5885.2 Seg5885.2 transcript_id=Seg5885.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5885.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015734810.1 ADAMTS-like protein 2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015728200.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Coturnix japonica]
OG0000014	Aurelia_aurita_Seg114.1 Seg114.1 transcript_id=Seg114.1_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 7" protein_id=Seg114.1_GoldUCD_D3Y31	Coturnix_japonica_XP_015728774.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015703899.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 [Coturnix japonica]
OG0000017	Aurelia_aurita_Seg932.11 Seg932.11 transcript_id=Seg932.11_GoldUCD_mRNA.D3Y31 product="Leukocyte elastase inhibitor C" protein_id=Seg932.11_GoldUCD_D3Y31, Aurelia_aurita_Seg1617.8 Seg1617.8 transcript_id=Seg1617.8_GoldUCD_mRNA.D3Y31 product="Serpin B11" protein_id=Seg1617.8_GoldUCD_D3Y31, Aurelia_aurita_Seg2092.5 Seg2092.5 transcript_id=Seg2092.5_GoldUCD_mRNA.D3Y31 product="Serpin B11" protein_id=Seg2092.5_GoldUCD_D3Y31, Aurelia_aurita_Seg910.11 Seg910.11 transcript_id=Seg910.11_GoldUCD_mRNA.D3Y31 product="Serpin B11" protein_id=Seg910.11_GoldUCD_D3Y31, Aurelia_aurita_Seg2092.8 Seg2092.8 transcript_id=Seg2092.8_GoldUCD_mRNA.D3Y31 product="Leukocyte elastase inhibitor C" protein_id=Seg2092.8_GoldUCD_D3Y31, Aurelia_aurita_Seg6085.3 Seg6085.3 transcript_id=Seg6085.3_GoldUCD_mRNA.D3Y31 product="Leukocyte elastase inhibitor C" protein_id=Seg6085.3_GoldUCD_D3Y31, Aurelia_aurita_Seg873.2 Seg873.2 transcript_id=Seg873.2_GoldUCD_mRNA.D3Y31 product="Serpin B8" protein_id=Seg873.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015720855.1 protein Z-dependent protease inhibitor isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733029.1 heparin cofactor 2 [Coturnix japonica], Coturnix_japonica_XP_015719142.1 plasma protease C1 inhibitor [Coturnix japonica], Coturnix_japonica_XP_015736135.1 alpha-2-antiplasmin isoform X1 [Coturnix japonica]
OG0000018	Aurelia_aurita_Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3 Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3 transcript_id=Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3_GoldUCD_mRNA.D3Y31 product="Lysyl oxidase 2B" protein_id=Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3_GoldUCD_D3Y31	Coturnix_japonica_XP_015722587.1 PREDICTED_ LOW QUALITY PROTEIN_ lysyl oxidase homolog 4-like [Coturnix japonica], Coturnix_japonica_XP_015705736.1 lysyl oxidase homolog 3 [Coturnix japonica], Coturnix_japonica_XP_015738393.1 lysyl oxidase homolog 2 [Coturnix japonica]
OG0000018	Aurelia_aurita_Seg4118.1 Seg4118.1 transcript_id=Seg4118.1_GoldUCD_mRNA.D3Y31 product="Lysyl oxidase 4" protein_id=Seg4118.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015728258.1 lysyl oxidase homolog 1 [Coturnix japonica], Coturnix_japonica_XP_015705542.1 protein-lysine 6-oxidase isoform X1 [Coturnix japonica]
OG0000019	Aurelia_aurita_Seg3305.2 Seg3305.2 transcript_id=Seg3305.2_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 5" protein_id=Seg3305.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2319.3 Seg2319.3 transcript_id=Seg2319.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 5" protein_id=Seg2319.3_GoldUCD_D3Y31	Coturnix_japonica_XP_015738689.1 bone morphogenetic protein 8B-like [Coturnix japonica], Coturnix_japonica_XP_015714712.1 bone morphogenetic protein 5 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015710074.1 bone morphogenetic protein 6 [Coturnix japonica], Coturnix_japonica_XP_015737280.1 bone morphogenetic protein 7 [Coturnix japonica]
OG0000019	Aurelia_aurita_Seg630.3 Seg630.3 transcript_id=Seg630.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 2-B" protein_id=Seg630.3_GoldUCD_D3Y31	Coturnix_japonica_XP_015721467.1 bone morphogenetic protein 4 [Coturnix japonica], Coturnix_japonica_XP_015712614.1 bone morphogenetic protein 2 [Coturnix japonica]
OG0000019	Aurelia_aurita_Seg4745.1 Seg4745.1 transcript_id=Seg4745.1_GoldUCD_mRNA.D3Y31 product="Growth_differentiation factor 6-A" protein_id=Seg4745.1_GoldUCD_D3Y31, Aurelia_aurita_Seg562.17 Seg562.17 transcript_id=Seg562.17_GoldUCD_mRNA.D3Y31 product="Growth_differentiation factor 6-A" protein_id=Seg562.17_GoldUCD_D3Y31	Coturnix_japonica_XP_015705631.1 PREDICTED_ growth/differentiation factor 6_ partial [Coturnix japonica], Coturnix_japonica_XP_015736826.1 growth/differentiation factor 5 [Coturnix japonica], Coturnix_japonica_XP_015714970.1 growth/differentiation factor 7 [Coturnix japonica], Coturnix_japonica_XP_015717295.1 bone morphogenetic protein 3 [Coturnix japonica], Coturnix_japonica_XP_015722337.1 growth/differentiation factor 10 [Coturnix japonica]
OG0000020	Aurelia_aurita_Seg376.12 Seg376.12 transcript_id=Seg376.12_GoldUCD_mRNA.D3Y31 product="Collagen alpha-2" protein_id=Seg376.12_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1274.1 Seg1274.1 transcript_id=Seg1274.1_GoldUCD_mRNA.D3Y31 product="Collagen alpha-2" protein_id=Seg1274.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6278.2 Seg6278.2 transcript_id=Seg6278.2_GoldUCD_mRNA.D3Y31 product="Collagen alpha-1" protein_id=Seg6278.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015705870.1 collagen alpha-1_II_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741354.1 LOW QUALITY PROTEIN_ collagen alpha-1_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015709029.1 collagen alpha-2_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015723325.1 collagen alpha-1_III_ chain [Coturnix japonica], Coturnix_japonica_XP_015723324.1 collagen alpha-2_V_ chain [Coturnix japonica]
OG0000020	Aurelia_aurita_Seg2225.1 Seg2225.1 transcript_id=Seg2225.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg2225.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg308.7 Seg308.7 transcript_id=Seg308.7_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg308.7_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015725659.1 collagen alpha-1_XXIV_ chain isoform X1 [Coturnix japonica]
OG0000021	Aurelia_aurita_Seg1799.5 Seg1799.5 transcript_id=Seg1799.5_GoldUCD_mRNA.D3Y31 product=Nidogen-1 protein_id=Seg1799.5_GoldUCD_D3Y31	Coturnix_japonica_XP_015721444.1 nidogen-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015713380.1 nidogen-1 isoform X1 [Coturnix japonica]
OG0000022	Aurelia_aurita_Seg190.12 Seg190.12 transcript_id=Seg190.12_GoldUCD_mRNA.D3Y31 product="Annexin A6" protein_id=Seg190.12_GoldUCD_D3Y31	Coturnix_japonica_XP_015716358.1 PREDICTED_ annexin A10 [Coturnix japonica]
OG0000022	Aurelia_aurita_Seg940.20 Seg940.20 transcript_id=Seg940.20_GoldUCD_mRNA.D3Y31 product="Annexin A7" protein_id=Seg940.20_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015722004.1 annexin A7 isoform X2 [Coturnix japonica]
OG0000023	Aurelia_aurita_Seg1526.4 Seg1526.4 transcript_id=Seg1526.4_GoldUCD_mRNA.D3Y31 product="ADP-ribosylation factor-like protein 3" protein_id=Seg1526.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4135.1 Seg4135.1 transcript_id=Seg4135.1_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 12" protein_id=Seg4135.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015721656.1 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738502.1 disintegrin and metalloproteinase domain-containing protein 28 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733264.1 disintegrin and metalloproteinase domain-containing protein 9-like [Coturnix japonica], Coturnix_japonica_XP_015738633.1 disintegrin and metalloproteinase domain-containing protein 9 [Coturnix japonica], Coturnix_japonica_XP_015723079.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 12 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015718482.1 disintegrin and metalloproteinase domain-containing protein 33 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015731731.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 19 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015723724.1 disintegrin and metalloproteinase domain-containing protein 23 [Coturnix japonica], Coturnix_japonica_XP_015708948.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740988.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 11 isoform X2 [Coturnix japonica]
OG0000030	Aurelia_aurita_Seg1709.3 Seg1709.3 transcript_id=Seg1709.3_GoldUCD_mRNA.D3Y31 product="ADAM 17-like protease" protein_id=Seg1709.3_GoldUCD_D3Y31	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]
OG0000030	Aurelia_aurita_Seg5003.4 Seg5003.4 transcript_id=Seg5003.4_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 10" protein_id=Seg5003.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg604.5 Seg604.5 transcript_id=Seg604.5_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 10" protein_id=Seg604.5_GoldUCD_D3Y31	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]
OG0000036	Aurelia_aurita_Seg2425.5 Seg2425.5 transcript_id=Seg2425.5_GoldUCD_mRNA.D3Y31 product="von Willebrand factor C and EGF domain-containing protein" protein_id=Seg2425.5_GoldUCD_D3Y31	Coturnix_japonica_XP_015734828.1 epidermal growth factor-like protein 7 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015703683.1 PREDICTED_ epidermal growth factor-like protein 6 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015716910.1 LOW QUALITY PROTEIN_ nephronectin [Coturnix japonica]
OG0000037	Aurelia_aurita_Seg2770.2 Seg2770.2 transcript_id=Seg2770.2_GoldUCD_mRNA.D3Y31 product="Transforming growth factor-beta-induced protein ig-h3" protein_id=Seg2770.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2770.3 Seg2770.3 transcript_id=Seg2770.3_GoldUCD_mRNA.D3Y31 product="Transforming growth factor-beta-induced protein ig-h3" protein_id=Seg2770.3_GoldUCD_D3Y31, Aurelia_aurita_Seg11929.1 Seg11929.1 transcript_id=Seg11929.1_GoldUCD_mRNA.D3Y31 product="Transforming growth factor-beta-induced protein ig-h3" protein_id=Seg11929.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1799.3 Seg1799.3 transcript_id=Seg1799.3_GoldUCD_mRNA.D3Y31 product="Transforming growth factor-beta-induced protein ig-h3" protein_id=Seg1799.3_GoldUCD_D3Y31	Coturnix_japonica_XP_015707407.1 periostin isoform X8 [Coturnix japonica], Coturnix_japonica_XP_015731386.1 transforming growth factor-beta-induced protein ig-h3 [Coturnix japonica]
OG0000038	Aurelia_aurita_Seg1008.6 Seg1008.6 transcript_id=Seg1008.6_GoldUCD_mRNA.D3Y31 product="Dipeptidyl peptidase 2" protein_id=Seg1008.6_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015734323.1 tumor necrosis factor ligand superfamily member 15 [Coturnix japonica], Coturnix_japonica_XP_015725223.1 PREDICTED_ tumor necrosis factor ligand superfamily member 6 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015707222.1 tumor necrosis factor ligand superfamily member 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015727439.1 tumor necrosis factor ligand superfamily member 10 isoform X1 [Coturnix japonica]
OG0000040	Aurelia_aurita_Seg1962.2 Seg1962.2 transcript_id=Seg1962.2_GoldUCD_mRNA.D3Y31 product="Venom protein 302" protein_id=Seg1962.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]
OG0000041	Aurelia_aurita_Seg65.4 Seg65.4 transcript_id=Seg65.4_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 5B1" protein_id=Seg65.4_GoldUCD_D3Y31	Coturnix_japonica_XP_015727259.1 von Willebrand factor A domain-containing protein 5B2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737811.1 von Willebrand factor A domain-containing protein 5B1 [Coturnix japonica]
OG0000044	Aurelia_aurita_Seg5.2 Seg5.2 transcript_id=Seg5.2_GoldUCD_mRNA.D3Y31 product="Protein-glutamine gamma-glutamyltransferase K" protein_id=Seg5.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1628.2 Seg1628.2 transcript_id=Seg1628.2_GoldUCD_mRNA.D3Y31 product="Protein-glutamine gamma-glutamyltransferase K" protein_id=Seg1628.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4454.1 Seg4454.1 transcript_id=Seg4454.1_GoldUCD_mRNA.D3Y31 product="Protein-glutamine gamma-glutamyltransferase K" protein_id=Seg4454.1_GoldUCD_D3Y31	Coturnix_japonica_XP_015737318.1 protein-glutamine gamma-glutamyltransferase 2 [Coturnix japonica], Coturnix_japonica_XP_015736940.1 PREDICTED_ protein-glutamine gamma-glutamyltransferase E-like_ partial [Coturnix japonica], Coturnix_japonica_XP_015736972.1 protein-glutamine gamma-glutamyltransferase 6-like [Coturnix japonica], Coturnix_japonica_XP_015709680.1 protein-glutamine gamma-glutamyltransferase 4 [Coturnix japonica], Coturnix_japonica_XP_015710131.1 coagulation factor XIII A chain [Coturnix japonica]
OG0000045	Aurelia_aurita_Seg3360.5 Seg3360.5 transcript_id=Seg3360.5_GoldUCD_mRNA.D3Y31 product="Laminin-like protein epi-1" protein_id=Seg3360.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2845.2 Seg2845.2 transcript_id=Seg2845.2_GoldUCD_mRNA.D3Y31 product="Laminin-like protein epi-1" protein_id=Seg2845.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015710913.1 PREDICTED_ laminin subunit alpha-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015736975.1 laminin subunit alpha-5 isoform X3 [Coturnix japonica]
OG0000045	Aurelia_aurita_Seg276.2 Seg276.2 transcript_id=Seg276.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg276.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1120.6 Seg1120.6 transcript_id=Seg1120.6_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg1120.6_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015714210.1 laminin subunit alpha-4 [Coturnix japonica]
OG0000063	Aurelia_aurita_Seg2042.4 Seg2042.4 transcript_id=Seg2042.4_GoldUCD_mRNA.D3Y31 product="Sonic hedgehog protein" protein_id=Seg2042.4_GoldUCD_D3Y31	Coturnix_japonica_XP_015708514.1 sonic hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015724713.1 indian hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015742402.1 desert hedgehog protein [Coturnix japonica]
OG0000065	Aurelia_aurita_Seg2474.2 Seg2474.2 transcript_id=Seg2474.2_GoldUCD_mRNA.D3Y31 product=Glypican-6 protein_id=Seg2474.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015707026.1 glypican-5 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715912.1 glypican-3 isoform X1 [Coturnix japonica]
OG0000078	Aurelia_aurita_Seg1437.7 Seg1437.7 transcript_id=Seg1437.7_GoldUCD_mRNA.D3Y31 product=Cystatin-1 protein_id=Seg1437.7_GoldUCD_D3Y31	Coturnix_japonica_XP_015714739.1 tubulointerstitial nephritis antigen isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738735.1 PREDICTED_ tubulointerstitial nephritis antigen-like [Coturnix japonica], Coturnix_japonica_XP_015712526.1 cystatin [Coturnix japonica], Coturnix_japonica_XP_015712583.1 cystatin-F [Coturnix japonica]
OG0000080	Aurelia_aurita_Seg2071.2 Seg2071.2 transcript_id=Seg2071.2_GoldUCD_mRNA.D3Y31 product="Metalloproteinase inhibitor 4" protein_id=Seg2071.2_GoldUCD_D3Y31, Aurelia_aurita_Seg533.4 Seg533.4 transcript_id=Seg533.4_GoldUCD_mRNA.D3Y31 product="Metalloproteinase inhibitor 3" protein_id=Seg533.4_GoldUCD_D3Y31	Coturnix_japonica_XP_015719193.1 metalloproteinase inhibitor 3 [Coturnix japonica], Coturnix_japonica_XP_015735526.1 metalloproteinase inhibitor 2 [Coturnix japonica], Coturnix_japonica_XP_015730262.1 metalloproteinase inhibitor 4 isoform X3 [Coturnix japonica]
OG0000083	Aurelia_aurita_Seg2527.1 Seg2527.1 transcript_id=Seg2527.1_GoldUCD_mRNA.D3Y31 product=Hyaluronidase-5 protein_id=Seg2527.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1025.2 Seg1025.2 transcript_id=Seg1025.2_GoldUCD_mRNA.D3Y31 product=Hyaluronidase-3 protein_id=Seg1025.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015730132.1 hyaluronidase-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015729975.1 hyaluronidase-1 [Coturnix japonica], Coturnix_japonica_XP_015708262.1 hyaluronidase PH-20 [Coturnix japonica], Coturnix_japonica_XP_015729965.1 PREDICTED_ hyaluronidase-2 [Coturnix japonica]
OG0000084	Aurelia_aurita_Seg2035.2 Seg2035.2 transcript_id=Seg2035.2_GoldUCD_mRNA.D3Y31 product="Signaling mucin HKR1" protein_id=Seg2035.2_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015723175.2 collagen alpha-1_XVIII_ chain isoform X1 [Coturnix japonica]
OG0000088	Aurelia_aurita_Seg3345.1 Seg3345.1 transcript_id=Seg3345.1_GoldUCD_mRNA.D3Y31 product=Spondin-1 protein_id=Seg3345.1_GoldUCD_D3Y31	Coturnix_japonica_XP_015718401.1 spondin-2 [Coturnix japonica], Coturnix_japonica_XP_015719003.1 PREDICTED_ spondin-1 [Coturnix japonica]
OG0000089	Aurelia_aurita_Seg1406.1 Seg1406.1 transcript_id=Seg1406.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg1406.1_GoldUCD_D3Y31	Coturnix_japonica_XP_015727358.1 chordin [Coturnix japonica]
OG0000089	Aurelia_aurita_Seg675.35 Seg675.35 transcript_id=Seg675.35_GoldUCD_mRNA.D3Y31 product="Chordin-like protein 1" protein_id=Seg675.35_GoldUCD_D3Y31	Coturnix_japonica_XP_015716178.1 chordin-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015708156.1 PREDICTED_ chordin-like protein 2 isoform X1 [Coturnix japonica]
OG0000093	Aurelia_aurita_Seg1903.2 Seg1903.2 transcript_id=Seg1903.2_GoldUCD_mRNA.D3Y31 product=Cystatin-B protein_id=Seg1903.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015729012.1 leukocyte cysteine proteinase inhibitor 1-like [Coturnix japonica], Coturnix_japonica_XP_015729006.1 cystatin-B-like [Coturnix japonica]
OG0000095	Aurelia_aurita_Seg458.1 Seg458.1 transcript_id=Seg458.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg458.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015713495.1 PREDICTED_ SPARC-related modular calcium-binding protein 2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015720199.1 SPARC-related modular calcium-binding protein 1 isoform X5 [Coturnix japonica]
OG0000102	Aurelia_aurita_Seg2029.3 Seg2029.3 transcript_id=Seg2029.3_GoldUCD_mRNA.D3Y31 product=Fibulin-2 protein_id=Seg2029.3_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015720830.1 fibulin-5 [Coturnix japonica], Coturnix_japonica_XP_015712283.1 EGF-containing fibulin-like extracellular matrix protein 1 isoform X1 [Coturnix japonica]
OG0000112	Aurelia_aurita_Seg2117.5 Seg2117.5 transcript_id=Seg2117.5_GoldUCD_mRNA.D3Y31 product=Heparanase protein_id=Seg2117.5_GoldUCD_D3Y31, Aurelia_aurita_Seg8226.2 Seg8226.2 transcript_id=Seg8226.2_GoldUCD_mRNA.D3Y31 product=Heparanase protein_id=Seg8226.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg190.4 Seg190.4 transcript_id=Seg190.4_GoldUCD_mRNA.D3Y31 product=Heparanase protein_id=Seg190.4_GoldUCD_D3Y31, Aurelia_aurita_Seg416.5 Seg416.5 transcript_id=Seg416.5_GoldUCD_mRNA.D3Y31 product=Heparanase protein_id=Seg416.5_GoldUCD_D3Y31, Aurelia_aurita_Seg9350.1 Seg9350.1 transcript_id=Seg9350.1_GoldUCD_mRNA.D3Y31 product=Heparanase protein_id=Seg9350.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1225.9 Seg1225.9 transcript_id=Seg1225.9_GoldUCD_mRNA.D3Y31 product=Heparanase protein_id=Seg1225.9_GoldUCD_D3Y31	Coturnix_japonica_XP_015722579.1 PREDICTED_ inactive heparanase-2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015717103.1 PREDICTED_ heparanase isoform X3 [Coturnix japonica]
OG0000120	Aurelia_aurita_Seg1734.12 Seg1734.12 transcript_id=Seg1734.12_GoldUCD_mRNA.D3Y31 product=Syndecan protein_id=Seg1734.12_GoldUCD_D3Y31	Coturnix_japonica_XP_015736984.1 syndecan-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711411.1 syndecan-2 [Coturnix japonica], Coturnix_japonica_XP_015714984.1 syndecan-1 [Coturnix japonica], Coturnix_japonica_XP_015739164.1 syndecan-3 [Coturnix japonica]
OG0000122	Aurelia_aurita_Seg4060.1 Seg4060.1 transcript_id=Seg4060.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg4060.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015729348.1 72 kDa type IV collagenase [Coturnix japonica], Coturnix_japonica_XP_015737409.1 matrix metalloproteinase-9 [Coturnix japonica]
OG0000123	Aurelia_aurita_Seg4383.1 Seg4383.1 transcript_id=Seg4383.1_GoldUCD_mRNA.D3Y31 product=Fibulin-1 protein_id=Seg4383.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015725990.1 fibulin-1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730290.1 fibulin-2 [Coturnix japonica]
OG0000157	Aurelia_aurita_Seg1660.6 Seg1660.6 transcript_id=Seg1660.6_GoldUCD_mRNA.D3Y31 product="FRAS1-related extracellular matrix protein 1" protein_id=Seg1660.6_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015716670.1 extracellular matrix protein FRAS1 isoform X1 [Coturnix japonica]
OG0000171	Aurelia_aurita_Seg1937.6 Seg1937.6 transcript_id=Seg1937.6_GoldUCD_mRNA.D3Y31 product=Peptide-N protein_id=Seg1937.6_GoldUCD_D3Y31, Aurelia_aurita_Seg5238.1 Seg5238.1 transcript_id=Seg5238.1_GoldUCD_mRNA.D3Y31 product=Peptide-N protein_id=Seg5238.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015709459.1 PREDICTED_ peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Coturnix japonica]
OG0000178	Aurelia_aurita_Seg5686.2 Seg5686.2 transcript_id=Seg5686.2_GoldUCD_mRNA.D3Y31 product="Kyphoscoliosis peptidase" protein_id=Seg5686.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015726790.1 PREDICTED_ kyphoscoliosis peptidase isoform X1 [Coturnix japonica]
OG0000182	Aurelia_aurita_Seg3076.2 Seg3076.2 transcript_id=Seg3076.2_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 3A" protein_id=Seg3076.2_GoldUCD_D3Y31	Coturnix_japonica_XP_015732559.1 von Willebrand factor A domain-containing protein 3A [Coturnix japonica]
OG0000235	Aurelia_aurita_Seg684.8 Seg684.8 transcript_id=Seg684.8_GoldUCD_mRNA.D3Y31 product="Collagen alpha-1 chain" protein_id=Seg684.8_GoldUCD_D3Y31	Coturnix_japonica_XP_015733986.1 EMI domain-containing protein 1 isoform X1 [Coturnix japonica]
OG0000236	Aurelia_aurita_Seg895.8 Seg895.8 transcript_id=Seg895.8_GoldUCD_mRNA.D3Y31 product="Vascular endothelial growth factor A-A" protein_id=Seg895.8_GoldUCD_D3Y31	Coturnix_japonica_XP_015732360.1 platelet-derived growth factor subunit A isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715772.1 platelet-derived growth factor subunit B [Coturnix japonica]
OG0000268	Aurelia_aurita_Seg1143.1 Seg1143.1 transcript_id=Seg1143.1_GoldUCD_mRNA.D3Y31 product="Ras-related C3 botulinum toxin substrate 1" protein_id=Seg1143.1_GoldUCD_D3Y31 partial=true	Coturnix_japonica_XP_015735107.1 cytokine receptor-like factor 3 [Coturnix japonica]
OG0000344	Aurelia_aurita_Seg3106.3 Seg3106.3 transcript_id=Seg3106.3_GoldUCD_mRNA.D3Y31 product="Follistatin-related protein 1" protein_id=Seg3106.3_GoldUCD_D3Y31	Coturnix_japonica_XP_015730282.1 follistatin-related protein 1 [Coturnix japonica]
