Orthogroup	Cnidaria_Scyphozoa_Aurelia_aurita	Porifera_Demospongiae_Ephydatia_muelleri
OG0000070	Aurelia_aurita_Seg370.2 Seg370.2 transcript_id=Seg370.2_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg370.2_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0001g689a Em0001g689a
OG0000083	Aurelia_aurita_Seg2527.1 Seg2527.1 transcript_id=Seg2527.1_GoldUCD_mRNA.D3Y31 product=Hyaluronidase-5 protein_id=Seg2527.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1025.2 Seg1025.2 transcript_id=Seg1025.2_GoldUCD_mRNA.D3Y31 product=Hyaluronidase-3 protein_id=Seg1025.2_GoldUCD_D3Y31	Ephydatia_muelleri_Em0023g687a Em0023g687a, Ephydatia_muelleri_Em0023g690a Em0023g690a
OG0000103	Aurelia_aurita_Seg2032.4 Seg2032.4 transcript_id=Seg2032.4_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 49" protein_id=Seg2032.4_GoldUCD_D3Y31	Ephydatia_muelleri_Em0009g1125a Em0009g1125a
OG0000113	Aurelia_aurita_Seg888.6 Seg888.6 transcript_id=Seg888.6_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg888.6_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0021g75a Em0021g75a
OG0000121	Aurelia_aurita_Seg3635.4 Seg3635.4 transcript_id=Seg3635.4_GoldUCD_mRNA.D3Y31 product="Signal peptide CUB and EGF-like domain-containing protein 1" protein_id=Seg3635.4_GoldUCD_D3Y31	Ephydatia_muelleri_Em0010g817a Em0010g817a, Ephydatia_muelleri_Em0021g539a Em0021g539a
OG0000128	Aurelia_aurita_Seg8247.1 Seg8247.1 transcript_id=Seg8247.1_GoldUCD_mRNA.D3Y31 product="putative protein sll0103" protein_id=Seg8247.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1757.5 Seg1757.5 transcript_id=Seg1757.5_GoldUCD_mRNA.D3Y31 product="putative protein sll0103" protein_id=Seg1757.5_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0001g1618a Em0001g1618a, Ephydatia_muelleri_Em0001g1614a Em0001g1614a, Ephydatia_muelleri_Em0001g1481a Em0001g1481a, Ephydatia_muelleri_Em0001g926a Em0001g926a, Ephydatia_muelleri_Em0001g1023a Em0001g1023a, Ephydatia_muelleri_Em0001g1022a Em0001g1022a, Ephydatia_muelleri_Em0001g1021a Em0001g1021a, Ephydatia_muelleri_Em0001g1001a Em0001g1001a, Ephydatia_muelleri_Em0022g528a Em0022g528a, Ephydatia_muelleri_Em1136g1a Em1136g1a, Ephydatia_muelleri_Em0001g930a Em0001g930a
OG0000128	Aurelia_aurita_Seg17828.1 Seg17828.1 transcript_id=Seg17828.1_GoldUCD_mRNA.D3Y31 product="putative protein YfbK" protein_id=Seg17828.1_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0019g248a Em0019g248a
OG0000133	Aurelia_aurita_Seg1842.5 Seg1842.5 transcript_id=Seg1842.5_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 9" protein_id=Seg1842.5_GoldUCD_D3Y31	Ephydatia_muelleri_Em0005g1588a Em0005g1588a
OG0000134	Aurelia_aurita_Seg453.13 Seg453.13 transcript_id=Seg453.13_GoldUCD_mRNA.D3Y31 product=Midasin protein_id=Seg453.13_GoldUCD_D3Y31	Ephydatia_muelleri_Em0016g534a Em0016g534a
OG0000146	Aurelia_aurita_Seg2266.3 Seg2266.3 transcript_id=Seg2266.3_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat protein SHOC-2" protein_id=Seg2266.3_GoldUCD_D3Y31	Ephydatia_muelleri_Em0013g300a Em0013g300a, Ephydatia_muelleri_Em0013g294a Em0013g294a
OG0000147	Aurelia_aurita_Seg3046.3 Seg3046.3 transcript_id=Seg3046.3_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat serine_threonine-protein kinase 1" protein_id=Seg3046.3_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0020g1008a Em0020g1008a, Ephydatia_muelleri_Em0020g802a Em0020g802a
OG0000159	Aurelia_aurita_Seg1354.12 Seg1354.12 transcript_id=Seg1354.12_GoldUCD_mRNA.D3Y31 product="Fibronectin type 3 and ankyrin repeat domains protein 1" protein_id=Seg1354.12_GoldUCD_D3Y31	Ephydatia_muelleri_Em0013g93a Em0013g93a
OG0000165	Aurelia_aurita_Seg1081.15 Seg1081.15 transcript_id=Seg1081.15_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 58" protein_id=Seg1081.15_GoldUCD_D3Y31	Ephydatia_muelleri_Em0005g150a Em0005g150a, Ephydatia_muelleri_Em0005g181a Em0005g181a, Ephydatia_muelleri_Em0005g136a Em0005g136a
OG0000166	Aurelia_aurita_Seg1841.2 Seg1841.2 transcript_id=Seg1841.2_GoldUCD_mRNA.D3Y31 product=Frizzled-1 protein_id=Seg1841.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4426.2 Seg4426.2 transcript_id=Seg4426.2_GoldUCD_mRNA.D3Y31 product=Frizzled-1 protein_id=Seg4426.2_GoldUCD_D3Y31	Ephydatia_muelleri_Em0016g600a Em0016g600a, Ephydatia_muelleri_Em0016g747a Em0016g747a, Ephydatia_muelleri_Em0016g746a Em0016g746a, Ephydatia_muelleri_Em0016g753a Em0016g753a
OG0000173	Aurelia_aurita_Seg4331.1 Seg4331.1 transcript_id=Seg4331.1_GoldUCD_mRNA.D3Y31 product="Down syndrome cell adhesion molecule-like protein 1-like" protein_id=Seg4331.1_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0008g220a Em0008g220a, Ephydatia_muelleri_Em0005g46a Em0005g46a, Ephydatia_muelleri_Em0005g21a Em0005g21a, Ephydatia_muelleri_Em0005g8a Em0005g8a, Ephydatia_muelleri_Em0005g14a Em0005g14a, Ephydatia_muelleri_Em0005g15a Em0005g15a, Ephydatia_muelleri_Em0005g10a Em0005g10a, Ephydatia_muelleri_Em0005g18a Em0005g18a, Ephydatia_muelleri_Em0005g48a Em0005g48a, Ephydatia_muelleri_Em0005g19a Em0005g19a, Ephydatia_muelleri_Em0005g16a Em0005g16a, Ephydatia_muelleri_Em0005g11a Em0005g11a, Ephydatia_muelleri_Em0005g9a Em0005g9a, Ephydatia_muelleri_Em0005g12a Em0005g12a, Ephydatia_muelleri_Em0005g17a Em0005g17a, Ephydatia_muelleri_Em0005g51a Em0005g51a, Ephydatia_muelleri_Em0005g59a Em0005g59a, Ephydatia_muelleri_Em0005g64a Em0005g64a
OG0000177	Aurelia_aurita_Seg2025.6 Seg2025.6 transcript_id=Seg2025.6_GoldUCD_mRNA.D3Y31 product="Acidic mammalian chitinase" protein_id=Seg2025.6_GoldUCD_D3Y31	Ephydatia_muelleri_Em0008g1060a Em0008g1060a
OG0000178	Aurelia_aurita_Seg5686.2 Seg5686.2 transcript_id=Seg5686.2_GoldUCD_mRNA.D3Y31 product="Kyphoscoliosis peptidase" protein_id=Seg5686.2_GoldUCD_D3Y31	Ephydatia_muelleri_Em0001g1073a Em0001g1073a, Ephydatia_muelleri_Em0001g1111a Em0001g1111a
OG0000182	Aurelia_aurita_Seg3076.2 Seg3076.2 transcript_id=Seg3076.2_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 3A" protein_id=Seg3076.2_GoldUCD_D3Y31	Ephydatia_muelleri_Em0020g994a Em0020g994a, Ephydatia_muelleri_Em0714g1a Em0714g1a
OG0000187	Aurelia_aurita_Seg3528.1 Seg3528.1 transcript_id=Seg3528.1_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 69" protein_id=Seg3528.1_GoldUCD_D3Y31	Ephydatia_muelleri_Em0677g4a Em0677g4a, Ephydatia_muelleri_Em0679g4a Em0679g4a, Ephydatia_muelleri_Em0018g421a Em0018g421a
OG0000194	Aurelia_aurita_Seg152.4 Seg152.4 transcript_id=Seg152.4_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 57" protein_id=Seg152.4_GoldUCD_D3Y31	Ephydatia_muelleri_Em0014g778a Em0014g778a, Ephydatia_muelleri_Em0014g767a Em0014g767a
OG0000204	Aurelia_aurita_Seg2327.2 Seg2327.2 transcript_id=Seg2327.2_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 59" protein_id=Seg2327.2_GoldUCD_D3Y31, Aurelia_aurita_Seg573.1 Seg573.1 transcript_id=Seg573.1_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 59" protein_id=Seg573.1_GoldUCD_D3Y31	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a
OG0000214	Aurelia_aurita_Seg298.30 Seg298.30 transcript_id=Seg298.30_GoldUCD_mRNA.D3Y31 product="Integrator complex subunit 14" protein_id=Seg298.30_GoldUCD_D3Y31	Ephydatia_muelleri_Em0009g1219a Em0009g1219a
OG0000229	Aurelia_aurita_Seg1551.1 Seg1551.1 transcript_id=Seg1551.1_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat protein 1" protein_id=Seg1551.1_GoldUCD_D3Y31, Aurelia_aurita_Seg1436.5 Seg1436.5 transcript_id=Seg1436.5_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat protein 1" protein_id=Seg1436.5_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0019g583a Em0019g583a
OG0000230	Aurelia_aurita_Seg6222.2 Seg6222.2 transcript_id=Seg6222.2_GoldUCD_mRNA.D3Y31 product="E3 ubiquitin-protein ligase RGLG5" protein_id=Seg6222.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1817.14 Seg1817.14 transcript_id=Seg1817.14_GoldUCD_mRNA.D3Y31 product="E3 ubiquitin-protein ligase RGLG5" protein_id=Seg1817.14_GoldUCD_D3Y31	Ephydatia_muelleri_Em0009g1283a Em0009g1283a
OG0000237	Aurelia_aurita_Seg1932.2 Seg1932.2 transcript_id=Seg1932.2_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 63" protein_id=Seg1932.2_GoldUCD_D3Y31	Ephydatia_muelleri_Em0021g631a Em0021g631a
OG0000241	Aurelia_aurita_Seg1519.5 Seg1519.5 transcript_id=Seg1519.5_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" protein_id=Seg1519.5_GoldUCD_D3Y31	Ephydatia_muelleri_Em0016g106a Em0016g106a
OG0000253	Aurelia_aurita_Seg1823.9 Seg1823.9 transcript_id=Seg1823.9_GoldUCD_mRNA.D3Y31 product="General transcription factor IIH subunit 2" protein_id=Seg1823.9_GoldUCD_D3Y31	Ephydatia_muelleri_Em0008g944a Em0008g944a
OG0000282	Aurelia_aurita_Seg557.11 Seg557.11 transcript_id=Seg557.11_GoldUCD_mRNA.D3Y31 product="Plant intracellular Ras-group-related LRR protein 7" protein_id=Seg557.11_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0019g1040a Em0019g1040a
OG0000309	Aurelia_aurita_Seg1547.12 Seg1547.12 transcript_id=Seg1547.12_GoldUCD_mRNA.D3Y31 product="Plant intracellular Ras-group-related LRR protein 3" protein_id=Seg1547.12_GoldUCD_D3Y31	Ephydatia_muelleri_Em0009g1217a Em0009g1217a
OG0000922	Aurelia_aurita_Seg42.1 Seg42.1 transcript_id=Seg42.1_GoldUCD_mRNA.D3Y31 product="Protocadherin Fat 4" protein_id=Seg42.1_GoldUCD_D3Y31 partial=true	Ephydatia_muelleri_Em0001g3819a Em0001g3819a
