Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000005	Exaiptasia_diaphana_XP_020904158.1 XP_020904158.1 uncharacterized protein LOC110242500 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00006064-protein TCONS_00006064-protein, Clytia_hemispherica_TCONS_00052231-protein TCONS_00052231-protein, Clytia_hemispherica_TCONS_00051903-protein TCONS_00051903-protein
OG0000005	Exaiptasia_diaphana_XP_020900957.1 XP_020900957.1 meprin A subunit beta isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515006.1 XP_028515006.1 meprin A subunit beta isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900956.1 XP_020900956.1 meprin A subunit beta isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00027231-protein TCONS_00027231-protein
OG0000005	Exaiptasia_diaphana_XP_020911192.1 XP_020911192.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00005324-protein TCONS_00005324-protein
OG0000005	Exaiptasia_diaphana_XP_020910221.1 XP_020910221.1 zinc metalloproteinase nas-6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910086.1 XP_020910086.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00018805-protein TCONS_00018805-protein, Clytia_hemispherica_TCONS_00062392-protein TCONS_00062392-protein, Clytia_hemispherica_TCONS_00072115-protein TCONS_00072115-protein
OG0000005	Exaiptasia_diaphana_XP_020911080.2 XP_020911080.2 zinc metalloproteinase nas-4-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00012696-protein TCONS_00012696-protein
OG0000006	Exaiptasia_diaphana_XP_028519346.1 XP_028519346.1 CUB and sushi domain-containing protein 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519355.1 XP_028519355.1 CUB and sushi domain-containing protein 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516017.1 XP_028516017.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909969.2 XP_020909969.2 CUB and sushi domain-containing protein 3 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518709.1 XP_028518709.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896763.1 XP_020896763.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00068279-protein TCONS_00068279-protein
OG0000006	Exaiptasia_diaphana_XP_020896344.1 XP_020896344.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00054268-protein TCONS_00054268-protein
OG0000006	Exaiptasia_diaphana_XP_020910180.1 XP_020910180.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00017431-protein TCONS_00017431-protein
OG0000006	Exaiptasia_diaphana_XP_020910027.1 XP_020910027.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514470.1 XP_028514470.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00046199-protein TCONS_00046199-protein
OG0000006	Exaiptasia_diaphana_XP_028519635.1 XP_028519635.1 LOW QUALITY PROTEIN_ sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917081.1 XP_020917081.1 LOW QUALITY PROTEIN_ sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898703.1 XP_020898703.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898704.1 XP_020898704.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518080.1 XP_028518080.1 uncharacterized protein LOC110249342 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911575.1 XP_020911575.1 uncharacterized protein LOC110249341 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00055514-protein TCONS_00055514-protein, Clytia_hemispherica_TCONS_00001195-protein TCONS_00001195-protein
OG0000007	Exaiptasia_diaphana_XP_028517430.1 XP_028517430.1 collagen and calcium-binding EGF domain-containing protein 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00028848-protein TCONS_00028848-protein
OG0000007	Exaiptasia_diaphana_XP_028519601.1 XP_028519601.1 fibulin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908530.1 XP_020908530.1 fibrillin-2 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908531.1 XP_020908531.1 fibrillin-2 isoform X2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00030157-protein TCONS_00030157-protein
OG0000008	Exaiptasia_diaphana_XP_028513461.1 XP_028513461.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00059356-protein TCONS_00059356-protein
OG0000008	Exaiptasia_diaphana_XP_028512553.1 XP_028512553.1 neurogenic locus notch homolog protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512554.1 XP_028512554.1 uncharacterized protein LOC110231339 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892013.1 XP_020892013.1 uncharacterized protein LOC110231339 isoform X2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00016471-protein TCONS_00016471-protein
OG0000008	Exaiptasia_diaphana_XP_020895457.1 XP_020895457.1 neurogenic locus Notch protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895456.1 XP_020895456.1 LOW QUALITY PROTEIN_ fibropellin-1-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00049590-protein TCONS_00049590-protein, Clytia_hemispherica_TCONS_00017168-protein TCONS_00017168-protein, Clytia_hemispherica_TCONS_00017172-protein TCONS_00017172-protein, Clytia_hemispherica_TCONS_00017148-protein TCONS_00017148-protein
OG0000008	Exaiptasia_diaphana_XP_028513462.1 XP_028513462.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00009711-protein TCONS_00009711-protein
OG0000008	Exaiptasia_diaphana_XP_028518339.1 XP_028518339.1 protein crumbs homolog 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517733.1 XP_028517733.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00024185-protein TCONS_00024185-protein
OG0000008	Exaiptasia_diaphana_XP_028513439.1 XP_028513439.1 fibulin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912929.2 XP_020912929.2 protein kinase C-binding protein NELL2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911361.1 XP_020911361.1 fibropellin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911360.1 XP_020911360.1 fibropellin-1 isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00073668-protein TCONS_00073668-protein
OG0000008	Exaiptasia_diaphana_XP_020917270.2 XP_020917270.2 neurogenic locus notch homolog protein 1-like_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00054240-protein TCONS_00054240-protein
OG0000008	Exaiptasia_diaphana_XP_020901168.1 XP_020901168.1 fibropellin-1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00070167-protein TCONS_00070167-protein
OG0000009	Exaiptasia_diaphana_XP_020913508.1 XP_020913508.1 tolloid-like protein 2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00055242-protein TCONS_00055242-protein
OG0000009	Exaiptasia_diaphana_XP_020902137.1 XP_020902137.1 nematocyst expressed protein 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020891852.1 XP_020891852.1 uncharacterized protein LOC110231209 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512500.1 XP_028512500.1 uncharacterized protein LOC110231209 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512501.1 XP_028512501.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512503.1 XP_028512503.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512502.1 XP_028512502.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00053164-protein TCONS_00053164-protein
OG0000009	Exaiptasia_diaphana_XP_020917130.1 XP_020917130.1 tolloid-like protein 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00004070-protein TCONS_00004070-protein
OG0000009	Exaiptasia_diaphana_XP_028518737.1 XP_028518737.1 protein SpAN [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914713.1 XP_020914713.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914712.1 XP_020914712.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914711.1 XP_020914711.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512601.1 XP_028512601.1 tolloid-like protein 2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00044068-protein TCONS_00044068-protein, Clytia_hemispherica_TCONS_00008272-protein TCONS_00008272-protein
OG0000009	Exaiptasia_diaphana_XP_020905815.1 XP_020905815.1 tolloid-like protein 2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905817.2 XP_020905817.2 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905818.2 XP_020905818.2 protein shisa-5-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905821.1 XP_020905821.1 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905820.1 XP_020905820.1 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518116.1 XP_028518116.1 cubilin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911687.2 XP_020911687.2 cubilin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902050.1 XP_020902050.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914019.1 XP_020914019.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905197.1 XP_020905197.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913976.1 XP_020913976.1 cubilin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913978.1 XP_020913978.1 dorsal-ventral patterning tolloid-like protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913979.1 XP_020913979.1 dorsal-ventral patterning tolloid-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909071.1 XP_020909071.1 tolloid-like protein 1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00071034-protein TCONS_00071034-protein
OG0000009	Exaiptasia_diaphana_XP_028515218.1 XP_028515218.1 dorsal-ventral patterning tolloid-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515217.1 XP_028515217.1 dorsal-ventral patterning tolloid-like protein 1 isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00067570-protein TCONS_00067570-protein
OG0000009	Exaiptasia_diaphana_XP_020906175.1 XP_020906175.1 CUB domain-containing protein 2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00072702-protein TCONS_00072702-protein
OG0000009	Exaiptasia_diaphana_XP_020892966.2 XP_020892966.2 deleted in malignant brain tumors 1 protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907892.1 XP_020907892.1 deleted in malignant brain tumors 1 protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915055.1 XP_020915055.1 deleted in malignant brain tumors 1 protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916490.2 XP_020916490.2 adhesion G protein-coupled receptor E1-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515039.1 XP_028515039.1 CUB and sushi domain-containing protein 2-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00064060-protein TCONS_00064060-protein, Clytia_hemispherica_TCONS_00064059-protein TCONS_00064059-protein
OG0000010	Exaiptasia_diaphana_XP_020914581.2 XP_020914581.2 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00011086-protein TCONS_00011086-protein
OG0000010	Exaiptasia_diaphana_XP_020899237.1 XP_020899237.1 roundabout homolog 1 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514562.1 XP_028514562.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899232.1 XP_020899232.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899235.1 XP_020899235.1 roundabout homolog 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899236.1 XP_020899236.1 roundabout homolog 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899238.1 XP_020899238.1 roundabout homolog 1 isoform X5 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein
OG0000010	Exaiptasia_diaphana_XP_020898537.1 XP_020898537.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898540.1 XP_020898540.1 uncharacterized protein LOC110237290 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906332.1 XP_020906332.1 titin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906312.1 XP_020906312.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898535.1 XP_020898535.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902103.1 XP_020902103.1 hemicentin-1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00036457-protein TCONS_00036457-protein
OG0000010	Exaiptasia_diaphana_XP_020894828.2 XP_020894828.2 protein eyes shut homolog [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein
OG0000012	Exaiptasia_diaphana_XP_028517760.1 XP_028517760.1 mucin-2_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00069193-protein TCONS_00069193-protein
OG0000012	Exaiptasia_diaphana_XP_020903410.2 XP_020903410.2 von Willebrand factor-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00021868-protein TCONS_00021868-protein
OG0000012	Exaiptasia_diaphana_XP_028519674.1 XP_028519674.1 mucin-5AC [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00044696-protein TCONS_00044696-protein
OG0000012	Exaiptasia_diaphana_XP_020913063.1 XP_020913063.1 kielin_chordin-like protein [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein
OG0000012	Exaiptasia_diaphana_XP_020903395.1 XP_020903395.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515705.1 XP_028515705.1 mucin-5AC-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00021872-protein TCONS_00021872-protein
OG0000013	Exaiptasia_diaphana_XP_028514350.1 XP_028514350.1 protein Wnt-7b-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514349.1 XP_028514349.1 protein Wnt-4a-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898386.1 XP_020898386.1 protein Wnt-1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00012270-protein TCONS_00012270-protein
OG0000013	Exaiptasia_diaphana_XP_020913045.1 XP_020913045.1 protein Wnt-2-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein
OG0000013	Exaiptasia_diaphana_XP_020893168.1 XP_020893168.1 protein Wnt-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893167.1 XP_020893167.1 protein Wnt-1 isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00027333-protein TCONS_00027333-protein, Clytia_hemispherica_TCONS_00027371-protein TCONS_00027371-protein
OG0000013	Exaiptasia_diaphana_XP_020893235.1 XP_020893235.1 protein Wnt-3a [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00003473-protein TCONS_00003473-protein
OG0000013	Exaiptasia_diaphana_XP_028519476.1 XP_028519476.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519475.1 XP_028519475.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916617.1 XP_020916617.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916616.1 XP_020916616.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519474.1 XP_028519474.1 protein Wnt-4 isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00065525-protein TCONS_00065525-protein
OG0000013	Exaiptasia_diaphana_XP_020904766.1 XP_020904766.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904744.1 XP_020904744.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904751.1 XP_020904751.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904759.1 XP_020904759.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902344.1 XP_020902344.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902345.1 XP_020902345.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902346.1 XP_020902346.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902347.1 XP_020902347.1 protein Wnt-4 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00005153-protein TCONS_00005153-protein
OG0000013	Exaiptasia_diaphana_XP_020895878.1 XP_020895878.1 protein Wnt-2b-A [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein
OG0000013	Exaiptasia_diaphana_XP_028514332.1 XP_028514332.1 protein Wnt-8a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898355.1 XP_020898355.1 protein Wnt-8b [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898335.1 XP_020898335.1 protein Wnt-8b isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898370.1 XP_020898370.1 protein Wnt-8b_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00073720-protein TCONS_00073720-protein
OG0000014	Exaiptasia_diaphana_XP_028519306.1 XP_028519306.1 LOW QUALITY PROTEIN_ thrombospondin type-1 domain-containing protein 4 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein
OG0000014	Exaiptasia_diaphana_XP_020914481.1 XP_020914481.1 A disintegrin and metalloproteinase with thrombospondin motifs 19 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00008326-protein TCONS_00008326-protein
OG0000014	Exaiptasia_diaphana_XP_020906187.1 XP_020906187.1 ADAMTS-like protein 2 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00055972-protein TCONS_00055972-protein
OG0000014	Exaiptasia_diaphana_XP_028517311.1 XP_028517311.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00024369-protein TCONS_00024369-protein
OG0000014	Exaiptasia_diaphana_XP_020916248.1 XP_020916248.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00004887-protein TCONS_00004887-protein
OG0000014	Exaiptasia_diaphana_XP_020906831.1 XP_020906831.1 A disintegrin and metalloproteinase with thrombospondin motifs 16 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906830.1 XP_020906830.1 A disintegrin and metalloproteinase with thrombospondin motifs 16 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00006273-protein TCONS_00006273-protein
OG0000014	Exaiptasia_diaphana_XP_020903669.1 XP_020903669.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899199.1 XP_020899199.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515757.1 XP_028515757.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908001.1 XP_020908001.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908093.1 XP_020908093.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903567.1 XP_020903567.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515755.1 XP_028515755.1 A disintegrin and metalloproteinase with thrombospondin motifs 18-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514068.1 XP_028514068.1 A disintegrin and metalloproteinase with thrombospondin motifs 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514067.1 XP_028514067.1 A disintegrin and metalloproteinase with thrombospondin motifs 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512951.1 XP_028512951.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916890.2 XP_020916890.2 mucin-2-like_ partial [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00000234-protein TCONS_00000234-protein
OG0000014	Exaiptasia_diaphana_XP_020909865.2 XP_020909865.2 A disintegrin and metalloproteinase with thrombospondin motifs 3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909864.2 XP_020909864.2 A disintegrin and metalloproteinase with thrombospondin motifs 3 isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00049460-protein TCONS_00049460-protein, Clytia_hemispherica_TCONS_00053160-protein TCONS_00053160-protein
OG0000015	Exaiptasia_diaphana_XP_028517878.1 XP_028517878.1 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908628.1 XP_020908628.1 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898716.1 XP_020898716.1 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915359.2 XP_020915359.2 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915360.1 XP_020915360.1 uncharacterized protein LOC110252848 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00071047-protein TCONS_00071047-protein
OG0000016	Exaiptasia_diaphana_XP_020899302.1 XP_020899302.1 matrix metalloproteinase-14 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899991.1 XP_020899991.1 matrix metalloproteinase-14 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00015027-protein TCONS_00015027-protein, Clytia_hemispherica_TCONS_00066227-protein TCONS_00066227-protein
OG0000016	Exaiptasia_diaphana_XP_020891959.1 XP_020891959.1 LOW QUALITY PROTEIN_ matrix metalloproteinase-17-like [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00068527-protein TCONS_00068527-protein, Clytia_hemispherica_TCONS_00055310-protein TCONS_00055310-protein, Clytia_hemispherica_TCONS_00029219-protein TCONS_00029219-protein, Clytia_hemispherica_TCONS_00070408-protein TCONS_00070408-protein
OG0000016	Exaiptasia_diaphana_XP_020914056.1 XP_020914056.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110251669 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00016718-protein TCONS_00016718-protein
OG0000016	Exaiptasia_diaphana_XP_020898085.1 XP_020898085.1 matrilysin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897186.1 XP_020897186.1 collagenase 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894795.2 XP_020894795.2 collagenase 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901217.1 XP_020901217.1 matrilysin isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901216.1 XP_020901216.1 matrilysin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916687.1 XP_020916687.1 macrophage metalloelastase [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516851.1 XP_028516851.1 matrix metalloproteinase-19 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00023824-protein TCONS_00023824-protein, Clytia_hemispherica_TCONS_00010506-protein TCONS_00010506-protein
OG0000018	Exaiptasia_diaphana_XP_020905082.1 XP_020905082.1 protein-lysine 6-oxidase [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910908.1 XP_020910908.1 lysyl oxidase homolog 3A isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910907.1 XP_020910907.1 lysyl oxidase homolog 2A isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00019092-protein TCONS_00019092-protein, Clytia_hemispherica_TCONS_00038451-protein TCONS_00038451-protein, Clytia_hemispherica_TCONS_00053338-protein TCONS_00053338-protein, Clytia_hemispherica_TCONS_00066533-protein TCONS_00066533-protein
OG0000019	Exaiptasia_diaphana_XP_020895491.1 XP_020895491.1 bone morphogenetic protein 7 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895490.1 XP_020895490.1 bone morphogenetic protein 7 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895489.1 XP_020895489.1 bone morphogenetic protein 7 isoform X1 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein
OG0000019	Exaiptasia_diaphana_XP_020905685.1 XP_020905685.1 bone morphogenetic protein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905684.1 XP_020905684.1 bone morphogenetic protein 4 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein
OG0000019	Exaiptasia_diaphana_XP_020895368.1 XP_020895368.1 growth_differentiation factor 5 [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein
OG0000020	Exaiptasia_diaphana_XP_028514447.1 XP_028514447.1 collagen alpha-1_I_ chain [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00047700-protein TCONS_00047700-protein
OG0000020	Exaiptasia_diaphana_XP_020895789.2 XP_020895789.2 collagen alpha-2_I_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917657.1 XP_020917657.1 collagen alpha-1_II_ chain [Exaiptasia diaphana]	Clytia_hemispherica_TCONS_00061671-protein TCONS_00061671-protein, Clytia_hemispherica_TCONS_00046920-protein TCONS_00046920-protein, Clytia_hemispherica_TCONS_00046924-protein TCONS_00046924-protein, Clytia_hemispherica_TCONS_00003321-protein TCONS_00003321-protein
