Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Acropora_digitifera
OG0000003	Exaiptasia_diaphana_XP_020901791.2 XP_020901791.2 fibrillin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515241.1 XP_028515241.1 fibrillin-1-like [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.14876 adi_v1.14876, Acropora_digitifera_adi_v1.14877 adi_v1.14877, Acropora_digitifera_adi_v1.20752 adi_v1.20752, Acropora_digitifera_adi_v1.21376 adi_v1.21376
OG0000003	Exaiptasia_diaphana_XP_020896879.2 XP_020896879.2 fibropellin-3 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.21106 adi_v1.21106, Acropora_digitifera_adi_v1.02803 adi_v1.02803, Acropora_digitifera_adi_v1.15897 adi_v1.15897, Acropora_digitifera_adi_v1.23691 adi_v1.23691
OG0000003	Exaiptasia_diaphana_XP_028517873.1 XP_028517873.1 uncharacterized protein LOC110248715 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907890.2 XP_020907890.2 uncharacterized protein LOC110245933 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517870.1 XP_028517870.1 uncharacterized protein LOC110248708 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907891.1 XP_020907891.1 uncharacterized protein LOC110245934 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912859.2 XP_020912859.2 uncharacterized protein LOC110250599 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518448.1 XP_028518448.1 P-selectin-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514228.1 XP_028514228.1 uncharacterized protein LOC114574827 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907884.2 XP_020907884.2 uncharacterized protein LOC110245927 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518810.1 XP_028518810.1 uncharacterized protein LOC110251696 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.16248 adi_v1.16248, Acropora_digitifera_adi_v1.02561 adi_v1.02561, Acropora_digitifera_adi_v1.23712 adi_v1.23712
OG0000003	Exaiptasia_diaphana_XP_028515610.1 XP_028515610.1 fibrillin-3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518447.1 XP_028518447.1 uncharacterized protein LOC110250603 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518446.1 XP_028518446.1 neurotrypsin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907897.2 XP_020907897.2 uromodulin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519493.1 XP_028519493.1 C-type mannose receptor 2-like_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.13597 adi_v1.13597, Acropora_digitifera_adi_v1.06330 adi_v1.06330, Acropora_digitifera_adi_v1.04891 adi_v1.04891
OG0000003	Exaiptasia_diaphana_XP_028512812.1 XP_028512812.1 glycine-rich cell wall structural protein 1.0_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.24683 adi_v1.24683, Acropora_digitifera_adi_v1.16447 adi_v1.16447, Acropora_digitifera_adi_v1.04187 adi_v1.04187, Acropora_digitifera_adi_v1.11493 adi_v1.11493
OG0000003	Exaiptasia_diaphana_XP_028516914.1 XP_028516914.1 adhesion G protein-coupled receptor E2 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.13471 adi_v1.13471
OG0000004	Exaiptasia_diaphana_XP_028513629.1 XP_028513629.1 uncharacterized protein LOC110235415 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513641.1 XP_028513641.1 uncharacterized protein LOC110235415 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513632.1 XP_028513632.1 uncharacterized protein LOC110235415 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513634.1 XP_028513634.1 uncharacterized protein LOC110235415 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513644.1 XP_028513644.1 uncharacterized protein LOC110235415 isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513650.1 XP_028513650.1 uncharacterized protein LOC110235415 isoform X6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896538.2 XP_020896538.2 A disintegrin and metalloproteinase with thrombospondin motifs gon-1 isoform X7 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.19534 adi_v1.19534, Acropora_digitifera_adi_v1.04405 adi_v1.04405
OG0000004	Exaiptasia_diaphana_XP_020915329.1 XP_020915329.1 collagen alpha-6_VI_ chain isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915325.1 XP_020915325.1 uncharacterized protein LOC110252824 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519122.1 XP_028519122.1 uncharacterized protein LOC110252824 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915327.1 XP_020915327.1 uncharacterized protein LOC110252824 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915326.1 XP_020915326.1 uncharacterized protein LOC110252824 isoform X2 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.10905 adi_v1.10905
OG0000004	Exaiptasia_diaphana_XP_028514341.1 XP_028514341.1 uncharacterized protein LOC114574885 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514329.1 XP_028514329.1 uncharacterized protein LOC110237135_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.13313 adi_v1.13313
OG0000004	Exaiptasia_diaphana_XP_020909037.2 XP_020909037.2 collagen alpha-6_VI_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909019.1 XP_020909019.1 cartilage matrix protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895818.1 XP_020895818.1 vitrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519744.1 XP_028519744.1 anthrax toxin receptor-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519745.1 XP_028519745.1 collagen alpha-1_XII_ chain [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.17074 adi_v1.17074, Acropora_digitifera_adi_v1.16341 adi_v1.16341
OG0000004	Exaiptasia_diaphana_XP_028517070.1 XP_028517070.1 uncharacterized protein LOC114575759 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.18558 adi_v1.18558, Acropora_digitifera_adi_v1.10904 adi_v1.10904
OG0000004	Exaiptasia_diaphana_XP_028515809.1 XP_028515809.1 delta-like protein B [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903823.1 XP_020903823.1 delta-like protein B [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.07864 adi_v1.07864
OG0000004	Exaiptasia_diaphana_XP_028515505.1 XP_028515505.1 vegetative cell wall protein gp1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515477.1 XP_028515477.1 uncharacterized protein LOC114575225 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.24676 adi_v1.24676
OG0000004	Exaiptasia_diaphana_XP_020894525.1 XP_020894525.1 vitrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517320.1 XP_028517320.1 LOW QUALITY PROTEIN_ uncharacterized protein LOC110247098_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.01068 adi_v1.01068
OG0000004	Exaiptasia_diaphana_XP_020909150.1 XP_020909150.1 uncharacterized protein LOC110247101_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.10229 adi_v1.10229
OG0000004	Exaiptasia_diaphana_XP_028516116.1 XP_028516116.1 uncharacterized protein LOC110243347 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905083.2 XP_020905083.2 uncharacterized protein LOC110243335 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516114.1 XP_028516114.1 von Willebrand factor A domain-containing protein 2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905097.1 XP_020905097.1 uncharacterized protein LOC110243349 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.03710 adi_v1.03710
OG0000004	Exaiptasia_diaphana_XP_020910573.1 XP_020910573.1 uncharacterized protein LOC110248392 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.22249 adi_v1.22249
OG0000004	Exaiptasia_diaphana_XP_028516243.1 XP_028516243.1 uncharacterized protein LOC110243783_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.17078 adi_v1.17078, Acropora_digitifera_adi_v1.23001 adi_v1.23001
OG0000004	Exaiptasia_diaphana_XP_028515504.1 XP_028515504.1 uncharacterized protein LOC114575234 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.21914 adi_v1.21914
OG0000004	Exaiptasia_diaphana_XP_020903235.1 XP_020903235.1 uncharacterized protein LOC110241686 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903234.1 XP_020903234.1 uncharacterized protein LOC110241686 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906552.1 XP_020906552.1 uncharacterized protein LOC110244684_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903232.1 XP_020903232.1 uncharacterized protein LOC110241685 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903231.1 XP_020903231.1 uncharacterized protein LOC110241685 isoform X1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.02001 adi_v1.02001
OG0000004	Exaiptasia_diaphana_XP_020912336.1 XP_020912336.1 protocadherin Fat 4 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.15324 adi_v1.15324
OG0000004	Exaiptasia_diaphana_XP_028517765.1 XP_028517765.1 collagen alpha-1_XIV_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517789.1 XP_028517789.1 uncharacterized protein LOC110248427 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896949.1 XP_020896949.1 collagen alpha-5_VI_ chain [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.08106 adi_v1.08106
OG0000004	Exaiptasia_diaphana_XP_020910017.1 XP_020910017.1 protocadherin Fat 4 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.15665 adi_v1.15665
OG0000004	Exaiptasia_diaphana_XP_020913069.1 XP_020913069.1 protocadherin-like protein [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.16039 adi_v1.16039
OG0000004	Exaiptasia_diaphana_XP_028513163.1 XP_028513163.1 protocadherin-like protein isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513162.1 XP_028513162.1 protocadherin-like protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894174.1 XP_020894174.1 protocadherin-like protein isoform X1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.19517 adi_v1.19517
OG0000004	Exaiptasia_diaphana_XP_020902039.1 XP_020902039.1 LOW QUALITY PROTEIN_ fat-like cadherin-related tumor suppressor homolog_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.10196 adi_v1.10196
OG0000004	Exaiptasia_diaphana_XP_028513611.1 XP_028513611.1 collagen alpha-3_VI_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513612.1 XP_028513612.1 uncharacterized protein LOC110234895_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514416.1 XP_028514416.1 collagen alpha-3_VI_ chain_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.10906 adi_v1.10906
OG0000004	Exaiptasia_diaphana_XP_020914238.1 XP_020914238.1 fat-like cadherin-related tumor suppressor homolog isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914237.1 XP_020914237.1 fat-like cadherin-related tumor suppressor homolog isoform X1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.08872 adi_v1.08872, Acropora_digitifera_adi_v1.00148 adi_v1.00148
OG0000004	Exaiptasia_diaphana_XP_028518874.1 XP_028518874.1 thrombospondin type-1 domain-containing protein 7A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914373.1 XP_020914373.1 coadhesin_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.02301 adi_v1.02301
OG0000005	Exaiptasia_diaphana_XP_020908974.1 XP_020908974.1 uncharacterized protein LOC110246932 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908967.2 XP_020908967.2 uncharacterized protein LOC110246925 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.20368 adi_v1.20368
OG0000005	Exaiptasia_diaphana_XP_020908170.1 XP_020908170.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910129.1 XP_020910129.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901630.1 XP_020901630.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901634.1 XP_020901634.1 blastula protease 10-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901633.1 XP_020901633.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901632.1 XP_020901632.1 blastula protease 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515202.1 XP_028515202.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.17845 adi_v1.17845
OG0000005	Exaiptasia_diaphana_XP_028515434.1 XP_028515434.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914948.1 XP_020914948.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.15751 adi_v1.15751
OG0000005	Exaiptasia_diaphana_XP_020909077.1 XP_020909077.1 zinc metalloproteinase nas-1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.07442 adi_v1.07442
OG0000005	Exaiptasia_diaphana_XP_028512430.1 XP_028512430.1 zinc metalloproteinase nas-36 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.18953 adi_v1.18953, Acropora_digitifera_adi_v1.15782 adi_v1.15782
OG0000005	Exaiptasia_diaphana_XP_028514338.1 XP_028514338.1 zinc metalloproteinase nas-4_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.13648 adi_v1.13648
OG0000005	Exaiptasia_diaphana_XP_020911183.1 XP_020911183.1 bone morphogenetic protein 1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.01716 adi_v1.01716
OG0000005	Exaiptasia_diaphana_XP_020915709.2 XP_020915709.2 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915683.1 XP_020915683.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519197.1 XP_028519197.1 SCO-spondin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915705.2 XP_020915705.2 zinc metalloproteinase nas-13 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.22618 adi_v1.22618
OG0000005	Exaiptasia_diaphana_XP_020896173.1 XP_020896173.1 MAM and LDL-receptor class A domain-containing protein 1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917063.1 XP_020917063.1 uncharacterized protein LOC110254422 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.03919 adi_v1.03919
OG0000005	Exaiptasia_diaphana_XP_020905647.1 XP_020905647.1 zinc metalloproteinase nas-14 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905645.1 XP_020905645.1 zinc metalloproteinase nas-14 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905649.1 XP_020905649.1 zinc metalloproteinase nas-14 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905643.1 XP_020905643.1 zinc metalloproteinase nas-14 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905646.1 XP_020905646.1 zinc metalloproteinase nas-14 isoform X1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.12633 adi_v1.12633
OG0000005	Exaiptasia_diaphana_XP_020896659.2 XP_020896659.2 zinc metalloproteinase nas-7_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912968.2 XP_020912968.2 zinc metalloproteinase nas-4-like [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.10512 adi_v1.10512
OG0000005	Exaiptasia_diaphana_XP_020900957.1 XP_020900957.1 meprin A subunit beta isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515006.1 XP_028515006.1 meprin A subunit beta isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900956.1 XP_020900956.1 meprin A subunit beta isoform X1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.24503 adi_v1.24503
OG0000005	Exaiptasia_diaphana_XP_020911192.1 XP_020911192.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.02212 adi_v1.02212
OG0000005	Exaiptasia_diaphana_XP_020910221.1 XP_020910221.1 zinc metalloproteinase nas-6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910086.1 XP_020910086.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.08322 adi_v1.08322
OG0000005	Exaiptasia_diaphana_XP_020911080.2 XP_020911080.2 zinc metalloproteinase nas-4-like [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.23604 adi_v1.23604
OG0000005	Exaiptasia_diaphana_XP_020896622.1 XP_020896622.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.06987 adi_v1.06987
OG0000006	Exaiptasia_diaphana_XP_028519346.1 XP_028519346.1 CUB and sushi domain-containing protein 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519355.1 XP_028519355.1 CUB and sushi domain-containing protein 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516017.1 XP_028516017.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909969.2 XP_020909969.2 CUB and sushi domain-containing protein 3 isoform X3 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.21946 adi_v1.21946, Acropora_digitifera_adi_v1.18870 adi_v1.18870
OG0000006	Exaiptasia_diaphana_XP_028518709.1 XP_028518709.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.07190 adi_v1.07190
OG0000006	Exaiptasia_diaphana_XP_020896763.1 XP_020896763.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.01853 adi_v1.01853
OG0000006	Exaiptasia_diaphana_XP_020896344.1 XP_020896344.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.02129 adi_v1.02129
OG0000006	Exaiptasia_diaphana_XP_020910180.1 XP_020910180.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.06181 adi_v1.06181
OG0000006	Exaiptasia_diaphana_XP_020910027.1 XP_020910027.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.15090 adi_v1.15090
OG0000006	Exaiptasia_diaphana_XP_028514470.1 XP_028514470.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.14680 adi_v1.14680
OG0000006	Exaiptasia_diaphana_XP_020912105.1 XP_020912105.1 complement factor H-related protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519013.1 XP_028519013.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.18431 adi_v1.18431, Acropora_digitifera_adi_v1.10670 adi_v1.10670
OG0000006	Exaiptasia_diaphana_XP_028519635.1 XP_028519635.1 LOW QUALITY PROTEIN_ sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917081.1 XP_020917081.1 LOW QUALITY PROTEIN_ sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898703.1 XP_020898703.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898704.1 XP_020898704.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 isoform X2 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.15339 adi_v1.15339
OG0000006	Exaiptasia_diaphana_XP_028518080.1 XP_028518080.1 uncharacterized protein LOC110249342 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.00398 adi_v1.00398, Acropora_digitifera_adi_v1.14158 adi_v1.14158, Acropora_digitifera_adi_v1.01971 adi_v1.01971, Acropora_digitifera_adi_v1.11915 adi_v1.11915, Acropora_digitifera_adi_v1.10429 adi_v1.10429, Acropora_digitifera_adi_v1.23717 adi_v1.23717, Acropora_digitifera_adi_v1.07851 adi_v1.07851
OG0000006	Exaiptasia_diaphana_XP_020911575.1 XP_020911575.1 uncharacterized protein LOC110249341 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.05992 adi_v1.05992, Acropora_digitifera_adi_v1.21365 adi_v1.21365, Acropora_digitifera_adi_v1.06531 adi_v1.06531, Acropora_digitifera_adi_v1.22516 adi_v1.22516, Acropora_digitifera_adi_v1.12683 adi_v1.12683, Acropora_digitifera_adi_v1.07116 adi_v1.07116, Acropora_digitifera_adi_v1.22515 adi_v1.22515, Acropora_digitifera_adi_v1.14619 adi_v1.14619, Acropora_digitifera_adi_v1.06557 adi_v1.06557, Acropora_digitifera_adi_v1.12685 adi_v1.12685, Acropora_digitifera_adi_v1.23984 adi_v1.23984, Acropora_digitifera_adi_v1.04713 adi_v1.04713, Acropora_digitifera_adi_v1.19729 adi_v1.19729, Acropora_digitifera_adi_v1.05540 adi_v1.05540, Acropora_digitifera_adi_v1.00507 adi_v1.00507, Acropora_digitifera_adi_v1.08407 adi_v1.08407, Acropora_digitifera_adi_v1.10833 adi_v1.10833, Acropora_digitifera_adi_v1.00506 adi_v1.00506
OG0000007	Exaiptasia_diaphana_XP_028514699.1 XP_028514699.1 uncharacterized protein LOC110238486 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.24149 adi_v1.24149
OG0000007	Exaiptasia_diaphana_XP_028519369.1 XP_028519369.1 mucin-like protein [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.08028 adi_v1.08028
OG0000007	Exaiptasia_diaphana_XP_028513923.1 XP_028513923.1 sushi domain-containing protein 2 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.22828 adi_v1.22828
OG0000007	Exaiptasia_diaphana_XP_028517538.1 XP_028517538.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518064.1 XP_028518064.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518950.1 XP_028518950.1 mucin-like protein [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.06437 adi_v1.06437, Acropora_digitifera_adi_v1.18885 adi_v1.18885
OG0000007	Exaiptasia_diaphana_XP_020893670.2 XP_020893670.2 mucin-like protein [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.09820 adi_v1.09820, Acropora_digitifera_adi_v1.22003 adi_v1.22003, Acropora_digitifera_adi_v1.14298 adi_v1.14298, Acropora_digitifera_adi_v1.14299 adi_v1.14299, Acropora_digitifera_adi_v1.14300 adi_v1.14300, Acropora_digitifera_adi_v1.19005 adi_v1.19005, Acropora_digitifera_adi_v1.11371 adi_v1.11371, Acropora_digitifera_adi_v1.13720 adi_v1.13720, Acropora_digitifera_adi_v1.06951 adi_v1.06951
OG0000007	Exaiptasia_diaphana_XP_028517536.1 XP_028517536.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902301.1 XP_020902301.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515682.1 XP_028515682.1 uncharacterized protein LOC110241747 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513418.1 XP_028513418.1 uncharacterized protein LOC110234357 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915371.2 XP_020915371.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915241.1 XP_020915241.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514098.1 XP_028514098.1 mucin-like protein_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.06438 adi_v1.06438, Acropora_digitifera_adi_v1.21019 adi_v1.21019
OG0000007	Exaiptasia_diaphana_XP_020915927.1 XP_020915927.1 uncharacterized protein LOC110253367 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895662.2 XP_020895662.2 fibulin-1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.07913 adi_v1.07913, Acropora_digitifera_adi_v1.11289 adi_v1.11289, Acropora_digitifera_adi_v1.07914 adi_v1.07914
OG0000007	Exaiptasia_diaphana_XP_020902587.1 XP_020902587.1 latent-transforming growth factor beta-binding protein 1-like [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.21164 adi_v1.21164
OG0000007	Exaiptasia_diaphana_XP_028519601.1 XP_028519601.1 fibulin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908530.1 XP_020908530.1 fibrillin-2 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908531.1 XP_020908531.1 fibrillin-2 isoform X2 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.17191 adi_v1.17191, Acropora_digitifera_adi_v1.14511 adi_v1.14511
OG0000007	Exaiptasia_diaphana_XP_028514361.1 XP_028514361.1 uncharacterized protein LOC110237188 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.11554 adi_v1.11554
OG0000008	Exaiptasia_diaphana_XP_020896870.2 XP_020896870.2 putative uncharacterized protein DDB_G0290521 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.17151 adi_v1.17151, Acropora_digitifera_adi_v1.02699 adi_v1.02699, Acropora_digitifera_adi_v1.16793 adi_v1.16793
OG0000008	Exaiptasia_diaphana_XP_020908364.1 XP_020908364.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.05561 adi_v1.05561
OG0000008	Exaiptasia_diaphana_XP_028516255.1 XP_028516255.1 uromodulin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516256.1 XP_028516256.1 uncharacterized protein LOC110243828 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905625.1 XP_020905625.1 uncharacterized protein LOC110243830_ partial [Exaiptasia diaphana]	Acropora_digitifera_adi_v1.19041 adi_v1.19041, Acropora_digitifera_adi_v1.21250 adi_v1.21250, Acropora_digitifera_adi_v1.20031 adi_v1.20031, Acropora_digitifera_adi_v1.23528 adi_v1.23528
