Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Chordata_Vertebrata_Bos_taurus
OG0000013	Exaiptasia_diaphana_XP_020904766.1 XP_020904766.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904744.1 XP_020904744.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904751.1 XP_020904751.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904759.1 XP_020904759.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902344.1 XP_020902344.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902345.1 XP_020902345.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902346.1 XP_020902346.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902347.1 XP_020902347.1 protein Wnt-4 [Exaiptasia diaphana]	NP_001075925.1 protein Wnt-11 [Bos taurus]
OG0000013	Exaiptasia_diaphana_XP_020904181.2 XP_020904181.2 protein Wnt-7b isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904180.2 XP_020904180.2 protein Wnt-7a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904179.2 XP_020904179.2 protein Wnt-7a isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904182.1 XP_020904182.1 protein Wnt-7a isoform X4 [Exaiptasia diaphana]	NP_001179717.1 protein Wnt-7a [Bos taurus], XP_024848596.2 protein Wnt-7b isoform X1 [Bos taurus]
OG0000013	Exaiptasia_diaphana_XP_020895878.1 XP_020895878.1 protein Wnt-2b-A [Exaiptasia diaphana]	NP_001092833.1 protein Wnt-2b [Bos taurus]
OG0000013	Exaiptasia_diaphana_XP_028514332.1 XP_028514332.1 protein Wnt-8a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898355.1 XP_020898355.1 protein Wnt-8b [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898335.1 XP_020898335.1 protein Wnt-8b isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898370.1 XP_020898370.1 protein Wnt-8b_ partial [Exaiptasia diaphana]	NP_001179299.1 protein Wnt-8a [Bos taurus], XP_059737951.1 protein Wnt-8b [Bos taurus]
OG0000013	Exaiptasia_diaphana_XP_020913046.1 XP_020913046.1 protein Wnt-10a [Exaiptasia diaphana]	DAA29954.1 TPA_ wingless-type MMTV integration site family_ member 10B-like [Bos taurus], XP_005202916.1 protein Wnt-10a isoform X1 [Bos taurus]
OG0000014	Exaiptasia_diaphana_XP_028519306.1 XP_028519306.1 LOW QUALITY PROTEIN_ thrombospondin type-1 domain-containing protein 4 [Exaiptasia diaphana]	NP_001192863.3 ADAMTS-like protein 2 precursor [Bos taurus], XP_059746586.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Bos taurus]
OG0000014	Exaiptasia_diaphana_XP_020903155.1 XP_020903155.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515635.1 XP_028515635.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 isoform X1 [Exaiptasia diaphana]	XP_024837785.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X1 [Bos taurus], NP_001179538.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 precursor [Bos taurus]
OG0000014	Exaiptasia_diaphana_XP_020906187.1 XP_020906187.1 ADAMTS-like protein 2 [Exaiptasia diaphana]	XP_024853897.1 papilin isoform X1 [Bos taurus]
OG0000014	Exaiptasia_diaphana_XP_028517311.1 XP_028517311.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 [Exaiptasia diaphana]	NP_001193022.1 A disintegrin and metalloproteinase with thrombospondin motifs 20 precursor [Bos taurus], NP_001193502.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 precursor [Bos taurus]
OG0000015	Exaiptasia_diaphana_XP_020895186.1 XP_020895186.1 oncoprotein-induced transcript 3 protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895226.1 XP_020895226.1 ZP domain-containing protein [Exaiptasia diaphana]	XP_005225807.1 beta-tectorin isoform X1 [Bos taurus]
OG0000015	Exaiptasia_diaphana_XP_020904998.1 XP_020904998.1 zona pellucida sperm-binding protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904996.2 XP_020904996.2 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907577.1 XP_020907577.1 oncoprotein-induced transcript 3 protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514521.1 XP_028514521.1 ZP domain-containing protein-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901504.2 XP_020901504.2 ZP domain-containing protein [Exaiptasia diaphana]	sp|Q29RU2.1|OIT3_BOVIN RecName_ Full=Oncoprotein-induced transcript 3 protein; Flags_ Precursor
OG0000017	Exaiptasia_diaphana_XP_020902588.1 XP_020902588.1 serpin B6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913182.1 XP_020913182.1 leukocyte elastase inhibitor-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902591.1 XP_020902591.1 leukocyte elastase inhibitor A-like [Exaiptasia diaphana]	sp|P41361.2|ANT3_BOVIN RecName_ Full=Antithrombin-III; Short=ATIII; AltName_ Full=Serpin C1; Flags_ Precursor, XP_024839237.1 leukocyte elastase inhibitor isoform X1 [Bos taurus], XP_059736204.1 serpin B6 isoform X1 [Bos taurus], NP_001069327.1 serpin B9 [Bos taurus], XP_015315532.1 serpin B8 isoform X1 [Bos taurus], XP_024840088.1 serpin B5 isoform X1 [Bos taurus], sp|A5PJK0.1|SPB10_BOVIN RecName_ Full=Serpin B10, NP_001178980.1 plasminogen activator inhibitor 2 [Bos taurus], XP_024840297.1 serpin B12 [Bos taurus], NP_001095792.2 serpin B4 [Bos taurus], XP_059737104.1 LOW QUALITY PROTEIN_ serpin B11 [Bos taurus], XP_010799074.2 serpin B7 isoform X1 [Bos taurus]
OG0000018	Exaiptasia_diaphana_XP_020905082.1 XP_020905082.1 protein-lysine 6-oxidase [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910908.1 XP_020910908.1 lysyl oxidase homolog 3A isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910907.1 XP_020910907.1 lysyl oxidase homolog 2A isoform X1 [Exaiptasia diaphana]	sp|Q8MJ24.1|LOXL4_BOVIN RecName_ Full=Lysyl oxidase homolog 4; AltName_ Full=Lysyl oxidase-like protein 4; Flags_ Precursor, XP_059747438.1 lysyl oxidase homolog 3 isoform X1 [Bos taurus], sp|A6H737.1|LOXL2_BOVIN RecName_ Full=Lysyl oxidase homolog 2; AltName_ Full=Lysyl oxidase-like protein 2; Flags_ Precursor
OG0000018	Exaiptasia_diaphana_XP_020907184.1 XP_020907184.1 deleted in malignant brain tumors 1 protein [Exaiptasia diaphana]	XP_059738076.1 deleted in malignant brain tumors 1 protein [Bos taurus], NP_001180151.2 neurotrypsin precursor [Bos taurus]
OG0000019	Exaiptasia_diaphana_XP_020895491.1 XP_020895491.1 bone morphogenetic protein 7 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895490.1 XP_020895490.1 bone morphogenetic protein 7 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895489.1 XP_020895489.1 bone morphogenetic protein 7 isoform X1 [Exaiptasia diaphana]	XP_024845991.1 bone morphogenetic protein 8B [Bos taurus], NP_001193798.2 bone morphogenetic protein 8A precursor [Bos taurus], NP_001291945.1 bone morphogenetic protein 5 precursor [Bos taurus], NP_001192944.1 bone morphogenetic protein 7 precursor [Bos taurus]
OG0000019	Exaiptasia_diaphana_XP_020895368.1 XP_020895368.1 growth_differentiation factor 5 [Exaiptasia diaphana]	sp|P55106.2|GDF6_BOVIN RecName_ Full=Growth/differentiation factor 6; Short=GDF-6; AltName_ Full=Bone morphogenetic protein 13; Short=BMP-13; AltName_ Full=Cartilage-derived morphogenetic protein 2; Short=CDMP-2; Flags_ Precursor, NP_001179202.1 growth/differentiation factor 5 precursor [Bos taurus], NP_001193030.1 growth/differentiation factor 7 precursor [Bos taurus], sp|P22444.2|BMP3_BOVIN RecName_ Full=Bone morphogenetic protein 3; Short=BMP-3; AltName_ Full=Osteogenin; Flags_ Precursor, sp|Q08DX6.1|GDF10_BOVIN RecName_ Full=Growth/differentiation factor 10; Short=GDF-10; AltName_ Full=Bone morphogenetic protein 3B; Short=BMP-3B; Flags_ Precursor
OG0000020	Exaiptasia_diaphana_XP_020906601.1 XP_020906601.1 collagen alpha-1_I_ chain [Exaiptasia diaphana]	XP_024839347.1 collagen alpha-2_XI_ chain isoform X1 [Bos taurus], XP_024855495.1 collagen alpha-1_V_ chain isoform X2 [Bos taurus], NP_001159981.2 collagen alpha-1_XI_ chain [Bos taurus], XP_010805112.2 collagen alpha-3_V_ chain isoform X1 [Bos taurus]
OG0000020	Exaiptasia_diaphana_XP_020915832.1 XP_020915832.1 collagen alpha-3_V_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514447.1 XP_028514447.1 collagen alpha-1_I_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895789.2 XP_020895789.2 collagen alpha-2_I_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917657.1 XP_020917657.1 collagen alpha-1_II_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917447.2 XP_020917447.2 collagen alpha chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519665.1 XP_028519665.1 collagen alpha-1_I_ chain [Exaiptasia diaphana]	sp|P02459.4|CO2A1_BOVIN RecName_ Full=Collagen alpha-1_II_ chain; AltName_ Full=Alpha-1 type II collagen; Flags_ Precursor, sp|P02453.3|CO1A1_BOVIN RecName_ Full=Collagen alpha-1_I_ chain; AltName_ Full=Alpha-1 type I collagen; Flags_ Precursor, sp|P02453.3|CO1A1_BOVIN RecName_ Full=Collagen alpha-1_I_ chain; AltName_ Full=Alpha-1 type I collagen; Flags_ Precursor, sp|P02465.2|CO1A2_BOVIN RecName_ Full=Collagen alpha-2_I_ chain; AltName_ Full=Alpha-2 type I collagen; Flags_ Precursor, NP_001070299.1 collagen alpha-1_III_ chain precursor [Bos taurus], XP_059736296.1 collagen alpha-2_V_ chain [Bos taurus]
OG0000021	Exaiptasia_diaphana_XP_020901946.1 XP_020901946.1 hemicentin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901927.1 XP_020901927.1 low-density lipoprotein receptor-related protein 2-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901926.1 XP_020901926.1 low-density lipoprotein receptor-related protein 2-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515277.1 XP_028515277.1 low-density lipoprotein receptor-related protein 2-like isoform X1 [Exaiptasia diaphana]	NP_001095535.1 nidogen-2 precursor [Bos taurus], NP_001094625.1 nidogen-1 precursor [Bos taurus]
OG0000022	Exaiptasia_diaphana_XP_020904987.1 XP_020904987.1 annexin A5 [Exaiptasia diaphana]	XP_005226473.2 annexin A7 isoform X1 [Bos taurus]
OG0000023	Exaiptasia_diaphana_XP_028514247.1 XP_028514247.1 zinc metalloproteinase-disintegrin-like BjussuMP-1 [Exaiptasia diaphana]	XP_005225761.2 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Bos taurus], XP_024852023.1 disintegrin and metalloproteinase domain-containing protein 7 isoform X1 [Bos taurus], DAA26695.1 TPA_ Disintegrin and metalloproteinase domain-containing protein 28-like [Bos taurus], XP_010806362.2 ADAM DEC1 isoform X1 [Bos taurus], NP_001039715.1 disintegrin and metalloproteinase domain-containing protein 32 precursor [Bos taurus], DAA14469.1 TPA_ ADAM metallopeptidase domain 18 [Bos taurus], XP_024841956.1 disintegrin and metalloproteinase domain-containing protein 2 isoform X1 [Bos taurus], NP_001193401.1 a disintegrin and metallopeptidase domain 1a [Bos taurus], XP_024845019.1 disintegrin and metalloproteinase domain-containing protein 1b [Bos taurus], DAA27082.1 TPA_ ADAM metallopeptidase domain 21 [Bos taurus], XP_024851812.1 disintegrin and metalloproteinase domain-containing protein 29 isoform X1 [Bos taurus], XP_015328761.2 disintegrin and metalloproteinase domain-containing protein 20 [Bos taurus], DAA31603.1 TPA_ ADAM metallopeptidase domain 30-like [Bos taurus], NP_001179747.2 disintegrin and metalloproteinase domain-containing protein 9 precursor [Bos taurus], NP_001001156.1 disintegrin and metalloproteinase domain-containing protein 12 precursor [Bos taurus], DAA23365.1 TPA_ ADAM metallopeptidase domain 33 [Bos taurus], NP_001192371.3 disintegrin and metalloproteinase domain-containing protein 15 precursor [Bos taurus], NP_001076927.1 disintegrin and metalloproteinase domain-containing protein 23 [Bos taurus], XP_059741591.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Bos taurus], DAA18315.1 TPA_ ADAM metallopeptidase domain 11 preproprotein-like [Bos taurus]
OG0000024	Exaiptasia_diaphana_XP_028512983.1 XP_028512983.1 uncharacterized protein LOC110232652 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512982.1 XP_028512982.1 cell death abnormality protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515408.1 XP_028515408.1 uncharacterized protein LOC110240827 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896594.1 XP_020896594.1 equistatin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515409.1 XP_028515409.1 thyroglobulin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515410.1 XP_028515410.1 thyroglobulin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902304.1 XP_020902304.1 thyroglobulin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908611.1 XP_020908611.1 WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517142.1 XP_028517142.1 uncharacterized protein LOC110246567 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902306.1 XP_020902306.1 uncharacterized protein LOC110240830 [Exaiptasia diaphana]	sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor, sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor
OG0000024	Exaiptasia_diaphana_XP_020905524.1 XP_020905524.1 thyroglobulin [Exaiptasia diaphana]	sp|Q08E66.1|WFKN2_BOVIN RecName_ Full=WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 2; Flags_ Precursor, NP_001192725.1 WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 precursor [Bos taurus]
OG0000024	Exaiptasia_diaphana_XP_020905521.1 XP_020905521.1 testican-2 [Exaiptasia diaphana]	XP_024849863.1 testican-1 isoform X1 [Bos taurus], NP_001094585.1 testican-2 precursor [Bos taurus]
OG0000028	Exaiptasia_diaphana_XP_028518629.1 XP_028518629.1 collagen alpha-5_IV_ chain [Exaiptasia diaphana]	sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, DAA13054.1 TPA_ type IV collagen alpha 5-like isoform 1 [Bos taurus], NP_001160001.2 collagen alpha-3_IV_ chain precursor [Bos taurus]
OG0000028	Exaiptasia_diaphana_XP_020913453.1 XP_020913453.1 collagen alpha-2_IV_ chain [Exaiptasia diaphana]	XP_024855939.1 collagen alpha-2_IV_ chain isoform X1 [Bos taurus], XP_005227954.1 collagen alpha-6_IV_ chain isoform X1 [Bos taurus], XP_024837496.1 collagen alpha-4_IV_ chain isoform X1 [Bos taurus]
OG0000030	Exaiptasia_diaphana_XP_028518433.1 XP_028518433.1 disintegrin and metalloproteinase domain-containing protein 17 [Exaiptasia diaphana]	XP_002691532.1 disintegrin and metalloproteinase domain-containing protein 17 isoform X1 [Bos taurus]
OG0000030	Exaiptasia_diaphana_XP_020898884.1 XP_020898884.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517814.1 XP_028517814.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910720.1 XP_020910720.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana]	sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor, sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor
OG0000033	Exaiptasia_diaphana_XP_020901066.1 XP_020901066.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905080.1 XP_020905080.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909418.1 XP_020909418.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514279.1 XP_028514279.1 collagen triple helix repeat-containing protein 1-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514280.1 XP_028514280.1 collagen triple helix repeat-containing protein 1-like isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514278.1 XP_028514278.1 collagen triple helix repeat-containing protein 1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514281.1 XP_028514281.1 collagen triple helix repeat-containing protein 1-like isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514283.1 XP_028514283.1 collagen triple helix repeat-containing protein 1-like isoform X7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514284.1 XP_028514284.1 collagen triple helix repeat-containing protein 1-like isoform X8 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514282.1 XP_028514282.1 collagen triple helix repeat-containing protein 1-like isoform X6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514277.1 XP_028514277.1 collagen triple helix repeat-containing protein 1-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514285.1 XP_028514285.1 collagen triple helix repeat-containing protein 1-like isoform X9 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917219.1 XP_020917219.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519657.1 XP_028519657.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916850.1 XP_020916850.1 collagen triple helix repeat-containing protein 1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514288.1 XP_028514288.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916851.1 XP_020916851.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917218.1 XP_020917218.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514276.1 XP_028514276.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898274.1 XP_020898274.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898280.2 XP_020898280.2 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518851.1 XP_028518851.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518852.1 XP_028518852.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894419.1 XP_020894419.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894421.1 XP_020894421.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894420.1 XP_020894420.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana]	NP_001075005.1 collagen triple helix repeat-containing protein 1 precursor [Bos taurus]
OG0000034	Exaiptasia_diaphana_XP_020916503.1 XP_020916503.1 multiple epidermal growth factor-like domains protein 11 [Exaiptasia diaphana]	XP_024853677.1 multiple epidermal growth factor-like domains protein 11 isoform X1 [Bos taurus], XP_005209151.1 multiple epidermal growth factor-like domains protein 10 isoform X1 [Bos taurus]
OG0000034	Exaiptasia_diaphana_XP_028517202.1 XP_028517202.1 multiple epidermal growth factor-like domains protein 8 [Exaiptasia diaphana]	XP_024834866.1 multiple epidermal growth factor-like domains protein 8 [Bos taurus]
OG0000035	Exaiptasia_diaphana_XP_020916889.1 XP_020916889.1 flocculation protein FLO11-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515483.1 XP_028515483.1 adhesion G protein-coupled receptor B1-like [Exaiptasia diaphana]	XP_059737053.1 lipoxygenase homology domain-containing protein 1 [Bos taurus]
OG0000035	Exaiptasia_diaphana_XP_028515554.1 XP_028515554.1 uncharacterized protein LOC110241304 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513017.1 XP_028513017.1 uncharacterized protein LOC110232795 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905386.2 XP_020905386.2 LOW QUALITY PROTEIN_ EGF-like repeat and discoidin I-like domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905389.2 XP_020905389.2 EGF-like repeat and discoidin I-like domain-containing protein 3 [Exaiptasia diaphana]	XP_024846888.1 adipocyte enhancer-binding protein 1 [Bos taurus]
OG0000035	Exaiptasia_diaphana_XP_020908597.1 XP_020908597.1 uncharacterized protein LOC110246583 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899840.1 XP_020899840.1 EGF-like repeat and discoidin I-like domain-containing protein 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908571.1 XP_020908571.1 uncharacterized protein LOC110246558_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901530.1 XP_020901530.1 uncharacterized protein LOC110240085 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906161.1 XP_020906161.1 EGF-like repeat and discoidin I-like domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515783.1 XP_028515783.1 uncharacterized protein LOC110242107 [Exaiptasia diaphana]	DAA17644.1 TPA_ lactadherin [Bos taurus], XP_002689420.2 EGF-like repeat and discoidin I-like domain-containing protein 3 isoform X1 [Bos taurus], NP_776304.1 coagulation factor V precursor [Bos taurus]
OG0000036	Exaiptasia_diaphana_XP_020892218.1 XP_020892218.1 multiple epidermal growth factor-like domains protein 6 [Exaiptasia diaphana]	XP_059739882.1 LOW QUALITY PROTEIN_ epidermal growth factor-like protein 6 [Bos taurus], XP_024849279.1 nephronectin isoform X1 [Bos taurus]
OG0000037	Exaiptasia_diaphana_XP_020907691.1 XP_020907691.1 transforming growth factor-beta-induced protein ig-h3 [Exaiptasia diaphana]	AAS02052.2 periostin [Bos taurus], sp|P55906.2|BGH3_BOVIN RecName_ Full=Transforming growth factor-beta-induced protein ig-h3; Short=Beta ig-h3; AltName_ Full=MP70; AltName_ Full=MP78; Flags_ Precursor
OG0000038	Exaiptasia_diaphana_XP_028517223.1 XP_028517223.1 collagen alpha-1_XXV_ chain isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517222.1 XP_028517222.1 collagen alpha-1_XXV_ chain isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517220.1 XP_028517220.1 ectodysplasin-A isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517221.1 XP_028517221.1 ectodysplasin-A isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908768.1 XP_020908768.1 uncharacterized protein LOC110246748 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908885.1 XP_020908885.1 uncharacterized protein LOC110246841 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517224.1 XP_028517224.1 uncharacterized protein LOC110246841 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517225.1 XP_028517225.1 uncharacterized protein LOC110246747 [Exaiptasia diaphana]	NP_001192711.1 tumor necrosis factor ligand superfamily member 15 [Bos taurus], XP_002697417.1 lymphotoxin-beta isoform X1 [Bos taurus], XP_059743966.1 tumor necrosis factor ligand superfamily member 14 isoform X1 [Bos taurus], NP_001192699.1 tumor necrosis factor ligand superfamily member 11 [Bos taurus], NP_001306830.1 tumor necrosis factor ligand superfamily member 10 [Bos taurus]
OG0000040	Exaiptasia_diaphana_XP_020903908.1 XP_020903908.1 uncharacterized protein LOC110242294 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903909.1 XP_020903909.1 uncharacterized protein LOC110242294 isoform X2 [Exaiptasia diaphana]	NP_001091570.1 endothelial cell-specific molecule 1 precursor [Bos taurus], XP_059738009.1 kazal-type serine protease inhibitor domain-containing protein 1 [Bos taurus], XP_024851719.2 insulin-like growth factor-binding protein-like 1 isoform X1 [Bos taurus], NP_001095770.1 insulin-like growth factor-binding protein 7 precursor [Bos taurus]
OG0000041	Exaiptasia_diaphana_XP_020905592.1 XP_020905592.1 von Willebrand factor A domain-containing protein 5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513909.1 XP_028513909.1 uncharacterized protein LOC110235739 [Exaiptasia diaphana]	XP_002699146.2 von Willebrand factor A domain-containing protein 5A [Bos taurus]
OG0000041	Exaiptasia_diaphana_XP_020903341.1 XP_020903341.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903342.1 XP_020903342.1 von Willebrand factor A domain-containing protein 5B1 isoform X2 [Exaiptasia diaphana]	XP_024838837.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Bos taurus]
OG0000041	Exaiptasia_diaphana_XP_020912183.1 XP_020912183.1 protein mono-ADP-ribosyltransferase PARP4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912184.1 XP_020912184.1 protein mono-ADP-ribosyltransferase PARP4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912185.1 XP_020912185.1 protein mono-ADP-ribosyltransferase PARP4 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518262.1 XP_028518262.1 protein mono-ADP-ribosyltransferase PARP4 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912186.1 XP_020912186.1 protein mono-ADP-ribosyltransferase PARP4 isoform X5 [Exaiptasia diaphana]	DAA23896.1 TPA_ poly _ADP-ribose_ polymerase family_ member 4 [Bos taurus]
