Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Cnidaria_Anthozoa_Xenia_spec
OG0000004	Exaiptasia_diaphana_XP_020914238.1 XP_020914238.1 fat-like cadherin-related tumor suppressor homolog isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914237.1 XP_020914237.1 fat-like cadherin-related tumor suppressor homolog isoform X1 [Exaiptasia diaphana]	Xenia_spec_Xe_016404_T1 Xe_016404_T1 Xe_016404, Xenia_spec_Xe_016394_T1 Xe_016394_T1 Xe_016394, Xenia_spec_Xe_016402_T1 Xe_016402_T1 Xe_016402, Xenia_spec_Xe_016393_T1 Xe_016393_T1 Xe_016393, Xenia_spec_Xe_010643_T1 Xe_010643_T1 Xe_010643, Xenia_spec_Xe_010641_T1 Xe_010641_T1 Xe_010641, Xenia_spec_Xe_010631_T1 Xe_010631_T1 Xe_010631, Xenia_spec_Xe_010630_T1 Xe_010630_T1 Xe_010630, Xenia_spec_Xe_010644_T1 Xe_010644_T1 Xe_010644
OG0000004	Exaiptasia_diaphana_XP_028518873.1 XP_028518873.1 protocadherin Fat 4 [Exaiptasia diaphana]	Xenia_spec_Xe_002353_T1 Xe_002353_T1 Xe_002353, Xenia_spec_Xe_002350_T2 Xe_002350_T2 Xe_002350, Xenia_spec_Xe_002350_T1 Xe_002350_T1 Xe_002350, Xenia_spec_Xe_002347_T1 Xe_002347_T1 Xe_002347
OG0000005	Exaiptasia_diaphana_XP_020914254.1 XP_020914254.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana]	Xenia_spec_Xe_011516_T1 Xe_011516_T1 Xe_011516
OG0000005	Exaiptasia_diaphana_XP_020908974.1 XP_020908974.1 uncharacterized protein LOC110246932 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908967.2 XP_020908967.2 uncharacterized protein LOC110246925 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902117.2 XP_020902117.2 nematocyst expressed protein 6-like [Exaiptasia diaphana]	Xenia_spec_Xe_013630_T1 Xe_013630_T1 Xe_013630, Xenia_spec_Xe_013630_T2 Xe_013630_T2 Xe_013630, Xenia_spec_Xe_013693_T1 Xe_013693_T1 Xe_013693
OG0000005	Exaiptasia_diaphana_XP_028515434.1 XP_028515434.1 zinc metalloproteinase nas-15 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914948.1 XP_020914948.1 zinc metalloproteinase nas-13 [Exaiptasia diaphana]	Xenia_spec_Xe_001395_T1 Xe_001395_T1 Xe_001395
OG0000005	Exaiptasia_diaphana_XP_020909077.1 XP_020909077.1 zinc metalloproteinase nas-1 [Exaiptasia diaphana]	Xenia_spec_Xe_010629_T1 Xe_010629_T1 Xe_010629, Xenia_spec_Xe_010645_T1 Xe_010645_T1 Xe_010645
OG0000005	Exaiptasia_diaphana_XP_028512430.1 XP_028512430.1 zinc metalloproteinase nas-36 [Exaiptasia diaphana]	Xenia_spec_Xe_010516_T1 Xe_010516_T1 Xe_010516
OG0000005	Exaiptasia_diaphana_XP_028514338.1 XP_028514338.1 zinc metalloproteinase nas-4_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911183.1 XP_020911183.1 bone morphogenetic protein 1 [Exaiptasia diaphana]	Xenia_spec_Xe_015363_T1 Xe_015363_T1 Xe_015363, Xenia_spec_Xe_014383_T1 Xe_014383_T1 Xe_014383
OG0000005	Exaiptasia_diaphana_XP_020911192.1 XP_020911192.1 zinc metalloproteinase nas-4 [Exaiptasia diaphana]	Xenia_spec_Xe_015051_T1 Xe_015051_T1 Xe_015051, Xenia_spec_Xe_014351_T1 Xe_014351_T1 Xe_014351, Xenia_spec_Xe_014613_T1 Xe_014613_T1 Xe_014613, Xenia_spec_Xe_014350_T1 Xe_014350_T1 Xe_014350
OG0000005	Exaiptasia_diaphana_XP_020911080.2 XP_020911080.2 zinc metalloproteinase nas-4-like [Exaiptasia diaphana]	Xenia_spec_Xe_015665_T1 Xe_015665_T1 Xe_015665
OG0000006	Exaiptasia_diaphana_XP_020896344.1 XP_020896344.1 CUB and sushi domain-containing protein 3 [Exaiptasia diaphana]	Xenia_spec_Xe_008035_T1 Xe_008035_T1 Xe_008035
OG0000006	Exaiptasia_diaphana_XP_020912105.1 XP_020912105.1 complement factor H-related protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519013.1 XP_028519013.1 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]	Xenia_spec_Xe_007877_T1 Xe_007877_T1 Xe_007877, Xenia_spec_Xe_007877_T2 Xe_007877_T2 Xe_007877, Xenia_spec_Xe_020681_T1 Xe_020681_T1 Xe_020681, Xenia_spec_Xe_007894_T1 Xe_007894_T1 Xe_007894, Xenia_spec_Xe_007895_T1 Xe_007895_T1 Xe_007895
OG0000007	Exaiptasia_diaphana_XP_028517430.1 XP_028517430.1 collagen and calcium-binding EGF domain-containing protein 1 [Exaiptasia diaphana]	Xenia_spec_Xe_015834_T1 Xe_015834_T1 Xe_015834
OG0000007	Exaiptasia_diaphana_XP_028513868.1 XP_028513868.1 sushi_ nidogen and EGF-like domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518379.1 XP_028518379.1 hemicentin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518380.1 XP_028518380.1 uncharacterized protein LOC110250391 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515863.1 XP_028515863.1 uncharacterized protein LOC110242369 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904008.1 XP_020904008.1 uncharacterized protein LOC110242369 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904007.1 XP_020904007.1 uncharacterized protein LOC110242369 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515862.1 XP_028515862.1 uncharacterized protein LOC110242369 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515861.1 XP_028515861.1 uncharacterized protein LOC110242369 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904009.1 XP_020904009.1 uncharacterized protein LOC110242369 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513925.1 XP_028513925.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896895.1 XP_020896895.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513846.1 XP_028513846.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896768.1 XP_020896768.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517426.1 XP_028517426.1 sushi_ nidogen and EGF-like domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513924.1 XP_028513924.1 sushi_ nidogen and EGF-like domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896893.1 XP_020896893.1 sushi_ nidogen and EGF-like domain-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896715.2 XP_020896715.2 uncharacterized protein LOC110235594 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513892.1 XP_028513892.1 sushi_ nidogen and EGF-like domain-containing protein 1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899008.1 XP_020899008.1 sushi_ nidogen and EGF-like domain-containing protein 1 [Exaiptasia diaphana]	Xenia_spec_Xe_013492_T1 Xe_013492_T1 Xe_013492
OG0000007	Exaiptasia_diaphana_XP_028513923.1 XP_028513923.1 sushi domain-containing protein 2 [Exaiptasia diaphana]	Xenia_spec_Xe_013053_T1 Xe_013053_T1 Xe_013053
OG0000007	Exaiptasia_diaphana_XP_028517538.1 XP_028517538.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518064.1 XP_028518064.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518950.1 XP_028518950.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893670.2 XP_020893670.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517536.1 XP_028517536.1 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902301.1 XP_020902301.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515682.1 XP_028515682.1 uncharacterized protein LOC110241747 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513418.1 XP_028513418.1 uncharacterized protein LOC110234357 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915371.2 XP_020915371.2 mucin-like protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915241.1 XP_020915241.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514098.1 XP_028514098.1 mucin-like protein_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915927.1 XP_020915927.1 uncharacterized protein LOC110253367 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895662.2 XP_020895662.2 fibulin-1 [Exaiptasia diaphana]	Xenia_spec_Xe_015322_T1 Xe_015322_T1 Xe_015322, Xenia_spec_Xe_015322_T2 Xe_015322_T2 Xe_015322, Xenia_spec_Xe_014878_T1 Xe_014878_T1 Xe_014878, Xenia_spec_Xe_014862_T1 Xe_014862_T1 Xe_014862, Xenia_spec_Xe_014860_T1 Xe_014860_T1 Xe_014860, Xenia_spec_Xe_014856_T1 Xe_014856_T1 Xe_014856, Xenia_spec_Xe_014858_T1 Xe_014858_T1 Xe_014858, Xenia_spec_Xe_014859_T1 Xe_014859_T1 Xe_014859
OG0000007	Exaiptasia_diaphana_XP_028519601.1 XP_028519601.1 fibulin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908530.1 XP_020908530.1 fibrillin-2 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908531.1 XP_020908531.1 fibrillin-2 isoform X2 [Exaiptasia diaphana]	Xenia_spec_Xe_014646_T1 Xe_014646_T1 Xe_014646
OG0000008	Exaiptasia_diaphana_XP_028513637.1 XP_028513637.1 uncharacterized protein LOC110234972 [Exaiptasia diaphana]	Xenia_spec_Xe_011936_T1 Xe_011936_T1 Xe_011936, Xenia_spec_Xe_011933_T1 Xe_011933_T1 Xe_011933
OG0000008	Exaiptasia_diaphana_XP_028513461.1 XP_028513461.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]	Xenia_spec_Xe_002861_T1 Xe_002861_T1 Xe_002861
OG0000008	Exaiptasia_diaphana_XP_028512553.1 XP_028512553.1 neurogenic locus notch homolog protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512554.1 XP_028512554.1 uncharacterized protein LOC110231339 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892013.1 XP_020892013.1 uncharacterized protein LOC110231339 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901876.2 XP_020901876.2 fibropellin-1 [Exaiptasia diaphana]	Xenia_spec_Xe_002415_T1 Xe_002415_T1 Xe_002415
OG0000008	Exaiptasia_diaphana_XP_020895457.1 XP_020895457.1 neurogenic locus Notch protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895456.1 XP_020895456.1 LOW QUALITY PROTEIN_ fibropellin-1-like [Exaiptasia diaphana]	Xenia_spec_Xe_002862_T1 Xe_002862_T1 Xe_002862
OG0000008	Exaiptasia_diaphana_XP_028513462.1 XP_028513462.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]	Xenia_spec_Xe_002863_T1 Xe_002863_T1 Xe_002863
OG0000008	Exaiptasia_diaphana_XP_028518339.1 XP_028518339.1 protein crumbs homolog 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517733.1 XP_028517733.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]	Xenia_spec_Xe_007896_T1 Xe_007896_T1 Xe_007896
OG0000009	Exaiptasia_diaphana_XP_020913508.1 XP_020913508.1 tolloid-like protein 2 [Exaiptasia diaphana]	Xenia_spec_Xe_014294_T1 Xe_014294_T1 Xe_014294
OG0000009	Exaiptasia_diaphana_XP_028515415.1 XP_028515415.1 CUB and peptidase domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515413.1 XP_028515413.1 ribosome-binding protein 1-like [Exaiptasia diaphana]	Xenia_spec_Xe_000997_T1 Xe_000997_T1 Xe_000997, Xenia_spec_Xe_012293_T1 Xe_012293_T1 Xe_012293, Xenia_spec_Xe_012207_T1 Xe_012207_T1 Xe_012207, Xenia_spec_Xe_017784_T1 Xe_017784_T1 Xe_017784
OG0000009	Exaiptasia_diaphana_XP_028515218.1 XP_028515218.1 dorsal-ventral patterning tolloid-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515217.1 XP_028515217.1 dorsal-ventral patterning tolloid-like protein 1 isoform X1 [Exaiptasia diaphana]	Xenia_spec_Xe_003323_T1 Xe_003323_T1 Xe_003323
OG0000009	Exaiptasia_diaphana_XP_020913999.1 XP_020913999.1 LOW QUALITY PROTEIN_ fibrillin-1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518791.1 XP_028518791.1 LOW QUALITY PROTEIN_ fibrillin-1-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914029.1 XP_020914029.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518788.1 XP_028518788.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914027.1 XP_020914027.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518787.1 XP_028518787.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518786.1 XP_028518786.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X1 [Exaiptasia diaphana]	Xenia_spec_Xe_015833_T1 Xe_015833_T1 Xe_015833
OG0000010	Exaiptasia_diaphana_XP_020914581.2 XP_020914581.2 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana]	Xenia_spec_Xe_012929_T1 Xe_012929_T1 Xe_012929
OG0000010	Exaiptasia_diaphana_XP_020899237.1 XP_020899237.1 roundabout homolog 1 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514562.1 XP_028514562.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899232.1 XP_020899232.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899235.1 XP_020899235.1 roundabout homolog 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899236.1 XP_020899236.1 roundabout homolog 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899238.1 XP_020899238.1 roundabout homolog 1 isoform X5 [Exaiptasia diaphana]	Xenia_spec_Xe_014014_T1 Xe_014014_T1 Xe_014014
OG0000010	Exaiptasia_diaphana_XP_020912327.1 XP_020912327.1 Down syndrome cell adhesion molecule [Exaiptasia diaphana]	Xenia_spec_Xe_004964_T1 Xe_004964_T1 Xe_004964
OG0000010	Exaiptasia_diaphana_XP_020894828.2 XP_020894828.2 protein eyes shut homolog [Exaiptasia diaphana]	Xenia_spec_Xe_002513_T1 Xe_002513_T1 Xe_002513
OG0000010	Exaiptasia_diaphana_XP_020894465.1 XP_020894465.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513649.1 XP_028513649.1 agrin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902315.1 XP_020902315.1 uncharacterized protein LOC110240840 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513610.1 XP_028513610.1 agrin_ partial [Exaiptasia diaphana]	Xenia_spec_Xe_018671_T1 Xe_018671_T1 Xe_018671
OG0000010	Exaiptasia_diaphana_XP_020909932.2 XP_020909932.2 uncharacterized protein LOC110247804_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517563.1 XP_028517563.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana]	Xenia_spec_Xe_012650_T1 Xe_012650_T1 Xe_012650
OG0000010	Exaiptasia_diaphana_XP_028517562.1 XP_028517562.1 agrin [Exaiptasia diaphana]	Xenia_spec_Xe_012927_T1 Xe_012927_T1 Xe_012927
OG0000012	Exaiptasia_diaphana_XP_020903410.2 XP_020903410.2 von Willebrand factor-like [Exaiptasia diaphana]	Xenia_spec_Xe_000847_T1 Xe_000847_T1 Xe_000847, Xenia_spec_Xe_018696_T1 Xe_018696_T1 Xe_018696, Xenia_spec_Xe_018706_T1 Xe_018706_T1 Xe_018706, Xenia_spec_Xe_018687_T1 Xe_018687_T1 Xe_018687
OG0000012	Exaiptasia_diaphana_XP_020903395.1 XP_020903395.1 SCO-spondin [Exaiptasia diaphana]	Xenia_spec_Xe_000849_T1 Xe_000849_T1 Xe_000849
OG0000012	Exaiptasia_diaphana_XP_028515705.1 XP_028515705.1 mucin-5AC-like [Exaiptasia diaphana]	Xenia_spec_Xe_018689_T1 Xe_018689_T1 Xe_018689
OG0000012	Exaiptasia_diaphana_XP_020901426.1 XP_020901426.1 uncharacterized protein LOC110239999 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907660.2 XP_020907660.2 uncharacterized protein LOC110245709 [Exaiptasia diaphana]	Xenia_spec_Xe_015812_T1 Xe_015812_T1 Xe_015812, Xenia_spec_Xe_015811_T1 Xe_015811_T1 Xe_015811
OG0000012	Exaiptasia_diaphana_XP_020897325.1 XP_020897325.1 mucin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897326.1 XP_020897326.1 mucin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897327.1 XP_020897327.1 mucin-2 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514024.1 XP_028514024.1 mucin-2 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514122.1 XP_028514122.1 mucin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897376.2 XP_020897376.2 von Willebrand factor [Exaiptasia diaphana]	Xenia_spec_Xe_010627_T1 Xe_010627_T1 Xe_010627, Xenia_spec_Xe_014228_T1 Xe_014228_T1 Xe_014228, Xenia_spec_Xe_019746_T1 Xe_019746_T1 Xe_019746, Xenia_spec_Xe_019745_T1 Xe_019745_T1 Xe_019745, Xenia_spec_Xe_016272_T1 Xe_016272_T1 Xe_016272, Xenia_spec_Xe_016271_T1 Xe_016271_T1 Xe_016271, Xenia_spec_Xe_019472_T1 Xe_019472_T1 Xe_019472, Xenia_spec_Xe_019649_T1 Xe_019649_T1 Xe_019649, Xenia_spec_Xe_019730_T1 Xe_019730_T1 Xe_019730
OG0000013	Exaiptasia_diaphana_XP_028514350.1 XP_028514350.1 protein Wnt-7b-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514349.1 XP_028514349.1 protein Wnt-4a-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898386.1 XP_020898386.1 protein Wnt-1 [Exaiptasia diaphana]	Xenia_spec_Xe_009620_T1 Xe_009620_T1 Xe_009620, Xenia_spec_Xe_002014_T1 Xe_002014_T1 Xe_002014, Xenia_spec_Xe_001883_T1 Xe_001883_T1 Xe_001883, Xenia_spec_Xe_003143_T1 Xe_003143_T1 Xe_003143
OG0000013	Exaiptasia_diaphana_XP_028519476.1 XP_028519476.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519475.1 XP_028519475.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916617.1 XP_020916617.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916616.1 XP_020916616.1 protein Wnt-4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519474.1 XP_028519474.1 protein Wnt-4 isoform X1 [Exaiptasia diaphana]	Xenia_spec_Xe_012562_T1 Xe_012562_T1 Xe_012562
OG0000013	Exaiptasia_diaphana_XP_020904766.1 XP_020904766.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904744.1 XP_020904744.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904751.1 XP_020904751.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904759.1 XP_020904759.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902344.1 XP_020902344.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902345.1 XP_020902345.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902346.1 XP_020902346.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902347.1 XP_020902347.1 protein Wnt-4 [Exaiptasia diaphana]	Xenia_spec_Xe_015020_T1 Xe_015020_T1 Xe_015020
OG0000013	Exaiptasia_diaphana_XP_020904181.2 XP_020904181.2 protein Wnt-7b isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904180.2 XP_020904180.2 protein Wnt-7a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904179.2 XP_020904179.2 protein Wnt-7a isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904182.1 XP_020904182.1 protein Wnt-7a isoform X4 [Exaiptasia diaphana]	Xenia_spec_Xe_016066_T1 Xe_016066_T1 Xe_016066, Xenia_spec_Xe_016066_T2 Xe_016066_T2 Xe_016066
OG0000013	Exaiptasia_diaphana_XP_020895878.1 XP_020895878.1 protein Wnt-2b-A [Exaiptasia diaphana]	Xenia_spec_Xe_014676_T1 Xe_014676_T1 Xe_014676
OG0000014	Exaiptasia_diaphana_XP_028519306.1 XP_028519306.1 LOW QUALITY PROTEIN_ thrombospondin type-1 domain-containing protein 4 [Exaiptasia diaphana]	Xenia_spec_Xe_002262_T1 Xe_002262_T1 Xe_002262
OG0000014	Exaiptasia_diaphana_XP_020906187.1 XP_020906187.1 ADAMTS-like protein 2 [Exaiptasia diaphana]	Xenia_spec_Xe_011969_T1 Xe_011969_T1 Xe_011969
OG0000014	Exaiptasia_diaphana_XP_028517311.1 XP_028517311.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 [Exaiptasia diaphana]	Xenia_spec_Xe_004267_T1 Xe_004267_T1 Xe_004267
OG0000014	Exaiptasia_diaphana_XP_020916248.1 XP_020916248.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 [Exaiptasia diaphana]	Xenia_spec_Xe_007487_T1 Xe_007487_T1 Xe_007487
OG0000014	Exaiptasia_diaphana_XP_020903669.1 XP_020903669.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899199.1 XP_020899199.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515757.1 XP_028515757.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908001.1 XP_020908001.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908093.1 XP_020908093.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903567.1 XP_020903567.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515755.1 XP_028515755.1 A disintegrin and metalloproteinase with thrombospondin motifs 18-like_ partial [Exaiptasia diaphana]	Xenia_spec_Xe_014217_T1 Xe_014217_T1 Xe_014217
OG0000014	Exaiptasia_diaphana_XP_028514068.1 XP_028514068.1 A disintegrin and metalloproteinase with thrombospondin motifs 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514067.1 XP_028514067.1 A disintegrin and metalloproteinase with thrombospondin motifs 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512951.1 XP_028512951.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 [Exaiptasia diaphana]	Xenia_spec_Xe_002644_T1 Xe_002644_T1 Xe_002644
OG0000014	Exaiptasia_diaphana_XP_020909865.2 XP_020909865.2 A disintegrin and metalloproteinase with thrombospondin motifs 3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909864.2 XP_020909864.2 A disintegrin and metalloproteinase with thrombospondin motifs 3 isoform X1 [Exaiptasia diaphana]	Xenia_spec_Xe_008099_T1 Xe_008099_T1 Xe_008099, Xenia_spec_Xe_007055_T1 Xe_007055_T1 Xe_007055
