Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Chordata_Vertebrata_Coturnix_japonica
OG0000013	Exaiptasia_diaphana_XP_020904203.1 XP_020904203.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904202.1 XP_020904202.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904201.1 XP_020904201.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515919.1 XP_028515919.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904200.1 XP_020904200.1 protein Wnt-5b isoform X1 [Exaiptasia diaphana]	Coturnix_japonica_XP_015720854.1 protein Wnt-5b [Coturnix japonica], Coturnix_japonica_XP_015730917.1 protein Wnt-5a isoform X2 [Coturnix japonica]
OG0000013	Exaiptasia_diaphana_XP_020904766.1 XP_020904766.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904744.1 XP_020904744.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904751.1 XP_020904751.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904759.1 XP_020904759.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902344.1 XP_020902344.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902345.1 XP_020902345.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902346.1 XP_020902346.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902347.1 XP_020902347.1 protein Wnt-4 [Exaiptasia diaphana]	Coturnix_japonica_XP_015707967.1 protein Wnt-11 isoform X1 [Coturnix japonica]
OG0000013	Exaiptasia_diaphana_XP_020904181.2 XP_020904181.2 protein Wnt-7b isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904180.2 XP_020904180.2 protein Wnt-7a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904179.2 XP_020904179.2 protein Wnt-7a isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904182.1 XP_020904182.1 protein Wnt-7a isoform X4 [Exaiptasia diaphana]	Coturnix_japonica_XP_015725941.1 PREDICTED_ protein Wnt-7b [Coturnix japonica]
OG0000013	Exaiptasia_diaphana_XP_020895878.1 XP_020895878.1 protein Wnt-2b-A [Exaiptasia diaphana]	Coturnix_japonica_XP_015709062.1 protein Wnt-2 [Coturnix japonica], Coturnix_japonica_XP_015740732.1 protein Wnt-2b [Coturnix japonica]
OG0000013	Exaiptasia_diaphana_XP_028514332.1 XP_028514332.1 protein Wnt-8a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898355.1 XP_020898355.1 protein Wnt-8b [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898335.1 XP_020898335.1 protein Wnt-8b isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898370.1 XP_020898370.1 protein Wnt-8b_ partial [Exaiptasia diaphana]	Coturnix_japonica_XP_015731087.1 protein Wnt-8a [Coturnix japonica], Coturnix_japonica_XP_015721972.1 PREDICTED_ protein Wnt-8b [Coturnix japonica]
OG0000013	Exaiptasia_diaphana_XP_020913046.1 XP_020913046.1 protein Wnt-10a [Exaiptasia diaphana]	Coturnix_japonica_XP_015724730.1 protein Wnt-10a [Coturnix japonica]
OG0000014	Exaiptasia_diaphana_XP_028519306.1 XP_028519306.1 LOW QUALITY PROTEIN_ thrombospondin type-1 domain-containing protein 4 [Exaiptasia diaphana]	Coturnix_japonica_XP_015734810.1 ADAMTS-like protein 2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015728200.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Coturnix japonica]
OG0000014	Exaiptasia_diaphana_XP_020903155.1 XP_020903155.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515635.1 XP_028515635.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 isoform X1 [Exaiptasia diaphana]	Coturnix_japonica_XP_015728774.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015703899.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 [Coturnix japonica]
OG0000014	Exaiptasia_diaphana_XP_020906187.1 XP_020906187.1 ADAMTS-like protein 2 [Exaiptasia diaphana]	Coturnix_japonica_XP_015720070.1 papilin isoform X1 [Coturnix japonica]
OG0000014	Exaiptasia_diaphana_XP_028517311.1 XP_028517311.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 [Exaiptasia diaphana]	Coturnix_japonica_XP_015710221.1 PREDICTED_ LOW QUALITY PROTEIN_ A disintegrin and metalloproteinase with thrombospondin motifs 20_ partial [Coturnix japonica], Coturnix_japonica_XP_015730744.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform X2 [Coturnix japonica]
OG0000015	Exaiptasia_diaphana_XP_020904998.1 XP_020904998.1 zona pellucida sperm-binding protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904996.2 XP_020904996.2 ZP domain-containing protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907577.1 XP_020907577.1 oncoprotein-induced transcript 3 protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514521.1 XP_028514521.1 ZP domain-containing protein-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901504.2 XP_020901504.2 ZP domain-containing protein [Exaiptasia diaphana]	Coturnix_japonica_XP_015721772.1 oncoprotein-induced transcript 3 protein isoform X1 [Coturnix japonica]
OG0000017	Exaiptasia_diaphana_XP_020902588.1 XP_020902588.1 serpin B6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913182.1 XP_020913182.1 leukocyte elastase inhibitor-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902591.1 XP_020902591.1 leukocyte elastase inhibitor A-like [Exaiptasia diaphana]	Coturnix_japonica_XP_015725185.1 antithrombin-III [Coturnix japonica], Coturnix_japonica_XP_015709971.1 leukocyte elastase inhibitor-like [Coturnix japonica], Coturnix_japonica_XP_015709969.1 serpin B6-like [Coturnix japonica], Coturnix_japonica_XP_015710071.1 serpin B5 [Coturnix japonica], Coturnix_japonica_XP_015709958.1 PREDICTED_ heterochromatin-associated protein MENT isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015709963.1 serpin B10-like [Coturnix japonica], Coturnix_japonica_XP_015710070.1 serpin B12-like [Coturnix japonica]
OG0000018	Exaiptasia_diaphana_XP_020905082.1 XP_020905082.1 protein-lysine 6-oxidase [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910908.1 XP_020910908.1 lysyl oxidase homolog 3A isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910907.1 XP_020910907.1 lysyl oxidase homolog 2A isoform X1 [Exaiptasia diaphana]	Coturnix_japonica_XP_015722587.1 PREDICTED_ LOW QUALITY PROTEIN_ lysyl oxidase homolog 4-like [Coturnix japonica], Coturnix_japonica_XP_015705736.1 lysyl oxidase homolog 3 [Coturnix japonica], Coturnix_japonica_XP_015738393.1 lysyl oxidase homolog 2 [Coturnix japonica]
OG0000018	Exaiptasia_diaphana_XP_020907184.1 XP_020907184.1 deleted in malignant brain tumors 1 protein [Exaiptasia diaphana]	Coturnix_japonica_XP_015722969.1 PREDICTED_ deleted in malignant brain tumors 1 protein [Coturnix japonica]
OG0000019	Exaiptasia_diaphana_XP_020895491.1 XP_020895491.1 bone morphogenetic protein 7 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895490.1 XP_020895490.1 bone morphogenetic protein 7 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895489.1 XP_020895489.1 bone morphogenetic protein 7 isoform X1 [Exaiptasia diaphana]	Coturnix_japonica_XP_015738689.1 bone morphogenetic protein 8B-like [Coturnix japonica], Coturnix_japonica_XP_015714712.1 bone morphogenetic protein 5 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015710074.1 bone morphogenetic protein 6 [Coturnix japonica], Coturnix_japonica_XP_015737280.1 bone morphogenetic protein 7 [Coturnix japonica]
OG0000019	Exaiptasia_diaphana_XP_020905685.1 XP_020905685.1 bone morphogenetic protein 4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905684.1 XP_020905684.1 bone morphogenetic protein 4 [Exaiptasia diaphana]	Coturnix_japonica_XP_015721467.1 bone morphogenetic protein 4 [Coturnix japonica], Coturnix_japonica_XP_015712614.1 bone morphogenetic protein 2 [Coturnix japonica]
OG0000019	Exaiptasia_diaphana_XP_020895368.1 XP_020895368.1 growth_differentiation factor 5 [Exaiptasia diaphana]	Coturnix_japonica_XP_015705631.1 PREDICTED_ growth/differentiation factor 6_ partial [Coturnix japonica], Coturnix_japonica_XP_015736826.1 growth/differentiation factor 5 [Coturnix japonica], Coturnix_japonica_XP_015714970.1 growth/differentiation factor 7 [Coturnix japonica], Coturnix_japonica_XP_015717295.1 bone morphogenetic protein 3 [Coturnix japonica], Coturnix_japonica_XP_015722337.1 growth/differentiation factor 10 [Coturnix japonica]
OG0000020	Exaiptasia_diaphana_XP_020906601.1 XP_020906601.1 collagen alpha-1_I_ chain [Exaiptasia diaphana]	Coturnix_japonica_XP_015734782.1 collagen alpha-1_V_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015725391.1 collagen alpha-1_XI_ chain isoform X1 [Coturnix japonica]
OG0000020	Exaiptasia_diaphana_XP_020915832.1 XP_020915832.1 collagen alpha-3_V_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514447.1 XP_028514447.1 collagen alpha-1_I_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895789.2 XP_020895789.2 collagen alpha-2_I_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917657.1 XP_020917657.1 collagen alpha-1_II_ chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917447.2 XP_020917447.2 collagen alpha chain [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519665.1 XP_028519665.1 collagen alpha-1_I_ chain [Exaiptasia diaphana]	Coturnix_japonica_XP_015705870.1 collagen alpha-1_II_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015741354.1 LOW QUALITY PROTEIN_ collagen alpha-1_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015709029.1 collagen alpha-2_I_ chain [Coturnix japonica], Coturnix_japonica_XP_015723325.1 collagen alpha-1_III_ chain [Coturnix japonica], Coturnix_japonica_XP_015723324.1 collagen alpha-2_V_ chain [Coturnix japonica]
OG0000021	Exaiptasia_diaphana_XP_020901946.1 XP_020901946.1 hemicentin-1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901927.1 XP_020901927.1 low-density lipoprotein receptor-related protein 2-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901926.1 XP_020901926.1 low-density lipoprotein receptor-related protein 2-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515277.1 XP_028515277.1 low-density lipoprotein receptor-related protein 2-like isoform X1 [Exaiptasia diaphana]	Coturnix_japonica_XP_015721444.1 nidogen-2 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015713380.1 nidogen-1 isoform X1 [Coturnix japonica]
OG0000022	Exaiptasia_diaphana_XP_020904987.1 XP_020904987.1 annexin A5 [Exaiptasia diaphana]	Coturnix_japonica_XP_015722004.1 annexin A7 isoform X2 [Coturnix japonica]
OG0000023	Exaiptasia_diaphana_XP_028514247.1 XP_028514247.1 zinc metalloproteinase-disintegrin-like BjussuMP-1 [Exaiptasia diaphana]	Coturnix_japonica_XP_015721656.1 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738502.1 disintegrin and metalloproteinase domain-containing protein 28 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733264.1 disintegrin and metalloproteinase domain-containing protein 9-like [Coturnix japonica], Coturnix_japonica_XP_015738633.1 disintegrin and metalloproteinase domain-containing protein 9 [Coturnix japonica], Coturnix_japonica_XP_015723079.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 12 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015718482.1 disintegrin and metalloproteinase domain-containing protein 33 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015731731.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 19 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015723724.1 disintegrin and metalloproteinase domain-containing protein 23 [Coturnix japonica], Coturnix_japonica_XP_015708948.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740988.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 11 isoform X2 [Coturnix japonica]
OG0000024	Exaiptasia_diaphana_XP_020905521.1 XP_020905521.1 testican-2 [Exaiptasia diaphana]	Coturnix_japonica_XP_015716467.1 testican-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015731364.1 testican-1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721924.1 testican-2 [Coturnix japonica]
OG0000028	Exaiptasia_diaphana_XP_028518629.1 XP_028518629.1 collagen alpha-5_IV_ chain [Exaiptasia diaphana]	Coturnix_japonica_XP_015706908.1 collagen alpha-1_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715960.1 collagen alpha-5_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726877.1 collagen alpha-3_IV_ chain [Coturnix japonica]
OG0000028	Exaiptasia_diaphana_XP_020913453.1 XP_020913453.1 collagen alpha-2_IV_ chain [Exaiptasia diaphana]	Coturnix_japonica_XP_015706905.1 collagen alpha-2_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715965.1 collagen alpha-6_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726876.1 collagen alpha-4_IV_ chain [Coturnix japonica]
OG0000030	Exaiptasia_diaphana_XP_028518433.1 XP_028518433.1 disintegrin and metalloproteinase domain-containing protein 17 [Exaiptasia diaphana]	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]
OG0000030	Exaiptasia_diaphana_XP_020898884.1 XP_020898884.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517814.1 XP_028517814.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910720.1 XP_020910720.1 disintegrin and metalloproteinase domain-containing protein 10 [Exaiptasia diaphana]	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]
OG0000033	Exaiptasia_diaphana_XP_020901066.1 XP_020901066.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905080.1 XP_020905080.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020909418.1 XP_020909418.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514279.1 XP_028514279.1 collagen triple helix repeat-containing protein 1-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514280.1 XP_028514280.1 collagen triple helix repeat-containing protein 1-like isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514278.1 XP_028514278.1 collagen triple helix repeat-containing protein 1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514281.1 XP_028514281.1 collagen triple helix repeat-containing protein 1-like isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514283.1 XP_028514283.1 collagen triple helix repeat-containing protein 1-like isoform X7 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514284.1 XP_028514284.1 collagen triple helix repeat-containing protein 1-like isoform X8 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514282.1 XP_028514282.1 collagen triple helix repeat-containing protein 1-like isoform X6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514277.1 XP_028514277.1 collagen triple helix repeat-containing protein 1-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514285.1 XP_028514285.1 collagen triple helix repeat-containing protein 1-like isoform X9 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917219.1 XP_020917219.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519657.1 XP_028519657.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916850.1 XP_020916850.1 collagen triple helix repeat-containing protein 1_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514288.1 XP_028514288.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916851.1 XP_020916851.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917218.1 XP_020917218.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514276.1 XP_028514276.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898274.1 XP_020898274.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898280.2 XP_020898280.2 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518851.1 XP_028518851.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518852.1 XP_028518852.1 collagen triple helix repeat-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894419.1 XP_020894419.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894421.1 XP_020894421.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894420.1 XP_020894420.1 collagen triple helix repeat-containing protein 1 [Exaiptasia diaphana]	Coturnix_japonica_XP_015711635.2 collagen triple helix repeat-containing protein 1 [Coturnix japonica]
OG0000034	Exaiptasia_diaphana_XP_020916503.1 XP_020916503.1 multiple epidermal growth factor-like domains protein 11 [Exaiptasia diaphana]	Coturnix_japonica_XP_015728800.1 multiple epidermal growth factor-like domains protein 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705198.1 multiple epidermal growth factor-like domains protein 10 [Coturnix japonica]
OG0000035	Exaiptasia_diaphana_XP_020908597.1 XP_020908597.1 uncharacterized protein LOC110246583 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899840.1 XP_020899840.1 EGF-like repeat and discoidin I-like domain-containing protein 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908571.1 XP_020908571.1 uncharacterized protein LOC110246558_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901530.1 XP_020901530.1 uncharacterized protein LOC110240085 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906161.1 XP_020906161.1 EGF-like repeat and discoidin I-like domain-containing protein 3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515783.1 XP_028515783.1 uncharacterized protein LOC110242107 [Exaiptasia diaphana]	Coturnix_japonica_XP_015728570.1 lactadherin isoform X1 [Coturnix japonica]
OG0000036	Exaiptasia_diaphana_XP_020892218.1 XP_020892218.1 multiple epidermal growth factor-like domains protein 6 [Exaiptasia diaphana]	Coturnix_japonica_XP_015703683.1 PREDICTED_ epidermal growth factor-like protein 6 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015716910.1 LOW QUALITY PROTEIN_ nephronectin [Coturnix japonica]
OG0000037	Exaiptasia_diaphana_XP_020907691.1 XP_020907691.1 transforming growth factor-beta-induced protein ig-h3 [Exaiptasia diaphana]	Coturnix_japonica_XP_015707407.1 periostin isoform X8 [Coturnix japonica], Coturnix_japonica_XP_015731386.1 transforming growth factor-beta-induced protein ig-h3 [Coturnix japonica]
OG0000038	Exaiptasia_diaphana_XP_028517223.1 XP_028517223.1 collagen alpha-1_XXV_ chain isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517222.1 XP_028517222.1 collagen alpha-1_XXV_ chain isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517220.1 XP_028517220.1 ectodysplasin-A isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517221.1 XP_028517221.1 ectodysplasin-A isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908768.1 XP_020908768.1 uncharacterized protein LOC110246748 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908885.1 XP_020908885.1 uncharacterized protein LOC110246841 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517224.1 XP_028517224.1 uncharacterized protein LOC110246841 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517225.1 XP_028517225.1 uncharacterized protein LOC110246747 [Exaiptasia diaphana]	Coturnix_japonica_XP_015734323.1 tumor necrosis factor ligand superfamily member 15 [Coturnix japonica], Coturnix_japonica_XP_015725223.1 PREDICTED_ tumor necrosis factor ligand superfamily member 6 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015707222.1 tumor necrosis factor ligand superfamily member 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015727439.1 tumor necrosis factor ligand superfamily member 10 isoform X1 [Coturnix japonica]
OG0000040	Exaiptasia_diaphana_XP_020903908.1 XP_020903908.1 uncharacterized protein LOC110242294 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903909.1 XP_020903909.1 uncharacterized protein LOC110242294 isoform X2 [Exaiptasia diaphana]	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]
OG0000041	Exaiptasia_diaphana_XP_020905592.1 XP_020905592.1 von Willebrand factor A domain-containing protein 5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513909.1 XP_028513909.1 uncharacterized protein LOC110235739 [Exaiptasia diaphana]	Coturnix_japonica_XP_015740894.1 PREDICTED_ LOW QUALITY PROTEIN_ von Willebrand factor A domain-containing protein 5A [Coturnix japonica]
OG0000041	Exaiptasia_diaphana_XP_020903341.1 XP_020903341.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903342.1 XP_020903342.1 von Willebrand factor A domain-containing protein 5B1 isoform X2 [Exaiptasia diaphana]	Coturnix_japonica_XP_015727259.1 von Willebrand factor A domain-containing protein 5B2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737811.1 von Willebrand factor A domain-containing protein 5B1 [Coturnix japonica]
OG0000044	Exaiptasia_diaphana_XP_028519449.1 XP_028519449.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916544.1 XP_020916544.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916593.1 XP_020916593.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana]	Coturnix_japonica_XP_015737318.1 protein-glutamine gamma-glutamyltransferase 2 [Coturnix japonica], Coturnix_japonica_XP_015736940.1 PREDICTED_ protein-glutamine gamma-glutamyltransferase E-like_ partial [Coturnix japonica], Coturnix_japonica_XP_015736972.1 protein-glutamine gamma-glutamyltransferase 6-like [Coturnix japonica], Coturnix_japonica_XP_015709680.1 protein-glutamine gamma-glutamyltransferase 4 [Coturnix japonica], Coturnix_japonica_XP_015710131.1 coagulation factor XIII A chain [Coturnix japonica]
OG0000045	Exaiptasia_diaphana_XP_028518553.1 XP_028518553.1 laminin subunit alpha [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519634.1 XP_028519634.1 laminin subunit alpha-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519624.1 XP_028519624.1 laminin subunit alpha_ partial [Exaiptasia diaphana]	Coturnix_japonica_XP_015710913.1 PREDICTED_ laminin subunit alpha-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015736975.1 laminin subunit alpha-5 isoform X3 [Coturnix japonica]
OG0000049	Exaiptasia_diaphana_XP_028518799.1 XP_028518799.1 plexin-A1 [Exaiptasia diaphana]	Coturnix_japonica_XP_015730469.1 plexin-A1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740621.1 PREDICTED_ plexin-A2 [Coturnix japonica], Coturnix_japonica_XP_015716725.1 plexin-A4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730724.1 plexin-B1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015708110.1 plexin-B2 [Coturnix japonica], Coturnix_japonica_XP_015730333.1 plexin-D1 [Coturnix japonica]
OG0000054	Exaiptasia_diaphana_XP_020910667.1 XP_020910667.1 erbin [Exaiptasia diaphana]	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]
OG0000059	Exaiptasia_diaphana_XP_028516633.1 XP_028516633.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906968.1 XP_020906968.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898886.1 XP_020898886.1 uncharacterized protein LOC110237624 [Exaiptasia diaphana]	Coturnix_japonica_XP_015740640.1 signal peptide_ CUB and EGF-like domain-containing protein 3 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015725419.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015719548.1 PREDICTED_ signal peptide_ CUB and EGF-like domain-containing protein 2 isoform X1 [Coturnix japonica]
OG0000063	Exaiptasia_diaphana_XP_020907250.1 XP_020907250.1 tiggy-winkle hedgehog protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907251.1 XP_020907251.1 tiggy-winkle hedgehog protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907252.1 XP_020907252.1 tiggy-winkle hedgehog protein isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907253.1 XP_020907253.1 tiggy-winkle hedgehog protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892909.1 XP_020892909.1 tiggy-winkle hedgehog protein [Exaiptasia diaphana]	Coturnix_japonica_XP_015708514.1 sonic hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015724713.1 indian hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015742402.1 desert hedgehog protein [Coturnix japonica]
OG0000064	Exaiptasia_diaphana_XP_028514695.1 XP_028514695.1 fibrillin-2-like [Exaiptasia diaphana]	Coturnix_japonica_XP_015742103.1 PREDICTED_ fibrillin-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705146.1 fibrillin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728443.1 fibrillin-1 isoform X1 [Coturnix japonica]
