Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Hydrozoa_Hydra_vulgaris
OG0000042	Xenia_spec_Xe_012350_T1 Xe_012350_T1 Xe_012350	Hydra_vulgaris_Sc4wPfr_708.g2575.t1 Sc4wPfr_708.g2575.t1, Hydra_vulgaris_Sc4wPfr_481.g31592.t1 Sc4wPfr_481.g31592.t1, Hydra_vulgaris_Sc4wPfr_481.g31592.t2 Sc4wPfr_481.g31592.t2, Hydra_vulgaris_Sc4wPfr_361.g20339.t1 Sc4wPfr_361.g20339.t1
OG0000042	Xenia_spec_Xe_020831_T1 Xe_020831_T1 Xe_020831, Xenia_spec_Xe_020822_T1 Xe_020822_T1 Xe_020822	Hydra_vulgaris_Sc4wPfr_14.g1872.t1 Sc4wPfr_14.g1872.t1
OG0000044	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377	Hydra_vulgaris_Sc4wPfr_1298.g6418.t1 Sc4wPfr_1298.g6418.t1
OG0000045	Xenia_spec_Xe_020060_T1 Xe_020060_T1 Xe_020060	Hydra_vulgaris_Sc4wPfr_301.g14000.t1 Sc4wPfr_301.g14000.t1
OG0000045	Xenia_spec_Xe_002601_T1 Xe_002601_T1 Xe_002601	Hydra_vulgaris_Sc4wPfr_14.g1743.t1 Sc4wPfr_14.g1743.t1
OG0000054	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386	Hydra_vulgaris_Sc4wPfr_1416.g33239.t1 Sc4wPfr_1416.g33239.t1
OG0000054	Xenia_spec_Xe_002676_T1 Xe_002676_T1 Xe_002676	Hydra_vulgaris_Sc4wPfr_78.g10420.t1 Sc4wPfr_78.g10420.t1
OG0000061	Xenia_spec_Xe_020705_T1 Xe_020705_T1 Xe_020705	Hydra_vulgaris_Sc4wPfr_417.3.g31939.t1 Sc4wPfr_417.3.g31939.t1
OG0000061	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790	Hydra_vulgaris_Sc4wPfr_48.g30203.t1 Sc4wPfr_48.g30203.t1
OG0000062	Xenia_spec_Xe_011999_T1 Xe_011999_T1 Xe_011999	Hydra_vulgaris_Sc4wPfr_724.g25412.t1 Sc4wPfr_724.g25412.t1, Hydra_vulgaris_Sc4wPfr_724.g25412.t2 Sc4wPfr_724.g25412.t2
OG0000064	Xenia_spec_Xe_002322_T1 Xe_002322_T1 Xe_002322	Hydra_vulgaris_Sc4wPfr_338.g25901.t1 Sc4wPfr_338.g25901.t1
OG0000069	Xenia_spec_Xe_015069_T1 Xe_015069_T1 Xe_015069, Xenia_spec_Xe_015069_T2 Xe_015069_T2 Xe_015069, Xenia_spec_Xe_019791_T1 Xe_019791_T1 Xe_019791	Hydra_vulgaris_Sc4wPfr_708.g2577.t1 Sc4wPfr_708.g2577.t1
OG0000073	Xenia_spec_Xe_001002_T1 Xe_001002_T1 Xe_001002, Xenia_spec_Xe_001017_T1 Xe_001017_T1 Xe_001017, Xenia_spec_Xe_001018_T1 Xe_001018_T1 Xe_001018, Xenia_spec_Xe_001020_T1 Xe_001020_T1 Xe_001020, Xenia_spec_Xe_001022_T1 Xe_001022_T1 Xe_001022, Xenia_spec_Xe_001024_T1 Xe_001024_T1 Xe_001024, Xenia_spec_Xe_020104_T1 Xe_020104_T1 Xe_020104, Xenia_spec_Xe_001000_T1 Xe_001000_T1 Xe_001000, Xenia_spec_Xe_000999_T1 Xe_000999_T1 Xe_000999, Xenia_spec_Xe_001025_T1 Xe_001025_T1 Xe_001025, Xenia_spec_Xe_000993_T1 Xe_000993_T1 Xe_000993, Xenia_spec_Xe_000995_T1 Xe_000995_T1 Xe_000995, Xenia_spec_Xe_000995_T2 Xe_000995_T2 Xe_000995, Xenia_spec_Xe_000996_T1 Xe_000996_T1 Xe_000996, Xenia_spec_Xe_000994_T2 Xe_000994_T2 Xe_000994, Xenia_spec_Xe_000994_T1 Xe_000994_T1 Xe_000994	Hydra_vulgaris_Sc4wPfr_446.g12585.t1 Sc4wPfr_446.g12585.t1
OG0000081	Xenia_spec_Xe_004317_T1 Xe_004317_T1 Xe_004317	Hydra_vulgaris_Sc4wPfr_196.1.g29669.t1 Sc4wPfr_196.1.g29669.t1
OG0000082	Xenia_spec_Xe_008177_T1 Xe_008177_T1 Xe_008177	Hydra_vulgaris_Sc4wPfr_396.1.g13876.t6 Sc4wPfr_396.1.g13876.t6, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t1 Sc4wPfr_396.1.g13876.t1, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t5 Sc4wPfr_396.1.g13876.t5, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t3 Sc4wPfr_396.1.g13876.t3, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t4 Sc4wPfr_396.1.g13876.t4, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t2 Sc4wPfr_396.1.g13876.t2
OG0000089	Xenia_spec_Xe_014721_T1 Xe_014721_T1 Xe_014721	Hydra_vulgaris_Sc4wPfr_811.1.g17345.t1 Sc4wPfr_811.1.g17345.t1
OG0000093	Xenia_spec_Xe_018469_T1 Xe_018469_T1 Xe_018469, Xenia_spec_Xe_020077_T1 Xe_020077_T1 Xe_020077, Xenia_spec_Xe_018297_T1 Xe_018297_T1 Xe_018297, Xenia_spec_Xe_018334_T1 Xe_018334_T1 Xe_018334, Xenia_spec_Xe_018335_T1 Xe_018335_T1 Xe_018335, Xenia_spec_Xe_018263_T1 Xe_018263_T1 Xe_018263	Hydra_vulgaris_Sc4wPfr_313.g17063.t1 Sc4wPfr_313.g17063.t1
OG0000094	Xenia_spec_Xe_014308_T1 Xe_014308_T1 Xe_014308	Hydra_vulgaris_Sc4wPfr_242.g27679.t1 Sc4wPfr_242.g27679.t1
OG0000100	Xenia_spec_Xe_006066_T1 Xe_006066_T1 Xe_006066	Hydra_vulgaris_Sc4wPfr_950.g24012.t2 Sc4wPfr_950.g24012.t2, Hydra_vulgaris_Sc4wPfr_950.g24012.t1 Sc4wPfr_950.g24012.t1
OG0000100	Xenia_spec_Xe_006067_T1 Xe_006067_T1 Xe_006067	Hydra_vulgaris_Sc4wPfr_811.g6452.t1 Sc4wPfr_811.g6452.t1
OG0000100	Xenia_spec_Xe_006064_T1 Xe_006064_T1 Xe_006064	Hydra_vulgaris_Sc4wPfr_177.1.g6209.t1 Sc4wPfr_177.1.g6209.t1
OG0000102	Xenia_spec_Xe_015831_T1 Xe_015831_T1 Xe_015831	Hydra_vulgaris_Sc4wPfr_1651.g14062.t1 Sc4wPfr_1651.g14062.t1, Hydra_vulgaris_Sc4wPfr_769.g16484.t1 Sc4wPfr_769.g16484.t1
OG0000106	Xenia_spec_Xe_017467_T1 Xe_017467_T1 Xe_017467, Xenia_spec_Xe_017483_T1 Xe_017483_T1 Xe_017483, Xenia_spec_Xe_017470_T1 Xe_017470_T1 Xe_017470, Xenia_spec_Xe_017492_T1 Xe_017492_T1 Xe_017492	Hydra_vulgaris_Sc4wPfr_780.g810.t1 Sc4wPfr_780.g810.t1, Hydra_vulgaris_Sc4wPfr_2382.g8795.t1 Sc4wPfr_2382.g8795.t1
OG0000111	Xenia_spec_Xe_018449_T1 Xe_018449_T1 Xe_018449	Hydra_vulgaris_Sc4wPfr_176.g26297.t1 Sc4wPfr_176.g26297.t1, Hydra_vulgaris_Sc4wPfr_938.g21243.t1 Sc4wPfr_938.g21243.t1
OG0000113	Xenia_spec_Xe_014684_T1 Xe_014684_T1 Xe_014684	Hydra_vulgaris_Sc4wPfr_231.1.g21567.t1 Sc4wPfr_231.1.g21567.t1
OG0000116	Xenia_spec_Xe_014990_T1 Xe_014990_T1 Xe_014990	Hydra_vulgaris_Sc4wPfr_875.1.g17139.t1 Sc4wPfr_875.1.g17139.t1
OG0000119	Xenia_spec_Xe_000603_T1 Xe_000603_T1 Xe_000603	Hydra_vulgaris_Sc4wPfr_272.g11398.t1 Sc4wPfr_272.g11398.t1
OG0000121	Xenia_spec_Xe_002883_T1 Xe_002883_T1 Xe_002883	Hydra_vulgaris_Sc4wPfr_484.g18389.t2 Sc4wPfr_484.g18389.t2, Hydra_vulgaris_Sc4wPfr_484.g18389.t1 Sc4wPfr_484.g18389.t1
OG0000129	Xenia_spec_Xe_000519_T1 Xe_000519_T1 Xe_000519	Hydra_vulgaris_Sc4wPfr_1761.g20580.t1 Sc4wPfr_1761.g20580.t1
OG0000131	Xenia_spec_Xe_012716_T1 Xe_012716_T1 Xe_012716	Hydra_vulgaris_Sc4wPfr_175.g6378.t1 Sc4wPfr_175.g6378.t1
OG0000133	Xenia_spec_Xe_002448_T1 Xe_002448_T1 Xe_002448	Hydra_vulgaris_Sc4wPfr_628.g32869.t1 Sc4wPfr_628.g32869.t1
OG0000134	Xenia_spec_Xe_007510_T1 Xe_007510_T1 Xe_007510	Hydra_vulgaris_Sc4wPfr_6.1.g610.t1 Sc4wPfr_6.1.g610.t1
OG0000147	Xenia_spec_Xe_010957_T1 Xe_010957_T1 Xe_010957, Xenia_spec_Xe_011005_T1 Xe_011005_T1 Xe_011005	Hydra_vulgaris_Sc4wPfr_44.g26893.t1 Sc4wPfr_44.g26893.t1
OG0000155	Xenia_spec_Xe_008535_T1 Xe_008535_T1 Xe_008535	Hydra_vulgaris_Sc4wPfr_950.g24008.t1 Sc4wPfr_950.g24008.t1, Hydra_vulgaris_Sc4wPfr_950.g24008.t2 Sc4wPfr_950.g24008.t2
OG0000158	Xenia_spec_Xe_004819_T1 Xe_004819_T1 Xe_004819	Hydra_vulgaris_Sc4wPfr_439.g20792.t1 Sc4wPfr_439.g20792.t1
OG0000160	Xenia_spec_Xe_004370_T1 Xe_004370_T1 Xe_004370	Hydra_vulgaris_Sc4wPfr_707.1.g4138.t1 Sc4wPfr_707.1.g4138.t1
OG0000165	Xenia_spec_Xe_014466_T1 Xe_014466_T1 Xe_014466	Hydra_vulgaris_Sc4wPfr_319.g27266.t1 Sc4wPfr_319.g27266.t1
OG0000167	Xenia_spec_Xe_009503_T2 Xe_009503_T2 Xe_009503, Xenia_spec_Xe_009503_T1 Xe_009503_T1 Xe_009503	Hydra_vulgaris_Sc4wPfr_488.g29956.t1 Sc4wPfr_488.g29956.t1
OG0000177	Xenia_spec_Xe_012642_T1 Xe_012642_T1 Xe_012642	Hydra_vulgaris_Sc4wPfr_309.g10792.t1 Sc4wPfr_309.g10792.t1
OG0000188	Xenia_spec_Xe_000226_T1 Xe_000226_T1 Xe_000226	Hydra_vulgaris_Sc4wPfr_135.g21804.t1 Sc4wPfr_135.g21804.t1, Hydra_vulgaris_Sc4wPfr_135.g21805.t1 Sc4wPfr_135.g21805.t1
OG0000192	Xenia_spec_Xe_016382_T1 Xe_016382_T1 Xe_016382	Hydra_vulgaris_Sc4wPfr_1298.g6413.t1 Sc4wPfr_1298.g6413.t1
OG0000193	Xenia_spec_Xe_008475_T1 Xe_008475_T1 Xe_008475	Hydra_vulgaris_Sc4wPfr_239.g21099.t1 Sc4wPfr_239.g21099.t1
OG0000195	Xenia_spec_Xe_009602_T1 Xe_009602_T1 Xe_009602	Hydra_vulgaris_Sc4wPfr_650.g22982.t1 Sc4wPfr_650.g22982.t1
OG0000197	Xenia_spec_Xe_007048_T1 Xe_007048_T1 Xe_007048	Hydra_vulgaris_Sc4wPfr_975.g7267.t1 Sc4wPfr_975.g7267.t1, Hydra_vulgaris_Sc4wPfr_975.g7267.t2 Sc4wPfr_975.g7267.t2
OG0000199	Xenia_spec_Xe_013084_T1 Xe_013084_T1 Xe_013084	Hydra_vulgaris_Sc4wPfr_289.1.g8519.t1 Sc4wPfr_289.1.g8519.t1
OG0000200	Xenia_spec_Xe_015525_T1 Xe_015525_T1 Xe_015525	Hydra_vulgaris_Sc4wPfr_259.g33644.t1 Sc4wPfr_259.g33644.t1
OG0000203	Xenia_spec_Xe_014757_T1 Xe_014757_T1 Xe_014757	Hydra_vulgaris_Sc4wPfr_347.g19265.t1 Sc4wPfr_347.g19265.t1
OG0000204	Xenia_spec_Xe_015988_T1 Xe_015988_T1 Xe_015988	Hydra_vulgaris_Sc4wPfr_351.g11274.t1 Sc4wPfr_351.g11274.t1
OG0000214	Xenia_spec_Xe_003060_T1 Xe_003060_T1 Xe_003060	Hydra_vulgaris_Sc4wPfr_356.g7060.t1 Sc4wPfr_356.g7060.t1
OG0000229	Xenia_spec_Xe_012336_T1 Xe_012336_T1 Xe_012336	Hydra_vulgaris_Sc4wPfr_287.2.g28207.t1 Sc4wPfr_287.2.g28207.t1
OG0000231	Xenia_spec_Xe_000375_T1 Xe_000375_T1 Xe_000375	Hydra_vulgaris_Sc4wPfr_117.g15494.t1 Sc4wPfr_117.g15494.t1, Hydra_vulgaris_Sc4wPfr_117.g15494.t2 Sc4wPfr_117.g15494.t2, Hydra_vulgaris_Sc4wPfr_117.g15494.t3 Sc4wPfr_117.g15494.t3
OG0000240	Xenia_spec_Xe_003918_T1 Xe_003918_T1 Xe_003918	Hydra_vulgaris_Sc4wPfr_555.g27178.t3 Sc4wPfr_555.g27178.t3, Hydra_vulgaris_Sc4wPfr_555.g27178.t2 Sc4wPfr_555.g27178.t2, Hydra_vulgaris_Sc4wPfr_555.g27178.t1 Sc4wPfr_555.g27178.t1
OG0000268	Xenia_spec_Xe_018600_T1 Xe_018600_T1 Xe_018600	Hydra_vulgaris_Sc4wPfr_304.2.g12739.t1 Sc4wPfr_304.2.g12739.t1
OG0000279	Xenia_spec_Xe_015936_T1 Xe_015936_T1 Xe_015936	Hydra_vulgaris_Sc4wPfr_760.g24146.t1 Sc4wPfr_760.g24146.t1
OG0000288	Xenia_spec_Xe_002020_T1 Xe_002020_T1 Xe_002020	Hydra_vulgaris_Sc4wPfr_1400.g6667.t1 Sc4wPfr_1400.g6667.t1, Hydra_vulgaris_Sc4wPfr_2727.g32000.t1 Sc4wPfr_2727.g32000.t1
OG0000303	Xenia_spec_Xe_013147_T1 Xe_013147_T1 Xe_013147, Xenia_spec_Xe_013893_T1 Xe_013893_T1 Xe_013893	Hydra_vulgaris_Sc4wPfr_398.1.g9801.t1 Sc4wPfr_398.1.g9801.t1
OG0000309	Xenia_spec_Xe_002052_T1 Xe_002052_T1 Xe_002052	Hydra_vulgaris_Sc4wPfr_1100.g15604.t1 Sc4wPfr_1100.g15604.t1
OG0000330	Xenia_spec_Xe_001209_T1 Xe_001209_T1 Xe_001209, Xenia_spec_Xe_009933_T1 Xe_009933_T1 Xe_009933	Hydra_vulgaris_Sc4wPfr_82.1.g28987.t1 Sc4wPfr_82.1.g28987.t1
OG0000365	Xenia_spec_Xe_020704_T1 Xe_020704_T1 Xe_020704	Hydra_vulgaris_Sc4wPfr_39.g20458.t1 Sc4wPfr_39.g20458.t1
OG0000375	Xenia_spec_Xe_002414_T1 Xe_002414_T1 Xe_002414	Hydra_vulgaris_Sc4wPfr_639.g22926.t1 Sc4wPfr_639.g22926.t1, Hydra_vulgaris_Sc4wPfr_639.g22926.t3 Sc4wPfr_639.g22926.t3, Hydra_vulgaris_Sc4wPfr_639.g22926.t2 Sc4wPfr_639.g22926.t2
OG0000434	Xenia_spec_Xe_004432_T1 Xe_004432_T1 Xe_004432	Hydra_vulgaris_Sc4wPfr_597.2.g14330.t1 Sc4wPfr_597.2.g14330.t1
OG0000439	Xenia_spec_Xe_002417_T1 Xe_002417_T1 Xe_002417	Hydra_vulgaris_Sc4wPfr_628.g32872.t1 Sc4wPfr_628.g32872.t1
OG0000463	Xenia_spec_Xe_010628_T1 Xe_010628_T1 Xe_010628	Hydra_vulgaris_Sc4wPfr_176.g26307.t1 Sc4wPfr_176.g26307.t1
OG0000609	Xenia_spec_Xe_014645_T1 Xe_014645_T1 Xe_014645	Hydra_vulgaris_Sc4wPfr_360.g26645.t1 Sc4wPfr_360.g26645.t1, Hydra_vulgaris_Sc4wPfr_360.g26645.t3 Sc4wPfr_360.g26645.t3, Hydra_vulgaris_Sc4wPfr_360.g26645.t2 Sc4wPfr_360.g26645.t2, Hydra_vulgaris_Sc4wPfr_2081.g25302.t1 Sc4wPfr_2081.g25302.t1, Hydra_vulgaris_Sc4wPfr_360.g26642.t1 Sc4wPfr_360.g26642.t1
OG0000715	Xenia_spec_Xe_019856_T1 Xe_019856_T1 Xe_019856	Hydra_vulgaris_Sc4wPfr_6.1.g604.t1 Sc4wPfr_6.1.g604.t1
