Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Chordata_Vertebrata_Homo_sapiens
OG0000044	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377	Homo_sapiens_sp_P21980_TGM2_HUMAN sp|P21980|TGM2_HUMAN Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2, Homo_sapiens_sp_Q08188_TGM3_HUMAN sp|Q08188|TGM3_HUMAN Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens OX=9606 GN=TGM3 PE=1 SV=4, Homo_sapiens_sp_O95932_TGM3L_HUMAN sp|O95932|TGM3L_HUMAN Protein-glutamine gamma-glutamyltransferase 6 OS=Homo sapiens OX=9606 GN=TGM6 PE=1 SV=3, Homo_sapiens_sp_Q96PF1_TGM7_HUMAN sp|Q96PF1|TGM7_HUMAN Protein-glutamine gamma-glutamyltransferase Z OS=Homo sapiens OX=9606 GN=TGM7 PE=1 SV=1, Homo_sapiens_sp_O43548_TGM5_HUMAN sp|O43548|TGM5_HUMAN Protein-glutamine gamma-glutamyltransferase 5 OS=Homo sapiens OX=9606 GN=TGM5 PE=1 SV=4, Homo_sapiens_sp_P49221_TGM4_HUMAN sp|P49221|TGM4_HUMAN Protein-glutamine gamma-glutamyltransferase 4 OS=Homo sapiens OX=9606 GN=TGM4 PE=1 SV=2
OG0000045	Xenia_spec_Xe_020060_T1 Xe_020060_T1 Xe_020060, Xenia_spec_Xe_002603_T1 Xe_002603_T1 Xe_002603	Homo_sapiens_sp_Q16787_LAMA3_HUMAN sp|Q16787|LAMA3_HUMAN Laminin subunit alpha-3 OS=Homo sapiens OX=9606 GN=LAMA3 PE=1 SV=3, Homo_sapiens_sp_O15230_LAMA5_HUMAN sp|O15230|LAMA5_HUMAN Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8
OG0000045	Xenia_spec_Xe_002601_T1 Xe_002601_T1 Xe_002601	Homo_sapiens_sp_Q16363_LAMA4_HUMAN sp|Q16363|LAMA4_HUMAN Laminin subunit alpha-4 OS=Homo sapiens OX=9606 GN=LAMA4 PE=1 SV=4
OG0000049	Xenia_spec_Xe_014133_T1 Xe_014133_T1 Xe_014133	Homo_sapiens_sp_Q9UIW2_PLXA1_HUMAN sp|Q9UIW2|PLXA1_HUMAN Plexin-A1 OS=Homo sapiens OX=9606 GN=PLXNA1 PE=1 SV=3, Homo_sapiens_sp_O75051_PLXA2_HUMAN sp|O75051|PLXA2_HUMAN Plexin-A2 OS=Homo sapiens OX=9606 GN=PLXNA2 PE=1 SV=4, Homo_sapiens_sp_Q9HCM2_PLXA4_HUMAN sp|Q9HCM2|PLXA4_HUMAN Plexin-A4 OS=Homo sapiens OX=9606 GN=PLXNA4 PE=1 SV=4, Homo_sapiens_sp_O43157_PLXB1_HUMAN sp|O43157|PLXB1_HUMAN Plexin-B1 OS=Homo sapiens OX=9606 GN=PLXNB1 PE=1 SV=3, Homo_sapiens_sp_Q9ULL4_PLXB3_HUMAN sp|Q9ULL4|PLXB3_HUMAN Plexin-B3 OS=Homo sapiens OX=9606 GN=PLXNB3 PE=1 SV=2, Homo_sapiens_sp_O15031_PLXB2_HUMAN sp|O15031|PLXB2_HUMAN Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3, Homo_sapiens_sp_Q9Y4D7_PLXD1_HUMAN sp|Q9Y4D7|PLXD1_HUMAN Plexin-D1 OS=Homo sapiens OX=9606 GN=PLXND1 PE=1 SV=3, Homo_sapiens_sp_O60486_PLXC1_HUMAN sp|O60486|PLXC1_HUMAN Plexin-C1 OS=Homo sapiens OX=9606 GN=PLXNC1 PE=1 SV=1
OG0000054	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386	Homo_sapiens_sp_Q14005_IL16_HUMAN sp|Q14005|IL16_HUMAN Pro-interleukin-16 OS=Homo sapiens OX=9606 GN=IL16 PE=1 SV=4
OG0000059	Xenia_spec_Xe_008324_T1 Xe_008324_T1 Xe_008324	Homo_sapiens_sp_Q8IX30_SCUB3_HUMAN sp|Q8IX30|SCUB3_HUMAN Signal peptide_ CUB and EGF-like domain-containing protein 3 OS=Homo sapiens OX=9606 GN=SCUBE3 PE=1 SV=1, Homo_sapiens_sp_Q8IWY4_SCUB1_HUMAN sp|Q8IWY4|SCUB1_HUMAN Signal peptide_ CUB and EGF-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SCUBE1 PE=1 SV=3, Homo_sapiens_sp_Q9NQ36_SCUB2_HUMAN sp|Q9NQ36|SCUB2_HUMAN Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SCUBE2 PE=1 SV=3
OG0000063	Xenia_spec_Xe_010055_T1 Xe_010055_T1 Xe_010055	Homo_sapiens_sp_Q15465_SHH_HUMAN sp|Q15465|SHH_HUMAN Sonic hedgehog protein OS=Homo sapiens OX=9606 GN=SHH PE=1 SV=1
OG0000064	Xenia_spec_Xe_002322_T1 Xe_002322_T1 Xe_002322	Homo_sapiens_sp_Q8N2S1_LTBP4_HUMAN sp|Q8N2S1|LTBP4_HUMAN Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens OX=9606 GN=LTBP4 PE=1 SV=2, Homo_sapiens_sp_Q14767_LTBP2_HUMAN sp|Q14767|LTBP2_HUMAN Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens OX=9606 GN=LTBP2 PE=1 SV=3, Homo_sapiens_sp_Q9NS15_LTBP3_HUMAN sp|Q9NS15|LTBP3_HUMAN Latent-transforming growth factor beta-binding protein 3 OS=Homo sapiens OX=9606 GN=LTBP3 PE=1 SV=4, Homo_sapiens_sp_Q14766_LTBP1_HUMAN sp|Q14766|LTBP1_HUMAN Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4, Homo_sapiens_sp_P35556_FBN2_HUMAN sp|P35556|FBN2_HUMAN Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3, Homo_sapiens_sp_Q75N90_FBN3_HUMAN sp|Q75N90|FBN3_HUMAN Fibrillin-3 OS=Homo sapiens OX=9606 GN=FBN3 PE=2 SV=3, Homo_sapiens_sp_P35555_FBN1_HUMAN sp|P35555|FBN1_HUMAN Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4
OG0000070	Xenia_spec_Xe_000193_T1 Xe_000193_T1 Xe_000193	Homo_sapiens_sp_P07202_PERT_HUMAN sp|P07202|PERT_HUMAN Thyroid peroxidase OS=Homo sapiens OX=9606 GN=TPO PE=1 SV=4, Homo_sapiens_sp_Q92626_PXDN_HUMAN sp|Q92626|PXDN_HUMAN Peroxidasin homolog OS=Homo sapiens OX=9606 GN=PXDN PE=1 SV=2, Homo_sapiens_sp_A1KZ92_PXDNL_HUMAN sp|A1KZ92|PXDNL_HUMAN Probable oxidoreductase PXDNL OS=Homo sapiens OX=9606 GN=PXDNL PE=1 SV=3
OG0000078	Xenia_spec_Xe_013236_T1 Xe_013236_T1 Xe_013236	Homo_sapiens_sp_P01037_CYTN_HUMAN sp|P01037|CYTN_HUMAN Cystatin-SN OS=Homo sapiens OX=9606 GN=CST1 PE=1 SV=3, Homo_sapiens_sp_P01034_CYTC_HUMAN sp|P01034|CYTC_HUMAN Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1, Homo_sapiens_sp_Q15828_CYTM_HUMAN sp|Q15828|CYTM_HUMAN Cystatin-M OS=Homo sapiens OX=9606 GN=CST6 PE=1 SV=1
OG0000081	Xenia_spec_Xe_004317_T1 Xe_004317_T1 Xe_004317	Homo_sapiens_sp_Q6UXH1_CREL2_HUMAN sp|Q6UXH1|CREL2_HUMAN Protein disulfide isomerase CRELD2 OS=Homo sapiens OX=9606 GN=CRELD2 PE=1 SV=1, Homo_sapiens_sp_Q96HD1_CREL1_HUMAN sp|Q96HD1|CREL1_HUMAN Protein disulfide isomerase CRELD1 OS=Homo sapiens OX=9606 GN=CRELD1 PE=1 SV=3
OG0000083	Xenia_spec_Xe_012872_T2 Xe_012872_T2 Xe_012872, Xenia_spec_Xe_012872_T1 Xe_012872_T1 Xe_012872	Homo_sapiens_sp_Q12891_HYAL2_HUMAN sp|Q12891|HYAL2_HUMAN Hyaluronidase-2 OS=Homo sapiens OX=9606 GN=HYAL2 PE=1 SV=4
OG0000088	Xenia_spec_Xe_008756_T1 Xe_008756_T1 Xe_008756	Homo_sapiens_sp_Q9BUD6_SPON2_HUMAN sp|Q9BUD6|SPON2_HUMAN Spondin-2 OS=Homo sapiens OX=9606 GN=SPON2 PE=1 SV=4, Homo_sapiens_sp_Q9HCB6_SPON1_HUMAN sp|Q9HCB6|SPON1_HUMAN Spondin-1 OS=Homo sapiens OX=9606 GN=SPON1 PE=1 SV=2
OG0000089	Xenia_spec_Xe_014721_T1 Xe_014721_T1 Xe_014721	Homo_sapiens_sp_Q9BU40_CRDL1_HUMAN sp|Q9BU40|CRDL1_HUMAN Chordin-like protein 1 OS=Homo sapiens OX=9606 GN=CHRDL1 PE=1 SV=2, Homo_sapiens_sp_Q6WN34_CRDL2_HUMAN sp|Q6WN34|CRDL2_HUMAN Chordin-like protein 2 OS=Homo sapiens OX=9606 GN=CHRDL2 PE=1 SV=1
OG0000093	Xenia_spec_Xe_018469_T1 Xe_018469_T1 Xe_018469, Xenia_spec_Xe_020077_T1 Xe_020077_T1 Xe_020077, Xenia_spec_Xe_018297_T1 Xe_018297_T1 Xe_018297, Xenia_spec_Xe_018334_T1 Xe_018334_T1 Xe_018334, Xenia_spec_Xe_018335_T1 Xe_018335_T1 Xe_018335, Xenia_spec_Xe_018263_T1 Xe_018263_T1 Xe_018263	Homo_sapiens_sp_P01040_CYTA_HUMAN sp|P01040|CYTA_HUMAN Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1, Homo_sapiens_sp_P04080_CYTB_HUMAN sp|P04080|CYTB_HUMAN Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2
OG0000102	Xenia_spec_Xe_015831_T1 Xe_015831_T1 Xe_015831	Homo_sapiens_sp_P23142_FBLN1_HUMAN sp|P23142|FBLN1_HUMAN Fibulin-1 OS=Homo sapiens OX=9606 GN=FBLN1 PE=1 SV=4, Homo_sapiens_sp_Q9UBX5_FBLN5_HUMAN sp|Q9UBX5|FBLN5_HUMAN Fibulin-5 OS=Homo sapiens OX=9606 GN=FBLN5 PE=1 SV=1, Homo_sapiens_sp_O95967_FBLN4_HUMAN sp|O95967|FBLN4_HUMAN EGF-containing fibulin-like extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=EFEMP2 PE=1 SV=3, Homo_sapiens_sp_Q12805_FBLN3_HUMAN sp|Q12805|FBLN3_HUMAN EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=EFEMP1 PE=1 SV=2
OG0000114	Xenia_spec_Xe_015898_T1 Xe_015898_T1 Xe_015898	Homo_sapiens_sp_Q9Y5Z7_HCFC2_HUMAN sp|Q9Y5Z7|HCFC2_HUMAN Host cell factor 2 OS=Homo sapiens OX=9606 GN=HCFC2 PE=1 SV=1
OG0000150	Xenia_spec_Xe_007831_T1 Xe_007831_T1 Xe_007831	Homo_sapiens_sp_Q9BXP8_PAPP2_HUMAN sp|Q9BXP8|PAPP2_HUMAN Pappalysin-2 OS=Homo sapiens OX=9606 GN=PAPPA2 PE=1 SV=4, Homo_sapiens_sp_Q13219_PAPP1_HUMAN sp|Q13219|PAPP1_HUMAN Pappalysin-1 OS=Homo sapiens OX=9606 GN=PAPPA PE=1 SV=3
OG0000158	Xenia_spec_Xe_010642_T1 Xe_010642_T1 Xe_010642, Xenia_spec_Xe_016401_T1 Xe_016401_T1 Xe_016401, Xenia_spec_Xe_016396_T1 Xe_016396_T1 Xe_016396	Homo_sapiens_sp_Q8IVN8_SBSPO_HUMAN sp|Q8IVN8|SBSPO_HUMAN Somatomedin-B and thrombospondin type-1 domain-containing protein OS=Homo sapiens OX=9606 GN=SBSPON PE=1 SV=2
OG0000182	Xenia_spec_Xe_018472_T1 Xe_018472_T1 Xe_018472, Xenia_spec_Xe_018473_T1 Xe_018473_T1 Xe_018473	Homo_sapiens_sp_A6NCI4_VWA3A_HUMAN sp|A6NCI4|VWA3A_HUMAN von Willebrand factor A domain-containing protein 3A OS=Homo sapiens OX=9606 GN=VWA3A PE=2 SV=3
OG0000200	Xenia_spec_Xe_015525_T1 Xe_015525_T1 Xe_015525	Homo_sapiens_sp_Q502W6_VWA3B_HUMAN sp|Q502W6|VWA3B_HUMAN von Willebrand factor A domain-containing protein 3B OS=Homo sapiens OX=9606 GN=VWA3B PE=1 SV=3
OG0000214	Xenia_spec_Xe_003060_T1 Xe_003060_T1 Xe_003060	Homo_sapiens_sp_Q96SY0_INT14_HUMAN sp|Q96SY0|INT14_HUMAN Integrator complex subunit 14 OS=Homo sapiens OX=9606 GN=INTS14 PE=1 SV=2
OG0000268	Xenia_spec_Xe_018600_T1 Xe_018600_T1 Xe_018600	Homo_sapiens_sp_Q8IUI8_CRLF3_HUMAN sp|Q8IUI8|CRLF3_HUMAN Cytokine receptor-like factor 3 OS=Homo sapiens OX=9606 GN=CRLF3 PE=1 SV=2
