Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000016	Xenia_spec_Xe_012247_T1 Xe_012247_T1 Xe_012247, Xenia_spec_Xe_012248_T1 Xe_012248_T1 Xe_012248	Stylophora_pistillata_Spis5859 Spis5859 SpisGene5859, Stylophora_pistillata_Spis5860 Spis5860 SpisGene5860, Stylophora_pistillata_Spis5852 Spis5852 SpisGene5852
OG0000016	Xenia_spec_Xe_012246_T1 Xe_012246_T1 Xe_012246	Stylophora_pistillata_Spis5856 Spis5856 SpisGene5856, Stylophora_pistillata_Spis5855 Spis5855 SpisGene5855, Stylophora_pistillata_Spis5853.t1 Spis5853.t1 SpisGene5853, Stylophora_pistillata_Spis5854 Spis5854 SpisGene5854, Stylophora_pistillata_Spis5827 Spis5827 SpisGene5827, Stylophora_pistillata_Spis5858 Spis5858 SpisGene5858, Stylophora_pistillata_Spis5857 Spis5857 SpisGene5857, Stylophora_pistillata_Spis5851 Spis5851 SpisGene5851
OG0000016	Xenia_spec_Xe_012705_T1 Xe_012705_T1 Xe_012705	Stylophora_pistillata_Spis18465 Spis18465 SpisGene18465, Stylophora_pistillata_Spis5570 Spis5570 SpisGene5570, Stylophora_pistillata_Spis5569 Spis5569 SpisGene5569, Stylophora_pistillata_Spis5572 Spis5572 SpisGene5572, Stylophora_pistillata_Spis5561 Spis5561 SpisGene5561
OG0000018	Xenia_spec_Xe_013913_T1 Xe_013913_T1 Xe_013913, Xenia_spec_Xe_013934_T1 Xe_013934_T1 Xe_013934	Stylophora_pistillata_Spis5446 Spis5446 SpisGene5446, Stylophora_pistillata_Spis5444 Spis5444 SpisGene5444, Stylophora_pistillata_Spis5445 Spis5445 SpisGene5445
OG0000018	Xenia_spec_Xe_009686_T1 Xe_009686_T1 Xe_009686, Xenia_spec_Xe_009691_T1 Xe_009691_T1 Xe_009691, Xenia_spec_Xe_010129_T1 Xe_010129_T1 Xe_010129, Xenia_spec_Xe_010158_T1 Xe_010158_T1 Xe_010158, Xenia_spec_Xe_006051_T1 Xe_006051_T1 Xe_006051, Xenia_spec_Xe_010156_T1 Xe_010156_T1 Xe_010156, Xenia_spec_Xe_010159_T1 Xe_010159_T1 Xe_010159, Xenia_spec_Xe_010157_T1 Xe_010157_T1 Xe_010157, Xenia_spec_Xe_002016_T1 Xe_002016_T1 Xe_002016	Stylophora_pistillata_Spis23534 Spis23534 SpisGene23534, Stylophora_pistillata_Spis15395 Spis15395 SpisGene15395
OG0000018	Xenia_spec_Xe_013911_T1 Xe_013911_T1 Xe_013911	Stylophora_pistillata_Spis2803 Spis2803 SpisGene2803, Stylophora_pistillata_Spis18446 Spis18446 SpisGene18446, Stylophora_pistillata_Spis18450 Spis18450 SpisGene18450, Stylophora_pistillata_Spis6249 Spis6249 SpisGene6249, Stylophora_pistillata_Spis6248 Spis6248 SpisGene6248, Stylophora_pistillata_Spis24408 Spis24408 SpisGene24408
OG0000018	Xenia_spec_Xe_005091_T1 Xe_005091_T1 Xe_005091	Stylophora_pistillata_Spis18453 Spis18453 SpisGene18453, Stylophora_pistillata_Spis14524 Spis14524 SpisGene14524, Stylophora_pistillata_Spis18452 Spis18452 SpisGene18452
OG0000018	Xenia_spec_Xe_004831_T1 Xe_004831_T1 Xe_004831	Stylophora_pistillata_Spis17286.t1 Spis17286.t1 SpisGene17286, Stylophora_pistillata_Spis11637 Spis11637 SpisGene11637
OG0000019	Xenia_spec_Xe_014972_T1 Xe_014972_T1 Xe_014972	Stylophora_pistillata_Spis21490 Spis21490 SpisGene21490
OG0000019	Xenia_spec_Xe_001366_T1 Xe_001366_T1 Xe_001366	Stylophora_pistillata_Spis16254 Spis16254 SpisGene16254
OG0000019	Xenia_spec_Xe_002372_T1 Xe_002372_T1 Xe_002372, Xenia_spec_Xe_002371_T1 Xe_002371_T1 Xe_002371	Stylophora_pistillata_Spis20402 Spis20402 SpisGene20402
OG0000019	Xenia_spec_Xe_000961_T1 Xe_000961_T1 Xe_000961, Xenia_spec_Xe_000961_T2 Xe_000961_T2 Xe_000961	Stylophora_pistillata_Spis4504 Spis4504 SpisGene4504
OG0000019	Xenia_spec_Xe_002679_T1 Xe_002679_T1 Xe_002679	Stylophora_pistillata_Spis8182.t1 Spis8182.t1 SpisGene8182
OG0000020	Xenia_spec_Xe_008243_T1 Xe_008243_T1 Xe_008243	Stylophora_pistillata_Spis11483 Spis11483 SpisGene11483
OG0000020	Xenia_spec_Xe_009290_T1 Xe_009290_T1 Xe_009290	Stylophora_pistillata_Spis1905 Spis1905 SpisGene1905
OG0000020	Xenia_spec_Xe_009738_T1 Xe_009738_T1 Xe_009738, Xenia_spec_Xe_010176_T1 Xe_010176_T1 Xe_010176, Xenia_spec_Xe_009677_T1 Xe_009677_T1 Xe_009677	Stylophora_pistillata_Spis2741 Spis2741 SpisGene2741, Stylophora_pistillata_Spis2737 Spis2737 SpisGene2737, Stylophora_pistillata_Spis14939 Spis14939 SpisGene14939
OG0000020	Xenia_spec_Xe_001362_T1 Xe_001362_T1 Xe_001362, Xenia_spec_Xe_009975_T1 Xe_009975_T1 Xe_009975, Xenia_spec_Xe_009974_T1 Xe_009974_T1 Xe_009974	Stylophora_pistillata_Spis2751 Spis2751 SpisGene2751
OG0000020	Xenia_spec_Xe_007912_T2 Xe_007912_T2 Xe_007912, Xenia_spec_Xe_007912_T1 Xe_007912_T1 Xe_007912	Stylophora_pistillata_Spis14195 Spis14195 SpisGene14195, Stylophora_pistillata_Spis3249 Spis3249 SpisGene3249
OG0000021	Xenia_spec_Xe_012353_T1 Xe_012353_T1 Xe_012353	Stylophora_pistillata_Spis9526 Spis9526 SpisGene9526
OG0000021	Xenia_spec_Xe_008104_T1 Xe_008104_T1 Xe_008104	Stylophora_pistillata_Spis15200 Spis15200 SpisGene15200
OG0000021	Xenia_spec_Xe_007982_T1 Xe_007982_T1 Xe_007982	Stylophora_pistillata_Spis24714 Spis24714 SpisGene24714
OG0000022	Xenia_spec_Xe_008122_T1 Xe_008122_T1 Xe_008122	Stylophora_pistillata_Spis3665 Spis3665 SpisGene3665
OG0000023	Xenia_spec_Xe_013551_T1 Xe_013551_T1 Xe_013551, Xenia_spec_Xe_013537_T1 Xe_013537_T1 Xe_013537	Stylophora_pistillata_Spis8398 Spis8398 SpisGene8398
OG0000024	Xenia_spec_Xe_015864_T1 Xe_015864_T1 Xe_015864	Stylophora_pistillata_Spis20024 Spis20024 SpisGene20024
OG0000024	Xenia_spec_Xe_015637_T1 Xe_015637_T1 Xe_015637	Stylophora_pistillata_Spis13991 Spis13991 SpisGene13991
OG0000026	Xenia_spec_Xe_012042_T1 Xe_012042_T1 Xe_012042	Stylophora_pistillata_Spis25149 Spis25149 SpisGene25149
OG0000027	Xenia_spec_Xe_010141_T1 Xe_010141_T1 Xe_010141	Stylophora_pistillata_Spis15917 Spis15917 SpisGene15917
OG0000028	Xenia_spec_Xe_014296_T1 Xe_014296_T1 Xe_014296	Stylophora_pistillata_Spis2632 Spis2632 SpisGene2632
OG0000028	Xenia_spec_Xe_014297_T1 Xe_014297_T1 Xe_014297	Stylophora_pistillata_Spis2634 Spis2634 SpisGene2634
OG0000029	Xenia_spec_Xe_005745_T1 Xe_005745_T1 Xe_005745	Stylophora_pistillata_Spis14460 Spis14460 SpisGene14460, Stylophora_pistillata_Spis14294 Spis14294 SpisGene14294
OG0000029	Xenia_spec_Xe_009791_T1 Xe_009791_T1 Xe_009791	Stylophora_pistillata_Spis1889 Spis1889 SpisGene1889
OG0000029	Xenia_spec_Xe_009789_T1 Xe_009789_T1 Xe_009789	Stylophora_pistillata_Spis22508 Spis22508 SpisGene22508
OG0000030	Xenia_spec_Xe_002453_T1 Xe_002453_T1 Xe_002453	Stylophora_pistillata_Spis8205 Spis8205 SpisGene8205
OG0000030	Xenia_spec_Xe_020361_T1 Xe_020361_T1 Xe_020361, Xenia_spec_Xe_020374_T1 Xe_020374_T1 Xe_020374	Stylophora_pistillata_Spis14458 Spis14458 SpisGene14458
OG0000030	Xenia_spec_Xe_008808_T1 Xe_008808_T1 Xe_008808, Xenia_spec_Xe_008342_T1 Xe_008342_T1 Xe_008342	Stylophora_pistillata_Spis18004 Spis18004 SpisGene18004
OG0000030	Xenia_spec_Xe_002964_T2 Xe_002964_T2 Xe_002964, Xenia_spec_Xe_002964_T1 Xe_002964_T1 Xe_002964, Xenia_spec_Xe_002964_T3 Xe_002964_T3 Xe_002964, Xenia_spec_Xe_002964_T4 Xe_002964_T4 Xe_002964	Stylophora_pistillata_Spis138 Spis138 SpisGene138
OG0000031	Xenia_spec_Xe_001203_T1 Xe_001203_T1 Xe_001203	Stylophora_pistillata_Spis23070 Spis23070 SpisGene23070, Stylophora_pistillata_Spis19043 Spis19043 SpisGene19043, Stylophora_pistillata_Spis20792 Spis20792 SpisGene20792, Stylophora_pistillata_Spis19038 Spis19038 SpisGene19038, Stylophora_pistillata_Spis21002 Spis21002 SpisGene21002, Stylophora_pistillata_Spis19044 Spis19044 SpisGene19044, Stylophora_pistillata_Spis19041 Spis19041 SpisGene19041, Stylophora_pistillata_Spis7686 Spis7686 SpisGene7686, Stylophora_pistillata_Spis23887 Spis23887 SpisGene23887, Stylophora_pistillata_Spis16653 Spis16653 SpisGene16653
OG0000033	Xenia_spec_Xe_009545_T1 Xe_009545_T1 Xe_009545, Xenia_spec_Xe_009552_T1 Xe_009552_T1 Xe_009552, Xenia_spec_Xe_009447_T1 Xe_009447_T1 Xe_009447, Xenia_spec_Xe_009467_T1 Xe_009467_T1 Xe_009467, Xenia_spec_Xe_009470_T2 Xe_009470_T2 Xe_009470, Xenia_spec_Xe_009470_T1 Xe_009470_T1 Xe_009470, Xenia_spec_Xe_009458_T1 Xe_009458_T1 Xe_009458, Xenia_spec_Xe_009454_T1 Xe_009454_T1 Xe_009454, Xenia_spec_Xe_009450_T1 Xe_009450_T1 Xe_009450, Xenia_spec_Xe_009466_T1 Xe_009466_T1 Xe_009466, Xenia_spec_Xe_009546_T1 Xe_009546_T1 Xe_009546, Xenia_spec_Xe_009448_T1 Xe_009448_T1 Xe_009448, Xenia_spec_Xe_018287_T1 Xe_018287_T1 Xe_018287, Xenia_spec_Xe_018285_T1 Xe_018285_T1 Xe_018285	Stylophora_pistillata_Spis22124 Spis22124 SpisGene22124
OG0000034	Xenia_spec_Xe_013993_T1 Xe_013993_T1 Xe_013993	Stylophora_pistillata_Spis8934.t1 Spis8934.t1 SpisGene8934, Stylophora_pistillata_Spis9650 Spis9650 SpisGene9650
OG0000034	Xenia_spec_Xe_014074_T1 Xe_014074_T1 Xe_014074, Xenia_spec_Xe_014072_T1 Xe_014072_T1 Xe_014072	Stylophora_pistillata_Spis1480 Spis1480 SpisGene1480
OG0000035	Xenia_spec_Xe_008542_T1 Xe_008542_T1 Xe_008542, Xenia_spec_Xe_008540_T1 Xe_008540_T1 Xe_008540	Stylophora_pistillata_Spis3601 Spis3601 SpisGene3601
OG0000035	Xenia_spec_Xe_009250_T1 Xe_009250_T1 Xe_009250	Stylophora_pistillata_Spis12182 Spis12182 SpisGene12182, Stylophora_pistillata_Spis12651 Spis12651 SpisGene12651, Stylophora_pistillata_Spis13909 Spis13909 SpisGene13909, Stylophora_pistillata_Spis7427 Spis7427 SpisGene7427, Stylophora_pistillata_Spis23000 Spis23000 SpisGene23000, Stylophora_pistillata_Spis4780.t1 Spis4780.t1 SpisGene4780, Stylophora_pistillata_Spis23218 Spis23218 SpisGene23218, Stylophora_pistillata_Spis4434 Spis4434 SpisGene4434, Stylophora_pistillata_Spis2013 Spis2013 SpisGene2013, Stylophora_pistillata_Spis2018 Spis2018 SpisGene2018, Stylophora_pistillata_Spis2012 Spis2012 SpisGene2012, Stylophora_pistillata_Spis2002 Spis2002 SpisGene2002
OG0000036	Xenia_spec_Xe_012812_T1 Xe_012812_T1 Xe_012812	Stylophora_pistillata_Spis6171 Spis6171 SpisGene6171
OG0000036	Xenia_spec_Xe_004446_T1 Xe_004446_T1 Xe_004446	Stylophora_pistillata_Spis4440 Spis4440 SpisGene4440
OG0000037	Xenia_spec_Xe_014976_T1 Xe_014976_T1 Xe_014976, Xenia_spec_Xe_014975_T1 Xe_014975_T1 Xe_014975, Xenia_spec_Xe_014974_T1 Xe_014974_T1 Xe_014974	Stylophora_pistillata_Spis13601 Spis13601 SpisGene13601
OG0000038	Xenia_spec_Xe_014048_T1 Xe_014048_T1 Xe_014048, Xenia_spec_Xe_014047_T1 Xe_014047_T1 Xe_014047, Xenia_spec_Xe_014050_T1 Xe_014050_T1 Xe_014050, Xenia_spec_Xe_014051_T1 Xe_014051_T1 Xe_014051, Xenia_spec_Xe_014049_T1 Xe_014049_T1 Xe_014049	Stylophora_pistillata_Spis14083 Spis14083 SpisGene14083, Stylophora_pistillata_Spis9907 Spis9907 SpisGene9907, Stylophora_pistillata_Spis9906 Spis9906 SpisGene9906, Stylophora_pistillata_Spis9905 Spis9905 SpisGene9905, Stylophora_pistillata_Spis15286 Spis15286 SpisGene15286, Stylophora_pistillata_Spis1158 Spis1158 SpisGene1158, Stylophora_pistillata_Spis1157 Spis1157 SpisGene1157, Stylophora_pistillata_Spis1160 Spis1160 SpisGene1160, Stylophora_pistillata_Spis1159 Spis1159 SpisGene1159, Stylophora_pistillata_Spis1161 Spis1161 SpisGene1161, Stylophora_pistillata_Spis1162 Spis1162 SpisGene1162
OG0000038	Xenia_spec_Xe_014606_T1 Xe_014606_T1 Xe_014606	Stylophora_pistillata_Spis16667 Spis16667 SpisGene16667
OG0000039	Xenia_spec_Xe_001980_T1 Xe_001980_T1 Xe_001980, Xenia_spec_Xe_015792_T1 Xe_015792_T1 Xe_015792	Stylophora_pistillata_Spis15611 Spis15611 SpisGene15611, Stylophora_pistillata_Spis15606 Spis15606 SpisGene15606, Stylophora_pistillata_Spis15608 Spis15608 SpisGene15608
OG0000039	Xenia_spec_Xe_001991_T1 Xe_001991_T1 Xe_001991, Xenia_spec_Xe_015795_T1 Xe_015795_T1 Xe_015795	Stylophora_pistillata_Spis15609 Spis15609 SpisGene15609, Stylophora_pistillata_Spis15605 Spis15605 SpisGene15605, Stylophora_pistillata_Spis15613 Spis15613 SpisGene15613
OG0000039	Xenia_spec_Xe_010089_T1 Xe_010089_T1 Xe_010089	Stylophora_pistillata_Spis6627 Spis6627 SpisGene6627, Stylophora_pistillata_Spis25772.Novel Spis25772.Novel SpisGene25772.Novel
OG0000040	Xenia_spec_Xe_014394_T1 Xe_014394_T1 Xe_014394	Stylophora_pistillata_Spis10335 Spis10335 SpisGene10335
OG0000040	Xenia_spec_Xe_008627_T1 Xe_008627_T1 Xe_008627	Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214
OG0000041	Xenia_spec_Xe_005440_T1 Xe_005440_T1 Xe_005440, Xenia_spec_Xe_005437_T1 Xe_005437_T1 Xe_005437, Xenia_spec_Xe_005431_T1 Xe_005431_T1 Xe_005431, Xenia_spec_Xe_005447_T1 Xe_005447_T1 Xe_005447, Xenia_spec_Xe_005456_T1 Xe_005456_T1 Xe_005456, Xenia_spec_Xe_005470_T1 Xe_005470_T1 Xe_005470, Xenia_spec_Xe_005444_T1 Xe_005444_T1 Xe_005444, Xenia_spec_Xe_005450_T1 Xe_005450_T1 Xe_005450, Xenia_spec_Xe_005434_T1 Xe_005434_T1 Xe_005434, Xenia_spec_Xe_005453_T1 Xe_005453_T1 Xe_005453, Xenia_spec_Xe_005472_T1 Xe_005472_T1 Xe_005472, Xenia_spec_Xe_005471_T1 Xe_005471_T1 Xe_005471, Xenia_spec_Xe_005454_T1 Xe_005454_T1 Xe_005454	Stylophora_pistillata_Spis2408 Spis2408 SpisGene2408
OG0000041	Xenia_spec_Xe_012595_T1 Xe_012595_T1 Xe_012595	Stylophora_pistillata_Spis15631 Spis15631 SpisGene15631
OG0000042	Xenia_spec_Xe_012350_T1 Xe_012350_T1 Xe_012350	Stylophora_pistillata_Spis2347 Spis2347 SpisGene2347
OG0000042	Xenia_spec_Xe_020831_T1 Xe_020831_T1 Xe_020831, Xenia_spec_Xe_020822_T1 Xe_020822_T1 Xe_020822	Stylophora_pistillata_Spis15181 Spis15181 SpisGene15181, Stylophora_pistillata_Spis15182 Spis15182 SpisGene15182
OG0000044	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377	Stylophora_pistillata_Spis4982 Spis4982 SpisGene4982, Stylophora_pistillata_Spis20352 Spis20352 SpisGene20352, Stylophora_pistillata_Spis4987 Spis4987 SpisGene4987
OG0000045	Xenia_spec_Xe_020060_T1 Xe_020060_T1 Xe_020060	Stylophora_pistillata_Spis7390 Spis7390 SpisGene7390
OG0000047	Xenia_spec_Xe_015330_T1 Xe_015330_T1 Xe_015330, Xenia_spec_Xe_015331_T1 Xe_015331_T1 Xe_015331, Xenia_spec_Xe_015337_T1 Xe_015337_T1 Xe_015337, Xenia_spec_Xe_015332_T1 Xe_015332_T1 Xe_015332, Xenia_spec_Xe_015336_T1 Xe_015336_T1 Xe_015336	Stylophora_pistillata_Spis8993 Spis8993 SpisGene8993
OG0000049	Xenia_spec_Xe_014133_T1 Xe_014133_T1 Xe_014133	Stylophora_pistillata_Spis6729 Spis6729 SpisGene6729
OG0000051	Xenia_spec_Xe_014313_T1 Xe_014313_T1 Xe_014313	Stylophora_pistillata_Spis5233 Spis5233 SpisGene5233
OG0000051	Xenia_spec_Xe_016324_T2 Xe_016324_T2 Xe_016324, Xenia_spec_Xe_016324_T1 Xe_016324_T1 Xe_016324	Stylophora_pistillata_Spis18649 Spis18649 SpisGene18649
OG0000053	Xenia_spec_Xe_017104_T1 Xe_017104_T1 Xe_017104	Stylophora_pistillata_Spis13170 Spis13170 SpisGene13170, Stylophora_pistillata_Spis17904 Spis17904 SpisGene17904, Stylophora_pistillata_Spis16422 Spis16422 SpisGene16422
OG0000054	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386	Stylophora_pistillata_Spis4424.t3 Spis4424.t3 SpisGene4424
OG0000054	Xenia_spec_Xe_002676_T1 Xe_002676_T1 Xe_002676	Stylophora_pistillata_Spis725 Spis725 SpisGene725
OG0000058	Xenia_spec_Xe_008100_T1 Xe_008100_T1 Xe_008100	Stylophora_pistillata_Spis23576 Spis23576 SpisGene23576, Stylophora_pistillata_Spis21562 Spis21562 SpisGene21562, Stylophora_pistillata_Spis19455 Spis19455 SpisGene19455
OG0000059	Xenia_spec_Xe_008324_T1 Xe_008324_T1 Xe_008324	Stylophora_pistillata_Spis16037 Spis16037 SpisGene16037
OG0000061	Xenia_spec_Xe_020705_T1 Xe_020705_T1 Xe_020705	Stylophora_pistillata_Spis17364 Spis17364 SpisGene17364
OG0000061	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790	Stylophora_pistillata_Spis5917.t1 Spis5917.t1 SpisGene5917
OG0000062	Xenia_spec_Xe_011999_T1 Xe_011999_T1 Xe_011999	Stylophora_pistillata_Spis8967.t1 Spis8967.t1 SpisGene8967
OG0000062	Xenia_spec_Xe_011884_T1 Xe_011884_T1 Xe_011884	Stylophora_pistillata_Spis8963.t1 Spis8963.t1 SpisGene8963, Stylophora_pistillata_Spis10067 Spis10067 SpisGene10067
OG0000063	Xenia_spec_Xe_010055_T1 Xe_010055_T1 Xe_010055	Stylophora_pistillata_Spis5904 Spis5904 SpisGene5904, Stylophora_pistillata_Spis15269 Spis15269 SpisGene15269
OG0000064	Xenia_spec_Xe_002322_T1 Xe_002322_T1 Xe_002322	Stylophora_pistillata_Spis3364 Spis3364 SpisGene3364
OG0000065	Xenia_spec_Xe_015613_T1 Xe_015613_T1 Xe_015613	Stylophora_pistillata_Spis8479 Spis8479 SpisGene8479
OG0000069	Xenia_spec_Xe_015069_T1 Xe_015069_T1 Xe_015069, Xenia_spec_Xe_015069_T2 Xe_015069_T2 Xe_015069, Xenia_spec_Xe_019791_T1 Xe_019791_T1 Xe_019791	Stylophora_pistillata_Spis22731 Spis22731 SpisGene22731, Stylophora_pistillata_Spis11333 Spis11333 SpisGene11333, Stylophora_pistillata_Spis7045 Spis7045 SpisGene7045, Stylophora_pistillata_Spis21849 Spis21849 SpisGene21849, Stylophora_pistillata_Spis24123 Spis24123 SpisGene24123, Stylophora_pistillata_Spis22316 Spis22316 SpisGene22316, Stylophora_pistillata_Spis24705 Spis24705 SpisGene24705, Stylophora_pistillata_Spis24903 Spis24903 SpisGene24903, Stylophora_pistillata_Spis14320 Spis14320 SpisGene14320, Stylophora_pistillata_Spis9519 Spis9519 SpisGene9519, Stylophora_pistillata_Spis24665 Spis24665 SpisGene24665, Stylophora_pistillata_Spis12933 Spis12933 SpisGene12933, Stylophora_pistillata_Spis7044 Spis7044 SpisGene7044, Stylophora_pistillata_Spis7047 Spis7047 SpisGene7047, Stylophora_pistillata_Spis22899 Spis22899 SpisGene22899, Stylophora_pistillata_Spis19443 Spis19443 SpisGene19443, Stylophora_pistillata_Spis22314 Spis22314 SpisGene22314, Stylophora_pistillata_Spis22764 Spis22764 SpisGene22764, Stylophora_pistillata_Spis24397 Spis24397 SpisGene24397, Stylophora_pistillata_Spis11671 Spis11671 SpisGene11671, Stylophora_pistillata_Spis12417 Spis12417 SpisGene12417, Stylophora_pistillata_Spis19447 Spis19447 SpisGene19447, Stylophora_pistillata_Spis12939 Spis12939 SpisGene12939, Stylophora_pistillata_Spis12934 Spis12934 SpisGene12934, Stylophora_pistillata_Spis12937 Spis12937 SpisGene12937, Stylophora_pistillata_Spis12932 Spis12932 SpisGene12932, Stylophora_pistillata_Spis12924 Spis12924 SpisGene12924, Stylophora_pistillata_Spis23302 Spis23302 SpisGene23302, Stylophora_pistillata_Spis9296 Spis9296 SpisGene9296, Stylophora_pistillata_Spis21630 Spis21630 SpisGene21630, Stylophora_pistillata_Spis3740 Spis3740 SpisGene3740, Stylophora_pistillata_Spis19715 Spis19715 SpisGene19715, Stylophora_pistillata_Spis20573 Spis20573 SpisGene20573, Stylophora_pistillata_Spis18593 Spis18593 SpisGene18593, Stylophora_pistillata_Spis20574 Spis20574 SpisGene20574, Stylophora_pistillata_Spis20575 Spis20575 SpisGene20575, Stylophora_pistillata_Spis23141 Spis23141 SpisGene23141, Stylophora_pistillata_Spis23144 Spis23144 SpisGene23144, Stylophora_pistillata_Spis22534 Spis22534 SpisGene22534, Stylophora_pistillata_Spis18603 Spis18603 SpisGene18603, Stylophora_pistillata_Spis9517 Spis9517 SpisGene9517, Stylophora_pistillata_Spis23908 Spis23908 SpisGene23908
OG0000070	Xenia_spec_Xe_012561_T1 Xe_012561_T1 Xe_012561	Stylophora_pistillata_Spis16314 Spis16314 SpisGene16314
OG0000070	Xenia_spec_Xe_000193_T1 Xe_000193_T1 Xe_000193	Stylophora_pistillata_Spis14637 Spis14637 SpisGene14637
OG0000073	Xenia_spec_Xe_001002_T1 Xe_001002_T1 Xe_001002, Xenia_spec_Xe_001017_T1 Xe_001017_T1 Xe_001017, Xenia_spec_Xe_001018_T1 Xe_001018_T1 Xe_001018, Xenia_spec_Xe_001020_T1 Xe_001020_T1 Xe_001020, Xenia_spec_Xe_001022_T1 Xe_001022_T1 Xe_001022, Xenia_spec_Xe_001024_T1 Xe_001024_T1 Xe_001024, Xenia_spec_Xe_020104_T1 Xe_020104_T1 Xe_020104, Xenia_spec_Xe_001000_T1 Xe_001000_T1 Xe_001000, Xenia_spec_Xe_000999_T1 Xe_000999_T1 Xe_000999, Xenia_spec_Xe_001025_T1 Xe_001025_T1 Xe_001025, Xenia_spec_Xe_000993_T1 Xe_000993_T1 Xe_000993, Xenia_spec_Xe_000995_T1 Xe_000995_T1 Xe_000995, Xenia_spec_Xe_000995_T2 Xe_000995_T2 Xe_000995, Xenia_spec_Xe_000996_T1 Xe_000996_T1 Xe_000996, Xenia_spec_Xe_000994_T2 Xe_000994_T2 Xe_000994, Xenia_spec_Xe_000994_T1 Xe_000994_T1 Xe_000994	Stylophora_pistillata_Spis12509 Spis12509 SpisGene12509, Stylophora_pistillata_Spis12512 Spis12512 SpisGene12512, Stylophora_pistillata_Spis12511 Spis12511 SpisGene12511, Stylophora_pistillata_Spis12510 Spis12510 SpisGene12510
OG0000078	Xenia_spec_Xe_013237_T1 Xe_013237_T1 Xe_013237	Stylophora_pistillata_Spis15244 Spis15244 SpisGene15244
