Orthogroup	Cnidaria_Anthozoa_Xenia_spec	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000042	Xenia_spec_Xe_012350_T1 Xe_012350_T1 Xe_012350	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein, Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein, Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein
OG0000042	Xenia_spec_Xe_020831_T1 Xe_020831_T1 Xe_020831, Xenia_spec_Xe_020822_T1 Xe_020822_T1 Xe_020822	Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein
OG0000044	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein
OG0000045	Xenia_spec_Xe_020060_T1 Xe_020060_T1 Xe_020060	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein
OG0000045	Xenia_spec_Xe_002601_T1 Xe_002601_T1 Xe_002601	Clytia_hemispherica_TCONS_00036447-protein TCONS_00036447-protein, Clytia_hemispherica_TCONS_00064868-protein TCONS_00064868-protein, Clytia_hemispherica_TCONS_00064836-protein TCONS_00064836-protein, Clytia_hemispherica_TCONS_00043175-protein TCONS_00043175-protein
OG0000046	Xenia_spec_Xe_014826_T1 Xe_014826_T1 Xe_014826	Clytia_hemispherica_TCONS_00050883-protein TCONS_00050883-protein, Clytia_hemispherica_TCONS_00065761-protein TCONS_00065761-protein, Clytia_hemispherica_TCONS_00072914-protein TCONS_00072914-protein, Clytia_hemispherica_TCONS_00003192-protein TCONS_00003192-protein, Clytia_hemispherica_TCONS_00000570-protein TCONS_00000570-protein, Clytia_hemispherica_TCONS_00043112-protein TCONS_00043112-protein, Clytia_hemispherica_TCONS_00043709-protein TCONS_00043709-protein
OG0000049	Xenia_spec_Xe_014133_T1 Xe_014133_T1 Xe_014133	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein
OG0000053	Xenia_spec_Xe_017104_T1 Xe_017104_T1 Xe_017104	Clytia_hemispherica_TCONS_00069010-protein TCONS_00069010-protein
OG0000054	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein
OG0000054	Xenia_spec_Xe_002676_T1 Xe_002676_T1 Xe_002676	Clytia_hemispherica_TCONS_00036167-protein TCONS_00036167-protein
OG0000061	Xenia_spec_Xe_020705_T1 Xe_020705_T1 Xe_020705	Clytia_hemispherica_TCONS_00050243-protein TCONS_00050243-protein
OG0000061	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790	Clytia_hemispherica_TCONS_00002099-protein TCONS_00002099-protein, Clytia_hemispherica_TCONS_00005277-protein TCONS_00005277-protein, Clytia_hemispherica_TCONS_00040450-protein TCONS_00040450-protein, Clytia_hemispherica_TCONS_00005276-protein TCONS_00005276-protein
OG0000062	Xenia_spec_Xe_011999_T1 Xe_011999_T1 Xe_011999	Clytia_hemispherica_TCONS_00052771-protein TCONS_00052771-protein, Clytia_hemispherica_TCONS_00023638-protein TCONS_00023638-protein
OG0000062	Xenia_spec_Xe_011964_T1 Xe_011964_T1 Xe_011964	Clytia_hemispherica_TCONS_00007562-protein TCONS_00007562-protein
OG0000063	Xenia_spec_Xe_010055_T1 Xe_010055_T1 Xe_010055	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein
OG0000064	Xenia_spec_Xe_002322_T1 Xe_002322_T1 Xe_002322	Clytia_hemispherica_TCONS_00067933-protein TCONS_00067933-protein, Clytia_hemispherica_TCONS_00067923-protein TCONS_00067923-protein
OG0000070	Xenia_spec_Xe_000193_T1 Xe_000193_T1 Xe_000193	Clytia_hemispherica_TCONS_00021784-protein TCONS_00021784-protein
OG0000081	Xenia_spec_Xe_004317_T1 Xe_004317_T1 Xe_004317	Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein
OG0000082	Xenia_spec_Xe_008177_T1 Xe_008177_T1 Xe_008177	Clytia_hemispherica_TCONS_00001201-protein TCONS_00001201-protein
OG0000086	Xenia_spec_Xe_017482_T1 Xe_017482_T1 Xe_017482, Xenia_spec_Xe_017484_T2 Xe_017484_T2 Xe_017484, Xenia_spec_Xe_017484_T1 Xe_017484_T1 Xe_017484	Clytia_hemispherica_TCONS_00039485-protein TCONS_00039485-protein, Clytia_hemispherica_TCONS_00061995-protein TCONS_00061995-protein, Clytia_hemispherica_TCONS_00068191-protein TCONS_00068191-protein
OG0000087	Xenia_spec_Xe_004782_T1 Xe_004782_T1 Xe_004782	Clytia_hemispherica_TCONS_00024126-protein TCONS_00024126-protein
OG0000089	Xenia_spec_Xe_014721_T1 Xe_014721_T1 Xe_014721	Clytia_hemispherica_TCONS_00004749-protein TCONS_00004749-protein
OG0000094	Xenia_spec_Xe_014308_T1 Xe_014308_T1 Xe_014308	Clytia_hemispherica_TCONS_00019291-protein TCONS_00019291-protein
OG0000099	Xenia_spec_Xe_014903_T1 Xe_014903_T1 Xe_014903, Xenia_spec_Xe_002440_T1 Xe_002440_T1 Xe_002440, Xenia_spec_Xe_003140_T1 Xe_003140_T1 Xe_003140, Xenia_spec_Xe_001885_T1 Xe_001885_T1 Xe_001885	Clytia_hemispherica_TCONS_00015994-protein TCONS_00015994-protein, Clytia_hemispherica_TCONS_00016000-protein TCONS_00016000-protein, Clytia_hemispherica_TCONS_00015967-protein TCONS_00015967-protein
OG0000100	Xenia_spec_Xe_006066_T1 Xe_006066_T1 Xe_006066	Clytia_hemispherica_TCONS_00062227-protein TCONS_00062227-protein
OG0000100	Xenia_spec_Xe_006067_T1 Xe_006067_T1 Xe_006067	Clytia_hemispherica_TCONS_00062230-protein TCONS_00062230-protein
OG0000100	Xenia_spec_Xe_006064_T1 Xe_006064_T1 Xe_006064	Clytia_hemispherica_TCONS_00024080-protein TCONS_00024080-protein
OG0000103	Xenia_spec_Xe_009673_T1 Xe_009673_T1 Xe_009673	Clytia_hemispherica_TCONS_00012064-protein TCONS_00012064-protein
OG0000106	Xenia_spec_Xe_017467_T1 Xe_017467_T1 Xe_017467, Xenia_spec_Xe_017483_T1 Xe_017483_T1 Xe_017483, Xenia_spec_Xe_017470_T1 Xe_017470_T1 Xe_017470, Xenia_spec_Xe_017492_T1 Xe_017492_T1 Xe_017492	Clytia_hemispherica_TCONS_00050547-protein TCONS_00050547-protein, Clytia_hemispherica_TCONS_00050544-protein TCONS_00050544-protein, Clytia_hemispherica_TCONS_00034674-protein TCONS_00034674-protein, Clytia_hemispherica_TCONS_00024961-protein TCONS_00024961-protein, Clytia_hemispherica_TCONS_00037516-protein TCONS_00037516-protein, Clytia_hemispherica_TCONS_00015172-protein TCONS_00015172-protein
OG0000111	Xenia_spec_Xe_018449_T1 Xe_018449_T1 Xe_018449	Clytia_hemispherica_TCONS_00064231-protein TCONS_00064231-protein
OG0000113	Xenia_spec_Xe_014684_T1 Xe_014684_T1 Xe_014684	Clytia_hemispherica_TCONS_00049955-protein TCONS_00049955-protein
OG0000116	Xenia_spec_Xe_014990_T1 Xe_014990_T1 Xe_014990	Clytia_hemispherica_TCONS_00053845-protein TCONS_00053845-protein
OG0000119	Xenia_spec_Xe_000603_T1 Xe_000603_T1 Xe_000603	Clytia_hemispherica_TCONS_00020107-protein TCONS_00020107-protein
OG0000121	Xenia_spec_Xe_002883_T1 Xe_002883_T1 Xe_002883	Clytia_hemispherica_TCONS_00000040-protein TCONS_00000040-protein
OG0000131	Xenia_spec_Xe_012716_T1 Xe_012716_T1 Xe_012716	Clytia_hemispherica_TCONS_00002425-protein TCONS_00002425-protein, Clytia_hemispherica_TCONS_00002495-protein TCONS_00002495-protein
OG0000133	Xenia_spec_Xe_002448_T1 Xe_002448_T1 Xe_002448	Clytia_hemispherica_TCONS_00000171-protein TCONS_00000171-protein
OG0000150	Xenia_spec_Xe_007831_T1 Xe_007831_T1 Xe_007831	Clytia_hemispherica_TCONS_00003726-protein TCONS_00003726-protein
OG0000158	Xenia_spec_Xe_010642_T1 Xe_010642_T1 Xe_010642, Xenia_spec_Xe_016401_T1 Xe_016401_T1 Xe_016401, Xenia_spec_Xe_016396_T1 Xe_016396_T1 Xe_016396	Clytia_hemispherica_TCONS_00064843-protein TCONS_00064843-protein
OG0000158	Xenia_spec_Xe_004819_T1 Xe_004819_T1 Xe_004819	Clytia_hemispherica_TCONS_00065605-protein TCONS_00065605-protein
OG0000160	Xenia_spec_Xe_004370_T1 Xe_004370_T1 Xe_004370	Clytia_hemispherica_TCONS_00064739-protein TCONS_00064739-protein, Clytia_hemispherica_TCONS_00024235-protein TCONS_00024235-protein
OG0000177	Xenia_spec_Xe_012642_T1 Xe_012642_T1 Xe_012642	Clytia_hemispherica_TCONS_00003500-protein TCONS_00003500-protein
OG0000182	Xenia_spec_Xe_018472_T1 Xe_018472_T1 Xe_018472	Clytia_hemispherica_TCONS_00059231-protein TCONS_00059231-protein
OG0000183	Xenia_spec_Xe_013382_T1 Xe_013382_T1 Xe_013382, Xenia_spec_Xe_013357_T1 Xe_013357_T1 Xe_013357	Clytia_hemispherica_TCONS_00070802-protein TCONS_00070802-protein, Clytia_hemispherica_TCONS_00014443-protein TCONS_00014443-protein, Clytia_hemispherica_TCONS_00073484-protein TCONS_00073484-protein, Clytia_hemispherica_TCONS_00003100-protein TCONS_00003100-protein, Clytia_hemispherica_TCONS_00032399-protein TCONS_00032399-protein, Clytia_hemispherica_TCONS_00027079-protein TCONS_00027079-protein
OG0000187	Xenia_spec_Xe_005860_T1 Xe_005860_T1 Xe_005860, Xenia_spec_Xe_005930_T1 Xe_005930_T1 Xe_005930	Clytia_hemispherica_TCONS_00003206-protein TCONS_00003206-protein
OG0000188	Xenia_spec_Xe_000226_T1 Xe_000226_T1 Xe_000226	Clytia_hemispherica_TCONS_00060278-protein TCONS_00060278-protein, Clytia_hemispherica_TCONS_00060280-protein TCONS_00060280-protein
OG0000192	Xenia_spec_Xe_016382_T1 Xe_016382_T1 Xe_016382	Clytia_hemispherica_TCONS_00014937-protein TCONS_00014937-protein
OG0000193	Xenia_spec_Xe_008475_T1 Xe_008475_T1 Xe_008475	Clytia_hemispherica_TCONS_00053692-protein TCONS_00053692-protein
OG0000195	Xenia_spec_Xe_009602_T1 Xe_009602_T1 Xe_009602	Clytia_hemispherica_TCONS_00066994-protein TCONS_00066994-protein
OG0000197	Xenia_spec_Xe_007048_T1 Xe_007048_T1 Xe_007048	Clytia_hemispherica_TCONS_00051925-protein TCONS_00051925-protein
OG0000199	Xenia_spec_Xe_013084_T1 Xe_013084_T1 Xe_013084	Clytia_hemispherica_TCONS_00047808-protein TCONS_00047808-protein
OG0000200	Xenia_spec_Xe_015525_T1 Xe_015525_T1 Xe_015525	Clytia_hemispherica_TCONS_00023146-protein TCONS_00023146-protein
OG0000201	Xenia_spec_Xe_003238_T1 Xe_003238_T1 Xe_003238	Clytia_hemispherica_TCONS_00051608-protein TCONS_00051608-protein
OG0000203	Xenia_spec_Xe_014757_T1 Xe_014757_T1 Xe_014757	Clytia_hemispherica_TCONS_00002252-protein TCONS_00002252-protein
OG0000204	Xenia_spec_Xe_015988_T1 Xe_015988_T1 Xe_015988	Clytia_hemispherica_TCONS_00063679-protein TCONS_00063679-protein
OG0000210	Xenia_spec_Xe_014129_T1 Xe_014129_T1 Xe_014129	Clytia_hemispherica_TCONS_00052810-protein TCONS_00052810-protein
OG0000211	Xenia_spec_Xe_009004_T2 Xe_009004_T2 Xe_009004, Xenia_spec_Xe_009004_T1 Xe_009004_T1 Xe_009004	Clytia_hemispherica_TCONS_00064022-protein TCONS_00064022-protein
OG0000213	Xenia_spec_Xe_007490_T1 Xe_007490_T1 Xe_007490	Clytia_hemispherica_TCONS_00007329-protein TCONS_00007329-protein
OG0000231	Xenia_spec_Xe_000375_T1 Xe_000375_T1 Xe_000375	Clytia_hemispherica_TCONS_00061987-protein TCONS_00061987-protein
OG0000237	Xenia_spec_Xe_014192_T1 Xe_014192_T1 Xe_014192	Clytia_hemispherica_TCONS_00028314-protein TCONS_00028314-protein
OG0000248	Xenia_spec_Xe_002388_T1 Xe_002388_T1 Xe_002388	Clytia_hemispherica_TCONS_00073674-protein TCONS_00073674-protein
OG0000286	Xenia_spec_Xe_006853_T1 Xe_006853_T1 Xe_006853, Xenia_spec_Xe_005192_T1 Xe_005192_T1 Xe_005192, Xenia_spec_Xe_011406_T1 Xe_011406_T1 Xe_011406	Clytia_hemispherica_TCONS_00061110-protein TCONS_00061110-protein
OG0000288	Xenia_spec_Xe_002020_T1 Xe_002020_T1 Xe_002020	Clytia_hemispherica_TCONS_00007150-protein TCONS_00007150-protein, Clytia_hemispherica_TCONS_00007144-protein TCONS_00007144-protein
OG0000303	Xenia_spec_Xe_013147_T1 Xe_013147_T1 Xe_013147, Xenia_spec_Xe_013893_T1 Xe_013893_T1 Xe_013893	Clytia_hemispherica_TCONS_00065051-protein TCONS_00065051-protein
OG0000309	Xenia_spec_Xe_002052_T1 Xe_002052_T1 Xe_002052	Clytia_hemispherica_TCONS_00026216-protein TCONS_00026216-protein
OG0000330	Xenia_spec_Xe_001209_T1 Xe_001209_T1 Xe_001209, Xenia_spec_Xe_009933_T1 Xe_009933_T1 Xe_009933	Clytia_hemispherica_TCONS_00068879-protein TCONS_00068879-protein
OG0000349	Xenia_spec_Xe_018605_T1 Xe_018605_T1 Xe_018605	Clytia_hemispherica_TCONS_00070117-protein TCONS_00070117-protein
OG0000375	Xenia_spec_Xe_002414_T1 Xe_002414_T1 Xe_002414	Clytia_hemispherica_TCONS_00013702-protein TCONS_00013702-protein
OG0000439	Xenia_spec_Xe_002417_T1 Xe_002417_T1 Xe_002417	Clytia_hemispherica_TCONS_00009709-protein TCONS_00009709-protein
OG0000463	Xenia_spec_Xe_010628_T1 Xe_010628_T1 Xe_010628	Clytia_hemispherica_TCONS_00022780-protein TCONS_00022780-protein
OG0000482	Xenia_spec_Xe_008217_T1 Xe_008217_T1 Xe_008217	Clytia_hemispherica_TCONS_00072325-protein TCONS_00072325-protein
OG0000560	Xenia_spec_Xe_019748_T1 Xe_019748_T1 Xe_019748	Clytia_hemispherica_TCONS_00051700-protein TCONS_00051700-protein, Clytia_hemispherica_TCONS_00030314-protein TCONS_00030314-protein
OG0000719	Xenia_spec_Xe_014765_T2 Xe_014765_T2 Xe_014765, Xenia_spec_Xe_009786_T1 Xe_009786_T1 Xe_009786	Clytia_hemispherica_TCONS_00004031-protein TCONS_00004031-protein
