Orthogroup	Placozoa_Trichoplacidae_Tricoplax_adhaerens	Chordata_Vertebrata_Coturnix_japonica
OG0000081	Tricoplax_adhaerens_tr_B3SC70_B3SC70_TRIAD tr_B3SC70_B3SC70_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61862 PE=4 SV=1	Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica], Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica]
OG0000088	Tricoplax_adhaerens_tr_B3SC37_B3SC37_TRIAD tr_B3SC37_B3SC37_TRIAD Spondin domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61837 PE=4 SV=1	Coturnix_japonica_XP_015718401.1 spondin-2 [Coturnix japonica], Coturnix_japonica_XP_015719003.1 PREDICTED_ spondin-1 [Coturnix japonica]
OG0000089	Tricoplax_adhaerens_tr_B3RM16_B3RM16_TRIAD tr_B3RM16_B3RM16_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52199 PE=4 SV=1	Coturnix_japonica_XP_015716178.1 chordin-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015708156.1 PREDICTED_ chordin-like protein 2 isoform X1 [Coturnix japonica]
OG0000114	Tricoplax_adhaerens_tr_B3RXZ8_B3RXZ8_TRIAD tr_B3RXZ8_B3RXZ8_TRIAD Fibronectin type-III domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_16582 PE=4 SV=1	Coturnix_japonica_XP_015719754.1 host cell factor 2 isoform X2 [Coturnix japonica]
OG0000150	Tricoplax_adhaerens_tr_B3RPD5_B3RPD5_TRIAD tr_B3RPD5_B3RPD5_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53495 PE=4 SV=1	Coturnix_japonica_XP_015725032.1 pappalysin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015734233.1 PREDICTED_ pappalysin-1 isoform X2 [Coturnix japonica]
OG0000156	Tricoplax_adhaerens_tr_B3RLM2_B3RLM2_TRIAD tr_B3RLM2_B3RLM2_TRIAD MFAP1 domain-containing protein _Fragment_ OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_7634 PE=3 SV=1	Coturnix_japonica_XP_015728918.1 microfibrillar-associated protein 1 [Coturnix japonica]
OG0000171	Tricoplax_adhaerens_tr_B3RRV6_B3RRV6_TRIAD tr_B3RRV6_B3RRV6_TRIAD Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_22754 PE=3 SV=1	Coturnix_japonica_XP_015709459.1 PREDICTED_ peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Coturnix japonica]
OG0000182	Tricoplax_adhaerens_tr_B3RMX3_B3RMX3_TRIAD tr_B3RMX3_B3RMX3_TRIAD VWFA domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52959 PE=4 SV=1, Tricoplax_adhaerens_tr_B3RMX2_B3RMX2_TRIAD tr_B3RMX2_B3RMX2_TRIAD VWFA domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_52958 PE=4 SV=1	Coturnix_japonica_XP_015732559.1 von Willebrand factor A domain-containing protein 3A [Coturnix japonica]
OG0000200	Tricoplax_adhaerens_tr_B3RXW6_B3RXW6_TRIAD tr_B3RXW6_B3RXW6_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_56355 PE=4 SV=1	Coturnix_japonica_XP_015706466.1 PREDICTED_ von Willebrand factor A domain-containing protein 3B isoform X4 [Coturnix japonica]
OG0000268	Tricoplax_adhaerens_tr_B3RPS4_B3RPS4_TRIAD tr_B3RPS4_B3RPS4_TRIAD Fibronectin type-III domain-containing protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_53645 PE=4 SV=1	Coturnix_japonica_XP_015735107.1 cytokine receptor-like factor 3 [Coturnix japonica]
OG0000348	Tricoplax_adhaerens_tr_B3RI43_B3RI43_TRIAD tr_B3RI43_B3RI43_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_51260 PE=4 SV=1	Coturnix_japonica_XP_015740364.1 nyctalopin [Coturnix japonica]
OG0000392	Tricoplax_adhaerens_tr_B3SCM4_B3SCM4_TRIAD tr_B3SCM4_B3SCM4_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_62028 PE=4 SV=1	Coturnix_japonica_XP_015716328.1 PREDICTED_ chondroadherin-like protein [Coturnix japonica]
