Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000007	Porites_asteroides_isotig32557 isotig32557 extracted_CDS GOMatch=C3YMT1 GOTerms=GO_0007160 Gene=Alpha-tectorin-like_protein_ Match_Acc=B2XBP1 gene=isogroup30825 length=123 numContigs=1	Morbakka_virulenta_scaffold44.g74.t1 scaffold44.g74.t1
OG0000007	Porites_asteroides_isotig10912 isotig10912 extracted_CDS GOMatch=A7RVK5 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup09180 length=627 numContigs=1	Morbakka_virulenta_scaffold27.g28.t1 scaffold27.g28.t1
OG0000008	Porites_asteroides_isotig12837 isotig12837 extracted_CDS GOMatch=A7SNM7 GOTerms=GO_0005509 Gene=Fibropellin-1_ Match_Acc=P10079 gene=isogroup11105 length=546 numContigs=1	Morbakka_virulenta_scaffold100.g41.t1 scaffold100.g41.t1
OG0000008	Porites_asteroides_isotig31229 isotig31229 extracted_CDS GOMatch=A0MZ89 GOTerms=GO_0005509 Gene=Notch_1_protein_ Match_Acc=Q8K428 gene=isogroup29497 length=184 numContigs=1	Morbakka_virulenta_scaffold37.g88.t1 scaffold37.g88.t1
OG0000008	Porites_asteroides_isotig18731 isotig18731 extracted_CDS GOMatch=A7SQA8 GOTerms=GO_0005509 Gene=Neurogenic_locus_notch_protein_homolog_ Match_Acc=P21783 gene=isogroup16999 length=411 numContigs=1	Morbakka_virulenta_scaffold70.g38.t1 scaffold70.g38.t1
OG0000008	Porites_asteroides_isotig08480 isotig08480 extracted_CDS GOMatch=A7SR73 GOTerms=GO_0005509 Gene=Foot_protein_2_ Match_Acc=Q1XBT6 gene=isogroup06748 length=751 numContigs=1	Morbakka_virulenta_scaffold100.g35.t1 scaffold100.g35.t1
OG0000008	Porites_asteroides_isotig09309 isotig09309 extracted_CDS GOMatch=C3YZ65 GOTerms=GO_0005044_GO_0005164_GO_0005509_GO_0006955_GO_0016020 gene=isogroup07577 length=707 numContigs=1	Morbakka_virulenta_scaffold100.g39.t1 scaffold100.g39.t1, Morbakka_virulenta_scaffold100.g37.t2 scaffold100.g37.t2, Morbakka_virulenta_scaffold100.g37.t1 scaffold100.g37.t1, Morbakka_virulenta_scaffold100.g34.t4 scaffold100.g34.t4, Morbakka_virulenta_scaffold100.g34.t1 scaffold100.g34.t1, Morbakka_virulenta_scaffold100.g34.t2 scaffold100.g34.t2, Morbakka_virulenta_scaffold100.g34.t3 scaffold100.g34.t3
OG0000008	Porites_asteroides_isotig10868 isotig10868 extracted_CDS GOMatch=A7SNQ1 GOTerms=GO_0005509 Gene=Delta_ Match_Acc=B4QTE8 gene=isogroup09136 length=627 numContigs=1	Morbakka_virulenta_scaffold35.g73.t1 scaffold35.g73.t1
OG0000009	Porites_asteroides_isotig01235 isotig01235 extracted_CDS GOMatch=B9X085 GOTerms=GO_0003824_GO_0004252_GO_0005529_GO_0006508_GO_0008233 Gene=Mannose-binding_lectin_associated_serine_protease_ Match_Acc=B9X085 gene=isogroup00450 length=1223 numContigs=2	Morbakka_virulenta_scaffold30.g63.t1 scaffold30.g63.t1
OG0000009	Porites_asteroides_isotig22198 isotig22198 extracted_CDS GOMatch=Q4T392 GOTerms=GO_0005509 Gene=Subfamily_M12A_unassigned_peptidase__M12_family__ Match_Acc=C4Q3C1 gene=isogroup20466 length=369 numContigs=1, Porites_asteroides_isotig28996 isotig28996 extracted_CDS GOMatch=Q4SHD4 GOTerms=GO_0003824_GO_0004252_GO_0006508 Gene=Neuropilin-2a1_receptor_ Match_Acc=Q8UVR0 gene=isogroup27264 length=257 numContigs=1	Morbakka_virulenta_scaffold2220.g1.t1 scaffold2220.g1.t1
OG0000009	Porites_asteroides_isotig24840 isotig24840 extracted_CDS gene=isogroup23108 length=334 numContigs=1, Porites_asteroides_isotig21218 isotig21218 extracted_CDS GOMatch=B3RPJ1 GOTerms=GO_0005509 Gene=CUB_domain_containing_protein_ Match_Acc=A8Q353 gene=isogroup19486 length=381 numContigs=1, Porites_asteroides_isotig01223 isotig01223 extracted_CDS GOMatch=Q9PVY2 GOTerms=GO_0003824_GO_0004252_GO_0005509_GO_0005529_GO_0006508_GO_0008233 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q7Z407 gene=isogroup00444 length=1315 numContigs=2, Porites_asteroides_isotig01222 isotig01222 extracted_CDS GOMatch=D2A2S8 GOTerms=GO_0003723_GO_0003725_GO_0005509_GO_0005622 Gene=Cubilin_ Match_Acc=Q9TU53 gene=isogroup00444 length=1536 numContigs=2, Porites_asteroides_isotig15963 isotig15963 extracted_CDS gene=isogroup14231 length=460 numContigs=1, Porites_asteroides_isotig01287 isotig01287 extracted_CDS GOMatch=D2H5M1 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Tolloid-like_protein_2_ Match_Acc=Q9Y6L7 gene=isogroup00476 length=848 numContigs=2, Porites_asteroides_isotig01286 isotig01286 extracted_CDS GOMatch=B3RPJ1 GOTerms=GO_0005509 Gene=Tolloid-like_protein_2_ Match_Acc=Q9WVM6 gene=isogroup00476 length=1768 numContigs=2, Porites_asteroides_isotig26964 isotig26964 extracted_CDS GOMatch=Q4A3R3 GOTerms=GO_0005044_GO_0005576_GO_0006810_GO_0007275_GO_0015031_GO_0016020_GO_0016021_GO_0019898_GO_0030154_GO_0030658_GO_0031410_GO_0035375_GO_0042589_GO_0051636_GO_0051637 Gene=Deleted_in_malignant_brain_tumors_1_protein_ Match_Acc=Q4A3R3 gene=isogroup25232 length=295 numContigs=1	Morbakka_virulenta_scaffold574.g3.t1 scaffold574.g3.t1
OG0000009	Porites_asteroides_isotig25417 isotig25417 extracted_CDS GOMatch=O97682 GOTerms=GO_0005044_GO_0016020 Gene=Tll2_protein_ Match_Acc=B7ZNA8 gene=isogroup23685 length=328 numContigs=1	Morbakka_virulenta_scaffold519.g1.t1 scaffold519.g1.t1
OG0000009	Porites_asteroides_isotig11237 isotig11237 extracted_CDS GOMatch=Q4H2P2 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Tolloid-like_1_ Match_Acc=B3DJN6 gene=isogroup09505 length=609 numContigs=1	Morbakka_virulenta_scaffold24.g118.t2 scaffold24.g118.t2, Morbakka_virulenta_scaffold24.g118.t1 scaffold24.g118.t1
OG0000009	Porites_asteroides_isotig01226 isotig01226 extracted_CDS GOMatch=C3ZAW7 GOTerms=GO_0005488 Gene=Neuropilin-2_ Match_Acc=O60462 gene=isogroup00446 length=2131 numContigs=2, Porites_asteroides_isotig01227 isotig01227 extracted_CDS GOMatch=B3RPJ1 GOTerms=GO_0005509 Gene=Tolloid-like_protein_1_ Match_Acc=Q62381 gene=isogroup00446 length=728 numContigs=2, Porites_asteroides_isotig04066 isotig04066 extracted_CDS GOMatch=C3XYR0 GOTerms=GO_0007338 Gene=Bone_morphogenetic_protein_1_isoform_1__variant__Fragment__ Match_Acc=Q59F71 gene=isogroup02334 length=1392 numContigs=1	Morbakka_virulenta_scaffold70.g34.t2 scaffold70.g34.t2, Morbakka_virulenta_scaffold70.g34.t1 scaffold70.g34.t1
OG0000009	Porites_asteroides_isotig29153 isotig29153 extracted_CDS GOMatch=B3P6Z7 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=RE25412p_ Match_Acc=Q7YU36 gene=isogroup27421 length=253 numContigs=1	Morbakka_virulenta_scaffold59.g2.t1 scaffold59.g2.t1, Morbakka_virulenta_scaffold59.g2.t2 scaffold59.g2.t2, Morbakka_virulenta_scaffold4.g38.t1 scaffold4.g38.t1, Morbakka_virulenta_scaffold59.g10.t1 scaffold59.g10.t1, Morbakka_virulenta_scaffold59.g10.t2 scaffold59.g10.t2, Morbakka_virulenta_scaffold4.g40.t1 scaffold4.g40.t1
OG0000010	Porites_asteroides_isotig18758 isotig18758 extracted_CDS GOMatch=A7S854 GOTerms=GO_0007155_GO_0031012 Gene=Basement_membrane-specific_heparan_sulfate_proteoglycan_core_protein_ Match_Acc=Q6KDZ1 gene=isogroup17026 length=411 numContigs=1, Porites_asteroides_isotig14078 isotig14078 extracted_CDS GOMatch=C3ZCS9 GOTerms=GO_0005102_GO_0005604_GO_0005606_GO_0007155_GO_0030155_GO_0030334_GO_0031012_GO_0045995 Gene=Heparan_sulfate_proteoglycan_2_ Match_Acc=B2RZI0 gene=isogroup12346 length=506 numContigs=1	Morbakka_virulenta_scaffold467.g4.t1 scaffold467.g4.t1, Morbakka_virulenta_scaffold467.g4.t2 scaffold467.g4.t2
OG0000010	Porites_asteroides_isotig04150 isotig04150 extracted_CDS GOMatch=Q4RRT1 GOTerms=GO_0007155_GO_0016020 Gene=Roundabout_homolog_3_ Match_Acc=Q96MS0 gene=isogroup02418 length=1353 numContigs=1	Morbakka_virulenta_scaffold317.g5.t2 scaffold317.g5.t2, Morbakka_virulenta_scaffold317.g5.t1 scaffold317.g5.t1
OG0000010	Porites_asteroides_isotig26332 isotig26332 extracted_CDS GOMatch=B3MYW1 GOTerms=GO_0007155_GO_0031012 Gene=Terribly_reduced_optic_lobes__isoform_A_ Match_Acc=Q9W4Y4 gene=isogroup24600 length=312 numContigs=1	Morbakka_virulenta_scaffold535.g12.t1 scaffold535.g12.t1, Morbakka_virulenta_scaffold467.g8.t1 scaffold467.g8.t1, Morbakka_virulenta_scaffold149.g12.t1 scaffold149.g12.t1, Morbakka_virulenta_scaffold149.g12.t2 scaffold149.g12.t2
OG0000010	Porites_asteroides_isotig10815 isotig10815 extracted_CDS GOMatch=D2I4P4 GOTerms=GO_0005605_GO_0007213_GO_0031012_GO_0043113_GO_0043236 Gene=NtA_agrin_ Match_Acc=B3GQ72 gene=isogroup09083 length=632 numContigs=1	Morbakka_virulenta_scaffold60.g6.t2 scaffold60.g6.t2, Morbakka_virulenta_scaffold60.g6.t3 scaffold60.g6.t3, Morbakka_virulenta_scaffold60.g6.t1 scaffold60.g6.t1
OG0000010	Porites_asteroides_isotig11269 isotig11269 extracted_CDS GOMatch=Q6PW72 GOTerms=GO_0005488 Gene=Follistatin_ Match_Acc=Q6PW72 gene=isogroup09537 length=603 numContigs=1	Morbakka_virulenta_scaffold386.g7.t1 scaffold386.g7.t1, Morbakka_virulenta_scaffold386.g7.t2 scaffold386.g7.t2, Morbakka_virulenta_scaffold386.g12.t1 scaffold386.g12.t1
OG0000012	Porites_asteroides_isotig20047 isotig20047 extracted_CDS GOMatch=A7RWN6 GOTerms=GO_0004867 Gene=Gastric_mucin__Fragment__ Match_Acc=O75372 gene=isogroup18315 length=395 numContigs=1	Morbakka_virulenta_scaffold150.g44.t1 scaffold150.g44.t1
OG0000013	Porites_asteroides_GCKDGN102C4DAL GCKDGN102C4DAL extracted_CDS GOMatch=B0FK92 GOTerms=GO_0004871_GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=B0FK92 length=394 region=2 run=R_2010_02_19_08_49_25_ xy=1162_3259	Morbakka_virulenta_scaffold120.g22.t1 scaffold120.g22.t1
OG0000013	Porites_asteroides_isotig14310 isotig14310 extracted_CDS GOMatch=Q5J2D4 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5J2D4 gene=isogroup12578 length=500 numContigs=1	Morbakka_virulenta_scaffold120.g23.t2 scaffold120.g23.t2, Morbakka_virulenta_scaffold1708.g1.t1 scaffold1708.g1.t1, Morbakka_virulenta_scaffold120.g23.t1 scaffold120.g23.t1
OG0000013	Porites_asteroides_GCKDGN103GNGAZ GCKDGN103GNGAZ extracted_CDS GOMatch=A7SZ54 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7SZ54 length=452 region=3 run=R_2010_02_19_08_49_25_ xy=2610_1465	Morbakka_virulenta_scaffold426.g7.t1 scaffold426.g7.t1
OG0000013	Porites_asteroides_isotig22298 isotig22298 extracted_CDS GOMatch=A7RGH9 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7RGH9 gene=isogroup20566 length=370 numContigs=1	Morbakka_virulenta_scaffold173.g13.t1 scaffold173.g13.t1, Morbakka_virulenta_scaffold173.g13.t2 scaffold173.g13.t2
OG0000013	Porites_asteroides_isotig28579 isotig28579 extracted_CDS GOMatch=Q5IRC2 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IRC2 gene=isogroup26847 length=267 numContigs=1	Morbakka_virulenta_scaffold18.g46.t1 scaffold18.g46.t1, Morbakka_virulenta_scaffold18.g51.t1 scaffold18.g51.t1
OG0000013	Porites_asteroides_isotig03246 isotig03246 extracted_CDS GOMatch=A7RSS8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7RSS8 gene=isogroup01514 length=2357 numContigs=1, Porites_asteroides_isotig05535 isotig05535 extracted_CDS GOMatch=Q5IHV8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IHV8 gene=isogroup03803 length=1046 numContigs=1	Morbakka_virulenta_scaffold536.g7.t1 scaffold536.g7.t1
OG0000014	Porites_asteroides_isotig04880 isotig04880 extracted_CDS GOMatch=A7RZX8 GOTerms=GO_0004222_GO_0005578_GO_0008233_GO_0008237_GO_0008270_GO_0031012 Gene=cDNA_FLJ53165__weakly_similar_to_Homo_sapiens_thrombospondin_repeat_containing_1__TSRC1___transcript_variant_1__mRNA_ Match_Acc=B4DR13 gene=isogroup03148 length=1170 numContigs=1	Morbakka_virulenta_scaffold105.g40.t1 scaffold105.g40.t1
OG0000014	Porites_asteroides_GCKDGN102EW0RX GCKDGN102EW0RX extracted_CDS Match_Acc=A5A750 length=378 run=R_2010_02_19_08_49_25_ region=2 Gene=ADAM_metallopeptidase_with_thrombospondin_type_1_motif_20__Frag ment__ xy=1899_0923	Morbakka_virulenta_scaffold269.g24.t1 scaffold269.g24.t1
OG0000014	Porites_asteroides_isotig03711 isotig03711 extracted_CDS GOMatch=D2HFE1 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=cDNA_FLJ45846_fis__clone_OCBBF2007039__highly_similar_to_ADAMTS-16__EC_3.4.24.-__ Match_Acc=B3KXQ2 gene=isogroup01979 length=1590 numContigs=1	Morbakka_virulenta_scaffold356.g5.t1 scaffold356.g5.t1
OG0000014	Porites_asteroides_GE911073 GE911073 extracted_CDS 9574023_I17.ab1_c Past_norm2007 Porites astreoides cDNA_mRNA sequence, Porites_asteroides_isotig17018 isotig17018 extracted_CDS GOMatch=A7SM43 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_ 6_ Match_Acc=Q9UKP5 gene=isogroup15286 length=438 numContigs=1, Porites_asteroides_isotig16735 isotig16735 extracted_CDS GOMatch=A7SIU7 GOTerms=GO_0004222_GO_0005578_GO_0008237_GO_0008270_GO_0031012 Gene=CG14869__isoform_B_ Match_Acc=Q8SXB0 gene=isogroup15003 length=444 numContigs=1, Porites_asteroides_isotig10898 isotig10898 extracted_CDS GOMatch=A7SM44 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Adamts-7_ Match_Acc=Q179V7 gene=isogroup09166 length=628 numContigs=1, Porites_asteroides_GCKDGN101CES4W GCKDGN101CES4W extracted_CDS GOMatch=A7SM43 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Adamts18_protein__Fragment__ Match_Acc=B7ZMV1 length=404 region=1 run=R_2010_02_19_08_49_25_ xy=0871_2670	Morbakka_virulenta_scaffold366.g6.t2 scaffold366.g6.t2, Morbakka_virulenta_scaffold366.g6.t3 scaffold366.g6.t3, Morbakka_virulenta_scaffold366.g6.t1 scaffold366.g6.t1
OG0000015	Porites_asteroides_isotig27995 isotig27995 extracted_CDS GOMatch=A7SGZ6 GOTerms=GO_0005509 Gene=Mesoglein__Fragment__ Match_Acc=Q1KMS3 gene=isogroup26263 length=280 numContigs=1	Morbakka_virulenta_scaffold468.g7.t1 scaffold468.g7.t1
OG0000015	Porites_asteroides_isotig07155 isotig07155 extracted_CDS GOMatch=C3ZQZ3 GOTerms=GO_0000287_GO_0005509_GO_0016740_GO_0030976 Gene=Malic_enzyme_ Match_Acc=C3ZNU4 gene=isogroup05423 length=841 numContigs=1, Porites_asteroides_GCKDGN103GY7DX GCKDGN103GY7DX extracted_CDS GOMatch=A7RGF1 GOTerms=GO_0005509 length=441 region=3 run=R_2010_02_19_08_49_25_ xy=2744_0915, Porites_asteroides_isotig03209 isotig03209 extracted_CDS GOMatch=C3ZXH0 GOTerms=GO_0007155_GO_0016020 Gene=Putative_uterine-ovary_specific-44_protein__Fragment__ Match_Acc=A9LYL8 gene=isogroup01477 length=2556 numContigs=1, Porites_asteroides_isotig03459 isotig03459 extracted_CDS GOMatch=A7SXQ1 GOTerms=GO_0007155 gene=isogroup01727 length=1846 numContigs=1, Porites_asteroides_isotig03685 isotig03685 extracted_CDS GOMatch=A7SXQ1 GOTerms=GO_0007155 gene=isogroup01953 length=1609 numContigs=1	Morbakka_virulenta_scaffold13.g67.t1 scaffold13.g67.t1, Morbakka_virulenta_scaffold68.g26.t1 scaffold68.g26.t1, Morbakka_virulenta_scaffold68.g27.t1 scaffold68.g27.t1, Morbakka_virulenta_scaffold13.g65.t2 scaffold13.g65.t2, Morbakka_virulenta_scaffold13.g65.t1 scaffold13.g65.t1
OG0000015	Porites_asteroides_isotig07129 isotig07129 extracted_CDS GOMatch=A7RGF1 GOTerms=GO_0005509 Gene=cDNA_FLJ51324__highly_similar_to_CUB_and_zona_pellucida-like_domain-containing_protein_1_ Match_Acc=B4DUY8 gene=isogroup05397 length=842 numContigs=1, Porites_asteroides_isotig22086 isotig22086 extracted_CDS GOMatch=A7SGZ7 GOTerms=GO_0005509 gene=isogroup20354 length=369 numContigs=1	Morbakka_virulenta_scaffold70.g1.t1 scaffold70.g1.t1
OG0000016	Porites_asteroides_isotig03534 isotig03534 extracted_CDS GOMatch=A7RJ22 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Matrix_metalloproteinase_ Match_Acc=Q9U9P0 gene=isogroup01802 length=1741 numContigs=1, Porites_asteroides_isotig00727 isotig00727 extracted_CDS GOMatch=A7RJ22 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Matrix_metalloproteinase_ Match_Acc=Q9U9P0 gene=isogroup00204 length=1146 numContigs=2, Porites_asteroides_isotig00725 isotig00725 extracted_CDS GOMatch=A7RJ22 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Matrix_metalloproteinase_ Match_Acc=Q9U9P0 gene=isogroup00204 length=1217 numContigs=2	Morbakka_virulenta_scaffold88.g16.t1 scaffold88.g16.t1, Morbakka_virulenta_scaffold69.g105.t1 scaffold69.g105.t1, Morbakka_virulenta_scaffold69.g105.t2 scaffold69.g105.t2, Morbakka_virulenta_scaffold45.g73.t1 scaffold45.g73.t1, Morbakka_virulenta_scaffold45.g74.t1 scaffold45.g74.t1
OG0000016	Porites_asteroides_isotig20158 isotig20158 extracted_CDS GOMatch=Q70AB1 GOTerms=GO_0004222_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Putative_hatching_enzyme__Fragment__ Match_Acc=Q70AB1 gene=isogroup18426 length=395 numContigs=1	Morbakka_virulenta_scaffold413.g13.t1 scaffold413.g13.t1
OG0000016	Porites_asteroides_isotig02071 isotig02071 extracted_CDS GOMatch=A7RJ23 GOTerms=GO_0004222_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Matrix_metalloproteinase-25_ Match_Acc=Q3U435 gene=isogroup00868 length=512 numContigs=2	Morbakka_virulenta_scaffold26.g50.t1 scaffold26.g50.t1, Morbakka_virulenta_scaffold4.g151.t2 scaffold4.g151.t2, Morbakka_virulenta_scaffold4.g151.t1 scaffold4.g151.t1
OG0000017	Porites_asteroides_GCKDGN101CG90N GCKDGN101CG90N extracted_CDS GOMatch=A7S7S1 GOTerms=GO_0004867 Gene=Leukocyte_elastase_inhibitor_B_ Match_Acc=Q8VHP7 length=288 region=1 run=R_2010_02_19_08_49_25_ xy=0899_3173	Morbakka_virulenta_scaffold66.g59.t1 scaffold66.g59.t1, Morbakka_virulenta_scaffold259.g30.t1 scaffold259.g30.t1, Morbakka_virulenta_scaffold259.g31.t1 scaffold259.g31.t1, Morbakka_virulenta_scaffold237.g10.t1 scaffold237.g10.t1
OG0000018	Porites_asteroides_isotig07771 isotig07771 extracted_CDS GOMatch=B0W5W8 GOTerms=GO_0000166_GO_0004672_GO_0004674_GO_0005524_GO_0006468 Gene=Dscam_ Match_Acc=Q68J72 gene=isogroup06039 length=790 numContigs=1	Morbakka_virulenta_scaffold18.g35.t1 scaffold18.g35.t1, Morbakka_virulenta_scaffold18.g35.t2 scaffold18.g35.t2
OG0000019	Porites_asteroides_isotig11482 isotig11482 extracted_CDS GOMatch=Q27W10 GOTerms=GO_0008083_GO_0040007 Gene=BMP5-8__Fragment__ Match_Acc=Q27W10 gene=isogroup09750 length=601 numContigs=1	Morbakka_virulenta_scaffold135.g49.t1 scaffold135.g49.t1
OG0000019	Porites_asteroides_isotig13411 isotig13411 extracted_CDS GOMatch=B6SCR5 GOTerms=GO_0008083_GO_0040007 Gene=BMP2_4__Fragment__ Match_Acc=B6SCR5 gene=isogroup11679 length=526 numContigs=1	Morbakka_virulenta_scaffold7.g3.t1 scaffold7.g3.t1
OG0000019	Porites_asteroides_isotig11160 isotig11160 extracted_CDS GOMatch=Q5YJC3 GOTerms=GO_0005576_GO_0008083_GO_0040007 Gene=GDF5-like_protein_ Match_Acc=Q5YJC3 gene=isogroup09428 length=616 numContigs=1	Morbakka_virulenta_scaffold36.g28.t1 scaffold36.g28.t1
OG0000020	Porites_asteroides_isotig03376 isotig03376 extracted_CDS GOMatch=Q4S5M8 GOTerms=GO_0005201_GO_0005581 Gene=Collagen_alpha-2_I__chain__Fragments__ Match_Acc=P02467 gene=isogroup01644 length=1965 numContigs=1	Morbakka_virulenta_scaffold39.g96.t1 scaffold39.g96.t1
OG0000020	Porites_asteroides_isotig03386 isotig03386 extracted_CDS GOMatch=B5U969 GOTerms=GO_0005201_GO_0005581 Gene=Collagen_type_I_alpha_2_ Match_Acc=B5U969 gene=isogroup01654 length=1935 numContigs=1	Morbakka_virulenta_scaffold131.g48.t3 scaffold131.g48.t3, Morbakka_virulenta_scaffold131.g48.t2 scaffold131.g48.t2, Morbakka_virulenta_scaffold131.g48.t1 scaffold131.g48.t1, Morbakka_virulenta_scaffold461.g6.t1 scaffold461.g6.t1, Morbakka_virulenta_scaffold461.g6.t2 scaffold461.g6.t2
OG0000020	Porites_asteroides_isotig03430 isotig03430 extracted_CDS GOMatch=A7RV65 GOTerms=GO_0005201_GO_0005581 Gene=Collagen__type_XI__alpha_1__isoform_CRA_c_ Match_Acc=D3DT72 gene=isogroup01698 length=1880 numContigs=1	Morbakka_virulenta_scaffold116.g19.t1 scaffold116.g19.t1, Morbakka_virulenta_scaffold116.g19.t2 scaffold116.g19.t2
OG0000021	Porites_asteroides_isotig00263 isotig00263 extracted_CDS GOMatch=A7RXU8 GOTerms=GO_0005509_GO_0016020_GO_0016021 Gene=Vitellogenin_receptor__putative__Fragment__ Match_Acc=B7QBX8 gene=isogroup00059 length=1548 numContigs=4, Porites_asteroides_isotig22018 isotig22018 extracted_CDS GOMatch=A7RGB0 GOTerms=GO_0005509_GO_0016020_GO_0016021 Gene=Lipophorin_receptor_ Match_Acc=A3KL84 gene=isogroup20286 length=372 numContigs=1, Porites_asteroides_GCKDGN101AP0FG GCKDGN101AP0FG extracted_CDS GOMatch=A7RXB8 GOTerms=GO_0005509_GO_0016020_GO_0016021 Gene=LDL_receptor-related_protein_4_ Match_Acc=Q76LU2 length=293 region=1 run=R_2010_02_19_08_49_25_ xy=0179_0538	Morbakka_virulenta_scaffold377.g17.t1 scaffold377.g17.t1, Morbakka_virulenta_scaffold209.g39.t1 scaffold209.g39.t1
OG0000022	Porites_asteroides_isotig01376 isotig01376 extracted_CDS GOMatch=A7RWX3 GOTerms=GO_0005509_GO_0005544 Gene=Annexin_A5_ Match_Acc=A7YIG9 gene=isogroup00521 length=1269 numContigs=2	Morbakka_virulenta_scaffold487.g4.t1 scaffold487.g4.t1
OG0000022	Porites_asteroides_GE911485 GE911485 extracted_CDS Past_17_20453_L23.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_isotig03484 isotig03484 extracted_CDS GOMatch=A7T6G0 GOTerms=GO_0005509_GO_0005544 Gene=Annexin_ Match_Acc=Q4W6D6 gene=isogroup01752 length=1813 numContigs=1	Morbakka_virulenta_scaffold487.g6.t1 scaffold487.g6.t1
OG0000023	Porites_asteroides_isotig05693 isotig05693 extracted_CDS GOMatch=A7SGQ0 GOTerms=GO_0004222_GO_0006508 Gene=ADAM_ Match_Acc=Q967H9 gene=isogroup03961 length=1016 numContigs=1	Morbakka_virulenta_scaffold2.g133.t1 scaffold2.g133.t1
OG0000023	Porites_asteroides_GCKDGN103HAO7Y GCKDGN103HAO7Y extracted_CDS GOMatch=C3YIZ0 GOTerms=GO_0004222_GO_0006508 Gene=ADAM_12_ Match_Acc=Q8UVF2 length=401 region=3 run=R_2010_02_19_08_49_25_ xy=2875_0668	Morbakka_virulenta_scaffold206.g31.t1 scaffold206.g31.t1
OG0000023	Porites_asteroides_GCKDGN103GHELF GCKDGN103GHELF extracted_CDS GOMatch=C3YBV5 GOTerms=GO_0004222_GO_0006508_GO_0008270 Gene=ADAM12_ Match_Acc=Q27JK7 length=476 region=3 run=R_2010_02_19_08_49_25_ xy=2541_1937	Morbakka_virulenta_scaffold2.g131.t1 scaffold2.g131.t1
OG0000024	Porites_asteroides_isotig10759 isotig10759 extracted_CDS GOMatch=B3SAJ2 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=Q9U6K8 gene=isogroup09027 length=634 numContigs=1, Porites_asteroides_isotig21314 isotig21314 extracted_CDS GOMatch=P81439 GOTerms=GO_0004869_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup19582 length=368 numContigs=1	Morbakka_virulenta_scaffold510.g3.t1 scaffold510.g3.t1
