Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Anthozoa_Acropora_digitifera
OG0000004	Porites_asteroides_GCKDGN102EJBMA GCKDGN102EJBMA extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 length=465 region=2 run=R_2010_02_19_08_49_25_ xy=1743_0768, Porites_asteroides_isotig06079 isotig06079 extracted_CDS GOMatch=A1XVT4 GOTerms=GO_0005576_GO_0005581_GO_0010466_GO_0030414 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup04347 length=960 numContigs=1	Acropora_digitifera_adi_v1.22404 adi_v1.22404, Acropora_digitifera_adi_v1.22086 adi_v1.22086, Acropora_digitifera_adi_v1.24329 adi_v1.24329, Acropora_digitifera_adi_v1.18109 adi_v1.18109, Acropora_digitifera_adi_v1.24228 adi_v1.24228, Acropora_digitifera_adi_v1.09536 adi_v1.09536, Acropora_digitifera_adi_v1.17315 adi_v1.17315
OG0000004	Porites_asteroides_isotig03424 isotig03424 extracted_CDS GOMatch=Q6DCQ6 GOTerms=GO_0005576 Gene=von_Willebrand_factor_A_domain-containing_protein_2_ Match_Acc=Q6DCQ6 gene=isogroup01692 length=1891 numContigs=1	Acropora_digitifera_adi_v1.10905 adi_v1.10905
OG0000004	Porites_asteroides_GCKDGN102DY9ZO GCKDGN102DY9ZO extracted_CDS Gene=Collagen_alpha-6_VI__chain_ run=R_2010_02_19_08_49_25_ region=2 Match_Acc=Q8C6K9 xy=1514_3522 length=494	Acropora_digitifera_adi_v1.14514 adi_v1.14514
OG0000004	Porites_asteroides_isotig12304 isotig12304 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_chain__type_XII-like_protein__Fragment__ Match_Acc=Q2F6F7 gene=isogroup10572 length=565 numContigs=1, Porites_asteroides_isotig14034 isotig14034 extracted_CDS GOMatch=A7SJB7 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_chain__type_XII-like_protein__Fragment__ Match_Acc=Q2F6F7 gene=isogroup12302 length=507 numContigs=1, Porites_asteroides_isotig01107 isotig01107 extracted_CDS GOMatch=A7SPH4 GOTerms=GO_0005576_GO_0007218_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_chain__type_XII-like_protein__Fragment__ Match_Acc=Q2F6F7 gene=isogroup00386 length=1720 numContigs=2, Porites_asteroides_isotig01106 isotig01106 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 gene=isogroup00386 length=1789 numContigs=2, Porites_asteroides_isotig25706 isotig25706 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 gene=isogroup23974 length=322 numContigs=1, Porites_asteroides_isotig25243 isotig25243 extracted_CDS GOMatch=A7SPH4 GOTerms=GO_0005576_GO_0007218_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_chain__type_XII-like_protein__Fragment__ Match_Acc=Q2F6F7 gene=isogroup23511 length=327 numContigs=1, Porites_asteroides_isotig04798 isotig04798 extracted_CDS GOMatch=A7SPH4 GOTerms=GO_0005576_GO_0007218_GO_0010466_GO_0030414 Gene=Collagen_alpha-3_VI__chain_ Match_Acc=P15989 gene=isogroup03066 length=1193 numContigs=1	Acropora_digitifera_adi_v1.17074 adi_v1.17074
OG0000004	Porites_asteroides_isotig01609 isotig01609 extracted_CDS GOMatch=A7SJB7 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_chain__type_XII-like_protein__Fragment__ Match_Acc=Q2F6F7 gene=isogroup00637 length=652 numContigs=2, Porites_asteroides_isotig01608 isotig01608 extracted_CDS GOMatch=A7SPH4 GOTerms=GO_0005576_GO_0007218_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=P13944 gene=isogroup00637 length=1202 numContigs=2	Acropora_digitifera_adi_v1.16341 adi_v1.16341
OG0000004	Porites_asteroides_isotig06780 isotig06780 extracted_CDS GOMatch=A7S5X4 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen_alpha-4_VI__chain_ Match_Acc=A2AX52 gene=isogroup05048 length=871 numContigs=1	Acropora_digitifera_adi_v1.12522 adi_v1.12522
OG0000004	Porites_asteroides_isotig28279 isotig28279 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=P13944 gene=isogroup26547 length=272 numContigs=1, Porites_asteroides_isotig04561 isotig04561 extracted_CDS GOMatch=A7S7H1 GOTerms=GO_0005576_GO_0010466_GO_0030414 Gene=Hedgling__Fragment__ Match_Acc=A9UIA7 gene=isogroup02829 length=1244 numContigs=1	Acropora_digitifera_adi_v1.18558 adi_v1.18558, Acropora_digitifera_adi_v1.10904 adi_v1.10904
OG0000004	Porites_asteroides_isotig17033 isotig17033 extracted_CDS Gene=Collagen_alpha-1_XIV__chain_ Match_Acc=P32018 gene=isogroup15301 length=438 numContigs=1	Acropora_digitifera_adi_v1.17018 adi_v1.17018
OG0000004	Porites_asteroides_isotig18015 isotig18015 extracted_CDS GOMatch=A7SV43 GOTerms=GO_0007155 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup16283 length=423 numContigs=1, Porites_asteroides_GCKDGN102C26XM GCKDGN102C26XM extracted_CDS GOMatch=A7SV43 GOTerms=GO_0007155 Gene=Collagen-like_protein__Fragment__ Match_Acc=O16003 length=394 region=2 run=R_2010_02_19_08_49_25_ xy=1149_1608	Acropora_digitifera_adi_v1.24676 adi_v1.24676
OG0000004	Porites_asteroides_isotig18284 isotig18284 extracted_CDS gene=isogroup16552 length=417 numContigs=1	Acropora_digitifera_adi_v1.01068 adi_v1.01068
OG0000004	Porites_asteroides_isotig08816 isotig08816 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=P13944 gene=isogroup07084 length=736 numContigs=1, Porites_asteroides_isotig20757 isotig20757 extracted_CDS GOMatch=D2H080 GOTerms=GO_0005539_GO_0005614_GO_0010811_GO_0030198_GO_0031012 Gene=VIT_protein_ Match_Acc=A1A526 gene=isogroup19025 length=385 numContigs=1	Acropora_digitifera_adi_v1.23429 adi_v1.23429
OG0000004	Porites_asteroides_isotig15239 isotig15239 extracted_CDS GOMatch=D2HSH8 GOTerms=GO_0005198_GO_0005615_GO_0007155_GO_0031012 Gene=Collagen_alpha-1_XII__chain_ Match_Acc=Q60847 gene=isogroup13507 length=472 numContigs=1	Acropora_digitifera_adi_v1.03710 adi_v1.03710
OG0000004	Porites_asteroides_isotig22176 isotig22176 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 gene=isogroup20444 length=370 numContigs=1	Acropora_digitifera_adi_v1.21914 adi_v1.21914
OG0000004	Porites_asteroides_isotig22979 isotig22979 extracted_CDS GOMatch=A9UIA7 GOTerms=GO_0005509_GO_0005886_GO_0007154_GO_0007155_GO_0007156_GO_0007267_GO_0007275_GO_0008233_GO_0016020_GO_0016021_GO_0016787 Gene=Hedgling__Fragment__ Match_Acc=A9UIA7 gene=isogroup21247 length=360 numContigs=1	Acropora_digitifera_adi_v1.15324 adi_v1.15324
OG0000004	Porites_asteroides_isotig08180 isotig08180 extracted_CDS GOMatch=Q32NR2 GOTerms=GO_0005509 Gene=Akhirin_ Match_Acc=Q5NTW9 gene=isogroup06448 length=766 numContigs=1	Acropora_digitifera_adi_v1.08106 adi_v1.08106
OG0000004	Porites_asteroides_isotig10373 isotig10373 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup08641 length=657 numContigs=1, Porites_asteroides_GE907611 GE907611 extracted_CDS 9549023_I24.ab1_c Past_norm2007 Porites astreoides cDNA_mRNA sequence	Acropora_digitifera_adi_v1.15976 adi_v1.15976
OG0000004	Porites_asteroides_isotig03712 isotig03712 extracted_CDS GOMatch=A7RQ19 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=CHz-cadherin_ Match_Acc=Q6W4W6 gene=isogroup01980 length=1587 numContigs=1	Acropora_digitifera_adi_v1.16039 adi_v1.16039, Acropora_digitifera_adi_v1.20707 adi_v1.20707
OG0000004	Porites_asteroides_isotig09962 isotig09962 extracted_CDS GOMatch=A7S3G3 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Protocadherin_Fat_1_ Match_Acc=Q14517 gene=isogroup08230 length=678 numContigs=1	Acropora_digitifera_adi_v1.10196 adi_v1.10196
OG0000004	Porites_asteroides_isotig23749 isotig23749 extracted_CDS gene=isogroup22017 length=349 numContigs=1, Porites_asteroides_isotig14708 isotig14708 extracted_CDS GOMatch=O16003 GOTerms=GO_0005581 Gene=Collagen-like_protein__Fragment__ Match_Acc=O16003 gene=isogroup12976 length=488 numContigs=1	Acropora_digitifera_adi_v1.05544 adi_v1.05544
OG0000004	Porites_asteroides_isotig04916 isotig04916 extracted_CDS GOMatch=Q4RK60 GOTerms=GO_0004867 Gene=Collagen__Fragment__ Match_Acc=A1XVT4 gene=isogroup03184 length=1150 numContigs=1, Porites_asteroides_isotig03734 isotig03734 extracted_CDS GOMatch=Q75R52 GOTerms=GO_0005576_GO_0006030_GO_0008061 Gene=Collagen_alpha-6_VI__chain_ Match_Acc=A6NMZ7 gene=isogroup02002 length=1565 numContigs=1, Porites_asteroides_isotig08350 isotig08350 extracted_CDS GOMatch=A1XVT4 GOTerms=GO_0005576_GO_0005581_GO_0010466_GO_0030414 Gene=Collagen_alpha-4_VI__chain_ Match_Acc=A2AX52 gene=isogroup06618 length=759 numContigs=1	Acropora_digitifera_adi_v1.10906 adi_v1.10906
OG0000004	Porites_asteroides_isotig15110 isotig15110 extracted_CDS GOMatch=Q52R83 GOTerms=GO_0008083 Gene=Thrombospondin_type_1_repeat_containing_protein_ Match_Acc=Q52R83 gene=isogroup13378 length=475 numContigs=1	Acropora_digitifera_adi_v1.08872 adi_v1.08872, Acropora_digitifera_adi_v1.00148 adi_v1.00148
OG0000004	Porites_asteroides_isotig18590 isotig18590 extracted_CDS GOMatch=A7RLR7 GOTerms=GO_0004872 Gene=Hemicentin-like__Fragment__ Match_Acc=Q69HT6 gene=isogroup16858 length=415 numContigs=1	Acropora_digitifera_adi_v1.02301 adi_v1.02301
OG0000005	Porites_asteroides_isotig02129 isotig02129 extracted_CDS GOMatch=A7SPC2 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Blastula_protease-10_ Match_Acc=Q26051 gene=isogroup00897 length=639 numContigs=2, Porites_asteroides_isotig02128 isotig02128 extracted_CDS GOMatch=A7S4I5 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Blastula_protease-10_ Match_Acc=Q26051 gene=isogroup00897 length=700 numContigs=2, Porites_asteroides_isotig11492 isotig11492 extracted_CDS GOMatch=A7S4I5 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacin_2_ Match_Acc=Q2MCX8 gene=isogroup09760 length=598 numContigs=1	Acropora_digitifera_adi_v1.06940 adi_v1.06940, Acropora_digitifera_adi_v1.17845 adi_v1.17845
OG0000005	Porites_asteroides_GCKDGN103GTR5D GCKDGN103GTR5D extracted_CDS GOMatch=C3XUJ9 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Peptidase_M12A_astacin_ Match_Acc=D6VK54 length=345 region=3 run=R_2010_02_19_08_49_25_ xy=2682_1839	Acropora_digitifera_adi_v1.18953 adi_v1.18953, Acropora_digitifera_adi_v1.15782 adi_v1.15782
OG0000005	Porites_asteroides_isotig06224 isotig06224 extracted_CDS GOMatch=A7S9I8 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacin-like_zinc_metalloprotease-like_protein_ Match_Acc=A8CAF7 gene=isogroup04492 length=938 numContigs=1	Acropora_digitifera_adi_v1.13648 adi_v1.13648
OG0000005	Porites_asteroides_GCKDGN101B46U4 GCKDGN101B46U4 extracted_CDS GOMatch=A7RSV1 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Zinc_metalloproteinase_nas-13_ Match_Acc=Q20191 length=349 region=1 run=R_2010_02_19_08_49_25_ xy=0762_0366	Acropora_digitifera_adi_v1.10512 adi_v1.10512
OG0000005	Porites_asteroides_isotig06903 isotig06903 extracted_CDS GOMatch=A7S728 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacus_protease_domain__304..897__two_repeats_of_CUB_domain__8 98..1578__ Match_Acc=B7ZQ15 gene=isogroup05171 length=863 numContigs=1	Acropora_digitifera_adi_v1.23604 adi_v1.23604
OG0000006	Porites_asteroides_isotig15445 isotig15445 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup13713 length=470 numContigs=1	Acropora_digitifera_adi_v1.21946 adi_v1.21946, Acropora_digitifera_adi_v1.18870 adi_v1.18870
OG0000006	Porites_asteroides_GCKDGN102E1JAR GCKDGN102E1JAR extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=Multiple_domain_complement_regulator_1_ Match_Acc=Q45NC2 length=342 region=2 run=R_2010_02_19_08_49_25_ xy=1950_2657	Acropora_digitifera_adi_v1.07190 adi_v1.07190
OG0000006	Porites_asteroides_isotig05899 isotig05899 extracted_CDS GOMatch=C3Y0A3 GOTerms=GO_0005488_GO_0005509_GO_0005529 Gene=CUB_and_sushi_domain-containing_protein_2_ Match_Acc=Q7Z408 gene=isogroup04167 length=985 numContigs=1	Acropora_digitifera_adi_v1.01853 adi_v1.01853
OG0000006	Porites_asteroides_isotig00812 isotig00812 extracted_CDS GOMatch=C3ZHX9 GOTerms=GO_0004867 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup00234 length=2835 numContigs=3, Porites_asteroides_isotig00811 isotig00811 extracted_CDS GOMatch=C3ZHX9 GOTerms=GO_0004867 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup00234 length=2836 numContigs=3	Acropora_digitifera_adi_v1.02129 adi_v1.02129
OG0000006	Porites_asteroides_isotig12781 isotig12781 extracted_CDS GOMatch=A7SNM7 GOTerms=GO_0005509 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=P0C6B8 gene=isogroup11049 length=545 numContigs=1	Acropora_digitifera_adi_v1.06181 adi_v1.06181
OG0000006	Porites_asteroides_isotig03891 isotig03891 extracted_CDS GOMatch=C3YF05 GOTerms=GO_0005488 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q7Z407 gene=isogroup02159 length=1474 numContigs=1	Acropora_digitifera_adi_v1.15090 adi_v1.15090
OG0000006	Porites_asteroides_isotig14115 isotig14115 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=CUB_and_sushi_domain-containing_protein_2_ Match_Acc=Q7Z408 gene=isogroup12383 length=501 numContigs=1	Acropora_digitifera_adi_v1.18431 adi_v1.18431, Acropora_digitifera_adi_v1.10670 adi_v1.10670
OG0000006	Porites_asteroides_isotig21103 isotig21103 extracted_CDS GOMatch=C3YWM8 GOTerms=GO_0005509 Gene=Sushi_repeat-containing_protein_SRPX2_ Match_Acc=C0HBD7 gene=isogroup19371 length=384 numContigs=1	Acropora_digitifera_adi_v1.00398 adi_v1.00398, Acropora_digitifera_adi_v1.14158 adi_v1.14158, Acropora_digitifera_adi_v1.01971 adi_v1.01971, Acropora_digitifera_adi_v1.11915 adi_v1.11915, Acropora_digitifera_adi_v1.10429 adi_v1.10429, Acropora_digitifera_adi_v1.23717 adi_v1.23717, Acropora_digitifera_adi_v1.07851 adi_v1.07851
OG0000006	Porites_asteroides_GCKDGN103FYMAO GCKDGN103FYMAO extracted_CDS GOMatch=C3XPW7 GOTerms=GO_0005509 length=291 region=3 run=R_2010_02_19_08_49_25_ xy=2327_1998	Acropora_digitifera_adi_v1.12683 adi_v1.12683, Acropora_digitifera_adi_v1.07116 adi_v1.07116, Acropora_digitifera_adi_v1.22515 adi_v1.22515, Acropora_digitifera_adi_v1.14619 adi_v1.14619, Acropora_digitifera_adi_v1.06557 adi_v1.06557
OG0000006	Porites_asteroides_isotig03322 isotig03322 extracted_CDS GOMatch=C3YC48 GOTerms=GO_0005509_GO_0005529 Gene=cDNA_FLJ16013_fis__clone_PLACE5000171__highly_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KV07 gene=isogroup01590 length=2069 numContigs=1	Acropora_digitifera_adi_v1.04713 adi_v1.04713, Acropora_digitifera_adi_v1.19729 adi_v1.19729, Acropora_digitifera_adi_v1.05540 adi_v1.05540, Acropora_digitifera_adi_v1.00507 adi_v1.00507, Acropora_digitifera_adi_v1.08407 adi_v1.08407, Acropora_digitifera_adi_v1.10833 adi_v1.10833, Acropora_digitifera_adi_v1.00506 adi_v1.00506
OG0000007	Porites_asteroides_isotig10321 isotig10321 extracted_CDS GOMatch=A7RVK5 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup08589 length=657 numContigs=1	Acropora_digitifera_adi_v1.08798 adi_v1.08798, Acropora_digitifera_adi_v1.13188 adi_v1.13188
OG0000007	Porites_asteroides_isotig02328 isotig02328 extracted_CDS GOMatch=C3YCB7 GOTerms=GO_0004867_GO_0005201_GO_0005488_GO_0005509_GO_0005578 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup00997 length=626 numContigs=2	Acropora_digitifera_adi_v1.08028 adi_v1.08028
OG0000007	Porites_asteroides_isotig05874 isotig05874 extracted_CDS GOMatch=C3YFE6 GOTerms=GO_0007160 Gene=Sushi__nidogen_and_EGF-like_domain-containing_protein_1_ Match_Acc=Q70E20 gene=isogroup04142 length=990 numContigs=1	Acropora_digitifera_adi_v1.11370 adi_v1.11370
OG0000007	Porites_asteroides_isotig03396 isotig03396 extracted_CDS GOMatch=C3ZXG8 GOTerms=GO_0005509_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup01664 length=1937 numContigs=1	Acropora_digitifera_adi_v1.06437 adi_v1.06437, Acropora_digitifera_adi_v1.18885 adi_v1.18885, Acropora_digitifera_adi_v1.09820 adi_v1.09820, Acropora_digitifera_adi_v1.22003 adi_v1.22003, Acropora_digitifera_adi_v1.14298 adi_v1.14298, Acropora_digitifera_adi_v1.14299 adi_v1.14299, Acropora_digitifera_adi_v1.14300 adi_v1.14300, Acropora_digitifera_adi_v1.19005 adi_v1.19005, Acropora_digitifera_adi_v1.11371 adi_v1.11371, Acropora_digitifera_adi_v1.13720 adi_v1.13720, Acropora_digitifera_adi_v1.06951 adi_v1.06951, Acropora_digitifera_adi_v1.06438 adi_v1.06438, Acropora_digitifera_adi_v1.21019 adi_v1.21019
OG0000007	Porites_asteroides_isotig10752 isotig10752 extracted_CDS GOMatch=B3RS17 GOTerms=GO_0005044_GO_0005509_GO_0007160_GO_0016020 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup09020 length=633 numContigs=1	Acropora_digitifera_adi_v1.07913 adi_v1.07913, Acropora_digitifera_adi_v1.11289 adi_v1.11289, Acropora_digitifera_adi_v1.07914 adi_v1.07914
OG0000007	Porites_asteroides_isotig10912 isotig10912 extracted_CDS GOMatch=A7RVK5 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup09180 length=627 numContigs=1	Acropora_digitifera_adi_v1.13986 adi_v1.13986, Acropora_digitifera_adi_v1.04075 adi_v1.04075
OG0000007	Porites_asteroides_isotig26075 isotig26075 extracted_CDS GOMatch=B9QP44 GOTerms=GO_0005201_GO_0005509_GO_0005578 Gene=Microneme_protein__putative_ Match_Acc=B9QP44 gene=isogroup24343 length=314 numContigs=1, Porites_asteroides_isotig25348 isotig25348 extracted_CDS GOMatch=A7S7V4 GOTerms=GO_0005509 Gene=Scube1_protein_ Match_Acc=Q68EF9 gene=isogroup23616 length=329 numContigs=1, Porites_asteroides_GCKDGN103FOZFZ GCKDGN103FOZFZ extracted_CDS GOMatch=B9QP44 GOTerms=GO_0005201_GO_0005509_GO_0005578 Gene=Microneme_protein__putative_ Match_Acc=B9QP44 length=363 region=3 run=R_2010_02_19_08_49_25_ xy=2217_3037, Porites_asteroides_isotig03842 isotig03842 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 gene=isogroup02110 length=1503 numContigs=1	Acropora_digitifera_adi_v1.21164 adi_v1.21164
OG0000007	Porites_asteroides_GCKDGN101CFT5A GCKDGN101CFT5A extracted_CDS GOMatch=B3S3N0 GOTerms=GO_0005509 Gene=Fibrillin_2_ Match_Acc=B6CS38 length=407 region=1 run=R_2010_02_19_08_49_25_ xy=0883_1484, Porites_asteroides_isotig15882 isotig15882 extracted_CDS GOMatch=C3YBV0 GOTerms=GO_0005509 Gene=Microneme_protein_4_ Match_Acc=Q9BI05 gene=isogroup14150 length=462 numContigs=1, Porites_asteroides_isotig20493 isotig20493 extracted_CDS GOMatch=A7RGE4 GOTerms=GO_0005509 Gene=Latent-transforming_growth_factor_beta-binding_protein_1_ Match_Acc=Q8CG19 gene=isogroup18761 length=391 numContigs=1, Porites_asteroides_isotig23436 isotig23436 extracted_CDS GOMatch=A7SIA1 GOTerms=GO_0005509 gene=isogroup21704 length=350 numContigs=1	Acropora_digitifera_adi_v1.17191 adi_v1.17191, Acropora_digitifera_adi_v1.14511 adi_v1.14511
OG0000007	Porites_asteroides_isotig18521 isotig18521 extracted_CDS GOMatch=A7RGE4 GOTerms=GO_0005509 gene=isogroup16789 length=416 numContigs=1, Porites_asteroides_GCKDGN101B3PAV GCKDGN101B3PAV extracted_CDS GOMatch=C7SB45 GOTerms=GO_0005509_GO_0007160 Gene=Matrilin-like_protein_ Match_Acc=C7SB45 length=445 region=1 run=R_2010_02_19_08_49_25_ xy=0745_0581	Acropora_digitifera_adi_v1.11554 adi_v1.11554
OG0000008	Porites_asteroides_isotig02918 isotig02918 extracted_CDS GOMatch=Q25059 GOTerms=GO_0005509 Gene=Fibropellin_III__Fragment__ Match_Acc=Q25059 gene=isogroup01292 length=449 numContigs=3, Porites_asteroides_isotig02919 isotig02919 extracted_CDS GOMatch=C3ZKA1 GOTerms=GO_0005488_GO_0005509 Gene=Fibropellin_III__Fragment__ Match_Acc=Q25059 gene=isogroup01292 length=334 numContigs=2	Acropora_digitifera_adi_v1.16793 adi_v1.16793
OG0000008	Porites_asteroides_isotig16616 isotig16616 extracted_CDS GOMatch=C3ZQ87 GOTerms=GO_0004871_GO_0004872_GO_0004888_GO_0004930_GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0007165_GO_0007166_GO_0007186_GO_0007218_GO_0016020_GO_0016021 Gene=Crb2_ Match_Acc=Q1A5L2 gene=isogroup14884 length=445 numContigs=1, Porites_asteroides_GCKDGN103HDZCI GCKDGN103HDZCI extracted_CDS GOMatch=A7T2U3 GOTerms=GO_0005509 Gene=Dnerb_protein__Fragment__ Match_Acc=Q52KT2 length=474 region=3 run=R_2010_02_19_08_49_25_ xy=2912_2208	Acropora_digitifera_adi_v1.09287 adi_v1.09287
OG0000008	Porites_asteroides_isotig12837 isotig12837 extracted_CDS GOMatch=A7SNM7 GOTerms=GO_0005509 Gene=Fibropellin-1_ Match_Acc=P10079 gene=isogroup11105 length=546 numContigs=1	Acropora_digitifera_adi_v1.19358 adi_v1.19358
OG0000008	Porites_asteroides_isotig17057 isotig17057 extracted_CDS GOMatch=C3Y4W8 GOTerms=GO_0005509 Gene=Notch_1_protein_ Match_Acc=Q8K428 gene=isogroup15325 length=438 numContigs=1	Acropora_digitifera_adi_v1.12714 adi_v1.12714
OG0000008	Porites_asteroides_GCKDGN103GAC48 GCKDGN103GAC48 extracted_CDS GOMatch=C3ZMG8 GOTerms=GO_0005509 Gene=Delta-like_protein_1_ Match_Acc=P97677 length=351 region=3 run=R_2010_02_19_08_49_25_ xy=2461_1146	Acropora_digitifera_adi_v1.15850 adi_v1.15850
OG0000008	Porites_asteroides_isotig08472 isotig08472 extracted_CDS GOMatch=A7RHH9 GOTerms=GO_0005509 Gene=Notch_homolog_1b_ Match_Acc=A5WUN6 gene=isogroup06740 length=753 numContigs=1	Acropora_digitifera_adi_v1.19041 adi_v1.19041, Acropora_digitifera_adi_v1.21250 adi_v1.21250
OG0000008	Porites_asteroides_isotig16711 isotig16711 extracted_CDS GOMatch=A7RHH9 GOTerms=GO_0005509 Gene=Notch_2__Fragment__ Match_Acc=O13149 gene=isogroup14979 length=442 numContigs=1	Acropora_digitifera_adi_v1.20031 adi_v1.20031, Acropora_digitifera_adi_v1.23528 adi_v1.23528
OG0000008	Porites_asteroides_isotig11762 isotig11762 extracted_CDS GOMatch=A7S3L4 GOTerms=GO_0005102_GO_0007165 Gene=GP2_THP-like_protein__Fragment__ Match_Acc=A8C9K9 gene=isogroup10030 length=584 numContigs=1, Porites_asteroides_isotig03900 isotig03900 extracted_CDS GOMatch=A7S5P0 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=GP2_THP-like_protein__Fragment__ Match_Acc=A8C9K9 gene=isogroup02168 length=1465 numContigs=1	Acropora_digitifera_adi_v1.23804 adi_v1.23804, Acropora_digitifera_adi_v1.20455 adi_v1.20455
OG0000008	Porites_asteroides_isotig08480 isotig08480 extracted_CDS GOMatch=A7SR73 GOTerms=GO_0005509 Gene=Foot_protein_2_ Match_Acc=Q1XBT6 gene=isogroup06748 length=751 numContigs=1	Acropora_digitifera_adi_v1.09584 adi_v1.09584
OG0000008	Porites_asteroides_isotig09309 isotig09309 extracted_CDS GOMatch=C3YZ65 GOTerms=GO_0005044_GO_0005164_GO_0005509_GO_0006955_GO_0016020 gene=isogroup07577 length=707 numContigs=1	Acropora_digitifera_adi_v1.09582 adi_v1.09582, Acropora_digitifera_adi_v1.06302 adi_v1.06302, Acropora_digitifera_adi_v1.09583 adi_v1.09583, Acropora_digitifera_adi_v1.03573 adi_v1.03573, Acropora_digitifera_adi_v1.19697 adi_v1.19697
OG0000008	Porites_asteroides_isotig10868 isotig10868 extracted_CDS GOMatch=A7SNQ1 GOTerms=GO_0005509 Gene=Delta_ Match_Acc=B4QTE8 gene=isogroup09136 length=627 numContigs=1	Acropora_digitifera_adi_v1.01978 adi_v1.01978
OG0000008	Porites_asteroides_GCKDGN103F42YA GCKDGN103F42YA extracted_CDS GOMatch=A7S0V1 GOTerms=GO_0005509 Gene=Fibropellin_III__Fragment__ Match_Acc=Q25059 length=383 region=3 run=R_2010_02_19_08_49_25_ xy=2401_0416	Acropora_digitifera_adi_v1.19725 adi_v1.19725
