Orthogroup	Cnidaria_Anthozoa_Porites_asteroides	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000003	Porites_asteroides_isotig31118 isotig31118 extracted_CDS GOMatch=C3ZCX6 GOTerms=GO_0005488_GO_0005509 Gene=Mutant_fibrillin-1_ Match_Acc=O88840 gene=isogroup29386 length=184 numContigs=1, Porites_asteroides_GCKDGN102E13R1 GCKDGN102E13R1 extracted_CDS GOMatch=C3ZVH8 GOTerms=GO_0005509 length=378 region=2 run=R_2010_02_19_08_49_25_ xy=1957_0527	Calvadosia_cruxmelitensis_Ccrux.Trinity.74546 Ccrux.Trinity.74546, Calvadosia_cruxmelitensis_Ccrux.Trinity.24225 Ccrux.Trinity.24225
OG0000003	Porites_asteroides_isotig10990 isotig10990 extracted_CDS GOMatch=C3YBU7 GOTerms=GO_0005509 Gene=Ci-META1_ Match_Acc=Q9BLJ1 gene=isogroup09258 length=620 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.16785 Ccrux.Trinity.16785
OG0000003	Porites_asteroides_isotig26926 isotig26926 extracted_CDS GOMatch=A7RMX3 GOTerms=GO_0005509 Gene=Microneme_protein_4_ Match_Acc=Q9BI05 gene=isogroup25194 length=300 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.56752 Ccrux.Trinity.56752
OG0000004	Porites_asteroides_isotig09193 isotig09193 extracted_CDS gene=isogroup07461 length=713 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.42202 Ccrux.Trinity.42202
OG0000004	Porites_asteroides_isotig18284 isotig18284 extracted_CDS gene=isogroup16552 length=417 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.58799 Ccrux.Trinity.58799
OG0000004	Porites_asteroides_isotig22176 isotig22176 extracted_CDS GOMatch=C3ZZV2 GOTerms=GO_0016491_GO_0046914_GO_0055114 gene=isogroup20444 length=370 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.69530 Ccrux.Trinity.69530
OG0000004	Porites_asteroides_isotig22979 isotig22979 extracted_CDS GOMatch=A9UIA7 GOTerms=GO_0005509_GO_0005886_GO_0007154_GO_0007155_GO_0007156_GO_0007267_GO_0007275_GO_0008233_GO_0016020_GO_0016021_GO_0016787 Gene=Hedgling__Fragment__ Match_Acc=A9UIA7 gene=isogroup21247 length=360 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.53258 Ccrux.Trinity.53258, Calvadosia_cruxmelitensis_Ccrux.Trinity.16828 Ccrux.Trinity.16828
OG0000004	Porites_asteroides_GCKDGN103G6RCQ GCKDGN103G6RCQ extracted_CDS GOMatch=A7S7G8 GOTerms=GO_0005576_GO_0010466_GO_0030414 length=229 region=3 run=R_2010_02_19_08_49_25_ xy=2830_1128	Calvadosia_cruxmelitensis_Ccrux.Trinity.25108 Ccrux.Trinity.25108, Calvadosia_cruxmelitensis_Ccrux.Trinity.25110 Ccrux.Trinity.25110, Calvadosia_cruxmelitensis_Ccrux.Trinity.25109 Ccrux.Trinity.25109
OG0000004	Porites_asteroides_GCKDGN101B17OE GCKDGN101B17OE extracted_CDS GOMatch=A7SPH4 GOTerms=GO_0005576_GO_0007218_GO_0010466_GO_0030414 Gene=Collagen__type_XII__alpha_1_ Match_Acc=B9EJB8 length=475 region=1 run=R_2010_02_19_08_49_25_ xy=0728_0716	Calvadosia_cruxmelitensis_Ccrux.Trinity.9484 Ccrux.Trinity.9484
OG0000004	Porites_asteroides_isotig03712 isotig03712 extracted_CDS GOMatch=A7RQ19 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=CHz-cadherin_ Match_Acc=Q6W4W6 gene=isogroup01980 length=1587 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.24893 Ccrux.Trinity.24893
OG0000004	Porites_asteroides_isotig09962 isotig09962 extracted_CDS GOMatch=A7S3G3 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Protocadherin_Fat_1_ Match_Acc=Q14517 gene=isogroup08230 length=678 numContigs=1, Porites_asteroides_isotig08089 isotig08089 extracted_CDS GOMatch=A7S3G3 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Fat1_protein__Fragment__ Match_Acc=Q80XT9 gene=isogroup06357 length=773 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.28659 Ccrux.Trinity.28659, Calvadosia_cruxmelitensis_Ccrux.Trinity.28658 Ccrux.Trinity.28658
OG0000004	Porites_asteroides_isotig15110 isotig15110 extracted_CDS GOMatch=Q52R83 GOTerms=GO_0008083 Gene=Thrombospondin_type_1_repeat_containing_protein_ Match_Acc=Q52R83 gene=isogroup13378 length=475 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.33371 Ccrux.Trinity.33371
OG0000004	Porites_asteroides_isotig18590 isotig18590 extracted_CDS GOMatch=A7RLR7 GOTerms=GO_0004872 Gene=Hemicentin-like__Fragment__ Match_Acc=Q69HT6 gene=isogroup16858 length=415 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.9483 Ccrux.Trinity.9483
OG0000005	Porites_asteroides_isotig02129 isotig02129 extracted_CDS GOMatch=A7SPC2 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Blastula_protease-10_ Match_Acc=Q26051 gene=isogroup00897 length=639 numContigs=2, Porites_asteroides_isotig02128 isotig02128 extracted_CDS GOMatch=A7S4I5 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Blastula_protease-10_ Match_Acc=Q26051 gene=isogroup00897 length=700 numContigs=2, Porites_asteroides_isotig11492 isotig11492 extracted_CDS GOMatch=A7S4I5 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacin_2_ Match_Acc=Q2MCX8 gene=isogroup09760 length=598 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.65603 Ccrux.Trinity.65603
OG0000005	Porites_asteroides_isotig07671 isotig07671 extracted_CDS GOMatch=A7RMF1 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Blastula_protease-10_ Match_Acc=Q26051 gene=isogroup05939 length=796 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.65291 Ccrux.Trinity.65291
OG0000005	Porites_asteroides_isotig23348 isotig23348 extracted_CDS GOMatch=Q4SJ96 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Bone_morphogenetic_protein_1__Fragment__ Match_Acc=O57658 gene=isogroup21616 length=355 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.13823 Ccrux.Trinity.13823
OG0000005	Porites_asteroides_isotig11914 isotig11914 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup10182 length=578 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.5896 Ccrux.Trinity.5896, Calvadosia_cruxmelitensis_Ccrux.Trinity.5895 Ccrux.Trinity.5895
OG0000005	Porites_asteroides_isotig12380 isotig12380 extracted_CDS GOMatch=Q2MCX8 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacin_2_ Match_Acc=Q2MCX8 gene=isogroup10648 length=565 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.56208 Ccrux.Trinity.56208, Calvadosia_cruxmelitensis_Ccrux.Trinity.64070 Ccrux.Trinity.64070
OG0000005	Porites_asteroides_isotig06903 isotig06903 extracted_CDS GOMatch=A7S728 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacus_protease_domain__304..897__two_repeats_of_CUB_domain__8 98..1578__ Match_Acc=B7ZQ15 gene=isogroup05171 length=863 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.33090 Ccrux.Trinity.33090, Calvadosia_cruxmelitensis_Ccrux.Trinity.55366 Ccrux.Trinity.55366
OG0000006	Porites_asteroides_isotig22690 isotig22690 extracted_CDS GOMatch=C3YPL3 GOTerms=GO_0003824_GO_0004252_GO_0005634_GO_0006508_GO_0008233_GO_0008236_GO_0016787_GO_0030528 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup20958 length=365 numContigs=1, Porites_asteroides_isotig19337 isotig19337 extracted_CDS GOMatch=C3ZHY1 GOTerms=GO_0003824_GO_0004252_GO_0005488_GO_0005529_GO_0005576_GO_0006508_GO_0010466_GO_0030414 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=A2AVA0 gene=isogroup17605 length=402 numContigs=1, Porites_asteroides_isotig15445 isotig15445 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup13713 length=470 numContigs=1, Porites_asteroides_GCKDGN102E1JAR GCKDGN102E1JAR extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=Multiple_domain_complement_regulator_1_ Match_Acc=Q45NC2 length=342 region=2 run=R_2010_02_19_08_49_25_ xy=1950_2657, Porites_asteroides_GCKDGN102DDUBU GCKDGN102DDUBU extracted_CDS length=345 xy=1270_2872 run=R_2010_02_19_08_49_25_ region=2 Gene=CUB_and_sushi_domain-containing_protein_1_ Match_Acc=Q96PZ7, Porites_asteroides_isotig06327 isotig06327 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=cDNA_FLJ90753_fis__clone_PLACE3000213__moderately_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KQM9 gene=isogroup04595 length=924 numContigs=1, Porites_asteroides_isotig05899 isotig05899 extracted_CDS GOMatch=C3Y0A3 GOTerms=GO_0005488_GO_0005509_GO_0005529 Gene=CUB_and_sushi_domain-containing_protein_2_ Match_Acc=Q7Z408 gene=isogroup04167 length=985 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.51861 Ccrux.Trinity.51861
OG0000006	Porites_asteroides_isotig00812 isotig00812 extracted_CDS GOMatch=C3ZHX9 GOTerms=GO_0004867 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup00234 length=2835 numContigs=3, Porites_asteroides_isotig00811 isotig00811 extracted_CDS GOMatch=C3ZHX9 GOTerms=GO_0004867 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup00234 length=2836 numContigs=3	Calvadosia_cruxmelitensis_Ccrux.Trinity.25117 Ccrux.Trinity.25117
OG0000006	Porites_asteroides_isotig12781 isotig12781 extracted_CDS GOMatch=A7SNM7 GOTerms=GO_0005509 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=P0C6B8 gene=isogroup11049 length=545 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.45666 Ccrux.Trinity.45666, Calvadosia_cruxmelitensis_Ccrux.Trinity.45665 Ccrux.Trinity.45665, Calvadosia_cruxmelitensis_Ccrux.Trinity.45664 Ccrux.Trinity.45664
OG0000006	Porites_asteroides_isotig03891 isotig03891 extracted_CDS GOMatch=C3YF05 GOTerms=GO_0005488 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q7Z407 gene=isogroup02159 length=1474 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.43303 Ccrux.Trinity.43303, Calvadosia_cruxmelitensis_Ccrux.Trinity.12212 Ccrux.Trinity.12212, Calvadosia_cruxmelitensis_Ccrux.Trinity.12211 Ccrux.Trinity.12211, Calvadosia_cruxmelitensis_Ccrux.Trinity.62582 Ccrux.Trinity.62582, Calvadosia_cruxmelitensis_Ccrux.Trinity.5644 Ccrux.Trinity.5644, Calvadosia_cruxmelitensis_Ccrux.Trinity.5643 Ccrux.Trinity.5643
OG0000006	Porites_asteroides_isotig14115 isotig14115 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=CUB_and_sushi_domain-containing_protein_2_ Match_Acc=Q7Z408 gene=isogroup12383 length=501 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.46513 Ccrux.Trinity.46513, Calvadosia_cruxmelitensis_Ccrux.Trinity.46509 Ccrux.Trinity.46509
OG0000006	Porites_asteroides_GCKDGN101BEMV9 GCKDGN101BEMV9 extracted_CDS GOMatch=C3YF05 GOTerms=GO_0005488 Gene=Furrowed__putative_ Match_Acc=B7QCS5 length=402 region=1 run=R_2010_02_19_08_49_25_ xy=0459_2519	Calvadosia_cruxmelitensis_Ccrux.Trinity.8194 Ccrux.Trinity.8194, Calvadosia_cruxmelitensis_Ccrux.Trinity.8193 Ccrux.Trinity.8193
OG0000006	Porites_asteroides_isotig04047 isotig04047 extracted_CDS GOMatch=B9X084 GOTerms=GO_0003824_GO_0004252_GO_0006508_GO_0008233_GO_0008236_GO_0016787 Gene=Complement_factor_B_ Match_Acc=B9X084 gene=isogroup02315 length=1403 numContigs=1, Porites_asteroides_isotig19270 isotig19270 extracted_CDS GOMatch=B9X084 GOTerms=GO_0003824_GO_0004252_GO_0006508_GO_0008233_GO_0008236_GO_0016787 Gene=Complement_factor_B_ Match_Acc=B9X084 gene=isogroup17538 length=406 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.30116 Ccrux.Trinity.30116
OG0000007	Porites_asteroides_isotig10321 isotig10321 extracted_CDS GOMatch=A7RVK5 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup08589 length=657 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.58492 Ccrux.Trinity.58492
OG0000007	Porites_asteroides_isotig05423 isotig05423 extracted_CDS GOMatch=D3BG27 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup03691 length=1057 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.48895 Ccrux.Trinity.48895
OG0000007	Porites_asteroides_GCKDGN101B8517 GCKDGN101B8517 extracted_CDS GOMatch=C3YFE4 GOTerms=GO_0005509_GO_0016020 Gene=Matrilin-like_protein_ Match_Acc=C7SB45 length=395 region=1 run=R_2010_02_19_08_49_25_ xy=0807_1629, Porites_asteroides_GCKDGN102DPUBC GCKDGN102DPUBC extracted_CDS GOMatch=C3ZXG8 GOTerms=GO_0005509_GO_0016020 Gene=Matn2-prov_protein_ Match_Acc=Q7ZX63 length=435 region=2 run=R_2010_02_19_08_49_25_ xy=1407_1574, Porites_asteroides_isotig20832 isotig20832 extracted_CDS GOMatch=B3SE10 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=Q54YP0 gene=isogroup19100 length=387 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.55625 Ccrux.Trinity.55625
OG0000007	Porites_asteroides_isotig05874 isotig05874 extracted_CDS GOMatch=C3YFE6 GOTerms=GO_0007160 Gene=Sushi__nidogen_and_EGF-like_domain-containing_protein_1_ Match_Acc=Q70E20 gene=isogroup04142 length=990 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.41205 Ccrux.Trinity.41205, Calvadosia_cruxmelitensis_Ccrux.Trinity.41208 Ccrux.Trinity.41208
OG0000007	Porites_asteroides_isotig10912 isotig10912 extracted_CDS GOMatch=A7RVK5 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup09180 length=627 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.58151 Ccrux.Trinity.58151
OG0000007	Porites_asteroides_GCKDGN101CFT5A GCKDGN101CFT5A extracted_CDS GOMatch=B3S3N0 GOTerms=GO_0005509 Gene=Fibrillin_2_ Match_Acc=B6CS38 length=407 region=1 run=R_2010_02_19_08_49_25_ xy=0883_1484, Porites_asteroides_isotig15882 isotig15882 extracted_CDS GOMatch=C3YBV0 GOTerms=GO_0005509 Gene=Microneme_protein_4_ Match_Acc=Q9BI05 gene=isogroup14150 length=462 numContigs=1, Porites_asteroides_isotig20493 isotig20493 extracted_CDS GOMatch=A7RGE4 GOTerms=GO_0005509 Gene=Latent-transforming_growth_factor_beta-binding_protein_1_ Match_Acc=Q8CG19 gene=isogroup18761 length=391 numContigs=1, Porites_asteroides_isotig23436 isotig23436 extracted_CDS GOMatch=A7SIA1 GOTerms=GO_0005509 gene=isogroup21704 length=350 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.48645 Ccrux.Trinity.48645
OG0000008	Porites_asteroides_isotig12837 isotig12837 extracted_CDS GOMatch=A7SNM7 GOTerms=GO_0005509 Gene=Fibropellin-1_ Match_Acc=P10079 gene=isogroup11105 length=546 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.338 Ccrux.Trinity.338
OG0000008	Porites_asteroides_GCKDGN103GAC48 GCKDGN103GAC48 extracted_CDS GOMatch=C3ZMG8 GOTerms=GO_0005509 Gene=Delta-like_protein_1_ Match_Acc=P97677 length=351 region=3 run=R_2010_02_19_08_49_25_ xy=2461_1146	Calvadosia_cruxmelitensis_Ccrux.Trinity.11107 Ccrux.Trinity.11107
OG0000008	Porites_asteroides_isotig11762 isotig11762 extracted_CDS GOMatch=A7S3L4 GOTerms=GO_0005102_GO_0007165 Gene=GP2_THP-like_protein__Fragment__ Match_Acc=A8C9K9 gene=isogroup10030 length=584 numContigs=1, Porites_asteroides_isotig03900 isotig03900 extracted_CDS GOMatch=A7S5P0 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=GP2_THP-like_protein__Fragment__ Match_Acc=A8C9K9 gene=isogroup02168 length=1465 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.56264 Ccrux.Trinity.56264
OG0000008	Porites_asteroides_isotig31229 isotig31229 extracted_CDS GOMatch=A0MZ89 GOTerms=GO_0005509 Gene=Notch_1_protein_ Match_Acc=Q8K428 gene=isogroup29497 length=184 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.58418 Ccrux.Trinity.58418
OG0000008	Porites_asteroides_isotig16084 isotig16084 extracted_CDS GOMatch=A7RNQ6 GOTerms=GO_0005509 Gene=Crumbs-like_protein_2b_ Match_Acc=Q1A5L1 gene=isogroup14352 length=458 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.19278 Ccrux.Trinity.19278
OG0000008	Porites_asteroides_isotig08480 isotig08480 extracted_CDS GOMatch=A7SR73 GOTerms=GO_0005509 Gene=Foot_protein_2_ Match_Acc=Q1XBT6 gene=isogroup06748 length=751 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.73451 Ccrux.Trinity.73451
OG0000008	Porites_asteroides_isotig09309 isotig09309 extracted_CDS GOMatch=C3YZ65 GOTerms=GO_0005044_GO_0005164_GO_0005509_GO_0006955_GO_0016020 gene=isogroup07577 length=707 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.56901 Ccrux.Trinity.56901, Calvadosia_cruxmelitensis_Ccrux.Trinity.8389 Ccrux.Trinity.8389, Calvadosia_cruxmelitensis_Ccrux.Trinity.66463 Ccrux.Trinity.66463
OG0000008	Porites_asteroides_GCKDGN101BACPE GCKDGN101BACPE extracted_CDS GOMatch=A7SR73 GOTerms=GO_0005509 Gene=Notch_homolog__Fragment__ Match_Acc=Q7KPY6 length=213 region=1 run=R_2010_02_19_08_49_25_ xy=0410_3392	Calvadosia_cruxmelitensis_Ccrux.Trinity.20542 Ccrux.Trinity.20542, Calvadosia_cruxmelitensis_Ccrux.Trinity.31245 Ccrux.Trinity.31245
OG0000008	Porites_asteroides_isotig10868 isotig10868 extracted_CDS GOMatch=A7SNQ1 GOTerms=GO_0005509 Gene=Delta_ Match_Acc=B4QTE8 gene=isogroup09136 length=627 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.11745 Ccrux.Trinity.11745, Calvadosia_cruxmelitensis_Ccrux.Trinity.11744 Ccrux.Trinity.11744
OG0000008	Porites_asteroides_isotig17429 isotig17429 extracted_CDS GOMatch=A8DUV0 GOTerms=GO_0005509 Gene=Notch_homolog_Scalloped_wings_ Match_Acc=Q25253 gene=isogroup15697 length=433 numContigs=1, Porites_asteroides_isotig32017 isotig32017 extracted_CDS GOMatch=A7SQA9 GOTerms=GO_0005509 Gene=Ligand_Delta-1_ Match_Acc=Q8AW87 gene=isogroup30285 length=157 numContigs=1, Porites_asteroides_isotig09116 isotig09116 extracted_CDS GOMatch=A7S3G3 GOTerms=GO_0005509_GO_0005886_GO_0007155_GO_0007156_GO_0016020_GO_0016021 Gene=Neurogenic_locus_notch__putative_ Match_Acc=B7Q438 gene=isogroup07384 length=719 numContigs=1, Porites_asteroides_isotig19523 isotig19523 extracted_CDS GOMatch=C3ZBJ3 GOTerms=GO_0005509 Gene=Notch_homolog__Fragment__ Match_Acc=Q7KPY6 gene=isogroup17791 length=403 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.59185 Ccrux.Trinity.59185
OG0000008	Porites_asteroides_isotig05377 isotig05377 extracted_CDS GOMatch=C3YPC1 GOTerms=GO_0005509 Gene=Notch_protein_ Match_Acc=A0MK40 gene=isogroup03645 length=1066 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.43250 Ccrux.Trinity.43250
OG0000008	Porites_asteroides_GCKDGN103FZ9JO GCKDGN103FZ9JO extracted_CDS GOMatch=C3YMX0 GOTerms=GO_0005509_GO_0007155 Gene=Notch1b_ Match_Acc=A0PGH6 length=495 region=3 run=R_2010_02_19_08_49_25_ xy=2346_0962	Calvadosia_cruxmelitensis_Ccrux.Trinity.7428 Ccrux.Trinity.7428
OG0000008	Porites_asteroides_GCKDGN101BWF8S GCKDGN101BWF8S extracted_CDS GOMatch=Q8AXP0 GOTerms=GO_0004872_GO_0005509_GO_0006355_GO_0007219_GO_0007275_GO_0016020_GO_0016021_GO_0030154_GO_0050793 Gene=Receptor_protein_Notch1_ Match_Acc=Q8AXP0 length=485 region=1 run=R_2010_02_19_08_49_25_ xy=0662_2218	Calvadosia_cruxmelitensis_Ccrux.Trinity.73081 Ccrux.Trinity.73081
OG0000008	Porites_asteroides_isotig02647 isotig02647 extracted_CDS GOMatch=B3RZV3 GOTerms=GO_0005509 Gene=Delta_protein_ Match_Acc=A0MK38 gene=isogroup01156 length=481 numContigs=2, Porites_asteroides_isotig02646 isotig02646 extracted_CDS GOMatch=A7SJC3 GOTerms=GO_0005509 Gene=Notch_homolog_Scalloped_wings_ Match_Acc=Q25253 gene=isogroup01156 length=488 numContigs=2	Calvadosia_cruxmelitensis_Ccrux.Trinity.63801 Ccrux.Trinity.63801
OG0000008	Porites_asteroides_GCKDGN101CB8IM GCKDGN101CB8IM extracted_CDS GOMatch=A7RNQ6 GOTerms=GO_0005509 Gene=Neurogenic_locus_notch_protein_homolog_ Match_Acc=P21783 length=345 region=1 run=R_2010_02_19_08_49_25_ xy=0842_1420	Calvadosia_cruxmelitensis_Ccrux.Trinity.17593 Ccrux.Trinity.17593, Calvadosia_cruxmelitensis_Ccrux.Trinity.17592 Ccrux.Trinity.17592
OG0000008	Porites_asteroides_isotig07115 isotig07115 extracted_CDS GOMatch=C3YG94 GOTerms=GO_0004872_GO_0005509 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=P0C6B8 gene=isogroup05383 length=835 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.18505 Ccrux.Trinity.18505
OG0000008	Porites_asteroides_isotig12954 isotig12954 extracted_CDS GOMatch=Q2WBY6 GOTerms=GO_0005509_GO_0007219_GO_0007275_GO_0016020_GO_0016021_GO_0030154_GO_0050793 Gene=Notch_homolog_2__Fragment__ Match_Acc=B0V2R4 gene=isogroup11222 length=542 numContigs=1, Porites_asteroides_isotig12497 isotig12497 extracted_CDS GOMatch=A7SQ46 GOTerms=GO_0005509 Gene=Fibropellin_III__Fragment__ Match_Acc=Q25059 gene=isogroup10765 length=557 numContigs=1, Porites_asteroides_isotig26486 isotig26486 extracted_CDS GOMatch=A7SPB2 GOTerms=GO_0005509 Gene=C-Serate-1_protein__Fragment__ Match_Acc=Q90819 gene=isogroup24754 length=310 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.66398 Ccrux.Trinity.66398
OG0000009	Porites_asteroides_isotig01235 isotig01235 extracted_CDS GOMatch=B9X085 GOTerms=GO_0003824_GO_0004252_GO_0005529_GO_0006508_GO_0008233 Gene=Mannose-binding_lectin_associated_serine_protease_ Match_Acc=B9X085 gene=isogroup00450 length=1223 numContigs=2	Calvadosia_cruxmelitensis_Ccrux.Trinity.60099 Ccrux.Trinity.60099, Calvadosia_cruxmelitensis_Ccrux.Trinity.60098 Ccrux.Trinity.60098
OG0000009	Porites_asteroides_isotig22198 isotig22198 extracted_CDS GOMatch=Q4T392 GOTerms=GO_0005509 Gene=Subfamily_M12A_unassigned_peptidase__M12_family__ Match_Acc=C4Q3C1 gene=isogroup20466 length=369 numContigs=1, Porites_asteroides_isotig28996 isotig28996 extracted_CDS GOMatch=Q4SHD4 GOTerms=GO_0003824_GO_0004252_GO_0006508 Gene=Neuropilin-2a1_receptor_ Match_Acc=Q8UVR0 gene=isogroup27264 length=257 numContigs=1	Calvadosia_cruxmelitensis_Ccrux.Trinity.66832 Ccrux.Trinity.66832
OG0000009	Porites_asteroides_GCKDGN103GC75M GCKDGN103GC75M extracted_CDS length=337 region=3 run=R_2010_02_19_08_49_25_ xy=2493_3576	Calvadosia_cruxmelitensis_Ccrux.Trinity.67770 Ccrux.Trinity.67770
