Orthogroup	Ctenophora_Tentaculata_Pleurobrachia_bachei	Chordata_Vertebrata_Danio_rerio
OG0000049	Pleurobrachia_bachei_sb_2663696_ sb_2663696_	Danio_rerio_tr_A8IYK2_A8IYK2_DANRE tr|A8IYK2|A8IYK2_DANRE Plexin-A1 OS=Danio rerio OX=7955 GN=plxna1 PE=1 SV=1, Danio_rerio_sp_B0S5N4_PLXA3_DANRE sp|B0S5N4|PLXA3_DANRE Plexin A3 OS=Danio rerio OX=7955 GN=plxna3 PE=2 SV=2, Danio_rerio_tr_B3DK42_B3DK42_DANRE tr|B3DK42|B3DK42_DANRE Plexin A4 OS=Danio rerio OX=7955 GN=plxna4 PE=2 SV=1, Danio_rerio_sp_Q6BEA0_PLXA4_DANRE sp|Q6BEA0|PLXA4_DANRE Plexin-A4 OS=Danio rerio OX=7955 GN=plxna4 PE=2 SV=1, Danio_rerio_tr_T1ECS6_T1ECS6_DANRE tr|T1ECS6|T1ECS6_DANRE Plexin-A4 OS=Danio rerio OX=7955 GN=D204 PE=1 SV=1, Danio_rerio_tr_F1Q7U0_F1Q7U0_DANRE tr|F1Q7U0|F1Q7U0_DANRE Plexin b1b OS=Danio rerio OX=7955 GN=plxnb1b PE=1 SV=1, Danio_rerio_tr_A0A8M3B4P7_A0A8M3B4P7_DANRE tr|A0A8M3B4P7|A0A8M3B4P7_DANRE Plexin-B3 OS=Danio rerio OX=7955 GN=plxnb3 PE=1 SV=1, Danio_rerio_tr_E3NZJ2_E3NZJ2_DANRE tr|E3NZJ2|E3NZJ2_DANRE Plexin B2b short isoform OS=Danio rerio OX=7955 GN=plxnb2b PE=2 SV=1, Danio_rerio_tr_F1QBC0_F1QBC0_DANRE tr|F1QBC0|F1QBC0_DANRE Plexin b2a OS=Danio rerio OX=7955 GN=fk37b01 PE=1 SV=3, Danio_rerio_tr_C5H5I1_C5H5I1_DANRE tr|C5H5I1|C5H5I1_DANRE Plexin B2 OS=Danio rerio OX=7955 GN=plxnB2 PE=1 SV=1, Danio_rerio_tr_Q6DSU3_Q6DSU3_DANRE tr|Q6DSU3|Q6DSU3_DANRE Plexin D1 OS=Danio rerio OX=7955 GN=zgc_77379 PE=1 SV=1, Danio_rerio_tr_Q5RGW1_Q5RGW1_DANRE tr|Q5RGW1|Q5RGW1_DANRE Plexin C1 _Fragment_ OS=Danio rerio OX=7955 GN=plxnc1 PE=1 SV=3
OG0000059	Pleurobrachia_bachei_sb_2668414_ sb_2668414_, Pleurobrachia_bachei_sb_2668415_ sb_2668415_	Danio_rerio_tr_F1R0I7_F1R0I7_DANRE tr|F1R0I7|F1R0I7_DANRE Scube3 OS=Danio rerio OX=7955 GN=scube3 PE=2 SV=3, Danio_rerio_tr_A0A0R4IBT9_A0A0R4IBT9_DANRE tr|A0A0R4IBT9|A0A0R4IBT9_DANRE Signal peptide_ CUB and EGF-like domain-containing protein 1 isoform 2 precursor OS=Danio rerio OX=7955 GN=im_7427863 PE=4 SV=1, Danio_rerio_sp_Q5G872_SCUB2_DANRE sp|Q5G872|SCUB2_DANRE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Danio rerio OX=7955 GN=scube2 PE=2 SV=1, Danio_rerio_tr_A0A0B5JWE1_A0A0B5JWE1_DANRE tr|A0A0B5JWE1|A0A0B5JWE1_DANRE Scube2 _Fragment_ OS=Danio rerio OX=7955 GN=scube2 PE=2 SV=1
OG0000065	Pleurobrachia_bachei_sb_2642298_ sb_2642298_, Pleurobrachia_bachei_sb_2651946_ sb_2651946_, Pleurobrachia_bachei_sb_2652826_ sb_2652826_, Pleurobrachia_bachei_sb_2639926_ sb_2639926_	Danio_rerio_tr_V5NES1_V5NES1_DANRE tr|V5NES1|V5NES1_DANRE Glypican 5a OS=Danio rerio OX=7955 GN=Gpc5a PE=2 SV=1, Danio_rerio_sp_Q6V9Y8_GPC3_DANRE sp|Q6V9Y8|GPC3_DANRE Glypican-3 OS=Danio rerio OX=7955 GN=gpc3 PE=1 SV=1, Danio_rerio_tr_V5NF21_V5NF21_DANRE tr|V5NF21|V5NF21_DANRE Glypican 5b OS=Danio rerio OX=7955 GN=Gpc5b PE=2 SV=1
OG0000068	Pleurobrachia_bachei_sb_2642856_ sb_2642856_	Danio_rerio_tr_Q32PT4_Q32PT4_DANRE tr|Q32PT4|Q32PT4_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals3l PE=1 SV=1, Danio_rerio_sp_Q6DGJ1_GRIFN_DANRE sp|Q6DGJ1|GRIFN_DANRE Grifin OS=Danio rerio OX=7955 GN=grifin PE=1 SV=1, Danio_rerio_tr_Q7ZZ26_Q7ZZ26_DANRE tr|Q7ZZ26|Q7ZZ26_DANRE Galectin OS=Danio rerio OX=7955 GN=si_ch211-101n13.9 PE=4 SV=1, Danio_rerio_sp_Q1ECW6_LEGL_DANRE sp|Q1ECW6|LEGL_DANRE Galectin-related protein OS=Danio rerio OX=7955 GN=lgalsl PE=2 SV=1, Danio_rerio_tr_Q6PBV2_Q6PBV2_DANRE tr|Q6PBV2|Q6PBV2_DANRE Galectin OS=Danio rerio OX=7955 GN=wu_fj85f11 PE=1 SV=1, Danio_rerio_tr_X1WD11_X1WD11_DANRE tr|X1WD11|X1WD11_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals8a PE=4 SV=2, Danio_rerio_tr_F1QIE5_F1QIE5_DANRE tr|F1QIE5|F1QIE5_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals8a PE=4 SV=2, Danio_rerio_tr_F8W2U6_F8W2U6_DANRE tr|F8W2U6|F8W2U6_DANRE Galectin OS=Danio rerio OX=7955 GN=Drgal1-L3 PE=1 SV=1, Danio_rerio_tr_Q7SXJ0_Q7SXJ0_DANRE tr|Q7SXJ0|Q7SXJ0_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals1l3 PE=1 SV=1, Danio_rerio_tr_Q6TGN5_Q6TGN5_DANRE tr|Q6TGN5|Q6TGN5_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals2a PE=1 SV=1, Danio_rerio_tr_Q6IQI2_Q6IQI2_DANRE tr|Q6IQI2|Q6IQI2_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals1l2 PE=1 SV=1, Danio_rerio_tr_F1QGM0_F1QGM0_DANRE tr|F1QGM0|F1QGM0_DANRE Galectin OS=Danio rerio OX=7955 GN=Drgal1-L1 PE=1 SV=1
OG0000078	Pleurobrachia_bachei_sb_2661116_ sb_2661116_, Pleurobrachia_bachei_sb_2661117_ sb_2661117_, Pleurobrachia_bachei_sb_2666972_ sb_2666972_, Pleurobrachia_bachei_sb_2653883_ sb_2653883_, Pleurobrachia_bachei_sb_2665577_ sb_2665577_, Pleurobrachia_bachei_sb_2660390_ sb_2660390_	Danio_rerio_tr_A3KNG7_A3KNG7_DANRE tr|A3KNG7|A3KNG7_DANRE Si_dkey-158b13.1 OS=Danio rerio OX=7955 GN=si_dkey-158b13.1 PE=1 SV=1, Danio_rerio_tr_Q568D6_Q568D6_DANRE tr|Q568D6|Q568D6_DANRE Cathepsin K OS=Danio rerio OX=7955 GN=zgc_110367 PE=1 SV=1, Danio_rerio_tr_F1RE14_F1RE14_DANRE tr|F1RE14|F1RE14_DANRE Cathepsin F OS=Danio rerio OX=7955 GN=cb420 PE=3 SV=1, Danio_rerio_tr_Q08CH0_Q08CH0_DANRE tr|Q08CH0|Q08CH0_DANRE Cathepsin F OS=Danio rerio OX=7955 GN=cb420 PE=2 SV=1
OG0000078	Pleurobrachia_bachei_sb_2666492_ sb_2666492_	Danio_rerio_tr_B8A4C9_B8A4C9_DANRE tr|B8A4C9|B8A4C9_DANRE Cystatin C _amyloid angiopathy and cerebral hemorrhage_ OS=Danio rerio OX=7955 GN=fb51d07 PE=4 SV=1
OG0000081	Pleurobrachia_bachei_sb_2661112_ sb_2661112_, Pleurobrachia_bachei_sb_2646639_ sb_2646639_, Pleurobrachia_bachei_sb_2645532_ sb_2645532_	Danio_rerio_sp_Q7SXF6_CREL2_DANRE sp|Q7SXF6|CREL2_DANRE Cysteine-rich with EGF-like domain protein 2 OS=Danio rerio OX=7955 GN=creld2 PE=2 SV=2
OG0000088	Pleurobrachia_bachei_sb_2642240_ sb_2642240_	Danio_rerio_tr_O42111_O42111_DANRE tr|O42111|O42111_DANRE MINDIN1 OS=Danio rerio OX=7955 GN=mindin1 PE=2 SV=1, Danio_rerio_tr_Q0V935_Q0V935_DANRE tr|Q0V935|Q0V935_DANRE Spon2b protein OS=Danio rerio OX=7955 GN=etID309958.14 PE=2 SV=1, Danio_rerio_tr_O42114_O42114_DANRE tr|O42114|O42114_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=cb1051 PE=2 SV=1, Danio_rerio_tr_F1R2Z9_F1R2Z9_DANRE tr|F1R2Z9|F1R2Z9_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=F-spondin2 PE=4 SV=3, Danio_rerio_tr_O42113_O42113_DANRE tr|O42113|O42113_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=F-spondin1 PE=2 SV=1
OG0000141	Pleurobrachia_bachei_sb_2647150_ sb_2647150_	Danio_rerio_tr_A8WG98_A8WG98_DANRE tr|A8WG98|A8WG98_DANRE WNT1-inducible-signaling pathway protein 1 precursor OS=Danio rerio OX=7955 GN=wisp1b PE=2 SV=1, Danio_rerio_tr_D0E2W1_D0E2W1_DANRE tr|D0E2W1|D0E2W1_DANRE Cellular communication network factor 4a precursor OS=Danio rerio OX=7955 GN=si_ch211-38f10.2 PE=2 SV=1, Danio_rerio_tr_D0E2W2_D0E2W2_DANRE tr|D0E2W2|D0E2W2_DANRE Cellular communication network factor 6 OS=Danio rerio OX=7955 GN=si_dkey-119m7.6 PE=2 SV=1, Danio_rerio_tr_D0E2V9_D0E2V9_DANRE tr|D0E2V9|D0E2V9_DANRE WNT1 inducible signaling pathway protein 2 OS=Danio rerio OX=7955 GN=wisp2 PE=2 SV=1, Danio_rerio_tr_Q5RI33_Q5RI33_DANRE tr|Q5RI33|Q5RI33_DANRE Cellular communication network factor 2a _Fragment_ OS=Danio rerio OX=7955 GN=ctgf PE=2 SV=1, Danio_rerio_tr_A6XA79_A6XA79_DANRE tr|A6XA79|A6XA79_DANRE Cellular communication network factor 2b precursor OS=Danio rerio OX=7955 GN=ctgf PE=2 SV=1, Danio_rerio_tr_A5PN60_A5PN60_DANRE tr|A5PN60|A5PN60_DANRE Cellular communication network factor 2b OS=Danio rerio OX=7955 GN=ctgfb PE=2 SV=1, Danio_rerio_tr_A0A0R4IXA2_A0A0R4IXA2_DANRE tr|A0A0R4IXA2|A0A0R4IXA2_DANRE Cellular communication network factor 1_-like 2 OS=Danio rerio OX=7955 GN=cyr61 PE=3 SV=1, Danio_rerio_tr_Q567G9_Q567G9_DANRE tr|Q567G9|Q567G9_DANRE Cellular communication network factor 1_ like 1 precursor OS=Danio rerio OX=7955 GN=zgc_112060 PE=2 SV=1, Danio_rerio_tr_F1QL10_F1QL10_DANRE tr|F1QL10|F1QL10_DANRE Cellular communication network factor 1 OS=Danio rerio OX=7955 GN=cyr61 PE=3 SV=1
OG0000148	Pleurobrachia_bachei_sb_2638472_ sb_2638472_	Danio_rerio_tr_Q66I23_Q66I23_DANRE tr|Q66I23|Q66I23_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=zgc_92058 PE=2 SV=1, Danio_rerio_tr_A0A8M9QGK2_A0A8M9QGK2_DANRE tr|A0A8M9QGK2|A0A8M9QGK2_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=tgfb2l PE=3 SV=1, Danio_rerio_tr_Q7SZV4_Q7SZV4_DANRE tr|Q7SZV4|Q7SZV4_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=tgfb2 PE=2 SV=1, Danio_rerio_tr_Q7ZZU7_Q7ZZU7_DANRE tr|Q7ZZU7|Q7ZZU7_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=xx_ai39657 PE=2 SV=1, Danio_rerio_tr_E9QHW0_E9QHW0_DANRE tr|E9QHW0|E9QHW0_DANRE Transforming growth factor beta OS=Danio rerio OX=7955 GN=tgfb1b PE=3 SV=1
OG0000156	Pleurobrachia_bachei_sb_2660631_ sb_2660631_, Pleurobrachia_bachei_sb_2660632_ sb_2660632_	Danio_rerio_tr_Q7ZTX7_Q7ZTX7_DANRE tr|Q7ZTX7|Q7ZTX7_DANRE Microfibrillar-associated protein 1 OS=Danio rerio OX=7955 GN=zgc_56551 PE=1 SV=1
OG0000171	Pleurobrachia_bachei_sb_2650981_ sb_2650981_	Danio_rerio_sp_Q503I8_NGLY1_DANRE sp|Q503I8|NGLY1_DANRE Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Danio rerio OX=7955 GN=ngly1 PE=2 SV=1, Danio_rerio_tr_B2GSS9_B2GSS9_DANRE tr|B2GSS9|B2GSS9_DANRE Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Danio rerio OX=7955 GN=zgc_110561 PE=2 SV=1
OG0000181	Pleurobrachia_bachei_sb_2653605_ sb_2653605_	Danio_rerio_sp_Q6DHR0_RSPO1_DANRE sp|Q6DHR0|RSPO1_DANRE R-spondin-1 OS=Danio rerio OX=7955 GN=rspo1 PE=2 SV=1, Danio_rerio_tr_M5AP50_M5AP50_DANRE tr|M5AP50|M5AP50_DANRE R-spondin 1 OS=Danio rerio OX=7955 GN=rspo1 PE=2 SV=1, Danio_rerio_sp_Q5R328_RSPO3_DANRE sp|Q5R328|RSPO3_DANRE R-spondin-3 OS=Danio rerio OX=7955 GN=rspo3 PE=2 SV=2, Danio_rerio_tr_M5AN99_M5AN99_DANRE tr|M5AN99|M5AN99_DANRE R-spondin 4 OS=Danio rerio OX=7955 GN=si_dkey-107i16.4 PE=2 SV=1
OG0000202	Pleurobrachia_bachei_sb_2658820_ sb_2658820_	Danio_rerio_sp_Q7T3Q2_CRIM1_DANRE sp|Q7T3Q2|CRIM1_DANRE Cysteine-rich motor neuron 1 protein OS=Danio rerio OX=7955 GN=crim1 PE=2 SV=1
OG0000209	Pleurobrachia_bachei_sb_2649904_ sb_2649904_	Danio_rerio_sp_Q7SYD9_INT6_DANRE sp|Q7SYD9|INT6_DANRE Integrator complex subunit 6 OS=Danio rerio OX=7955 GN=ints6 PE=2 SV=1
OG0000214	Pleurobrachia_bachei_sb_2668479_ sb_2668479_	Danio_rerio_tr_Q7ZUK5_Q7ZUK5_DANRE tr|Q7ZUK5|Q7ZUK5_DANRE Integrator complex subunit 14 OS=Danio rerio OX=7955 GN=zgc_55794 PE=1 SV=1, Danio_rerio_tr_Q1LWK5_Q1LWK5_DANRE tr|Q1LWK5|Q1LWK5_DANRE Integrator complex subunit 14 OS=Danio rerio OX=7955 GN=fi19c12 PE=1 SV=1
OG0000348	Pleurobrachia_bachei_sb_2643644_ sb_2643644_	Danio_rerio_tr_Q00P20_Q00P20_DANRE tr|Q00P20|Q00P20_DANRE Nyctalopin OS=Danio rerio OX=7955 GN=nyx PE=2 SV=1
OG0000562	Pleurobrachia_bachei_sb_2666215_ sb_2666215_	Danio_rerio_sp_Q58A48_TSK_DANRE sp|Q58A48|TSK_DANRE Tsukushi OS=Danio rerio OX=7955 GN=tsku PE=2 SV=2, Danio_rerio_tr_F1QUL3_F1QUL3_DANRE tr|F1QUL3|F1QUL3_DANRE Tsukushi OS=Danio rerio OX=7955 GN=Z-TSK PE=4 SV=1, Danio_rerio_tr_A8BB59_A8BB59_DANRE tr|A8BB59|A8BB59_DANRE Tsukushin isoform 1 precursor _Fragment_ OS=Danio rerio OX=7955 GN=tsk PE=2 SV=1
