Orthogroup	Ctenophora_Tentaculata_Pleurobrachia_bachei	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000036	Pleurobrachia_bachei_sb_2653653_ sb_2653653_, Pleurobrachia_bachei_sb_2644258_ sb_2644258_	Exaiptasia_diaphana_XP_020892218.1 XP_020892218.1 multiple epidermal growth factor-like domains protein 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517635.1 XP_028517635.1 uncharacterized protein LOC110248802 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517640.1 XP_028517640.1 uncharacterized protein LOC110248802 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892203.2 XP_020892203.2 uncharacterized protein LOC110231525 [Exaiptasia diaphana]
OG0000041	Pleurobrachia_bachei_sb_2664183_ sb_2664183_	Exaiptasia_diaphana_XP_020905592.1 XP_020905592.1 von Willebrand factor A domain-containing protein 5A [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513909.1 XP_028513909.1 uncharacterized protein LOC110235739 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903341.1 XP_020903341.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903342.1 XP_020903342.1 von Willebrand factor A domain-containing protein 5B1 isoform X2 [Exaiptasia diaphana]
OG0000041	Pleurobrachia_bachei_sb_2662959_ sb_2662959_	Exaiptasia_diaphana_XP_020912183.1 XP_020912183.1 protein mono-ADP-ribosyltransferase PARP4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912184.1 XP_020912184.1 protein mono-ADP-ribosyltransferase PARP4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912185.1 XP_020912185.1 protein mono-ADP-ribosyltransferase PARP4 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518262.1 XP_028518262.1 protein mono-ADP-ribosyltransferase PARP4 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912186.1 XP_020912186.1 protein mono-ADP-ribosyltransferase PARP4 isoform X5 [Exaiptasia diaphana]
OG0000042	Pleurobrachia_bachei_sb_2664243_ sb_2664243_, Pleurobrachia_bachei_sb_2652198_ sb_2652198_, Pleurobrachia_bachei_sb_2652199_ sb_2652199_	Exaiptasia_diaphana_XP_020913153.1 XP_020913153.1 neurexin-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515387.1 XP_028515387.1 uncharacterized protein LOC110240742 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902191.1 XP_020902191.1 neurexin-3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902193.1 XP_020902193.1 neurexin-1b [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902210.1 XP_020902210.1 neurexin-3 [Exaiptasia diaphana]
OG0000044	Pleurobrachia_bachei_sb_2650976_ sb_2650976_, Pleurobrachia_bachei_sb_2661328_ sb_2661328_	Exaiptasia_diaphana_XP_028519449.1 XP_028519449.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916544.1 XP_020916544.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916593.1 XP_020916593.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana]
OG0000045	Pleurobrachia_bachei_sb_2652096_ sb_2652096_, Pleurobrachia_bachei_sb_2652094_ sb_2652094_	Exaiptasia_diaphana_XP_028518553.1 XP_028518553.1 laminin subunit alpha [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519634.1 XP_028519634.1 laminin subunit alpha-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519624.1 XP_028519624.1 laminin subunit alpha_ partial [Exaiptasia diaphana]
OG0000045	Pleurobrachia_bachei_sb_2665443_ sb_2665443_, Pleurobrachia_bachei_sb_2641771_ sb_2641771_	Exaiptasia_diaphana_XP_020895612.2 XP_020895612.2 laminin subunit beta-4_ partial [Exaiptasia diaphana]
OG0000049	Pleurobrachia_bachei_sb_2663696_ sb_2663696_	Exaiptasia_diaphana_XP_028518799.1 XP_028518799.1 plexin-A1 [Exaiptasia diaphana]
OG0000051	Pleurobrachia_bachei_sb_2637527_ sb_2637527_, Pleurobrachia_bachei_sb_2653257_ sb_2653257_, Pleurobrachia_bachei_sb_2638879_ sb_2638879_, Pleurobrachia_bachei_sb_2661597_ sb_2661597_, Pleurobrachia_bachei_sb_2658565_ sb_2658565_, Pleurobrachia_bachei_sb_2646130_ sb_2646130_, Pleurobrachia_bachei_sb_2660715_ sb_2660715_, Pleurobrachia_bachei_sb_2650431_ sb_2650431_, Pleurobrachia_bachei_sb_2661717_ sb_2661717_, Pleurobrachia_bachei_sb_2659691_ sb_2659691_	Exaiptasia_diaphana_XP_028515912.1 XP_028515912.1 VWFA and cache domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899021.2 XP_020899021.2 LOW QUALITY PROTEIN_ VWFA and cache domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513623.1 XP_028513623.1 voltage-dependent calcium channel subunit alpha-2_delta-3 [Exaiptasia diaphana]
OG0000053	Pleurobrachia_bachei_sb_2654162_ sb_2654162_	Exaiptasia_diaphana_XP_020910451.1 XP_020910451.1 malignant fibrous histiocytoma-amplified sequence 1 homolog isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910452.1 XP_020910452.1 malignant fibrous histiocytoma-amplified sequence 1 homolog isoform X2 [Exaiptasia diaphana]
OG0000054	Pleurobrachia_bachei_sb_2665304_ sb_2665304_	Exaiptasia_diaphana_XP_020910667.1 XP_020910667.1 erbin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513465.1 XP_028513465.1 protein scribble homolog [Exaiptasia diaphana]
OG0000058	Pleurobrachia_bachei_sb_2667086_ sb_2667086_	Exaiptasia_diaphana_XP_020913733.1 XP_020913733.1 uncharacterized protein LOC110251370 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916045.1 XP_020916045.1 cubilin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514138.1 XP_028514138.1 uncharacterized protein LOC110236629 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517068.1 XP_028517068.1 uncharacterized protein LOC114575757 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516447.1 XP_028516447.1 uncharacterized protein LOC110244407 [Exaiptasia diaphana]
OG0000059	Pleurobrachia_bachei_sb_2668414_ sb_2668414_, Pleurobrachia_bachei_sb_2668415_ sb_2668415_	Exaiptasia_diaphana_XP_028516633.1 XP_028516633.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906968.1 XP_020906968.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898886.1 XP_020898886.1 uncharacterized protein LOC110237624 [Exaiptasia diaphana]
OG0000061	Pleurobrachia_bachei_sb_2656184_ sb_2656184_	Exaiptasia_diaphana_XP_020893258.1 XP_020893258.1 copine-3 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893259.1 XP_020893259.1 copine-3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906480.1 XP_020906480.1 copine-3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906472.1 XP_020906472.1 copine-3 isoform X1 [Exaiptasia diaphana]
OG0000061	Pleurobrachia_bachei_sb_2650594_ sb_2650594_	Exaiptasia_diaphana_XP_020897999.1 XP_020897999.1 copine-5 [Exaiptasia diaphana]
OG0000062	Pleurobrachia_bachei_sb_2665582_ sb_2665582_	Exaiptasia_diaphana_XP_028518542.1 XP_028518542.1 fibropellin-1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518545.1 XP_028518545.1 fibropellin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518546.1 XP_028518546.1 fibropellin-1 isoform X3 [Exaiptasia diaphana]
OG0000073	Pleurobrachia_bachei_sb_2645528_ sb_2645528_	Exaiptasia_diaphana_XP_020915772.1 XP_020915772.1 uncharacterized protein LOC110253235 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895933.1 XP_020895933.1 uncharacterized protein LOC110234861 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513712.1 XP_028513712.1 uncharacterized protein LOC110234892 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916520.2 XP_020916520.2 uncharacterized protein LOC110253908 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911803.2 XP_020911803.2 deleted in malignant brain tumors 1 protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902310.1 XP_020902310.1 uncharacterized protein LOC110240831 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911812.2 XP_020911812.2 uncharacterized protein LOC110249578 [Exaiptasia diaphana]
OG0000076	Pleurobrachia_bachei_sb_2649109_ sb_2649109_, Pleurobrachia_bachei_sb_2653383_ sb_2653383_	Exaiptasia_diaphana_XP_028513134.1 XP_028513134.1 multiple epidermal growth factor-like domains protein 6 [Exaiptasia diaphana]
OG0000078	Pleurobrachia_bachei_sb_2661116_ sb_2661116_, Pleurobrachia_bachei_sb_2661117_ sb_2661117_, Pleurobrachia_bachei_sb_2666972_ sb_2666972_, Pleurobrachia_bachei_sb_2653883_ sb_2653883_, Pleurobrachia_bachei_sb_2665577_ sb_2665577_, Pleurobrachia_bachei_sb_2660390_ sb_2660390_	Exaiptasia_diaphana_XP_020897050.1 XP_020897050.1 cathepsin L [Exaiptasia diaphana]
OG0000079	Pleurobrachia_bachei_sb_2666048_ sb_2666048_	Exaiptasia_diaphana_XP_020915592.1 XP_020915592.1 fibronectin [Exaiptasia diaphana]
OG0000087	Pleurobrachia_bachei_sb_2638853_ sb_2638853_	Exaiptasia_diaphana_XP_028512643.1 XP_028512643.1 A-kinase anchor protein 9 [Exaiptasia diaphana]
OG0000087	Pleurobrachia_bachei_sb_2655518_ sb_2655518_	Exaiptasia_diaphana_XP_020915847.1 XP_020915847.1 peripheral-type benzodiazepine receptor-associated protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915850.1 XP_020915850.1 peripheral-type benzodiazepine receptor-associated protein 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915848.1 XP_020915848.1 peripheral-type benzodiazepine receptor-associated protein 1 isoform X2 [Exaiptasia diaphana]
OG0000088	Pleurobrachia_bachei_sb_2642240_ sb_2642240_	Exaiptasia_diaphana_XP_020902795.2 XP_020902795.2 spondin-2 [Exaiptasia diaphana]
OG0000093	Pleurobrachia_bachei_sb_2644836_ sb_2644836_	Exaiptasia_diaphana_XP_020911284.1 XP_020911284.1 cystatin-B [Exaiptasia diaphana]
OG0000094	Pleurobrachia_bachei_sb_2649790_ sb_2649790_	Exaiptasia_diaphana_XP_020908799.1 XP_020908799.1 leucine-rich repeat and calponin homology domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908800.1 XP_020908800.1 leucine-rich repeat and calponin homology domain-containing protein 1 isoform X2 [Exaiptasia diaphana]
OG0000099	Pleurobrachia_bachei_sb_2646724_ sb_2646724_	Exaiptasia_diaphana_XP_028518232.1 XP_028518232.1 collagen alpha-5_VI_ chain-like [Exaiptasia diaphana]
OG0000103	Pleurobrachia_bachei_sb_2660818_ sb_2660818_	Exaiptasia_diaphana_XP_028519276.1 XP_028519276.1 leucine-rich repeat-containing protein 49 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519277.1 XP_028519277.1 leucine-rich repeat-containing protein 49 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915977.1 XP_020915977.1 leucine-rich repeat-containing protein 49 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915978.1 XP_020915978.1 leucine-rich repeat-containing protein 49 isoform X2 [Exaiptasia diaphana]
OG0000111	Pleurobrachia_bachei_sb_2653614_ sb_2653614_, Pleurobrachia_bachei_sb_2643597_ sb_2643597_	Exaiptasia_diaphana_XP_020907468.1 XP_020907468.1 mucin-17 [Exaiptasia diaphana]
OG0000118	Pleurobrachia_bachei_sb_2648259_ sb_2648259_	Exaiptasia_diaphana_XP_020911519.1 XP_020911519.1 immunoglobulin superfamily DCC subclass member 3_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912639.1 XP_020912639.1 neogenin isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518374.1 XP_028518374.1 neogenin isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907046.1 XP_020907046.1 neural cell adhesion molecule 1-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907047.1 XP_020907047.1 neural cell adhesion molecule 1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516686.1 XP_028516686.1 uncharacterized protein LOC110245136 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516685.1 XP_028516685.1 twitchin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518373.1 XP_028518373.1 uncharacterized protein LOC114576269 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516687.1 XP_028516687.1 receptor-type tyrosine-protein phosphatase F [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907671.1 XP_020907671.1 neural cell adhesion molecule 1-B isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907667.1 XP_020907667.1 neural cell adhesion molecule 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907668.1 XP_020907668.1 neural cell adhesion molecule 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907669.1 XP_020907669.1 hemicentin-1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907670.1 XP_020907670.1 neural cell adhesion molecule 1-B isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898269.1 XP_020898269.1 myosin-binding protein C_ slow-type [Exaiptasia diaphana]
OG0000122	Pleurobrachia_bachei_sb_2642445_ sb_2642445_	Exaiptasia_diaphana_XP_020917471.1 XP_020917471.1 uncharacterized protein LOC110254769 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020891990.1 XP_020891990.1 epididymal sperm-binding protein 1-like_ partial [Exaiptasia diaphana]
OG0000133	Pleurobrachia_bachei_sb_2638205_ sb_2638205_	Exaiptasia_diaphana_XP_020911647.1 XP_020911647.1 leucine-rich repeat-containing protein 9 [Exaiptasia diaphana]
OG0000134	Pleurobrachia_bachei_sb_2657552_ sb_2657552_	Exaiptasia_diaphana_XP_028519000.1 XP_028519000.1 uncharacterized protein LOC110252463 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914922.1 XP_020914922.1 uncharacterized protein LOC110252439 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518255.1 XP_028518255.1 midasin [Exaiptasia diaphana]
OG0000146	Pleurobrachia_bachei_sb_2638266_ sb_2638266_	Exaiptasia_diaphana_XP_028512736.1 XP_028512736.1 uncharacterized protein LOC110231904 [Exaiptasia diaphana]
OG0000148	Pleurobrachia_bachei_sb_2638472_ sb_2638472_	Exaiptasia_diaphana_XP_020915263.1 XP_020915263.1 transforming growth factor beta-2 proprotein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519105.1 XP_028519105.1 transforming growth factor beta-2 proprotein [Exaiptasia diaphana]
OG0000152	Pleurobrachia_bachei_sb_2656754_ sb_2656754_, Pleurobrachia_bachei_sb_2667777_ sb_2667777_, Pleurobrachia_bachei_sb_2638257_ sb_2638257_, Pleurobrachia_bachei_sb_2657752_ sb_2657752_, Pleurobrachia_bachei_sb_2643708_ sb_2643708_	Exaiptasia_diaphana_XP_020904233.1 XP_020904233.1 leucine-rich repeat protein soc-2 homolog isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904234.1 XP_020904234.1 leucine-rich repeat protein soc-2 homolog isoform X2 [Exaiptasia diaphana]
OG0000156	Pleurobrachia_bachei_sb_2660631_ sb_2660631_, Pleurobrachia_bachei_sb_2660632_ sb_2660632_	Exaiptasia_diaphana_XP_028513245.1 XP_028513245.1 microfibrillar-associated protein 1 [Exaiptasia diaphana]
OG0000159	Pleurobrachia_bachei_sb_2666628_ sb_2666628_, Pleurobrachia_bachei_sb_2666626_ sb_2666626_	Exaiptasia_diaphana_XP_020913849.1 XP_020913849.1 fibronectin type 3 and ankyrin repeat domains protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893289.1 XP_020893289.1 fibronectin type 3 and ankyrin repeat domains protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903022.1 XP_020903022.1 fibronectin type 3 and ankyrin repeat domains protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903026.1 XP_020903026.1 fibronectin type 3 and ankyrin repeat domains protein 1_ partial [Exaiptasia diaphana]
OG0000165	Pleurobrachia_bachei_sb_2662898_ sb_2662898_	Exaiptasia_diaphana_XP_020906110.1 XP_020906110.1 leucine-rich repeat-containing protein 58 [Exaiptasia diaphana]
OG0000166	Pleurobrachia_bachei_sb_2639839_ sb_2639839_	Exaiptasia_diaphana_XP_020908802.1 XP_020908802.1 mucin-5AC [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519294.1 XP_028519294.1 uncharacterized protein LOC110253486 [Exaiptasia diaphana]
OG0000171	Pleurobrachia_bachei_sb_2650981_ sb_2650981_	Exaiptasia_diaphana_XP_020911895.1 XP_020911895.1 peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase [Exaiptasia diaphana]
OG0000177	Pleurobrachia_bachei_sb_2656763_ sb_2656763_	Exaiptasia_diaphana_XP_020898461.1 XP_020898461.1 protein phosphatase 1 regulatory subunit 7 [Exaiptasia diaphana]
OG0000179	Pleurobrachia_bachei_sb_2639130_ sb_2639130_	Exaiptasia_diaphana_XP_028517066.1 XP_028517066.1 uncharacterized protein LOC114575755 [Exaiptasia diaphana]
OG0000187	Pleurobrachia_bachei_sb_2656245_ sb_2656245_	Exaiptasia_diaphana_XP_020906478.1 XP_020906478.1 leucine-rich repeat-containing protein 69 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894430.1 XP_020894430.1 leucine-rich repeat-containing protein 69 [Exaiptasia diaphana]
OG0000192	Pleurobrachia_bachei_sb_2638886_ sb_2638886_	Exaiptasia_diaphana_XP_020895920.1 XP_020895920.1 protein flightless-1 homolog [Exaiptasia diaphana]
OG0000193	Pleurobrachia_bachei_sb_2667957_ sb_2667957_	Exaiptasia_diaphana_XP_020902775.1 XP_020902775.1 CCR4-NOT transcription complex subunit 6-like [Exaiptasia diaphana]
OG0000194	Pleurobrachia_bachei_sb_2644221_ sb_2644221_, Pleurobrachia_bachei_sb_2653137_ sb_2653137_	Exaiptasia_diaphana_XP_020902507.1 XP_020902507.1 leucine-rich repeat-containing protein 40 [Exaiptasia diaphana]
OG0000195	Pleurobrachia_bachei_sb_2646890_ sb_2646890_, Pleurobrachia_bachei_sb_2645395_ sb_2645395_	Exaiptasia_diaphana_XP_020893065.1 XP_020893065.1 ras suppressor protein 1 [Exaiptasia diaphana]
OG0000199	Pleurobrachia_bachei_sb_2661537_ sb_2661537_	Exaiptasia_diaphana_XP_020899985.1 XP_020899985.1 26S proteasome non-ATPase regulatory subunit 4 [Exaiptasia diaphana]
OG0000200	Pleurobrachia_bachei_sb_2649701_ sb_2649701_	Exaiptasia_diaphana_XP_020915029.1 XP_020915029.1 von Willebrand factor A domain-containing protein 3B [Exaiptasia diaphana]
OG0000209	Pleurobrachia_bachei_sb_2649904_ sb_2649904_	Exaiptasia_diaphana_XP_020908002.1 XP_020908002.1 integrator complex subunit 6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908096.2 XP_020908096.2 integrator complex subunit 6-B [Exaiptasia diaphana]
OG0000210	Pleurobrachia_bachei_sb_2664616_ sb_2664616_	Exaiptasia_diaphana_XP_020908043.1 XP_020908043.1 X-ray radiation resistance-associated protein 1 [Exaiptasia diaphana]
OG0000211	Pleurobrachia_bachei_sb_2660965_ sb_2660965_	Exaiptasia_diaphana_XP_028519363.1 XP_028519363.1 protein MLP1 [Exaiptasia diaphana]
OG0000212	Pleurobrachia_bachei_sb_2659924_ sb_2659924_, Pleurobrachia_bachei_sb_2659926_ sb_2659926_	Exaiptasia_diaphana_XP_020904592.1 XP_020904592.1 LOW QUALITY PROTEIN_ E3 ubiquitin-protein ligase LRSAM1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516015.1 XP_028516015.1 E3 ubiquitin-protein ligase LRSAM1-like isoform X1 [Exaiptasia diaphana]
OG0000214	Pleurobrachia_bachei_sb_2668479_ sb_2668479_	Exaiptasia_diaphana_XP_020904790.1 XP_020904790.1 LOW QUALITY PROTEIN_ integrator complex subunit 14-like [Exaiptasia diaphana]
OG0000229	Pleurobrachia_bachei_sb_2641828_ sb_2641828_	Exaiptasia_diaphana_XP_020912652.1 XP_020912652.1 leucine-rich repeat protein 1 [Exaiptasia diaphana]
OG0000237	Pleurobrachia_bachei_sb_2660173_ sb_2660173_	Exaiptasia_diaphana_XP_020908032.1 XP_020908032.1 uncharacterized protein LOC110246071 [Exaiptasia diaphana]
OG0000239	Pleurobrachia_bachei_sb_2664913_ sb_2664913_	Exaiptasia_diaphana_XP_020900593.1 XP_020900593.1 uncharacterized protein LOC110239222 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020900592.1 XP_020900592.1 uncharacterized protein LOC110239222 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514898.1 XP_028514898.1 uncharacterized protein LOC110239222 isoform X1 [Exaiptasia diaphana]
OG0000245	Pleurobrachia_bachei_sb_2651843_ sb_2651843_	Exaiptasia_diaphana_XP_028512622.1 XP_028512622.1 uncharacterized protein LOC110231617 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512626.1 XP_028512626.1 uncharacterized protein LOC110231617 isoform X6 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512625.1 XP_028512625.1 uncharacterized protein LOC110231617 isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512621.1 XP_028512621.1 uncharacterized protein LOC110231617 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512623.1 XP_028512623.1 uncharacterized protein LOC110231617 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512624.1 XP_028512624.1 uncharacterized protein LOC110231617 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513431.1 XP_028513431.1 uncharacterized protein LOC114574596 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513432.1 XP_028513432.1 uncharacterized protein LOC114574596 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020896653.2 XP_020896653.2 uncharacterized protein LOC110235528 [Exaiptasia diaphana]
OG0000273	Pleurobrachia_bachei_sb_2648028_ sb_2648028_	Exaiptasia_diaphana_XP_020895227.1 XP_020895227.1 uncharacterized protein LOC110234206 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514385.1 XP_028514385.1 uncharacterized protein LOC114574897 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514345.1 XP_028514345.1 uncharacterized protein LOC110237042 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904736.1 XP_020904736.1 uncharacterized protein LOC110242990 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518719.1 XP_028518719.1 uncharacterized protein LOC114576370 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898267.1 XP_020898267.1 uncharacterized protein LOC110237034 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898123.1 XP_020898123.1 uncharacterized protein LOC110236902 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898083.2 XP_020898083.2 uncharacterized protein LOC110236866 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513807.1 XP_028513807.1 C-type mannose receptor 2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518715.1 XP_028518715.1 uncharacterized protein LOC114576367 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514175.1 XP_028514175.1 secretory phospholipase A2 receptor-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514166.1 XP_028514166.1 uncharacterized protein LOC114574803 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897909.2 XP_020897909.2 uncharacterized protein LOC110236711 [Exaiptasia diaphana]
OG0000393	Pleurobrachia_bachei_sb_2666968_ sb_2666968_, Pleurobrachia_bachei_sb_2662634_ sb_2662634_, Pleurobrachia_bachei_sb_2647432_ sb_2647432_, Pleurobrachia_bachei_sb_2643574_ sb_2643574_	Exaiptasia_diaphana_XP_020904196.1 XP_020904196.1 protein Wnt-16-like [Exaiptasia diaphana]
OG0000439	Pleurobrachia_bachei_sb_2648210_ sb_2648210_	Exaiptasia_diaphana_XP_028515272.1 XP_028515272.1 notch homolog 2 N-terminal-like protein A isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901877.2 XP_020901877.2 adhesive plaque matrix protein 2 isoform X1 [Exaiptasia diaphana]
OG0000598	Pleurobrachia_bachei_sb_2658183_ sb_2658183_, Pleurobrachia_bachei_sb_2660412_ sb_2660412_	Exaiptasia_diaphana_XP_028513969.1 XP_028513969.1 cilia- and flagella-associated protein 54 [Exaiptasia diaphana]
OG0000625	Pleurobrachia_bachei_sb_2665657_ sb_2665657_, Pleurobrachia_bachei_sb_2660599_ sb_2660599_	Exaiptasia_diaphana_XP_028516770.1 XP_028516770.1 uncharacterized protein LOC110245407 [Exaiptasia diaphana]
OG0000708	Pleurobrachia_bachei_sb_2659160_ sb_2659160_	Exaiptasia_diaphana_XP_028517404.1 XP_028517404.1 uncharacterized protein LOC114575897 [Exaiptasia diaphana]
OG0001153	Pleurobrachia_bachei_sb_2662623_ sb_2662623_, Pleurobrachia_bachei_sb_2649255_ sb_2649255_	Exaiptasia_diaphana_XP_028518731.1 XP_028518731.1 ephrin type-B receptor 1-B-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518730.1 XP_028518730.1 ephrin type-B receptor 2-like isoform X1 [Exaiptasia diaphana]
