Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Anthozoa_Xenia_spec
OG0000042	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein, Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein, Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein	Xenia_spec_Xe_012350_T1 Xe_012350_T1 Xe_012350
OG0000042	Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein	Xenia_spec_Xe_020831_T1 Xe_020831_T1 Xe_020831, Xenia_spec_Xe_020822_T1 Xe_020822_T1 Xe_020822
OG0000044	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377
OG0000045	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein	Xenia_spec_Xe_020060_T1 Xe_020060_T1 Xe_020060
OG0000045	Clytia_hemispherica_TCONS_00036447-protein TCONS_00036447-protein, Clytia_hemispherica_TCONS_00064868-protein TCONS_00064868-protein, Clytia_hemispherica_TCONS_00064836-protein TCONS_00064836-protein, Clytia_hemispherica_TCONS_00043175-protein TCONS_00043175-protein	Xenia_spec_Xe_002601_T1 Xe_002601_T1 Xe_002601
OG0000046	Clytia_hemispherica_TCONS_00050883-protein TCONS_00050883-protein, Clytia_hemispherica_TCONS_00065761-protein TCONS_00065761-protein, Clytia_hemispherica_TCONS_00072914-protein TCONS_00072914-protein, Clytia_hemispherica_TCONS_00003192-protein TCONS_00003192-protein, Clytia_hemispherica_TCONS_00000570-protein TCONS_00000570-protein, Clytia_hemispherica_TCONS_00043112-protein TCONS_00043112-protein, Clytia_hemispherica_TCONS_00043709-protein TCONS_00043709-protein	Xenia_spec_Xe_014826_T1 Xe_014826_T1 Xe_014826
OG0000049	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein	Xenia_spec_Xe_014133_T1 Xe_014133_T1 Xe_014133
OG0000053	Clytia_hemispherica_TCONS_00069010-protein TCONS_00069010-protein	Xenia_spec_Xe_017104_T1 Xe_017104_T1 Xe_017104
OG0000054	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386
OG0000054	Clytia_hemispherica_TCONS_00036167-protein TCONS_00036167-protein	Xenia_spec_Xe_002676_T1 Xe_002676_T1 Xe_002676
OG0000061	Clytia_hemispherica_TCONS_00050243-protein TCONS_00050243-protein	Xenia_spec_Xe_020705_T1 Xe_020705_T1 Xe_020705
OG0000061	Clytia_hemispherica_TCONS_00002099-protein TCONS_00002099-protein, Clytia_hemispherica_TCONS_00005277-protein TCONS_00005277-protein, Clytia_hemispherica_TCONS_00040450-protein TCONS_00040450-protein, Clytia_hemispherica_TCONS_00005276-protein TCONS_00005276-protein	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790
OG0000062	Clytia_hemispherica_TCONS_00052771-protein TCONS_00052771-protein, Clytia_hemispherica_TCONS_00023638-protein TCONS_00023638-protein	Xenia_spec_Xe_011999_T1 Xe_011999_T1 Xe_011999
OG0000062	Clytia_hemispherica_TCONS_00007562-protein TCONS_00007562-protein	Xenia_spec_Xe_011964_T1 Xe_011964_T1 Xe_011964
OG0000063	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein	Xenia_spec_Xe_010055_T1 Xe_010055_T1 Xe_010055
OG0000064	Clytia_hemispherica_TCONS_00067933-protein TCONS_00067933-protein, Clytia_hemispherica_TCONS_00067923-protein TCONS_00067923-protein	Xenia_spec_Xe_002322_T1 Xe_002322_T1 Xe_002322
OG0000070	Clytia_hemispherica_TCONS_00021784-protein TCONS_00021784-protein	Xenia_spec_Xe_000193_T1 Xe_000193_T1 Xe_000193
OG0000081	Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein	Xenia_spec_Xe_004317_T1 Xe_004317_T1 Xe_004317
OG0000082	Clytia_hemispherica_TCONS_00001201-protein TCONS_00001201-protein	Xenia_spec_Xe_008177_T1 Xe_008177_T1 Xe_008177
OG0000086	Clytia_hemispherica_TCONS_00039485-protein TCONS_00039485-protein, Clytia_hemispherica_TCONS_00061995-protein TCONS_00061995-protein, Clytia_hemispherica_TCONS_00068191-protein TCONS_00068191-protein	Xenia_spec_Xe_017482_T1 Xe_017482_T1 Xe_017482, Xenia_spec_Xe_017484_T2 Xe_017484_T2 Xe_017484, Xenia_spec_Xe_017484_T1 Xe_017484_T1 Xe_017484
OG0000087	Clytia_hemispherica_TCONS_00024126-protein TCONS_00024126-protein	Xenia_spec_Xe_004782_T1 Xe_004782_T1 Xe_004782
OG0000089	Clytia_hemispherica_TCONS_00004749-protein TCONS_00004749-protein	Xenia_spec_Xe_014721_T1 Xe_014721_T1 Xe_014721
OG0000094	Clytia_hemispherica_TCONS_00019291-protein TCONS_00019291-protein	Xenia_spec_Xe_014308_T1 Xe_014308_T1 Xe_014308
OG0000099	Clytia_hemispherica_TCONS_00015994-protein TCONS_00015994-protein, Clytia_hemispherica_TCONS_00016000-protein TCONS_00016000-protein, Clytia_hemispherica_TCONS_00015967-protein TCONS_00015967-protein	Xenia_spec_Xe_014903_T1 Xe_014903_T1 Xe_014903, Xenia_spec_Xe_002440_T1 Xe_002440_T1 Xe_002440, Xenia_spec_Xe_003140_T1 Xe_003140_T1 Xe_003140, Xenia_spec_Xe_001885_T1 Xe_001885_T1 Xe_001885
OG0000100	Clytia_hemispherica_TCONS_00062227-protein TCONS_00062227-protein	Xenia_spec_Xe_006066_T1 Xe_006066_T1 Xe_006066
OG0000100	Clytia_hemispherica_TCONS_00062230-protein TCONS_00062230-protein	Xenia_spec_Xe_006067_T1 Xe_006067_T1 Xe_006067
OG0000100	Clytia_hemispherica_TCONS_00024080-protein TCONS_00024080-protein	Xenia_spec_Xe_006064_T1 Xe_006064_T1 Xe_006064
OG0000103	Clytia_hemispherica_TCONS_00012064-protein TCONS_00012064-protein	Xenia_spec_Xe_009673_T1 Xe_009673_T1 Xe_009673
OG0000106	Clytia_hemispherica_TCONS_00050547-protein TCONS_00050547-protein, Clytia_hemispherica_TCONS_00050544-protein TCONS_00050544-protein, Clytia_hemispherica_TCONS_00034674-protein TCONS_00034674-protein, Clytia_hemispherica_TCONS_00024961-protein TCONS_00024961-protein, Clytia_hemispherica_TCONS_00037516-protein TCONS_00037516-protein, Clytia_hemispherica_TCONS_00015172-protein TCONS_00015172-protein	Xenia_spec_Xe_017467_T1 Xe_017467_T1 Xe_017467, Xenia_spec_Xe_017483_T1 Xe_017483_T1 Xe_017483, Xenia_spec_Xe_017470_T1 Xe_017470_T1 Xe_017470, Xenia_spec_Xe_017492_T1 Xe_017492_T1 Xe_017492
OG0000111	Clytia_hemispherica_TCONS_00064231-protein TCONS_00064231-protein	Xenia_spec_Xe_018449_T1 Xe_018449_T1 Xe_018449
OG0000113	Clytia_hemispherica_TCONS_00049955-protein TCONS_00049955-protein	Xenia_spec_Xe_014684_T1 Xe_014684_T1 Xe_014684
OG0000116	Clytia_hemispherica_TCONS_00053845-protein TCONS_00053845-protein	Xenia_spec_Xe_014990_T1 Xe_014990_T1 Xe_014990
OG0000119	Clytia_hemispherica_TCONS_00020107-protein TCONS_00020107-protein	Xenia_spec_Xe_000603_T1 Xe_000603_T1 Xe_000603
OG0000121	Clytia_hemispherica_TCONS_00000040-protein TCONS_00000040-protein	Xenia_spec_Xe_002883_T1 Xe_002883_T1 Xe_002883
OG0000131	Clytia_hemispherica_TCONS_00002425-protein TCONS_00002425-protein, Clytia_hemispherica_TCONS_00002495-protein TCONS_00002495-protein	Xenia_spec_Xe_012716_T1 Xe_012716_T1 Xe_012716
OG0000133	Clytia_hemispherica_TCONS_00000171-protein TCONS_00000171-protein	Xenia_spec_Xe_002448_T1 Xe_002448_T1 Xe_002448
OG0000150	Clytia_hemispherica_TCONS_00003726-protein TCONS_00003726-protein	Xenia_spec_Xe_007831_T1 Xe_007831_T1 Xe_007831
OG0000158	Clytia_hemispherica_TCONS_00064843-protein TCONS_00064843-protein	Xenia_spec_Xe_010642_T1 Xe_010642_T1 Xe_010642, Xenia_spec_Xe_016401_T1 Xe_016401_T1 Xe_016401, Xenia_spec_Xe_016396_T1 Xe_016396_T1 Xe_016396
OG0000158	Clytia_hemispherica_TCONS_00065605-protein TCONS_00065605-protein	Xenia_spec_Xe_004819_T1 Xe_004819_T1 Xe_004819
OG0000160	Clytia_hemispherica_TCONS_00064739-protein TCONS_00064739-protein, Clytia_hemispherica_TCONS_00024235-protein TCONS_00024235-protein	Xenia_spec_Xe_004370_T1 Xe_004370_T1 Xe_004370
OG0000177	Clytia_hemispherica_TCONS_00003500-protein TCONS_00003500-protein	Xenia_spec_Xe_012642_T1 Xe_012642_T1 Xe_012642
OG0000182	Clytia_hemispherica_TCONS_00059231-protein TCONS_00059231-protein	Xenia_spec_Xe_018472_T1 Xe_018472_T1 Xe_018472
OG0000183	Clytia_hemispherica_TCONS_00070802-protein TCONS_00070802-protein, Clytia_hemispherica_TCONS_00014443-protein TCONS_00014443-protein, Clytia_hemispherica_TCONS_00073484-protein TCONS_00073484-protein, Clytia_hemispherica_TCONS_00003100-protein TCONS_00003100-protein, Clytia_hemispherica_TCONS_00032399-protein TCONS_00032399-protein, Clytia_hemispherica_TCONS_00027079-protein TCONS_00027079-protein	Xenia_spec_Xe_013382_T1 Xe_013382_T1 Xe_013382, Xenia_spec_Xe_013357_T1 Xe_013357_T1 Xe_013357
OG0000187	Clytia_hemispherica_TCONS_00003206-protein TCONS_00003206-protein	Xenia_spec_Xe_005860_T1 Xe_005860_T1 Xe_005860, Xenia_spec_Xe_005930_T1 Xe_005930_T1 Xe_005930
OG0000188	Clytia_hemispherica_TCONS_00060278-protein TCONS_00060278-protein, Clytia_hemispherica_TCONS_00060280-protein TCONS_00060280-protein	Xenia_spec_Xe_000226_T1 Xe_000226_T1 Xe_000226
OG0000192	Clytia_hemispherica_TCONS_00014937-protein TCONS_00014937-protein	Xenia_spec_Xe_016382_T1 Xe_016382_T1 Xe_016382
OG0000193	Clytia_hemispherica_TCONS_00053692-protein TCONS_00053692-protein	Xenia_spec_Xe_008475_T1 Xe_008475_T1 Xe_008475
OG0000195	Clytia_hemispherica_TCONS_00066994-protein TCONS_00066994-protein	Xenia_spec_Xe_009602_T1 Xe_009602_T1 Xe_009602
OG0000197	Clytia_hemispherica_TCONS_00051925-protein TCONS_00051925-protein	Xenia_spec_Xe_007048_T1 Xe_007048_T1 Xe_007048
OG0000199	Clytia_hemispherica_TCONS_00047808-protein TCONS_00047808-protein	Xenia_spec_Xe_013084_T1 Xe_013084_T1 Xe_013084
OG0000200	Clytia_hemispherica_TCONS_00023146-protein TCONS_00023146-protein	Xenia_spec_Xe_015525_T1 Xe_015525_T1 Xe_015525
OG0000201	Clytia_hemispherica_TCONS_00051608-protein TCONS_00051608-protein	Xenia_spec_Xe_003238_T1 Xe_003238_T1 Xe_003238
OG0000203	Clytia_hemispherica_TCONS_00002252-protein TCONS_00002252-protein	Xenia_spec_Xe_014757_T1 Xe_014757_T1 Xe_014757
OG0000204	Clytia_hemispherica_TCONS_00063679-protein TCONS_00063679-protein	Xenia_spec_Xe_015988_T1 Xe_015988_T1 Xe_015988
OG0000210	Clytia_hemispherica_TCONS_00052810-protein TCONS_00052810-protein	Xenia_spec_Xe_014129_T1 Xe_014129_T1 Xe_014129
OG0000211	Clytia_hemispherica_TCONS_00064022-protein TCONS_00064022-protein	Xenia_spec_Xe_009004_T2 Xe_009004_T2 Xe_009004, Xenia_spec_Xe_009004_T1 Xe_009004_T1 Xe_009004
OG0000213	Clytia_hemispherica_TCONS_00007329-protein TCONS_00007329-protein	Xenia_spec_Xe_007490_T1 Xe_007490_T1 Xe_007490
OG0000231	Clytia_hemispherica_TCONS_00061987-protein TCONS_00061987-protein	Xenia_spec_Xe_000375_T1 Xe_000375_T1 Xe_000375
OG0000237	Clytia_hemispherica_TCONS_00028314-protein TCONS_00028314-protein	Xenia_spec_Xe_014192_T1 Xe_014192_T1 Xe_014192
OG0000248	Clytia_hemispherica_TCONS_00073674-protein TCONS_00073674-protein	Xenia_spec_Xe_002388_T1 Xe_002388_T1 Xe_002388
OG0000286	Clytia_hemispherica_TCONS_00061110-protein TCONS_00061110-protein	Xenia_spec_Xe_006853_T1 Xe_006853_T1 Xe_006853, Xenia_spec_Xe_005192_T1 Xe_005192_T1 Xe_005192, Xenia_spec_Xe_011406_T1 Xe_011406_T1 Xe_011406
OG0000288	Clytia_hemispherica_TCONS_00007150-protein TCONS_00007150-protein, Clytia_hemispherica_TCONS_00007144-protein TCONS_00007144-protein	Xenia_spec_Xe_002020_T1 Xe_002020_T1 Xe_002020
OG0000303	Clytia_hemispherica_TCONS_00065051-protein TCONS_00065051-protein	Xenia_spec_Xe_013147_T1 Xe_013147_T1 Xe_013147, Xenia_spec_Xe_013893_T1 Xe_013893_T1 Xe_013893
OG0000309	Clytia_hemispherica_TCONS_00026216-protein TCONS_00026216-protein	Xenia_spec_Xe_002052_T1 Xe_002052_T1 Xe_002052
OG0000330	Clytia_hemispherica_TCONS_00068879-protein TCONS_00068879-protein	Xenia_spec_Xe_001209_T1 Xe_001209_T1 Xe_001209, Xenia_spec_Xe_009933_T1 Xe_009933_T1 Xe_009933
OG0000349	Clytia_hemispherica_TCONS_00070117-protein TCONS_00070117-protein	Xenia_spec_Xe_018605_T1 Xe_018605_T1 Xe_018605
OG0000375	Clytia_hemispherica_TCONS_00013702-protein TCONS_00013702-protein	Xenia_spec_Xe_002414_T1 Xe_002414_T1 Xe_002414
OG0000439	Clytia_hemispherica_TCONS_00009709-protein TCONS_00009709-protein	Xenia_spec_Xe_002417_T1 Xe_002417_T1 Xe_002417
OG0000463	Clytia_hemispherica_TCONS_00022780-protein TCONS_00022780-protein	Xenia_spec_Xe_010628_T1 Xe_010628_T1 Xe_010628
OG0000482	Clytia_hemispherica_TCONS_00072325-protein TCONS_00072325-protein	Xenia_spec_Xe_008217_T1 Xe_008217_T1 Xe_008217
OG0000560	Clytia_hemispherica_TCONS_00051700-protein TCONS_00051700-protein, Clytia_hemispherica_TCONS_00030314-protein TCONS_00030314-protein	Xenia_spec_Xe_019748_T1 Xe_019748_T1 Xe_019748
OG0000719	Clytia_hemispherica_TCONS_00004031-protein TCONS_00004031-protein	Xenia_spec_Xe_014765_T2 Xe_014765_T2 Xe_014765, Xenia_spec_Xe_009786_T1 Xe_009786_T1 Xe_009786
