Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Hydrozoa_Hydra_vulgaris
OG0000005	Clytia_hemispherica_TCONS_00059075-protein TCONS_00059075-protein	Hydra_vulgaris_Sc4wPfr_180.g11698.t1 Sc4wPfr_180.g11698.t1
OG0000006	Clytia_hemispherica_TCONS_00017431-protein TCONS_00017431-protein	Hydra_vulgaris_Sc4wPfr_727.g7600.t1 Sc4wPfr_727.g7600.t1, Hydra_vulgaris_Sc4wPfr_73.g11519.t1 Sc4wPfr_73.g11519.t1
OG0000006	Clytia_hemispherica_TCONS_00046199-protein TCONS_00046199-protein	Hydra_vulgaris_Sc4wPfr_504.g10344.t1 Sc4wPfr_504.g10344.t1
OG0000006	Clytia_hemispherica_TCONS_00019049-protein TCONS_00019049-protein	Hydra_vulgaris_Sc4wPfr_279.g30446.t1 Sc4wPfr_279.g30446.t1
OG0000006	Clytia_hemispherica_TCONS_00055514-protein TCONS_00055514-protein, Clytia_hemispherica_TCONS_00001195-protein TCONS_00001195-protein	Hydra_vulgaris_Sc4wPfr_172.g6062.t1 Sc4wPfr_172.g6062.t1, Hydra_vulgaris_Sc4wPfr_172.g6056.t1 Sc4wPfr_172.g6056.t1
OG0000007	Clytia_hemispherica_TCONS_00064084-protein TCONS_00064084-protein	Hydra_vulgaris_Sc4wPfr_118.g25110.t1 Sc4wPfr_118.g25110.t1
OG0000007	Clytia_hemispherica_TCONS_00030157-protein TCONS_00030157-protein	Hydra_vulgaris_Sc4wPfr_158.2.g10589.t1 Sc4wPfr_158.2.g10589.t1
OG0000008	Clytia_hemispherica_TCONS_00045042-protein TCONS_00045042-protein, Clytia_hemispherica_TCONS_00026309-protein TCONS_00026309-protein	Hydra_vulgaris_Sc4wPfr_124.g12364.t1 Sc4wPfr_124.g12364.t1
OG0000008	Clytia_hemispherica_TCONS_00010866-protein TCONS_00010866-protein, Clytia_hemispherica_TCONS_00016456-protein TCONS_00016456-protein	Hydra_vulgaris_Sc4wPfr_2179.g8165.t1 Sc4wPfr_2179.g8165.t1, Hydra_vulgaris_Sc4wPfr_2179.g8165.t2 Sc4wPfr_2179.g8165.t2
OG0000008	Clytia_hemispherica_TCONS_00027161-protein TCONS_00027161-protein, Clytia_hemispherica_TCONS_00060667-protein TCONS_00060667-protein, Clytia_hemispherica_TCONS_00060626-protein TCONS_00060626-protein, Clytia_hemispherica_TCONS_00027172-protein TCONS_00027172-protein, Clytia_hemispherica_TCONS_00027164-protein TCONS_00027164-protein	Hydra_vulgaris_Sc4wPfr_962.g23752.t1 Sc4wPfr_962.g23752.t1, Hydra_vulgaris_Sc4wPfr_962.g23751.t1 Sc4wPfr_962.g23751.t1, Hydra_vulgaris_Sc4wPfr_962.g23753.t1 Sc4wPfr_962.g23753.t1
OG0000008	Clytia_hemispherica_TCONS_00059356-protein TCONS_00059356-protein	Hydra_vulgaris_Sc4wPfr_484.g18303.t1 Sc4wPfr_484.g18303.t1
OG0000008	Clytia_hemispherica_TCONS_00049590-protein TCONS_00049590-protein	Hydra_vulgaris_Sc4wPfr_484.g18299.t1 Sc4wPfr_484.g18299.t1
OG0000008	Clytia_hemispherica_TCONS_00017168-protein TCONS_00017168-protein, Clytia_hemispherica_TCONS_00017172-protein TCONS_00017172-protein	Hydra_vulgaris_Sc4wPfr_56.g24476.t1 Sc4wPfr_56.g24476.t1
OG0000008	Clytia_hemispherica_TCONS_00009711-protein TCONS_00009711-protein	Hydra_vulgaris_Sc4wPfr_565.g22058.t1 Sc4wPfr_565.g22058.t1
OG0000008	Clytia_hemispherica_TCONS_00049605-protein TCONS_00049605-protein	Hydra_vulgaris_Sc4wPfr_627.g26936.t1 Sc4wPfr_627.g26936.t1
OG0000008	Clytia_hemispherica_TCONS_00026307-protein TCONS_00026307-protein	Hydra_vulgaris_Sc4wPfr_1302.g27905.t1 Sc4wPfr_1302.g27905.t1, Hydra_vulgaris_Sc4wPfr_326.g15645.t1 Sc4wPfr_326.g15645.t1
OG0000009	Clytia_hemispherica_TCONS_00055242-protein TCONS_00055242-protein	Hydra_vulgaris_Sc4wPfr_1380.1.g8427.t1 Sc4wPfr_1380.1.g8427.t1
OG0000009	Clytia_hemispherica_TCONS_00053164-protein TCONS_00053164-protein	Hydra_vulgaris_Sc4wPfr_175.g6382.t1 Sc4wPfr_175.g6382.t1, Hydra_vulgaris_Sc4wPfr_175.g6382.t2 Sc4wPfr_175.g6382.t2, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t1 Sc4wPfr_38.1.g13212.t1, Hydra_vulgaris_Sc4wPfr_38.1.g13212.t2 Sc4wPfr_38.1.g13212.t2
OG0000009	Clytia_hemispherica_TCONS_00004070-protein TCONS_00004070-protein	Hydra_vulgaris_Sc4wPfr_147.g8601.t1 Sc4wPfr_147.g8601.t1
OG0000009	Clytia_hemispherica_TCONS_00049409-protein TCONS_00049409-protein	Hydra_vulgaris_Sc4wPfr_113.1.g28340.t1 Sc4wPfr_113.1.g28340.t1
OG0000009	Clytia_hemispherica_TCONS_00044068-protein TCONS_00044068-protein, Clytia_hemispherica_TCONS_00008272-protein TCONS_00008272-protein	Hydra_vulgaris_Sc4wPfr_79.4.g4973.t1 Sc4wPfr_79.4.g4973.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4972.t1 Sc4wPfr_79.4.g4972.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4971.t1 Sc4wPfr_79.4.g4971.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4975.t1 Sc4wPfr_79.4.g4975.t1
OG0000009	Clytia_hemispherica_TCONS_00067570-protein TCONS_00067570-protein	Hydra_vulgaris_Sc4wPfr_789.g22427.t1 Sc4wPfr_789.g22427.t1
OG0000009	Clytia_hemispherica_TCONS_00072702-protein TCONS_00072702-protein	Hydra_vulgaris_Sc4wPfr_85.g891.t1 Sc4wPfr_85.g891.t1
OG0000010	Clytia_hemispherica_TCONS_00011086-protein TCONS_00011086-protein	Hydra_vulgaris_Sc4wPfr_378.g22720.t1 Sc4wPfr_378.g22720.t1, Hydra_vulgaris_Sc4wPfr_378.g22721.t1 Sc4wPfr_378.g22721.t1
OG0000010	Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein	Hydra_vulgaris_Sc4wPfr_197.g11018.t1 Sc4wPfr_197.g11018.t1
OG0000010	Clytia_hemispherica_TCONS_00064588-protein TCONS_00064588-protein	Hydra_vulgaris_Sc4wPfr_758.g3713.t1 Sc4wPfr_758.g3713.t1
OG0000010	Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein	Hydra_vulgaris_Sc4wPfr_1259.g23030.t1 Sc4wPfr_1259.g23030.t1
OG0000010	Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein	Hydra_vulgaris_Sc4wPfr_5.g3410.t1 Sc4wPfr_5.g3410.t1
OG0000012	Clytia_hemispherica_TCONS_00069193-protein TCONS_00069193-protein	Hydra_vulgaris_Sc4wPfr_309.g10778.t1 Sc4wPfr_309.g10778.t1
OG0000012	Clytia_hemispherica_TCONS_00021868-protein TCONS_00021868-protein	Hydra_vulgaris_Sc4wPfr_977.g21608.t1 Sc4wPfr_977.g21608.t1
OG0000012	Clytia_hemispherica_TCONS_00044696-protein TCONS_00044696-protein	Hydra_vulgaris_Sc4wPfr_363.2.g30334.t1 Sc4wPfr_363.2.g30334.t1
OG0000012	Clytia_hemispherica_TCONS_00003443-protein TCONS_00003443-protein	Hydra_vulgaris_Sc4wPfr_68.g2364.t1 Sc4wPfr_68.g2364.t1
OG0000012	Clytia_hemispherica_TCONS_00021872-protein TCONS_00021872-protein	Hydra_vulgaris_Sc4wPfr_977.g21610.t1 Sc4wPfr_977.g21610.t1
OG0000013	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein	Hydra_vulgaris_Sc4wPfr_68.g2322.t1 Sc4wPfr_68.g2322.t1, Hydra_vulgaris_Sc4wPfr_68.g2320.t1 Sc4wPfr_68.g2320.t1, Hydra_vulgaris_Sc4wPfr_224.1.g33373.t1 Sc4wPfr_224.1.g33373.t1
OG0000013	Clytia_hemispherica_TCONS_00027333-protein TCONS_00027333-protein, Clytia_hemispherica_TCONS_00027371-protein TCONS_00027371-protein	Hydra_vulgaris_Sc4wPfr_804.g24094.t1 Sc4wPfr_804.g24094.t1
OG0000013	Clytia_hemispherica_TCONS_00003473-protein TCONS_00003473-protein	Hydra_vulgaris_Sc4wPfr_399.g28064.t1 Sc4wPfr_399.g28064.t1
OG0000013	Clytia_hemispherica_TCONS_00065525-protein TCONS_00065525-protein	Hydra_vulgaris_Sc4wPfr_275.3.g1992.t1 Sc4wPfr_275.3.g1992.t1
OG0000013	Clytia_hemispherica_TCONS_00047033-protein TCONS_00047033-protein, Clytia_hemispherica_TCONS_00001198-protein TCONS_00001198-protein	Hydra_vulgaris_Sc4wPfr_287.2.g28262.t1 Sc4wPfr_287.2.g28262.t1
OG0000013	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein	Hydra_vulgaris_Sc4wPfr_439.g20853.t1 Sc4wPfr_439.g20853.t1
OG0000013	Clytia_hemispherica_TCONS_00073720-protein TCONS_00073720-protein	Hydra_vulgaris_Sc4wPfr_440.g6790.t1 Sc4wPfr_440.g6790.t1
OG0000014	Clytia_hemispherica_TCONS_00034923-protein TCONS_00034923-protein, Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein	Hydra_vulgaris_Sc4wPfr_1091.g16431.t1 Sc4wPfr_1091.g16431.t1, Hydra_vulgaris_Sc4wPfr_3168.g9700.t1 Sc4wPfr_3168.g9700.t1
OG0000014	Clytia_hemispherica_TCONS_00008326-protein TCONS_00008326-protein	Hydra_vulgaris_Sc4wPfr_356.g7047.t1 Sc4wPfr_356.g7047.t1
OG0000014	Clytia_hemispherica_TCONS_00024372-protein TCONS_00024372-protein	Hydra_vulgaris_Sc4wPfr_1091.g16432.t1 Sc4wPfr_1091.g16432.t1
OG0000014	Clytia_hemispherica_TCONS_00004887-protein TCONS_00004887-protein	Hydra_vulgaris_Sc4wPfr_635.g14746.t1 Sc4wPfr_635.g14746.t1
OG0000014	Clytia_hemispherica_TCONS_00006273-protein TCONS_00006273-protein	Hydra_vulgaris_Sc4wPfr_881.g1669.t3 Sc4wPfr_881.g1669.t3
OG0000014	Clytia_hemispherica_TCONS_00000234-protein TCONS_00000234-protein	Hydra_vulgaris_Sc4wPfr_565.g22061.t1 Sc4wPfr_565.g22061.t1
OG0000014	Clytia_hemispherica_TCONS_00027721-protein TCONS_00027721-protein	Hydra_vulgaris_Sc4wPfr_10.g18952.t1 Sc4wPfr_10.g18952.t1
OG0000014	Clytia_hemispherica_TCONS_00049460-protein TCONS_00049460-protein	Hydra_vulgaris_Sc4wPfr_118.g25084.t1 Sc4wPfr_118.g25084.t1, Hydra_vulgaris_Sc4wPfr_118.g25084.t2 Sc4wPfr_118.g25084.t2
OG0000015	Clytia_hemispherica_TCONS_00003290-protein TCONS_00003290-protein	Hydra_vulgaris_Sc4wPfr_330.g6850.t1 Sc4wPfr_330.g6850.t1
OG0000015	Clytia_hemispherica_TCONS_00071047-protein TCONS_00071047-protein	Hydra_vulgaris_Sc4wPfr_1593.g7872.t1 Sc4wPfr_1593.g7872.t1
OG0000016	Clytia_hemispherica_TCONS_00015027-protein TCONS_00015027-protein, Clytia_hemispherica_TCONS_00066227-protein TCONS_00066227-protein	Hydra_vulgaris_Sc4wPfr_32.g14470.t1 Sc4wPfr_32.g14470.t1
OG0000016	Clytia_hemispherica_TCONS_00068527-protein TCONS_00068527-protein, Clytia_hemispherica_TCONS_00055310-protein TCONS_00055310-protein	Hydra_vulgaris_Sc4wPfr_678.g9365.t1 Sc4wPfr_678.g9365.t1
OG0000016	Clytia_hemispherica_TCONS_00029219-protein TCONS_00029219-protein, Clytia_hemispherica_TCONS_00070408-protein TCONS_00070408-protein	Hydra_vulgaris_Sc4wPfr_938.g21233.t1 Sc4wPfr_938.g21233.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24917.t1 Sc4wPfr_706.1.g24917.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24907.t1 Sc4wPfr_706.1.g24907.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24906.t1 Sc4wPfr_706.1.g24906.t1, Hydra_vulgaris_Sc4wPfr_545.g26029.t1 Sc4wPfr_545.g26029.t1, Hydra_vulgaris_Sc4wPfr_706.2.g7977.t1 Sc4wPfr_706.2.g7977.t1, Hydra_vulgaris_Sc4wPfr_562.2.g1366.t1 Sc4wPfr_562.2.g1366.t1, Hydra_vulgaris_Sc4wPfr_472.g14883.t1 Sc4wPfr_472.g14883.t1, Hydra_vulgaris_Sc4wPfr_191.g12120.t1 Sc4wPfr_191.g12120.t1
OG0000016	Clytia_hemispherica_TCONS_00073534-protein TCONS_00073534-protein	Hydra_vulgaris_Sc4wPfr_199.g28631.t1 Sc4wPfr_199.g28631.t1, Hydra_vulgaris_Sc4wPfr_199.g28628.t1 Sc4wPfr_199.g28628.t1
OG0000016	Clytia_hemispherica_TCONS_00071584-protein TCONS_00071584-protein	Hydra_vulgaris_Sc4wPfr_678.g9355.t1 Sc4wPfr_678.g9355.t1
OG0000016	Clytia_hemispherica_TCONS_00023824-protein TCONS_00023824-protein, Clytia_hemispherica_TCONS_00010506-protein TCONS_00010506-protein	Hydra_vulgaris_Sc4wPfr_104.g15015.t1 Sc4wPfr_104.g15015.t1, Hydra_vulgaris_Sc4wPfr_2253.g19973.t1 Sc4wPfr_2253.g19973.t1, Hydra_vulgaris_Sc4wPfr_1100.g15590.t1 Sc4wPfr_1100.g15590.t1
OG0000018	Clytia_hemispherica_TCONS_00019092-protein TCONS_00019092-protein, Clytia_hemispherica_TCONS_00038451-protein TCONS_00038451-protein, Clytia_hemispherica_TCONS_00053338-protein TCONS_00053338-protein	Hydra_vulgaris_Sc4wPfr_289.g2555.t1 Sc4wPfr_289.g2555.t1
OG0000018	Clytia_hemispherica_TCONS_00066533-protein TCONS_00066533-protein	Hydra_vulgaris_Sc4wPfr_296.g32332.t1 Sc4wPfr_296.g32332.t1
OG0000019	Clytia_hemispherica_TCONS_00061469-protein TCONS_00061469-protein	Hydra_vulgaris_Sc4wPfr_102.g11053.t1 Sc4wPfr_102.g11053.t1
OG0000019	Clytia_hemispherica_TCONS_00063260-protein TCONS_00063260-protein, Clytia_hemispherica_TCONS_00033833-protein TCONS_00033833-protein	Hydra_vulgaris_Sc4wPfr_292.g13083.t1 Sc4wPfr_292.g13083.t1, Hydra_vulgaris_Sc4wPfr_825.g15293.t1 Sc4wPfr_825.g15293.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1473.t1 Sc4wPfr_1127.1.g1473.t1
OG0000019	Clytia_hemispherica_TCONS_00002859-protein TCONS_00002859-protein	Hydra_vulgaris_Sc4wPfr_1127.1.g1463.t1 Sc4wPfr_1127.1.g1463.t1, Hydra_vulgaris_Sc4wPfr_467.g16222.t1 Sc4wPfr_467.g16222.t1
OG0000019	Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein	Hydra_vulgaris_Sc4wPfr_628.g32876.t1 Sc4wPfr_628.g32876.t1, Hydra_vulgaris_Sc4wPfr_628.g32877.t1 Sc4wPfr_628.g32877.t1, Hydra_vulgaris_Sc4wPfr_628.g32875.t1 Sc4wPfr_628.g32875.t1
OG0000019	Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein	Hydra_vulgaris_Sc4wPfr_121.g2830.t1 Sc4wPfr_121.g2830.t1
OG0000019	Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein	Hydra_vulgaris_Sc4wPfr_639.g22916.t1 Sc4wPfr_639.g22916.t1
OG0000020	Clytia_hemispherica_TCONS_00047700-protein TCONS_00047700-protein	Hydra_vulgaris_Sc4wPfr_73.g11528.t1 Sc4wPfr_73.g11528.t1
OG0000020	Clytia_hemispherica_TCONS_00061671-protein TCONS_00061671-protein	Hydra_vulgaris_Sc4wPfr_558.1.g10166.t1 Sc4wPfr_558.1.g10166.t1
OG0000020	Clytia_hemispherica_TCONS_00003321-protein TCONS_00003321-protein	Hydra_vulgaris_Sc4wPfr_16.1.g8497.t1 Sc4wPfr_16.1.g8497.t1
OG0000020	Clytia_hemispherica_TCONS_00006265-protein TCONS_00006265-protein	Hydra_vulgaris_Sc4wPfr_3119.g11880.t1 Sc4wPfr_3119.g11880.t1
OG0000020	Clytia_hemispherica_TCONS_00072191-protein TCONS_00072191-protein	Hydra_vulgaris_Sc4wPfr_73.g11591.t3 Sc4wPfr_73.g11591.t3, Hydra_vulgaris_Sc4wPfr_73.g11591.t1 Sc4wPfr_73.g11591.t1, Hydra_vulgaris_Sc4wPfr_73.g11591.t2 Sc4wPfr_73.g11591.t2
OG0000021	Clytia_hemispherica_TCONS_00024883-protein TCONS_00024883-protein	Hydra_vulgaris_Sc4wPfr_118.g25134.t1 Sc4wPfr_118.g25134.t1
OG0000021	Clytia_hemispherica_TCONS_00061561-protein TCONS_00061561-protein	Hydra_vulgaris_Sc4wPfr_172.1.g1608.t3 Sc4wPfr_172.1.g1608.t3, Hydra_vulgaris_Sc4wPfr_172.1.g1608.t2 Sc4wPfr_172.1.g1608.t2, Hydra_vulgaris_Sc4wPfr_172.1.g1608.t1 Sc4wPfr_172.1.g1608.t1
OG0000021	Clytia_hemispherica_TCONS_00059183-protein TCONS_00059183-protein	Hydra_vulgaris_Sc4wPfr_320.1.g20965.t1 Sc4wPfr_320.1.g20965.t1
OG0000021	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein	Hydra_vulgaris_Sc4wPfr_597.2.g14347.t1 Sc4wPfr_597.2.g14347.t1
OG0000022	Clytia_hemispherica_TCONS_00007569-protein TCONS_00007569-protein	Hydra_vulgaris_Sc4wPfr_181.2.g21314.t1 Sc4wPfr_181.2.g21314.t1
OG0000022	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein	Hydra_vulgaris_Sc4wPfr_1269.g30707.t1 Sc4wPfr_1269.g30707.t1
OG0000022	Clytia_hemispherica_TCONS_00058750-protein TCONS_00058750-protein	Hydra_vulgaris_Sc4wPfr_828.1.g12788.t1 Sc4wPfr_828.1.g12788.t1
OG0000022	Clytia_hemispherica_TCONS_00052106-protein TCONS_00052106-protein	Hydra_vulgaris_Sc4wPfr_828.1.g12787.t1 Sc4wPfr_828.1.g12787.t1
OG0000023	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein	Hydra_vulgaris_Sc4wPfr_463.g30914.t1 Sc4wPfr_463.g30914.t1, Hydra_vulgaris_Sc4wPfr_463.g30914.t2 Sc4wPfr_463.g30914.t2, Hydra_vulgaris_Sc4wPfr_463.g30915.t1 Sc4wPfr_463.g30915.t1
OG0000024	Clytia_hemispherica_TCONS_00000826-protein TCONS_00000826-protein	Hydra_vulgaris_Sc4wPfr_27.g12231.t1 Sc4wPfr_27.g12231.t1
OG0000024	Clytia_hemispherica_TCONS_00016849-protein TCONS_00016849-protein	Hydra_vulgaris_Sc4wPfr_2322.g26961.t2 Sc4wPfr_2322.g26961.t2, Hydra_vulgaris_Sc4wPfr_2322.g26961.t1 Sc4wPfr_2322.g26961.t1
OG0000024	Clytia_hemispherica_TCONS_00005637-protein TCONS_00005637-protein	Hydra_vulgaris_Sc4wPfr_244.2.g15108.t1 Sc4wPfr_244.2.g15108.t1, Hydra_vulgaris_Sc4wPfr_244.2.g15108.t2 Sc4wPfr_244.2.g15108.t2
OG0000024	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein	Hydra_vulgaris_Sc4wPfr_199.g28646.t1 Sc4wPfr_199.g28646.t1
OG0000026	Clytia_hemispherica_TCONS_00015262-protein TCONS_00015262-protein	Hydra_vulgaris_Sc4wPfr_508.g5861.t1 Sc4wPfr_508.g5861.t1
OG0000028	Clytia_hemispherica_TCONS_00014070-protein TCONS_00014070-protein	Hydra_vulgaris_Sc4wPfr_272.g11352.t1 Sc4wPfr_272.g11352.t1, Hydra_vulgaris_Sc4wPfr_272.g11351.t1 Sc4wPfr_272.g11351.t1
OG0000028	Clytia_hemispherica_TCONS_00014047-protein TCONS_00014047-protein, Clytia_hemispherica_TCONS_00015680-protein TCONS_00015680-protein, Clytia_hemispherica_TCONS_00005375-protein TCONS_00005375-protein	Hydra_vulgaris_Sc4wPfr_272.g11355.t1 Sc4wPfr_272.g11355.t1
OG0000029	Clytia_hemispherica_TCONS_00019037-protein TCONS_00019037-protein	Hydra_vulgaris_Sc4wPfr_177.1.g6164.t1 Sc4wPfr_177.1.g6164.t1
OG0000029	Clytia_hemispherica_TCONS_00007483-protein TCONS_00007483-protein	Hydra_vulgaris_Sc4wPfr_776.g16574.t1 Sc4wPfr_776.g16574.t1
OG0000029	Clytia_hemispherica_TCONS_00003166-protein TCONS_00003166-protein	Hydra_vulgaris_Sc4wPfr_950.g24011.t1 Sc4wPfr_950.g24011.t1
OG0000029	Clytia_hemispherica_TCONS_00010654-protein TCONS_00010654-protein	Hydra_vulgaris_Sc4wPfr_1130.g25539.t1 Sc4wPfr_1130.g25539.t1
OG0000029	Clytia_hemispherica_TCONS_00010652-protein TCONS_00010652-protein	Hydra_vulgaris_Sc4wPfr_1130.g25534.t1 Sc4wPfr_1130.g25534.t1, Hydra_vulgaris_Sc4wPfr_1130.g25533.t1 Sc4wPfr_1130.g25533.t1, Hydra_vulgaris_Sc4wPfr_1130.g25540.t1 Sc4wPfr_1130.g25540.t1
OG0000030	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein	Hydra_vulgaris_Sc4wPfr_1380.1.g8435.t1 Sc4wPfr_1380.1.g8435.t1
OG0000030	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein	Hydra_vulgaris_Sc4wPfr_26.g17289.t1 Sc4wPfr_26.g17289.t1, Hydra_vulgaris_Sc4wPfr_26.g17289.t2 Sc4wPfr_26.g17289.t2
OG0000030	Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein	Hydra_vulgaris_Sc4wPfr_1020.1.g6653.t1 Sc4wPfr_1020.1.g6653.t1, Hydra_vulgaris_Sc4wPfr_1020.1.g6652.t1 Sc4wPfr_1020.1.g6652.t1
OG0000031	Clytia_hemispherica_TCONS_00010074-protein TCONS_00010074-protein, Clytia_hemispherica_TCONS_00010109-protein TCONS_00010109-protein, Clytia_hemispherica_TCONS_00020839-protein TCONS_00020839-protein, Clytia_hemispherica_TCONS_00059252-protein TCONS_00059252-protein, Clytia_hemispherica_TCONS_00048987-protein TCONS_00048987-protein, Clytia_hemispherica_TCONS_00026252-protein TCONS_00026252-protein, Clytia_hemispherica_TCONS_00026243-protein TCONS_00026243-protein, Clytia_hemispherica_TCONS_00036835-protein TCONS_00036835-protein, Clytia_hemispherica_TCONS_00026227-protein TCONS_00026227-protein, Clytia_hemispherica_TCONS_00033804-protein TCONS_00033804-protein	Hydra_vulgaris_Sc4wPfr_1061.g18797.t1 Sc4wPfr_1061.g18797.t1, Hydra_vulgaris_Sc4wPfr_728.g2226.t1 Sc4wPfr_728.g2226.t1, Hydra_vulgaris_Sc4wPfr_1120.g5091.t1 Sc4wPfr_1120.g5091.t1, Hydra_vulgaris_Sc4wPfr_728.g2235.t1 Sc4wPfr_728.g2235.t1, Hydra_vulgaris_Sc4wPfr_728.g2222.t1 Sc4wPfr_728.g2222.t1, Hydra_vulgaris_Sc4wPfr_1120.g5090.t1 Sc4wPfr_1120.g5090.t1
OG0000034	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein	Hydra_vulgaris_Sc4wPfr_909.g33479.t2 Sc4wPfr_909.g33479.t2, Hydra_vulgaris_Sc4wPfr_909.g33479.t1 Sc4wPfr_909.g33479.t1
OG0000034	Clytia_hemispherica_TCONS_00028847-protein TCONS_00028847-protein, Clytia_hemispherica_TCONS_00025513-protein TCONS_00025513-protein, Clytia_hemispherica_TCONS_00055927-protein TCONS_00055927-protein	Hydra_vulgaris_Sc4wPfr_1475.1.g4365.t1 Sc4wPfr_1475.1.g4365.t1, Hydra_vulgaris_Sc4wPfr_1475.g5204.t2 Sc4wPfr_1475.g5204.t2, Hydra_vulgaris_Sc4wPfr_1475.g5204.t1 Sc4wPfr_1475.g5204.t1, Hydra_vulgaris_Sc4wPfr_832.g4698.t1 Sc4wPfr_832.g4698.t1
OG0000034	Clytia_hemispherica_TCONS_00048912-protein TCONS_00048912-protein, Clytia_hemispherica_TCONS_00057683-protein TCONS_00057683-protein	Hydra_vulgaris_Sc4wPfr_325.1.g5334.t1 Sc4wPfr_325.1.g5334.t1
OG0000035	Clytia_hemispherica_TCONS_00058995-protein TCONS_00058995-protein	Hydra_vulgaris_Sc4wPfr_2074.g13184.t1 Sc4wPfr_2074.g13184.t1, Hydra_vulgaris_Sc4wPfr_2074.g13184.t2 Sc4wPfr_2074.g13184.t2
OG0000037	Clytia_hemispherica_TCONS_00059237-protein TCONS_00059237-protein	Hydra_vulgaris_Sc4wPfr_1570.g14018.t1 Sc4wPfr_1570.g14018.t1
OG0000040	Clytia_hemispherica_TCONS_00002499-protein TCONS_00002499-protein	Hydra_vulgaris_Sc4wPfr_297.g13145.t1 Sc4wPfr_297.g13145.t1
OG0000040	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein	Hydra_vulgaris_Sc4wPfr_62.g4386.t1 Sc4wPfr_62.g4386.t1, Hydra_vulgaris_Sc4wPfr_230.g26213.t1 Sc4wPfr_230.g26213.t1
OG0000041	Clytia_hemispherica_TCONS_00059541-protein TCONS_00059541-protein	Hydra_vulgaris_Sc4wPfr_6.1.g597.t2 Sc4wPfr_6.1.g597.t2, Hydra_vulgaris_Sc4wPfr_6.1.g597.t1 Sc4wPfr_6.1.g597.t1
OG0000042	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein	Hydra_vulgaris_Sc4wPfr_708.g2575.t1 Sc4wPfr_708.g2575.t1
OG0000042	Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein	Hydra_vulgaris_Sc4wPfr_481.g31592.t1 Sc4wPfr_481.g31592.t1, Hydra_vulgaris_Sc4wPfr_481.g31592.t2 Sc4wPfr_481.g31592.t2
OG0000042	Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein	Hydra_vulgaris_Sc4wPfr_361.g20339.t1 Sc4wPfr_361.g20339.t1
OG0000042	Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein	Hydra_vulgaris_Sc4wPfr_14.g1872.t1 Sc4wPfr_14.g1872.t1
OG0000044	Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein	Hydra_vulgaris_Sc4wPfr_1298.g6418.t1 Sc4wPfr_1298.g6418.t1
OG0000045	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein	Hydra_vulgaris_Sc4wPfr_301.g14000.t1 Sc4wPfr_301.g14000.t1
OG0000045	Clytia_hemispherica_TCONS_00064870-protein TCONS_00064870-protein, Clytia_hemispherica_TCONS_00064833-protein TCONS_00064833-protein	Hydra_vulgaris_Sc4wPfr_14.g1744.t1 Sc4wPfr_14.g1744.t1
OG0000045	Clytia_hemispherica_TCONS_00064868-protein TCONS_00064868-protein, Clytia_hemispherica_TCONS_00064836-protein TCONS_00064836-protein, Clytia_hemispherica_TCONS_00043175-protein TCONS_00043175-protein	Hydra_vulgaris_Sc4wPfr_14.g1743.t1 Sc4wPfr_14.g1743.t1
