Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Anthozoa_Porites_asteroides
OG0000005	Clytia_hemispherica_TCONS_00002523-protein TCONS_00002523-protein	Porites_asteroides_isotig23348 isotig23348 extracted_CDS GOMatch=Q4SJ96 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Bone_morphogenetic_protein_1__Fragment__ Match_Acc=O57658 gene=isogroup21616 length=355 numContigs=1
OG0000005	Clytia_hemispherica_TCONS_00016883-protein TCONS_00016883-protein, Clytia_hemispherica_TCONS_00057198-protein TCONS_00057198-protein, Clytia_hemispherica_TCONS_00048402-protein TCONS_00048402-protein	Porites_asteroides_isotig11914 isotig11914 extracted_CDS GOMatch=A3E0P7 GOTerms=GO_0005529 Gene=Rhamnospondin_1_ Match_Acc=A3E0P7 gene=isogroup10182 length=578 numContigs=1
OG0000005	Clytia_hemispherica_TCONS_00071679-protein TCONS_00071679-protein, Clytia_hemispherica_TCONS_00027341-protein TCONS_00027341-protein, Clytia_hemispherica_TCONS_00071675-protein TCONS_00071675-protein, Clytia_hemispherica_TCONS_00071669-protein TCONS_00071669-protein	Porites_asteroides_isotig12380 isotig12380 extracted_CDS GOMatch=Q2MCX8 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacin_2_ Match_Acc=Q2MCX8 gene=isogroup10648 length=565 numContigs=1
OG0000005	Clytia_hemispherica_TCONS_00012696-protein TCONS_00012696-protein	Porites_asteroides_isotig06903 isotig06903 extracted_CDS GOMatch=A7S728 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Astacus_protease_domain__304..897__two_repeats_of_CUB_domain__8 98..1578__ Match_Acc=B7ZQ15 gene=isogroup05171 length=863 numContigs=1
OG0000006	Clytia_hemispherica_TCONS_00068279-protein TCONS_00068279-protein	Porites_asteroides_isotig22690 isotig22690 extracted_CDS GOMatch=C3YPL3 GOTerms=GO_0003824_GO_0004252_GO_0005634_GO_0006508_GO_0008233_GO_0008236_GO_0016787_GO_0030528 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup20958 length=365 numContigs=1, Porites_asteroides_isotig19337 isotig19337 extracted_CDS GOMatch=C3ZHY1 GOTerms=GO_0003824_GO_0004252_GO_0005488_GO_0005529_GO_0005576_GO_0006508_GO_0010466_GO_0030414 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=A2AVA0 gene=isogroup17605 length=402 numContigs=1, Porites_asteroides_isotig15445 isotig15445 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup13713 length=470 numContigs=1, Porites_asteroides_GCKDGN102E1JAR GCKDGN102E1JAR extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=Multiple_domain_complement_regulator_1_ Match_Acc=Q45NC2 length=342 region=2 run=R_2010_02_19_08_49_25_ xy=1950_2657, Porites_asteroides_GCKDGN102DDUBU GCKDGN102DDUBU extracted_CDS length=345 xy=1270_2872 run=R_2010_02_19_08_49_25_ region=2 Gene=CUB_and_sushi_domain-containing_protein_1_ Match_Acc=Q96PZ7, Porites_asteroides_isotig06327 isotig06327 extracted_CDS GOMatch=A7RMV0 GOTerms=GO_0005488_GO_0007155 Gene=cDNA_FLJ90753_fis__clone_PLACE3000213__moderately_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KQM9 gene=isogroup04595 length=924 numContigs=1, Porites_asteroides_isotig05899 isotig05899 extracted_CDS GOMatch=C3Y0A3 GOTerms=GO_0005488_GO_0005509_GO_0005529 Gene=CUB_and_sushi_domain-containing_protein_2_ Match_Acc=Q7Z408 gene=isogroup04167 length=985 numContigs=1
OG0000006	Clytia_hemispherica_TCONS_00054268-protein TCONS_00054268-protein	Porites_asteroides_isotig00812 isotig00812 extracted_CDS GOMatch=C3ZHX9 GOTerms=GO_0004867 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup00234 length=2835 numContigs=3, Porites_asteroides_isotig00811 isotig00811 extracted_CDS GOMatch=C3ZHX9 GOTerms=GO_0004867 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q80T79 gene=isogroup00234 length=2836 numContigs=3
OG0000006	Clytia_hemispherica_TCONS_00017431-protein TCONS_00017431-protein	Porites_asteroides_isotig12781 isotig12781 extracted_CDS GOMatch=A7SNM7 GOTerms=GO_0005509 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=P0C6B8 gene=isogroup11049 length=545 numContigs=1
OG0000006	Clytia_hemispherica_TCONS_00046199-protein TCONS_00046199-protein	Porites_asteroides_isotig03891 isotig03891 extracted_CDS GOMatch=C3YF05 GOTerms=GO_0005488 Gene=CUB_and_sushi_domain-containing_protein_3_ Match_Acc=Q7Z407 gene=isogroup02159 length=1474 numContigs=1
OG0000006	Clytia_hemispherica_TCONS_00019049-protein TCONS_00019049-protein	Porites_asteroides_GCKDGN101BEMV9 GCKDGN101BEMV9 extracted_CDS GOMatch=C3YF05 GOTerms=GO_0005488 Gene=Furrowed__putative_ Match_Acc=B7QCS5 length=402 region=1 run=R_2010_02_19_08_49_25_ xy=0459_2519
OG0000006	Clytia_hemispherica_TCONS_00055514-protein TCONS_00055514-protein, Clytia_hemispherica_TCONS_00001195-protein TCONS_00001195-protein	Porites_asteroides_isotig01269 isotig01269 extracted_CDS GOMatch=A7RFK1 GOTerms=GO_0005509 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=A2AVA0 gene=isogroup00467 length=1239 numContigs=2, Porites_asteroides_isotig01268 isotig01268 extracted_CDS GOMatch=A7RFK1 GOTerms=GO_0005509 Gene=Sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain-containing_protein_1_ Match_Acc=A2AVA0 gene=isogroup00467 length=1459 numContigs=2, Porites_asteroides_isotig21502 isotig21502 extracted_CDS GOMatch=A7RFK1 GOTerms=GO_0005509 Gene=Neurogenic_locus_notch__putative_ Match_Acc=B7Q438 gene=isogroup19770 length=378 numContigs=1, Porites_asteroides_isotig27791 isotig27791 extracted_CDS GOMatch=A7SNM7 GOTerms=GO_0005509 Gene=Neurogenic_locus_notch__putative_ Match_Acc=B7Q438 gene=isogroup26059 length=284 numContigs=1, Porites_asteroides_isotig21103 isotig21103 extracted_CDS GOMatch=C3YWM8 GOTerms=GO_0005509 Gene=Sushi_repeat-containing_protein_SRPX2_ Match_Acc=C0HBD7 gene=isogroup19371 length=384 numContigs=1, Porites_asteroides_GCKDGN103FYMAO GCKDGN103FYMAO extracted_CDS GOMatch=C3XPW7 GOTerms=GO_0005509 length=291 region=3 run=R_2010_02_19_08_49_25_ xy=2327_1998, Porites_asteroides_isotig03322 isotig03322 extracted_CDS GOMatch=C3YC48 GOTerms=GO_0005509_GO_0005529 Gene=cDNA_FLJ16013_fis__clone_PLACE5000171__highly_similar_to_Mus_musculus_sushi__von_Willebrand_factor_type_A__EGF_and_pentraxin_domain_containing_1__mRNA_ Match_Acc=B3KV07 gene=isogroup01590 length=2069 numContigs=1, Porites_asteroides_GE917285 GE917285 extracted_CDS Past_34_20453_M08.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_GE915324 GE915324 extracted_CDS Past_28_20453_P11.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence
OG0000007	Clytia_hemispherica_TCONS_00028848-protein TCONS_00028848-protein	Porites_asteroides_isotig10321 isotig10321 extracted_CDS GOMatch=A7RVK5 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup08589 length=657 numContigs=1, Porites_asteroides_isotig01547 isotig01547 extracted_CDS GOMatch=C3Z8P3 GOTerms=GO_0005509 Gene=Growth_arrest-specific_6_ Match_Acc=Q7T3H4 gene=isogroup00606 length=705 numContigs=2, Porites_asteroides_GE916615 GE916615 extracted_CDS Past_32_20453_M19.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_isotig15207 isotig15207 extracted_CDS GOMatch=C3ZNN3 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup13475 length=474 numContigs=1
OG0000007	Clytia_hemispherica_TCONS_00000042-protein TCONS_00000042-protein	Porites_asteroides_isotig19445 isotig19445 extracted_CDS GOMatch=C3ZHG4 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=B0G154 gene=isogroup17713 length=401 numContigs=1
OG0000007	Clytia_hemispherica_TCONS_00022735-protein TCONS_00022735-protein	Porites_asteroides_isotig05423 isotig05423 extracted_CDS GOMatch=D3BG27 GOTerms=GO_0005509 Gene=EGF-like_domain-containing_protein_ Match_Acc=D3BG27 gene=isogroup03691 length=1057 numContigs=1
OG0000007	Clytia_hemispherica_TCONS_00007902-protein TCONS_00007902-protein	Porites_asteroides_isotig32557 isotig32557 extracted_CDS GOMatch=C3YMT1 GOTerms=GO_0007160 Gene=Alpha-tectorin-like_protein_ Match_Acc=B2XBP1 gene=isogroup30825 length=123 numContigs=1
OG0000007	Clytia_hemispherica_TCONS_00030157-protein TCONS_00030157-protein	Porites_asteroides_GCKDGN101CFT5A GCKDGN101CFT5A extracted_CDS GOMatch=B3S3N0 GOTerms=GO_0005509 Gene=Fibrillin_2_ Match_Acc=B6CS38 length=407 region=1 run=R_2010_02_19_08_49_25_ xy=0883_1484
OG0000008	Clytia_hemispherica_TCONS_00045042-protein TCONS_00045042-protein, Clytia_hemispherica_TCONS_00026309-protein TCONS_00026309-protein	Porites_asteroides_GCKDGN101BGYFZ GCKDGN101BGYFZ extracted_CDS xy=0486_0205 region=1 Match_Acc=P49013 run=R_2010_02_19_08_49_25_ Gene=Fibropellin-3_ length=308
OG0000008	Clytia_hemispherica_TCONS_00010866-protein TCONS_00010866-protein	Porites_asteroides_isotig12837 isotig12837 extracted_CDS GOMatch=A7SNM7 GOTerms=GO_0005509 Gene=Fibropellin-1_ Match_Acc=P10079 gene=isogroup11105 length=546 numContigs=1
OG0000008	Clytia_hemispherica_TCONS_00017174-protein TCONS_00017174-protein	Porites_asteroides_isotig17450 isotig17450 extracted_CDS GOMatch=A7SL31 GOTerms=GO_0005509 Gene=Notch_homolog_ Match_Acc=O16004 gene=isogroup15718 length=427 numContigs=1, Porites_asteroides_isotig18402 isotig18402 extracted_CDS GOMatch=A7SQ46 GOTerms=GO_0005509 Gene=Fibropellin_III__Fragment__ Match_Acc=Q25059 gene=isogroup16670 length=412 numContigs=1, Porites_asteroides_GCKDGN101A52QR GCKDGN101A52QR extracted_CDS GOMatch=Q25058 GOTerms=GO_0005509 Gene=Fibropellin_Ia__Fragment__ Match_Acc=Q25058 length=347 region=1 run=R_2010_02_19_08_49_25_ xy=0362_0465
OG0000008	Clytia_hemispherica_TCONS_00027161-protein TCONS_00027161-protein, Clytia_hemispherica_TCONS_00060667-protein TCONS_00060667-protein, Clytia_hemispherica_TCONS_00060626-protein TCONS_00060626-protein, Clytia_hemispherica_TCONS_00027172-protein TCONS_00027172-protein, Clytia_hemispherica_TCONS_00027164-protein TCONS_00027164-protein	Porites_asteroides_isotig18731 isotig18731 extracted_CDS GOMatch=A7SQA8 GOTerms=GO_0005509 Gene=Neurogenic_locus_notch_protein_homolog_ Match_Acc=P21783 gene=isogroup16999 length=411 numContigs=1
OG0000008	Clytia_hemispherica_TCONS_00059356-protein TCONS_00059356-protein	Porites_asteroides_isotig08480 isotig08480 extracted_CDS GOMatch=A7SR73 GOTerms=GO_0005509 Gene=Foot_protein_2_ Match_Acc=Q1XBT6 gene=isogroup06748 length=751 numContigs=1
OG0000008	Clytia_hemispherica_TCONS_00049590-protein TCONS_00049590-protein, Clytia_hemispherica_TCONS_00017168-protein TCONS_00017168-protein, Clytia_hemispherica_TCONS_00017172-protein TCONS_00017172-protein, Clytia_hemispherica_TCONS_00017148-protein TCONS_00017148-protein, Clytia_hemispherica_TCONS_00009711-protein TCONS_00009711-protein	Porites_asteroides_isotig09309 isotig09309 extracted_CDS GOMatch=C3YZ65 GOTerms=GO_0005044_GO_0005164_GO_0005509_GO_0006955_GO_0016020 gene=isogroup07577 length=707 numContigs=1
OG0000008	Clytia_hemispherica_TCONS_00052901-protein TCONS_00052901-protein, Clytia_hemispherica_TCONS_00025445-protein TCONS_00025445-protein	Porites_asteroides_GCKDGN101BACPE GCKDGN101BACPE extracted_CDS GOMatch=A7SR73 GOTerms=GO_0005509 Gene=Notch_homolog__Fragment__ Match_Acc=Q7KPY6 length=213 region=1 run=R_2010_02_19_08_49_25_ xy=0410_3392
OG0000008	Clytia_hemispherica_TCONS_00060669-protein TCONS_00060669-protein	Porites_asteroides_GCKDGN103GGZS5 GCKDGN103GGZS5 extracted_CDS GOMatch=B3RZV3 GOTerms=GO_0005509 Gene=Fibropellin-1_ Match_Acc=P10079 length=378 region=3 run=R_2010_02_19_08_49_25_ xy=2536_3255
OG0000008	Clytia_hemispherica_TCONS_00024185-protein TCONS_00024185-protein	Porites_asteroides_isotig28147 isotig28147 extracted_CDS GOMatch=A7T6R5 GOTerms=GO_0005509 Gene=Neurogenic_locus_notch__putative_ Match_Acc=B7Q438 gene=isogroup26415 length=276 numContigs=1, Porites_asteroides_isotig10868 isotig10868 extracted_CDS GOMatch=A7SNQ1 GOTerms=GO_0005509 Gene=Delta_ Match_Acc=B4QTE8 gene=isogroup09136 length=627 numContigs=1
OG0000008	Clytia_hemispherica_TCONS_00026307-protein TCONS_00026307-protein	Porites_asteroides_isotig32017 isotig32017 extracted_CDS GOMatch=A7SQA9 GOTerms=GO_0005509 Gene=Ligand_Delta-1_ Match_Acc=Q8AW87 gene=isogroup30285 length=157 numContigs=1
OG0000008	Clytia_hemispherica_TCONS_00071623-protein TCONS_00071623-protein	Porites_asteroides_GCKDGN101BWF8S GCKDGN101BWF8S extracted_CDS GOMatch=Q8AXP0 GOTerms=GO_0004872_GO_0005509_GO_0006355_GO_0007219_GO_0007275_GO_0016020_GO_0016021_GO_0030154_GO_0050793 Gene=Receptor_protein_Notch1_ Match_Acc=Q8AXP0 length=485 region=1 run=R_2010_02_19_08_49_25_ xy=0662_2218
OG0000008	Clytia_hemispherica_TCONS_00073668-protein TCONS_00073668-protein	Porites_asteroides_isotig02647 isotig02647 extracted_CDS GOMatch=B3RZV3 GOTerms=GO_0005509 Gene=Delta_protein_ Match_Acc=A0MK38 gene=isogroup01156 length=481 numContigs=2, Porites_asteroides_isotig02646 isotig02646 extracted_CDS GOMatch=A7SJC3 GOTerms=GO_0005509 Gene=Notch_homolog_Scalloped_wings_ Match_Acc=Q25253 gene=isogroup01156 length=488 numContigs=2
OG0000008	Clytia_hemispherica_TCONS_00054240-protein TCONS_00054240-protein	Porites_asteroides_GCKDGN101CB8IM GCKDGN101CB8IM extracted_CDS GOMatch=A7RNQ6 GOTerms=GO_0005509 Gene=Neurogenic_locus_notch_protein_homolog_ Match_Acc=P21783 length=345 region=1 run=R_2010_02_19_08_49_25_ xy=0842_1420
OG0000008	Clytia_hemispherica_TCONS_00070167-protein TCONS_00070167-protein	Porites_asteroides_isotig17839 isotig17839 extracted_CDS GOMatch=A7RQW9 GOTerms=GO_0005509 Gene=Fibropellin-3_ Match_Acc=P49013 gene=isogroup16107 length=423 numContigs=1
OG0000008	Clytia_hemispherica_TCONS_00073669-protein TCONS_00073669-protein	Porites_asteroides_isotig12497 isotig12497 extracted_CDS GOMatch=A7SQ46 GOTerms=GO_0005509 Gene=Fibropellin_III__Fragment__ Match_Acc=Q25059 gene=isogroup10765 length=557 numContigs=1
OG0000009	Clytia_hemispherica_TCONS_00044068-protein TCONS_00044068-protein, Clytia_hemispherica_TCONS_00008272-protein TCONS_00008272-protein	Porites_asteroides_isotig13656 isotig13656 extracted_CDS GOMatch=Q4T392 GOTerms=GO_0005509 Gene=Bone_morphogenetic_protein_1_ Match_Acc=A9JR45 gene=isogroup11924 length=514 numContigs=1, Porites_asteroides_isotig18738 isotig18738 extracted_CDS GOMatch=Q75UQ6 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Similar_to_procollagen_C-endopeptidase_enhancer_ Match_Acc=B3DJG2 gene=isogroup17006 length=412 numContigs=1, Porites_asteroides_GCKDGN102C3UCD GCKDGN102C3UCD extracted_CDS GOMatch=Q4A3R3 GOTerms=GO_0005044_GO_0005576_GO_0006810_GO_0007275_GO_0015031_GO_0016020_GO_0016021_GO_0019898_GO_0030154_GO_0030658_GO_0031410_GO_0035375_GO_0042589_GO_0051636_GO_0051637 Gene=Deleted_in_malignant_brain_tumors_1_protein_ Match_Acc=Q4A3R3 length=411 region=2 run=R_2010_02_19_08_49_25_ xy=1156_3275, Porites_asteroides_isotig11237 isotig11237 extracted_CDS GOMatch=Q4H2P2 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Tolloid-like_1_ Match_Acc=B3DJN6 gene=isogroup09505 length=609 numContigs=1
OG0000009	Clytia_hemispherica_TCONS_00071034-protein TCONS_00071034-protein	Porites_asteroides_isotig01226 isotig01226 extracted_CDS GOMatch=C3ZAW7 GOTerms=GO_0005488 Gene=Neuropilin-2_ Match_Acc=O60462 gene=isogroup00446 length=2131 numContigs=2, Porites_asteroides_isotig01227 isotig01227 extracted_CDS GOMatch=B3RPJ1 GOTerms=GO_0005509 Gene=Tolloid-like_protein_1_ Match_Acc=Q62381 gene=isogroup00446 length=728 numContigs=2, Porites_asteroides_isotig04066 isotig04066 extracted_CDS GOMatch=C3XYR0 GOTerms=GO_0007338 Gene=Bone_morphogenetic_protein_1_isoform_1__variant__Fragment__ Match_Acc=Q59F71 gene=isogroup02334 length=1392 numContigs=1
OG0000009	Clytia_hemispherica_TCONS_00064060-protein TCONS_00064060-protein, Clytia_hemispherica_TCONS_00064059-protein TCONS_00064059-protein	Porites_asteroides_isotig01128 isotig01128 extracted_CDS GOMatch=B3RPJ1 GOTerms=GO_0005509 Gene=Deleted_in_malignant_brain_tumors_1_protein_ Match_Acc=Q60997 gene=isogroup00397 length=1793 numContigs=2, Porites_asteroides_isotig01129 isotig01129 extracted_CDS GOMatch=B3RPJ1 GOTerms=GO_0005509 Gene=Deleted_in_malignant_brain_tumors_1_protein_ Match_Acc=Q60997 gene=isogroup00397 length=1495 numContigs=2, Porites_asteroides_isotig10750 isotig10750 extracted_CDS GOMatch=D2H9Y1 GOTerms=GO_0005509_GO_0005737_GO_0005768_GO_0005783_GO_0005794_GO_0005903_GO_0005905_GO_0006898_GO_0016324_GO_0030139_GO_0042803_GO_0042953_GO_0045177 Gene=CUB_and_sushi_domain-containing_protein_1_ Match_Acc=Q923L3 gene=isogroup09018 length=634 numContigs=1, Porites_asteroides_isotig32193 isotig32193 extracted_CDS GOMatch=C3XYR0 GOTerms=GO_0007338 Gene=Tolkin__putative__Fragment__ Match_Acc=B7QF04 gene=isogroup30461 length=143 numContigs=1, Porites_asteroides_isotig06065 isotig06065 extracted_CDS GOMatch=C3XSV4 GOTerms=GO_0005230_GO_0006810_GO_0006811_GO_0016020_GO_0016021 Gene=CG32702_ Match_Acc=Q9W332 gene=isogroup04333 length=966 numContigs=1, Porites_asteroides_isotig05570 isotig05570 extracted_CDS GOMatch=C3Z071 GOTerms=GO_0005044_GO_0005488_GO_0005529_GO_0007155_GO_0016020 Gene=Deleted_in_malignant_brain_tumors_1_protein_ Match_Acc=Q60997 gene=isogroup03838 length=1037 numContigs=1, Porites_asteroides_GE907377 GE907377 extracted_CDS 9546023_O02.ab1_c Past_norm2007 Porites astreoides cDNA_mRNA sequence, Porites_asteroides_isotig01016 isotig01016 extracted_CDS GOMatch=A7S1N6 GOTerms=GO_0005044_GO_0016020 Gene=Cubilin_ Match_Acc=O70244 gene=isogroup00341 length=3303 numContigs=2
OG0000010	Clytia_hemispherica_TCONS_00011086-protein TCONS_00011086-protein	Porites_asteroides_isotig18758 isotig18758 extracted_CDS GOMatch=A7S854 GOTerms=GO_0007155_GO_0031012 Gene=Basement_membrane-specific_heparan_sulfate_proteoglycan_core_protein_ Match_Acc=Q6KDZ1 gene=isogroup17026 length=411 numContigs=1, Porites_asteroides_isotig14078 isotig14078 extracted_CDS GOMatch=C3ZCS9 GOTerms=GO_0005102_GO_0005604_GO_0005606_GO_0007155_GO_0030155_GO_0030334_GO_0031012_GO_0045995 Gene=Heparan_sulfate_proteoglycan_2_ Match_Acc=B2RZI0 gene=isogroup12346 length=506 numContigs=1
OG0000010	Clytia_hemispherica_TCONS_00068957-protein TCONS_00068957-protein	Porites_asteroides_isotig04150 isotig04150 extracted_CDS GOMatch=Q4RRT1 GOTerms=GO_0007155_GO_0016020 Gene=Roundabout_homolog_3_ Match_Acc=Q96MS0 gene=isogroup02418 length=1353 numContigs=1
OG0000010	Clytia_hemispherica_TCONS_00058124-protein TCONS_00058124-protein	Porites_asteroides_isotig12566 isotig12566 extracted_CDS GOMatch=B7QEU1 GOTerms=GO_0016740_GO_0050254 Gene=Cell_adhesion_molecule__putative__Fragment__ Match_Acc=B7QEU1 gene=isogroup10834 length=556 numContigs=1
OG0000010	Clytia_hemispherica_TCONS_00073670-protein TCONS_00073670-protein, Clytia_hemispherica_TCONS_00073671-protein TCONS_00073671-protein	Porites_asteroides_isotig26332 isotig26332 extracted_CDS GOMatch=B3MYW1 GOTerms=GO_0007155_GO_0031012 Gene=Terribly_reduced_optic_lobes__isoform_A_ Match_Acc=Q9W4Y4 gene=isogroup24600 length=312 numContigs=1
OG0000010	Clytia_hemispherica_TCONS_00009152-protein TCONS_00009152-protein	Porites_asteroides_isotig11269 isotig11269 extracted_CDS GOMatch=Q6PW72 GOTerms=GO_0005488 Gene=Follistatin_ Match_Acc=Q6PW72 gene=isogroup09537 length=603 numContigs=1
OG0000012	Clytia_hemispherica_TCONS_00069193-protein TCONS_00069193-protein, Clytia_hemispherica_TCONS_00021868-protein TCONS_00021868-protein, Clytia_hemispherica_TCONS_00044696-protein TCONS_00044696-protein	Porites_asteroides_isotig20047 isotig20047 extracted_CDS GOMatch=A7RWN6 GOTerms=GO_0004867 Gene=Gastric_mucin__Fragment__ Match_Acc=O75372 gene=isogroup18315 length=395 numContigs=1
OG0000013	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein	Porites_asteroides_GCKDGN102C4DAL GCKDGN102C4DAL extracted_CDS GOMatch=B0FK92 GOTerms=GO_0004871_GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=B0FK92 length=394 region=2 run=R_2010_02_19_08_49_25_ xy=1162_3259
OG0000013	Clytia_hemispherica_TCONS_00027333-protein TCONS_00027333-protein, Clytia_hemispherica_TCONS_00027371-protein TCONS_00027371-protein	Porites_asteroides_isotig14310 isotig14310 extracted_CDS GOMatch=Q5J2D4 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5J2D4 gene=isogroup12578 length=500 numContigs=1
OG0000013	Clytia_hemispherica_TCONS_00065525-protein TCONS_00065525-protein	Porites_asteroides_GCKDGN103GNGAZ GCKDGN103GNGAZ extracted_CDS GOMatch=A7SZ54 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7SZ54 length=452 region=3 run=R_2010_02_19_08_49_25_ xy=2610_1465
OG0000013	Clytia_hemispherica_TCONS_00047033-protein TCONS_00047033-protein, Clytia_hemispherica_TCONS_00001198-protein TCONS_00001198-protein	Porites_asteroides_isotig22298 isotig22298 extracted_CDS GOMatch=A7RGH9 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7RGH9 gene=isogroup20566 length=370 numContigs=1
OG0000013	Clytia_hemispherica_TCONS_00005153-protein TCONS_00005153-protein	Porites_asteroides_isotig28579 isotig28579 extracted_CDS GOMatch=Q5IRC2 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IRC2 gene=isogroup26847 length=267 numContigs=1
OG0000013	Clytia_hemispherica_TCONS_00073720-protein TCONS_00073720-protein	Porites_asteroides_isotig03246 isotig03246 extracted_CDS GOMatch=A7RSS8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7RSS8 gene=isogroup01514 length=2357 numContigs=1, Porites_asteroides_isotig05535 isotig05535 extracted_CDS GOMatch=Q5IHV8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IHV8 gene=isogroup03803 length=1046 numContigs=1
OG0000014	Clytia_hemispherica_TCONS_00019992-protein TCONS_00019992-protein	Porites_asteroides_isotig13992 isotig13992 extracted_CDS GOMatch=B0WIC7 GOTerms=GO_0008233 Gene=Papilin_ Match_Acc=B0WIC7 gene=isogroup12260 length=509 numContigs=1
OG0000014	Clytia_hemispherica_TCONS_00055972-protein TCONS_00055972-protein	Porites_asteroides_isotig04880 isotig04880 extracted_CDS GOMatch=A7RZX8 GOTerms=GO_0004222_GO_0005578_GO_0008233_GO_0008237_GO_0008270_GO_0031012 Gene=cDNA_FLJ53165__weakly_similar_to_Homo_sapiens_thrombospondin_repeat_containing_1__TSRC1___transcript_variant_1__mRNA_ Match_Acc=B4DR13 gene=isogroup03148 length=1170 numContigs=1
OG0000014	Clytia_hemispherica_TCONS_00024369-protein TCONS_00024369-protein, Clytia_hemispherica_TCONS_00024371-protein TCONS_00024371-protein	Porites_asteroides_GCKDGN102EW0RX GCKDGN102EW0RX extracted_CDS Match_Acc=A5A750 length=378 run=R_2010_02_19_08_49_25_ region=2 Gene=ADAM_metallopeptidase_with_thrombospondin_type_1_motif_20__Frag ment__ xy=1899_0923
OG0000014	Clytia_hemispherica_TCONS_00006273-protein TCONS_00006273-protein	Porites_asteroides_isotig03711 isotig03711 extracted_CDS GOMatch=D2HFE1 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=cDNA_FLJ45846_fis__clone_OCBBF2007039__highly_similar_to_ADAMTS-16__EC_3.4.24.-__ Match_Acc=B3KXQ2 gene=isogroup01979 length=1590 numContigs=1
