Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Anthozoa_Acropora_digitifera
OG0000019	Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein	Acropora_digitifera_adi_v1.07728 adi_v1.07728
OG0000020	Clytia_hemispherica_TCONS_00047700-protein TCONS_00047700-protein	Acropora_digitifera_adi_v1.23219 adi_v1.23219
OG0000020	Clytia_hemispherica_TCONS_00061671-protein TCONS_00061671-protein, Clytia_hemispherica_TCONS_00046920-protein TCONS_00046920-protein, Clytia_hemispherica_TCONS_00046924-protein TCONS_00046924-protein, Clytia_hemispherica_TCONS_00003321-protein TCONS_00003321-protein	Acropora_digitifera_adi_v1.23748 adi_v1.23748, Acropora_digitifera_adi_v1.04537 adi_v1.04537, Acropora_digitifera_adi_v1.23610 adi_v1.23610
OG0000020	Clytia_hemispherica_TCONS_00006265-protein TCONS_00006265-protein	Acropora_digitifera_adi_v1.09052 adi_v1.09052
OG0000021	Clytia_hemispherica_TCONS_00006428-protein TCONS_00006428-protein	Acropora_digitifera_adi_v1.16464 adi_v1.16464, Acropora_digitifera_adi_v1.16465 adi_v1.16465
OG0000021	Clytia_hemispherica_TCONS_00059183-protein TCONS_00059183-protein	Acropora_digitifera_adi_v1.00468 adi_v1.00468
OG0000022	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein	Acropora_digitifera_adi_v1.17095 adi_v1.17095
OG0000023	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein	Acropora_digitifera_adi_v1.19445 adi_v1.19445
OG0000024	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein	Acropora_digitifera_adi_v1.21193 adi_v1.21193
OG0000027	Clytia_hemispherica_TCONS_00004998-protein TCONS_00004998-protein	Acropora_digitifera_adi_v1.00758 adi_v1.00758
OG0000027	Clytia_hemispherica_TCONS_00008404-protein TCONS_00008404-protein	Acropora_digitifera_adi_v1.08137 adi_v1.08137, Acropora_digitifera_adi_v1.10760 adi_v1.10760, Acropora_digitifera_adi_v1.24060 adi_v1.24060, Acropora_digitifera_adi_v1.16446 adi_v1.16446
OG0000028	Clytia_hemispherica_TCONS_00014070-protein TCONS_00014070-protein	Acropora_digitifera_adi_v1.22704 adi_v1.22704
OG0000029	Clytia_hemispherica_TCONS_00007483-protein TCONS_00007483-protein	Acropora_digitifera_adi_v1.05908 adi_v1.05908, Acropora_digitifera_adi_v1.23964 adi_v1.23964
OG0000029	Clytia_hemispherica_TCONS_00066649-protein TCONS_00066649-protein	Acropora_digitifera_adi_v1.05909 adi_v1.05909, Acropora_digitifera_adi_v1.07579 adi_v1.07579
OG0000029	Clytia_hemispherica_TCONS_00003166-protein TCONS_00003166-protein	Acropora_digitifera_adi_v1.23498 adi_v1.23498
OG0000029	Clytia_hemispherica_TCONS_00010654-protein TCONS_00010654-protein, Clytia_hemispherica_TCONS_00010652-protein TCONS_00010652-protein	Acropora_digitifera_adi_v1.06123 adi_v1.06123, Acropora_digitifera_adi_v1.06122 adi_v1.06122, Acropora_digitifera_adi_v1.15580 adi_v1.15580, Acropora_digitifera_adi_v1.18528 adi_v1.18528, Acropora_digitifera_adi_v1.24512 adi_v1.24512
OG0000030	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein	Acropora_digitifera_adi_v1.13106 adi_v1.13106
OG0000030	Clytia_hemispherica_TCONS_00004356-protein TCONS_00004356-protein	Acropora_digitifera_adi_v1.02168 adi_v1.02168
OG0000030	Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein	Acropora_digitifera_adi_v1.09623 adi_v1.09623
OG0000033	Clytia_hemispherica_TCONS_00050100-protein TCONS_00050100-protein, Clytia_hemispherica_TCONS_00060254-protein TCONS_00060254-protein, Clytia_hemispherica_TCONS_00060270-protein TCONS_00060270-protein, Clytia_hemispherica_TCONS_00063125-protein TCONS_00063125-protein, Clytia_hemispherica_TCONS_00053701-protein TCONS_00053701-protein, Clytia_hemispherica_TCONS_00039900-protein TCONS_00039900-protein, Clytia_hemispherica_TCONS_00023261-protein TCONS_00023261-protein, Clytia_hemispherica_TCONS_00023250-protein TCONS_00023250-protein, Clytia_hemispherica_TCONS_00025608-protein TCONS_00025608-protein	Acropora_digitifera_adi_v1.14471 adi_v1.14471, Acropora_digitifera_adi_v1.07578 adi_v1.07578, Acropora_digitifera_adi_v1.18539 adi_v1.18539, Acropora_digitifera_adi_v1.16436 adi_v1.16436, Acropora_digitifera_adi_v1.08950 adi_v1.08950, Acropora_digitifera_adi_v1.12445 adi_v1.12445, Acropora_digitifera_adi_v1.06458 adi_v1.06458, Acropora_digitifera_adi_v1.08949 adi_v1.08949, Acropora_digitifera_adi_v1.12446 adi_v1.12446, Acropora_digitifera_adi_v1.12447 adi_v1.12447, Acropora_digitifera_adi_v1.02615 adi_v1.02615, Acropora_digitifera_adi_v1.06456 adi_v1.06456, Acropora_digitifera_adi_v1.18540 adi_v1.18540, Acropora_digitifera_adi_v1.06457 adi_v1.06457, Acropora_digitifera_adi_v1.02616 adi_v1.02616, Acropora_digitifera_adi_v1.08953 adi_v1.08953, Acropora_digitifera_adi_v1.08952 adi_v1.08952, Acropora_digitifera_adi_v1.06455 adi_v1.06455
OG0000034	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein	Acropora_digitifera_adi_v1.08610 adi_v1.08610
OG0000035	Clytia_hemispherica_TCONS_00058995-protein TCONS_00058995-protein	Acropora_digitifera_adi_v1.00964 adi_v1.00964, Acropora_digitifera_adi_v1.01652 adi_v1.01652
OG0000036	Clytia_hemispherica_TCONS_00019271-protein TCONS_00019271-protein, Clytia_hemispherica_TCONS_00001698-protein TCONS_00001698-protein	Acropora_digitifera_adi_v1.11172 adi_v1.11172
OG0000036	Clytia_hemispherica_TCONS_00048163-protein TCONS_00048163-protein	Acropora_digitifera_adi_v1.11171 adi_v1.11171, Acropora_digitifera_adi_v1.21085 adi_v1.21085
OG0000039	Clytia_hemispherica_TCONS_00014774-protein TCONS_00014774-protein	Acropora_digitifera_adi_v1.18902 adi_v1.18902, Acropora_digitifera_adi_v1.15125 adi_v1.15125, Acropora_digitifera_adi_v1.16330 adi_v1.16330, Acropora_digitifera_adi_v1.15494 adi_v1.15494, Acropora_digitifera_adi_v1.15094 adi_v1.15094
OG0000040	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein	Acropora_digitifera_adi_v1.09775 adi_v1.09775
OG0000041	Clytia_hemispherica_TCONS_00059541-protein TCONS_00059541-protein	Acropora_digitifera_adi_v1.12520 adi_v1.12520, Acropora_digitifera_adi_v1.02837 adi_v1.02837
OG0000042	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein, Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein, Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein	Acropora_digitifera_adi_v1.01395 adi_v1.01395
OG0000042	Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein	Acropora_digitifera_adi_v1.15503 adi_v1.15503, Acropora_digitifera_adi_v1.15501 adi_v1.15501
OG0000044	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein, Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein, Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein	Acropora_digitifera_adi_v1.17869 adi_v1.17869, Acropora_digitifera_adi_v1.01279 adi_v1.01279, Acropora_digitifera_adi_v1.01276 adi_v1.01276, Acropora_digitifera_adi_v1.01277 adi_v1.01277
OG0000045	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein	Acropora_digitifera_adi_v1.09586 adi_v1.09586
OG0000045	Clytia_hemispherica_TCONS_00036447-protein TCONS_00036447-protein, Clytia_hemispherica_TCONS_00064868-protein TCONS_00064868-protein, Clytia_hemispherica_TCONS_00064836-protein TCONS_00064836-protein, Clytia_hemispherica_TCONS_00043175-protein TCONS_00043175-protein	Acropora_digitifera_adi_v1.23198 adi_v1.23198
OG0000046	Clytia_hemispherica_TCONS_00050883-protein TCONS_00050883-protein, Clytia_hemispherica_TCONS_00065761-protein TCONS_00065761-protein, Clytia_hemispherica_TCONS_00072914-protein TCONS_00072914-protein, Clytia_hemispherica_TCONS_00003192-protein TCONS_00003192-protein, Clytia_hemispherica_TCONS_00000570-protein TCONS_00000570-protein, Clytia_hemispherica_TCONS_00043112-protein TCONS_00043112-protein, Clytia_hemispherica_TCONS_00043709-protein TCONS_00043709-protein	Acropora_digitifera_adi_v1.23116 adi_v1.23116, Acropora_digitifera_adi_v1.11433 adi_v1.11433, Acropora_digitifera_adi_v1.13810 adi_v1.13810, Acropora_digitifera_adi_v1.22260 adi_v1.22260, Acropora_digitifera_adi_v1.17607 adi_v1.17607, Acropora_digitifera_adi_v1.10417 adi_v1.10417, Acropora_digitifera_adi_v1.11233 adi_v1.11233, Acropora_digitifera_adi_v1.11714 adi_v1.11714, Acropora_digitifera_adi_v1.18842 adi_v1.18842, Acropora_digitifera_adi_v1.23505 adi_v1.23505, Acropora_digitifera_adi_v1.23018 adi_v1.23018, Acropora_digitifera_adi_v1.02067 adi_v1.02067, Acropora_digitifera_adi_v1.23506 adi_v1.23506, Acropora_digitifera_adi_v1.10319 adi_v1.10319, Acropora_digitifera_adi_v1.24389 adi_v1.24389, Acropora_digitifera_adi_v1.21947 adi_v1.21947, Acropora_digitifera_adi_v1.00626 adi_v1.00626
OG0000049	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein	Acropora_digitifera_adi_v1.00526 adi_v1.00526
OG0000051	Clytia_hemispherica_TCONS_00046933-protein TCONS_00046933-protein, Clytia_hemispherica_TCONS_00065253-protein TCONS_00065253-protein	Acropora_digitifera_adi_v1.17811 adi_v1.17811
OG0000054	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein	Acropora_digitifera_adi_v1.13439 adi_v1.13439
OG0000054	Clytia_hemispherica_TCONS_00036167-protein TCONS_00036167-protein	Acropora_digitifera_adi_v1.00193 adi_v1.00193
OG0000056	Clytia_hemispherica_TCONS_00054179-protein TCONS_00054179-protein	Acropora_digitifera_adi_v1.22521 adi_v1.22521
OG0000062	Clytia_hemispherica_TCONS_00052771-protein TCONS_00052771-protein, Clytia_hemispherica_TCONS_00023638-protein TCONS_00023638-protein	Acropora_digitifera_adi_v1.19726 adi_v1.19726
OG0000063	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein	Acropora_digitifera_adi_v1.13405 adi_v1.13405, Acropora_digitifera_adi_v1.14406 adi_v1.14406, Acropora_digitifera_adi_v1.02079 adi_v1.02079, Acropora_digitifera_adi_v1.03588 adi_v1.03588, Acropora_digitifera_adi_v1.16891 adi_v1.16891, Acropora_digitifera_adi_v1.10277 adi_v1.10277
OG0000067	Clytia_hemispherica_TCONS_00015037-protein TCONS_00015037-protein, Clytia_hemispherica_TCONS_00030414-protein TCONS_00030414-protein, Clytia_hemispherica_TCONS_00016035-protein TCONS_00016035-protein, Clytia_hemispherica_TCONS_00016037-protein TCONS_00016037-protein	Acropora_digitifera_adi_v1.02251 adi_v1.02251, Acropora_digitifera_adi_v1.11440 adi_v1.11440
OG0000070	Clytia_hemispherica_TCONS_00021784-protein TCONS_00021784-protein	Acropora_digitifera_adi_v1.05628 adi_v1.05628
OG0000075	Clytia_hemispherica_TCONS_00018308-protein TCONS_00018308-protein, Clytia_hemispherica_TCONS_00054794-protein TCONS_00054794-protein	Acropora_digitifera_adi_v1.02324 adi_v1.02324
OG0000075	Clytia_hemispherica_TCONS_00060857-protein TCONS_00060857-protein, Clytia_hemispherica_TCONS_00047983-protein TCONS_00047983-protein	Acropora_digitifera_adi_v1.05194 adi_v1.05194, Acropora_digitifera_adi_v1.05678 adi_v1.05678
OG0000075	Clytia_hemispherica_TCONS_00047980-protein TCONS_00047980-protein	Acropora_digitifera_adi_v1.05195 adi_v1.05195, Acropora_digitifera_adi_v1.20443 adi_v1.20443
OG0000080	Clytia_hemispherica_TCONS_00070986-protein TCONS_00070986-protein	Acropora_digitifera_adi_v1.23049 adi_v1.23049
OG0000081	Clytia_hemispherica_TCONS_00022711-protein TCONS_00022711-protein	Acropora_digitifera_adi_v1.11224 adi_v1.11224
OG0000081	Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein	Acropora_digitifera_adi_v1.14148 adi_v1.14148
OG0000082	Clytia_hemispherica_TCONS_00001201-protein TCONS_00001201-protein	Acropora_digitifera_adi_v1.10757 adi_v1.10757, Acropora_digitifera_adi_v1.19272 adi_v1.19272, Acropora_digitifera_adi_v1.08091 adi_v1.08091, Acropora_digitifera_adi_v1.08090 adi_v1.08090, Acropora_digitifera_adi_v1.03875 adi_v1.03875, Acropora_digitifera_adi_v1.23202 adi_v1.23202, Acropora_digitifera_adi_v1.03874 adi_v1.03874, Acropora_digitifera_adi_v1.03249 adi_v1.03249, Acropora_digitifera_adi_v1.22782 adi_v1.22782, Acropora_digitifera_adi_v1.00154 adi_v1.00154, Acropora_digitifera_adi_v1.00928 adi_v1.00928, Acropora_digitifera_adi_v1.17031 adi_v1.17031
OG0000087	Clytia_hemispherica_TCONS_00024126-protein TCONS_00024126-protein	Acropora_digitifera_adi_v1.01106 adi_v1.01106
OG0000089	Clytia_hemispherica_TCONS_00004749-protein TCONS_00004749-protein	Acropora_digitifera_adi_v1.01316 adi_v1.01316
OG0000092	Clytia_hemispherica_TCONS_00005924-protein TCONS_00005924-protein, Clytia_hemispherica_TCONS_00049219-protein TCONS_00049219-protein, Clytia_hemispherica_TCONS_00049717-protein TCONS_00049717-protein, Clytia_hemispherica_TCONS_00049220-protein TCONS_00049220-protein, Clytia_hemispherica_TCONS_00018219-protein TCONS_00018219-protein, Clytia_hemispherica_TCONS_00018216-protein TCONS_00018216-protein, Clytia_hemispherica_TCONS_00018213-protein TCONS_00018213-protein, Clytia_hemispherica_TCONS_00055549-protein TCONS_00055549-protein	Acropora_digitifera_adi_v1.06183 adi_v1.06183
OG0000092	Clytia_hemispherica_TCONS_00018221-protein TCONS_00018221-protein, Clytia_hemispherica_TCONS_00006966-protein TCONS_00006966-protein, Clytia_hemispherica_TCONS_00006964-protein TCONS_00006964-protein, Clytia_hemispherica_TCONS_00006967-protein TCONS_00006967-protein, Clytia_hemispherica_TCONS_00054784-protein TCONS_00054784-protein, Clytia_hemispherica_TCONS_00007479-protein TCONS_00007479-protein	Acropora_digitifera_adi_v1.12295 adi_v1.12295, Acropora_digitifera_adi_v1.12296 adi_v1.12296, Acropora_digitifera_adi_v1.12926 adi_v1.12926
OG0000094	Clytia_hemispherica_TCONS_00019291-protein TCONS_00019291-protein	Acropora_digitifera_adi_v1.13477 adi_v1.13477
OG0000099	Clytia_hemispherica_TCONS_00015994-protein TCONS_00015994-protein, Clytia_hemispherica_TCONS_00016000-protein TCONS_00016000-protein, Clytia_hemispherica_TCONS_00015967-protein TCONS_00015967-protein	Acropora_digitifera_adi_v1.10436 adi_v1.10436, Acropora_digitifera_adi_v1.10437 adi_v1.10437
OG0000100	Clytia_hemispherica_TCONS_00062227-protein TCONS_00062227-protein	Acropora_digitifera_adi_v1.11601 adi_v1.11601
OG0000100	Clytia_hemispherica_TCONS_00024080-protein TCONS_00024080-protein	Acropora_digitifera_adi_v1.11599 adi_v1.11599
OG0000101	Clytia_hemispherica_TCONS_00021549-protein TCONS_00021549-protein	Acropora_digitifera_adi_v1.04659 adi_v1.04659
OG0000103	Clytia_hemispherica_TCONS_00012064-protein TCONS_00012064-protein	Acropora_digitifera_adi_v1.12265 adi_v1.12265
OG0000106	Clytia_hemispherica_TCONS_00050547-protein TCONS_00050547-protein, Clytia_hemispherica_TCONS_00050544-protein TCONS_00050544-protein, Clytia_hemispherica_TCONS_00034674-protein TCONS_00034674-protein, Clytia_hemispherica_TCONS_00024961-protein TCONS_00024961-protein, Clytia_hemispherica_TCONS_00037516-protein TCONS_00037516-protein, Clytia_hemispherica_TCONS_00015172-protein TCONS_00015172-protein	Acropora_digitifera_adi_v1.02115 adi_v1.02115, Acropora_digitifera_adi_v1.04595 adi_v1.04595, Acropora_digitifera_adi_v1.12730 adi_v1.12730, Acropora_digitifera_adi_v1.04153 adi_v1.04153, Acropora_digitifera_adi_v1.04157 adi_v1.04157, Acropora_digitifera_adi_v1.04154 adi_v1.04154, Acropora_digitifera_adi_v1.08231 adi_v1.08231
OG0000108	Clytia_hemispherica_TCONS_00000465-protein TCONS_00000465-protein	Acropora_digitifera_adi_v1.06132 adi_v1.06132, Acropora_digitifera_adi_v1.11664 adi_v1.11664, Acropora_digitifera_adi_v1.11665 adi_v1.11665, Acropora_digitifera_adi_v1.17652 adi_v1.17652, Acropora_digitifera_adi_v1.23828 adi_v1.23828, Acropora_digitifera_adi_v1.11614 adi_v1.11614, Acropora_digitifera_adi_v1.13681 adi_v1.13681, Acropora_digitifera_adi_v1.04811 adi_v1.04811
OG0000111	Clytia_hemispherica_TCONS_00064231-protein TCONS_00064231-protein	Acropora_digitifera_adi_v1.05777 adi_v1.05777, Acropora_digitifera_adi_v1.15937 adi_v1.15937, Acropora_digitifera_adi_v1.05774 adi_v1.05774, Acropora_digitifera_adi_v1.05775 adi_v1.05775
OG0000112	Clytia_hemispherica_TCONS_00062070-protein TCONS_00062070-protein	Acropora_digitifera_adi_v1.23845 adi_v1.23845, Acropora_digitifera_adi_v1.09025 adi_v1.09025
OG0000113	Clytia_hemispherica_TCONS_00049955-protein TCONS_00049955-protein	Acropora_digitifera_adi_v1.13246 adi_v1.13246
OG0000116	Clytia_hemispherica_TCONS_00053845-protein TCONS_00053845-protein	Acropora_digitifera_adi_v1.04201 adi_v1.04201, Acropora_digitifera_adi_v1.00669 adi_v1.00669, Acropora_digitifera_adi_v1.04200 adi_v1.04200, Acropora_digitifera_adi_v1.00670 adi_v1.00670, Acropora_digitifera_adi_v1.22020 adi_v1.22020
OG0000120	Clytia_hemispherica_TCONS_00010938-protein TCONS_00010938-protein	Acropora_digitifera_adi_v1.22301 adi_v1.22301
OG0000121	Clytia_hemispherica_TCONS_00000040-protein TCONS_00000040-protein	Acropora_digitifera_adi_v1.07477 adi_v1.07477, Acropora_digitifera_adi_v1.03736 adi_v1.03736
OG0000130	Clytia_hemispherica_TCONS_00055222-protein TCONS_00055222-protein	Acropora_digitifera_adi_v1.22062 adi_v1.22062, Acropora_digitifera_adi_v1.18361 adi_v1.18361, Acropora_digitifera_adi_v1.06177 adi_v1.06177
OG0000131	Clytia_hemispherica_TCONS_00002425-protein TCONS_00002425-protein, Clytia_hemispherica_TCONS_00002495-protein TCONS_00002495-protein	Acropora_digitifera_adi_v1.13891 adi_v1.13891
OG0000133	Clytia_hemispherica_TCONS_00000171-protein TCONS_00000171-protein	Acropora_digitifera_adi_v1.13517 adi_v1.13517
OG0000150	Clytia_hemispherica_TCONS_00003726-protein TCONS_00003726-protein	Acropora_digitifera_adi_v1.12343 adi_v1.12343
OG0000156	Clytia_hemispherica_TCONS_00025665-protein TCONS_00025665-protein	Acropora_digitifera_adi_v1.15791 adi_v1.15791
OG0000158	Clytia_hemispherica_TCONS_00064843-protein TCONS_00064843-protein	Acropora_digitifera_adi_v1.24509 adi_v1.24509
OG0000158	Clytia_hemispherica_TCONS_00065605-protein TCONS_00065605-protein	Acropora_digitifera_adi_v1.14301 adi_v1.14301, Acropora_digitifera_adi_v1.14565 adi_v1.14565
OG0000160	Clytia_hemispherica_TCONS_00064739-protein TCONS_00064739-protein	Acropora_digitifera_adi_v1.14572 adi_v1.14572
OG0000171	Clytia_hemispherica_TCONS_00013906-protein TCONS_00013906-protein	Acropora_digitifera_adi_v1.01870 adi_v1.01870
OG0000176	Clytia_hemispherica_TCONS_00050730-protein TCONS_00050730-protein	Acropora_digitifera_adi_v1.05518 adi_v1.05518
OG0000188	Clytia_hemispherica_TCONS_00060278-protein TCONS_00060278-protein, Clytia_hemispherica_TCONS_00060280-protein TCONS_00060280-protein	Acropora_digitifera_adi_v1.11206 adi_v1.11206, Acropora_digitifera_adi_v1.09473 adi_v1.09473, Acropora_digitifera_adi_v1.16003 adi_v1.16003, Acropora_digitifera_adi_v1.19717 adi_v1.19717, Acropora_digitifera_adi_v1.11466 adi_v1.11466, Acropora_digitifera_adi_v1.20726 adi_v1.20726
OG0000193	Clytia_hemispherica_TCONS_00053692-protein TCONS_00053692-protein	Acropora_digitifera_adi_v1.08763 adi_v1.08763
OG0000194	Clytia_hemispherica_TCONS_00071632-protein TCONS_00071632-protein, Clytia_hemispherica_TCONS_00030436-protein TCONS_00030436-protein	Acropora_digitifera_adi_v1.23856 adi_v1.23856, Acropora_digitifera_adi_v1.00469 adi_v1.00469
OG0000195	Clytia_hemispherica_TCONS_00066994-protein TCONS_00066994-protein	Acropora_digitifera_adi_v1.01290 adi_v1.01290
OG0000197	Clytia_hemispherica_TCONS_00051925-protein TCONS_00051925-protein	Acropora_digitifera_adi_v1.04732 adi_v1.04732, Acropora_digitifera_adi_v1.16918 adi_v1.16918
OG0000200	Clytia_hemispherica_TCONS_00023146-protein TCONS_00023146-protein	Acropora_digitifera_adi_v1.07516 adi_v1.07516
OG0000201	Clytia_hemispherica_TCONS_00051608-protein TCONS_00051608-protein	Acropora_digitifera_adi_v1.11496 adi_v1.11496
OG0000203	Clytia_hemispherica_TCONS_00002252-protein TCONS_00002252-protein	Acropora_digitifera_adi_v1.04333 adi_v1.04333
OG0000204	Clytia_hemispherica_TCONS_00063679-protein TCONS_00063679-protein	Acropora_digitifera_adi_v1.12294 adi_v1.12294
OG0000209	Clytia_hemispherica_TCONS_00065263-protein TCONS_00065263-protein	Acropora_digitifera_adi_v1.07265 adi_v1.07265
OG0000210	Clytia_hemispherica_TCONS_00052810-protein TCONS_00052810-protein	Acropora_digitifera_adi_v1.01691 adi_v1.01691
OG0000211	Clytia_hemispherica_TCONS_00064022-protein TCONS_00064022-protein	Acropora_digitifera_adi_v1.01976 adi_v1.01976
OG0000213	Clytia_hemispherica_TCONS_00007329-protein TCONS_00007329-protein	Acropora_digitifera_adi_v1.16428 adi_v1.16428
OG0000230	Clytia_hemispherica_TCONS_00034683-protein TCONS_00034683-protein	Acropora_digitifera_adi_v1.19552 adi_v1.19552
OG0000231	Clytia_hemispherica_TCONS_00061987-protein TCONS_00061987-protein	Acropora_digitifera_adi_v1.01923 adi_v1.01923
OG0000240	Clytia_hemispherica_TCONS_00008587-protein TCONS_00008587-protein	Acropora_digitifera_adi_v1.08480 adi_v1.08480
OG0000242	Clytia_hemispherica_TCONS_00026328-protein TCONS_00026328-protein, Clytia_hemispherica_TCONS_00014381-protein TCONS_00014381-protein, Clytia_hemispherica_TCONS_00045470-protein TCONS_00045470-protein	Acropora_digitifera_adi_v1.15086 adi_v1.15086, Acropora_digitifera_adi_v1.19970 adi_v1.19970
OG0000248	Clytia_hemispherica_TCONS_00073674-protein TCONS_00073674-protein	Acropora_digitifera_adi_v1.13105 adi_v1.13105, Acropora_digitifera_adi_v1.15930 adi_v1.15930
OG0000267	Clytia_hemispherica_TCONS_00024032-protein TCONS_00024032-protein	Acropora_digitifera_adi_v1.17264 adi_v1.17264
OG0000272	Clytia_hemispherica_TCONS_00030863-protein TCONS_00030863-protein	Acropora_digitifera_adi_v1.06359 adi_v1.06359
OG0000280	Clytia_hemispherica_TCONS_00056421-protein TCONS_00056421-protein	Acropora_digitifera_adi_v1.17062 adi_v1.17062, Acropora_digitifera_adi_v1.17327 adi_v1.17327
OG0000282	Clytia_hemispherica_TCONS_00000534-protein TCONS_00000534-protein	Acropora_digitifera_adi_v1.06060 adi_v1.06060, Acropora_digitifera_adi_v1.20668 adi_v1.20668
OG0000285	Clytia_hemispherica_TCONS_00002465-protein TCONS_00002465-protein	Acropora_digitifera_adi_v1.05812 adi_v1.05812
OG0000286	Clytia_hemispherica_TCONS_00061110-protein TCONS_00061110-protein	Acropora_digitifera_adi_v1.11445 adi_v1.11445
OG0000303	Clytia_hemispherica_TCONS_00065051-protein TCONS_00065051-protein	Acropora_digitifera_adi_v1.12162 adi_v1.12162
OG0000314	Clytia_hemispherica_TCONS_00070109-protein TCONS_00070109-protein	Acropora_digitifera_adi_v1.05227 adi_v1.05227
OG0000330	Clytia_hemispherica_TCONS_00068879-protein TCONS_00068879-protein	Acropora_digitifera_adi_v1.12128 adi_v1.12128
OG0000331	Clytia_hemispherica_TCONS_00057393-protein TCONS_00057393-protein	Acropora_digitifera_adi_v1.23613 adi_v1.23613
OG0000476	Clytia_hemispherica_TCONS_00053396-protein TCONS_00053396-protein	Acropora_digitifera_adi_v1.02351 adi_v1.02351
OG0000482	Clytia_hemispherica_TCONS_00072325-protein TCONS_00072325-protein	Acropora_digitifera_adi_v1.20477 adi_v1.20477
OG0000530	Clytia_hemispherica_TCONS_00004294-protein TCONS_00004294-protein	Acropora_digitifera_adi_v1.06942 adi_v1.06942
OG0001523	Clytia_hemispherica_TCONS_00045711-protein TCONS_00045711-protein	Acropora_digitifera_adi_v1.08239 adi_v1.08239, Acropora_digitifera_adi_v1.06886 adi_v1.06886
OG0001538	Clytia_hemispherica_TCONS_00045271-protein TCONS_00045271-protein	Acropora_digitifera_adi_v1.23481 adi_v1.23481
