Orthogroup	Cnidaria_Hydrozoa_Clytia_hemispherica	Cnidaria_Cubozoa_Morbakka_virulenta
OG0000013	Clytia_hemispherica_TCONS_00056741-protein TCONS_00056741-protein	Morbakka_virulenta_scaffold120.g22.t1 scaffold120.g22.t1
OG0000013	Clytia_hemispherica_TCONS_00027333-protein TCONS_00027333-protein, Clytia_hemispherica_TCONS_00027371-protein TCONS_00027371-protein	Morbakka_virulenta_scaffold120.g23.t2 scaffold120.g23.t2, Morbakka_virulenta_scaffold1708.g1.t1 scaffold1708.g1.t1, Morbakka_virulenta_scaffold120.g23.t1 scaffold120.g23.t1
OG0000013	Clytia_hemispherica_TCONS_00003473-protein TCONS_00003473-protein	Morbakka_virulenta_scaffold3.g1.t1 scaffold3.g1.t1
OG0000013	Clytia_hemispherica_TCONS_00065525-protein TCONS_00065525-protein	Morbakka_virulenta_scaffold426.g7.t1 scaffold426.g7.t1
OG0000013	Clytia_hemispherica_TCONS_00047033-protein TCONS_00047033-protein, Clytia_hemispherica_TCONS_00001198-protein TCONS_00001198-protein	Morbakka_virulenta_scaffold173.g13.t1 scaffold173.g13.t1, Morbakka_virulenta_scaffold173.g13.t2 scaffold173.g13.t2
OG0000013	Clytia_hemispherica_TCONS_00005153-protein TCONS_00005153-protein	Morbakka_virulenta_scaffold18.g46.t1 scaffold18.g46.t1, Morbakka_virulenta_scaffold18.g51.t1 scaffold18.g51.t1
OG0000013	Clytia_hemispherica_TCONS_00050019-protein TCONS_00050019-protein	Morbakka_virulenta_scaffold12.g86.t1 scaffold12.g86.t1
OG0000013	Clytia_hemispherica_TCONS_00073720-protein TCONS_00073720-protein	Morbakka_virulenta_scaffold536.g7.t1 scaffold536.g7.t1
OG0000014	Clytia_hemispherica_TCONS_00034923-protein TCONS_00034923-protein	Morbakka_virulenta_scaffold546.g1.t1 scaffold546.g1.t1
OG0000014	Clytia_hemispherica_TCONS_00022833-protein TCONS_00022833-protein	Morbakka_virulenta_scaffold67.g21.t1 scaffold67.g21.t1
OG0000014	Clytia_hemispherica_TCONS_00008326-protein TCONS_00008326-protein	Morbakka_virulenta_scaffold164.g20.t1 scaffold164.g20.t1
OG0000014	Clytia_hemispherica_TCONS_00055972-protein TCONS_00055972-protein	Morbakka_virulenta_scaffold105.g40.t1 scaffold105.g40.t1
OG0000014	Clytia_hemispherica_TCONS_00024369-protein TCONS_00024369-protein, Clytia_hemispherica_TCONS_00024371-protein TCONS_00024371-protein	Morbakka_virulenta_scaffold269.g24.t1 scaffold269.g24.t1
OG0000014	Clytia_hemispherica_TCONS_00004887-protein TCONS_00004887-protein	Morbakka_virulenta_scaffold116.g39.t1 scaffold116.g39.t1
OG0000014	Clytia_hemispherica_TCONS_00006273-protein TCONS_00006273-protein	Morbakka_virulenta_scaffold356.g5.t1 scaffold356.g5.t1
OG0000014	Clytia_hemispherica_TCONS_00000234-protein TCONS_00000234-protein	Morbakka_virulenta_scaffold366.g6.t2 scaffold366.g6.t2, Morbakka_virulenta_scaffold366.g6.t3 scaffold366.g6.t3, Morbakka_virulenta_scaffold366.g6.t1 scaffold366.g6.t1
OG0000014	Clytia_hemispherica_TCONS_00027721-protein TCONS_00027721-protein	Morbakka_virulenta_scaffold257.g6.t2 scaffold257.g6.t2, Morbakka_virulenta_scaffold257.g6.t1 scaffold257.g6.t1
OG0000014	Clytia_hemispherica_TCONS_00049460-protein TCONS_00049460-protein	Morbakka_virulenta_scaffold257.g1.t1 scaffold257.g1.t1
OG0000015	Clytia_hemispherica_TCONS_00003290-protein TCONS_00003290-protein	Morbakka_virulenta_scaffold147.g49.t1 scaffold147.g49.t1, Morbakka_virulenta_scaffold147.g50.t1 scaffold147.g50.t1, Morbakka_virulenta_scaffold147.g50.t2 scaffold147.g50.t2
OG0000015	Clytia_hemispherica_TCONS_00071047-protein TCONS_00071047-protein	Morbakka_virulenta_scaffold70.g1.t1 scaffold70.g1.t1
OG0000016	Clytia_hemispherica_TCONS_00015027-protein TCONS_00015027-protein, Clytia_hemispherica_TCONS_00066227-protein TCONS_00066227-protein	Morbakka_virulenta_scaffold63.g60.t1 scaffold63.g60.t1, Morbakka_virulenta_scaffold63.g65.t1 scaffold63.g65.t1
OG0000016	Clytia_hemispherica_TCONS_00068527-protein TCONS_00068527-protein, Clytia_hemispherica_TCONS_00055310-protein TCONS_00055310-protein	Morbakka_virulenta_scaffold88.g16.t1 scaffold88.g16.t1
OG0000016	Clytia_hemispherica_TCONS_00029219-protein TCONS_00029219-protein, Clytia_hemispherica_TCONS_00070408-protein TCONS_00070408-protein	Morbakka_virulenta_scaffold69.g105.t1 scaffold69.g105.t1, Morbakka_virulenta_scaffold69.g105.t2 scaffold69.g105.t2, Morbakka_virulenta_scaffold45.g73.t1 scaffold45.g73.t1, Morbakka_virulenta_scaffold45.g74.t1 scaffold45.g74.t1
OG0000016	Clytia_hemispherica_TCONS_00002797-protein TCONS_00002797-protein, Clytia_hemispherica_TCONS_00051485-protein TCONS_00051485-protein, Clytia_hemispherica_TCONS_00030305-protein TCONS_00030305-protein	Morbakka_virulenta_scaffold87.g11.t1 scaffold87.g11.t1, Morbakka_virulenta_scaffold87.g9.t1 scaffold87.g9.t1, Morbakka_virulenta_scaffold87.g10.t1 scaffold87.g10.t1
OG0000016	Clytia_hemispherica_TCONS_00016718-protein TCONS_00016718-protein	Morbakka_virulenta_scaffold413.g13.t1 scaffold413.g13.t1
OG0000016	Clytia_hemispherica_TCONS_00029218-protein TCONS_00029218-protein	Morbakka_virulenta_scaffold26.g50.t1 scaffold26.g50.t1, Morbakka_virulenta_scaffold4.g151.t2 scaffold4.g151.t2, Morbakka_virulenta_scaffold4.g151.t1 scaffold4.g151.t1
OG0000017	Clytia_hemispherica_TCONS_00067951-protein TCONS_00067951-protein	Morbakka_virulenta_scaffold146.g41.t1 scaffold146.g41.t1
OG0000017	Clytia_hemispherica_TCONS_00061272-protein TCONS_00061272-protein	Morbakka_virulenta_scaffold40.g21.t1 scaffold40.g21.t1, Morbakka_virulenta_scaffold420.g1.t1 scaffold420.g1.t1, Morbakka_virulenta_scaffold40.g23.t1 scaffold40.g23.t1, Morbakka_virulenta_scaffold180.g58.t1 scaffold180.g58.t1, Morbakka_virulenta_scaffold89.g6.t1 scaffold89.g6.t1, Morbakka_virulenta_scaffold89.g6.t2 scaffold89.g6.t2
OG0000018	Clytia_hemispherica_TCONS_00019092-protein TCONS_00019092-protein, Clytia_hemispherica_TCONS_00038451-protein TCONS_00038451-protein, Clytia_hemispherica_TCONS_00053338-protein TCONS_00053338-protein	Morbakka_virulenta_scaffold203.g33.t1 scaffold203.g33.t1
OG0000018	Clytia_hemispherica_TCONS_00066533-protein TCONS_00066533-protein	Morbakka_virulenta_scaffold290.g29.t1 scaffold290.g29.t1, Morbakka_virulenta_scaffold290.g29.t2 scaffold290.g29.t2, Morbakka_virulenta_scaffold290.g29.t3 scaffold290.g29.t3
OG0000019	Clytia_hemispherica_TCONS_00002859-protein TCONS_00002859-protein	Morbakka_virulenta_scaffold14.g2.t1 scaffold14.g2.t1, Morbakka_virulenta_scaffold14.g3.t1 scaffold14.g3.t1
OG0000019	Clytia_hemispherica_TCONS_00010860-protein TCONS_00010860-protein	Morbakka_virulenta_scaffold135.g49.t1 scaffold135.g49.t1
OG0000019	Clytia_hemispherica_TCONS_00032606-protein TCONS_00032606-protein	Morbakka_virulenta_scaffold7.g3.t1 scaffold7.g3.t1
OG0000019	Clytia_hemispherica_TCONS_00000118-protein TCONS_00000118-protein	Morbakka_virulenta_scaffold36.g28.t1 scaffold36.g28.t1
OG0000020	Clytia_hemispherica_TCONS_00047700-protein TCONS_00047700-protein	Morbakka_virulenta_scaffold39.g96.t1 scaffold39.g96.t1
OG0000020	Clytia_hemispherica_TCONS_00061671-protein TCONS_00061671-protein	Morbakka_virulenta_scaffold131.g48.t3 scaffold131.g48.t3, Morbakka_virulenta_scaffold131.g48.t2 scaffold131.g48.t2, Morbakka_virulenta_scaffold131.g48.t1 scaffold131.g48.t1
OG0000020	Clytia_hemispherica_TCONS_00003321-protein TCONS_00003321-protein	Morbakka_virulenta_scaffold461.g6.t1 scaffold461.g6.t1, Morbakka_virulenta_scaffold461.g6.t2 scaffold461.g6.t2
OG0000020	Clytia_hemispherica_TCONS_00006265-protein TCONS_00006265-protein	Morbakka_virulenta_scaffold116.g19.t1 scaffold116.g19.t1, Morbakka_virulenta_scaffold116.g19.t2 scaffold116.g19.t2
OG0000021	Clytia_hemispherica_TCONS_00006428-protein TCONS_00006428-protein	Morbakka_virulenta_scaffold66.g10.t1 scaffold66.g10.t1, Morbakka_virulenta_scaffold66.g10.t2 scaffold66.g10.t2
OG0000021	Clytia_hemispherica_TCONS_00024883-protein TCONS_00024883-protein	Morbakka_virulenta_scaffold500.g10.t1 scaffold500.g10.t1
OG0000021	Clytia_hemispherica_TCONS_00061561-protein TCONS_00061561-protein	Morbakka_virulenta_scaffold214.g8.t1 scaffold214.g8.t1
OG0000021	Clytia_hemispherica_TCONS_00059183-protein TCONS_00059183-protein	Morbakka_virulenta_scaffold3.g40.t1 scaffold3.g40.t1, Morbakka_virulenta_scaffold3.g40.t2 scaffold3.g40.t2
OG0000021	Clytia_hemispherica_TCONS_00037916-protein TCONS_00037916-protein	Morbakka_virulenta_scaffold377.g17.t1 scaffold377.g17.t1, Morbakka_virulenta_scaffold209.g39.t1 scaffold209.g39.t1
OG0000022	Clytia_hemispherica_TCONS_00007569-protein TCONS_00007569-protein	Morbakka_virulenta_scaffold19.g106.t1 scaffold19.g106.t1
OG0000022	Clytia_hemispherica_TCONS_00055551-protein TCONS_00055551-protein	Morbakka_virulenta_scaffold487.g6.t1 scaffold487.g6.t1
OG0000023	Clytia_hemispherica_TCONS_00062427-protein TCONS_00062427-protein, Clytia_hemispherica_TCONS_00051806-protein TCONS_00051806-protein, Clytia_hemispherica_TCONS_00052344-protein TCONS_00052344-protein, Clytia_hemispherica_TCONS_00019578-protein TCONS_00019578-protein	Morbakka_virulenta_scaffold2.g133.t1 scaffold2.g133.t1
OG0000023	Clytia_hemispherica_TCONS_00023962-protein TCONS_00023962-protein, Clytia_hemispherica_TCONS_00030285-protein TCONS_00030285-protein	Morbakka_virulenta_scaffold206.g31.t1 scaffold206.g31.t1
OG0000024	Clytia_hemispherica_TCONS_00000826-protein TCONS_00000826-protein	Morbakka_virulenta_scaffold68.g10.t1 scaffold68.g10.t1, Morbakka_virulenta_scaffold7.g148.t1 scaffold7.g148.t1
OG0000024	Clytia_hemispherica_TCONS_00016849-protein TCONS_00016849-protein	Morbakka_virulenta_scaffold510.g3.t1 scaffold510.g3.t1
OG0000024	Clytia_hemispherica_TCONS_00018835-protein TCONS_00018835-protein	Morbakka_virulenta_scaffold12.g79.t1 scaffold12.g79.t1
OG0000024	Clytia_hemispherica_TCONS_00055942-protein TCONS_00055942-protein	Morbakka_virulenta_scaffold161.g44.t1 scaffold161.g44.t1
OG0000027	Clytia_hemispherica_TCONS_00004998-protein TCONS_00004998-protein	Morbakka_virulenta_scaffold424.g6.t1 scaffold424.g6.t1
OG0000028	Clytia_hemispherica_TCONS_00014070-protein TCONS_00014070-protein	Morbakka_virulenta_scaffold9.g62.t1 scaffold9.g62.t1
OG0000028	Clytia_hemispherica_TCONS_00014047-protein TCONS_00014047-protein, Clytia_hemispherica_TCONS_00015680-protein TCONS_00015680-protein, Clytia_hemispherica_TCONS_00005375-protein TCONS_00005375-protein	Morbakka_virulenta_scaffold9.g59.t2 scaffold9.g59.t2, Morbakka_virulenta_scaffold9.g59.t1 scaffold9.g59.t1
OG0000029	Clytia_hemispherica_TCONS_00019037-protein TCONS_00019037-protein	Morbakka_virulenta_scaffold17.g74.t1 scaffold17.g74.t1
OG0000029	Clytia_hemispherica_TCONS_00007483-protein TCONS_00007483-protein	Morbakka_virulenta_scaffold331.g4.t1 scaffold331.g4.t1
OG0000029	Clytia_hemispherica_TCONS_00066649-protein TCONS_00066649-protein	Morbakka_virulenta_scaffold331.g11.t1 scaffold331.g11.t1
OG0000029	Clytia_hemispherica_TCONS_00003166-protein TCONS_00003166-protein	Morbakka_virulenta_scaffold154.g38.t1 scaffold154.g38.t1
OG0000029	Clytia_hemispherica_TCONS_00010654-protein TCONS_00010654-protein, Clytia_hemispherica_TCONS_00010652-protein TCONS_00010652-protein	Morbakka_virulenta_scaffold12.g130.t1 scaffold12.g130.t1
OG0000030	Clytia_hemispherica_TCONS_00007497-protein TCONS_00007497-protein, Clytia_hemispherica_TCONS_00007500-protein TCONS_00007500-protein	Morbakka_virulenta_scaffold273.g11.t2 scaffold273.g11.t2, Morbakka_virulenta_scaffold273.g11.t1 scaffold273.g11.t1
OG0000030	Clytia_hemispherica_TCONS_00028602-protein TCONS_00028602-protein	Morbakka_virulenta_scaffold233.g2.t1 scaffold233.g2.t1
OG0000031	Clytia_hemispherica_TCONS_00010074-protein TCONS_00010074-protein, Clytia_hemispherica_TCONS_00010109-protein TCONS_00010109-protein, Clytia_hemispherica_TCONS_00020839-protein TCONS_00020839-protein, Clytia_hemispherica_TCONS_00059252-protein TCONS_00059252-protein, Clytia_hemispherica_TCONS_00048987-protein TCONS_00048987-protein, Clytia_hemispherica_TCONS_00026252-protein TCONS_00026252-protein, Clytia_hemispherica_TCONS_00026243-protein TCONS_00026243-protein, Clytia_hemispherica_TCONS_00036835-protein TCONS_00036835-protein, Clytia_hemispherica_TCONS_00026227-protein TCONS_00026227-protein, Clytia_hemispherica_TCONS_00033804-protein TCONS_00033804-protein	Morbakka_virulenta_scaffold463.g10.t1 scaffold463.g10.t1
OG0000032	Clytia_hemispherica_TCONS_00034838-protein TCONS_00034838-protein	Morbakka_virulenta_scaffold319.g15.t1 scaffold319.g15.t1
OG0000034	Clytia_hemispherica_TCONS_00051590-protein TCONS_00051590-protein	Morbakka_virulenta_scaffold45.g31.t2 scaffold45.g31.t2, Morbakka_virulenta_scaffold45.g31.t1 scaffold45.g31.t1
OG0000034	Clytia_hemispherica_TCONS_00055927-protein TCONS_00055927-protein	Morbakka_virulenta_scaffold592.g10.t1 scaffold592.g10.t1, Morbakka_virulenta_scaffold592.g10.t2 scaffold592.g10.t2
OG0000034	Clytia_hemispherica_TCONS_00048912-protein TCONS_00048912-protein, Clytia_hemispherica_TCONS_00057683-protein TCONS_00057683-protein	Morbakka_virulenta_scaffold1.g337.t1 scaffold1.g337.t1
OG0000035	Clytia_hemispherica_TCONS_00058995-protein TCONS_00058995-protein	Morbakka_virulenta_scaffold400.g3.t2 scaffold400.g3.t2, Morbakka_virulenta_scaffold400.g3.t1 scaffold400.g3.t1
OG0000036	Clytia_hemispherica_TCONS_00053283-protein TCONS_00053283-protein	Morbakka_virulenta_scaffold50.g85.t1 scaffold50.g85.t1
OG0000036	Clytia_hemispherica_TCONS_00054322-protein TCONS_00054322-protein, Clytia_hemispherica_TCONS_00055213-protein TCONS_00055213-protein, Clytia_hemispherica_TCONS_00068268-protein TCONS_00068268-protein	Morbakka_virulenta_scaffold98.g20.t3 scaffold98.g20.t3, Morbakka_virulenta_scaffold98.g20.t2 scaffold98.g20.t2, Morbakka_virulenta_scaffold98.g20.t4 scaffold98.g20.t4, Morbakka_virulenta_scaffold98.g20.t1 scaffold98.g20.t1, Morbakka_virulenta_scaffold98.g26.t1 scaffold98.g26.t1
OG0000036	Clytia_hemispherica_TCONS_00001698-protein TCONS_00001698-protein	Morbakka_virulenta_scaffold2.g64.t1 scaffold2.g64.t1
OG0000036	Clytia_hemispherica_TCONS_00057743-protein TCONS_00057743-protein	Morbakka_virulenta_scaffold98.g33.t1 scaffold98.g33.t1, Morbakka_virulenta_scaffold98.g32.t1 scaffold98.g32.t1
OG0000037	Clytia_hemispherica_TCONS_00059237-protein TCONS_00059237-protein	Morbakka_virulenta_scaffold5.g153.t1 scaffold5.g153.t1, Morbakka_virulenta_scaffold119.g10.t1 scaffold119.g10.t1
OG0000040	Clytia_hemispherica_TCONS_00015477-protein TCONS_00015477-protein, Clytia_hemispherica_TCONS_00054801-protein TCONS_00054801-protein, Clytia_hemispherica_TCONS_00063899-protein TCONS_00063899-protein	Morbakka_virulenta_scaffold37.g21.t1 scaffold37.g21.t1, Morbakka_virulenta_scaffold37.g22.t1 scaffold37.g22.t1
OG0000042	Clytia_hemispherica_TCONS_00005412-protein TCONS_00005412-protein, Clytia_hemispherica_TCONS_00059228-protein TCONS_00059228-protein	Morbakka_virulenta_scaffold130.g32.t2 scaffold130.g32.t2, Morbakka_virulenta_scaffold130.g32.t1 scaffold130.g32.t1, Morbakka_virulenta_scaffold45.g44.t1 scaffold45.g44.t1
OG0000042	Clytia_hemispherica_TCONS_00007470-protein TCONS_00007470-protein	Morbakka_virulenta_scaffold130.g29.t1 scaffold130.g29.t1
OG0000042	Clytia_hemispherica_TCONS_00066637-protein TCONS_00066637-protein, Clytia_hemispherica_TCONS_00072911-protein TCONS_00072911-protein	Morbakka_virulenta_scaffold263.g24.t1 scaffold263.g24.t1
OG0000044	Clytia_hemispherica_TCONS_00053572-protein TCONS_00053572-protein	Morbakka_virulenta_scaffold291.g8.t1 scaffold291.g8.t1, Morbakka_virulenta_scaffold99.g38.t1 scaffold99.g38.t1
OG0000044	Clytia_hemispherica_TCONS_00062853-protein TCONS_00062853-protein	Morbakka_virulenta_scaffold90.g31.t1 scaffold90.g31.t1
OG0000044	Clytia_hemispherica_TCONS_00033083-protein TCONS_00033083-protein	Morbakka_virulenta_scaffold90.g28.t1 scaffold90.g28.t1, Morbakka_virulenta_scaffold433.g1.t1 scaffold433.g1.t1
OG0000045	Clytia_hemispherica_TCONS_00002813-protein TCONS_00002813-protein	Morbakka_virulenta_scaffold63.g34.t1 scaffold63.g34.t1, Morbakka_virulenta_scaffold63.g34.t2 scaffold63.g34.t2
OG0000045	Clytia_hemispherica_TCONS_00064870-protein TCONS_00064870-protein, Clytia_hemispherica_TCONS_00064833-protein TCONS_00064833-protein	Morbakka_virulenta_scaffold268.g14.t1 scaffold268.g14.t1
OG0000045	Clytia_hemispherica_TCONS_00064868-protein TCONS_00064868-protein, Clytia_hemispherica_TCONS_00064836-protein TCONS_00064836-protein, Clytia_hemispherica_TCONS_00043175-protein TCONS_00043175-protein	Morbakka_virulenta_scaffold15.g24.t1 scaffold15.g24.t1
OG0000046	Clytia_hemispherica_TCONS_00050883-protein TCONS_00050883-protein, Clytia_hemispherica_TCONS_00065761-protein TCONS_00065761-protein, Clytia_hemispherica_TCONS_00072914-protein TCONS_00072914-protein, Clytia_hemispherica_TCONS_00003192-protein TCONS_00003192-protein, Clytia_hemispherica_TCONS_00000570-protein TCONS_00000570-protein, Clytia_hemispherica_TCONS_00043112-protein TCONS_00043112-protein, Clytia_hemispherica_TCONS_00043709-protein TCONS_00043709-protein	Morbakka_virulenta_scaffold117.g12.t1 scaffold117.g12.t1
OG0000049	Clytia_hemispherica_TCONS_00064915-protein TCONS_00064915-protein	Morbakka_virulenta_scaffold314.g7.t1 scaffold314.g7.t1
OG0000053	Clytia_hemispherica_TCONS_00069010-protein TCONS_00069010-protein	Morbakka_virulenta_scaffold155.g5.t1 scaffold155.g5.t1
OG0000054	Clytia_hemispherica_TCONS_00029751-protein TCONS_00029751-protein	Morbakka_virulenta_scaffold47.g48.t2 scaffold47.g48.t2, Morbakka_virulenta_scaffold47.g48.t1 scaffold47.g48.t1
OG0000056	Clytia_hemispherica_TCONS_00054179-protein TCONS_00054179-protein	Morbakka_virulenta_scaffold31.g52.t1 scaffold31.g52.t1
OG0000061	Clytia_hemispherica_TCONS_00050243-protein TCONS_00050243-protein	Morbakka_virulenta_scaffold265.g6.t1 scaffold265.g6.t1, Morbakka_virulenta_scaffold92.g46.t1 scaffold92.g46.t1
OG0000061	Clytia_hemispherica_TCONS_00002099-protein TCONS_00002099-protein	Morbakka_virulenta_scaffold73.g24.t1 scaffold73.g24.t1
OG0000062	Clytia_hemispherica_TCONS_00052771-protein TCONS_00052771-protein, Clytia_hemispherica_TCONS_00023638-protein TCONS_00023638-protein	Morbakka_virulenta_scaffold194.g47.t1 scaffold194.g47.t1
OG0000062	Clytia_hemispherica_TCONS_00007562-protein TCONS_00007562-protein	Morbakka_virulenta_scaffold2.g110.t3 scaffold2.g110.t3, Morbakka_virulenta_scaffold2.g110.t1 scaffold2.g110.t1, Morbakka_virulenta_scaffold2.g110.t2 scaffold2.g110.t2
OG0000063	Clytia_hemispherica_TCONS_00002634-protein TCONS_00002634-protein, Clytia_hemispherica_TCONS_00002631-protein TCONS_00002631-protein	Morbakka_virulenta_scaffold23.g107.t1 scaffold23.g107.t1
OG0000064	Clytia_hemispherica_TCONS_00067933-protein TCONS_00067933-protein	Morbakka_virulenta_scaffold164.g4.t1 scaffold164.g4.t1, Morbakka_virulenta_scaffold164.g4.t2 scaffold164.g4.t2
OG0000064	Clytia_hemispherica_TCONS_00067923-protein TCONS_00067923-protein	Morbakka_virulenta_scaffold164.g7.t1 scaffold164.g7.t1
OG0000065	Clytia_hemispherica_TCONS_00048919-protein TCONS_00048919-protein, Clytia_hemispherica_TCONS_00063389-protein TCONS_00063389-protein	Morbakka_virulenta_scaffold1.g340.t1 scaffold1.g340.t1
OG0000067	Clytia_hemispherica_TCONS_00016037-protein TCONS_00016037-protein	Morbakka_virulenta_scaffold165.g11.t1 scaffold165.g11.t1
OG0000070	Clytia_hemispherica_TCONS_00021784-protein TCONS_00021784-protein	Morbakka_virulenta_scaffold190.g18.t1 scaffold190.g18.t1
OG0000075	Clytia_hemispherica_TCONS_00018308-protein TCONS_00018308-protein	Morbakka_virulenta_scaffold416.g3.t1 scaffold416.g3.t1, Morbakka_virulenta_scaffold416.g3.t2 scaffold416.g3.t2
OG0000075	Clytia_hemispherica_TCONS_00054794-protein TCONS_00054794-protein	Morbakka_virulenta_scaffold307.g13.t1 scaffold307.g13.t1
OG0000075	Clytia_hemispherica_TCONS_00060857-protein TCONS_00060857-protein, Clytia_hemispherica_TCONS_00047983-protein TCONS_00047983-protein	Morbakka_virulenta_scaffold326.g8.t1 scaffold326.g8.t1, Morbakka_virulenta_scaffold326.g8.t2 scaffold326.g8.t2
OG0000080	Clytia_hemispherica_TCONS_00070986-protein TCONS_00070986-protein	Morbakka_virulenta_scaffold190.g25.t1 scaffold190.g25.t1
OG0000081	Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein	Morbakka_virulenta_scaffold161.g34.t1 scaffold161.g34.t1
OG0000084	Clytia_hemispherica_TCONS_00057688-protein TCONS_00057688-protein, Clytia_hemispherica_TCONS_00006263-protein TCONS_00006263-protein	Morbakka_virulenta_scaffold357.g1.t3 scaffold357.g1.t3, Morbakka_virulenta_scaffold357.g1.t2 scaffold357.g1.t2, Morbakka_virulenta_scaffold357.g1.t1 scaffold357.g1.t1
OG0000089	Clytia_hemispherica_TCONS_00004749-protein TCONS_00004749-protein	Morbakka_virulenta_scaffold156.g14.t2 scaffold156.g14.t2, Morbakka_virulenta_scaffold156.g14.t1 scaffold156.g14.t1
OG0000092	Clytia_hemispherica_TCONS_00005924-protein TCONS_00005924-protein, Clytia_hemispherica_TCONS_00049219-protein TCONS_00049219-protein, Clytia_hemispherica_TCONS_00049717-protein TCONS_00049717-protein, Clytia_hemispherica_TCONS_00049220-protein TCONS_00049220-protein, Clytia_hemispherica_TCONS_00018219-protein TCONS_00018219-protein, Clytia_hemispherica_TCONS_00018216-protein TCONS_00018216-protein, Clytia_hemispherica_TCONS_00018213-protein TCONS_00018213-protein, Clytia_hemispherica_TCONS_00055549-protein TCONS_00055549-protein	Morbakka_virulenta_scaffold60.g13.t1 scaffold60.g13.t1, Morbakka_virulenta_scaffold60.g13.t2 scaffold60.g13.t2, Morbakka_virulenta_scaffold47.g57.t1 scaffold47.g57.t1, Morbakka_virulenta_scaffold60.g15.t1 scaffold60.g15.t1
OG0000092	Clytia_hemispherica_TCONS_00006966-protein TCONS_00006966-protein, Clytia_hemispherica_TCONS_00006964-protein TCONS_00006964-protein, Clytia_hemispherica_TCONS_00006967-protein TCONS_00006967-protein, Clytia_hemispherica_TCONS_00054784-protein TCONS_00054784-protein, Clytia_hemispherica_TCONS_00007479-protein TCONS_00007479-protein	Morbakka_virulenta_scaffold60.g52.t1 scaffold60.g52.t1
OG0000094	Clytia_hemispherica_TCONS_00019291-protein TCONS_00019291-protein	Morbakka_virulenta_scaffold354.g9.t4 scaffold354.g9.t4, Morbakka_virulenta_scaffold354.g9.t1 scaffold354.g9.t1, Morbakka_virulenta_scaffold354.g9.t3 scaffold354.g9.t3, Morbakka_virulenta_scaffold354.g9.t2 scaffold354.g9.t2
OG0000099	Clytia_hemispherica_TCONS_00015995-protein TCONS_00015995-protein	Morbakka_virulenta_scaffold237.g14.t1 scaffold237.g14.t1, Morbakka_virulenta_scaffold237.g14.t2 scaffold237.g14.t2
OG0000099	Clytia_hemispherica_TCONS_00015994-protein TCONS_00015994-protein, Clytia_hemispherica_TCONS_00016000-protein TCONS_00016000-protein, Clytia_hemispherica_TCONS_00015967-protein TCONS_00015967-protein	Morbakka_virulenta_scaffold240.g24.t1 scaffold240.g24.t1
OG0000099	Clytia_hemispherica_TCONS_00064088-protein TCONS_00064088-protein, Clytia_hemispherica_TCONS_00065037-protein TCONS_00065037-protein	Morbakka_virulenta_scaffold125.g57.t1 scaffold125.g57.t1, Morbakka_virulenta_scaffold242.g18.t1 scaffold242.g18.t1
OG0000100	Clytia_hemispherica_TCONS_00062227-protein TCONS_00062227-protein	Morbakka_virulenta_scaffold275.g5.t1 scaffold275.g5.t1, Morbakka_virulenta_scaffold275.g5.t2 scaffold275.g5.t2
OG0000100	Clytia_hemispherica_TCONS_00062230-protein TCONS_00062230-protein	Morbakka_virulenta_scaffold275.g7.t1 scaffold275.g7.t1, Morbakka_virulenta_scaffold275.g7.t2 scaffold275.g7.t2
OG0000101	Clytia_hemispherica_TCONS_00021549-protein TCONS_00021549-protein	Morbakka_virulenta_scaffold417.g12.t1 scaffold417.g12.t1, Morbakka_virulenta_scaffold417.g12.t2 scaffold417.g12.t2
OG0000103	Clytia_hemispherica_TCONS_00012064-protein TCONS_00012064-protein	Morbakka_virulenta_scaffold34.g37.t1 scaffold34.g37.t1, Morbakka_virulenta_scaffold34.g37.t2 scaffold34.g37.t2, Morbakka_virulenta_scaffold34.g37.t3 scaffold34.g37.t3
OG0000106	Clytia_hemispherica_TCONS_00050547-protein TCONS_00050547-protein, Clytia_hemispherica_TCONS_00050544-protein TCONS_00050544-protein, Clytia_hemispherica_TCONS_00034674-protein TCONS_00034674-protein, Clytia_hemispherica_TCONS_00024961-protein TCONS_00024961-protein, Clytia_hemispherica_TCONS_00037516-protein TCONS_00037516-protein, Clytia_hemispherica_TCONS_00015172-protein TCONS_00015172-protein	Morbakka_virulenta_scaffold239.g8.t1 scaffold239.g8.t1
OG0000111	Clytia_hemispherica_TCONS_00064231-protein TCONS_00064231-protein	Morbakka_virulenta_scaffold143.g12.t1 scaffold143.g12.t1
OG0000112	Clytia_hemispherica_TCONS_00062070-protein TCONS_00062070-protein	Morbakka_virulenta_scaffold51.g32.t1 scaffold51.g32.t1
OG0000113	Clytia_hemispherica_TCONS_00049955-protein TCONS_00049955-protein	Morbakka_virulenta_scaffold13.g58.t1 scaffold13.g58.t1
OG0000114	Clytia_hemispherica_TCONS_00018194-protein TCONS_00018194-protein	Morbakka_virulenta_scaffold53.g12.t1 scaffold53.g12.t1
OG0000116	Clytia_hemispherica_TCONS_00053845-protein TCONS_00053845-protein	Morbakka_virulenta_scaffold2.g208.t1 scaffold2.g208.t1, Morbakka_virulenta_scaffold37.g83.t1 scaffold37.g83.t1, Morbakka_virulenta_scaffold37.g83.t2 scaffold37.g83.t2
