Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Chordata_Vertebrata_Bos_taurus
OG0000120	Hydra_vulgaris_Sc4wPfr_739.g28832.t1 Sc4wPfr_739.g28832.t1	XP_002692376.1 syndecan-4 [Bos taurus], sp|Q58DD4.1|SDC2_BOVIN RecName_ Full=Syndecan-2; Short=SYND2; AltName_ CD_antigen=CD362; Flags_ Precursor, sp|Q08DZ5.1|SDC1_BOVIN RecName_ Full=Syndecan-1; Short=SYND1; AltName_ CD_antigen=CD138; Flags_ Precursor, DAA32372.1 TPA_ syndecan 3-like [Bos taurus]
OG0000122	Hydra_vulgaris_Sc4wPfr_1630.g30617.t1 Sc4wPfr_1630.g30617.t1	NP_776777.1 cation-independent mannose-6-phosphate receptor precursor [Bos taurus]
OG0000122	Hydra_vulgaris_Sc4wPfr_787.g23207.t1 Sc4wPfr_787.g23207.t1	NP_777170.1 72 kDa type IV collagenase precursor [Bos taurus], NP_777170.1 72 kDa type IV collagenase precursor [Bos taurus], sp|Q9GLE5.1|MMP2_BOVIN RecName_ Full=72 kDa type IV collagenase; AltName_ Full=72 kDa gelatinase; AltName_ Full=Matrix metalloproteinase-2; Short=MMP-2; Contains_ RecName_ Full=PEX; Flags_ Precursor, sp|Q9GLE5.1|MMP2_BOVIN RecName_ Full=72 kDa type IV collagenase; AltName_ Full=72 kDa gelatinase; AltName_ Full=Matrix metalloproteinase-2; Short=MMP-2; Contains_ RecName_ Full=PEX; Flags_ Precursor
OG0000141	Hydra_vulgaris_Sc4wPfr_106.g23502.t1 Sc4wPfr_106.g23502.t1	NP_001095646.1 CCN family member 5 precursor [Bos taurus], DAA22835.1 TPA_ WNT1 inducible signaling pathway protein 1-like [Bos taurus], NP_001029512.1 CCN family member 1 precursor [Bos taurus]
OG0000154	Hydra_vulgaris_Sc4wPfr_165.g9991.t2 Sc4wPfr_165.g9991.t2	XP_059746743.1 cartilage intermediate layer protein 1 isoform X1 [Bos taurus], NP_001179457.1 cartilage intermediate layer protein 2 precursor [Bos taurus]
OG0000156	Hydra_vulgaris_Sc4wPfr_292.g13106.t1 Sc4wPfr_292.g13106.t1, Hydra_vulgaris_Sc4wPfr_292.g13097.t1 Sc4wPfr_292.g13097.t1	sp|Q5EA98.1|MFAP1_BOVIN RecName_ Full=Microfibrillar-associated protein 1; AltName_ Full=Spliceosome B complex protein MFAP1
OG0000167	Hydra_vulgaris_Sc4wPfr_488.g29956.t1 Sc4wPfr_488.g29956.t1	NP_776793.1 integrin beta-1 precursor [Bos taurus], sp|P53712.3|ITB1_BOVIN RecName_ Full=Integrin beta-1; AltName_ Full=Fibronectin receptor subunit beta; AltName_ Full=VLA-4 subunit beta; AltName_ CD_antigen=CD29; Flags_ Precursor
OG0000209	Hydra_vulgaris_Sc4wPfr_297.g13155.t1 Sc4wPfr_297.g13155.t1	DAA23975.1 TPA_ integrator complex subunit 6 [Bos taurus]
OG0000214	Hydra_vulgaris_Sc4wPfr_356.g7060.t1 Sc4wPfr_356.g7060.t1	sp|Q5EA76.1|INT14_BOVIN RecName_ Full=Integrator complex subunit 14; AltName_ Full=von Willebrand factor A domain-containing protein 9
OG0000261	Hydra_vulgaris_Sc4wPfr_388.g4770.t1 Sc4wPfr_388.g4770.t1	DAA14692.1 TPA_ HtrA serine peptidase 1 [Bos taurus], sp|E1BJW1.1|HTRA4_BOVIN RecName_ Full=Serine protease HTR4; AltName_ Full=High-temperature requirement factor A4; Flags_ Precursor, XP_024849478.1 serine protease HTRA3 [Bos taurus]
OG0000268	Hydra_vulgaris_Sc4wPfr_304.2.g12739.t1 Sc4wPfr_304.2.g12739.t1	NP_001179579.1 cytokine receptor-like factor 3 [Bos taurus]
OG0000291	Hydra_vulgaris_Sc4wPfr_635.g14772.t1 Sc4wPfr_635.g14772.t1	NP_001068697.1 chondroitin sulfate proteoglycan 5 precursor [Bos taurus], sp|Q9GMS5.1|IMPG1_BOVIN RecName_ Full=Interphotoreceptor matrix proteoglycan 1; AltName_ Full=Mucin-like glycoprotein associated with photoreceptor cells; AltName_ Full=Sialoprotein associated with cones and rods; Flags_ Precursor, XP_059746029.1 interphotoreceptor matrix proteoglycan 2 isoform X1 [Bos taurus]
OG0000348	Hydra_vulgaris_Sc4wPfr_294.g5099.t1 Sc4wPfr_294.g5099.t1, Hydra_vulgaris_Sc4wPfr_294.g5099.t2 Sc4wPfr_294.g5099.t2	XP_024844360.1 nyctalopin [Bos taurus]
OG0000350	Hydra_vulgaris_Sc4wPfr_239.g21109.t1 Sc4wPfr_239.g21109.t1	NP_001193739.1 thrombospondin-type laminin G domain and EAR repeat-containing protein precursor [Bos taurus]
OG0000463	Hydra_vulgaris_Sc4wPfr_176.g26307.t1 Sc4wPfr_176.g26307.t1	XP_005206695.1 wnt inhibitory factor 1 isoform X1 [Bos taurus]
OG0000871	Hydra_vulgaris_Sc4wPfr_381.1.g32171.t1 Sc4wPfr_381.1.g32171.t1, Hydra_vulgaris_Sc4wPfr_126.2.g29235.t1 Sc4wPfr_126.2.g29235.t1, Hydra_vulgaris_Sc4wPfr_243.g15584.t1 Sc4wPfr_243.g15584.t1	sp|A7Z019.1|SMCA4_BOVIN RecName_ Full=Transcription activator BRG1; AltName_ Full=ATP-dependent helicase SMARCA4; AltName_ Full=BRG1-associated factor 190A; Short=BAF190A; AltName_ Full=Protein brahma homolog 1; AltName_ Full=SNF2-beta; AltName_ Full=SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4
