Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000005	Hydra_vulgaris_Sc4wPfr_839.g4004.t1 Sc4wPfr_839.g4004.t1	Aurelia_aurita_Seg765.1 Seg765.1 transcript_id=Seg765.1_GoldUCD_mRNA.D3Y31 product="Meprin A subunit beta" protein_id=Seg765.1_GoldUCD_D3Y31, Aurelia_aurita_Seg768.6 Seg768.6 transcript_id=Seg768.6_GoldUCD_mRNA.D3Y31 product="Meprin A subunit beta" protein_id=Seg768.6_GoldUCD_D3Y31
OG0000005	Hydra_vulgaris_Sc4wPfr_269.g7770.t1 Sc4wPfr_269.g7770.t1, Hydra_vulgaris_Sc4wPfr_356.g7066.t1 Sc4wPfr_356.g7066.t1, Hydra_vulgaris_Sc4wPfr_356.g7078.t1 Sc4wPfr_356.g7078.t1	Aurelia_aurita_Seg1823.3 Seg1823.3 transcript_id=Seg1823.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1823.3_GoldUCD_D3Y31
OG0000005	Hydra_vulgaris_Sc4wPfr_326.g15690.t1 Sc4wPfr_326.g15690.t1	Aurelia_aurita_Seg1488.1 Seg1488.1 transcript_id=Seg1488.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1488.1_GoldUCD_D3Y31
OG0000005	Hydra_vulgaris_Sc4wPfr_703.g8968.t1 Sc4wPfr_703.g8968.t1, Hydra_vulgaris_Sc4wPfr_703.g8968.t2 Sc4wPfr_703.g8968.t2, Hydra_vulgaris_Sc4wPfr_703.g8970.t1 Sc4wPfr_703.g8970.t1	Aurelia_aurita_Seg98.3 Seg98.3 transcript_id=Seg98.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg98.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3064.3 Seg3064.3 transcript_id=Seg3064.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg3064.3_GoldUCD_D3Y31, Aurelia_aurita_Seg910.13 Seg910.13 transcript_id=Seg910.13_GoldUCD_mRNA.D3Y31 product="Methylmalonic aciduria type A-like mitochondrial" protein_id=Seg910.13_GoldUCD_D3Y31, Aurelia_aurita_Seg4360.3 Seg4360.3 transcript_id=Seg4360.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg4360.3_GoldUCD_D3Y31, Aurelia_aurita_Seg7750.2 Seg7750.2 transcript_id=Seg7750.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg7750.2_GoldUCD_D3Y31, Aurelia_aurita_Seg557.4 Seg557.4 transcript_id=Seg557.4_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg557.4_GoldUCD_D3Y31, Aurelia_aurita_Seg557.2 Seg557.2 transcript_id=Seg557.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg557.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg910.15 Seg910.15 transcript_id=Seg910.15_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg910.15_GoldUCD_D3Y31, Aurelia_aurita_Seg7750.1 Seg7750.1 transcript_id=Seg7750.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg7750.1_GoldUCD_D3Y31, Aurelia_aurita_Seg557.3 Seg557.3 transcript_id=Seg557.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg557.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3064.2 Seg3064.2 transcript_id=Seg3064.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg3064.2_GoldUCD_D3Y31, Aurelia_aurita_Seg910.14 Seg910.14 transcript_id=Seg910.14_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg910.14_GoldUCD_D3Y31
OG0000005	Hydra_vulgaris_Sc4wPfr_576.1.g2978.t1 Sc4wPfr_576.1.g2978.t1	Aurelia_aurita_Seg1121.12 Seg1121.12 transcript_id=Seg1121.12_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-13" protein_id=Seg1121.12_GoldUCD_D3Y31, Aurelia_aurita_Seg3715.2 Seg3715.2 transcript_id=Seg3715.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-6" protein_id=Seg3715.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6310.3 Seg6310.3 transcript_id=Seg6310.3_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-15" protein_id=Seg6310.3_GoldUCD_D3Y31 partial=true
OG0000005	Hydra_vulgaris_Sc4wPfr_144.1.g11748.t1 Sc4wPfr_144.1.g11748.t1	Aurelia_aurita_Seg1684.7 Seg1684.7 transcript_id=Seg1684.7_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase nas-4" protein_id=Seg1684.7_GoldUCD_D3Y31
OG0000006	Hydra_vulgaris_Sc4wPfr_73.g11519.t1 Sc4wPfr_73.g11519.t1	Aurelia_aurita_Seg1245.6 Seg1245.6 transcript_id=Seg1245.6_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg1245.6_GoldUCD_D3Y31
OG0000006	Hydra_vulgaris_Sc4wPfr_504.g10344.t1 Sc4wPfr_504.g10344.t1	Aurelia_aurita_Seg2577.1 Seg2577.1 transcript_id=Seg2577.1_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg2577.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg274.8 Seg274.8 transcript_id=Seg274.8_GoldUCD_mRNA.D3Y31 product="Sushi von Willebrand factor type A EGF and pentraxin domain-containing protein 1" protein_id=Seg274.8_GoldUCD_D3Y31 partial=true
OG0000006	Hydra_vulgaris_Sc4wPfr_172.g6062.t1 Sc4wPfr_172.g6062.t1, Hydra_vulgaris_Sc4wPfr_172.g6056.t1 Sc4wPfr_172.g6056.t1	Aurelia_aurita_Seg5645.2 Seg5645.2 transcript_id=Seg5645.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5645.2_GoldUCD_D3Y31 partial=true
OG0000007	Hydra_vulgaris_Sc4wPfr_1107.1.g29893.t1 Sc4wPfr_1107.1.g29893.t1, Hydra_vulgaris_Sc4wPfr_975.g7252.t1 Sc4wPfr_975.g7252.t1, Hydra_vulgaris_Sc4wPfr_400.g17905.t1 Sc4wPfr_400.g17905.t1, Hydra_vulgaris_Sc4wPfr_400.g17908.t1 Sc4wPfr_400.g17908.t1	Aurelia_aurita_Seg1789.9 Seg1789.9 transcript_id=Seg1789.9_GoldUCD_mRNA.D3Y31 product=Fibrillin-2 protein_id=Seg1789.9_GoldUCD_D3Y31 partial=true
OG0000008	Hydra_vulgaris_Sc4wPfr_2179.g8165.t1 Sc4wPfr_2179.g8165.t1, Hydra_vulgaris_Sc4wPfr_2179.g8165.t2 Sc4wPfr_2179.g8165.t2	Aurelia_aurita_Seg2080.6 Seg2080.6 transcript_id=Seg2080.6_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg2080.6_GoldUCD_D3Y31, Aurelia_aurita_Seg713.3 Seg713.3 transcript_id=Seg713.3_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg713.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1414.8 Seg1414.8 transcript_id=Seg1414.8_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg1414.8_GoldUCD_D3Y31, Aurelia_aurita_Seg821.1 Seg821.1 transcript_id=Seg821.1_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg821.1_GoldUCD_D3Y31
OG0000008	Hydra_vulgaris_Sc4wPfr_484.g18303.t1 Sc4wPfr_484.g18303.t1	Aurelia_aurita_Seg1422.7 Seg1422.7 transcript_id=Seg1422.7_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg1422.7_GoldUCD_D3Y31
OG0000008	Hydra_vulgaris_Sc4wPfr_484.g18299.t1 Sc4wPfr_484.g18299.t1	Aurelia_aurita_Seg1422.8 Seg1422.8 transcript_id=Seg1422.8_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" protein_id=Seg1422.8_GoldUCD_D3Y31
OG0000008	Hydra_vulgaris_Sc4wPfr_565.g22058.t1 Sc4wPfr_565.g22058.t1	Aurelia_aurita_Seg709.6 Seg709.6 transcript_id=Seg709.6_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg709.6_GoldUCD_D3Y31
OG0000008	Hydra_vulgaris_Sc4wPfr_627.g26934.t1 Sc4wPfr_627.g26934.t1, Hydra_vulgaris_Sc4wPfr_627.g26936.t1 Sc4wPfr_627.g26936.t1	Aurelia_aurita_Seg1422.9 Seg1422.9 transcript_id=Seg1422.9_GoldUCD_mRNA.D3Y31 product=Fibropellin-1 protein_id=Seg1422.9_GoldUCD_D3Y31 partial=true
OG0000009	Hydra_vulgaris_Sc4wPfr_1380.1.g8427.t1 Sc4wPfr_1380.1.g8427.t1	Aurelia_aurita_Seg1446.4 Seg1446.4 transcript_id=Seg1446.4_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1446.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1404.2 Seg1404.2 transcript_id=Seg1404.2_GoldUCD_mRNA.D3Y31 product="Tolloid-like protein 2" protein_id=Seg1404.2_GoldUCD_D3Y31 partial=true
OG0000009	Hydra_vulgaris_Sc4wPfr_147.g8601.t1 Sc4wPfr_147.g8601.t1	Aurelia_aurita_Seg7358.1 Seg7358.1 transcript_id=Seg7358.1_GoldUCD_mRNA.D3Y31 product="hypothetical protein" pseudo=true protein_id=Seg7358.1_GoldUCD_D3Y31 partial=true
OG0000009	Hydra_vulgaris_Sc4wPfr_113.1.g28340.t1 Sc4wPfr_113.1.g28340.t1	Aurelia_aurita_Seg479.3 Seg479.3 transcript_id=Seg479.3_GoldUCD_mRNA.D3Y31 product="Protein AKTIP" protein_id=Seg479.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg10327.1 Seg10327.1 transcript_id=Seg10327.1_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 1" protein_id=Seg10327.1_GoldUCD_D3Y31 partial=true
OG0000009	Hydra_vulgaris_Sc4wPfr_79.4.g4973.t1 Sc4wPfr_79.4.g4973.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4972.t1 Sc4wPfr_79.4.g4972.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4971.t1 Sc4wPfr_79.4.g4971.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4975.t1 Sc4wPfr_79.4.g4975.t1	Aurelia_aurita_Seg1816.4 Seg1816.4 transcript_id=Seg1816.4_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1816.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg360.2 Seg360.2 transcript_id=Seg360.2_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 1" protein_id=Seg360.2_GoldUCD_D3Y31
OG0000009	Hydra_vulgaris_Sc4wPfr_789.g22427.t1 Sc4wPfr_789.g22427.t1	Aurelia_aurita_Seg1675.2 Seg1675.2 transcript_id=Seg1675.2_GoldUCD_mRNA.D3Y31 product=Neuropilin-2 protein_id=Seg1675.2_GoldUCD_D3Y31
OG0000009	Hydra_vulgaris_Sc4wPfr_85.g891.t1 Sc4wPfr_85.g891.t1	Aurelia_aurita_Seg1446.8 Seg1446.8 transcript_id=Seg1446.8_GoldUCD_mRNA.D3Y31 product=Neuropilin-1 protein_id=Seg1446.8_GoldUCD_D3Y31 partial=true
OG0000009	Hydra_vulgaris_Sc4wPfr_79.4.g4977.t1 Sc4wPfr_79.4.g4977.t1	Aurelia_aurita_Seg1785.3 Seg1785.3 transcript_id=Seg1785.3_GoldUCD_mRNA.D3Y31 product=Cubilin protein_id=Seg1785.3_GoldUCD_D3Y31
OG0000010	Hydra_vulgaris_Sc4wPfr_197.g11018.t1 Sc4wPfr_197.g11018.t1	Aurelia_aurita_Seg241.1 Seg241.1 transcript_id=Seg241.1_GoldUCD_mRNA.D3Y31 product="Roundabout 1" protein_id=Seg241.1_GoldUCD_D3Y31
OG0000010	Hydra_vulgaris_Sc4wPfr_124.g12319.t1 Sc4wPfr_124.g12319.t1	Aurelia_aurita_Seg1913.2 Seg1913.2 transcript_id=Seg1913.2_GoldUCD_mRNA.D3Y31 product="Protein sidekick-1" protein_id=Seg1913.2_GoldUCD_D3Y31
OG0000010	Hydra_vulgaris_Sc4wPfr_1300.g9811.t1 Sc4wPfr_1300.g9811.t1, Hydra_vulgaris_Sc4wPfr_1300.g9811.t2 Sc4wPfr_1300.g9811.t2	Aurelia_aurita_Seg114.11 Seg114.11 transcript_id=Seg114.11_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg114.11_GoldUCD_D3Y31 partial=true
OG0000010	Hydra_vulgaris_Sc4wPfr_758.g3713.t1 Sc4wPfr_758.g3713.t1	Aurelia_aurita_Seg320.14 Seg320.14 transcript_id=Seg320.14_GoldUCD_mRNA.D3Y31 product=Hemicentin-2 protein_id=Seg320.14_GoldUCD_D3Y31
OG0000010	Hydra_vulgaris_Sc4wPfr_1259.g23030.t1 Sc4wPfr_1259.g23030.t1	Aurelia_aurita_Seg1855.12 Seg1855.12 transcript_id=Seg1855.12_GoldUCD_mRNA.D3Y31 product="Neurogenic locus Notch protein" pseudo=true protein_id=Seg1855.12_GoldUCD_D3Y31
OG0000010	Hydra_vulgaris_Sc4wPfr_5.g3410.t1 Sc4wPfr_5.g3410.t1	Aurelia_aurita_Seg4070.2 Seg4070.2 transcript_id=Seg4070.2_GoldUCD_mRNA.D3Y31 product=Follistatin-A protein_id=Seg4070.2_GoldUCD_D3Y31
OG0000011	Hydra_vulgaris_Sc4wPfr_353.g28153.t1 Sc4wPfr_353.g28153.t1	Aurelia_aurita_Seg1871.3 Seg1871.3 transcript_id=Seg1871.3_GoldUCD_mRNA.D3Y31 product="Transmembrane protease serine 9" protein_id=Seg1871.3_GoldUCD_D3Y31
OG0000012	Hydra_vulgaris_Sc4wPfr_68.g2367.t1 Sc4wPfr_68.g2367.t1, Hydra_vulgaris_Sc4wPfr_68.g2364.t1 Sc4wPfr_68.g2364.t1	Aurelia_aurita_Seg86.3_Seg86.5 Seg86.3_Seg86.5 transcript_id=Seg86.3_Seg86.5_GoldUCD_mRNA.D3Y31 product="BMP-binding endothelial regulator protein" protein_id=Seg86.3_Seg86.5_GoldUCD_D3Y31
OG0000013	Hydra_vulgaris_Sc4wPfr_68.g2322.t1 Sc4wPfr_68.g2322.t1, Hydra_vulgaris_Sc4wPfr_68.g2320.t1 Sc4wPfr_68.g2320.t1, Hydra_vulgaris_Sc4wPfr_224.1.g33373.t1 Sc4wPfr_224.1.g33373.t1	Aurelia_aurita_Seg564.8 Seg564.8 transcript_id=Seg564.8_GoldUCD_mRNA.D3Y31 product="Protein Wnt-6" protein_id=Seg564.8_GoldUCD_D3Y31 partial=true
OG0000013	Hydra_vulgaris_Sc4wPfr_804.g24094.t1 Sc4wPfr_804.g24094.t1	Aurelia_aurita_Seg1579.2 Seg1579.2 transcript_id=Seg1579.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-1" protein_id=Seg1579.2_GoldUCD_D3Y31
OG0000013	Hydra_vulgaris_Sc4wPfr_399.g28064.t1 Sc4wPfr_399.g28064.t1	Aurelia_aurita_Seg385.14 Seg385.14 transcript_id=Seg385.14_GoldUCD_mRNA.D3Y31 product="Proto-oncogene Wnt-3" protein_id=Seg385.14_GoldUCD_D3Y31
OG0000013	Hydra_vulgaris_Sc4wPfr_275.3.g1992.t1 Sc4wPfr_275.3.g1992.t1	Aurelia_aurita_Seg1722.5 Seg1722.5 transcript_id=Seg1722.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1722.5_GoldUCD_D3Y31
OG0000013	Hydra_vulgaris_Sc4wPfr_287.2.g28262.t1 Sc4wPfr_287.2.g28262.t1	Aurelia_aurita_Seg915.2 Seg915.2 transcript_id=Seg915.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg915.2_GoldUCD_D3Y31
OG0000013	Hydra_vulgaris_Sc4wPfr_439.g20853.t1 Sc4wPfr_439.g20853.t1	Aurelia_aurita_Seg145.5 Seg145.5 transcript_id=Seg145.5_GoldUCD_mRNA.D3Y31 product="Protein Wnt-2b" protein_id=Seg145.5_GoldUCD_D3Y31
OG0000013	Hydra_vulgaris_Sc4wPfr_440.g6790.t1 Sc4wPfr_440.g6790.t1	Aurelia_aurita_Seg1904.2 Seg1904.2 transcript_id=Seg1904.2_GoldUCD_mRNA.D3Y31 product="Protein Wnt-4" protein_id=Seg1904.2_GoldUCD_D3Y31
OG0000014	Hydra_vulgaris_Sc4wPfr_1091.g16431.t1 Sc4wPfr_1091.g16431.t1, Hydra_vulgaris_Sc4wPfr_3168.g9700.t1 Sc4wPfr_3168.g9700.t1	Aurelia_aurita_Seg1742.4 Seg1742.4 transcript_id=Seg1742.4_GoldUCD_mRNA.D3Y31 product=Papilin protein_id=Seg1742.4_GoldUCD_D3Y31, Aurelia_aurita_Seg5885.2 Seg5885.2 transcript_id=Seg5885.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg5885.2_GoldUCD_D3Y31, Aurelia_aurita_Seg27.9 Seg27.9 transcript_id=Seg27.9_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 20" protein_id=Seg27.9_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg496.5 Seg496.5 transcript_id=Seg496.5_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 20" protein_id=Seg496.5_GoldUCD_D3Y31 partial=true
OG0000014	Hydra_vulgaris_Sc4wPfr_356.g7047.t1 Sc4wPfr_356.g7047.t1	Aurelia_aurita_Seg2032.6 Seg2032.6 transcript_id=Seg2032.6_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 17" protein_id=Seg2032.6_GoldUCD_D3Y31
OG0000014	Hydra_vulgaris_Sc4wPfr_565.g22061.t1 Sc4wPfr_565.g22061.t1	Aurelia_aurita_Seg1394.13 Seg1394.13 transcript_id=Seg1394.13_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 18" protein_id=Seg1394.13_GoldUCD_D3Y31
OG0000014	Hydra_vulgaris_Sc4wPfr_565.g22063.t1 Sc4wPfr_565.g22063.t1	Aurelia_aurita_Seg659.3 Seg659.3 transcript_id=Seg659.3_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 6" protein_id=Seg659.3_GoldUCD_D3Y31 partial=true
OG0000014	Hydra_vulgaris_Sc4wPfr_10.g18952.t1 Sc4wPfr_10.g18952.t1	Aurelia_aurita_Seg241.3 Seg241.3 transcript_id=Seg241.3_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 3" protein_id=Seg241.3_GoldUCD_D3Y31
OG0000014	Hydra_vulgaris_Sc4wPfr_118.g25084.t1 Sc4wPfr_118.g25084.t1, Hydra_vulgaris_Sc4wPfr_118.g25084.t2 Sc4wPfr_118.g25084.t2	Aurelia_aurita_Seg93.4 Seg93.4 transcript_id=Seg93.4_GoldUCD_mRNA.D3Y31 product="A disintegrin and metalloproteinase with thrombospondin motifs 3" protein_id=Seg93.4_GoldUCD_D3Y31
OG0000015	Hydra_vulgaris_Sc4wPfr_330.g6850.t1 Sc4wPfr_330.g6850.t1	Aurelia_aurita_Seg3316.2 Seg3316.2 transcript_id=Seg3316.2_GoldUCD_mRNA.D3Y31 product="Oncoprotein-induced transcript 3 protein" protein_id=Seg3316.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2133.4 Seg2133.4 transcript_id=Seg2133.4_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg2133.4_GoldUCD_D3Y31
OG0000015	Hydra_vulgaris_Sc4wPfr_1593.g7872.t1 Sc4wPfr_1593.g7872.t1	Aurelia_aurita_Seg207.8 Seg207.8 transcript_id=Seg207.8_GoldUCD_mRNA.D3Y31 product="ZP domain-containing protein" protein_id=Seg207.8_GoldUCD_D3Y31 partial=true
OG0000016	Hydra_vulgaris_Sc4wPfr_32.g14470.t1 Sc4wPfr_32.g14470.t1	Aurelia_aurita_Seg3451.1 Seg3451.1 transcript_id=Seg3451.1_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-21" protein_id=Seg3451.1_GoldUCD_D3Y31
OG0000016	Hydra_vulgaris_Sc4wPfr_678.g9365.t1 Sc4wPfr_678.g9365.t1	Aurelia_aurita_Seg8.8 Seg8.8 transcript_id=Seg8.8_GoldUCD_mRNA.D3Y31 product="Matrix metalloproteinase-16" protein_id=Seg8.8_GoldUCD_D3Y31
OG0000016	Hydra_vulgaris_Sc4wPfr_1414.g52.t1 Sc4wPfr_1414.g52.t1, Hydra_vulgaris_Sc4wPfr_1414.g53.t1 Sc4wPfr_1414.g53.t1, Hydra_vulgaris_Sc4wPfr_1414.g56.t1 Sc4wPfr_1414.g56.t1	Aurelia_aurita_Seg3243.6 Seg3243.6 transcript_id=Seg3243.6_GoldUCD_mRNA.D3Y31 product="Hatching enzyme" protein_id=Seg3243.6_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1784.13 Seg1784.13 transcript_id=Seg1784.13_GoldUCD_mRNA.D3Y31 product="Hatching enzyme" protein_id=Seg1784.13_GoldUCD_D3Y31
OG0000017	Hydra_vulgaris_Sc4wPfr_463.g30874.t1 Sc4wPfr_463.g30874.t1	Aurelia_aurita_Seg1738.13 Seg1738.13 transcript_id=Seg1738.13_GoldUCD_mRNA.D3Y31 product="Serpin B6" protein_id=Seg1738.13_GoldUCD_D3Y31, Aurelia_aurita_Seg2208.2 Seg2208.2 transcript_id=Seg2208.2_GoldUCD_mRNA.D3Y31 product="Serpin B6" protein_id=Seg2208.2_GoldUCD_D3Y31, Aurelia_aurita_Seg659.5 Seg659.5 transcript_id=Seg659.5_GoldUCD_mRNA.D3Y31 product="Serpin B6" protein_id=Seg659.5_GoldUCD_D3Y31, Aurelia_aurita_Seg453.9 Seg453.9 transcript_id=Seg453.9_GoldUCD_mRNA.D3Y31 product="Serpin B10" protein_id=Seg453.9_GoldUCD_D3Y31
OG0000018	Hydra_vulgaris_Sc4wPfr_296.g32332.t1 Sc4wPfr_296.g32332.t1	Aurelia_aurita_Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3 Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3 transcript_id=Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3_GoldUCD_mRNA.D3Y31 product="Lysyl oxidase 2B" protein_id=Seg1310.11_Seg1310.8_Seg1310.2_Seg1310.3_GoldUCD_D3Y31
OG0000019	Hydra_vulgaris_Sc4wPfr_292.g13083.t1 Sc4wPfr_292.g13083.t1, Hydra_vulgaris_Sc4wPfr_825.g15293.t1 Sc4wPfr_825.g15293.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1473.t1 Sc4wPfr_1127.1.g1473.t1	Aurelia_aurita_Seg381.25 Seg381.25 transcript_id=Seg381.25_GoldUCD_mRNA.D3Y31 product="Inhibin beta A chain" protein_id=Seg381.25_GoldUCD_D3Y31, Aurelia_aurita_Seg3698.1 Seg3698.1 transcript_id=Seg3698.1_GoldUCD_mRNA.D3Y31 product="Inhibin beta B chain" protein_id=Seg3698.1_GoldUCD_D3Y31
OG0000019	Hydra_vulgaris_Sc4wPfr_1127.1.g1463.t1 Sc4wPfr_1127.1.g1463.t1, Hydra_vulgaris_Sc4wPfr_467.g16222.t1 Sc4wPfr_467.g16222.t1	Aurelia_aurita_Seg1073.3 Seg1073.3 transcript_id=Seg1073.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 10" protein_id=Seg1073.3_GoldUCD_D3Y31
OG0000019	Hydra_vulgaris_Sc4wPfr_628.g32876.t1 Sc4wPfr_628.g32876.t1, Hydra_vulgaris_Sc4wPfr_628.g32877.t1 Sc4wPfr_628.g32877.t1, Hydra_vulgaris_Sc4wPfr_628.g32875.t1 Sc4wPfr_628.g32875.t1	Aurelia_aurita_Seg3305.2 Seg3305.2 transcript_id=Seg3305.2_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 5" protein_id=Seg3305.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2319.3 Seg2319.3 transcript_id=Seg2319.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 5" protein_id=Seg2319.3_GoldUCD_D3Y31
OG0000019	Hydra_vulgaris_Sc4wPfr_121.g2830.t1 Sc4wPfr_121.g2830.t1	Aurelia_aurita_Seg630.3 Seg630.3 transcript_id=Seg630.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 2-B" protein_id=Seg630.3_GoldUCD_D3Y31
OG0000019	Hydra_vulgaris_Sc4wPfr_639.g22916.t1 Sc4wPfr_639.g22916.t1	Aurelia_aurita_Seg4745.1 Seg4745.1 transcript_id=Seg4745.1_GoldUCD_mRNA.D3Y31 product="Growth_differentiation factor 6-A" protein_id=Seg4745.1_GoldUCD_D3Y31, Aurelia_aurita_Seg562.17 Seg562.17 transcript_id=Seg562.17_GoldUCD_mRNA.D3Y31 product="Growth_differentiation factor 6-A" protein_id=Seg562.17_GoldUCD_D3Y31
OG0000020	Hydra_vulgaris_Sc4wPfr_73.g11528.t1 Sc4wPfr_73.g11528.t1	Aurelia_aurita_Seg376.12 Seg376.12 transcript_id=Seg376.12_GoldUCD_mRNA.D3Y31 product="Collagen alpha-2" protein_id=Seg376.12_GoldUCD_D3Y31 partial=true
OG0000020	Hydra_vulgaris_Sc4wPfr_558.1.g10166.t1 Sc4wPfr_558.1.g10166.t1	Aurelia_aurita_Seg1274.1 Seg1274.1 transcript_id=Seg1274.1_GoldUCD_mRNA.D3Y31 product="Collagen alpha-2" protein_id=Seg1274.1_GoldUCD_D3Y31 partial=true
OG0000020	Hydra_vulgaris_Sc4wPfr_16.1.g8497.t1 Sc4wPfr_16.1.g8497.t1	Aurelia_aurita_Seg6278.2 Seg6278.2 transcript_id=Seg6278.2_GoldUCD_mRNA.D3Y31 product="Collagen alpha-1" protein_id=Seg6278.2_GoldUCD_D3Y31
OG0000020	Hydra_vulgaris_Sc4wPfr_3119.g11880.t1 Sc4wPfr_3119.g11880.t1	Aurelia_aurita_Seg1961.2 Seg1961.2 transcript_id=Seg1961.2_GoldUCD_mRNA.D3Y31 product="Collagen alpha-1 chain" protein_id=Seg1961.2_GoldUCD_D3Y31 partial=true
