Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Anthozoa_Porites_asteroides
OG0000007	Hydra_vulgaris_Sc4wPfr_817.g25358.t1 Sc4wPfr_817.g25358.t1, Hydra_vulgaris_Sc4wPfr_817.g25356.t1 Sc4wPfr_817.g25356.t1, Hydra_vulgaris_Sc4wPfr_388.1.g10239.t1 Sc4wPfr_388.1.g10239.t1, Hydra_vulgaris_Sc4wPfr_68.2.g16409.t1 Sc4wPfr_68.2.g16409.t1, Hydra_vulgaris_Sc4wPfr_68.2.g16398.t1 Sc4wPfr_68.2.g16398.t1, Hydra_vulgaris_Sc4wPfr_133.g14070.t1 Sc4wPfr_133.g14070.t1, Hydra_vulgaris_Sc4wPfr_464.g3794.t1 Sc4wPfr_464.g3794.t1	Porites_asteroides_GCKDGN102EUD3L GCKDGN102EUD3L extracted_CDS GOMatch=D2H7E0 GOTerms=GO_0005201_GO_0005488_GO_0005509_GO_0005578 Gene=Fibrillin-2_ Match_Acc=Q9WUH9 length=453 region=2 run=R_2010_02_19_08_49_25_ xy=1869_1103
OG0000007	Hydra_vulgaris_Sc4wPfr_158.2.g10589.t1 Sc4wPfr_158.2.g10589.t1	Porites_asteroides_GCKDGN101CFT5A GCKDGN101CFT5A extracted_CDS GOMatch=B3S3N0 GOTerms=GO_0005509 Gene=Fibrillin_2_ Match_Acc=B6CS38 length=407 region=1 run=R_2010_02_19_08_49_25_ xy=0883_1484
OG0000007	Hydra_vulgaris_Sc4wPfr_1033.g30822.t1 Sc4wPfr_1033.g30822.t1	Porites_asteroides_GCKDGN101B3PAV GCKDGN101B3PAV extracted_CDS GOMatch=C7SB45 GOTerms=GO_0005509_GO_0007160 Gene=Matrilin-like_protein_ Match_Acc=C7SB45 length=445 region=1 run=R_2010_02_19_08_49_25_ xy=0745_0581
OG0000008	Hydra_vulgaris_Sc4wPfr_156.1.g4115.t1 Sc4wPfr_156.1.g4115.t1, Hydra_vulgaris_Sc4wPfr_156.1.g4115.t2 Sc4wPfr_156.1.g4115.t2, Hydra_vulgaris_Sc4wPfr_156.g13795.t1 Sc4wPfr_156.g13795.t1	Porites_asteroides_isotig02918 isotig02918 extracted_CDS GOMatch=Q25059 GOTerms=GO_0005509 Gene=Fibropellin_III__Fragment__ Match_Acc=Q25059 gene=isogroup01292 length=449 numContigs=3, Porites_asteroides_isotig02919 isotig02919 extracted_CDS GOMatch=C3ZKA1 GOTerms=GO_0005488_GO_0005509 Gene=Fibropellin_III__Fragment__ Match_Acc=Q25059 gene=isogroup01292 length=334 numContigs=2
OG0000008	Hydra_vulgaris_Sc4wPfr_124.g12364.t1 Sc4wPfr_124.g12364.t1	Porites_asteroides_GCKDGN101BGYFZ GCKDGN101BGYFZ extracted_CDS xy=0486_0205 region=1 Match_Acc=P49013 run=R_2010_02_19_08_49_25_ Gene=Fibropellin-3_ length=308
OG0000008	Hydra_vulgaris_Sc4wPfr_2179.g8165.t1 Sc4wPfr_2179.g8165.t1, Hydra_vulgaris_Sc4wPfr_2179.g8165.t2 Sc4wPfr_2179.g8165.t2	Porites_asteroides_isotig12837 isotig12837 extracted_CDS GOMatch=A7SNM7 GOTerms=GO_0005509 Gene=Fibropellin-1_ Match_Acc=P10079 gene=isogroup11105 length=546 numContigs=1
OG0000008	Hydra_vulgaris_Sc4wPfr_962.g23752.t1 Sc4wPfr_962.g23752.t1, Hydra_vulgaris_Sc4wPfr_962.g23751.t1 Sc4wPfr_962.g23751.t1, Hydra_vulgaris_Sc4wPfr_962.g23753.t1 Sc4wPfr_962.g23753.t1	Porites_asteroides_isotig18731 isotig18731 extracted_CDS GOMatch=A7SQA8 GOTerms=GO_0005509 Gene=Neurogenic_locus_notch_protein_homolog_ Match_Acc=P21783 gene=isogroup16999 length=411 numContigs=1
OG0000008	Hydra_vulgaris_Sc4wPfr_484.g18303.t1 Sc4wPfr_484.g18303.t1	Porites_asteroides_isotig08480 isotig08480 extracted_CDS GOMatch=A7SR73 GOTerms=GO_0005509 Gene=Foot_protein_2_ Match_Acc=Q1XBT6 gene=isogroup06748 length=751 numContigs=1
OG0000008	Hydra_vulgaris_Sc4wPfr_484.g18299.t1 Sc4wPfr_484.g18299.t1, Hydra_vulgaris_Sc4wPfr_56.g24476.t1 Sc4wPfr_56.g24476.t1, Hydra_vulgaris_Sc4wPfr_565.g22058.t1 Sc4wPfr_565.g22058.t1	Porites_asteroides_isotig09309 isotig09309 extracted_CDS GOMatch=C3YZ65 GOTerms=GO_0005044_GO_0005164_GO_0005509_GO_0006955_GO_0016020 gene=isogroup07577 length=707 numContigs=1
OG0000008	Hydra_vulgaris_Sc4wPfr_1302.g27905.t1 Sc4wPfr_1302.g27905.t1, Hydra_vulgaris_Sc4wPfr_326.g15645.t1 Sc4wPfr_326.g15645.t1	Porites_asteroides_isotig32017 isotig32017 extracted_CDS GOMatch=A7SQA9 GOTerms=GO_0005509 Gene=Ligand_Delta-1_ Match_Acc=Q8AW87 gene=isogroup30285 length=157 numContigs=1
OG0000009	Hydra_vulgaris_Sc4wPfr_796.g23304.t1 Sc4wPfr_796.g23304.t1, Hydra_vulgaris_Sc4wPfr_796.g23304.t2 Sc4wPfr_796.g23304.t2	Porites_asteroides_isotig01235 isotig01235 extracted_CDS GOMatch=B9X085 GOTerms=GO_0003824_GO_0004252_GO_0005529_GO_0006508_GO_0008233 Gene=Mannose-binding_lectin_associated_serine_protease_ Match_Acc=B9X085 gene=isogroup00450 length=1223 numContigs=2
OG0000009	Hydra_vulgaris_Sc4wPfr_90.g1143.t1 Sc4wPfr_90.g1143.t1	Porites_asteroides_isotig22198 isotig22198 extracted_CDS GOMatch=Q4T392 GOTerms=GO_0005509 Gene=Subfamily_M12A_unassigned_peptidase__M12_family__ Match_Acc=C4Q3C1 gene=isogroup20466 length=369 numContigs=1, Porites_asteroides_isotig28996 isotig28996 extracted_CDS GOMatch=Q4SHD4 GOTerms=GO_0003824_GO_0004252_GO_0006508 Gene=Neuropilin-2a1_receptor_ Match_Acc=Q8UVR0 gene=isogroup27264 length=257 numContigs=1
OG0000009	Hydra_vulgaris_Sc4wPfr_325.1.g5321.t1 Sc4wPfr_325.1.g5321.t1	Porites_asteroides_GCKDGN103GC75M GCKDGN103GC75M extracted_CDS length=337 region=3 run=R_2010_02_19_08_49_25_ xy=2493_3576
OG0000009	Hydra_vulgaris_Sc4wPfr_79.4.g4973.t1 Sc4wPfr_79.4.g4973.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4972.t1 Sc4wPfr_79.4.g4972.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4971.t1 Sc4wPfr_79.4.g4971.t1, Hydra_vulgaris_Sc4wPfr_79.4.g4975.t1 Sc4wPfr_79.4.g4975.t1	Porites_asteroides_isotig13656 isotig13656 extracted_CDS GOMatch=Q4T392 GOTerms=GO_0005509 Gene=Bone_morphogenetic_protein_1_ Match_Acc=A9JR45 gene=isogroup11924 length=514 numContigs=1, Porites_asteroides_isotig18738 isotig18738 extracted_CDS GOMatch=Q75UQ6 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Similar_to_procollagen_C-endopeptidase_enhancer_ Match_Acc=B3DJG2 gene=isogroup17006 length=412 numContigs=1, Porites_asteroides_GCKDGN102C3UCD GCKDGN102C3UCD extracted_CDS GOMatch=Q4A3R3 GOTerms=GO_0005044_GO_0005576_GO_0006810_GO_0007275_GO_0015031_GO_0016020_GO_0016021_GO_0019898_GO_0030154_GO_0030658_GO_0031410_GO_0035375_GO_0042589_GO_0051636_GO_0051637 Gene=Deleted_in_malignant_brain_tumors_1_protein_ Match_Acc=Q4A3R3 length=411 region=2 run=R_2010_02_19_08_49_25_ xy=1156_3275, Porites_asteroides_isotig11237 isotig11237 extracted_CDS GOMatch=Q4H2P2 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0046872 Gene=Tolloid-like_1_ Match_Acc=B3DJN6 gene=isogroup09505 length=609 numContigs=1
OG0000010	Hydra_vulgaris_Sc4wPfr_378.g22720.t1 Sc4wPfr_378.g22720.t1, Hydra_vulgaris_Sc4wPfr_378.g22721.t1 Sc4wPfr_378.g22721.t1	Porites_asteroides_isotig18758 isotig18758 extracted_CDS GOMatch=A7S854 GOTerms=GO_0007155_GO_0031012 Gene=Basement_membrane-specific_heparan_sulfate_proteoglycan_core_protein_ Match_Acc=Q6KDZ1 gene=isogroup17026 length=411 numContigs=1, Porites_asteroides_isotig14078 isotig14078 extracted_CDS GOMatch=C3ZCS9 GOTerms=GO_0005102_GO_0005604_GO_0005606_GO_0007155_GO_0030155_GO_0030334_GO_0031012_GO_0045995 Gene=Heparan_sulfate_proteoglycan_2_ Match_Acc=B2RZI0 gene=isogroup12346 length=506 numContigs=1
OG0000010	Hydra_vulgaris_Sc4wPfr_197.g11018.t1 Sc4wPfr_197.g11018.t1	Porites_asteroides_isotig04150 isotig04150 extracted_CDS GOMatch=Q4RRT1 GOTerms=GO_0007155_GO_0016020 Gene=Roundabout_homolog_3_ Match_Acc=Q96MS0 gene=isogroup02418 length=1353 numContigs=1
OG0000010	Hydra_vulgaris_Sc4wPfr_1300.g9811.t1 Sc4wPfr_1300.g9811.t1, Hydra_vulgaris_Sc4wPfr_1300.g9811.t2 Sc4wPfr_1300.g9811.t2	Porites_asteroides_GCKDGN103GH3OK GCKDGN103GH3OK extracted_CDS GOMatch=C3ZMG6 GOTerms=GO_0005509 Gene=Protein_eyes_shut_homolog_ Match_Acc=Q5T1H1 length=391 region=3 run=R_2010_02_19_08_49_25_ xy=2549_1682
OG0000010	Hydra_vulgaris_Sc4wPfr_1259.g23030.t1 Sc4wPfr_1259.g23030.t1, Hydra_vulgaris_Sc4wPfr_378.g22717.t1 Sc4wPfr_378.g22717.t1, Hydra_vulgaris_Sc4wPfr_378.g22717.t2 Sc4wPfr_378.g22717.t2	Porites_asteroides_isotig26332 isotig26332 extracted_CDS GOMatch=B3MYW1 GOTerms=GO_0007155_GO_0031012 Gene=Terribly_reduced_optic_lobes__isoform_A_ Match_Acc=Q9W4Y4 gene=isogroup24600 length=312 numContigs=1
OG0000010	Hydra_vulgaris_Sc4wPfr_5.g3410.t1 Sc4wPfr_5.g3410.t1	Porites_asteroides_isotig11269 isotig11269 extracted_CDS GOMatch=Q6PW72 GOTerms=GO_0005488 Gene=Follistatin_ Match_Acc=Q6PW72 gene=isogroup09537 length=603 numContigs=1
OG0000011	Hydra_vulgaris_Sc4wPfr_439.g20742.t1 Sc4wPfr_439.g20742.t1	Porites_asteroides_GCKDGN103GEML0 GCKDGN103GEML0 extracted_CDS GOMatch=A7RKA9 GOTerms=GO_0004672_GO_0004713_GO_0004872_GO_0005524_GO_0006468_GO_0016020_GO_0016021 Gene=Receptor_tyrosine_kinase-like_orphan_receptor__Fragment__ Match_Acc=A1IKE0 length=345 region=3 run=R_2010_02_19_08_49_25_ xy=2509_3430
OG0000012	Hydra_vulgaris_Sc4wPfr_309.g10778.t1 Sc4wPfr_309.g10778.t1, Hydra_vulgaris_Sc4wPfr_977.g21608.t1 Sc4wPfr_977.g21608.t1, Hydra_vulgaris_Sc4wPfr_363.2.g30334.t1 Sc4wPfr_363.2.g30334.t1	Porites_asteroides_isotig20047 isotig20047 extracted_CDS GOMatch=A7RWN6 GOTerms=GO_0004867 Gene=Gastric_mucin__Fragment__ Match_Acc=O75372 gene=isogroup18315 length=395 numContigs=1
OG0000013	Hydra_vulgaris_Sc4wPfr_68.g2322.t1 Sc4wPfr_68.g2322.t1, Hydra_vulgaris_Sc4wPfr_68.g2320.t1 Sc4wPfr_68.g2320.t1, Hydra_vulgaris_Sc4wPfr_224.1.g33373.t1 Sc4wPfr_224.1.g33373.t1	Porites_asteroides_GCKDGN102C4DAL GCKDGN102C4DAL extracted_CDS GOMatch=B0FK92 GOTerms=GO_0004871_GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=B0FK92 length=394 region=2 run=R_2010_02_19_08_49_25_ xy=1162_3259
OG0000013	Hydra_vulgaris_Sc4wPfr_804.g24094.t1 Sc4wPfr_804.g24094.t1	Porites_asteroides_isotig14310 isotig14310 extracted_CDS GOMatch=Q5J2D4 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5J2D4 gene=isogroup12578 length=500 numContigs=1
OG0000013	Hydra_vulgaris_Sc4wPfr_275.3.g1992.t1 Sc4wPfr_275.3.g1992.t1	Porites_asteroides_GCKDGN103GNGAZ GCKDGN103GNGAZ extracted_CDS GOMatch=A7SZ54 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7SZ54 length=452 region=3 run=R_2010_02_19_08_49_25_ xy=2610_1465
OG0000013	Hydra_vulgaris_Sc4wPfr_287.2.g28262.t1 Sc4wPfr_287.2.g28262.t1	Porites_asteroides_isotig22298 isotig22298 extracted_CDS GOMatch=A7RGH9 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7RGH9 gene=isogroup20566 length=370 numContigs=1
OG0000013	Hydra_vulgaris_Sc4wPfr_1214.g29750.t1 Sc4wPfr_1214.g29750.t1	Porites_asteroides_isotig20937 isotig20937 extracted_CDS GOMatch=D2HKK9 GOTerms=GO_0001701_GO_0001944_GO_0003338_GO_0004871_GO_0005109_GO_0005576_GO_0005578_GO_0006917_GO_0007223_GO_0007275_GO_0008284_GO_0010628_GO_0016055_GO_0016332_GO_0021871_GO_0022009_GO_0030182_GO_0030324_GO_0032364_GO_0042475_GO_0042592_GO_0044237_GO_0045669_GO_0045879_GO_0048144_GO_0048568_GO_0050808_GO_0051145_GO_0060033_GO_0060070_GO_0060425_GO_0060428_GO_0060482_GO_0060484_GO_0060535_GO_0060560_GO_0060669_GO_0060710_GO_0061180_GO_0071300_GO_0072053_GO_0072054_GO_0072060_GO_0072061_GO_0072089_GO_0072205_GO_0072207_GO_0072236 Gene=Protein_Wnt__Fragment__ Match_Acc=Q6PDY6 gene=isogroup19205 length=385 numContigs=1
OG0000013	Hydra_vulgaris_Sc4wPfr_440.g6790.t1 Sc4wPfr_440.g6790.t1	Porites_asteroides_isotig03246 isotig03246 extracted_CDS GOMatch=A7RSS8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=A7RSS8 gene=isogroup01514 length=2357 numContigs=1, Porites_asteroides_isotig05535 isotig05535 extracted_CDS GOMatch=Q5IHV8 GOTerms=GO_0005576_GO_0005578_GO_0007223_GO_0007275_GO_0016055 Gene=Protein_Wnt_ Match_Acc=Q5IHV8 gene=isogroup03803 length=1046 numContigs=1
OG0000014	Hydra_vulgaris_Sc4wPfr_881.g1669.t3 Sc4wPfr_881.g1669.t3	Porites_asteroides_isotig03711 isotig03711 extracted_CDS GOMatch=D2HFE1 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=cDNA_FLJ45846_fis__clone_OCBBF2007039__highly_similar_to_ADAMTS-16__EC_3.4.24.-__ Match_Acc=B3KXQ2 gene=isogroup01979 length=1590 numContigs=1
OG0000014	Hydra_vulgaris_Sc4wPfr_565.g22061.t1 Sc4wPfr_565.g22061.t1, Hydra_vulgaris_Sc4wPfr_565.g22063.t1 Sc4wPfr_565.g22063.t1	Porites_asteroides_GE911073 GE911073 extracted_CDS 9574023_I17.ab1_c Past_norm2007 Porites astreoides cDNA_mRNA sequence, Porites_asteroides_isotig17018 isotig17018 extracted_CDS GOMatch=A7SM43 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_ 6_ Match_Acc=Q9UKP5 gene=isogroup15286 length=438 numContigs=1, Porites_asteroides_isotig16735 isotig16735 extracted_CDS GOMatch=A7SIU7 GOTerms=GO_0004222_GO_0005578_GO_0008237_GO_0008270_GO_0031012 Gene=CG14869__isoform_B_ Match_Acc=Q8SXB0 gene=isogroup15003 length=444 numContigs=1, Porites_asteroides_isotig10898 isotig10898 extracted_CDS GOMatch=A7SM44 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Adamts-7_ Match_Acc=Q179V7 gene=isogroup09166 length=628 numContigs=1, Porites_asteroides_GCKDGN101CES4W GCKDGN101CES4W extracted_CDS GOMatch=A7SM43 GOTerms=GO_0004222_GO_0005578_GO_0006508_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Adamts18_protein__Fragment__ Match_Acc=B7ZMV1 length=404 region=1 run=R_2010_02_19_08_49_25_ xy=0871_2670
OG0000015	Hydra_vulgaris_Sc4wPfr_1593.g7872.t1 Sc4wPfr_1593.g7872.t1	Porites_asteroides_isotig07129 isotig07129 extracted_CDS GOMatch=A7RGF1 GOTerms=GO_0005509 Gene=cDNA_FLJ51324__highly_similar_to_CUB_and_zona_pellucida-like_domain-containing_protein_1_ Match_Acc=B4DUY8 gene=isogroup05397 length=842 numContigs=1, Porites_asteroides_isotig22086 isotig22086 extracted_CDS GOMatch=A7SGZ7 GOTerms=GO_0005509 gene=isogroup20354 length=369 numContigs=1
OG0000016	Hydra_vulgaris_Sc4wPfr_945.g15408.t1 Sc4wPfr_945.g15408.t1, Hydra_vulgaris_Sc4wPfr_678.g9365.t1 Sc4wPfr_678.g9365.t1, Hydra_vulgaris_Sc4wPfr_938.g21233.t1 Sc4wPfr_938.g21233.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24917.t1 Sc4wPfr_706.1.g24917.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24907.t1 Sc4wPfr_706.1.g24907.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24906.t1 Sc4wPfr_706.1.g24906.t1, Hydra_vulgaris_Sc4wPfr_545.g26029.t1 Sc4wPfr_545.g26029.t1, Hydra_vulgaris_Sc4wPfr_706.2.g7977.t1 Sc4wPfr_706.2.g7977.t1, Hydra_vulgaris_Sc4wPfr_562.2.g1366.t1 Sc4wPfr_562.2.g1366.t1, Hydra_vulgaris_Sc4wPfr_472.g14883.t1 Sc4wPfr_472.g14883.t1, Hydra_vulgaris_Sc4wPfr_191.g12120.t1 Sc4wPfr_191.g12120.t1	Porites_asteroides_isotig03534 isotig03534 extracted_CDS GOMatch=A7RJ22 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Matrix_metalloproteinase_ Match_Acc=Q9U9P0 gene=isogroup01802 length=1741 numContigs=1, Porites_asteroides_isotig00727 isotig00727 extracted_CDS GOMatch=A7RJ22 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Matrix_metalloproteinase_ Match_Acc=Q9U9P0 gene=isogroup00204 length=1146 numContigs=2, Porites_asteroides_isotig00725 isotig00725 extracted_CDS GOMatch=A7RJ22 GOTerms=GO_0004222_GO_0005509_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Matrix_metalloproteinase_ Match_Acc=Q9U9P0 gene=isogroup00204 length=1217 numContigs=2
OG0000016	Hydra_vulgaris_Sc4wPfr_104.g15015.t1 Sc4wPfr_104.g15015.t1, Hydra_vulgaris_Sc4wPfr_2253.g19973.t1 Sc4wPfr_2253.g19973.t1, Hydra_vulgaris_Sc4wPfr_1100.g15590.t1 Sc4wPfr_1100.g15590.t1	Porites_asteroides_isotig04983 isotig04983 extracted_CDS GOMatch=A7SNA9 GOTerms=GO_0004222_GO_0006508_GO_0008152_GO_0008233_GO_0008237_GO_0008270_GO_0016787_GO_0031012_GO_0046872 Gene=Matrix_metalloproteinase-19_ Match_Acc=Q99542 gene=isogroup03251 length=1144 numContigs=1
OG0000019	Hydra_vulgaris_Sc4wPfr_628.g32876.t1 Sc4wPfr_628.g32876.t1, Hydra_vulgaris_Sc4wPfr_628.g32877.t1 Sc4wPfr_628.g32877.t1, Hydra_vulgaris_Sc4wPfr_628.g32875.t1 Sc4wPfr_628.g32875.t1	Porites_asteroides_isotig11482 isotig11482 extracted_CDS GOMatch=Q27W10 GOTerms=GO_0008083_GO_0040007 Gene=BMP5-8__Fragment__ Match_Acc=Q27W10 gene=isogroup09750 length=601 numContigs=1
OG0000019	Hydra_vulgaris_Sc4wPfr_121.g2830.t1 Sc4wPfr_121.g2830.t1	Porites_asteroides_isotig13411 isotig13411 extracted_CDS GOMatch=B6SCR5 GOTerms=GO_0008083_GO_0040007 Gene=BMP2_4__Fragment__ Match_Acc=B6SCR5 gene=isogroup11679 length=526 numContigs=1
OG0000019	Hydra_vulgaris_Sc4wPfr_639.g22916.t1 Sc4wPfr_639.g22916.t1	Porites_asteroides_isotig11160 isotig11160 extracted_CDS GOMatch=Q5YJC3 GOTerms=GO_0005576_GO_0008083_GO_0040007 Gene=GDF5-like_protein_ Match_Acc=Q5YJC3 gene=isogroup09428 length=616 numContigs=1
OG0000020	Hydra_vulgaris_Sc4wPfr_73.g11528.t1 Sc4wPfr_73.g11528.t1	Porites_asteroides_isotig03376 isotig03376 extracted_CDS GOMatch=Q4S5M8 GOTerms=GO_0005201_GO_0005581 Gene=Collagen_alpha-2_I__chain__Fragments__ Match_Acc=P02467 gene=isogroup01644 length=1965 numContigs=1
OG0000020	Hydra_vulgaris_Sc4wPfr_363.2.g30379.t1 Sc4wPfr_363.2.g30379.t1, Hydra_vulgaris_Sc4wPfr_558.1.g10166.t1 Sc4wPfr_558.1.g10166.t1, Hydra_vulgaris_Sc4wPfr_16.1.g8497.t1 Sc4wPfr_16.1.g8497.t1	Porites_asteroides_isotig03386 isotig03386 extracted_CDS GOMatch=B5U969 GOTerms=GO_0005201_GO_0005581 Gene=Collagen_type_I_alpha_2_ Match_Acc=B5U969 gene=isogroup01654 length=1935 numContigs=1
OG0000020	Hydra_vulgaris_Sc4wPfr_3119.g11880.t1 Sc4wPfr_3119.g11880.t1	Porites_asteroides_isotig03430 isotig03430 extracted_CDS GOMatch=A7RV65 GOTerms=GO_0005201_GO_0005581 Gene=Collagen__type_XI__alpha_1__isoform_CRA_c_ Match_Acc=D3DT72 gene=isogroup01698 length=1880 numContigs=1
OG0000021	Hydra_vulgaris_Sc4wPfr_597.2.g14347.t1 Sc4wPfr_597.2.g14347.t1	Porites_asteroides_isotig00263 isotig00263 extracted_CDS GOMatch=A7RXU8 GOTerms=GO_0005509_GO_0016020_GO_0016021 Gene=Vitellogenin_receptor__putative__Fragment__ Match_Acc=B7QBX8 gene=isogroup00059 length=1548 numContigs=4
OG0000022	Hydra_vulgaris_Sc4wPfr_1269.g30707.t1 Sc4wPfr_1269.g30707.t1	Porites_asteroides_GE911485 GE911485 extracted_CDS Past_17_20453_L23.ab1_c Past_norm2007 Porites astreoides cDNA_ mRNA sequence, Porites_asteroides_isotig03484 isotig03484 extracted_CDS GOMatch=A7T6G0 GOTerms=GO_0005509_GO_0005544 Gene=Annexin_ Match_Acc=Q4W6D6 gene=isogroup01752 length=1813 numContigs=1
OG0000023	Hydra_vulgaris_Sc4wPfr_463.g30914.t1 Sc4wPfr_463.g30914.t1, Hydra_vulgaris_Sc4wPfr_463.g30914.t2 Sc4wPfr_463.g30914.t2, Hydra_vulgaris_Sc4wPfr_463.g30915.t1 Sc4wPfr_463.g30915.t1	Porites_asteroides_GCKDGN103HAO7Y GCKDGN103HAO7Y extracted_CDS GOMatch=C3YIZ0 GOTerms=GO_0004222_GO_0006508 Gene=ADAM_12_ Match_Acc=Q8UVF2 length=401 region=3 run=R_2010_02_19_08_49_25_ xy=2875_0668
OG0000023	Hydra_vulgaris_Sc4wPfr_1386.g7458.t1 Sc4wPfr_1386.g7458.t1	Porites_asteroides_GCKDGN101B7QZF GCKDGN101B7QZF extracted_CDS GOMatch=Q4SXN1 GOTerms=GO_0004222_GO_0006508_GO_0008270 Gene=ADAM12_ Match_Acc=Q27JK7 length=235 region=1 run=R_2010_02_19_08_49_25_ xy=0791_0969, Porites_asteroides_GCKDGN103GHELF GCKDGN103GHELF extracted_CDS GOMatch=C3YBV5 GOTerms=GO_0004222_GO_0006508_GO_0008270 Gene=ADAM12_ Match_Acc=Q27JK7 length=476 region=3 run=R_2010_02_19_08_49_25_ xy=2541_1937
OG0000024	Hydra_vulgaris_Sc4wPfr_2322.g26961.t2 Sc4wPfr_2322.g26961.t2, Hydra_vulgaris_Sc4wPfr_2322.g26961.t1 Sc4wPfr_2322.g26961.t1	Porites_asteroides_isotig10759 isotig10759 extracted_CDS GOMatch=B3SAJ2 GOTerms=GO_0004867_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=Q9U6K8 gene=isogroup09027 length=634 numContigs=1, Porites_asteroides_isotig21314 isotig21314 extracted_CDS GOMatch=P81439 GOTerms=GO_0004869_GO_0005576_GO_0010466_GO_0030414 Gene=Equistatin_ Match_Acc=P81439 gene=isogroup19582 length=368 numContigs=1
OG0000024	Hydra_vulgaris_Sc4wPfr_199.g28646.t1 Sc4wPfr_199.g28646.t1	Porites_asteroides_isotig04675 isotig04675 extracted_CDS GOMatch=A7RFR0 GOTerms=GO_0005509_GO_0005578_GO_0007165 Gene=Testican-3_ Match_Acc=Q8BKV0 gene=isogroup02943 length=1220 numContigs=1
OG0000029	Hydra_vulgaris_Sc4wPfr_950.g24011.t1 Sc4wPfr_950.g24011.t1	Porites_asteroides_isotig08229 isotig08229 extracted_CDS GOMatch=A0JM21 GOTerms=GO_0005102_GO_0007155_GO_0007165_GO_0016020_GO_0016021 Gene=Contactin-associated_protein-like_2_ Match_Acc=Q9CPW0 gene=isogroup06497 length=766 numContigs=1
OG0000029	Hydra_vulgaris_Sc4wPfr_1130.g25539.t1 Sc4wPfr_1130.g25539.t1, Hydra_vulgaris_Sc4wPfr_1130.g25534.t1 Sc4wPfr_1130.g25534.t1, Hydra_vulgaris_Sc4wPfr_1130.g25533.t1 Sc4wPfr_1130.g25533.t1, Hydra_vulgaris_Sc4wPfr_1130.g25540.t1 Sc4wPfr_1130.g25540.t1	Porites_asteroides_isotig06169 isotig06169 extracted_CDS GOMatch=A7RRW5 GOTerms=GO_0005102_GO_0007165 Gene=Contactin-associated_protein-like_3B_ Match_Acc=Q96NU0 gene=isogroup04437 length=952 numContigs=1, Porites_asteroides_isotig03733 isotig03733 extracted_CDS GOMatch=A7RRW5 GOTerms=GO_0005102_GO_0007165 Gene=Contactin-associated_protein-like_2_ Match_Acc=Q9CPW0 gene=isogroup02001 length=1569 numContigs=1
OG0000030	Hydra_vulgaris_Sc4wPfr_1380.1.g8435.t1 Sc4wPfr_1380.1.g8435.t1	Porites_asteroides_isotig13870 isotig13870 extracted_CDS GOMatch=Q7QC01 GOTerms=GO_0004222_GO_0006508_GO_0008233_GO_0008237_GO_0016787 Gene=Adam_ Match_Acc=Q17E69 gene=isogroup12138 length=509 numContigs=1
