Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Chordata_Vertebrata_Mus_musculus
OG0000034	Hydra_vulgaris_Sc4wPfr_1475.1.g4365.t1 Sc4wPfr_1475.1.g4365.t1, Hydra_vulgaris_Sc4wPfr_1475.g5204.t2 Sc4wPfr_1475.g5204.t2, Hydra_vulgaris_Sc4wPfr_1475.g5204.t1 Sc4wPfr_1475.g5204.t1, Hydra_vulgaris_Sc4wPfr_832.g4698.t1 Sc4wPfr_832.g4698.t1	Mus_musculus_sp_Q80T91_MEG11_MOUSE sp_Q80T91_MEG11_MOUSE Multiple epidermal growth factor-like domains protein 11 OS=Mus musculus OX=10090 GN=Megf11 PE=1 SV=3, Mus_musculus_sp_Q80T91_MEG11_MOUSE sp_Q80T91_MEG11_MOUSE Multiple epidermal growth factor-like domains protein 11 OS=Mus musculus OX=10090 GN=Megf11 PE=1 SV=3, Mus_musculus_sp_Q6DIB5_MEG10_MOUSE sp_Q6DIB5_MEG10_MOUSE Multiple epidermal growth factor-like domains protein 10 OS=Mus musculus OX=10090 GN=Megf10 PE=1 SV=1
OG0000034	Hydra_vulgaris_Sc4wPfr_325.1.g5332.t1 Sc4wPfr_325.1.g5332.t1, Hydra_vulgaris_Sc4wPfr_325.1.g5334.t1 Sc4wPfr_325.1.g5334.t1	Mus_musculus_sp_P60882_MEGF8_MOUSE sp_P60882_MEGF8_MOUSE Multiple epidermal growth factor-like domains protein 8 OS=Mus musculus OX=10090 GN=Megf8 PE=1 SV=2
OG0000040	Hydra_vulgaris_Sc4wPfr_62.g4386.t1 Sc4wPfr_62.g4386.t1, Hydra_vulgaris_Sc4wPfr_230.g26213.t1 Sc4wPfr_230.g26213.t1	Mus_musculus_sp_Q8BJ66_KAZD1_MOUSE sp_Q8BJ66_KAZD1_MOUSE Kazal-type serine protease inhibitor domain-containing protein 1 OS=Mus musculus OX=10090 GN=Kazald1 PE=1 SV=2, Mus_musculus_sp_Q80W15_IBPL1_MOUSE sp_Q80W15_IBPL1_MOUSE Insulin-like growth factor-binding protein-like 1 OS=Mus musculus OX=10090 GN=Igfbpl1 PE=2 SV=1, Mus_musculus_sp_Q61581_IBP7_MOUSE sp_Q61581_IBP7_MOUSE Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=3
OG0000041	Hydra_vulgaris_Sc4wPfr_422.g20203.t1 Sc4wPfr_422.g20203.t1	Mus_musculus_sp_Q99KC8_VMA5A_MOUSE sp_Q99KC8_VMA5A_MOUSE von Willebrand factor A domain-containing protein 5A OS=Mus musculus OX=10090 GN=Vwa5a PE=1 SV=2, Mus_musculus_sp_A9Z1V5_VW5B1_MOUSE sp_A9Z1V5_VW5B1_MOUSE von Willebrand factor A domain-containing protein 5B1 OS=Mus musculus OX=10090 GN=Vwa5b1 PE=2 SV=1
OG0000044	Hydra_vulgaris_Sc4wPfr_1298.g6418.t1 Sc4wPfr_1298.g6418.t1	Mus_musculus_sp_P21981_TGM2_MOUSE sp_P21981_TGM2_MOUSE Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus OX=10090 GN=Tgm2 PE=1 SV=4, Mus_musculus_sp_Q08189_TGM3_MOUSE sp_Q08189_TGM3_MOUSE Protein-glutamine gamma-glutamyltransferase E OS=Mus musculus OX=10090 GN=Tgm3 PE=1 SV=2, Mus_musculus_sp_Q9D7I9_TGM5_MOUSE sp_Q9D7I9_TGM5_MOUSE Protein-glutamine gamma-glutamyltransferase 5 OS=Mus musculus OX=10090 GN=Tgm5 PE=2 SV=3, Mus_musculus_sp_Q8BZH1_TGM4_MOUSE sp_Q8BZH1_TGM4_MOUSE Protein-glutamine gamma-glutamyltransferase 4 OS=Mus musculus OX=10090 GN=Tgm4 PE=1 SV=2, Mus_musculus_sp_Q8BH61_F13A_MOUSE sp_Q8BH61_F13A_MOUSE Coagulation factor XIII A chain OS=Mus musculus OX=10090 GN=F13a1 PE=1 SV=3, Mus_musculus_sp_Q9JLF6_TGM1_MOUSE sp_Q9JLF6_TGM1_MOUSE Protein-glutamine gamma-glutamyltransferase K OS=Mus musculus OX=10090 GN=Tgm1 PE=1 SV=2
OG0000045	Hydra_vulgaris_Sc4wPfr_301.g14000.t1 Sc4wPfr_301.g14000.t1, Hydra_vulgaris_Sc4wPfr_14.g1744.t1 Sc4wPfr_14.g1744.t1	Mus_musculus_sp_Q61789_LAMA3_MOUSE sp_Q61789_LAMA3_MOUSE Laminin subunit alpha-3 OS=Mus musculus OX=10090 GN=Lama3 PE=1 SV=4, Mus_musculus_sp_Q61001_LAMA5_MOUSE sp_Q61001_LAMA5_MOUSE Laminin subunit alpha-5 OS=Mus musculus OX=10090 GN=Lama5 PE=1 SV=4
OG0000045	Hydra_vulgaris_Sc4wPfr_14.g1743.t1 Sc4wPfr_14.g1743.t1	Mus_musculus_sp_P97927_LAMA4_MOUSE sp_P97927_LAMA4_MOUSE Laminin subunit alpha-4 OS=Mus musculus OX=10090 GN=Lama4 PE=1 SV=2
OG0000054	Hydra_vulgaris_Sc4wPfr_1416.g33239.t1 Sc4wPfr_1416.g33239.t1	Mus_musculus_sp_O54824_IL16_MOUSE sp_O54824_IL16_MOUSE Pro-interleukin-16 OS=Mus musculus OX=10090 GN=Il16 PE=1 SV=3
OG0000080	Hydra_vulgaris_Sc4wPfr_649.g10301.t1 Sc4wPfr_649.g10301.t1, Hydra_vulgaris_Sc4wPfr_649.g10296.t1 Sc4wPfr_649.g10296.t1, Hydra_vulgaris_Sc4wPfr_649.g10299.t1 Sc4wPfr_649.g10299.t1	Mus_musculus_sp_P39876_TIMP3_MOUSE sp_P39876_TIMP3_MOUSE Metalloproteinase inhibitor 3 OS=Mus musculus OX=10090 GN=Timp3 PE=1 SV=1, Mus_musculus_sp_P25785_TIMP2_MOUSE sp_P25785_TIMP2_MOUSE Metalloproteinase inhibitor 2 OS=Mus musculus OX=10090 GN=Timp2 PE=1 SV=2, Mus_musculus_sp_P12032_TIMP1_MOUSE sp_P12032_TIMP1_MOUSE Metalloproteinase inhibitor 1 OS=Mus musculus OX=10090 GN=Timp1 PE=1 SV=2
OG0000081	Hydra_vulgaris_Sc4wPfr_324.1.g5440.t1 Sc4wPfr_324.1.g5440.t1, Hydra_vulgaris_Sc4wPfr_196.1.g29669.t1 Sc4wPfr_196.1.g29669.t1	Mus_musculus_sp_Q9CYA0_CREL2_MOUSE sp_Q9CYA0_CREL2_MOUSE Protein disulfide isomerase Creld2 OS=Mus musculus OX=10090 GN=Creld2 PE=1 SV=1, Mus_musculus_sp_Q91XD7_CREL1_MOUSE sp_Q91XD7_CREL1_MOUSE Protein disulfide isomerase Creld1 OS=Mus musculus OX=10090 GN=Creld1 PE=1 SV=1
OG0000083	Hydra_vulgaris_Sc4wPfr_131.1.g19981.t1 Sc4wPfr_131.1.g19981.t1	Mus_musculus_sp_Q812F3_HYAL5_MOUSE sp_Q812F3_HYAL5_MOUSE Hyaluronidase-5 OS=Mus musculus OX=10090 GN=Hyal5 PE=1 SV=1, Mus_musculus_sp_Q05A56_HYAL4_MOUSE sp_Q05A56_HYAL4_MOUSE Hyaluronidase-4 OS=Mus musculus OX=10090 GN=Hyal4 PE=2 SV=1, Mus_musculus_sp_O35632_HYAL2_MOUSE sp_O35632_HYAL2_MOUSE Hyaluronidase-2 OS=Mus musculus OX=10090 GN=Hyal2 PE=1 SV=2
OG0000089	Hydra_vulgaris_Sc4wPfr_811.1.g17345.t1 Sc4wPfr_811.1.g17345.t1	Mus_musculus_sp_Q920C1_CRDL1_MOUSE sp_Q920C1_CRDL1_MOUSE Chordin-like protein 1 OS=Mus musculus OX=10090 GN=Chrdl1 PE=1 SV=1, Mus_musculus_sp_Q8VEA6_CRDL2_MOUSE sp_Q8VEA6_CRDL2_MOUSE Chordin-like protein 2 OS=Mus musculus OX=10090 GN=Chrdl2 PE=1 SV=1
OG0000093	Hydra_vulgaris_Sc4wPfr_313.g17063.t1 Sc4wPfr_313.g17063.t1	Mus_musculus_sp_P35174_CYT2_MOUSE sp_P35174_CYT2_MOUSE Stefin-2 OS=Mus musculus OX=10090 GN=Stfa2 PE=3 SV=2, Mus_musculus_sp_P35173_CYT3_MOUSE sp_P35173_CYT3_MOUSE Stefin-3 OS=Mus musculus OX=10090 GN=Stfa3 PE=3 SV=1, Mus_musculus_sp_P35175_CYT1_MOUSE sp_P35175_CYT1_MOUSE Stefin-1 OS=Mus musculus OX=10090 GN=Stfa1 PE=3 SV=1, Mus_musculus_sp_Q62426_CYTB_MOUSE sp_Q62426_CYTB_MOUSE Cystatin-B OS=Mus musculus OX=10090 GN=Cstb PE=1 SV=1
OG0000112	Hydra_vulgaris_Sc4wPfr_475.1.g23420.t1 Sc4wPfr_475.1.g23420.t1, Hydra_vulgaris_Sc4wPfr_608.1.g30575.t1 Sc4wPfr_608.1.g30575.t1, Hydra_vulgaris_Sc4wPfr_1360.g9388.t1 Sc4wPfr_1360.g9388.t1, Hydra_vulgaris_Sc4wPfr_1360.g9377.t1 Sc4wPfr_1360.g9377.t1	Mus_musculus_sp_B2RY83_HPSE2_MOUSE sp_B2RY83_HPSE2_MOUSE Inactive heparanase-2 OS=Mus musculus OX=10090 GN=Hpse2 PE=2 SV=1, Mus_musculus_sp_Q6YGZ1_HPSE_MOUSE sp_Q6YGZ1_HPSE_MOUSE Heparanase OS=Mus musculus OX=10090 GN=Hpse PE=1 SV=3
OG0000114	Hydra_vulgaris_Sc4wPfr_250.g15997.t1 Sc4wPfr_250.g15997.t1	Mus_musculus_sp_Q61191_HCFC1_MOUSE sp_Q61191_HCFC1_MOUSE Host cell factor 1 OS=Mus musculus OX=10090 GN=Hcfc1 PE=1 SV=2
OG0000120	Hydra_vulgaris_Sc4wPfr_739.g28832.t1 Sc4wPfr_739.g28832.t1	Mus_musculus_sp_O35988_SDC4_MOUSE sp_O35988_SDC4_MOUSE Syndecan-4 OS=Mus musculus OX=10090 GN=Sdc4 PE=1 SV=1, Mus_musculus_sp_P43407_SDC2_MOUSE sp_P43407_SDC2_MOUSE Syndecan-2 OS=Mus musculus OX=10090 GN=Sdc2 PE=1 SV=1, Mus_musculus_sp_P18828_SDC1_MOUSE sp_P18828_SDC1_MOUSE Syndecan-1 OS=Mus musculus OX=10090 GN=Sdc1 PE=1 SV=1, Mus_musculus_sp_Q64519_SDC3_MOUSE sp_Q64519_SDC3_MOUSE Syndecan-3 OS=Mus musculus OX=10090 GN=Sdc3 PE=1 SV=2
OG0000122	Hydra_vulgaris_Sc4wPfr_787.g23207.t1 Sc4wPfr_787.g23207.t1	Mus_musculus_sp_P33434_MMP2_MOUSE sp_P33434_MMP2_MOUSE 72 kDa type IV collagenase OS=Mus musculus OX=10090 GN=Mmp2 PE=1 SV=1, Mus_musculus_sp_P41245_MMP9_MOUSE sp_P41245_MMP9_MOUSE Matrix metalloproteinase-9 OS=Mus musculus OX=10090 GN=Mmp9 PE=1 SV=2
OG0000141	Hydra_vulgaris_Sc4wPfr_106.g23502.t1 Sc4wPfr_106.g23502.t1	Mus_musculus_sp_Q9Z0G4_CCN5_MOUSE sp_Q9Z0G4_CCN5_MOUSE CCN family member 5 OS=Mus musculus OX=10090 GN=Ccn5 PE=2 SV=1, Mus_musculus_sp_O54775_CCN4_MOUSE sp_O54775_CCN4_MOUSE CCN family member 4 OS=Mus musculus OX=10090 GN=Ccn4 PE=2 SV=1, Mus_musculus_sp_P29268_CCN2_MOUSE sp_P29268_CCN2_MOUSE CCN family member 2 OS=Mus musculus OX=10090 GN=Ccn2 PE=1 SV=3, Mus_musculus_sp_P18406_CCN1_MOUSE sp_P18406_CCN1_MOUSE CCN family member 1 OS=Mus musculus OX=10090 GN=Ccn1 PE=1 SV=1
OG0000154	Hydra_vulgaris_Sc4wPfr_165.g9991.t2 Sc4wPfr_165.g9991.t2	Mus_musculus_sp_Q66K08_CILP1_MOUSE sp_Q66K08_CILP1_MOUSE Cartilage intermediate layer protein 1 OS=Mus musculus OX=10090 GN=Cilp PE=1 SV=1, Mus_musculus_sp_D3Z7H8_CILP2_MOUSE sp_D3Z7H8_CILP2_MOUSE Cartilage intermediate layer protein 2 OS=Mus musculus OX=10090 GN=Cilp2 PE=1 SV=1
OG0000156	Hydra_vulgaris_Sc4wPfr_292.g13106.t1 Sc4wPfr_292.g13106.t1, Hydra_vulgaris_Sc4wPfr_292.g13097.t1 Sc4wPfr_292.g13097.t1	Mus_musculus_sp_C0HKD9_MFA1B_MOUSE sp_C0HKD9_MFA1B_MOUSE Microfibrillar-associated protein 1B OS=Mus musculus OX=10090 GN=Mfap1b PE=1 SV=1
OG0000160	Hydra_vulgaris_Sc4wPfr_707.1.g4138.t1 Sc4wPfr_707.1.g4138.t1	Mus_musculus_sp_Q3UW26_BSPH1_MOUSE sp_Q3UW26_BSPH1_MOUSE Binder of sperm protein homolog 1 OS=Mus musculus OX=10090 GN=Bsph1 PE=2 SV=1
OG0000261	Hydra_vulgaris_Sc4wPfr_388.g4770.t1 Sc4wPfr_388.g4770.t1	Mus_musculus_sp_Q9R118_HTRA1_MOUSE sp_Q9R118_HTRA1_MOUSE Serine protease HTRA1 OS=Mus musculus OX=10090 GN=Htra1 PE=1 SV=2, Mus_musculus_sp_A2RT60_HTRA4_MOUSE sp_A2RT60_HTRA4_MOUSE Serine protease HTRA4 OS=Mus musculus OX=10090 GN=Htra4 PE=2 SV=1, Mus_musculus_sp_Q9D236_HTRA3_MOUSE sp_Q9D236_HTRA3_MOUSE Serine protease HTRA3 OS=Mus musculus OX=10090 GN=Htra3 PE=1 SV=3, Mus_musculus_sp_Q9D236_HTRA3_MOUSE sp_Q9D236_HTRA3_MOUSE Serine protease HTRA3 OS=Mus musculus OX=10090 GN=Htra3 PE=1 SV=3, Mus_musculus_sp_Q9D236_HTRA3_MOUSE sp_Q9D236_HTRA3_MOUSE Serine protease HTRA3 OS=Mus musculus OX=10090 GN=Htra3 PE=1 SV=3
OG0000268	Hydra_vulgaris_Sc4wPfr_304.2.g12739.t1 Sc4wPfr_304.2.g12739.t1	Mus_musculus_sp_Q9Z2L7_CRLF3_MOUSE sp_Q9Z2L7_CRLF3_MOUSE Cytokine receptor-like factor 3 OS=Mus musculus OX=10090 GN=Crlf3 PE=1 SV=1
OG0000291	Hydra_vulgaris_Sc4wPfr_635.g14772.t1 Sc4wPfr_635.g14772.t1	Mus_musculus_sp_Q8R1W8_IMPG1_MOUSE sp_Q8R1W8_IMPG1_MOUSE Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus OX=10090 GN=Impg1 PE=1 SV=1, Mus_musculus_sp_Q80XH2_IMPG2_MOUSE sp_Q80XH2_IMPG2_MOUSE Interphotoreceptor matrix proteoglycan 2 OS=Mus musculus OX=10090 GN=Impg2 PE=1 SV=1
OG0000350	Hydra_vulgaris_Sc4wPfr_239.g21109.t1 Sc4wPfr_239.g21109.t1	Mus_musculus_sp_J3S6Y1_TSEAR_MOUSE sp_J3S6Y1_TSEAR_MOUSE Thrombospondin-type laminin G domain and EAR repeat-containing protein OS=Mus musculus OX=10090 GN=Tspear PE=1 SV=1
OG0000463	Hydra_vulgaris_Sc4wPfr_176.g26307.t1 Sc4wPfr_176.g26307.t1	Mus_musculus_sp_Q9WUA1_WIF1_MOUSE sp_Q9WUA1_WIF1_MOUSE Wnt inhibitory factor 1 OS=Mus musculus OX=10090 GN=Wif1 PE=2 SV=1
