Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Insecta_Diptera_Drosophila_melanogaster
OG0000028	Hydra_vulgaris_Sc4wPfr_272.g11352.t1 Sc4wPfr_272.g11352.t1, Hydra_vulgaris_Sc4wPfr_272.g11351.t1 Sc4wPfr_272.g11351.t1	Drosophila_melanogaster_tr_O18407_O18407_DROME tr|O18407|O18407_DROME Collagen type IV alpha 2 OS=Drosophila melanogaster OX=7227 GN=vkg PE=2 SV=1, Drosophila_melanogaster_tr_Q9VMV5_Q9VMV5_DROME tr|Q9VMV5|Q9VMV5_DROME Viking_ isoform A OS=Drosophila melanogaster OX=7227 GN=vkg PE=1 SV=1
OG0000030	Hydra_vulgaris_Sc4wPfr_1380.1.g8435.t1 Sc4wPfr_1380.1.g8435.t1	Drosophila_melanogaster_sp_Q9VAC5_ADA17_DROME sp|Q9VAC5|ADA17_DROME ADAM 17-like protease OS=Drosophila melanogaster OX=7227 GN=Tace PE=2 SV=2
OG0000030	Hydra_vulgaris_Sc4wPfr_26.g17289.t1 Sc4wPfr_26.g17289.t1, Hydra_vulgaris_Sc4wPfr_26.g17289.t2 Sc4wPfr_26.g17289.t2, Hydra_vulgaris_Sc4wPfr_1020.1.g6653.t1 Sc4wPfr_1020.1.g6653.t1, Hydra_vulgaris_Sc4wPfr_1020.1.g6652.t1 Sc4wPfr_1020.1.g6652.t1	Drosophila_melanogaster_tr_Q9VAI2_Q9VAI2_DROME tr|Q9VAI2|Q9VAI2_DROME Kuzbanian-like_ isoform A OS=Drosophila melanogaster OX=7227 GN=Kul PE=4 SV=1, Drosophila_melanogaster_tr_A0A0B4LHU2_A0A0B4LHU2_DROME tr|A0A0B4LHU2|A0A0B4LHU2_DROME Kuzbanian-like_ isoform C OS=Drosophila melanogaster OX=7227 GN=Kul PE=4 SV=1, Drosophila_melanogaster_tr_Q59DZ3_Q59DZ3_DROME tr|Q59DZ3|Q59DZ3_DROME FI21209p1 OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=1, Drosophila_melanogaster_tr_A8DZ03_A8DZ03_DROME tr|A8DZ03|A8DZ03_DROME Kuzbanian_ isoform G OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=2, Drosophila_melanogaster_tr_A8DZ02_A8DZ02_DROME tr|A8DZ02|A8DZ02_DROME Kuzbanian_ isoform F OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=2, Drosophila_melanogaster_tr_Q9VJW9_Q9VJW9_DROME tr|Q9VJW9|Q9VJW9_DROME Kuzbanian_ isoform A OS=Drosophila melanogaster OX=7227 GN=kuz PE=1 SV=1, Drosophila_melanogaster_tr_Q94902_Q94902_DROME tr|Q94902|Q94902_DROME Kuzbanian OS=Drosophila melanogaster OX=7227 GN=kuz PE=2 SV=1
OG0000034	Hydra_vulgaris_Sc4wPfr_325.1.g5334.t1 Sc4wPfr_325.1.g5334.t1	Drosophila_melanogaster_tr_Q9VLT6_Q9VLT6_DROME tr|Q9VLT6|Q9VLT6_DROME Multiple EGF like domains 8_ isoform B OS=Drosophila melanogaster OX=7227 GN=Megf8 PE=4 SV=4, Drosophila_melanogaster_tr_X2J9V1_X2J9V1_DROME tr|X2J9V1|X2J9V1_DROME Multiple EGF like domains 8_ isoform C OS=Drosophila melanogaster OX=7227 GN=Megf8 PE=4 SV=1, Drosophila_melanogaster_tr_Q8T0D8_Q8T0D8_DROME tr|Q8T0D8|Q8T0D8_DROME LD09511p OS=Drosophila melanogaster OX=7227 GN=Megf8 PE=2 SV=1
OG0000044	Hydra_vulgaris_Sc4wPfr_1298.g6418.t1 Sc4wPfr_1298.g6418.t1	Drosophila_melanogaster_tr_Q8IPH0_Q8IPH0_DROME tr|Q8IPH0|Q8IPH0_DROME Transglutaminase_ isoform B OS=Drosophila melanogaster OX=7227 GN=Tg PE=1 SV=1, Drosophila_melanogaster_tr_Q9VLU2_Q9VLU2_DROME tr|Q9VLU2|Q9VLU2_DROME RE08173p OS=Drosophila melanogaster OX=7227 GN=Tg PE=2 SV=2
OG0000045	Hydra_vulgaris_Sc4wPfr_301.g14000.t1 Sc4wPfr_301.g14000.t1, Hydra_vulgaris_Sc4wPfr_14.g1744.t1 Sc4wPfr_14.g1744.t1	Drosophila_melanogaster_sp_Q00174_LAMA_DROME sp|Q00174|LAMA_DROME Laminin subunit alpha OS=Drosophila melanogaster OX=7227 GN=LanA PE=1 SV=2
OG0000045	Hydra_vulgaris_Sc4wPfr_14.g1743.t1 Sc4wPfr_14.g1743.t1	Drosophila_melanogaster_tr_M9MRU0_M9MRU0_DROME tr|M9MRU0|M9MRU0_DROME Wing blister_ isoform C OS=Drosophila melanogaster OX=7227 GN=wb PE=4 SV=1
OG0000049	Hydra_vulgaris_Sc4wPfr_2743.g8203.t1 Sc4wPfr_2743.g8203.t1	Drosophila_melanogaster_tr_Q86M56_Q86M56_DROME tr|Q86M56|Q86M56_DROME LD10519p OS=Drosophila melanogaster OX=7227 GN=PlexA PE=2 SV=1
OG0000080	Hydra_vulgaris_Sc4wPfr_649.g10301.t1 Sc4wPfr_649.g10301.t1, Hydra_vulgaris_Sc4wPfr_649.g10296.t1 Sc4wPfr_649.g10296.t1, Hydra_vulgaris_Sc4wPfr_649.g10299.t1 Sc4wPfr_649.g10299.t1	Drosophila_melanogaster_sp_Q9VH14_TIMP_DROME sp|Q9VH14|TIMP_DROME Tissue inhibitor of metalloproteinase OS=Drosophila melanogaster OX=7227 GN=Timp PE=1 SV=1
OG0000120	Hydra_vulgaris_Sc4wPfr_739.g28832.t1 Sc4wPfr_739.g28832.t1	Drosophila_melanogaster_tr_B7YZN0_B7YZN0_DROME tr|B7YZN0|B7YZN0_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=2, Drosophila_melanogaster_tr_E1JGQ9_E1JGQ9_DROME tr|E1JGQ9|E1JGQ9_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=2, Drosophila_melanogaster_sp_P49415_SDC_DROME sp|P49415|SDC_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=2 SV=2, Drosophila_melanogaster_tr_B7YZM9_B7YZM9_DROME tr|B7YZM9|B7YZM9_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=1, Drosophila_melanogaster_tr_A0A0B4LG79_A0A0B4LG79_DROME tr|A0A0B4LG79|A0A0B4LG79_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=1 SV=1, Drosophila_melanogaster_tr_A0A0B4K862_A0A0B4K862_DROME tr|A0A0B4K862|A0A0B4K862_DROME Syndecan OS=Drosophila melanogaster OX=7227 GN=Sdc PE=3 SV=1
OG0000133	Hydra_vulgaris_Sc4wPfr_628.g32869.t1 Sc4wPfr_628.g32869.t1	Drosophila_melanogaster_sp_Q9VPF0_ATK_DROME sp|Q9VPF0|ATK_DROME Protein artichoke OS=Drosophila melanogaster OX=7227 GN=atk PE=1 SV=2
OG0000141	Hydra_vulgaris_Sc4wPfr_106.g23502.t1 Sc4wPfr_106.g23502.t1	Drosophila_melanogaster_tr_Q9VVK3_Q9VVK3_DROME tr|Q9VVK3|Q9VVK3_DROME Ccn OS=Drosophila melanogaster OX=7227 GN=Ccn PE=2 SV=2
OG0000299	Hydra_vulgaris_Sc4wPfr_868.g27218.t1 Sc4wPfr_868.g27218.t1, Hydra_vulgaris_Sc4wPfr_868.g27218.t2 Sc4wPfr_868.g27218.t2	Drosophila_melanogaster_tr_Q9VFA8_Q9VFA8_DROME tr|Q9VFA8|Q9VFA8_DROME Uncharacterized protein_ isoform D OS=Drosophila melanogaster OX=7227 GN=lincRNA.S6902 PE=4 SV=5, Drosophila_melanogaster_tr_A0A0C4DHG7_A0A0C4DHG7_DROME tr|A0A0C4DHG7|A0A0C4DHG7_DROME Uncharacterized protein_ isoform F OS=Drosophila melanogaster OX=7227 GN=CG31154 PE=4 SV=1
