Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Anthozoa_Xenia_spec
OG0000042	Hydra_vulgaris_Sc4wPfr_708.g2575.t1 Sc4wPfr_708.g2575.t1, Hydra_vulgaris_Sc4wPfr_481.g31592.t1 Sc4wPfr_481.g31592.t1, Hydra_vulgaris_Sc4wPfr_481.g31592.t2 Sc4wPfr_481.g31592.t2, Hydra_vulgaris_Sc4wPfr_361.g20339.t1 Sc4wPfr_361.g20339.t1	Xenia_spec_Xe_012350_T1 Xe_012350_T1 Xe_012350
OG0000042	Hydra_vulgaris_Sc4wPfr_14.g1872.t1 Sc4wPfr_14.g1872.t1	Xenia_spec_Xe_020831_T1 Xe_020831_T1 Xe_020831, Xenia_spec_Xe_020822_T1 Xe_020822_T1 Xe_020822
OG0000044	Hydra_vulgaris_Sc4wPfr_1298.g6418.t1 Sc4wPfr_1298.g6418.t1	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377
OG0000045	Hydra_vulgaris_Sc4wPfr_301.g14000.t1 Sc4wPfr_301.g14000.t1	Xenia_spec_Xe_020060_T1 Xe_020060_T1 Xe_020060
OG0000045	Hydra_vulgaris_Sc4wPfr_14.g1743.t1 Sc4wPfr_14.g1743.t1	Xenia_spec_Xe_002601_T1 Xe_002601_T1 Xe_002601
OG0000054	Hydra_vulgaris_Sc4wPfr_1416.g33239.t1 Sc4wPfr_1416.g33239.t1	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386
OG0000054	Hydra_vulgaris_Sc4wPfr_78.g10420.t1 Sc4wPfr_78.g10420.t1	Xenia_spec_Xe_002676_T1 Xe_002676_T1 Xe_002676
OG0000061	Hydra_vulgaris_Sc4wPfr_417.3.g31939.t1 Sc4wPfr_417.3.g31939.t1	Xenia_spec_Xe_020705_T1 Xe_020705_T1 Xe_020705
OG0000061	Hydra_vulgaris_Sc4wPfr_48.g30203.t1 Sc4wPfr_48.g30203.t1	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790
OG0000062	Hydra_vulgaris_Sc4wPfr_724.g25412.t1 Sc4wPfr_724.g25412.t1, Hydra_vulgaris_Sc4wPfr_724.g25412.t2 Sc4wPfr_724.g25412.t2	Xenia_spec_Xe_011999_T1 Xe_011999_T1 Xe_011999
OG0000064	Hydra_vulgaris_Sc4wPfr_338.g25901.t1 Sc4wPfr_338.g25901.t1	Xenia_spec_Xe_002322_T1 Xe_002322_T1 Xe_002322
OG0000069	Hydra_vulgaris_Sc4wPfr_708.g2577.t1 Sc4wPfr_708.g2577.t1	Xenia_spec_Xe_015069_T1 Xe_015069_T1 Xe_015069, Xenia_spec_Xe_015069_T2 Xe_015069_T2 Xe_015069, Xenia_spec_Xe_019791_T1 Xe_019791_T1 Xe_019791
OG0000073	Hydra_vulgaris_Sc4wPfr_446.g12585.t1 Sc4wPfr_446.g12585.t1	Xenia_spec_Xe_001002_T1 Xe_001002_T1 Xe_001002, Xenia_spec_Xe_001017_T1 Xe_001017_T1 Xe_001017, Xenia_spec_Xe_001018_T1 Xe_001018_T1 Xe_001018, Xenia_spec_Xe_001020_T1 Xe_001020_T1 Xe_001020, Xenia_spec_Xe_001022_T1 Xe_001022_T1 Xe_001022, Xenia_spec_Xe_001024_T1 Xe_001024_T1 Xe_001024, Xenia_spec_Xe_020104_T1 Xe_020104_T1 Xe_020104, Xenia_spec_Xe_001000_T1 Xe_001000_T1 Xe_001000, Xenia_spec_Xe_000999_T1 Xe_000999_T1 Xe_000999, Xenia_spec_Xe_001025_T1 Xe_001025_T1 Xe_001025, Xenia_spec_Xe_000993_T1 Xe_000993_T1 Xe_000993, Xenia_spec_Xe_000995_T1 Xe_000995_T1 Xe_000995, Xenia_spec_Xe_000995_T2 Xe_000995_T2 Xe_000995, Xenia_spec_Xe_000996_T1 Xe_000996_T1 Xe_000996, Xenia_spec_Xe_000994_T2 Xe_000994_T2 Xe_000994, Xenia_spec_Xe_000994_T1 Xe_000994_T1 Xe_000994
OG0000081	Hydra_vulgaris_Sc4wPfr_196.1.g29669.t1 Sc4wPfr_196.1.g29669.t1	Xenia_spec_Xe_004317_T1 Xe_004317_T1 Xe_004317
OG0000082	Hydra_vulgaris_Sc4wPfr_396.1.g13876.t6 Sc4wPfr_396.1.g13876.t6, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t1 Sc4wPfr_396.1.g13876.t1, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t5 Sc4wPfr_396.1.g13876.t5, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t3 Sc4wPfr_396.1.g13876.t3, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t4 Sc4wPfr_396.1.g13876.t4, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t2 Sc4wPfr_396.1.g13876.t2	Xenia_spec_Xe_008177_T1 Xe_008177_T1 Xe_008177
OG0000089	Hydra_vulgaris_Sc4wPfr_811.1.g17345.t1 Sc4wPfr_811.1.g17345.t1	Xenia_spec_Xe_014721_T1 Xe_014721_T1 Xe_014721
OG0000093	Hydra_vulgaris_Sc4wPfr_313.g17063.t1 Sc4wPfr_313.g17063.t1	Xenia_spec_Xe_018469_T1 Xe_018469_T1 Xe_018469, Xenia_spec_Xe_020077_T1 Xe_020077_T1 Xe_020077, Xenia_spec_Xe_018297_T1 Xe_018297_T1 Xe_018297, Xenia_spec_Xe_018334_T1 Xe_018334_T1 Xe_018334, Xenia_spec_Xe_018335_T1 Xe_018335_T1 Xe_018335, Xenia_spec_Xe_018263_T1 Xe_018263_T1 Xe_018263
OG0000094	Hydra_vulgaris_Sc4wPfr_242.g27679.t1 Sc4wPfr_242.g27679.t1	Xenia_spec_Xe_014308_T1 Xe_014308_T1 Xe_014308
OG0000100	Hydra_vulgaris_Sc4wPfr_950.g24012.t2 Sc4wPfr_950.g24012.t2, Hydra_vulgaris_Sc4wPfr_950.g24012.t1 Sc4wPfr_950.g24012.t1	Xenia_spec_Xe_006066_T1 Xe_006066_T1 Xe_006066
OG0000100	Hydra_vulgaris_Sc4wPfr_811.g6452.t1 Sc4wPfr_811.g6452.t1	Xenia_spec_Xe_006067_T1 Xe_006067_T1 Xe_006067
OG0000100	Hydra_vulgaris_Sc4wPfr_177.1.g6209.t1 Sc4wPfr_177.1.g6209.t1	Xenia_spec_Xe_006064_T1 Xe_006064_T1 Xe_006064
OG0000102	Hydra_vulgaris_Sc4wPfr_1651.g14062.t1 Sc4wPfr_1651.g14062.t1, Hydra_vulgaris_Sc4wPfr_769.g16484.t1 Sc4wPfr_769.g16484.t1	Xenia_spec_Xe_015831_T1 Xe_015831_T1 Xe_015831
OG0000106	Hydra_vulgaris_Sc4wPfr_780.g810.t1 Sc4wPfr_780.g810.t1, Hydra_vulgaris_Sc4wPfr_2382.g8795.t1 Sc4wPfr_2382.g8795.t1	Xenia_spec_Xe_017467_T1 Xe_017467_T1 Xe_017467, Xenia_spec_Xe_017483_T1 Xe_017483_T1 Xe_017483, Xenia_spec_Xe_017470_T1 Xe_017470_T1 Xe_017470, Xenia_spec_Xe_017492_T1 Xe_017492_T1 Xe_017492
OG0000111	Hydra_vulgaris_Sc4wPfr_176.g26297.t1 Sc4wPfr_176.g26297.t1, Hydra_vulgaris_Sc4wPfr_938.g21243.t1 Sc4wPfr_938.g21243.t1	Xenia_spec_Xe_018449_T1 Xe_018449_T1 Xe_018449
OG0000113	Hydra_vulgaris_Sc4wPfr_231.1.g21567.t1 Sc4wPfr_231.1.g21567.t1	Xenia_spec_Xe_014684_T1 Xe_014684_T1 Xe_014684
OG0000116	Hydra_vulgaris_Sc4wPfr_875.1.g17139.t1 Sc4wPfr_875.1.g17139.t1	Xenia_spec_Xe_014990_T1 Xe_014990_T1 Xe_014990
OG0000119	Hydra_vulgaris_Sc4wPfr_272.g11398.t1 Sc4wPfr_272.g11398.t1	Xenia_spec_Xe_000603_T1 Xe_000603_T1 Xe_000603
OG0000121	Hydra_vulgaris_Sc4wPfr_484.g18389.t2 Sc4wPfr_484.g18389.t2, Hydra_vulgaris_Sc4wPfr_484.g18389.t1 Sc4wPfr_484.g18389.t1	Xenia_spec_Xe_002883_T1 Xe_002883_T1 Xe_002883
OG0000129	Hydra_vulgaris_Sc4wPfr_1761.g20580.t1 Sc4wPfr_1761.g20580.t1	Xenia_spec_Xe_000519_T1 Xe_000519_T1 Xe_000519
OG0000131	Hydra_vulgaris_Sc4wPfr_175.g6378.t1 Sc4wPfr_175.g6378.t1	Xenia_spec_Xe_012716_T1 Xe_012716_T1 Xe_012716
OG0000133	Hydra_vulgaris_Sc4wPfr_628.g32869.t1 Sc4wPfr_628.g32869.t1	Xenia_spec_Xe_002448_T1 Xe_002448_T1 Xe_002448
OG0000134	Hydra_vulgaris_Sc4wPfr_6.1.g610.t1 Sc4wPfr_6.1.g610.t1	Xenia_spec_Xe_007510_T1 Xe_007510_T1 Xe_007510
OG0000147	Hydra_vulgaris_Sc4wPfr_44.g26893.t1 Sc4wPfr_44.g26893.t1	Xenia_spec_Xe_010957_T1 Xe_010957_T1 Xe_010957, Xenia_spec_Xe_011005_T1 Xe_011005_T1 Xe_011005
OG0000155	Hydra_vulgaris_Sc4wPfr_950.g24008.t1 Sc4wPfr_950.g24008.t1, Hydra_vulgaris_Sc4wPfr_950.g24008.t2 Sc4wPfr_950.g24008.t2	Xenia_spec_Xe_008535_T1 Xe_008535_T1 Xe_008535
OG0000158	Hydra_vulgaris_Sc4wPfr_439.g20792.t1 Sc4wPfr_439.g20792.t1	Xenia_spec_Xe_004819_T1 Xe_004819_T1 Xe_004819
OG0000160	Hydra_vulgaris_Sc4wPfr_707.1.g4138.t1 Sc4wPfr_707.1.g4138.t1	Xenia_spec_Xe_004370_T1 Xe_004370_T1 Xe_004370
OG0000165	Hydra_vulgaris_Sc4wPfr_319.g27266.t1 Sc4wPfr_319.g27266.t1	Xenia_spec_Xe_014466_T1 Xe_014466_T1 Xe_014466
OG0000167	Hydra_vulgaris_Sc4wPfr_488.g29956.t1 Sc4wPfr_488.g29956.t1	Xenia_spec_Xe_009503_T2 Xe_009503_T2 Xe_009503, Xenia_spec_Xe_009503_T1 Xe_009503_T1 Xe_009503
OG0000177	Hydra_vulgaris_Sc4wPfr_309.g10792.t1 Sc4wPfr_309.g10792.t1	Xenia_spec_Xe_012642_T1 Xe_012642_T1 Xe_012642
OG0000188	Hydra_vulgaris_Sc4wPfr_135.g21804.t1 Sc4wPfr_135.g21804.t1, Hydra_vulgaris_Sc4wPfr_135.g21805.t1 Sc4wPfr_135.g21805.t1	Xenia_spec_Xe_000226_T1 Xe_000226_T1 Xe_000226
OG0000192	Hydra_vulgaris_Sc4wPfr_1298.g6413.t1 Sc4wPfr_1298.g6413.t1	Xenia_spec_Xe_016382_T1 Xe_016382_T1 Xe_016382
OG0000193	Hydra_vulgaris_Sc4wPfr_239.g21099.t1 Sc4wPfr_239.g21099.t1	Xenia_spec_Xe_008475_T1 Xe_008475_T1 Xe_008475
OG0000195	Hydra_vulgaris_Sc4wPfr_650.g22982.t1 Sc4wPfr_650.g22982.t1	Xenia_spec_Xe_009602_T1 Xe_009602_T1 Xe_009602
OG0000197	Hydra_vulgaris_Sc4wPfr_975.g7267.t1 Sc4wPfr_975.g7267.t1, Hydra_vulgaris_Sc4wPfr_975.g7267.t2 Sc4wPfr_975.g7267.t2	Xenia_spec_Xe_007048_T1 Xe_007048_T1 Xe_007048
OG0000199	Hydra_vulgaris_Sc4wPfr_289.1.g8519.t1 Sc4wPfr_289.1.g8519.t1	Xenia_spec_Xe_013084_T1 Xe_013084_T1 Xe_013084
OG0000200	Hydra_vulgaris_Sc4wPfr_259.g33644.t1 Sc4wPfr_259.g33644.t1	Xenia_spec_Xe_015525_T1 Xe_015525_T1 Xe_015525
OG0000203	Hydra_vulgaris_Sc4wPfr_347.g19265.t1 Sc4wPfr_347.g19265.t1	Xenia_spec_Xe_014757_T1 Xe_014757_T1 Xe_014757
OG0000204	Hydra_vulgaris_Sc4wPfr_351.g11274.t1 Sc4wPfr_351.g11274.t1	Xenia_spec_Xe_015988_T1 Xe_015988_T1 Xe_015988
OG0000214	Hydra_vulgaris_Sc4wPfr_356.g7060.t1 Sc4wPfr_356.g7060.t1	Xenia_spec_Xe_003060_T1 Xe_003060_T1 Xe_003060
OG0000229	Hydra_vulgaris_Sc4wPfr_287.2.g28207.t1 Sc4wPfr_287.2.g28207.t1	Xenia_spec_Xe_012336_T1 Xe_012336_T1 Xe_012336
OG0000231	Hydra_vulgaris_Sc4wPfr_117.g15494.t1 Sc4wPfr_117.g15494.t1, Hydra_vulgaris_Sc4wPfr_117.g15494.t2 Sc4wPfr_117.g15494.t2, Hydra_vulgaris_Sc4wPfr_117.g15494.t3 Sc4wPfr_117.g15494.t3	Xenia_spec_Xe_000375_T1 Xe_000375_T1 Xe_000375
OG0000240	Hydra_vulgaris_Sc4wPfr_555.g27178.t3 Sc4wPfr_555.g27178.t3, Hydra_vulgaris_Sc4wPfr_555.g27178.t2 Sc4wPfr_555.g27178.t2, Hydra_vulgaris_Sc4wPfr_555.g27178.t1 Sc4wPfr_555.g27178.t1	Xenia_spec_Xe_003918_T1 Xe_003918_T1 Xe_003918
OG0000268	Hydra_vulgaris_Sc4wPfr_304.2.g12739.t1 Sc4wPfr_304.2.g12739.t1	Xenia_spec_Xe_018600_T1 Xe_018600_T1 Xe_018600
OG0000279	Hydra_vulgaris_Sc4wPfr_760.g24146.t1 Sc4wPfr_760.g24146.t1	Xenia_spec_Xe_015936_T1 Xe_015936_T1 Xe_015936
OG0000288	Hydra_vulgaris_Sc4wPfr_1400.g6667.t1 Sc4wPfr_1400.g6667.t1, Hydra_vulgaris_Sc4wPfr_2727.g32000.t1 Sc4wPfr_2727.g32000.t1	Xenia_spec_Xe_002020_T1 Xe_002020_T1 Xe_002020
OG0000303	Hydra_vulgaris_Sc4wPfr_398.1.g9801.t1 Sc4wPfr_398.1.g9801.t1	Xenia_spec_Xe_013147_T1 Xe_013147_T1 Xe_013147, Xenia_spec_Xe_013893_T1 Xe_013893_T1 Xe_013893
OG0000309	Hydra_vulgaris_Sc4wPfr_1100.g15604.t1 Sc4wPfr_1100.g15604.t1	Xenia_spec_Xe_002052_T1 Xe_002052_T1 Xe_002052
OG0000330	Hydra_vulgaris_Sc4wPfr_82.1.g28987.t1 Sc4wPfr_82.1.g28987.t1	Xenia_spec_Xe_001209_T1 Xe_001209_T1 Xe_001209, Xenia_spec_Xe_009933_T1 Xe_009933_T1 Xe_009933
OG0000365	Hydra_vulgaris_Sc4wPfr_39.g20458.t1 Sc4wPfr_39.g20458.t1	Xenia_spec_Xe_020704_T1 Xe_020704_T1 Xe_020704
OG0000375	Hydra_vulgaris_Sc4wPfr_639.g22926.t1 Sc4wPfr_639.g22926.t1, Hydra_vulgaris_Sc4wPfr_639.g22926.t3 Sc4wPfr_639.g22926.t3, Hydra_vulgaris_Sc4wPfr_639.g22926.t2 Sc4wPfr_639.g22926.t2	Xenia_spec_Xe_002414_T1 Xe_002414_T1 Xe_002414
OG0000434	Hydra_vulgaris_Sc4wPfr_597.2.g14330.t1 Sc4wPfr_597.2.g14330.t1	Xenia_spec_Xe_004432_T1 Xe_004432_T1 Xe_004432
OG0000439	Hydra_vulgaris_Sc4wPfr_628.g32872.t1 Sc4wPfr_628.g32872.t1	Xenia_spec_Xe_002417_T1 Xe_002417_T1 Xe_002417
OG0000463	Hydra_vulgaris_Sc4wPfr_176.g26307.t1 Sc4wPfr_176.g26307.t1	Xenia_spec_Xe_010628_T1 Xe_010628_T1 Xe_010628
OG0000609	Hydra_vulgaris_Sc4wPfr_360.g26645.t1 Sc4wPfr_360.g26645.t1, Hydra_vulgaris_Sc4wPfr_360.g26645.t3 Sc4wPfr_360.g26645.t3, Hydra_vulgaris_Sc4wPfr_360.g26645.t2 Sc4wPfr_360.g26645.t2, Hydra_vulgaris_Sc4wPfr_2081.g25302.t1 Sc4wPfr_2081.g25302.t1, Hydra_vulgaris_Sc4wPfr_360.g26642.t1 Sc4wPfr_360.g26642.t1	Xenia_spec_Xe_014645_T1 Xe_014645_T1 Xe_014645
OG0000715	Hydra_vulgaris_Sc4wPfr_6.1.g604.t1 Sc4wPfr_6.1.g604.t1	Xenia_spec_Xe_019856_T1 Xe_019856_T1 Xe_019856
