Orthogroup	Cnidaria_Hydrozoa_Hydra_vulgaris	Cnidaria_Anthozoa_Nematostella_vectensis
OG0000013	Hydra_vulgaris_Sc4wPfr_399.g28064.t1 Sc4wPfr_399.g28064.t1	Nematostella_vectensis_NV2t012463001.1 NV2t012463001.1
OG0000013	Hydra_vulgaris_Sc4wPfr_1214.g29750.t1 Sc4wPfr_1214.g29750.t1	Nematostella_vectensis_NV2t003609002.1 NV2t003609002.1, Nematostella_vectensis_NV2t003609001.1 NV2t003609001.1
OG0000013	Hydra_vulgaris_Sc4wPfr_439.g20853.t1 Sc4wPfr_439.g20853.t1	Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1
OG0000013	Hydra_vulgaris_Sc4wPfr_440.g6790.t1 Sc4wPfr_440.g6790.t1	Nematostella_vectensis_NV2t003689001.1 NV2t003689001.1, Nematostella_vectensis_NV2t004522001.1 NV2t004522001.1, Nematostella_vectensis_NV2t005661001.1 NV2t005661001.1
OG0000014	Hydra_vulgaris_Sc4wPfr_1091.g16431.t1 Sc4wPfr_1091.g16431.t1, Hydra_vulgaris_Sc4wPfr_3168.g9700.t1 Sc4wPfr_3168.g9700.t1	Nematostella_vectensis_NV2t022999001.1 NV2t022999001.1
OG0000014	Hydra_vulgaris_Sc4wPfr_356.g7047.t1 Sc4wPfr_356.g7047.t1	Nematostella_vectensis_NV2t023275001.1 NV2t023275001.1
OG0000014	Hydra_vulgaris_Sc4wPfr_635.g14743.t1 Sc4wPfr_635.g14743.t1, Hydra_vulgaris_Sc4wPfr_635.g14746.t1 Sc4wPfr_635.g14746.t1	Nematostella_vectensis_NV2t025184002.1 NV2t025184002.1, Nematostella_vectensis_NV2t025184001.1 NV2t025184001.1
OG0000014	Hydra_vulgaris_Sc4wPfr_881.g1669.t3 Sc4wPfr_881.g1669.t3	Nematostella_vectensis_NV2t017494001.1 NV2t017494001.1
OG0000014	Hydra_vulgaris_Sc4wPfr_565.g22061.t1 Sc4wPfr_565.g22061.t1, Hydra_vulgaris_Sc4wPfr_565.g22063.t1 Sc4wPfr_565.g22063.t1	Nematostella_vectensis_NV2t022459002.1 NV2t022459002.1, Nematostella_vectensis_NV2t022459001.1 NV2t022459001.1, Nematostella_vectensis_NV2t021229001.1 NV2t021229001.1, Nematostella_vectensis_NV2t022465001.1 NV2t022465001.1, Nematostella_vectensis_NV2t021631001.1 NV2t021631001.1, Nematostella_vectensis_NV2t021630001.1 NV2t021630001.1, Nematostella_vectensis_NV2t021635001.1 NV2t021635001.1, Nematostella_vectensis_NV2t021636001.1 NV2t021636001.1, Nematostella_vectensis_NV2t021230001.1 NV2t021230001.1, Nematostella_vectensis_NV2t021638002.1 NV2t021638002.1, Nematostella_vectensis_NV2t021638001.1 NV2t021638001.1, Nematostella_vectensis_NV2t001124001.1 NV2t001124001.1, Nematostella_vectensis_NV2t001120001.1 NV2t001120001.1, Nematostella_vectensis_NV2t001123004.1 NV2t001123004.1, Nematostella_vectensis_NV2t001123002.1 NV2t001123002.1, Nematostella_vectensis_NV2t001123005.1 NV2t001123005.1, Nematostella_vectensis_NV2t001123003.1 NV2t001123003.1, Nematostella_vectensis_NV2t024070001.1 NV2t024070001.1
OG0000014	Hydra_vulgaris_Sc4wPfr_118.g25084.t1 Sc4wPfr_118.g25084.t1, Hydra_vulgaris_Sc4wPfr_118.g25084.t2 Sc4wPfr_118.g25084.t2	Nematostella_vectensis_NV2t009914001.1 NV2t009914001.1
OG0000015	Hydra_vulgaris_Sc4wPfr_1593.g7872.t1 Sc4wPfr_1593.g7872.t1	Nematostella_vectensis_NV2t012183001.1 NV2t012183001.1, Nematostella_vectensis_NV2t011069001.1 NV2t011069001.1, Nematostella_vectensis_NV2t011632001.1 NV2t011632001.1, Nematostella_vectensis_NV2t011345005.1 NV2t011345005.1, Nematostella_vectensis_NV2t011345001.1 NV2t011345001.1, Nematostella_vectensis_NV2t011345002.1 NV2t011345002.1, Nematostella_vectensis_NV2t011345004.1 NV2t011345004.1, Nematostella_vectensis_NV2t011345003.1 NV2t011345003.1
OG0000016	Hydra_vulgaris_Sc4wPfr_32.g14470.t1 Sc4wPfr_32.g14470.t1	Nematostella_vectensis_NV2t019146002.1 NV2t019146002.1, Nematostella_vectensis_NV2t019146001.1 NV2t019146001.1
OG0000016	Hydra_vulgaris_Sc4wPfr_945.g15408.t1 Sc4wPfr_945.g15408.t1, Hydra_vulgaris_Sc4wPfr_678.g9365.t1 Sc4wPfr_678.g9365.t1, Hydra_vulgaris_Sc4wPfr_938.g21233.t1 Sc4wPfr_938.g21233.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24917.t1 Sc4wPfr_706.1.g24917.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24907.t1 Sc4wPfr_706.1.g24907.t1, Hydra_vulgaris_Sc4wPfr_706.1.g24906.t1 Sc4wPfr_706.1.g24906.t1, Hydra_vulgaris_Sc4wPfr_545.g26029.t1 Sc4wPfr_545.g26029.t1, Hydra_vulgaris_Sc4wPfr_706.2.g7977.t1 Sc4wPfr_706.2.g7977.t1, Hydra_vulgaris_Sc4wPfr_562.2.g1366.t1 Sc4wPfr_562.2.g1366.t1, Hydra_vulgaris_Sc4wPfr_472.g14883.t1 Sc4wPfr_472.g14883.t1, Hydra_vulgaris_Sc4wPfr_191.g12120.t1 Sc4wPfr_191.g12120.t1	Nematostella_vectensis_NV2t020475001.1 NV2t020475001.1
OG0000016	Hydra_vulgaris_Sc4wPfr_678.g9355.t1 Sc4wPfr_678.g9355.t1	Nematostella_vectensis_NV2t018121001.1 NV2t018121001.1
OG0000016	Hydra_vulgaris_Sc4wPfr_1414.g52.t1 Sc4wPfr_1414.g52.t1, Hydra_vulgaris_Sc4wPfr_1414.g53.t1 Sc4wPfr_1414.g53.t1, Hydra_vulgaris_Sc4wPfr_1414.g56.t1 Sc4wPfr_1414.g56.t1	Nematostella_vectensis_NV2t000808001.1 NV2t000808001.1
OG0000016	Hydra_vulgaris_Sc4wPfr_104.g15015.t1 Sc4wPfr_104.g15015.t1, Hydra_vulgaris_Sc4wPfr_2253.g19973.t1 Sc4wPfr_2253.g19973.t1, Hydra_vulgaris_Sc4wPfr_1100.g15590.t1 Sc4wPfr_1100.g15590.t1	Nematostella_vectensis_NV2t014820001.1 NV2t014820001.1, Nematostella_vectensis_NV2t014297001.1 NV2t014297001.1, Nematostella_vectensis_NV2t019316003.1 NV2t019316003.1, Nematostella_vectensis_NV2t019316002.1 NV2t019316002.1, Nematostella_vectensis_NV2t010833003.1 NV2t010833003.1, Nematostella_vectensis_NV2t010833002.1 NV2t010833002.1, Nematostella_vectensis_NV2t010833001.1 NV2t010833001.1, Nematostella_vectensis_NV2t008027001.1 NV2t008027001.1, Nematostella_vectensis_NV2t008027002.1 NV2t008027002.1, Nematostella_vectensis_NV2t003582001.1 NV2t003582001.1, Nematostella_vectensis_NV2t001647001.1 NV2t001647001.1, Nematostella_vectensis_NV2t003581001.1 NV2t003581001.1, Nematostella_vectensis_NV2t008375002.1 NV2t008375002.1, Nematostella_vectensis_NV2t008375001.1 NV2t008375001.1, Nematostella_vectensis_NV2t000808002.1 NV2t000808002.1, Nematostella_vectensis_NV2t000807001.1 NV2t000807001.1
OG0000018	Hydra_vulgaris_Sc4wPfr_289.g2555.t1 Sc4wPfr_289.g2555.t1, Hydra_vulgaris_Sc4wPfr_296.g32332.t1 Sc4wPfr_296.g32332.t1, Hydra_vulgaris_Sc4wPfr_289.g2550.t1 Sc4wPfr_289.g2550.t1	Nematostella_vectensis_NV2t019165001.1 NV2t019165001.1, Nematostella_vectensis_NV2t019165003.1 NV2t019165003.1, Nematostella_vectensis_NV2t019165002.1 NV2t019165002.1, Nematostella_vectensis_NV2t019166001.1 NV2t019166001.1
OG0000019	Hydra_vulgaris_Sc4wPfr_292.g13083.t1 Sc4wPfr_292.g13083.t1, Hydra_vulgaris_Sc4wPfr_825.g15293.t1 Sc4wPfr_825.g15293.t1, Hydra_vulgaris_Sc4wPfr_1127.1.g1473.t1 Sc4wPfr_1127.1.g1473.t1	Nematostella_vectensis_NV2t000173001.1 NV2t000173001.1
OG0000019	Hydra_vulgaris_Sc4wPfr_628.g32876.t1 Sc4wPfr_628.g32876.t1, Hydra_vulgaris_Sc4wPfr_628.g32877.t1 Sc4wPfr_628.g32877.t1, Hydra_vulgaris_Sc4wPfr_628.g32875.t1 Sc4wPfr_628.g32875.t1	Nematostella_vectensis_NV2t006269003.1 NV2t006269003.1, Nematostella_vectensis_NV2t006269002.1 NV2t006269002.1, Nematostella_vectensis_NV2t006269001.1 NV2t006269001.1
OG0000019	Hydra_vulgaris_Sc4wPfr_121.g2830.t1 Sc4wPfr_121.g2830.t1	Nematostella_vectensis_NV2t019847002.1 NV2t019847002.1, Nematostella_vectensis_NV2t019847001.1 NV2t019847001.1
OG0000019	Hydra_vulgaris_Sc4wPfr_639.g22916.t1 Sc4wPfr_639.g22916.t1	Nematostella_vectensis_NV2t006489001.1 NV2t006489001.1
OG0000020	Hydra_vulgaris_Sc4wPfr_73.g11528.t1 Sc4wPfr_73.g11528.t1	Nematostella_vectensis_NV2t012027001.1 NV2t012027001.1
OG0000020	Hydra_vulgaris_Sc4wPfr_363.2.g30379.t1 Sc4wPfr_363.2.g30379.t1, Hydra_vulgaris_Sc4wPfr_558.1.g10166.t1 Sc4wPfr_558.1.g10166.t1, Hydra_vulgaris_Sc4wPfr_16.1.g8497.t1 Sc4wPfr_16.1.g8497.t1	Nematostella_vectensis_NV2t011872001.1 NV2t011872001.1, Nematostella_vectensis_NV2t011872002.1 NV2t011872002.1, Nematostella_vectensis_NV2t012159001.1 NV2t012159001.1
OG0000020	Hydra_vulgaris_Sc4wPfr_3119.g11880.t1 Sc4wPfr_3119.g11880.t1	Nematostella_vectensis_NV2t024535002.1 NV2t024535002.1, Nematostella_vectensis_NV2t024535001.1 NV2t024535001.1
OG0000021	Hydra_vulgaris_Sc4wPfr_118.g25134.t1 Sc4wPfr_118.g25134.t1	Nematostella_vectensis_NV2t009849002.1 NV2t009849002.1, Nematostella_vectensis_NV2t009849001.1 NV2t009849001.1
OG0000021	Hydra_vulgaris_Sc4wPfr_172.1.g1608.t3 Sc4wPfr_172.1.g1608.t3, Hydra_vulgaris_Sc4wPfr_172.1.g1608.t2 Sc4wPfr_172.1.g1608.t2, Hydra_vulgaris_Sc4wPfr_172.1.g1608.t1 Sc4wPfr_172.1.g1608.t1	Nematostella_vectensis_NV2t001337001.1 NV2t001337001.1
OG0000021	Hydra_vulgaris_Sc4wPfr_320.1.g20965.t1 Sc4wPfr_320.1.g20965.t1	Nematostella_vectensis_NV2t012147001.1 NV2t012147001.1
OG0000021	Hydra_vulgaris_Sc4wPfr_514.g14439.t1 Sc4wPfr_514.g14439.t1	Nematostella_vectensis_NV2t012145001.1 NV2t012145001.1
OG0000022	Hydra_vulgaris_Sc4wPfr_1269.g30707.t1 Sc4wPfr_1269.g30707.t1	Nematostella_vectensis_NV2t009562002.1 NV2t009562002.1, Nematostella_vectensis_NV2t009562001.1 NV2t009562001.1
OG0000023	Hydra_vulgaris_Sc4wPfr_463.g30914.t1 Sc4wPfr_463.g30914.t1, Hydra_vulgaris_Sc4wPfr_463.g30914.t2 Sc4wPfr_463.g30914.t2, Hydra_vulgaris_Sc4wPfr_463.g30915.t1 Sc4wPfr_463.g30915.t1	Nematostella_vectensis_NV2t018385002.1 NV2t018385002.1, Nematostella_vectensis_NV2t018385001.1 NV2t018385001.1
OG0000024	Hydra_vulgaris_Sc4wPfr_199.g28646.t1 Sc4wPfr_199.g28646.t1	Nematostella_vectensis_NV2t003372003.1 NV2t003372003.1, Nematostella_vectensis_NV2t003372002.1 NV2t003372002.1, Nematostella_vectensis_NV2t003372001.1 NV2t003372001.1
OG0000028	Hydra_vulgaris_Sc4wPfr_272.g11352.t1 Sc4wPfr_272.g11352.t1, Hydra_vulgaris_Sc4wPfr_272.g11351.t1 Sc4wPfr_272.g11351.t1	Nematostella_vectensis_NV2t021411001.1 NV2t021411001.1
OG0000029	Hydra_vulgaris_Sc4wPfr_950.g24011.t1 Sc4wPfr_950.g24011.t1	Nematostella_vectensis_NV2t004683002.1 NV2t004683002.1, Nematostella_vectensis_NV2t004683001.1 NV2t004683001.1
OG0000029	Hydra_vulgaris_Sc4wPfr_1130.g25539.t1 Sc4wPfr_1130.g25539.t1, Hydra_vulgaris_Sc4wPfr_1130.g25534.t1 Sc4wPfr_1130.g25534.t1, Hydra_vulgaris_Sc4wPfr_1130.g25533.t1 Sc4wPfr_1130.g25533.t1, Hydra_vulgaris_Sc4wPfr_1130.g25540.t1 Sc4wPfr_1130.g25540.t1	Nematostella_vectensis_NV2t009601003.1 NV2t009601003.1, Nematostella_vectensis_NV2t009601002.1 NV2t009601002.1, Nematostella_vectensis_NV2t009601001.1 NV2t009601001.1, Nematostella_vectensis_NV2t011326001.1 NV2t011326001.1, Nematostella_vectensis_NV2t011326002.1 NV2t011326002.1, Nematostella_vectensis_NV2t011326003.1 NV2t011326003.1, Nematostella_vectensis_NV2t011326004.1 NV2t011326004.1
OG0000030	Hydra_vulgaris_Sc4wPfr_1380.1.g8435.t1 Sc4wPfr_1380.1.g8435.t1	Nematostella_vectensis_NV2t006771001.1 NV2t006771001.1, Nematostella_vectensis_NV2t006771002.1 NV2t006771002.1
OG0000030	Hydra_vulgaris_Sc4wPfr_26.g17289.t1 Sc4wPfr_26.g17289.t1, Hydra_vulgaris_Sc4wPfr_26.g17289.t2 Sc4wPfr_26.g17289.t2	Nematostella_vectensis_NV2t013893003.1 NV2t013893003.1, Nematostella_vectensis_NV2t013893002.1 NV2t013893002.1
OG0000030	Hydra_vulgaris_Sc4wPfr_1020.1.g6653.t1 Sc4wPfr_1020.1.g6653.t1, Hydra_vulgaris_Sc4wPfr_1020.1.g6652.t1 Sc4wPfr_1020.1.g6652.t1	Nematostella_vectensis_NV2t024729009.1 NV2t024729009.1, Nematostella_vectensis_NV2t024729016.1 NV2t024729016.1, Nematostella_vectensis_NV2t024729018.1 NV2t024729018.1, Nematostella_vectensis_NV2t024729004.1 NV2t024729004.1, Nematostella_vectensis_NV2t024729015.1 NV2t024729015.1, Nematostella_vectensis_NV2t024729005.1 NV2t024729005.1, Nematostella_vectensis_NV2t024729010.1 NV2t024729010.1, Nematostella_vectensis_NV2t024729008.1 NV2t024729008.1, Nematostella_vectensis_NV2t024729007.1 NV2t024729007.1, Nematostella_vectensis_NV2t024729006.1 NV2t024729006.1
OG0000031	Hydra_vulgaris_Sc4wPfr_728.g2223.t1 Sc4wPfr_728.g2223.t1	Nematostella_vectensis_NV2t009287001.1 NV2t009287001.1, Nematostella_vectensis_NV2t009287002.1 NV2t009287002.1, Nematostella_vectensis_NV2t009287004.1 NV2t009287004.1, Nematostella_vectensis_NV2t009287005.1 NV2t009287005.1, Nematostella_vectensis_NV2t009287003.1 NV2t009287003.1, Nematostella_vectensis_NV2t021786001.1 NV2t021786001.1
OG0000032	Hydra_vulgaris_Sc4wPfr_520.g29387.t1 Sc4wPfr_520.g29387.t1, Hydra_vulgaris_Sc4wPfr_520.g29387.t2 Sc4wPfr_520.g29387.t2, Hydra_vulgaris_Sc4wPfr_520.g29387.t3 Sc4wPfr_520.g29387.t3, Hydra_vulgaris_Sc4wPfr_520.g29387.t4 Sc4wPfr_520.g29387.t4	Nematostella_vectensis_NV2t008393003.1 NV2t008393003.1
OG0000034	Hydra_vulgaris_Sc4wPfr_909.g33479.t2 Sc4wPfr_909.g33479.t2, Hydra_vulgaris_Sc4wPfr_909.g33479.t1 Sc4wPfr_909.g33479.t1	Nematostella_vectensis_NV2t018302001.1 NV2t018302001.1
OG0000034	Hydra_vulgaris_Sc4wPfr_1475.1.g4365.t1 Sc4wPfr_1475.1.g4365.t1, Hydra_vulgaris_Sc4wPfr_1475.g5204.t2 Sc4wPfr_1475.g5204.t2, Hydra_vulgaris_Sc4wPfr_1475.g5204.t1 Sc4wPfr_1475.g5204.t1, Hydra_vulgaris_Sc4wPfr_832.g4698.t1 Sc4wPfr_832.g4698.t1	Nematostella_vectensis_NV2t014163001.1 NV2t014163001.1, Nematostella_vectensis_NV2t014162001.1 NV2t014162001.1
OG0000034	Hydra_vulgaris_Sc4wPfr_325.1.g5332.t1 Sc4wPfr_325.1.g5332.t1, Hydra_vulgaris_Sc4wPfr_325.1.g5334.t1 Sc4wPfr_325.1.g5334.t1	Nematostella_vectensis_NV2t021926001.1 NV2t021926001.1
OG0000035	Hydra_vulgaris_Sc4wPfr_1300.g9823.t1 Sc4wPfr_1300.g9823.t1	Nematostella_vectensis_NV2t012171001.1 NV2t012171001.1
OG0000035	Hydra_vulgaris_Sc4wPfr_2074.g13184.t1 Sc4wPfr_2074.g13184.t1, Hydra_vulgaris_Sc4wPfr_2074.g13184.t2 Sc4wPfr_2074.g13184.t2	Nematostella_vectensis_NV2t010387001.1 NV2t010387001.1
OG0000038	Hydra_vulgaris_Sc4wPfr_197.g11042.t1 Sc4wPfr_197.g11042.t1	Nematostella_vectensis_NV2t022707001.1 NV2t022707001.1, Nematostella_vectensis_NV2t022707002.1 NV2t022707002.1
OG0000039	Hydra_vulgaris_Sc4wPfr_728.g2220.t1 Sc4wPfr_728.g2220.t1	Nematostella_vectensis_NV2t023341001.1 NV2t023341001.1, Nematostella_vectensis_NV2t021586002.1 NV2t021586002.1, Nematostella_vectensis_NV2t023495001.1 NV2t023495001.1, Nematostella_vectensis_NV2t023494004.1 NV2t023494004.1, Nematostella_vectensis_NV2t023494005.1 NV2t023494005.1, Nematostella_vectensis_NV2t023494003.1 NV2t023494003.1, Nematostella_vectensis_NV2t023494002.1 NV2t023494002.1, Nematostella_vectensis_NV2t023494001.1 NV2t023494001.1
OG0000040	Hydra_vulgaris_Sc4wPfr_297.g13145.t1 Sc4wPfr_297.g13145.t1, Hydra_vulgaris_Sc4wPfr_109.1.g7302.t2 Sc4wPfr_109.1.g7302.t2, Hydra_vulgaris_Sc4wPfr_109.1.g7302.t1 Sc4wPfr_109.1.g7302.t1	Nematostella_vectensis_NV2t010172001.1 NV2t010172001.1, Nematostella_vectensis_NV2t010172003.1 NV2t010172003.1, Nematostella_vectensis_NV2t010172002.1 NV2t010172002.1, Nematostella_vectensis_NV2t010172004.1 NV2t010172004.1
OG0000040	Hydra_vulgaris_Sc4wPfr_122.g9840.t1 Sc4wPfr_122.g9840.t1	Nematostella_vectensis_NV2t000320001.1 NV2t000320001.1
OG0000040	Hydra_vulgaris_Sc4wPfr_62.g4386.t1 Sc4wPfr_62.g4386.t1, Hydra_vulgaris_Sc4wPfr_230.g26213.t1 Sc4wPfr_230.g26213.t1	Nematostella_vectensis_NV2t013801001.1 NV2t013801001.1
OG0000041	Hydra_vulgaris_Sc4wPfr_422.g20203.t1 Sc4wPfr_422.g20203.t1	Nematostella_vectensis_NV2t020167001.1 NV2t020167001.1, Nematostella_vectensis_NV2t022463002.1 NV2t022463002.1, Nematostella_vectensis_NV2t022463001.1 NV2t022463001.1, Nematostella_vectensis_NV2t019996001.1 NV2t019996001.1, Nematostella_vectensis_NV2t019992001.1 NV2t019992001.1, Nematostella_vectensis_NV2t015230001.1 NV2t015230001.1
OG0000041	Hydra_vulgaris_Sc4wPfr_6.1.g597.t2 Sc4wPfr_6.1.g597.t2, Hydra_vulgaris_Sc4wPfr_6.1.g597.t1 Sc4wPfr_6.1.g597.t1	Nematostella_vectensis_NV2t008369001.1 NV2t008369001.1
OG0000042	Hydra_vulgaris_Sc4wPfr_708.g2575.t1 Sc4wPfr_708.g2575.t1, Hydra_vulgaris_Sc4wPfr_481.g31592.t1 Sc4wPfr_481.g31592.t1, Hydra_vulgaris_Sc4wPfr_481.g31592.t2 Sc4wPfr_481.g31592.t2, Hydra_vulgaris_Sc4wPfr_361.g20339.t1 Sc4wPfr_361.g20339.t1	Nematostella_vectensis_NV2t019653001.1 NV2t019653001.1
OG0000042	Hydra_vulgaris_Sc4wPfr_14.g1872.t1 Sc4wPfr_14.g1872.t1	Nematostella_vectensis_NV2t017038001.1 NV2t017038001.1, Nematostella_vectensis_NV2t016569001.1 NV2t016569001.1, Nematostella_vectensis_NV2t017107001.1 NV2t017107001.1, Nematostella_vectensis_NV2t016567001.1 NV2t016567001.1, Nematostella_vectensis_NV2t017148001.1 NV2t017148001.1
OG0000044	Hydra_vulgaris_Sc4wPfr_1298.g6418.t1 Sc4wPfr_1298.g6418.t1	Nematostella_vectensis_NV2t009869001.1 NV2t009869001.1, Nematostella_vectensis_NV2t010348003.1 NV2t010348003.1, Nematostella_vectensis_NV2t010348004.1 NV2t010348004.1, Nematostella_vectensis_NV2t010348002.1 NV2t010348002.1, Nematostella_vectensis_NV2t010348007.1 NV2t010348007.1, Nematostella_vectensis_NV2t010348005.1 NV2t010348005.1, Nematostella_vectensis_NV2t010348010.1 NV2t010348010.1, Nematostella_vectensis_NV2t010348008.1 NV2t010348008.1
OG0000045	Hydra_vulgaris_Sc4wPfr_301.g14000.t1 Sc4wPfr_301.g14000.t1	Nematostella_vectensis_NV2t017119001.1 NV2t017119001.1
OG0000045	Hydra_vulgaris_Sc4wPfr_14.g1743.t1 Sc4wPfr_14.g1743.t1	Nematostella_vectensis_NV2t015818001.1 NV2t015818001.1
OG0000049	Hydra_vulgaris_Sc4wPfr_2743.g8203.t1 Sc4wPfr_2743.g8203.t1	Nematostella_vectensis_NV2t002812001.1 NV2t002812001.1
OG0000051	Hydra_vulgaris_Sc4wPfr_1172.g28463.t1 Sc4wPfr_1172.g28463.t1, Hydra_vulgaris_Sc4wPfr_817.g25365.t1 Sc4wPfr_817.g25365.t1	Nematostella_vectensis_NV2t003042004.1 NV2t003042004.1
OG0000054	Hydra_vulgaris_Sc4wPfr_1416.g33239.t1 Sc4wPfr_1416.g33239.t1	Nematostella_vectensis_NV2t000638001.1 NV2t000638001.1
OG0000054	Hydra_vulgaris_Sc4wPfr_78.g10420.t1 Sc4wPfr_78.g10420.t1	Nematostella_vectensis_NV2t005524014.1 NV2t005524014.1, Nematostella_vectensis_NV2t005524013.1 NV2t005524013.1, Nematostella_vectensis_NV2t005524012.1 NV2t005524012.1
OG0000056	Hydra_vulgaris_Sc4wPfr_146.g12039.t1 Sc4wPfr_146.g12039.t1, Hydra_vulgaris_Sc4wPfr_146.g12039.t2 Sc4wPfr_146.g12039.t2	Nematostella_vectensis_NV2t021066001.1 NV2t021066001.1, Nematostella_vectensis_NV2t021065001.1 NV2t021065001.1
OG0000056	Hydra_vulgaris_Sc4wPfr_176.g26279.t1 Sc4wPfr_176.g26279.t1, Hydra_vulgaris_Sc4wPfr_176.g26285.t1 Sc4wPfr_176.g26285.t1	Nematostella_vectensis_NV2t020283001.1 NV2t020283001.1
OG0000061	Hydra_vulgaris_Sc4wPfr_417.3.g31939.t1 Sc4wPfr_417.3.g31939.t1	Nematostella_vectensis_NV2t004625001.1 NV2t004625001.1
OG0000061	Hydra_vulgaris_Sc4wPfr_48.g30203.t1 Sc4wPfr_48.g30203.t1	Nematostella_vectensis_NV2t000137001.1 NV2t000137001.1, Nematostella_vectensis_NV2t000137003.1 NV2t000137003.1, Nematostella_vectensis_NV2t000137002.1 NV2t000137002.1
OG0000062	Hydra_vulgaris_Sc4wPfr_724.g25412.t1 Sc4wPfr_724.g25412.t1, Hydra_vulgaris_Sc4wPfr_724.g25412.t2 Sc4wPfr_724.g25412.t2	Nematostella_vectensis_NV2t020618001.1 NV2t020618001.1
OG0000067	Hydra_vulgaris_Sc4wPfr_33.g25265.t1 Sc4wPfr_33.g25265.t1, Hydra_vulgaris_Sc4wPfr_328.2.g12067.t1 Sc4wPfr_328.2.g12067.t1, Hydra_vulgaris_Sc4wPfr_328.2.g12098.t1 Sc4wPfr_328.2.g12098.t1, Hydra_vulgaris_Sc4wPfr_536.g2744.t1 Sc4wPfr_536.g2744.t1	Nematostella_vectensis_NV2t017535001.1 NV2t017535001.1
OG0000069	Hydra_vulgaris_Sc4wPfr_708.g2577.t1 Sc4wPfr_708.g2577.t1	Nematostella_vectensis_NV2t004783002.1 NV2t004783002.1, Nematostella_vectensis_NV2t008679001.1 NV2t008679001.1
OG0000073	Hydra_vulgaris_Sc4wPfr_446.g12585.t1 Sc4wPfr_446.g12585.t1	Nematostella_vectensis_NV2t000893001.1 NV2t000893001.1, Nematostella_vectensis_NV2t006315001.1 NV2t006315001.1, Nematostella_vectensis_NV2t007757001.1 NV2t007757001.1, Nematostella_vectensis_NV2t007641001.1 NV2t007641001.1
OG0000074	Hydra_vulgaris_Sc4wPfr_226.1.g26833.t1 Sc4wPfr_226.1.g26833.t1	Nematostella_vectensis_NV2t010243002.1 NV2t010243002.1
OG0000075	Hydra_vulgaris_Sc4wPfr_200.g3530.t1 Sc4wPfr_200.g3530.t1	Nematostella_vectensis_NV2t002755001.1 NV2t002755001.1
OG0000081	Hydra_vulgaris_Sc4wPfr_196.1.g29669.t1 Sc4wPfr_196.1.g29669.t1	Nematostella_vectensis_NV2t001170001.1 NV2t001170001.1
OG0000082	Hydra_vulgaris_Sc4wPfr_396.1.g13876.t6 Sc4wPfr_396.1.g13876.t6, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t1 Sc4wPfr_396.1.g13876.t1, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t5 Sc4wPfr_396.1.g13876.t5, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t3 Sc4wPfr_396.1.g13876.t3, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t4 Sc4wPfr_396.1.g13876.t4, Hydra_vulgaris_Sc4wPfr_396.1.g13876.t2 Sc4wPfr_396.1.g13876.t2	Nematostella_vectensis_NV2t009511001.1 NV2t009511001.1, Nematostella_vectensis_NV2t020881001.1 NV2t020881001.1, Nematostella_vectensis_NV2t016343001.1 NV2t016343001.1
OG0000087	Hydra_vulgaris_Sc4wPfr_954.g27082.t1 Sc4wPfr_954.g27082.t1	Nematostella_vectensis_NV2t017495001.1 NV2t017495001.1, Nematostella_vectensis_NV2t017495003.1 NV2t017495003.1, Nematostella_vectensis_NV2t017495002.1 NV2t017495002.1, Nematostella_vectensis_NV2t017495004.1 NV2t017495004.1
OG0000089	Hydra_vulgaris_Sc4wPfr_811.1.g17345.t1 Sc4wPfr_811.1.g17345.t1	Nematostella_vectensis_NV2t022735001.1 NV2t022735001.1
OG0000091	Hydra_vulgaris_Sc4wPfr_1335.g31184.t1 Sc4wPfr_1335.g31184.t1	Nematostella_vectensis_NV2t023171001.1 NV2t023171001.1
OG0000092	Hydra_vulgaris_Sc4wPfr_1269.g30737.t1 Sc4wPfr_1269.g30737.t1, Hydra_vulgaris_Sc4wPfr_165.g10030.t1 Sc4wPfr_165.g10030.t1	Nematostella_vectensis_NV2t003067001.1 NV2t003067001.1, Nematostella_vectensis_NV2t003067002.1 NV2t003067002.1, Nematostella_vectensis_NV2t003067003.1 NV2t003067003.1, Nematostella_vectensis_NV2t001288001.1 NV2t001288001.1, Nematostella_vectensis_NV2t001288002.1 NV2t001288002.1, Nematostella_vectensis_NV2t001288003.1 NV2t001288003.1
OG0000093	Hydra_vulgaris_Sc4wPfr_313.g17063.t1 Sc4wPfr_313.g17063.t1	Nematostella_vectensis_NV2t008996001.1 NV2t008996001.1, Nematostella_vectensis_NV2t009097001.1 NV2t009097001.1
OG0000094	Hydra_vulgaris_Sc4wPfr_242.g27679.t1 Sc4wPfr_242.g27679.t1	Nematostella_vectensis_NV2t021528002.1 NV2t021528002.1, Nematostella_vectensis_NV2t021528001.1 NV2t021528001.1
