Orthogroup	Chordata_Amphioxiformes_Branchiostoma_belcheri	Other
OG0000101	Branchiostoma_belcheri_tr_A0A6P4YDX7_A0A6P4YDX7_BRABE tr|A0A6P4YDX7|A0A6P4YDX7_BRABE Nephrin-like isoform X6 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZCI1_A0A6P4ZCI1_BRABE tr|A0A6P4ZCI1|A0A6P4ZCI1_BRABE Nephrin-like isoform X7 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDX0_A0A6P4YDX0_BRABE tr|A0A6P4YDX0|A0A6P4YDX0_BRABE Nephrin-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YDX4_A0A6P4YDX4_BRABE tr|A0A6P4YDX4|A0A6P4YDX4_BRABE Nephrin-like isoform X3 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YSQ5_A0A6P4YSQ5_BRABE tr|A0A6P4YSQ5|A0A6P4YSQ5_BRABE Nephrin-like isoform X4 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZCH1_A0A6P4ZCH1_BRABE tr|A0A6P4ZCH1|A0A6P4ZCH1_BRABE Nephrin-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z0C2_A0A6P4Z0C2_BRABE tr|A0A6P4Z0C2|A0A6P4Z0C2_BRABE Nephrin-like isoform X5 OS=Branchiostoma belcheri OX=7741 GN=LOC109472226 PE=4 SV=1	Clytia_hemispherica_TCONS_00021268-protein TCONS_00021268-protein
OG0000133	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1	Nematostella_vectensis_NV2t005944001.1 NV2t005944001.1
OG0000133	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1	Ephydatia_muelleri_Em0005g1588a Em0005g1588a
OG0000133	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1	Amphimedon_queenslandica_tr_A0A1X7SQZ0_A0A1X7SQZ0_AMPQE tr_A0A1X7SQZ0_A0A1X7SQZ0_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7TED1_A0A1X7TED1_AMPQE tr_A0A1X7TED1_A0A1X7TED1_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 PE=4 SV=1, Amphimedon_queenslandica_tr_A0A1X7UY43_A0A1X7UY43_AMPQE tr_A0A1X7UY43_A0A1X7UY43_AMPQE Uncharacterized protein OS=Amphimedon queenslandica OX=400682 GN=100631783 PE=4 SV=1
OG0000133	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1	Pleurobrachia_bachei_sb_2638205_ sb_2638205_
OG0000133	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1	Monosiga_brevicollisXP_001748425.1 XP_001748425.1 uncharacterized protein MONBRDRAFT_27938 [Monosiga brevicollis MX1]
OG0000133	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1	Salpingoeca_rosetta_XP_004992379.1 XP_004992379.1 uncharacterized protein PTSG_06976 [Salpingoeca rosetta]
OG0000133	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1	Schmidtea_mediterranea_maker-scaffold11278-augustus-gene-0.66-mRNA-1 maker-scaffold11278-augustus-gene-0.66-mRNA-1 protein AED_0.11 eAED_0.12 QI_0|0.44|0.4|0.9|0.88|0.9|10|504|578
OG0000133	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1	Drosophila_melanogaster_sp_Q9VPF0_ATK_DROME sp|Q9VPF0|ATK_DROME Protein artichoke OS=Drosophila melanogaster OX=7227 GN=atk PE=1 SV=2
OG0000133	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1	Tricoplax_adhaerens_tr_B3SB90_B3SB90_TRIAD tr_B3SB90_B3SB90_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61531 PE=4 SV=1
OG0000133	Branchiostoma_belcheri_tr_A0A6P4XSL9_A0A6P4XSL9_BRABE tr|A0A6P4XSL9|A0A6P4XSL9_BRABE Leucine-rich repeat-containing protein 15-like OS=Branchiostoma belcheri OX=7741 GN=LOC109466359 PE=4 SV=1	Tricoplax_adhaerens_tr_B3SB90_B3SB90_TRIAD tr_B3SB90_B3SB90_TRIAD Uncharacterized protein OS=Trichoplax adhaerens OX=10228 GN=TRIADDRAFT_61531 PE=4 SV=1
OG0000244	Branchiostoma_belcheri_tr_A0A6P4YVX2_A0A6P4YVX2_BRABE tr|A0A6P4YVX2|A0A6P4YVX2_BRABE Stabilin-2-like OS=Branchiostoma belcheri OX=7741 GN=LOC109468951 PE=4 SV=1	Porites_asteroides_isotig01505 isotig01505 extracted_CDS GOMatch=D2H1S4 GOTerms=GO_0005041_GO_0005044_GO_0005488_GO_0005540_GO_0005737_GO_0005887_GO_0007155_GO_0030169_GO_0042742_GO_0051635_GO_0051636 Gene=Stabilin_2_ Match_Acc=C6GHV6 gene=isogroup00585 length=675 numContigs=2
