Orthogroup	Cnidaria_Anthozoa_Exaiptasia_diaphana	Other
OG0000053	Exaiptasia_diaphana_XP_020896793.2 XP_020896793.2 malignant fibrous histiocytoma-amplified sequence 1 [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7LLQ3_A0A9J7LLQ3_BRAFL tr|A0A9J7LLQ3|A0A9J7LLQ3_BRAFL Leucine-rich repeat protein SHOC-2-like OS=Branchiostoma floridae OX=7739 GN=LOC118421768 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LBJ4_A0A9J7LBJ4_BRAFL tr|A0A9J7LBJ4|A0A9J7LBJ4_BRAFL Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma floridae OX=7739 GN=LOC118417629 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L128_A0A9J7L128_BRAFL tr|A0A9J7L128|A0A9J7L128_BRAFL Uncharacterized protein LOC118414282 isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118414282 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MNU7_A0A9J7MNU7_BRAFL tr|A0A9J7MNU7|A0A9J7MNU7_BRAFL Uncharacterized protein LOC118414282 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118414282 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MYB4_A0A9J7MYB4_BRAFL tr|A0A9J7MYB4|A0A9J7MYB4_BRAFL Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma floridae OX=7739 GN=LOC118420433 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LAG2_A0A9J7LAG2_BRAFL tr|A0A9J7LAG2|A0A9J7LAG2_BRAFL non-specific serine/threonine protein kinase OS=Branchiostoma floridae OX=7739 GN=LOC118417576 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LNT7_A0A9J7LNT7_BRAFL tr|A0A9J7LNT7|A0A9J7LNT7_BRAFL Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma floridae OX=7739 GN=LOC118421828 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MBG3_A0A9J7MBG3_BRAFL tr|A0A9J7MBG3|A0A9J7MBG3_BRAFL Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma floridae OX=7739 GN=LOC118430858 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7NCG1_A0A9J7NCG1_BRAFL tr|A0A9J7NCG1|A0A9J7NCG1_BRAFL Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma floridae OX=7739 GN=LOC118430859 PE=3 SV=1, Branchiostoma_floridae_tr_A0A9J7MAR7_A0A9J7MAR7_BRAFL tr|A0A9J7MAR7|A0A9J7MAR7_BRAFL ubiquitinyl hydrolase 1 OS=Branchiostoma floridae OX=7739 GN=LOC118430856 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MEN6_A0A9J7MEN6_BRAFL tr|A0A9J7MEN6|A0A9J7MEN6_BRAFL ubiquitinyl hydrolase 1 OS=Branchiostoma floridae OX=7739 GN=LOC118430883 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MD24_A0A9J7MD24_BRAFL tr|A0A9J7MD24|A0A9J7MD24_BRAFL Uncharacterized protein LOC118430857 OS=Branchiostoma floridae OX=7739 GN=LOC118430857 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MCE3_A0A9J7MCE3_BRAFL tr|A0A9J7MCE3|A0A9J7MCE3_BRAFL Uncharacterized protein LOC118431062 OS=Branchiostoma floridae OX=7739 GN=LOC118431062 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MAH0_A0A9J7MAH0_BRAFL tr|A0A9J7MAH0|A0A9J7MAH0_BRAFL Malignant fibrous histiocytoma-amplified sequence 1-like OS=Branchiostoma floridae OX=7739 GN=LOC118430734 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7KWW3_A0A9J7KWW3_BRAFL tr|A0A9J7KWW3|A0A9J7KWW3_BRAFL Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma floridae OX=7739 GN=LOC118412496 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7M7L6_A0A9J7M7L6_BRAFL tr|A0A9J7M7L6|A0A9J7M7L6_BRAFL Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma floridae OX=7739 GN=LOC118429117 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7N0A9_A0A9J7N0A9_BRAFL tr|A0A9J7N0A9|A0A9J7N0A9_BRAFL Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma floridae OX=7739 GN=LOC118422034 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LCY0_A0A9J7LCY0_BRAFL tr|A0A9J7LCY0|A0A9J7LCY0_BRAFL Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma floridae OX=7739 GN=LOC118418143 PE=4 SV=1
OG0000053	Exaiptasia_diaphana_XP_020896793.2 XP_020896793.2 malignant fibrous histiocytoma-amplified sequence 1 [Exaiptasia diaphana]	Branchiostoma_belcheri_tr_A0A6P5AAF6_A0A6P5AAF6_BRABE tr|A0A6P5AAF6|A0A6P5AAF6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109484369 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YJC2_A0A6P4YJC2_BRABE tr|A0A6P4YJC2|A0A6P4YJC2_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109473846 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZYF4_A0A6P4ZYF4_BRABE tr|A0A6P4ZYF4|A0A6P4ZYF4_BRABE LOW QUALITY PROTEIN_ uncharacterized protein LOC109486739 OS=Branchiostoma belcheri OX=7741 GN=LOC109486739 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YQC6_A0A6P4YQC6_BRABE tr|A0A6P4YQC6|A0A6P4YQC6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109466190 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YI19_A0A6P4YI19_BRABE tr|A0A6P4YI19|A0A6P4YI19_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109467889 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5A2W7_A0A6P5A2W7_BRABE tr|A0A6P5A2W7|A0A6P5A2W7_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109484764 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YLR3_A0A6P4YLR3_BRABE tr|A0A6P4YLR3|A0A6P4YLR3_BRABE non-specific serine/threonine protein kinase OS=Branchiostoma belcheri OX=7741 GN=LOC109466375 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZH59_A0A6P4ZH59_BRABE tr|A0A6P4ZH59|A0A6P4ZH59_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109482290 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZR76_A0A6P4ZR76_BRABE tr|A0A6P4ZR76|A0A6P4ZR76_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109484783 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZE96_A0A6P4ZE96_BRABE tr|A0A6P4ZE96|A0A6P4ZE96_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472615 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y619_A0A6P4Y619_BRABE tr|A0A6P4Y619|A0A6P4Y619_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109462096 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z6C9_A0A6P4Z6C9_BRABE tr|A0A6P4Z6C9|A0A6P4Z6C9_BRABE Uncharacterized protein LOC109471708 OS=Branchiostoma belcheri OX=7741 GN=LOC109471708 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4YY18_A0A6P4YY18_BRABE tr|A0A6P4YY18|A0A6P4YY18_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109471705 PE=3 SV=1, Branchiostoma_belcheri_tr_A0A6P4XU04_A0A6P4XU04_BRABE tr|A0A6P4XU04|A0A6P4XU04_BRABE ubiquitinyl hydrolase 1 OS=Branchiostoma belcheri OX=7741 GN=LOC109462064 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YBB6_A0A6P4YBB6_BRABE tr|A0A6P4YBB6|A0A6P4YBB6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109462055 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YFG9_A0A6P4YFG9_BRABE tr|A0A6P4YFG9|A0A6P4YFG9_BRABE Uncharacterized protein LOC109472615 isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109472615 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y5Y3_A0A6P4Y5Y3_BRABE tr|A0A6P4Y5Y3|A0A6P4Y5Y3_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109462056 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YCW7_A0A6P4YCW7_BRABE tr|A0A6P4YCW7|A0A6P4YCW7_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109464104 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5ADR3_A0A6P5ADR3_BRABE tr|A0A6P5ADR3|A0A6P5ADR3_BRABE Malignant fibrous histiocytoma-amplified sequence 1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109481758 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZFA9_A0A6P4ZFA9_BRABE tr|A0A6P4ZFA9|A0A6P4ZFA9_BRABE Malignant fibrous histiocytoma-amplified sequence 1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109481758 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YLB1_A0A6P4YLB1_BRABE tr|A0A6P4YLB1|A0A6P4YLB1_BRABE Uncharacterized protein LOC109474394 OS=Branchiostoma belcheri OX=7741 GN=LOC109474394 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XPW3_A0A6P4XPW3_BRABE tr|A0A6P4XPW3|A0A6P4XPW3_BRABE Uncharacterized protein LOC109462063 OS=Branchiostoma belcheri OX=7741 GN=LOC109462063 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YBF4_A0A6P4YBF4_BRABE tr|A0A6P4YBF4|A0A6P4YBF4_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109462095 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Z367_A0A6P4Z367_BRABE tr|A0A6P4Z367|A0A6P4Z367_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109470872 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4Y681_A0A6P4Y681_BRABE tr|A0A6P4Y681|A0A6P4Y681_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109466664 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XBP7_A0A6P4XBP7_BRABE tr|A0A6P4XBP7|A0A6P4XBP7_BRABE LOW QUALITY PROTEIN_ malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109461853 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4XTM6_A0A6P4XTM6_BRABE tr|A0A6P4XTM6|A0A6P4XTM6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109461965 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P5AIJ6_A0A6P5AIJ6_BRABE tr|A0A6P5AIJ6|A0A6P5AIJ6_BRABE Malignant fibrous histiocytoma-amplified sequence 1 homolog OS=Branchiostoma belcheri OX=7741 GN=LOC109483213 PE=4 SV=1
OG0000053	Exaiptasia_diaphana_XP_020896793.2 XP_020896793.2 malignant fibrous histiocytoma-amplified sequence 1 [Exaiptasia diaphana]	Branchiostoma_lanceolatum_tr_A0A8K0F2J8_A0A8K0F2J8_BRALA tr|A0A8K0F2J8|A0A8K0F2J8_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EWV4_A0A8K0EWV4_BRALA tr|A0A8K0EWV4|A0A8K0EWV4_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ABL0_A0A8K0ABL0_BRALA tr|A0A8K0ABL0|A0A8K0ABL0_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ADA9_A0A8K0ADA9_BRALA tr|A0A8K0ADA9|A0A8K0ADA9_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AAL6_A0A8K0AAL6_BRALA tr|A0A8K0AAL6|A0A8K0AAL6_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A9L2_A0A8K0A9L2_BRALA tr|A0A8K0A9L2|A0A8K0A9L2_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EZK7_A0A8K0EZK7_BRALA tr|A0A8K0EZK7|A0A8K0EZK7_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AC65_A0A8K0AC65_BRALA tr|A0A8K0AC65|A0A8K0AC65_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZLH9_A0A8J9ZLH9_BRALA tr|A0A8J9ZLH9|A0A8J9ZLH9_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZLG4_A0A8J9ZLG4_BRALA tr|A0A8J9ZLG4|A0A8J9ZLG4_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A9N6_A0A8K0A9N6_BRALA tr|A0A8K0A9N6|A0A8K0A9N6_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AF20_A0A8K0AF20_BRALA tr|A0A8K0AF20|A0A8K0AF20_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V6F8_A0A8J9V6F8_BRALA tr|A0A8J9V6F8|A0A8J9V6F8_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ABK4_A0A8K0ABK4_BRALA tr|A0A8K0ABK4|A0A8K0ABK4_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AAG9_A0A8K0AAG9_BRALA tr|A0A8K0AAG9|A0A8K0AAG9_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VKC9_A0A8J9VKC9_BRALA tr|A0A8J9VKC9|A0A8J9VKC9_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YSH0_A0A8J9YSH0_BRALA tr|A0A8J9YSH0|A0A8J9YSH0_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YSH4_A0A8J9YSH4_BRALA tr|A0A8J9YSH4|A0A8J9YSH4_BRALA LRRC7 protein OS=Branchiostoma lanceolatum OX=7740 GN=LRRC7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YRS1_A0A8J9YRS1_BRALA tr|A0A8J9YRS1|A0A8J9YRS1_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=SHOC2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VGH8_A0A8J9VGH8_BRALA tr|A0A8J9VGH8|A0A8J9VGH8_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=SHOC2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VRT8_A0A8J9VRT8_BRALA tr|A0A8J9VRT8|A0A8J9VRT8_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YRT3_A0A8J9YRT3_BRALA tr|A0A8J9YRT3|A0A8J9YRT3_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VFF7_A0A8J9VFF7_BRALA tr|A0A8J9VFF7|A0A8J9VFF7_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z390_A0A8J9Z390_BRALA tr|A0A8J9Z390|A0A8J9Z390_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F3K6_A0A8K0F3K6_BRALA tr|A0A8K0F3K6|A0A8K0F3K6_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AF89_A0A8K0AF89_BRALA tr|A0A8K0AF89|A0A8K0AF89_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1
OG0000067	Exaiptasia_diaphana_XP_028517091.1 XP_028517091.1 A disintegrin and metalloproteinase with thrombospondin motifs 10-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517406.1 XP_028517406.1 disintegrin and metalloproteinase domain-containing protein 8_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514905.1 XP_028514905.1 zinc metalloproteinase-disintegrin-like atragin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514988.1 XP_028514988.1 zinc metalloproteinase-disintegrin-like atragin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516341.1 XP_028516341.1 zinc metalloproteinase-disintegrin-like VMP-III [Exaiptasia diaphana]	Stylophora_pistillata_Spis4032 Spis4032 SpisGene4032
OG0000088	Exaiptasia_diaphana_XP_028518403.1 XP_028518403.1 mucin-like protein_ partial [Exaiptasia diaphana]	Drosophila_melanogaster_tr_O02029_O02029_DROME tr|O02029|O02029_DROME M-spondin OS=Drosophila melanogaster OX=7227 GN=mspo PE=2 SV=1, Drosophila_melanogaster_tr_Q7JY80_Q7JY80_DROME tr|Q7JY80|Q7JY80_DROME M-spondin_ isoform A OS=Drosophila melanogaster OX=7227 GN=mspo PE=2 SV=1, Drosophila_melanogaster_tr_Q8T988_Q8T988_DROME tr|Q8T988|Q8T988_DROME SD07907p OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_A1Z8W6_A1Z8W6_DROME tr|A1Z8W6|A1Z8W6_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_Q3ZAL6_Q3ZAL6_DROME tr|Q3ZAL6|Q3ZAL6_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=CG17740 PE=2 SV=1, Drosophila_melanogaster_tr_Q7K3Y9_Q7K3Y9_DROME tr|Q7K3Y9|Q7K3Y9_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=Dmel\CG17739 PE=2 SV=1, Drosophila_melanogaster_tr_Q95S22_Q95S22_DROME tr|Q95S22|Q95S22_DROME HL01082p OS=Drosophila melanogaster OX=7227 GN=fat-spondin PE=2 SV=1, Drosophila_melanogaster_tr_Q7KN04_Q7KN04_DROME tr|Q7KN04|Q7KN04_DROME Spondin-1 OS=Drosophila melanogaster OX=7227 GN=fat-spondin PE=1 SV=1
OG0000088	Exaiptasia_diaphana_XP_028518403.1 XP_028518403.1 mucin-like protein_ partial [Exaiptasia diaphana]	Caenorhabditis_elegans_F10E7.4 F10E7.4
OG0000088	Exaiptasia_diaphana_XP_028518403.1 XP_028518403.1 mucin-like protein_ partial [Exaiptasia diaphana]	Schmidtea_mediterranea_maker-scaffold2562-augustus-gene-0.30-mRNA-1 maker-scaffold2562-augustus-gene-0.30-mRNA-1 protein AED_0.31 eAED_0.32 QI_0|1|0.75|1|0.66|0.5|4|179|609, Schmidtea_mediterranea_maker-scaffold2562-snap-gene-0.37-mRNA-1 maker-scaffold2562-snap-gene-0.37-mRNA-1 protein AED_0.07 eAED_0.09 QI_0|0.33|0.14|1|0.66|0.57|7|0|1127, Schmidtea_mediterranea_maker-scaffold2562-snap-gene-0.38-mRNA-1 maker-scaffold2562-snap-gene-0.38-mRNA-1 protein AED_0.62 eAED_0.63 QI_0|0|0|0.16|1|1|6|0|510, Schmidtea_mediterranea_maker-scaffold4198-snap-gene-0.24-mRNA-1 maker-scaffold4198-snap-gene-0.24-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.5|0.2|0.8|0.75|0.8|5|0|730
OG0000088	Exaiptasia_diaphana_XP_028518403.1 XP_028518403.1 mucin-like protein_ partial [Exaiptasia diaphana]	Branchiostoma_floridae_tr_A0A9J7L4B9_A0A9J7L4B9_BRAFL tr|A0A9J7L4B9|A0A9J7L4B9_BRAFL Spondin-1-like isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118414975 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7MPW0_A0A9J7MPW0_BRAFL tr|A0A9J7MPW0|A0A9J7MPW0_BRAFL Spondin-1-like isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118414975 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7LAE0_A0A9J7LAE0_BRAFL tr|A0A9J7LAE0|A0A9J7LAE0_BRAFL Uncharacterized protein LOC118416763 isoform X2 OS=Branchiostoma floridae OX=7739 GN=LOC118416763 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7L817_A0A9J7L817_BRAFL tr|A0A9J7L817|A0A9J7L817_BRAFL Uncharacterized protein LOC118416763 isoform X1 OS=Branchiostoma floridae OX=7739 GN=LOC118416763 PE=4 SV=1, Branchiostoma_floridae_tr_A0A9J7HTD2_A0A9J7HTD2_BRAFL tr|A0A9J7HTD2|A0A9J7HTD2_BRAFL Spondin-1 OS=Branchiostoma floridae OX=7739 GN=LOC118406830 PE=4 SV=1
OG0000088	Exaiptasia_diaphana_XP_028518403.1 XP_028518403.1 mucin-like protein_ partial [Exaiptasia diaphana]	Branchiostoma_belcheri_tr_A0A6P5AJ26_A0A6P5AJ26_BRABE tr|A0A6P5AJ26|A0A6P5AJ26_BRABE Spondin-1-like isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109486813 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZYP0_A0A6P4ZYP0_BRABE tr|A0A6P4ZYP0|A0A6P4ZYP0_BRABE Spondin-1-like isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109486813 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZII0_A0A6P4ZII0_BRABE tr|A0A6P4ZII0|A0A6P4ZII0_BRABE Uncharacterized protein LOC109477214 isoform X1 OS=Branchiostoma belcheri OX=7741 GN=LOC109477214 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4YWW2_A0A6P4YWW2_BRABE tr|A0A6P4YWW2|A0A6P4YWW2_BRABE Uncharacterized protein LOC109477214 isoform X2 OS=Branchiostoma belcheri OX=7741 GN=LOC109477214 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZPY5_A0A6P4ZPY5_BRABE tr|A0A6P4ZPY5|A0A6P4ZPY5_BRABE Spondin-1 OS=Branchiostoma belcheri OX=7741 GN=LOC109476505 PE=4 SV=1, Branchiostoma_belcheri_tr_A0A6P4ZTW0_A0A6P4ZTW0_BRABE tr|A0A6P4ZTW0|A0A6P4ZTW0_BRABE Spondin-1 OS=Branchiostoma belcheri OX=7741 GN=LOC109476505 PE=4 SV=1
OG0000088	Exaiptasia_diaphana_XP_028518403.1 XP_028518403.1 mucin-like protein_ partial [Exaiptasia diaphana]	NP_001039622.1 spondin-2 precursor [Bos taurus], sp|Q9GLX9.1|SPON1_BOVIN RecName_ Full=Spondin-1; AltName_ Full=F-spondin; AltName_ Full=Vascular smooth muscle cell growth-promoting factor; Flags_ Precursor
