Orthogroup	Chordata_Amphioxiformes_Branchiostoma_lanceolatum	Other
OG0000053	Branchiostoma_lanceolatum_tr_A0A8K0F2J8_A0A8K0F2J8_BRALA tr|A0A8K0F2J8|A0A8K0F2J8_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EWV4_A0A8K0EWV4_BRALA tr|A0A8K0EWV4|A0A8K0EWV4_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ABL0_A0A8K0ABL0_BRALA tr|A0A8K0ABL0|A0A8K0ABL0_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ADA9_A0A8K0ADA9_BRALA tr|A0A8K0ADA9|A0A8K0ADA9_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AAL6_A0A8K0AAL6_BRALA tr|A0A8K0AAL6|A0A8K0AAL6_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A9L2_A0A8K0A9L2_BRALA tr|A0A8K0A9L2|A0A8K0A9L2_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EZK7_A0A8K0EZK7_BRALA tr|A0A8K0EZK7|A0A8K0EZK7_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AC65_A0A8K0AC65_BRALA tr|A0A8K0AC65|A0A8K0AC65_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZLH9_A0A8J9ZLH9_BRALA tr|A0A8J9ZLH9|A0A8J9ZLH9_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZLG4_A0A8J9ZLG4_BRALA tr|A0A8J9ZLG4|A0A8J9ZLG4_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0A9N6_A0A8K0A9N6_BRALA tr|A0A8K0A9N6|A0A8K0A9N6_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AF20_A0A8K0AF20_BRALA tr|A0A8K0AF20|A0A8K0AF20_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9V6F8_A0A8J9V6F8_BRALA tr|A0A8J9V6F8|A0A8J9V6F8_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ABK4_A0A8K0ABK4_BRALA tr|A0A8K0ABK4|A0A8K0ABK4_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AAG9_A0A8K0AAG9_BRALA tr|A0A8K0AAG9|A0A8K0AAG9_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VKC9_A0A8J9VKC9_BRALA tr|A0A8J9VKC9|A0A8J9VKC9_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YSH0_A0A8J9YSH0_BRALA tr|A0A8J9YSH0|A0A8J9YSH0_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YSH4_A0A8J9YSH4_BRALA tr|A0A8J9YSH4|A0A8J9YSH4_BRALA LRRC7 protein OS=Branchiostoma lanceolatum OX=7740 GN=LRRC7 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YRS1_A0A8J9YRS1_BRALA tr|A0A8J9YRS1|A0A8J9YRS1_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=SHOC2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VGH8_A0A8J9VGH8_BRALA tr|A0A8J9VGH8|A0A8J9VGH8_BRALA ubiquitinyl hydrolase 1 OS=Branchiostoma lanceolatum OX=7740 GN=SHOC2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VRT8_A0A8J9VRT8_BRALA tr|A0A8J9VRT8|A0A8J9VRT8_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9YRT3_A0A8J9YRT3_BRALA tr|A0A8J9YRT3|A0A8J9YRT3_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9VFF7_A0A8J9VFF7_BRALA tr|A0A8J9VFF7|A0A8J9VFF7_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z390_A0A8J9Z390_BRALA tr|A0A8J9Z390|A0A8J9Z390_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0F3K6_A0A8K0F3K6_BRALA tr|A0A8K0F3K6|A0A8K0F3K6_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0AF89_A0A8K0AF89_BRALA tr|A0A8K0AF89|A0A8K0AF89_BRALA MFHAS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MFHAS1 PE=4 SV=1	Exaiptasia_diaphana_XP_020896793.2 XP_020896793.2 malignant fibrous histiocytoma-amplified sequence 1 [Exaiptasia diaphana]
OG0000064	Branchiostoma_lanceolatum_tr_A0A8J9ZGP7_A0A8J9ZGP7_BRALA tr|A0A8J9ZGP7|A0A8J9ZGP7_BRALA FBN2 protein _Fragment_ OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZH02_A0A8J9ZH02_BRALA tr|A0A8J9ZH02|A0A8J9ZH02_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EJ95_A0A8K0EJ95_BRALA tr|A0A8K0EJ95|A0A8K0EJ95_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZEI5_A0A8J9ZEI5_BRALA tr|A0A8J9ZEI5|A0A8J9ZEI5_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EHA4_A0A8K0EHA4_BRALA tr|A0A8K0EHA4|A0A8K0EHA4_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ELI4_A0A8K0ELI4_BRALA tr|A0A8K0ELI4|A0A8K0ELI4_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ELZ7_A0A8K0ELZ7_BRALA tr|A0A8K0ELZ7|A0A8K0ELZ7_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=4 SV=1	Porites_asteroides_isotig12005 isotig12005 extracted_CDS GOMatch=D2H7E0 GOTerms=GO_0005201_GO_0005488_GO_0005509_GO_0005578 Gene=Fibrillin-2_ Match_Acc=P35556 gene=isogroup10273 length=577 numContigs=1
OG0000064	Branchiostoma_lanceolatum_tr_A0A8J9ZGP7_A0A8J9ZGP7_BRALA tr|A0A8J9ZGP7|A0A8J9ZGP7_BRALA FBN2 protein _Fragment_ OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZH02_A0A8J9ZH02_BRALA tr|A0A8J9ZH02|A0A8J9ZH02_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EJ95_A0A8K0EJ95_BRALA tr|A0A8K0EJ95|A0A8K0EJ95_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=3 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZEI5_A0A8J9ZEI5_BRALA tr|A0A8J9ZEI5|A0A8J9ZEI5_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EHA4_A0A8K0EHA4_BRALA tr|A0A8K0EHA4|A0A8K0EHA4_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ELI4_A0A8K0ELI4_BRALA tr|A0A8K0ELI4|A0A8K0ELI4_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ELZ7_A0A8K0ELZ7_BRALA tr|A0A8K0ELZ7|A0A8K0ELZ7_BRALA FBN2 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN2 PE=4 SV=1	Nematostella_vectensis_NV2t022932001.1 NV2t022932001.1
OG0000067	Branchiostoma_lanceolatum_tr_A0A8K0F3S2_A0A8K0F3S2_BRALA tr|A0A8K0F3S2|A0A8K0F3S2_BRALA Hypp5397 protein OS=Branchiostoma lanceolatum OX=7740 GN=Hypp5397 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z729_A0A8J9Z729_BRALA tr|A0A8J9Z729|A0A8J9Z729_BRALA MDGA1 protein OS=Branchiostoma lanceolatum OX=7740 GN=MDGA1 PE=3 SV=1	Stylophora_pistillata_Spis4032 Spis4032 SpisGene4032
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Pleurobrachia_bachei_sb_2646639_ sb_2646639_, Pleurobrachia_bachei_sb_2645532_ sb_2645532_
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Acropora_digitifera_adi_v1.11224 adi_v1.11224
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Caenorhabditis_elegans_F56H11.1e F56H11.1e
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Nematostella_vectensis_NV2t010636001.1 NV2t010636001.1, Nematostella_vectensis_NV2t010636002.1 NV2t010636002.1
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Stylophora_pistillata_Spis10729 Spis10729 SpisGene10729, Stylophora_pistillata_Spis9086 Spis9086 SpisGene9086, Stylophora_pistillata_Spis18739 Spis18739 SpisGene18739
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein, Clytia_hemispherica_TCONS_00022711-protein TCONS_00022711-protein
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Mnemiopsis_leidyi_ML056914a ML056914a
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Hydra_vulgaris_Sc4wPfr_324.1.g5440.t1 Sc4wPfr_324.1.g5440.t1
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Branchiostoma_belcheri_tr_A0A6P4Z330_A0A6P4Z330_BRABE tr|A0A6P4Z330|A0A6P4Z330_BRABE Signal peptide_ CUB and EGF-like domain-containing protein 2 OS=Branchiostoma belcheri OX=7741 GN=LOC109472919 PE=4 SV=1
OG0000081	Branchiostoma_lanceolatum_tr_A0A8J9ZG70_A0A8J9ZG70_BRALA tr|A0A8J9ZG70|A0A8J9ZG70_BRALA FBN1 protein OS=Branchiostoma lanceolatum OX=7740 GN=FBN1 PE=4 SV=1	Porites_asteroides_GCKDGN101BNNFL GCKDGN101BNNFL extracted_CDS GOMatch=A8XVJ4 GOTerms=GO_0004867_GO_0005509 Gene=MEC-9L_ Match_Acc=Q27422 length=456 region=1 run=R_2010_02_19_08_49_25_ xy=0562_1231
OG0000082	Branchiostoma_lanceolatum_tr_A0A8J9ZEH4_A0A8J9ZEH4_BRALA tr|A0A8J9ZEH4|A0A8J9ZEH4_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1	Acropora_digitifera_adi_v1.19272 adi_v1.19272, Acropora_digitifera_adi_v1.08091 adi_v1.08091, Acropora_digitifera_adi_v1.08090 adi_v1.08090, Acropora_digitifera_adi_v1.03875 adi_v1.03875, Acropora_digitifera_adi_v1.23202 adi_v1.23202, Acropora_digitifera_adi_v1.03874 adi_v1.03874, Acropora_digitifera_adi_v1.03249 adi_v1.03249, Acropora_digitifera_adi_v1.22782 adi_v1.22782, Acropora_digitifera_adi_v1.00154 adi_v1.00154
OG0000082	Branchiostoma_lanceolatum_tr_A0A8J9ZEH4_A0A8J9ZEH4_BRALA tr|A0A8J9ZEH4|A0A8J9ZEH4_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1	Stylophora_pistillata_Spis14850 Spis14850 SpisGene14850, Stylophora_pistillata_Spis10840 Spis10840 SpisGene10840, Stylophora_pistillata_Spis3953 Spis3953 SpisGene3953
OG0000082	Branchiostoma_lanceolatum_tr_A0A8J9ZEH4_A0A8J9ZEH4_BRALA tr|A0A8J9ZEH4|A0A8J9ZEH4_BRALA NOTCH2 protein OS=Branchiostoma lanceolatum OX=7740 GN=NOTCH2 PE=4 SV=1	Nematostella_vectensis_NV2t020881001.1 NV2t020881001.1
OG0000088	Branchiostoma_lanceolatum_tr_A0A8J9ZLF9_A0A8J9ZLF9_BRALA tr|A0A8J9ZLF9|A0A8J9ZLF9_BRALA SPON2 protein OS=Branchiostoma lanceolatum OX=7740 GN=SPON2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZLL4_A0A8J9ZLL4_BRALA tr|A0A8J9ZLL4|A0A8J9ZLL4_BRALA SPON2 protein OS=Branchiostoma lanceolatum OX=7740 GN=SPON2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZMX0_A0A8J9ZMX0_BRALA tr|A0A8J9ZMX0|A0A8J9ZMX0_BRALA SPON2 protein OS=Branchiostoma lanceolatum OX=7740 GN=SPON2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EQY2_A0A8K0EQY2_BRALA tr|A0A8K0EQY2|A0A8K0EQY2_BRALA SPON2 protein OS=Branchiostoma lanceolatum OX=7740 GN=SPON2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EWM7_A0A8K0EWM7_BRALA tr|A0A8K0EWM7|A0A8K0EWM7_BRALA SPON2 protein OS=Branchiostoma lanceolatum OX=7740 GN=SPON2 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9Z9T9_A0A8J9Z9T9_BRALA tr|A0A8J9Z9T9|A0A8J9Z9T9_BRALA Spondin-1 OS=Branchiostoma lanceolatum OX=7740 GN=SPON1 PE=4 SV=1	Exaiptasia_diaphana_XP_028518403.1 XP_028518403.1 mucin-like protein_ partial [Exaiptasia diaphana]
OG0000101	Branchiostoma_lanceolatum_tr_A0A8K0EQC5_A0A8K0EQC5_BRALA tr|A0A8K0EQC5|A0A8K0EQC5_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZUB1_A0A8J9ZUB1_BRALA tr|A0A8J9ZUB1|A0A8J9ZUB1_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZRH6_A0A8J9ZRH6_BRALA tr|A0A8J9ZRH6|A0A8J9ZRH6_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZVX4_A0A8J9ZVX4_BRALA tr|A0A8J9ZVX4|A0A8J9ZVX4_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZU54_A0A8J9ZU54_BRALA tr|A0A8J9ZU54|A0A8J9ZU54_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZU42_A0A8J9ZU42_BRALA tr|A0A8J9ZU42|A0A8J9ZU42_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EN31_A0A8K0EN31_BRALA tr|A0A8K0EN31|A0A8K0EN31_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZRG1_A0A8J9ZRG1_BRALA tr|A0A8J9ZRG1|A0A8J9ZRG1_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0EQ67_A0A8K0EQ67_BRALA tr|A0A8K0EQ67|A0A8K0EQ67_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ESV4_A0A8K0ESV4_BRALA tr|A0A8K0ESV4|A0A8K0ESV4_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8J9ZUF5_A0A8J9ZUF5_BRALA tr|A0A8J9ZUF5|A0A8J9ZUF5_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1, Branchiostoma_lanceolatum_tr_A0A8K0ETH3_A0A8K0ETH3_BRALA tr|A0A8K0ETH3|A0A8K0ETH3_BRALA NPHS1 protein OS=Branchiostoma lanceolatum OX=7740 GN=NPHS1 PE=4 SV=1	Clytia_hemispherica_TCONS_00021268-protein TCONS_00021268-protein
OG0000244	Branchiostoma_lanceolatum_tr_A0A8J9ZXG7_A0A8J9ZXG7_BRALA tr|A0A8J9ZXG7|A0A8J9ZXG7_BRALA STAB2 protein OS=Branchiostoma lanceolatum OX=7740 GN=STAB2 PE=4 SV=1	Porites_asteroides_isotig01505 isotig01505 extracted_CDS GOMatch=D2H1S4 GOTerms=GO_0005041_GO_0005044_GO_0005488_GO_0005540_GO_0005737_GO_0005887_GO_0007155_GO_0030169_GO_0042742_GO_0051635_GO_0051636 Gene=Stabilin_2_ Match_Acc=C6GHV6 gene=isogroup00585 length=675 numContigs=2
