Orthogroup	Nematoda_Chromadorea_Caenorhabditis_elegans	Chordata_Vertebrata_Danio_rerio
OG0000023	Caenorhabditis_elegans_Y37D8A.13 Y37D8A.13	Danio_rerio_tr_Q7ZYZ9_Q7ZYZ9_DANRE tr|Q7ZYZ9|Q7ZYZ9_DANRE A disintegrin and metalloproteinase domain 8a OS=Danio rerio OX=7955 GN=zgc_64059 PE=2 SV=2, Danio_rerio_tr_E7F6J8_E7F6J8_DANRE tr|E7F6J8|E7F6J8_DANRE ADAM metallopeptidase domain 8b OS=Danio rerio OX=7955 GN=adam8b PE=4 SV=1, Danio_rerio_tr_Q08C21_Q08C21_DANRE tr|Q08C21|Q08C21_DANRE A disintegrin and metallopeptidase domain 28 OS=Danio rerio OX=7955 GN=zgc_153755 PE=2 SV=1, Danio_rerio_tr_Q66IC3_Q66IC3_DANRE tr|Q66IC3|Q66IC3_DANRE A disintegrin and metalloproteinase domain 9 OS=Danio rerio OX=7955 GN=zgc_101824 PE=2 SV=1, Danio_rerio_tr_A0A0R4INJ8_A0A0R4INJ8_DANRE tr|A0A0R4INJ8|A0A0R4INJ8_DANRE ADAM metallopeptidase domain 12 OS=Danio rerio OX=7955 GN=adam12 PE=4 SV=2, Danio_rerio_tr_F1Q4N9_F1Q4N9_DANRE tr|F1Q4N9|F1Q4N9_DANRE ADAM metallopeptidase domain 19b OS=Danio rerio OX=7955 GN=adam19b PE=4 SV=2, Danio_rerio_tr_E7FGJ0_E7FGJ0_DANRE tr|E7FGJ0|E7FGJ0_DANRE ADAM metallopeptidase domain 15 OS=Danio rerio OX=7955 GN=adam15 PE=4 SV=1, Danio_rerio_tr_F8W3T1_F8W3T1_DANRE tr|F8W3T1|F8W3T1_DANRE ADAM metallopeptidase domain 23a OS=Danio rerio OX=7955 GN=adam23a PE=4 SV=1, Danio_rerio_tr_F1QF43_F1QF43_DANRE tr|F1QF43|F1QF43_DANRE ADAM metallopeptidase domain 22 OS=Danio rerio OX=7955 GN=adam22 PE=4 SV=1, Danio_rerio_tr_E7F698_E7F698_DANRE tr|E7F698|E7F698_DANRE ADAM metallopeptidase domain 11 OS=Danio rerio OX=7955 GN=adam11 PE=4 SV=1
OG0000024	Caenorhabditis_elegans_C54E4.2c C54E4.2c	Danio_rerio_tr_A0A0R4IMY5_A0A0R4IMY5_DANRE tr|A0A0R4IMY5|A0A0R4IMY5_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 3 OS=Danio rerio OX=7955 GN=im_7139568 PE=4 SV=2, Danio_rerio_tr_F1RAX3_F1RAX3_DANRE tr|F1RAX3|F1RAX3_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 3 OS=Danio rerio OX=7955 GN=im_7139568 PE=4 SV=2, Danio_rerio_tr_E7F9M2_E7F9M2_DANRE tr|E7F9M2|E7F9M2_DANRE SPARC _osteonectin__ cwcv and kazal-like domains proteoglycan 1 OS=Danio rerio OX=7955 GN=spock1 PE=4 SV=3
OG0000028	Caenorhabditis_elegans_F01G12.5b F01G12.5b	Danio_rerio_tr_X1WFR7_X1WFR7_DANRE tr|X1WFR7|X1WFR7_DANRE Collagen alpha-4_IV_ chain OS=Danio rerio OX=7955 GN=col4a4 PE=4 SV=1
OG0000030	Caenorhabditis_elegans_ZK154.7 ZK154.7	Danio_rerio_tr_Q6PFU9_Q6PFU9_DANRE tr|Q6PFU9|Q6PFU9_DANRE A disintegrin and metalloproteinase domain 17a OS=Danio rerio OX=7955 GN=fc20b01 PE=2 SV=1, Danio_rerio_tr_U3JAD1_U3JAD1_DANRE tr|U3JAD1|U3JAD1_DANRE ADAM metallopeptidase domain 17b OS=Danio rerio OX=7955 GN=adam17b PE=4 SV=1
OG0000030	Caenorhabditis_elegans_DY3.7 DY3.7	Danio_rerio_tr_F1RA88_F1RA88_DANRE tr|F1RA88|F1RA88_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=3, Danio_rerio_tr_A0A0R4IVX1_A0A0R4IVX1_DANRE tr|A0A0R4IVX1|A0A0R4IVX1_DANRE ADAM metallopeptidase domain 10a OS=Danio rerio OX=7955 GN=adam10 PE=1 SV=2
OG0000045	Caenorhabditis_elegans_K08C7.3e K08C7.3e	Danio_rerio_tr_Q2Q1W5_Q2Q1W5_DANRE tr|Q2Q1W5|Q2Q1W5_DANRE Laminin alpha 5 OS=Danio rerio OX=7955 GN=wu_fb81a10 PE=1 SV=1
OG0000049	Caenorhabditis_elegans_K04B12.1 K04B12.1	Danio_rerio_tr_F1Q7U0_F1Q7U0_DANRE tr|F1Q7U0|F1Q7U0_DANRE Plexin b1b OS=Danio rerio OX=7955 GN=plxnb1b PE=1 SV=1, Danio_rerio_tr_A0A8M3B4P7_A0A8M3B4P7_DANRE tr|A0A8M3B4P7|A0A8M3B4P7_DANRE Plexin-B3 OS=Danio rerio OX=7955 GN=plxnb3 PE=1 SV=1, Danio_rerio_tr_E3NZJ2_E3NZJ2_DANRE tr|E3NZJ2|E3NZJ2_DANRE Plexin B2b short isoform OS=Danio rerio OX=7955 GN=plxnb2b PE=2 SV=1, Danio_rerio_tr_F1QBC0_F1QBC0_DANRE tr|F1QBC0|F1QBC0_DANRE Plexin b2a OS=Danio rerio OX=7955 GN=fk37b01 PE=1 SV=3, Danio_rerio_tr_C5H5I1_C5H5I1_DANRE tr|C5H5I1|C5H5I1_DANRE Plexin B2 OS=Danio rerio OX=7955 GN=plxnB2 PE=1 SV=1, Danio_rerio_tr_Q6DSU3_Q6DSU3_DANRE tr|Q6DSU3|Q6DSU3_DANRE Plexin D1 OS=Danio rerio OX=7955 GN=zgc_77379 PE=1 SV=1, Danio_rerio_tr_Q5RGW1_Q5RGW1_DANRE tr|Q5RGW1|Q5RGW1_DANRE Plexin C1 _Fragment_ OS=Danio rerio OX=7955 GN=plxnc1 PE=1 SV=3
OG0000065	Caenorhabditis_elegans_C39E6.1 C39E6.1	Danio_rerio_tr_V5NES1_V5NES1_DANRE tr|V5NES1|V5NES1_DANRE Glypican 5a OS=Danio rerio OX=7955 GN=Gpc5a PE=2 SV=1, Danio_rerio_sp_Q6V9Y8_GPC3_DANRE sp|Q6V9Y8|GPC3_DANRE Glypican-3 OS=Danio rerio OX=7955 GN=gpc3 PE=1 SV=1, Danio_rerio_tr_V5NF21_V5NF21_DANRE tr|V5NF21|V5NF21_DANRE Glypican 5b OS=Danio rerio OX=7955 GN=Gpc5b PE=2 SV=1
OG0000068	Caenorhabditis_elegans_W09H1.6b W09H1.6b, Caenorhabditis_elegans_F52H3.7b F52H3.7b, Caenorhabditis_elegans_ZK1248.16 ZK1248.16, Caenorhabditis_elegans_C44F1.3 C44F1.3, Caenorhabditis_elegans_C53D6.7 C53D6.7	Danio_rerio_tr_Q32PT4_Q32PT4_DANRE tr|Q32PT4|Q32PT4_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals3l PE=1 SV=1, Danio_rerio_sp_Q6DGJ1_GRIFN_DANRE sp|Q6DGJ1|GRIFN_DANRE Grifin OS=Danio rerio OX=7955 GN=grifin PE=1 SV=1, Danio_rerio_tr_Q7ZZ26_Q7ZZ26_DANRE tr|Q7ZZ26|Q7ZZ26_DANRE Galectin OS=Danio rerio OX=7955 GN=si_ch211-101n13.9 PE=4 SV=1, Danio_rerio_sp_Q1ECW6_LEGL_DANRE sp|Q1ECW6|LEGL_DANRE Galectin-related protein OS=Danio rerio OX=7955 GN=lgalsl PE=2 SV=1, Danio_rerio_tr_Q6PBV2_Q6PBV2_DANRE tr|Q6PBV2|Q6PBV2_DANRE Galectin OS=Danio rerio OX=7955 GN=wu_fj85f11 PE=1 SV=1, Danio_rerio_tr_X1WD11_X1WD11_DANRE tr|X1WD11|X1WD11_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals8a PE=4 SV=2, Danio_rerio_tr_F1QIE5_F1QIE5_DANRE tr|F1QIE5|F1QIE5_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals8a PE=4 SV=2
OG0000068	Caenorhabditis_elegans_Y41C4A.5 Y41C4A.5, Caenorhabditis_elegans_Y55B1AR.1 Y55B1AR.1	Danio_rerio_tr_F8W2U6_F8W2U6_DANRE tr|F8W2U6|F8W2U6_DANRE Galectin OS=Danio rerio OX=7955 GN=Drgal1-L3 PE=1 SV=1, Danio_rerio_tr_Q7SXJ0_Q7SXJ0_DANRE tr|Q7SXJ0|Q7SXJ0_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals1l3 PE=1 SV=1, Danio_rerio_tr_Q6TGN5_Q6TGN5_DANRE tr|Q6TGN5|Q6TGN5_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals2a PE=1 SV=1, Danio_rerio_tr_Q6IQI2_Q6IQI2_DANRE tr|Q6IQI2|Q6IQI2_DANRE Galectin OS=Danio rerio OX=7955 GN=lgals1l2 PE=1 SV=1, Danio_rerio_tr_F1QGM0_F1QGM0_DANRE tr|F1QGM0|F1QGM0_DANRE Galectin OS=Danio rerio OX=7955 GN=Drgal1-L1 PE=1 SV=1
OG0000074	Caenorhabditis_elegans_F40E10.4 F40E10.4	Danio_rerio_tr_Q9DE36_Q9DE36_DANRE tr|Q9DE36|Q9DE36_DANRE Slit homolog 2 protein precursor OS=Danio rerio OX=7955 GN=slit2 PE=1 SV=1, Danio_rerio_tr_F1RCV3_F1RCV3_DANRE tr|F1RCV3|F1RCV3_DANRE Slit homolog 3 _Drosophila_ OS=Danio rerio OX=7955 GN=zgc_111911 PE=1 SV=1, Danio_rerio_tr_Q3Y6S4_Q3Y6S4_DANRE tr|Q3Y6S4|Q3Y6S4_DANRE Slit homolog 1b precursor OS=Danio rerio OX=7955 GN=slit1b PE=2 SV=1, Danio_rerio_tr_A0A0R4IU60_A0A0R4IU60_DANRE tr|A0A0R4IU60|A0A0R4IU60_DANRE Slit homolog 1b _Drosophila_ OS=Danio rerio OX=7955 GN=slit1b PE=4 SV=1, Danio_rerio_tr_Q3S2J2_Q3S2J2_DANRE tr|Q3S2J2|Q3S2J2_DANRE Slit homolog 1 protein precursor OS=Danio rerio OX=7955 GN=slit1a PE=1 SV=1
OG0000078	Caenorhabditis_elegans_F26E4.3 F26E4.3	Danio_rerio_tr_A3KNG7_A3KNG7_DANRE tr|A3KNG7|A3KNG7_DANRE Si_dkey-158b13.1 OS=Danio rerio OX=7955 GN=si_dkey-158b13.1 PE=1 SV=1
OG0000078	Caenorhabditis_elegans_F41E6.6 F41E6.6	Danio_rerio_tr_F1RE14_F1RE14_DANRE tr|F1RE14|F1RE14_DANRE Cathepsin F OS=Danio rerio OX=7955 GN=cb420 PE=3 SV=1, Danio_rerio_tr_Q08CH0_Q08CH0_DANRE tr|Q08CH0|Q08CH0_DANRE Cathepsin F OS=Danio rerio OX=7955 GN=cb420 PE=2 SV=1
OG0000081	Caenorhabditis_elegans_F09E8.2b F09E8.2b, Caenorhabditis_elegans_F56H11.1e F56H11.1e	Danio_rerio_sp_Q7SXF6_CREL2_DANRE sp|Q7SXF6|CREL2_DANRE Cysteine-rich with EGF-like domain protein 2 OS=Danio rerio OX=7955 GN=creld2 PE=2 SV=2
OG0000083	Caenorhabditis_elegans_T22C8.2 T22C8.2	Danio_rerio_tr_A0A8M1NJV4_A0A8M1NJV4_DANRE tr|A0A8M1NJV4|A0A8M1NJV4_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=si_dkey-20d21.13 PE=3 SV=1, Danio_rerio_tr_Q29RC1_Q29RC1_DANRE tr|Q29RC1|Q29RC1_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=hyal1 PE=2 SV=1, Danio_rerio_tr_A1L264_A1L264_DANRE tr|A1L264|A1L264_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=zgc_158668 PE=2 SV=1, Danio_rerio_tr_X1WD16_X1WD16_DANRE tr|X1WD16|X1WD16_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=LOC108181664 PE=3 SV=1, Danio_rerio_tr_A1L235_A1L235_DANRE tr|A1L235|A1L235_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=zgc_158626 PE=2 SV=1, Danio_rerio_tr_A0A8M3ATS4_A0A8M3ATS4_DANRE tr|A0A8M3ATS4|A0A8M3ATS4_DANRE Hyaluronidase OS=Danio rerio OX=7955 GN=hyal2a PE=3 SV=1
OG0000084	Caenorhabditis_elegans_C36B1.1d C36B1.1d	Danio_rerio_tr_B0S8G5_B0S8G5_DANRE tr|B0S8G5|B0S8G5_DANRE Col18a1 protein OS=Danio rerio OX=7955 GN=col18a1 PE=1 SV=1
OG0000088	Caenorhabditis_elegans_F10E7.4 F10E7.4	Danio_rerio_tr_O42114_O42114_DANRE tr|O42114|O42114_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=cb1051 PE=2 SV=1, Danio_rerio_tr_F1R2Z9_F1R2Z9_DANRE tr|F1R2Z9|F1R2Z9_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=F-spondin2 PE=4 SV=3, Danio_rerio_tr_O42113_O42113_DANRE tr|O42113|O42113_DANRE Spondin-1 OS=Danio rerio OX=7955 GN=F-spondin1 PE=2 SV=1
OG0000095	Caenorhabditis_elegans_T04F3.2 T04F3.2	Danio_rerio_tr_E7EDQ9_E7EDQ9_DANRE tr|E7EDQ9|E7EDQ9_DANRE SPARC-related modular calcium-binding 1 OS=Danio rerio OX=7955 GN=smoc1 PE=2 SV=1
OG0000102	Caenorhabditis_elegans_ZK783.1e ZK783.1e	Danio_rerio_tr_B8A4X3_B8A4X3_DANRE tr|B8A4X3|B8A4X3_DANRE Fibulin 5 OS=Danio rerio OX=7955 GN=zgc_103575 PE=1 SV=1, Danio_rerio_tr_Q5XJ74_Q5XJ74_DANRE tr|Q5XJ74|Q5XJ74_DANRE Fbln5 protein OS=Danio rerio OX=7955 GN=zgc_103575 PE=1 SV=1, Danio_rerio_tr_Q5PR37_Q5PR37_DANRE tr|Q5PR37|Q5PR37_DANRE EGF-containing fibulin-like extracellular matrix protein 2 OS=Danio rerio OX=7955 GN=efemp2 PE=1 SV=1, Danio_rerio_tr_Q5WQV6_Q5WQV6_DANRE tr|Q5WQV6|Q5WQV6_DANRE Acidic fibroblast growth factor intracellular-binding protein B isoform X1 OS=Danio rerio OX=7955 GN=LOC572703 PE=1 SV=2, Danio_rerio_tr_A0A0R4IL08_A0A0R4IL08_DANRE tr|A0A0R4IL08|A0A0R4IL08_DANRE Si_ch73-173h19.3 OS=Danio rerio OX=7955 GN=si_ch73-173h19.3 PE=4 SV=1
OG0000114	Caenorhabditis_elegans_C46A5.9 C46A5.9	Danio_rerio_tr_X1WCP5_X1WCP5_DANRE tr|X1WCP5|X1WCP5_DANRE Host cell factor 2 OS=Danio rerio OX=7955 GN=si_ch73-376i21.2 PE=4 SV=1
OG0000120	Caenorhabditis_elegans_F57C7.3b F57C7.3b	Danio_rerio_tr_Q0JY12_Q0JY12_DANRE tr|Q0JY12|Q0JY12_DANRE Syndecan 4 OS=Danio rerio OX=7955 GN=SDC4 PE=2 SV=1, Danio_rerio_tr_Q66I66_Q66I66_DANRE tr|Q66I66|Q66I66_DANRE Syndecan OS=Danio rerio OX=7955 GN=zgc_103676 PE=2 SV=1, Danio_rerio_tr_F1DFN3_F1DFN3_DANRE tr|F1DFN3|F1DFN3_DANRE Syndecan _Fragment_ OS=Danio rerio OX=7955 GN=sdc3 PE=2 SV=1
OG0000156	Caenorhabditis_elegans_F43G9.10 F43G9.10	Danio_rerio_tr_Q7ZTX7_Q7ZTX7_DANRE tr|Q7ZTX7|Q7ZTX7_DANRE Microfibrillar-associated protein 1 OS=Danio rerio OX=7955 GN=zgc_56551 PE=1 SV=1
OG0000202	Caenorhabditis_elegans_B0024.14d B0024.14d	Danio_rerio_sp_Q7T3Q2_CRIM1_DANRE sp|Q7T3Q2|CRIM1_DANRE Cysteine-rich motor neuron 1 protein OS=Danio rerio OX=7955 GN=crim1 PE=2 SV=1
OG0000248	Caenorhabditis_elegans_K03D10.1 K03D10.1	Danio_rerio_tr_Q1MT36_Q1MT36_DANRE tr|Q1MT36|Q1MT36_DANRE Anosmin 1b OS=Danio rerio OX=7955 GN=anosmin-1b PE=4 SV=1, Danio_rerio_tr_Q9IAR4_Q9IAR4_DANRE tr|Q9IAR4|Q9IAR4_DANRE Anosmin-1 OS=Danio rerio OX=7955 GN=wu_fl91z45 PE=2 SV=1
OG0000269	Caenorhabditis_elegans_F11C3.2 F11C3.2, Caenorhabditis_elegans_C48E7.5 C48E7.5	Danio_rerio_tr_F2Z4S9_F2Z4S9_DANRE tr|F2Z4S9|F2Z4S9_DANRE Gliomedin OS=Danio rerio OX=7955 GN=colm PE=4 SV=1
OG0000351	Caenorhabditis_elegans_K08B4.6 K08B4.6, Caenorhabditis_elegans_R01B10.1a R01B10.1a	Danio_rerio_tr_Q5XJ76_Q5XJ76_DANRE tr|Q5XJ76|Q5XJ76_DANRE Kininogen 1 OS=Danio rerio OX=7955 GN=fb64g01 PE=1 SV=1
