Orthogroup	Chordata_Vertebrata_Bos_taurus	Ctenophora_Tentaculata_Pleurobrachia_bachei
OG0000148	NP_001094653.1 transforming growth factor beta-3 proprotein [Bos taurus], sp|P21214.3|TGFB2_BOVIN RecName_ Full=Transforming growth factor beta-2 proprotein; AltName_ Full=Milk growth factor; Short=MGF; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-2; Short=TGF-beta-2; Flags_ Precursor, XP_005216841.1 transforming growth factor beta-2 proprotein isoform X1 [Bos taurus], sp|P18341.2|TGFB1_BOVIN RecName_ Full=Transforming growth factor beta-1 proprotein; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-1; Short=TGF-beta-1; Flags_ Precursor, sp|P18341.2|TGFB1_BOVIN RecName_ Full=Transforming growth factor beta-1 proprotein; Contains_ RecName_ Full=Latency-associated peptide; Short=LAP; Contains_ RecName_ Full=Transforming growth factor beta-1; Short=TGF-beta-1; Flags_ Precursor	Pleurobrachia_bachei_sb_2638472_ sb_2638472_
OG0000156	sp|Q5EA98.1|MFAP1_BOVIN RecName_ Full=Microfibrillar-associated protein 1; AltName_ Full=Spliceosome B complex protein MFAP1	Pleurobrachia_bachei_sb_2660631_ sb_2660631_, Pleurobrachia_bachei_sb_2660632_ sb_2660632_
OG0000166	NP_001069232.1 secreted frizzled-related protein 4 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2639839_ sb_2639839_
OG0000171	XP_059738228.1 peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2650981_ sb_2650981_
OG0000174	XP_010814270.1 C-type lectin domain family 10 member A isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2666795_ sb_2666795_, Pleurobrachia_bachei_sb_2638330_ sb_2638330_, Pleurobrachia_bachei_sb_2662165_ sb_2662165_, Pleurobrachia_bachei_sb_2641392_ sb_2641392_, Pleurobrachia_bachei_sb_2641391_ sb_2641391_, Pleurobrachia_bachei_sb_2662166_ sb_2662166_, Pleurobrachia_bachei_sb_2641390_ sb_2641390_, Pleurobrachia_bachei_sb_2641867_ sb_2641867_, Pleurobrachia_bachei_sb_2638077_ sb_2638077_, Pleurobrachia_bachei_sb_2668516_ sb_2668516_, Pleurobrachia_bachei_sb_2649219_ sb_2649219_, Pleurobrachia_bachei_sb_2656804_ sb_2656804_, Pleurobrachia_bachei_sb_2648738_ sb_2648738_, Pleurobrachia_bachei_sb_2668505_ sb_2668505_, Pleurobrachia_bachei_sb_2667418_ sb_2667418_, Pleurobrachia_bachei_sb_2660512_ sb_2660512_, Pleurobrachia_bachei_sb_2653953_ sb_2653953_, Pleurobrachia_bachei_sb_2653951_ sb_2653951_, Pleurobrachia_bachei_sb_2650150_ sb_2650150_, Pleurobrachia_bachei_sb_2650151_ sb_2650151_, Pleurobrachia_bachei_sb_2650149_ sb_2650149_, Pleurobrachia_bachei_sb_2653251_ sb_2653251_, Pleurobrachia_bachei_sb_2650148_ sb_2650148_, Pleurobrachia_bachei_sb_2665891_ sb_2665891_
OG0000177	XP_010801455.2 oviduct-specific glycoprotein isoform X1 [Bos taurus]	Pleurobrachia_bachei_sb_2656763_ sb_2656763_
OG0000181	NP_001099091.1 R-spondin-1 precursor [Bos taurus], sp|Q1RMU1.1|RSPO3_BOVIN RecName_ Full=R-spondin-3; AltName_ Full=Roof plate-specific spondin-3; Flags_ Precursor, NP_001193021.1 R-spondin-2 precursor [Bos taurus], XP_002692324.1 R-spondin-4 [Bos taurus]	Pleurobrachia_bachei_sb_2653605_ sb_2653605_
OG0000182	NP_001068891.1 2_4-dienoyl-CoA reductase [_3E_-enoyl-CoA-producing]_ mitochondrial [Bos taurus]	Pleurobrachia_bachei_sb_2656174_ sb_2656174_
OG0000202	NP_001192227.2 cysteine-rich motor neuron 1 protein precursor [Bos taurus]	Pleurobrachia_bachei_sb_2658820_ sb_2658820_
OG0000209	DAA23975.1 TPA_ integrator complex subunit 6 [Bos taurus]	Pleurobrachia_bachei_sb_2649904_ sb_2649904_
OG0000214	sp|Q5EA76.1|INT14_BOVIN RecName_ Full=Integrator complex subunit 14; AltName_ Full=von Willebrand factor A domain-containing protein 9	Pleurobrachia_bachei_sb_2668479_ sb_2668479_
OG0000277	NP_001094702.1 carboxypeptidase N subunit 2 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2653972_ sb_2653972_
OG0000348	XP_024844360.1 nyctalopin [Bos taurus]	Pleurobrachia_bachei_sb_2643644_ sb_2643644_
OG0000393	NP_001291206.1 relaxin receptor 2 precursor [Bos taurus]	Pleurobrachia_bachei_sb_2666968_ sb_2666968_, Pleurobrachia_bachei_sb_2662634_ sb_2662634_, Pleurobrachia_bachei_sb_2647432_ sb_2647432_, Pleurobrachia_bachei_sb_2643574_ sb_2643574_
OG0000864	pdb|7O7F|B Chain B_ Guanine nucleotide-binding protein G_I_/G_S_/G_T_ subunit beta-1	Pleurobrachia_bachei_sb_2668689_ sb_2668689_
OG0001122	XP_024846044.1 LOW QUALITY PROTEIN_ erythroferrone [Bos taurus]	Pleurobrachia_bachei_sb_2656004_ sb_2656004_
OG0001914	NP_001304116.1 protein argonaute-1 isoform 1x [Bos taurus]	Pleurobrachia_bachei_sb_2646249_ sb_2646249_
