Orthogroup	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Mus_musculus
OG0000007	DAA30889.1 TPA_ 6720455I24Rik homolog [Bos taurus]	Mus_musculus_sp_Q70E20_SNED1_MOUSE sp_Q70E20_SNED1_MOUSE Sushi_ nidogen and EGF-like domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sned1 PE=2 SV=2
OG0000007	XP_024850630.1 mucin-4 isoform X1 [Bos taurus]	Mus_musculus_sp_Q8JZM8_MUC4_MOUSE sp_Q8JZM8_MUC4_MOUSE Mucin-4 OS=Mus musculus OX=10090 GN=Muc4 PE=2 SV=2
OG0000009	DAA14866.1 TPA_ tolloid-like 2-like [Bos taurus], XP_002698454.2 tolloid-like protein 2 isoform X1 [Bos taurus]	Mus_musculus_sp_Q9WVM6_TLL2_MOUSE sp_Q9WVM6_TLL2_MOUSE Tolloid-like protein 2 OS=Mus musculus OX=10090 GN=Tll2 PE=1 SV=1
OG0000009	NP_001180043.1 tolloid-like protein 1 precursor [Bos taurus]	Mus_musculus_sp_Q62381_TLL1_MOUSE sp_Q62381_TLL1_MOUSE Tolloid-like protein 1 OS=Mus musculus OX=10090 GN=Tll1 PE=1 SV=1
OG0000009	NP_001007814.1 tumor necrosis factor-inducible gene 6 protein precursor [Bos taurus]	Mus_musculus_sp_O08859_TSG6_MOUSE sp_O08859_TSG6_MOUSE Tumor necrosis factor-inducible gene 6 protein OS=Mus musculus OX=10090 GN=Tnfaip6 PE=1 SV=1
OG0000009	NP_001069097.1 procollagen C-endopeptidase enhancer 2 precursor [Bos taurus]	Mus_musculus_sp_Q8R4W6_PCOC2_MOUSE sp_Q8R4W6_PCOC2_MOUSE Procollagen C-endopeptidase enhancer 2 OS=Mus musculus OX=10090 GN=Pcolce2 PE=2 SV=2
OG0000010	XP_010808812.1 hemicentin-2 isoform X1 [Bos taurus]	Mus_musculus_sp_A2AJ76_HMCN2_MOUSE sp_A2AJ76_HMCN2_MOUSE Hemicentin-2 OS=Mus musculus OX=10090 GN=Hmcn2 PE=1 SV=1
OG0000010	XP_024846455.1 immunoglobulin superfamily member 10 isoform X1 [Bos taurus]	Mus_musculus_sp_Q3V1M1_IGS10_MOUSE sp_Q3V1M1_IGS10_MOUSE Immunoglobulin superfamily member 10 OS=Mus musculus OX=10090 GN=Igsf10 PE=2 SV=2
OG0000010	XP_015316344.2 basement membrane-specific heparan sulfate proteoglycan core protein isoform X1 [Bos taurus]	Mus_musculus_sp_Q05793_PGBM_MOUSE sp_Q05793_PGBM_MOUSE Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1
OG0000010	XP_005217262.1 agrin isoform X1 [Bos taurus]	Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1, Mus_musculus_sp_A2ASQ1_AGRIN_MOUSE sp_A2ASQ1_AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1
OG0000011	XP_005222860.2 hepatocyte growth factor-like protein isoform X1 [Bos taurus]	Mus_musculus_sp_P26928_HGFL_MOUSE sp_P26928_HGFL_MOUSE Hepatocyte growth factor-like protein OS=Mus musculus OX=10090 GN=Mst1 PE=2 SV=2
OG0000011	NP_001026921.1 hepatocyte growth factor precursor [Bos taurus]	Mus_musculus_sp_Q08048_HGF_MOUSE sp_Q08048_HGF_MOUSE Hepatocyte growth factor OS=Mus musculus OX=10090 GN=Hgf PE=1 SV=1, Mus_musculus_sp_Q08048_HGF_MOUSE sp_Q08048_HGF_MOUSE Hepatocyte growth factor OS=Mus musculus OX=10090 GN=Hgf PE=1 SV=1
OG0000011	NP_776302.1 prothrombin precursor [Bos taurus]	Mus_musculus_sp_P19221_THRB_MOUSE sp_P19221_THRB_MOUSE Prothrombin OS=Mus musculus OX=10090 GN=F2 PE=1 SV=1
OG0000011	sp|Q5E9Z2.1|HABP2_BOVIN RecName_ Full=Hyaluronan-binding protein 2; Contains_ RecName_ Full=Hyaluronan-binding protein 2 50 kDa heavy chain; Contains_ RecName_ Full=Hyaluronan-binding protein 2 50 kDa heavy chain alternate form; Contains_ RecName_ Full=Hyaluronan-binding protein 2 27 kDa light chain; Contains_ RecName_ Full=Hyaluronan-binding protein 2 27 kDa light chain alternate form; Flags_ Precursor	Mus_musculus_sp_Q8K0D2_HABP2_MOUSE sp_Q8K0D2_HABP2_MOUSE Hyaluronan-binding protein 2 OS=Mus musculus OX=10090 GN=Habp2 PE=1 SV=2
OG0000011	sp|Q05589.1|UROK_BOVIN RecName_ Full=Urokinase-type plasminogen activator; Short=U-plasminogen activator; Short=uPA; Contains_ RecName_ Full=Urokinase-type plasminogen activator long chain A; Contains_ RecName_ Full=Urokinase-type plasminogen activator short chain A; Contains_ RecName_ Full=Urokinase-type plasminogen activator chain B; Flags_ Precursor	Mus_musculus_sp_P06869_UROK_MOUSE sp_P06869_UROK_MOUSE Urokinase-type plasminogen activator OS=Mus musculus OX=10090 GN=Plau PE=1 SV=1
OG0000011	NP_776571.2 tissue-type plasminogen activator precursor [Bos taurus]	Mus_musculus_sp_P11214_TPA_MOUSE sp_P11214_TPA_MOUSE Tissue-type plasminogen activator OS=Mus musculus OX=10090 GN=Plat PE=1 SV=3
OG0000011	sp|P98140.2|FA12_BOVIN RecName_ Full=Coagulation factor XII; AltName_ Full=Hageman factor; Short=HAF; Contains_ RecName_ Full=Coagulation factor XIIa heavy chain; Contains_ RecName_ Full=Coagulation factor XIIa light chain; Flags_ Precursor	Mus_musculus_sp_Q80YC5_FA12_MOUSE sp_Q80YC5_FA12_MOUSE Coagulation factor XII OS=Mus musculus OX=10090 GN=F12 PE=1 SV=2
OG0000011	XP_024848718.2 hepatocyte growth factor activator isoform X1 [Bos taurus]	Mus_musculus_sp_Q9R098_HGFA_MOUSE sp_Q9R098_HGFA_MOUSE Hepatocyte growth factor activator OS=Mus musculus OX=10090 GN=Hgfac PE=1 SV=1
OG0000011	sp|P06868.2|PLMN_BOVIN RecName_ Full=Plasminogen; Contains_ RecName_ Full=Plasmin heavy chain A; Contains_ RecName_ Full=Activation peptide; Contains_ RecName_ Full=Plasmin heavy chain A_ short form; Contains_ RecName_ Full=Plasmin light chain B; Flags_ Precursor	Mus_musculus_sp_P20918_PLMN_MOUSE sp_P20918_PLMN_MOUSE Plasminogen OS=Mus musculus OX=10090 GN=Plg PE=1 SV=3
OG0000012	sp|P98091.2|MUC19_BOVIN RecName_ Full=Mucin-19; Short=MUC-19; AltName_ Full=Submaxillary mucin-like protein; Flags_ Precursor	Mus_musculus_sp_Q6PZE0_MUC19_MOUSE sp_Q6PZE0_MUC19_MOUSE Mucin-19 OS=Mus musculus OX=10090 GN=Muc19 PE=2 SV=2
OG0000012	XP_024843363.1 LOW QUALITY PROTEIN_ mucin-2 [Bos taurus]	Mus_musculus_sp_Q80Z19_MUC2_MOUSE sp_Q80Z19_MUC2_MOUSE Mucin-2 _Fragment_ OS=Mus musculus OX=10090 GN=Muc2 PE=1 SV=2
OG0000012	sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor	Mus_musculus_sp_Q8CG65_SSPO_MOUSE sp_Q8CG65_SSPO_MOUSE SCO-spondin OS=Mus musculus OX=10090 GN=Sspo PE=2 SV=2
OG0000012	pir||A34102 von Willebrand factor - bovine _fragments_	Mus_musculus_sp_Q8CIZ8_VWF_MOUSE sp_Q8CIZ8_VWF_MOUSE von Willebrand factor OS=Mus musculus OX=10090 GN=Vwf PE=1 SV=2
OG0000012	XP_059742803.1 otogelin-like protein [Bos taurus]	Mus_musculus_sp_F7A4A7_OTOGL_MOUSE sp_F7A4A7_OTOGL_MOUSE Otogelin-like protein OS=Mus musculus OX=10090 GN=Otogl PE=1 SV=1
OG0000012	DAA22321.1 TPA_ Otogelin-like [Bos taurus]	Mus_musculus_sp_O55225_OTOG_MOUSE sp_O55225_OTOG_MOUSE Otogelin OS=Mus musculus OX=10090 GN=Otog PE=1 SV=3, Mus_musculus_sp_O55225_OTOG_MOUSE sp_O55225_OTOG_MOUSE Otogelin OS=Mus musculus OX=10090 GN=Otog PE=1 SV=3
OG0000012	XP_015330193.2 LOW QUALITY PROTEIN_ alpha-tectorin [Bos taurus]	Mus_musculus_sp_O08523_TECTA_MOUSE sp_O08523_TECTA_MOUSE Alpha-tectorin OS=Mus musculus OX=10090 GN=Tecta PE=1 SV=2
OG0000012	NP_001071465.1 BMP-binding endothelial regulator protein precursor [Bos taurus]	Mus_musculus_sp_Q8CJ69_BMPER_MOUSE sp_Q8CJ69_BMPER_MOUSE BMP-binding endothelial regulator protein OS=Mus musculus OX=10090 GN=Bmper PE=1 SV=1
OG0000012	DAA30402.1 TPA_ kielin/chordin-like protein [Bos taurus]	Mus_musculus_sp_Q3U492_KCP_MOUSE sp_Q3U492_KCP_MOUSE Kielin_chordin-like protein OS=Mus musculus OX=10090 GN=Kcp PE=1 SV=2
OG0000012	NP_001178138.1 von Willebrand factor C and EGF domain-containing protein precursor [Bos taurus]	Mus_musculus_sp_Q3U515_VWCE_MOUSE sp_Q3U515_VWCE_MOUSE von Willebrand factor C and EGF domain-containing protein OS=Mus musculus OX=10090 GN=Vwce PE=2 SV=2
OG0000013	sp|Q5E9U6.1|WNT16_BOVIN RecName_ Full=Protein Wnt-16; Flags_ Precursor	Mus_musculus_sp_Q9QYS1_WNT16_MOUSE sp_Q9QYS1_WNT16_MOUSE Protein Wnt-16 OS=Mus musculus OX=10090 GN=Wnt16 PE=2 SV=2
OG0000013	NP_001107663.1 proto-oncogene Wnt-1 precursor [Bos taurus]	Mus_musculus_sp_P04426_WNT1_MOUSE sp_P04426_WNT1_MOUSE Proto-oncogene Wnt-1 OS=Mus musculus OX=10090 GN=Wnt1 PE=1 SV=1
OG0000013	NP_001192953.1 proto-oncogene Wnt-3 precursor [Bos taurus]	Mus_musculus_sp_P17553_WNT3_MOUSE sp_P17553_WNT3_MOUSE Proto-oncogene Wnt-3 OS=Mus musculus OX=10090 GN=Wnt3 PE=1 SV=1
OG0000013	XP_024838518.1 protein Wnt-4 isoform X1 [Bos taurus]	Mus_musculus_sp_P22724_WNT4_MOUSE sp_P22724_WNT4_MOUSE Protein Wnt-4 OS=Mus musculus OX=10090 GN=Wnt4 PE=1 SV=1
OG0000013	XP_059742210.1 protein Wnt-5b isoform X1 [Bos taurus]	Mus_musculus_sp_P22726_WNT5B_MOUSE sp_P22726_WNT5B_MOUSE Protein Wnt-5b OS=Mus musculus OX=10090 GN=Wnt5b PE=1 SV=2
OG0000013	NP_001075925.1 protein Wnt-11 [Bos taurus]	Mus_musculus_sp_P48615_WNT11_MOUSE sp_P48615_WNT11_MOUSE Protein Wnt-11 OS=Mus musculus OX=10090 GN=Wnt11 PE=2 SV=1
OG0000013	NP_001179717.1 protein Wnt-7a [Bos taurus], XP_024848596.2 protein Wnt-7b isoform X1 [Bos taurus]	Mus_musculus_sp_P28047_WNT7B_MOUSE sp_P28047_WNT7B_MOUSE Protein Wnt-7b OS=Mus musculus OX=10090 GN=Wnt7b PE=1 SV=1
OG0000013	NP_001092833.1 protein Wnt-2b [Bos taurus]	Mus_musculus_sp_O70283_WNT2B_MOUSE sp_O70283_WNT2B_MOUSE Protein Wnt-2b OS=Mus musculus OX=10090 GN=Wnt2b PE=2 SV=3
OG0000013	NP_001179299.1 protein Wnt-8a [Bos taurus]	Mus_musculus_sp_Q64527_WNT8A_MOUSE sp_Q64527_WNT8A_MOUSE Protein Wnt-8a OS=Mus musculus OX=10090 GN=Wnt8a PE=2 SV=2
OG0000013	DAA29954.1 TPA_ wingless-type MMTV integration site family_ member 10B-like [Bos taurus]	Mus_musculus_sp_P48614_WN10B_MOUSE sp_P48614_WN10B_MOUSE Protein Wnt-10b OS=Mus musculus OX=10090 GN=Wnt10b PE=2 SV=1
OG0000013	XP_005202916.1 protein Wnt-10a isoform X1 [Bos taurus]	Mus_musculus_sp_P70701_WN10A_MOUSE sp_P70701_WN10A_MOUSE Protein Wnt-10a OS=Mus musculus OX=10090 GN=Wnt10a PE=2 SV=1
OG0000013	XP_024836921.2 protein Wnt-9b [Bos taurus]	Mus_musculus_sp_O35468_WNT9B_MOUSE sp_O35468_WNT9B_MOUSE Protein Wnt-9b OS=Mus musculus OX=10090 GN=Wnt9b PE=2 SV=2
OG0000013	DAA28331.1 TPA_ wingless-type MMTV integration site 9A-like [Bos taurus]	Mus_musculus_sp_Q8R5M2_WNT9A_MOUSE sp_Q8R5M2_WNT9A_MOUSE Protein Wnt-9a OS=Mus musculus OX=10090 GN=Wnt9a PE=2 SV=1
OG0000014	XP_024855422.1 A disintegrin and metalloproteinase with thrombospondin motifs 13 [Bos taurus]	Mus_musculus_sp_Q769J6_ATS13_MOUSE sp_Q769J6_ATS13_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 13 OS=Mus musculus OX=10090 GN=Adamts13 PE=1 SV=1
OG0000014	XP_059746586.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Bos taurus]	Mus_musculus_sp_Q3UTY6_THSD4_MOUSE sp_Q3UTY6_THSD4_MOUSE Thrombospondin type-1 domain-containing protein 4 OS=Mus musculus OX=10090 GN=Thsd4 PE=1 SV=2
OG0000014	XP_024851836.1 ADAMTS-like protein 1 isoform X1 [Bos taurus]	Mus_musculus_sp_Q8BLI0_ATL1_MOUSE sp_Q8BLI0_ATL1_MOUSE ADAMTS-like protein 1 OS=Mus musculus OX=10090 GN=Adamtsl1 PE=2 SV=2
OG0000014	XP_059734805.1 A disintegrin and metalloproteinase with thrombospondin motifs 16 [Bos taurus]	Mus_musculus_sp_Q69Z28_ATS16_MOUSE sp_Q69Z28_ATS16_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 16 OS=Mus musculus OX=10090 GN=Adamts16 PE=2 SV=2
OG0000014	sp|P79331.1|ATS2_BOVIN RecName_ Full=A disintegrin and metalloproteinase with thrombospondin motifs 2; Short=ADAM-TS 2; Short=ADAM-TS2; Short=ADAMTS-2; AltName_ Full=Procollagen I N-proteinase; Short=PC I-NP; AltName_ Full=Procollagen I/II amino propeptide-processing enzyme; AltName_ Full=Procollagen N-endopeptidase; Short=pNPI; Flags_ Precursor	Mus_musculus_sp_Q8C9W3_ATS2_MOUSE sp_Q8C9W3_ATS2_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Mus musculus OX=10090 GN=Adamts2 PE=1 SV=2
OG0000014	XP_059744100.1 A disintegrin and metalloproteinase with thrombospondin motifs 10 isoform X1 [Bos taurus]	Mus_musculus_sp_P58459_ATS10_MOUSE sp_P58459_ATS10_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 10 OS=Mus musculus OX=10090 GN=Adamts10 PE=2 SV=3
OG0000014	NP_001179538.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 precursor [Bos taurus]	Mus_musculus_sp_Q811B3_ATS12_MOUSE sp_Q811B3_ATS12_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Mus musculus OX=10090 GN=Adamts12 PE=2 SV=2
OG0000014	NP_001193043.1 A disintegrin and metalloproteinase with thrombospondin motifs 19 precursor [Bos taurus]	Mus_musculus_sp_P59509_ATS19_MOUSE sp_P59509_ATS19_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Mus musculus OX=10090 GN=Adamts19 PE=2 SV=1
OG0000014	XP_024853897.1 papilin isoform X1 [Bos taurus]	Mus_musculus_sp_Q9EPX2_PPN_MOUSE sp_Q9EPX2_PPN_MOUSE Papilin OS=Mus musculus OX=10090 GN=Papln PE=2 SV=2
OG0000014	NP_001159987.1 A disintegrin and metalloproteinase with thrombospondin motifs 5 precursor [Bos taurus]	Mus_musculus_sp_Q9R001_ATS5_MOUSE sp_Q9R001_ATS5_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Mus musculus OX=10090 GN=Adamts5 PE=2 SV=2
OG0000014	NP_001094550.1 A disintegrin and metalloproteinase with thrombospondin motifs 1 [Bos taurus]	Mus_musculus_sp_P97857_ATS1_MOUSE sp_P97857_ATS1_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Mus musculus OX=10090 GN=Adamts1 PE=1 SV=4
OG0000014	NP_001179254.2 A disintegrin and metalloproteinase with thrombospondin motifs 8 precursor [Bos taurus]	Mus_musculus_sp_P57110_ATS8_MOUSE sp_P57110_ATS8_MOUSE A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Mus musculus OX=10090 GN=Adamts8 PE=2 SV=1
OG0000015	XP_005225807.1 beta-tectorin isoform X1 [Bos taurus]	Mus_musculus_sp_O08524_TECTB_MOUSE sp_O08524_TECTB_MOUSE Beta-tectorin OS=Mus musculus OX=10090 GN=Tectb PE=1 SV=2
OG0000016	NP_001193569.1 macrophage metalloelastase precursor [Bos taurus]	Mus_musculus_sp_P34960_MMP12_MOUSE sp_P34960_MMP12_MOUSE Macrophage metalloelastase OS=Mus musculus OX=10090 GN=Mmp12 PE=1 SV=3
OG0000016	NP_001193566.1 stromelysin-1 precursor [Bos taurus]	Mus_musculus_sp_P28862_MMP3_MOUSE sp_P28862_MMP3_MOUSE Stromelysin-1 OS=Mus musculus OX=10090 GN=Mmp3 PE=2 SV=2, Mus_musculus_sp_O55123_MMP10_MOUSE sp_O55123_MMP10_MOUSE Stromelysin-2 OS=Mus musculus OX=10090 GN=Mmp10 PE=2 SV=1
OG0000016	sp|O18767.1|MMP20_BOVIN RecName_ Full=Matrix metalloproteinase-20; Short=MMP-20; AltName_ Full=Enamel metalloproteinase; AltName_ Full=Enamelysin; Flags_ Precursor	Mus_musculus_sp_Q10738_MMP7_MOUSE sp_Q10738_MMP7_MOUSE Matrilysin OS=Mus musculus OX=10090 GN=Mmp7 PE=2 SV=1
OG0000016	XP_024833618.1 stromelysin-3 [Bos taurus]	Mus_musculus_sp_Q02853_MMP11_MOUSE sp_Q02853_MMP11_MOUSE Stromelysin-3 OS=Mus musculus OX=10090 GN=Mmp11 PE=1 SV=2
OG0000016	sp|Q9GLE4.1|MMP14_BOVIN RecName_ Full=Matrix metalloproteinase-14; Short=MMP-14; AltName_ Full=Membrane-type matrix metalloproteinase 1; Short=MT-MMP 1; Short=MTMMP1; AltName_ Full=Membrane-type-1 matrix metalloproteinase; Short=MT1-MMP; Short=MT1MMP; Flags_ Precursor	Mus_musculus_sp_P53690_MMP14_MOUSE sp_P53690_MMP14_MOUSE Matrix metalloproteinase-14 OS=Mus musculus OX=10090 GN=Mmp14 PE=2 SV=3
OG0000016	XP_024856667.1 matrix metalloproteinase-24 [Bos taurus]	Mus_musculus_sp_Q9R0S2_MMP24_MOUSE sp_Q9R0S2_MMP24_MOUSE Matrix metalloproteinase-24 OS=Mus musculus OX=10090 GN=Mmp24 PE=1 SV=2
OG0000016	NP_001179551.1 matrix metalloproteinase-16 [Bos taurus]	Mus_musculus_sp_Q9WTR0_MMP16_MOUSE sp_Q9WTR0_MMP16_MOUSE Matrix metalloproteinase-16 OS=Mus musculus OX=10090 GN=Mmp16 PE=2 SV=3
OG0000016	NP_001178363.1 matrix metalloproteinase-15 precursor [Bos taurus]	Mus_musculus_sp_O54732_MMP15_MOUSE sp_O54732_MMP15_MOUSE Matrix metalloproteinase-15 OS=Mus musculus OX=10090 GN=Mmp15 PE=2 SV=1
OG0000016	DAA15654.1 TPA_ matrix metalloproteinase 25 preproprotein-like [Bos taurus]	Mus_musculus_sp_Q3U435_MMP25_MOUSE sp_Q3U435_MMP25_MOUSE Matrix metalloproteinase-25 OS=Mus musculus OX=10090 GN=Mmp25 PE=2 SV=1
OG0000016	XP_002694502.1 matrix metalloproteinase-17 isoform X1 [Bos taurus]	Mus_musculus_sp_Q9R0S3_MMP17_MOUSE sp_Q9R0S3_MMP17_MOUSE Matrix metalloproteinase-17 OS=Mus musculus OX=10090 GN=Mmp17 PE=1 SV=3
OG0000016	XP_024847653.1 matrix metalloproteinase-19 isoform X2 [Bos taurus], XP_024836411.1 matrix metalloproteinase-28 isoform X1 [Bos taurus]	Mus_musculus_sp_Q9JHI0_MMP19_MOUSE sp_Q9JHI0_MMP19_MOUSE Matrix metalloproteinase-19 OS=Mus musculus OX=10090 GN=Mmp19 PE=2 SV=1
OG0000017	NP_001179167.1 neuroserpin precursor [Bos taurus]	Mus_musculus_sp_O35684_NEUS_MOUSE sp_O35684_NEUS_MOUSE Neuroserpin OS=Mus musculus OX=10090 GN=Serpini1 PE=1 SV=1
OG0000017	NP_001095524.1 serpin I2 precursor [Bos taurus]	Mus_musculus_sp_Q9JK88_SPI2_MOUSE sp_Q9JK88_SPI2_MOUSE Serpin I2 OS=Mus musculus OX=10090 GN=Serpini2 PE=1 SV=1
OG0000017	sp|P13909.1|PAI1_BOVIN RecName_ Full=Plasminogen activator inhibitor 1; Short=PAI; Short=PAI-1; AltName_ Full=Endothelial plasminogen activator inhibitor; AltName_ Full=Serpin E1; Flags_ Precursor	Mus_musculus_sp_P22777_PAI1_MOUSE sp_P22777_PAI1_MOUSE Plasminogen activator inhibitor 1 OS=Mus musculus OX=10090 GN=Serpine1 PE=1 SV=1
OG0000017	sp|P41361.2|ANT3_BOVIN RecName_ Full=Antithrombin-III; Short=ATIII; AltName_ Full=Serpin C1; Flags_ Precursor	Mus_musculus_sp_P32261_ANT3_MOUSE sp_P32261_ANT3_MOUSE Antithrombin-III OS=Mus musculus OX=10090 GN=Serpinc1 PE=1 SV=1
OG0000017	XP_024839237.1 leukocyte elastase inhibitor isoform X1 [Bos taurus]	Mus_musculus_sp_Q5SV42_ILEUC_MOUSE sp_Q5SV42_ILEUC_MOUSE Leukocyte elastase inhibitor C OS=Mus musculus OX=10090 GN=Serpinb1c PE=1 SV=1, Mus_musculus_sp_Q8VHP7_ILEUB_MOUSE sp_Q8VHP7_ILEUB_MOUSE Leukocyte elastase inhibitor B OS=Mus musculus OX=10090 GN=Serpinb1b PE=1 SV=1, Mus_musculus_sp_Q9D154_ILEUA_MOUSE sp_Q9D154_ILEUA_MOUSE Leukocyte elastase inhibitor A OS=Mus musculus OX=10090 GN=Serpinb1a PE=1 SV=1
OG0000017	XP_059736204.1 serpin B6 isoform X1 [Bos taurus], NP_001069327.1 serpin B9 [Bos taurus], XP_015315532.1 serpin B8 isoform X1 [Bos taurus]	Mus_musculus_sp_O08800_SPB8_MOUSE sp_O08800_SPB8_MOUSE Serpin B8 OS=Mus musculus OX=10090 GN=Serpinb8 PE=1 SV=2
OG0000017	XP_024840088.1 serpin B5 isoform X1 [Bos taurus]	Mus_musculus_sp_P70124_SPB5_MOUSE sp_P70124_SPB5_MOUSE Serpin B5 OS=Mus musculus OX=10090 GN=Serpinb5 PE=1 SV=1
OG0000017	NP_001178980.1 plasminogen activator inhibitor 2 [Bos taurus]	Mus_musculus_sp_P12388_PAI2_MOUSE sp_P12388_PAI2_MOUSE Plasminogen activator inhibitor 2_ macrophage OS=Mus musculus OX=10090 GN=Serpinb2 PE=1 SV=1
OG0000017	XP_024840297.1 serpin B12 [Bos taurus]	Mus_musculus_sp_Q9D7P9_SPB12_MOUSE sp_Q9D7P9_SPB12_MOUSE Serpin B12 OS=Mus musculus OX=10090 GN=Serpinb12 PE=2 SV=1
OG0000017	NP_001095792.2 serpin B4 [Bos taurus]	Mus_musculus_sp_Q8CDC0_SPB13_MOUSE sp_Q8CDC0_SPB13_MOUSE Serpin B13 OS=Mus musculus OX=10090 GN=Serpinb13 PE=2 SV=2
OG0000017	XP_059737104.1 LOW QUALITY PROTEIN_ serpin B11 [Bos taurus]	Mus_musculus_sp_Q9CQV3_SPB11_MOUSE sp_Q9CQV3_SPB11_MOUSE Serpin B11 OS=Mus musculus OX=10090 GN=Serpinb11 PE=2 SV=1
OG0000017	XP_010799074.2 serpin B7 isoform X1 [Bos taurus]	Mus_musculus_sp_Q9D695_SPB7_MOUSE sp_Q9D695_SPB7_MOUSE Serpin B7 OS=Mus musculus OX=10090 GN=Serpinb7 PE=2 SV=1
OG0000017	NP_001092467.1 protein Z-dependent protease inhibitor precursor [Bos taurus]	Mus_musculus_sp_Q8R121_ZPI_MOUSE sp_Q8R121_ZPI_MOUSE Protein Z-dependent protease inhibitor OS=Mus musculus OX=10090 GN=Serpina10 PE=1 SV=1
OG0000017	sp|P34955.1|A1AT_BOVIN RecName_ Full=Alpha-1-antiproteinase; AltName_ Full=Alpha-1-antitrypsin; AltName_ Full=Alpha-1-proteinase inhibitor; AltName_ Full=Serpin A1; Flags_ Precursor, sp|P34955.1|A1AT_BOVIN RecName_ Full=Alpha-1-antiproteinase; AltName_ Full=Alpha-1-antitrypsin; AltName_ Full=Alpha-1-proteinase inhibitor; AltName_ Full=Serpin A1; Flags_ Precursor	Mus_musculus_sp_Q00898_A1AT5_MOUSE sp_Q00898_A1AT5_MOUSE Alpha-1-antitrypsin 1-5 OS=Mus musculus OX=10090 GN=Serpina1e PE=1 SV=1, Mus_musculus_sp_Q00897_A1AT4_MOUSE sp_Q00897_A1AT4_MOUSE Alpha-1-antitrypsin 1-4 OS=Mus musculus OX=10090 GN=Serpina1d PE=1 SV=1, Mus_musculus_sp_Q00896_A1AT3_MOUSE sp_Q00896_A1AT3_MOUSE Alpha-1-antitrypsin 1-3 OS=Mus musculus OX=10090 GN=Serpina1c PE=1 SV=2, Mus_musculus_sp_P07758_A1AT1_MOUSE sp_P07758_A1AT1_MOUSE Alpha-1-antitrypsin 1-1 OS=Mus musculus OX=10090 GN=Serpina1a PE=1 SV=4, Mus_musculus_sp_P22599_A1AT2_MOUSE sp_P22599_A1AT2_MOUSE Alpha-1-antitrypsin 1-2 OS=Mus musculus OX=10090 GN=Serpina1b PE=1 SV=2
OG0000017	XP_059735117.1 serpin A11 isoform X1 [Bos taurus]	Mus_musculus_sp_Q8CIE0_SPA11_MOUSE sp_Q8CIE0_SPA11_MOUSE Serpin A11 OS=Mus musculus OX=10090 GN=Serpina11 PE=2 SV=1
OG0000017	sp|Q9TT36.1|THBG_BOVIN RecName_ Full=Thyroxine-binding globulin; AltName_ Full=Serpin A7; AltName_ Full=T4-binding globulin; Flags_ Precursor	Mus_musculus_sp_P61939_THBG_MOUSE sp_P61939_THBG_MOUSE Thyroxine-binding globulin OS=Mus musculus OX=10090 GN=Serpina7 PE=2 SV=1
