Orthogroup	Chordata_Vertebrata_Bos_taurus	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000081	sp|Q2KIT5.1|CREL2_BOVIN RecName_ Full=Protein disulfide isomerase CRELD2; AltName_ Full=Cysteine-rich with EGF-like domain protein 2; Flags_ Precursor, sp|Q5EA46.1|CREL1_BOVIN RecName_ Full=Protein disulfide isomerase CRELD1; AltName_ Full=Cysteine-rich with EGF-like domain protein 1; Flags_ Precursor	Clytia_hemispherica_TCONS_00053462-protein TCONS_00053462-protein, Clytia_hemispherica_TCONS_00022711-protein TCONS_00022711-protein, Clytia_hemispherica_TCONS_00006563-protein TCONS_00006563-protein
OG0000084	NP_001178214.2 collagen alpha-1_XV_ chain precursor [Bos taurus], XP_024830782.1 collagen alpha-1_XVIII_ chain isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00057688-protein TCONS_00057688-protein
OG0000089	XP_059739242.1 chordin-like protein 1 isoform X8 [Bos taurus], XP_005216309.1 chordin-like protein 2 isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00004749-protein TCONS_00004749-protein
OG0000112	DAA14878.1 TPA_ heparanase 2 isoform 2 [Bos taurus], sp|Q9MYY0.2|HPSE_BOVIN RecName_ Full=Heparanase; Contains_ RecName_ Full=Heparanase 8 kDa subunit; Contains_ RecName_ Full=Heparanase 50 kDa subunit; Flags_ Precursor	Clytia_hemispherica_TCONS_00062070-protein TCONS_00062070-protein
OG0000114	XP_059739651.1 host cell factor 1 isoform X4 [Bos taurus]	Clytia_hemispherica_TCONS_00018194-protein TCONS_00018194-protein
OG0000120	XP_002692376.1 syndecan-4 [Bos taurus], sp|Q58DD4.1|SDC2_BOVIN RecName_ Full=Syndecan-2; Short=SYND2; AltName_ CD_antigen=CD362; Flags_ Precursor, sp|Q08DZ5.1|SDC1_BOVIN RecName_ Full=Syndecan-1; Short=SYND1; AltName_ CD_antigen=CD138; Flags_ Precursor, DAA32372.1 TPA_ syndecan 3-like [Bos taurus]	Clytia_hemispherica_TCONS_00010938-protein TCONS_00010938-protein
OG0000122	NP_776777.1 cation-independent mannose-6-phosphate receptor precursor [Bos taurus]	Clytia_hemispherica_TCONS_00013994-protein TCONS_00013994-protein
OG0000123	XP_002697177.1 fibulin-2 isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00069578-protein TCONS_00069578-protein
OG0000150	XP_010811788.2 pappalysin-2 [Bos taurus], XP_024852122.1 pappalysin-1 [Bos taurus]	Clytia_hemispherica_TCONS_00003726-protein TCONS_00003726-protein
OG0000156	sp|Q5EA98.1|MFAP1_BOVIN RecName_ Full=Microfibrillar-associated protein 1; AltName_ Full=Spliceosome B complex protein MFAP1	Clytia_hemispherica_TCONS_00025665-protein TCONS_00025665-protein
OG0000158	sp|Q32L50.2|SBSPO_BOVIN RecName_ Full=Somatomedin-B and thrombospondin type-1 domain-containing protein; AltName_ Full=RPE-spondin; Flags_ Precursor	Clytia_hemispherica_TCONS_00064843-protein TCONS_00064843-protein
OG0000171	XP_059738228.1 peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00013906-protein TCONS_00013906-protein
OG0000177	XP_010801455.2 oviduct-specific glycoprotein isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00003500-protein TCONS_00003500-protein
OG0000182	NP_001068891.1 2_4-dienoyl-CoA reductase [_3E_-enoyl-CoA-producing]_ mitochondrial [Bos taurus]	Clytia_hemispherica_TCONS_00059231-protein TCONS_00059231-protein, Clytia_hemispherica_TCONS_00046759-protein TCONS_00046759-protein
OG0000209	DAA23975.1 TPA_ integrator complex subunit 6 [Bos taurus]	Clytia_hemispherica_TCONS_00065263-protein TCONS_00065263-protein
OG0000215	sp|Q9XS49.2|VEGFB_BOVIN RecName_ Full=Vascular endothelial growth factor B; Short=VEGF-B; AltName_ Full=VEGF-related factor; Short=VRF; Flags_ Precursor, NP_001094513.1 vascular endothelial growth factor D precursor [Bos taurus], NP_776913.1 vascular endothelial growth factor C precursor [Bos taurus]	Clytia_hemispherica_TCONS_00055555-protein TCONS_00055555-protein
OG0000236	XP_059737173.1 platelet-derived growth factor subunit A isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00057922-protein TCONS_00057922-protein, Clytia_hemispherica_TCONS_00055444-protein TCONS_00055444-protein, Clytia_hemispherica_TCONS_00009404-protein TCONS_00009404-protein
OG0000247	sp|P79119.1|EPYC_BOVIN RecName_ Full=Epiphycan; AltName_ Full=Dermatan sulfate proteoglycan 3; AltName_ Full=Proteoglycan-Lb; Short=PG-Lb; AltName_ Full=Small chondroitin/dermatan sulfate proteoglycan; Flags_ Precursor, sp|P58874.2|OPT_BOVIN RecName_ Full=Opticin; AltName_ Full=Oculoglycan; Flags_ Precursor, XP_059731231.1 opticin isoform X1 [Bos taurus], sp|P19879.3|MIME_BOVIN RecName_ Full=Mimecan; AltName_ Full=Osteoglycin; Contains_ RecName_ Full=Corneal keratan sulfate proteoglycan 25 core protein; Short=KSPG25 protein; Contains_ RecName_ Full=Osteoinductive factor; Short=OIF; Flags_ Precursor	Clytia_hemispherica_TCONS_00047950-protein TCONS_00047950-protein
OG0000248	DAA12529.1 TPA_ Kallmann syndrome 1 protein [Bos taurus]	Clytia_hemispherica_TCONS_00073674-protein TCONS_00073674-protein
OG0000298	NP_001069431.1 insulin-like growth factor-binding protein complex acid labile subunit precursor [Bos taurus]	Clytia_hemispherica_TCONS_00057296-protein TCONS_00057296-protein
OG0000392	XP_024848565.1 chondroadherin-like protein [Bos taurus]	Clytia_hemispherica_TCONS_00062021-protein TCONS_00062021-protein
OG0000463	XP_005206695.1 wnt inhibitory factor 1 isoform X1 [Bos taurus]	Clytia_hemispherica_TCONS_00022780-protein TCONS_00022780-protein
OG0000508	NP_777267.1 seminal plasma protein BSP-30 kDa precursor [Bos taurus]	Clytia_hemispherica_TCONS_00038723-protein TCONS_00038723-protein
OG0000666	XP_002686239.2 fibronectin type III domain-containing protein 7 isoform X2 [Bos taurus]	Clytia_hemispherica_TCONS_00002265-protein TCONS_00002265-protein
OG0000871	sp|A7Z019.1|SMCA4_BOVIN RecName_ Full=Transcription activator BRG1; AltName_ Full=ATP-dependent helicase SMARCA4; AltName_ Full=BRG1-associated factor 190A; Short=BAF190A; AltName_ Full=Protein brahma homolog 1; AltName_ Full=SNF2-beta; AltName_ Full=SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4	Clytia_hemispherica_TCONS_00055556-protein TCONS_00055556-protein
