Orthogroup	Chordata_Vertebrata_Bos_taurus	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000020	sp|P02459.4|CO2A1_BOVIN RecName_ Full=Collagen alpha-1_II_ chain; AltName_ Full=Alpha-1 type II collagen; Flags_ Precursor, sp|P02453.3|CO1A1_BOVIN RecName_ Full=Collagen alpha-1_I_ chain; AltName_ Full=Alpha-1 type I collagen; Flags_ Precursor, sp|P02453.3|CO1A1_BOVIN RecName_ Full=Collagen alpha-1_I_ chain; AltName_ Full=Alpha-1 type I collagen; Flags_ Precursor, sp|P02465.2|CO1A2_BOVIN RecName_ Full=Collagen alpha-2_I_ chain; AltName_ Full=Alpha-2 type I collagen; Flags_ Precursor, NP_001070299.1 collagen alpha-1_III_ chain precursor [Bos taurus], XP_059736296.1 collagen alpha-2_V_ chain [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.40283 Ccrux.Trinity.40283, Calvadosia_cruxmelitensis_Ccrux.Trinity.21880 Ccrux.Trinity.21880, Calvadosia_cruxmelitensis_Ccrux.Trinity.10871 Ccrux.Trinity.10871
OG0000020	XP_024845867.1 collagen alpha-1_XXIV_ chain [Bos taurus], NP_001193609.1 collagen alpha-1_XXVII_ chain [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.27073 Ccrux.Trinity.27073
OG0000021	NP_001095535.1 nidogen-2 precursor [Bos taurus], NP_001094625.1 nidogen-1 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.30901 Ccrux.Trinity.30901, Calvadosia_cruxmelitensis_Ccrux.Trinity.30902 Ccrux.Trinity.30902
OG0000022	NP_001178987.1 annexin A10 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.16893 Ccrux.Trinity.16893, Calvadosia_cruxmelitensis_Ccrux.Trinity.16889 Ccrux.Trinity.16889, Calvadosia_cruxmelitensis_Ccrux.Trinity.16885 Ccrux.Trinity.16885, Calvadosia_cruxmelitensis_Ccrux.Trinity.16879 Ccrux.Trinity.16879, Calvadosia_cruxmelitensis_Ccrux.Trinity.1025 Ccrux.Trinity.1025, Calvadosia_cruxmelitensis_Ccrux.Trinity.1024 Ccrux.Trinity.1024
OG0000022	XP_005226473.2 annexin A7 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.62820 Ccrux.Trinity.62820
OG0000023	XP_005225761.2 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Bos taurus], XP_024852023.1 disintegrin and metalloproteinase domain-containing protein 7 isoform X1 [Bos taurus], DAA26695.1 TPA_ Disintegrin and metalloproteinase domain-containing protein 28-like [Bos taurus], XP_010806362.2 ADAM DEC1 isoform X1 [Bos taurus], NP_001039715.1 disintegrin and metalloproteinase domain-containing protein 32 precursor [Bos taurus], DAA14469.1 TPA_ ADAM metallopeptidase domain 18 [Bos taurus], XP_024841956.1 disintegrin and metalloproteinase domain-containing protein 2 isoform X1 [Bos taurus], NP_001193401.1 a disintegrin and metallopeptidase domain 1a [Bos taurus], XP_024845019.1 disintegrin and metalloproteinase domain-containing protein 1b [Bos taurus], DAA27082.1 TPA_ ADAM metallopeptidase domain 21 [Bos taurus], XP_024851812.1 disintegrin and metalloproteinase domain-containing protein 29 isoform X1 [Bos taurus], XP_015328761.2 disintegrin and metalloproteinase domain-containing protein 20 [Bos taurus], DAA31603.1 TPA_ ADAM metallopeptidase domain 30-like [Bos taurus], NP_001179747.2 disintegrin and metalloproteinase domain-containing protein 9 precursor [Bos taurus], NP_001001156.1 disintegrin and metalloproteinase domain-containing protein 12 precursor [Bos taurus], DAA23365.1 TPA_ ADAM metallopeptidase domain 33 [Bos taurus], NP_001192371.3 disintegrin and metalloproteinase domain-containing protein 15 precursor [Bos taurus], NP_001076927.1 disintegrin and metalloproteinase domain-containing protein 23 [Bos taurus], XP_059741591.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Bos taurus], DAA18315.1 TPA_ ADAM metallopeptidase domain 11 preproprotein-like [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.38278 Ccrux.Trinity.38278, Calvadosia_cruxmelitensis_Ccrux.Trinity.38288 Ccrux.Trinity.38288, Calvadosia_cruxmelitensis_Ccrux.Trinity.38282 Ccrux.Trinity.38282, Calvadosia_cruxmelitensis_Ccrux.Trinity.38277 Ccrux.Trinity.38277
OG0000024	sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor, sp|P01267.1|THYG_BOVIN RecName_ Full=Thyroglobulin; Short=Tg; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.60000 Ccrux.Trinity.60000
OG0000024	sp|Q08E66.1|WFKN2_BOVIN RecName_ Full=WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 2; Flags_ Precursor, NP_001192725.1 WAP_ Kazal_ immunoglobulin_ Kunitz and NTR domain-containing protein 1 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.24060 Ccrux.Trinity.24060, Calvadosia_cruxmelitensis_Ccrux.Trinity.24062 Ccrux.Trinity.24062
OG0000024	XP_024849863.1 testican-1 isoform X1 [Bos taurus], NP_001094585.1 testican-2 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.1042 Ccrux.Trinity.1042
OG0000027	sp|Q4GZT3.1|PKD2_BOVIN RecName_ Full=Polycystin-2; AltName_ Full=Polycystic kidney disease 2 protein homolog; AltName_ Full=Transient receptor potential cation channel subfamily P member 2	Calvadosia_cruxmelitensis_Ccrux.Trinity.31956 Ccrux.Trinity.31956, Calvadosia_cruxmelitensis_Ccrux.Trinity.31954 Ccrux.Trinity.31954
OG0000028	sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, DAA13054.1 TPA_ type IV collagen alpha 5-like isoform 1 [Bos taurus], NP_001160001.2 collagen alpha-3_IV_ chain precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.12863 Ccrux.Trinity.12863, Calvadosia_cruxmelitensis_Ccrux.Trinity.12860 Ccrux.Trinity.12860
OG0000030	XP_002691532.1 disintegrin and metalloproteinase domain-containing protein 17 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.10006 Ccrux.Trinity.10006, Calvadosia_cruxmelitensis_Ccrux.Trinity.10008 Ccrux.Trinity.10008, Calvadosia_cruxmelitensis_Ccrux.Trinity.10007 Ccrux.Trinity.10007
OG0000030	sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor, sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.26176 Ccrux.Trinity.26176, Calvadosia_cruxmelitensis_Ccrux.Trinity.26172 Ccrux.Trinity.26172, Calvadosia_cruxmelitensis_Ccrux.Trinity.55193 Ccrux.Trinity.55193
OG0000034	XP_024853677.1 multiple epidermal growth factor-like domains protein 11 isoform X1 [Bos taurus], XP_005209151.1 multiple epidermal growth factor-like domains protein 10 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.29401 Ccrux.Trinity.29401, Calvadosia_cruxmelitensis_Ccrux.Trinity.29405 Ccrux.Trinity.29405
OG0000034	XP_024834866.1 multiple epidermal growth factor-like domains protein 8 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.47132 Ccrux.Trinity.47132, Calvadosia_cruxmelitensis_Ccrux.Trinity.47134 Ccrux.Trinity.47134, Calvadosia_cruxmelitensis_Ccrux.Trinity.47135 Ccrux.Trinity.47135, Calvadosia_cruxmelitensis_Ccrux.Trinity.47131 Ccrux.Trinity.47131, Calvadosia_cruxmelitensis_Ccrux.Trinity.5240 Ccrux.Trinity.5240, Calvadosia_cruxmelitensis_Ccrux.Trinity.5241 Ccrux.Trinity.5241, Calvadosia_cruxmelitensis_Ccrux.Trinity.5239 Ccrux.Trinity.5239
OG0000035	XP_024846888.1 adipocyte enhancer-binding protein 1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.23678 Ccrux.Trinity.23678, Calvadosia_cruxmelitensis_Ccrux.Trinity.24154 Ccrux.Trinity.24154
OG0000036	XP_059731736.1 multiple epidermal growth factor-like domains protein 6 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.539 Ccrux.Trinity.539
OG0000036	NP_001092657.1 epidermal growth factor-like protein 8 precursor [Bos taurus], XP_059747443.1 epidermal growth factor-like protein 7 isoform X1 [Bos taurus], XP_059739882.1 LOW QUALITY PROTEIN_ epidermal growth factor-like protein 6 [Bos taurus], XP_024849279.1 nephronectin isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.355 Ccrux.Trinity.355
OG0000037	AAS02052.2 periostin [Bos taurus], sp|P55906.2|BGH3_BOVIN RecName_ Full=Transforming growth factor-beta-induced protein ig-h3; Short=Beta ig-h3; AltName_ Full=MP70; AltName_ Full=MP78; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.8137 Ccrux.Trinity.8137, Calvadosia_cruxmelitensis_Ccrux.Trinity.9835 Ccrux.Trinity.9835, Calvadosia_cruxmelitensis_Ccrux.Trinity.9838 Ccrux.Trinity.9838, Calvadosia_cruxmelitensis_Ccrux.Trinity.9837 Ccrux.Trinity.9837, Calvadosia_cruxmelitensis_Ccrux.Trinity.9839 Ccrux.Trinity.9839, Calvadosia_cruxmelitensis_Ccrux.Trinity.9836 Ccrux.Trinity.9836, Calvadosia_cruxmelitensis_Ccrux.Trinity.9834 Ccrux.Trinity.9834
OG0000040	NP_001091570.1 endothelial cell-specific molecule 1 precursor [Bos taurus], XP_059738009.1 kazal-type serine protease inhibitor domain-containing protein 1 [Bos taurus], XP_024851719.2 insulin-like growth factor-binding protein-like 1 isoform X1 [Bos taurus], NP_001095770.1 insulin-like growth factor-binding protein 7 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.51979 Ccrux.Trinity.51979
OG0000041	XP_024838837.1 von Willebrand factor A domain-containing protein 5B1 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.59000 Ccrux.Trinity.59000
OG0000041	DAA23896.1 TPA_ poly _ADP-ribose_ polymerase family_ member 4 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.32466 Ccrux.Trinity.32466, Calvadosia_cruxmelitensis_Ccrux.Trinity.32467 Ccrux.Trinity.32467
OG0000044	sp|P51176.1|TGM2_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase 2; AltName_ Full=Isopeptidase TGM2; AltName_ Full=Protein-glutamine deamidase TGM2; AltName_ Full=Protein-glutamine dopaminyltransferase TGM2; AltName_ Full=Protein-glutamine histaminyltransferase TGM2; AltName_ Full=Protein-glutamine noradrenalinyltransferase TGM2; AltName_ Full=Protein-glutamine serotonyltransferase TGM2; AltName_ Full=Tissue transglutaminase; Short=TG; AltName_ Full=Transglutaminase-2; Short=TGase-2, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, sp|A6QP57.1|TGM3_BOVIN RecName_ Full=Protein-glutamine gamma-glutamyltransferase E; AltName_ Full=Transglutaminase E; Short=TG_E_; Short=TGE; Short=TGase E; AltName_ Full=Transglutaminase-3; Short=TGase-3; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Contains_ RecName_ Full=Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain; Flags_ Precursor, XP_059748950.1 protein-glutamine gamma-glutamyltransferase 6 [Bos taurus], XP_010815593.1 protein-glutamine gamma-glutamyltransferase Z [Bos taurus], XP_005222254.2 protein-glutamine gamma-glutamyltransferase 5 isoform X1 [Bos taurus], NP_001161366.2 coagulation factor XIII A chain [Bos taurus], XP_005211321.1 protein-glutamine gamma-glutamyltransferase K isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.11028 Ccrux.Trinity.11028, Calvadosia_cruxmelitensis_Ccrux.Trinity.11029 Ccrux.Trinity.11029, Calvadosia_cruxmelitensis_Ccrux.Trinity.31172 Ccrux.Trinity.31172, Calvadosia_cruxmelitensis_Ccrux.Trinity.31175 Ccrux.Trinity.31175, Calvadosia_cruxmelitensis_Ccrux.Trinity.31178 Ccrux.Trinity.31178, Calvadosia_cruxmelitensis_Ccrux.Trinity.31183 Ccrux.Trinity.31183
OG0000045	XP_024840205.1 laminin subunit alpha-3 isoform X1 [Bos taurus], DAA23013.1 TPA_ laminin alpha 5-like [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.3251 Ccrux.Trinity.3251, Calvadosia_cruxmelitensis_Ccrux.Trinity.9800 Ccrux.Trinity.9800, Calvadosia_cruxmelitensis_Ccrux.Trinity.9793 Ccrux.Trinity.9793, Calvadosia_cruxmelitensis_Ccrux.Trinity.71194 Ccrux.Trinity.71194
OG0000045	NP_001192894.1 laminin subunit alpha-4 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.9796 Ccrux.Trinity.9796, Calvadosia_cruxmelitensis_Ccrux.Trinity.2314 Ccrux.Trinity.2314
OG0000049	XP_024838889.2 plexin-A1 isoform X1 [Bos taurus], XP_059739547.1 plexin-A3 isoform X1 [Bos taurus], NP_001193586.1 plexin-A2 precursor [Bos taurus], NP_001178433.1 plexin-A4 precursor [Bos taurus], XP_024839049.1 plexin-B1 isoform X1 [Bos taurus], DAA13207.1 TPA_ plexin B3-like [Bos taurus], XP_059742216.1 plexin-B2 isoform X2 [Bos taurus], DAA16814.1 TPA_ plexin D1-like [Bos taurus], XP_059742393.1 plexin-C1 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.36955 Ccrux.Trinity.36955, Calvadosia_cruxmelitensis_Ccrux.Trinity.36954 Ccrux.Trinity.36954
OG0000054	XP_024837424.1 pro-interleukin-16 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.18828 Ccrux.Trinity.18828
OG0000064	XP_024834858.1 latent-transforming growth factor beta-binding protein 4 isoform X1 [Bos taurus], NP_776810.1 latent-transforming growth factor beta-binding protein 2 [Bos taurus], XP_005227171.1 latent-transforming growth factor beta-binding protein 3 isoform X1 [Bos taurus], XP_024854254.1 latent-transforming growth factor beta-binding protein 1 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.19626 Ccrux.Trinity.19626
OG0000064	NP_001265517.1 fibrillin-2 precursor [Bos taurus], DAA27963.1 TPA_ fibrillin3-like_ partial [Bos taurus], sp|P98133.2|FBN1_BOVIN RecName_ Full=Fibrillin-1; AltName_ Full=MP340; Contains_ RecName_ Full=Asprosin; Flags_ Precursor, sp|P98133.2|FBN1_BOVIN RecName_ Full=Fibrillin-1; AltName_ Full=MP340; Contains_ RecName_ Full=Asprosin; Flags_ Precursor, sp|P98133.2|FBN1_BOVIN RecName_ Full=Fibrillin-1; AltName_ Full=MP340; Contains_ RecName_ Full=Asprosin; Flags_ Precursor, sp|P98133.2|FBN1_BOVIN RecName_ Full=Fibrillin-1; AltName_ Full=MP340; Contains_ RecName_ Full=Asprosin; Flags_ Precursor, sp|P98133.2|FBN1_BOVIN RecName_ Full=Fibrillin-1; AltName_ Full=MP340; Contains_ RecName_ Full=Asprosin; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.62793 Ccrux.Trinity.62793
OG0000065	NP_001095540.1 glypican-5 precursor [Bos taurus], NP_001030540.1 glypican-3 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.465 Ccrux.Trinity.465
OG0000080	sp|P79121.1|TIMP3_BOVIN RecName_ Full=Metalloproteinase inhibitor 3; AltName_ Full=Tissue inhibitor of metalloproteinases 3; Short=TIMP-3; Flags_ Precursor, sp|O97563.2|TIMP4_BOVIN RecName_ Full=Metalloproteinase inhibitor 4; AltName_ Full=Tissue inhibitor of metalloproteinases 4; Short=TIMP-4; Flags_ Precursor, sp|P20414.1|TIMP1_BOVIN RecName_ Full=Metalloproteinase inhibitor 1; AltName_ Full=Embryogenin-1; Short=EG-1; AltName_ Full=Tissue inhibitor of metalloproteinases 1; Short=TIMP-1; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.5691 Ccrux.Trinity.5691, Calvadosia_cruxmelitensis_Ccrux.Trinity.70554 Ccrux.Trinity.70554
OG0000081	sp|Q2KIT5.1|CREL2_BOVIN RecName_ Full=Protein disulfide isomerase CRELD2; AltName_ Full=Cysteine-rich with EGF-like domain protein 2; Flags_ Precursor, sp|Q5EA46.1|CREL1_BOVIN RecName_ Full=Protein disulfide isomerase CRELD1; AltName_ Full=Cysteine-rich with EGF-like domain protein 1; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.39810 Ccrux.Trinity.39810, Calvadosia_cruxmelitensis_Ccrux.Trinity.39813 Ccrux.Trinity.39813, Calvadosia_cruxmelitensis_Ccrux.Trinity.39808 Ccrux.Trinity.39808
OG0000083	NP_001193181.1 hyaluronidase-3 precursor [Bos taurus], sp|Q5E985.1|HYAL1_BOVIN RecName_ Full=Hyaluronidase-1; Short=Hyal-1; AltName_ Full=Hyaluronoglucosaminidase-1; Flags_ Precursor, XP_059741399.1 sperm adhesion molecule 1 isoform X1 [Bos taurus], XP_003586042.1 hyaluronidase-4 [Bos taurus], sp|Q8SQG8.1|HYAL2_BOVIN RecName_ Full=Hyaluronidase-2; Short=Hyal-2; AltName_ Full=Hyaluronoglucosaminidase-2; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.17144 Ccrux.Trinity.17144
OG0000084	NP_001178214.2 collagen alpha-1_XV_ chain precursor [Bos taurus], XP_024830782.1 collagen alpha-1_XVIII_ chain isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.35548 Ccrux.Trinity.35548, Calvadosia_cruxmelitensis_Ccrux.Trinity.35549 Ccrux.Trinity.35549, Calvadosia_cruxmelitensis_Ccrux.Trinity.35546 Ccrux.Trinity.35546
OG0000088	NP_001039622.1 spondin-2 precursor [Bos taurus], sp|Q9GLX9.1|SPON1_BOVIN RecName_ Full=Spondin-1; AltName_ Full=F-spondin; AltName_ Full=Vascular smooth muscle cell growth-promoting factor; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.51932 Ccrux.Trinity.51932
OG0000089	XP_059739242.1 chordin-like protein 1 isoform X8 [Bos taurus], XP_005216309.1 chordin-like protein 2 isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.31544 Ccrux.Trinity.31544, Calvadosia_cruxmelitensis_Ccrux.Trinity.31553 Ccrux.Trinity.31553, Calvadosia_cruxmelitensis_Ccrux.Trinity.31550 Ccrux.Trinity.31550, Calvadosia_cruxmelitensis_Ccrux.Trinity.31548 Ccrux.Trinity.31548, Calvadosia_cruxmelitensis_Ccrux.Trinity.31555 Ccrux.Trinity.31555
OG0000093	sp|P80416.1|CYTA_BOVIN RecName_ Full=Cystatin-A; AltName_ Full=Cystatin-AS; AltName_ Full=Stefin-A	Calvadosia_cruxmelitensis_Ccrux.Trinity.53582 Ccrux.Trinity.53582
OG0000112	DAA14878.1 TPA_ heparanase 2 isoform 2 [Bos taurus], sp|Q9MYY0.2|HPSE_BOVIN RecName_ Full=Heparanase; Contains_ RecName_ Full=Heparanase 8 kDa subunit; Contains_ RecName_ Full=Heparanase 50 kDa subunit; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.11290 Ccrux.Trinity.11290
OG0000114	XP_059739651.1 host cell factor 1 isoform X4 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.12049 Ccrux.Trinity.12049, Calvadosia_cruxmelitensis_Ccrux.Trinity.12051 Ccrux.Trinity.12051
OG0000120	XP_002692376.1 syndecan-4 [Bos taurus], sp|Q58DD4.1|SDC2_BOVIN RecName_ Full=Syndecan-2; Short=SYND2; AltName_ CD_antigen=CD362; Flags_ Precursor, sp|Q08DZ5.1|SDC1_BOVIN RecName_ Full=Syndecan-1; Short=SYND1; AltName_ CD_antigen=CD138; Flags_ Precursor, DAA32372.1 TPA_ syndecan 3-like [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.62450 Ccrux.Trinity.62450
OG0000122	NP_776777.1 cation-independent mannose-6-phosphate receptor precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.12302 Ccrux.Trinity.12302
OG0000122	NP_777170.1 72 kDa type IV collagenase precursor [Bos taurus], NP_777170.1 72 kDa type IV collagenase precursor [Bos taurus], sp|Q9GLE5.1|MMP2_BOVIN RecName_ Full=72 kDa type IV collagenase; AltName_ Full=72 kDa gelatinase; AltName_ Full=Matrix metalloproteinase-2; Short=MMP-2; Contains_ RecName_ Full=PEX; Flags_ Precursor, sp|Q9GLE5.1|MMP2_BOVIN RecName_ Full=72 kDa type IV collagenase; AltName_ Full=72 kDa gelatinase; AltName_ Full=Matrix metalloproteinase-2; Short=MMP-2; Contains_ RecName_ Full=PEX; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.2403 Ccrux.Trinity.2403
OG0000141	NP_001095646.1 CCN family member 5 precursor [Bos taurus], DAA22835.1 TPA_ WNT1 inducible signaling pathway protein 1-like [Bos taurus], NP_001029512.1 CCN family member 1 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.59381 Ccrux.Trinity.59381, Calvadosia_cruxmelitensis_Ccrux.Trinity.56706 Ccrux.Trinity.56706
OG0000150	XP_010811788.2 pappalysin-2 [Bos taurus], XP_024852122.1 pappalysin-1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.70441 Ccrux.Trinity.70441
OG0000154	XP_059746743.1 cartilage intermediate layer protein 1 isoform X1 [Bos taurus], NP_001179457.1 cartilage intermediate layer protein 2 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.71132 Ccrux.Trinity.71132
OG0000156	sp|Q5EA98.1|MFAP1_BOVIN RecName_ Full=Microfibrillar-associated protein 1; AltName_ Full=Spliceosome B complex protein MFAP1	Calvadosia_cruxmelitensis_Ccrux.Trinity.38048 Ccrux.Trinity.38048, Calvadosia_cruxmelitensis_Ccrux.Trinity.38045 Ccrux.Trinity.38045, Calvadosia_cruxmelitensis_Ccrux.Trinity.38037 Ccrux.Trinity.38037, Calvadosia_cruxmelitensis_Ccrux.Trinity.38043 Ccrux.Trinity.38043
OG0000157	XP_059743779.1 LOW QUALITY PROTEIN_ extracellular matrix organizing protein FRAS1 [Bos taurus], XP_002691845.2 FRAS1-related extracellular matrix protein 2 [Bos taurus], DAA20874.1 TPA_ FRAS1 related extracellular matrix 3 [Bos taurus], NP_001179924.1 FRAS1-related extracellular matrix protein 1 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.52207 Ccrux.Trinity.52207
OG0000158	sp|Q32L50.2|SBSPO_BOVIN RecName_ Full=Somatomedin-B and thrombospondin type-1 domain-containing protein; AltName_ Full=RPE-spondin; Flags_ Precursor	Calvadosia_cruxmelitensis_Ccrux.Trinity.60636 Ccrux.Trinity.60636, Calvadosia_cruxmelitensis_Ccrux.Trinity.68887 Ccrux.Trinity.68887
OG0000166	NP_001069232.1 secreted frizzled-related protein 4 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.1466 Ccrux.Trinity.1466
OG0000177	XP_010801455.2 oviduct-specific glycoprotein isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.18042 Ccrux.Trinity.18042, Calvadosia_cruxmelitensis_Ccrux.Trinity.18051 Ccrux.Trinity.18051
OG0000182	NP_001068891.1 2_4-dienoyl-CoA reductase [_3E_-enoyl-CoA-producing]_ mitochondrial [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.25498 Ccrux.Trinity.25498, Calvadosia_cruxmelitensis_Ccrux.Trinity.24872 Ccrux.Trinity.24872
OG0000209	DAA23975.1 TPA_ integrator complex subunit 6 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.28583 Ccrux.Trinity.28583, Calvadosia_cruxmelitensis_Ccrux.Trinity.28580 Ccrux.Trinity.28580
OG0000214	sp|Q5EA76.1|INT14_BOVIN RecName_ Full=Integrator complex subunit 14; AltName_ Full=von Willebrand factor A domain-containing protein 9	Calvadosia_cruxmelitensis_Ccrux.Trinity.627 Ccrux.Trinity.627, Calvadosia_cruxmelitensis_Ccrux.Trinity.628 Ccrux.Trinity.628
OG0000235	XP_005225272.1 collagen alpha-1_XXVI_ chain isoform X1 [Bos taurus], NP_001095337.1 EMI domain-containing protein 1 isoform 1 precursor [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.13886 Ccrux.Trinity.13886, Calvadosia_cruxmelitensis_Ccrux.Trinity.13884 Ccrux.Trinity.13884
OG0000236	XP_059737173.1 platelet-derived growth factor subunit A isoform X1 [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.2453 Ccrux.Trinity.2453
OG0000248	DAA12529.1 TPA_ Kallmann syndrome 1 protein [Bos taurus]	Calvadosia_cruxmelitensis_Ccrux.Trinity.26843 Ccrux.Trinity.26843
