Orthogroup	Chordata_Vertebrata_Bos_taurus	Chordata_Vertebrata_Homo_sapiens
OG0000011	XP_024848718.2 hepatocyte growth factor activator isoform X1 [Bos taurus]	Homo_sapiens_sp_Q04756_HGFA_HUMAN sp|Q04756|HGFA_HUMAN Hepatocyte growth factor activator OS=Homo sapiens OX=9606 GN=HGFAC PE=1 SV=1
OG0000011	sp|P06868.2|PLMN_BOVIN RecName_ Full=Plasminogen; Contains_ RecName_ Full=Plasmin heavy chain A; Contains_ RecName_ Full=Activation peptide; Contains_ RecName_ Full=Plasmin heavy chain A_ short form; Contains_ RecName_ Full=Plasmin light chain B; Flags_ Precursor	Homo_sapiens_sp_P00747_PLMN_HUMAN sp|P00747|PLMN_HUMAN Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2
OG0000012	sp|P98091.2|MUC19_BOVIN RecName_ Full=Mucin-19; Short=MUC-19; AltName_ Full=Submaxillary mucin-like protein; Flags_ Precursor	Homo_sapiens_sp_Q7Z5P9_MUC19_HUMAN sp|Q7Z5P9|MUC19_HUMAN Mucin-19 OS=Homo sapiens OX=9606 GN=MUC19 PE=1 SV=3
OG0000012	XP_024843363.1 LOW QUALITY PROTEIN_ mucin-2 [Bos taurus]	Homo_sapiens_sp_Q02817_MUC2_HUMAN sp|Q02817|MUC2_HUMAN Mucin-2 OS=Homo sapiens OX=9606 GN=MUC2 PE=1 SV=3
OG0000012	CBL80808.1 TPA_ mucin-5AC [Bos taurus]	Homo_sapiens_sp_P98088_MUC5A_HUMAN sp|P98088|MUC5A_HUMAN Mucin-5AC OS=Homo sapiens OX=9606 GN=MUC5AC PE=1 SV=4
OG0000012	XP_059739142.1 mucin-5B [Bos taurus]	Homo_sapiens_sp_Q9HC84_MUC5B_HUMAN sp|Q9HC84|MUC5B_HUMAN Mucin-5B OS=Homo sapiens OX=9606 GN=MUC5B PE=1 SV=3
OG0000012	sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor, sp|P98167.2|SSPO_BOVIN RecName_ Full=SCO-spondin; Flags_ Precursor	Homo_sapiens_sp_A2VEC9_SSPO_HUMAN sp|A2VEC9|SSPO_HUMAN SCO-spondin OS=Homo sapiens OX=9606 GN=SSPOP PE=2 SV=2
OG0000012	pir||A34102 von Willebrand factor - bovine _fragments_	Homo_sapiens_sp_P04275_VWF_HUMAN sp|P04275|VWF_HUMAN von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4
OG0000012	DAA22321.1 TPA_ Otogelin-like [Bos taurus]	Homo_sapiens_sp_Q6ZRI0_OTOG_HUMAN sp|Q6ZRI0|OTOG_HUMAN Otogelin OS=Homo sapiens OX=9606 GN=OTOG PE=1 SV=3
OG0000012	NP_001071465.1 BMP-binding endothelial regulator protein precursor [Bos taurus]	Homo_sapiens_sp_Q8N8U9_BMPER_HUMAN sp|Q8N8U9|BMPER_HUMAN BMP-binding endothelial regulator protein OS=Homo sapiens OX=9606 GN=BMPER PE=1 SV=3
OG0000012	NP_001178138.1 von Willebrand factor C and EGF domain-containing protein precursor [Bos taurus]	Homo_sapiens_sp_Q96DN2_VWCE_HUMAN sp|Q96DN2|VWCE_HUMAN von Willebrand factor C and EGF domain-containing protein OS=Homo sapiens OX=9606 GN=VWCE PE=1 SV=2
OG0000013	NP_001192492.1 protein Wnt-6 precursor [Bos taurus]	Homo_sapiens_sp_Q9Y6F9_WNT6_HUMAN sp|Q9Y6F9|WNT6_HUMAN Protein Wnt-6 OS=Homo sapiens OX=9606 GN=WNT6 PE=1 SV=2
OG0000013	NP_001107663.1 proto-oncogene Wnt-1 precursor [Bos taurus]	Homo_sapiens_sp_P04628_WNT1_HUMAN sp|P04628|WNT1_HUMAN Proto-oncogene Wnt-1 OS=Homo sapiens OX=9606 GN=WNT1 PE=1 SV=1
OG0000013	XP_059742210.1 protein Wnt-5b isoform X1 [Bos taurus]	Homo_sapiens_sp_Q9H1J7_WNT5B_HUMAN sp|Q9H1J7|WNT5B_HUMAN Protein Wnt-5b OS=Homo sapiens OX=9606 GN=WNT5B PE=2 SV=2
OG0000013	NP_001075925.1 protein Wnt-11 [Bos taurus]	Homo_sapiens_sp_O96014_WNT11_HUMAN sp|O96014|WNT11_HUMAN Protein Wnt-11 OS=Homo sapiens OX=9606 GN=WNT11 PE=1 SV=2
OG0000013	NP_001179717.1 protein Wnt-7a [Bos taurus], XP_024848596.2 protein Wnt-7b isoform X1 [Bos taurus]	Homo_sapiens_sp_P56706_WNT7B_HUMAN sp|P56706|WNT7B_HUMAN Protein Wnt-7b OS=Homo sapiens OX=9606 GN=WNT7B PE=1 SV=2
OG0000013	NP_001092833.1 protein Wnt-2b [Bos taurus]	Homo_sapiens_sp_Q93097_WNT2B_HUMAN sp|Q93097|WNT2B_HUMAN Protein Wnt-2b OS=Homo sapiens OX=9606 GN=WNT2B PE=1 SV=2
OG0000013	NP_001179299.1 protein Wnt-8a [Bos taurus]	Homo_sapiens_sp_Q9H1J5_WNT8A_HUMAN sp|Q9H1J5|WNT8A_HUMAN Protein Wnt-8a OS=Homo sapiens OX=9606 GN=WNT8A PE=1 SV=2
OG0000013	DAA29954.1 TPA_ wingless-type MMTV integration site family_ member 10B-like [Bos taurus]	Homo_sapiens_sp_O00744_WN10B_HUMAN sp|O00744|WN10B_HUMAN Protein Wnt-10b OS=Homo sapiens OX=9606 GN=WNT10B PE=1 SV=2
OG0000013	XP_005202916.1 protein Wnt-10a isoform X1 [Bos taurus]	Homo_sapiens_sp_Q9GZT5_WN10A_HUMAN sp|Q9GZT5|WN10A_HUMAN Protein Wnt-10a OS=Homo sapiens OX=9606 GN=WNT10A PE=1 SV=1
OG0000013	DAA28331.1 TPA_ wingless-type MMTV integration site 9A-like [Bos taurus]	Homo_sapiens_sp_O14904_WNT9A_HUMAN sp|O14904|WNT9A_HUMAN Protein Wnt-9a OS=Homo sapiens OX=9606 GN=WNT9A PE=1 SV=2
OG0000014	NP_001192863.3 ADAMTS-like protein 2 precursor [Bos taurus]	Homo_sapiens_sp_Q86TH1_ATL2_HUMAN sp|Q86TH1|ATL2_HUMAN ADAMTS-like protein 2 OS=Homo sapiens OX=9606 GN=ADAMTSL2 PE=1 SV=1
OG0000014	XP_059746586.1 thrombospondin type-1 domain-containing protein 4 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q6ZMP0_THSD4_HUMAN sp|Q6ZMP0|THSD4_HUMAN Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=THSD4 PE=1 SV=2
OG0000014	XP_024851836.1 ADAMTS-like protein 1 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q8N6G6_ATL1_HUMAN sp|Q8N6G6|ATL1_HUMAN ADAMTS-like protein 1 OS=Homo sapiens OX=9606 GN=ADAMTSL1 PE=1 SV=4
OG0000014	XP_059735268.1 ADAMTS-like protein 3 isoform X1 [Bos taurus]	Homo_sapiens_sp_P82987_ATL3_HUMAN sp|P82987|ATL3_HUMAN ADAMTS-like protein 3 OS=Homo sapiens OX=9606 GN=ADAMTSL3 PE=1 SV=4
OG0000014	XP_059734805.1 A disintegrin and metalloproteinase with thrombospondin motifs 16 [Bos taurus]	Homo_sapiens_sp_Q8TE57_ATS16_HUMAN sp|Q8TE57|ATS16_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 16 OS=Homo sapiens OX=9606 GN=ADAMTS16 PE=2 SV=3
OG0000014	XP_059732709.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q8TE60_ATS18_HUMAN sp|Q8TE60|ATS18_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 18 OS=Homo sapiens OX=9606 GN=ADAMTS18 PE=1 SV=3
OG0000014	sp|P79331.1|ATS2_BOVIN RecName_ Full=A disintegrin and metalloproteinase with thrombospondin motifs 2; Short=ADAM-TS 2; Short=ADAM-TS2; Short=ADAMTS-2; AltName_ Full=Procollagen I N-proteinase; Short=PC I-NP; AltName_ Full=Procollagen I/II amino propeptide-processing enzyme; AltName_ Full=Procollagen N-endopeptidase; Short=pNPI; Flags_ Precursor	Homo_sapiens_sp_O95450_ATS2_HUMAN sp|O95450|ATS2_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Homo sapiens OX=9606 GN=ADAMTS2 PE=2 SV=2
OG0000014	XP_005226419.1 A disintegrin and metalloproteinase with thrombospondin motifs 14 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q8WXS8_ATS14_HUMAN sp|Q8WXS8|ATS14_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 14 OS=Homo sapiens OX=9606 GN=ADAMTS14 PE=2 SV=2
OG0000014	XP_024837785.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q9UKP4_ATS7_HUMAN sp|Q9UKP4|ATS7_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Homo sapiens OX=9606 GN=ADAMTS7 PE=1 SV=2
OG0000014	NP_001179538.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 precursor [Bos taurus]	Homo_sapiens_sp_P58397_ATS12_HUMAN sp|P58397|ATS12_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Homo sapiens OX=9606 GN=ADAMTS12 PE=1 SV=2
OG0000014	XP_024838029.1 A disintegrin and metalloproteinase with thrombospondin motifs 17 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q8TE56_ATS17_HUMAN sp|Q8TE56|ATS17_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 17 OS=Homo sapiens OX=9606 GN=ADAMTS17 PE=2 SV=2
OG0000014	NP_001193043.1 A disintegrin and metalloproteinase with thrombospondin motifs 19 precursor [Bos taurus]	Homo_sapiens_sp_Q8TE59_ATS19_HUMAN sp|Q8TE59|ATS19_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 19 OS=Homo sapiens OX=9606 GN=ADAMTS19 PE=1 SV=2
OG0000014	XP_024853897.1 papilin isoform X1 [Bos taurus]	Homo_sapiens_sp_O95428_PPN_HUMAN sp|O95428|PPN_HUMAN Papilin OS=Homo sapiens OX=9606 GN=PAPLN PE=2 SV=4
OG0000014	NP_001193502.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 precursor [Bos taurus]	Homo_sapiens_sp_Q9P2N4_ATS9_HUMAN sp|Q9P2N4|ATS9_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Homo sapiens OX=9606 GN=ADAMTS9 PE=1 SV=4
OG0000014	NP_001159987.1 A disintegrin and metalloproteinase with thrombospondin motifs 5 precursor [Bos taurus]	Homo_sapiens_sp_Q9UNA0_ATS5_HUMAN sp|Q9UNA0|ATS5_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Homo sapiens OX=9606 GN=ADAMTS5 PE=1 SV=2
OG0000014	NP_001094550.1 A disintegrin and metalloproteinase with thrombospondin motifs 1 [Bos taurus]	Homo_sapiens_sp_Q9UHI8_ATS1_HUMAN sp|Q9UHI8|ATS1_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Homo sapiens OX=9606 GN=ADAMTS1 PE=1 SV=4
OG0000014	NP_001179254.2 A disintegrin and metalloproteinase with thrombospondin motifs 8 precursor [Bos taurus]	Homo_sapiens_sp_Q9UP79_ATS8_HUMAN sp|Q9UP79|ATS8_HUMAN A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Homo sapiens OX=9606 GN=ADAMTS8 PE=2 SV=2
OG0000015	XP_005225807.1 beta-tectorin isoform X1 [Bos taurus]	Homo_sapiens_sp_Q96PL2_TECTB_HUMAN sp|Q96PL2|TECTB_HUMAN Beta-tectorin OS=Homo sapiens OX=9606 GN=TECTB PE=2 SV=1
OG0000015	sp|Q29RU2.1|OIT3_BOVIN RecName_ Full=Oncoprotein-induced transcript 3 protein; Flags_ Precursor	Homo_sapiens_sp_Q8WWZ8_OIT3_HUMAN sp|Q8WWZ8|OIT3_HUMAN Oncoprotein-induced transcript 3 protein OS=Homo sapiens OX=9606 GN=OIT3 PE=1 SV=2
OG0000016	NP_001193569.1 macrophage metalloelastase precursor [Bos taurus]	Homo_sapiens_sp_P39900_MMP12_HUMAN sp|P39900|MMP12_HUMAN Macrophage metalloelastase OS=Homo sapiens OX=9606 GN=MMP12 PE=1 SV=1
OG0000016	NP_001193566.1 stromelysin-1 precursor [Bos taurus]	Homo_sapiens_sp_P09238_MMP10_HUMAN sp|P09238|MMP10_HUMAN Stromelysin-2 OS=Homo sapiens OX=9606 GN=MMP10 PE=1 SV=1
OG0000016	sp|O77656.1|MMP13_BOVIN RecName_ Full=Collagenase 3; AltName_ Full=Matrix metalloproteinase-13; Short=MMP-13; Flags_ Precursor	Homo_sapiens_sp_P45452_MMP13_HUMAN sp|P45452|MMP13_HUMAN Collagenase 3 OS=Homo sapiens OX=9606 GN=MMP13 PE=1 SV=1
OG0000016	sp|O18767.1|MMP20_BOVIN RecName_ Full=Matrix metalloproteinase-20; Short=MMP-20; AltName_ Full=Enamel metalloproteinase; AltName_ Full=Enamelysin; Flags_ Precursor	Homo_sapiens_sp_P09237_MMP7_HUMAN sp|P09237|MMP7_HUMAN Matrilysin OS=Homo sapiens OX=9606 GN=MMP7 PE=1 SV=1
OG0000016	XP_024833618.1 stromelysin-3 [Bos taurus]	Homo_sapiens_sp_P24347_MMP11_HUMAN sp|P24347|MMP11_HUMAN Stromelysin-3 OS=Homo sapiens OX=9606 GN=MMP11 PE=1 SV=3
OG0000016	sp|Q9GLE4.1|MMP14_BOVIN RecName_ Full=Matrix metalloproteinase-14; Short=MMP-14; AltName_ Full=Membrane-type matrix metalloproteinase 1; Short=MT-MMP 1; Short=MTMMP1; AltName_ Full=Membrane-type-1 matrix metalloproteinase; Short=MT1-MMP; Short=MT1MMP; Flags_ Precursor	Homo_sapiens_sp_P50281_MMP14_HUMAN sp|P50281|MMP14_HUMAN Matrix metalloproteinase-14 OS=Homo sapiens OX=9606 GN=MMP14 PE=1 SV=3
OG0000016	XP_024856667.1 matrix metalloproteinase-24 [Bos taurus]	Homo_sapiens_sp_Q9Y5R2_MMP24_HUMAN sp|Q9Y5R2|MMP24_HUMAN Matrix metalloproteinase-24 OS=Homo sapiens OX=9606 GN=MMP24 PE=2 SV=1
OG0000016	NP_001179551.1 matrix metalloproteinase-16 [Bos taurus]	Homo_sapiens_sp_P51512_MMP16_HUMAN sp|P51512|MMP16_HUMAN Matrix metalloproteinase-16 OS=Homo sapiens OX=9606 GN=MMP16 PE=1 SV=2
OG0000016	NP_001178363.1 matrix metalloproteinase-15 precursor [Bos taurus]	Homo_sapiens_sp_P51511_MMP15_HUMAN sp|P51511|MMP15_HUMAN Matrix metalloproteinase-15 OS=Homo sapiens OX=9606 GN=MMP15 PE=1 SV=1
OG0000016	DAA15654.1 TPA_ matrix metalloproteinase 25 preproprotein-like [Bos taurus]	Homo_sapiens_sp_Q9NPA2_MMP25_HUMAN sp|Q9NPA2|MMP25_HUMAN Matrix metalloproteinase-25 OS=Homo sapiens OX=9606 GN=MMP25 PE=1 SV=1
OG0000016	XP_024836411.1 matrix metalloproteinase-28 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q9H239_MMP28_HUMAN sp|Q9H239|MMP28_HUMAN Matrix metalloproteinase-28 OS=Homo sapiens OX=9606 GN=MMP28 PE=1 SV=2
OG0000017	sp|P13909.1|PAI1_BOVIN RecName_ Full=Plasminogen activator inhibitor 1; Short=PAI; Short=PAI-1; AltName_ Full=Endothelial plasminogen activator inhibitor; AltName_ Full=Serpin E1; Flags_ Precursor	Homo_sapiens_sp_P05121_PAI1_HUMAN sp|P05121|PAI1_HUMAN Plasminogen activator inhibitor 1 OS=Homo sapiens OX=9606 GN=SERPINE1 PE=1 SV=1
OG0000017	sp|P41361.2|ANT3_BOVIN RecName_ Full=Antithrombin-III; Short=ATIII; AltName_ Full=Serpin C1; Flags_ Precursor	Homo_sapiens_sp_P01008_ANT3_HUMAN sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1
OG0000017	XP_024839237.1 leukocyte elastase inhibitor isoform X1 [Bos taurus]	Homo_sapiens_sp_P30740_ILEU_HUMAN sp|P30740|ILEU_HUMAN Leukocyte elastase inhibitor OS=Homo sapiens OX=9606 GN=SERPINB1 PE=1 SV=1
OG0000017	XP_059736204.1 serpin B6 isoform X1 [Bos taurus]	Homo_sapiens_sp_P35237_SPB6_HUMAN sp|P35237|SPB6_HUMAN Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=3
OG0000017	NP_001069327.1 serpin B9 [Bos taurus]	Homo_sapiens_sp_P50453_SPB9_HUMAN sp|P50453|SPB9_HUMAN Serpin B9 OS=Homo sapiens OX=9606 GN=SERPINB9 PE=1 SV=1
OG0000017	XP_015315532.1 serpin B8 isoform X1 [Bos taurus]	Homo_sapiens_sp_P50452_SPB8_HUMAN sp|P50452|SPB8_HUMAN Serpin B8 OS=Homo sapiens OX=9606 GN=SERPINB8 PE=1 SV=2
OG0000017	XP_024840088.1 serpin B5 isoform X1 [Bos taurus]	Homo_sapiens_sp_P36952_SPB5_HUMAN sp|P36952|SPB5_HUMAN Serpin B5 OS=Homo sapiens OX=9606 GN=SERPINB5 PE=1 SV=2
OG0000017	sp|A5PJK0.1|SPB10_BOVIN RecName_ Full=Serpin B10	Homo_sapiens_sp_P48595_SPB10_HUMAN sp|P48595|SPB10_HUMAN Serpin B10 OS=Homo sapiens OX=9606 GN=SERPINB10 PE=1 SV=1
OG0000017	XP_024840297.1 serpin B12 [Bos taurus]	Homo_sapiens_sp_Q96P63_SPB12_HUMAN sp|Q96P63|SPB12_HUMAN Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1
OG0000017	NP_001095792.2 serpin B4 [Bos taurus]	Homo_sapiens_sp_P48594_SPB4_HUMAN sp|P48594|SPB4_HUMAN Serpin B4 OS=Homo sapiens OX=9606 GN=SERPINB4 PE=1 SV=2, Homo_sapiens_sp_P29508_SPB3_HUMAN sp|P29508|SPB3_HUMAN Serpin B3 OS=Homo sapiens OX=9606 GN=SERPINB3 PE=1 SV=2
OG0000017	XP_059737104.1 LOW QUALITY PROTEIN_ serpin B11 [Bos taurus], XP_010799074.2 serpin B7 isoform X1 [Bos taurus]	Homo_sapiens_sp_O75635_SPB7_HUMAN sp|O75635|SPB7_HUMAN Serpin B7 OS=Homo sapiens OX=9606 GN=SERPINB7 PE=1 SV=1
OG0000017	NP_001092467.1 protein Z-dependent protease inhibitor precursor [Bos taurus]	Homo_sapiens_sp_Q9UK55_ZPI_HUMAN sp|Q9UK55|ZPI_HUMAN Protein Z-dependent protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA10 PE=1 SV=1
OG0000017	sp|P34955.1|A1AT_BOVIN RecName_ Full=Alpha-1-antiproteinase; AltName_ Full=Alpha-1-antitrypsin; AltName_ Full=Alpha-1-proteinase inhibitor; AltName_ Full=Serpin A1; Flags_ Precursor, sp|P34955.1|A1AT_BOVIN RecName_ Full=Alpha-1-antiproteinase; AltName_ Full=Alpha-1-antitrypsin; AltName_ Full=Alpha-1-proteinase inhibitor; AltName_ Full=Serpin A1; Flags_ Precursor	Homo_sapiens_sp_P01009_A1AT_HUMAN sp|P01009|A1AT_HUMAN Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3
OG0000017	XP_059735117.1 serpin A11 isoform X1 [Bos taurus]	Homo_sapiens_sp_Q86U17_SPA11_HUMAN sp|Q86U17|SPA11_HUMAN Serpin A11 OS=Homo sapiens OX=9606 GN=SERPINA11 PE=2 SV=2
OG0000017	sp|Q9TT36.1|THBG_BOVIN RecName_ Full=Thyroxine-binding globulin; AltName_ Full=Serpin A7; AltName_ Full=T4-binding globulin; Flags_ Precursor	Homo_sapiens_sp_P05543_THBG_HUMAN sp|P05543|THBG_HUMAN Thyroxine-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA7 PE=1 SV=2
OG0000017	XP_024838010.2 LOW QUALITY PROTEIN_ kallistatin [Bos taurus]	Homo_sapiens_sp_P29622_KAIN_HUMAN sp|P29622|KAIN_HUMAN Kallistatin OS=Homo sapiens OX=9606 GN=SERPINA4 PE=1 SV=3
OG0000017	sp|Q9N2I2.1|IPSP_BOVIN RecName_ Full=Plasma serine protease inhibitor; AltName_ Full=Protein C inhibitor; Short=PCI; AltName_ Full=Serpin A5; Flags_ Precursor	Homo_sapiens_sp_P05154_IPSP_HUMAN sp|P05154|IPSP_HUMAN Plasma serine protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA5 PE=1 SV=3
OG0000017	sp|A6QPQ2.1|SPA38_BOVIN RecName_ Full=Serpin A3-8; Flags_ Precursor, sp|A6QPQ2.1|SPA38_BOVIN RecName_ Full=Serpin A3-8; Flags_ Precursor, sp|A2I7M9.1|SPA32_BOVIN RecName_ Full=Serpin A3-2; Flags_ Precursor, DAA17272.1 TPA_ serpin A3-6 [Bos taurus]	Homo_sapiens_sp_P01011_AACT_HUMAN sp|P01011|AACT_HUMAN Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2
OG0000017	sp|E1BF81.1|CBG_BOVIN RecName_ Full=Corticosteroid-binding globulin; Short=CBG; AltName_ Full=Serpin A6; AltName_ Full=Transcortin; Flags_ Precursor	Homo_sapiens_sp_P08185_CBG_HUMAN sp|P08185|CBG_HUMAN Corticosteroid-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA6 PE=1 SV=1
OG0000017	NP_001070985.1 serpin A12 precursor [Bos taurus]	Homo_sapiens_sp_Q8IW75_SPA12_HUMAN sp|Q8IW75|SPA12_HUMAN Serpin A12 OS=Homo sapiens OX=9606 GN=SERPINA12 PE=1 SV=1
OG0000017	NP_001098516.1 heparin cofactor 2 precursor [Bos taurus]	Homo_sapiens_sp_P05546_HEP2_HUMAN sp|P05546|HEP2_HUMAN Heparin cofactor 2 OS=Homo sapiens OX=9606 GN=SERPIND1 PE=1 SV=3
OG0000017	NP_777246.1 factor XIIa inhibitor precursor [Bos taurus]	Homo_sapiens_sp_P05155_IC1_HUMAN sp|P05155|IC1_HUMAN Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2
OG0000017	sp|P28800.2|A2AP_BOVIN RecName_ Full=Alpha-2-antiplasmin; Short=Alpha-2-AP; AltName_ Full=Alpha-2-plasmin inhibitor; Short=Alpha-2-PI; AltName_ Full=Serpin F2; Flags_ Precursor	Homo_sapiens_sp_P08697_A2AP_HUMAN sp|P08697|A2AP_HUMAN Alpha-2-antiplasmin OS=Homo sapiens OX=9606 GN=SERPINF2 PE=1 SV=3
OG0000018	sp|Q8MJ24.1|LOXL4_BOVIN RecName_ Full=Lysyl oxidase homolog 4; AltName_ Full=Lysyl oxidase-like protein 4; Flags_ Precursor	Homo_sapiens_sp_Q96JB6_LOXL4_HUMAN sp|Q96JB6|LOXL4_HUMAN Lysyl oxidase homolog 4 OS=Homo sapiens OX=9606 GN=LOXL4 PE=1 SV=1
OG0000018	XP_059747438.1 lysyl oxidase homolog 3 isoform X1 [Bos taurus]	Homo_sapiens_sp_P58215_LOXL3_HUMAN sp|P58215|LOXL3_HUMAN Lysyl oxidase homolog 3 OS=Homo sapiens OX=9606 GN=LOXL3 PE=1 SV=1
OG0000018	sp|A6H737.1|LOXL2_BOVIN RecName_ Full=Lysyl oxidase homolog 2; AltName_ Full=Lysyl oxidase-like protein 2; Flags_ Precursor	Homo_sapiens_sp_Q9Y4K0_LOXL2_HUMAN sp|Q9Y4K0|LOXL2_HUMAN Lysyl oxidase homolog 2 OS=Homo sapiens OX=9606 GN=LOXL2 PE=1 SV=1
OG0000018	XP_059738076.1 deleted in malignant brain tumors 1 protein [Bos taurus]	Homo_sapiens_sp_Q9UGM3_DMBT1_HUMAN sp|Q9UGM3|DMBT1_HUMAN Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2
OG0000018	NP_001180151.2 neurotrypsin precursor [Bos taurus]	Homo_sapiens_sp_P56730_NETR_HUMAN sp|P56730|NETR_HUMAN Neurotrypsin OS=Homo sapiens OX=9606 GN=PRSS12 PE=2 SV=2
OG0000018	DAA17499.1 TPA_ lysyl oxidase homolog 1 precursor [Bos taurus]	Homo_sapiens_sp_Q08397_LOXL1_HUMAN sp|Q08397|LOXL1_HUMAN Lysyl oxidase homolog 1 OS=Homo sapiens OX=9606 GN=LOXL1 PE=1 SV=2
OG0000019	NP_001193227.1 growth/differentiation factor 15 precursor [Bos taurus]	Homo_sapiens_sp_Q99988_GDF15_HUMAN sp|Q99988|GDF15_HUMAN Growth/differentiation factor 15 OS=Homo sapiens OX=9606 GN=GDF15 PE=1 SV=3
OG0000019	XP_002687467.2 growth/differentiation factor 11 [Bos taurus]	Homo_sapiens_sp_O95390_GDF11_HUMAN sp|O95390|GDF11_HUMAN Growth/differentiation factor 11 OS=Homo sapiens OX=9606 GN=GDF11 PE=1 SV=1
OG0000019	NP_001192912.1 inhibin beta C chain precursor [Bos taurus]	Homo_sapiens_sp_P55103_INHBC_HUMAN sp|P55103|INHBC_HUMAN Inhibin beta C chain OS=Homo sapiens OX=9606 GN=INHBC PE=2 SV=1
OG0000019	NP_001192771.1 inhibin beta E chain precursor [Bos taurus]	Homo_sapiens_sp_P58166_INHBE_HUMAN sp|P58166|INHBE_HUMAN Inhibin beta E chain OS=Homo sapiens OX=9606 GN=INHBE PE=1 SV=1
OG0000019	sp|P55106.2|GDF6_BOVIN RecName_ Full=Growth/differentiation factor 6; Short=GDF-6; AltName_ Full=Bone morphogenetic protein 13; Short=BMP-13; AltName_ Full=Cartilage-derived morphogenetic protein 2; Short=CDMP-2; Flags_ Precursor	Homo_sapiens_sp_Q6KF10_GDF6_HUMAN sp|Q6KF10|GDF6_HUMAN Growth/differentiation factor 6 OS=Homo sapiens OX=9606 GN=GDF6 PE=1 SV=1
OG0000019	sp|P22444.2|BMP3_BOVIN RecName_ Full=Bone morphogenetic protein 3; Short=BMP-3; AltName_ Full=Osteogenin; Flags_ Precursor	Homo_sapiens_sp_P12645_BMP3_HUMAN sp|P12645|BMP3_HUMAN Bone morphogenetic protein 3 OS=Homo sapiens OX=9606 GN=BMP3 PE=1 SV=2
OG0000019	sp|Q08DX6.1|GDF10_BOVIN RecName_ Full=Growth/differentiation factor 10; Short=GDF-10; AltName_ Full=Bone morphogenetic protein 3B; Short=BMP-3B; Flags_ Precursor	Homo_sapiens_sp_P55107_GDF10_HUMAN sp|P55107|GDF10_HUMAN Growth/differentiation factor 10 OS=Homo sapiens OX=9606 GN=GDF10 PE=2 SV=1
OG0000019	XP_002687893.2 growth/differentiation factor 3 [Bos taurus]	Homo_sapiens_sp_Q9NR23_GDF3_HUMAN sp|Q9NR23|GDF3_HUMAN Growth/differentiation factor 3 OS=Homo sapiens OX=9606 GN=GDF3 PE=1 SV=3
OG0000020	XP_024839347.1 collagen alpha-2_XI_ chain isoform X1 [Bos taurus]	Homo_sapiens_sp_P13942_COBA2_HUMAN sp|P13942|COBA2_HUMAN Collagen alpha-2_XI_ chain OS=Homo sapiens OX=9606 GN=COL11A2 PE=1 SV=5
OG0000020	XP_024855495.1 collagen alpha-1_V_ chain isoform X2 [Bos taurus]	Homo_sapiens_sp_P20908_CO5A1_HUMAN sp|P20908|CO5A1_HUMAN Collagen alpha-1_V_ chain OS=Homo sapiens OX=9606 GN=COL5A1 PE=1 SV=3
