Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Porifera_Demospongiae_Ephydatia_muelleri
OG0000166	Nematostella_vectensis_NV2t024249001.1 NV2t024249001.1	Ephydatia_muelleri_Em0016g600a Em0016g600a, Ephydatia_muelleri_Em0016g747a Em0016g747a, Ephydatia_muelleri_Em0016g746a Em0016g746a, Ephydatia_muelleri_Em0016g753a Em0016g753a
OG0000177	Nematostella_vectensis_NV2t013212001.1 NV2t013212001.1	Ephydatia_muelleri_Em0008g1060a Em0008g1060a
OG0000178	Nematostella_vectensis_NV2t006547001.1 NV2t006547001.1, Nematostella_vectensis_NV2t007463001.1 NV2t007463001.1	Ephydatia_muelleri_Em0001g1073a Em0001g1073a, Ephydatia_muelleri_Em0001g1111a Em0001g1111a
OG0000182	Nematostella_vectensis_NV2t006820001.1 NV2t006820001.1	Ephydatia_muelleri_Em0020g994a Em0020g994a, Ephydatia_muelleri_Em0714g1a Em0714g1a
OG0000187	Nematostella_vectensis_NV2t005309001.1 NV2t005309001.1, Nematostella_vectensis_NV2t005308001.1 NV2t005308001.1, Nematostella_vectensis_NV2t005309002.1 NV2t005309002.1	Ephydatia_muelleri_Em0677g4a Em0677g4a, Ephydatia_muelleri_Em0679g4a Em0679g4a, Ephydatia_muelleri_Em0018g421a Em0018g421a
OG0000193	Nematostella_vectensis_NV2t009771001.1 NV2t009771001.1	Ephydatia_muelleri_Em0008g372a Em0008g372a
OG0000194	Nematostella_vectensis_NV2t011108001.1 NV2t011108001.1, Nematostella_vectensis_NV2t011108002.1 NV2t011108002.1	Ephydatia_muelleri_Em0014g778a Em0014g778a, Ephydatia_muelleri_Em0014g767a Em0014g767a
OG0000195	Nematostella_vectensis_NV2t011142001.1 NV2t011142001.1	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a
OG0000200	Nematostella_vectensis_NV2t002853001.1 NV2t002853001.1	Ephydatia_muelleri_Em0022g403a Em0022g403a
OG0000204	Nematostella_vectensis_NV2t003725001.1 NV2t003725001.1	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a
OG0000209	Nematostella_vectensis_NV2t022763001.1 NV2t022763001.1	Ephydatia_muelleri_Em0021g593a Em0021g593a
OG0000214	Nematostella_vectensis_NV2t024154001.1 NV2t024154001.1	Ephydatia_muelleri_Em0009g1219a Em0009g1219a
OG0000219	Nematostella_vectensis_NV2t022330001.1 NV2t022330001.1	Ephydatia_muelleri_Em0021g659a Em0021g659a
OG0000229	Nematostella_vectensis_NV2t021107001.1 NV2t021107001.1	Ephydatia_muelleri_Em0019g583a Em0019g583a
OG0000237	Nematostella_vectensis_NV2t022294001.1 NV2t022294001.1	Ephydatia_muelleri_Em0021g631a Em0021g631a
OG0000240	Nematostella_vectensis_NV2t001304001.1 NV2t001304001.1, Nematostella_vectensis_NV2t001304003.1 NV2t001304003.1, Nematostella_vectensis_NV2t001304002.1 NV2t001304002.1	Ephydatia_muelleri_Em0001g85a Em0001g85a
OG0000241	Nematostella_vectensis_NV2t025685001.1 NV2t025685001.1	Ephydatia_muelleri_Em0016g106a Em0016g106a
OG0000253	Nematostella_vectensis_NV2t014946001.1 NV2t014946001.1	Ephydatia_muelleri_Em0008g944a Em0008g944a
OG0000282	Nematostella_vectensis_NV2t010745001.1 NV2t010745001.1	Ephydatia_muelleri_Em0019g1040a Em0019g1040a
OG0000284	Nematostella_vectensis_NV2t014189001.1 NV2t014189001.1, Nematostella_vectensis_NV2t014189002.1 NV2t014189002.1, Nematostella_vectensis_NV2t009493001.1 NV2t009493001.1, Nematostella_vectensis_NV2t009494001.1 NV2t009494001.1	Ephydatia_muelleri_Em0001g1874a Em0001g1874a
OG0000309	Nematostella_vectensis_NV2t023330001.1 NV2t023330001.1	Ephydatia_muelleri_Em0009g1217a Em0009g1217a
OG0000314	Nematostella_vectensis_NV2t007515002.1 NV2t007515002.1, Nematostella_vectensis_NV2t007515003.1 NV2t007515003.1	Ephydatia_muelleri_Em0020g193a Em0020g193a
OG0000332	Nematostella_vectensis_NV2t021828001.1 NV2t021828001.1	Ephydatia_muelleri_Em0013g1126a Em0013g1126a
OG0000371	Nematostella_vectensis_NV2t008880001.1 NV2t008880001.1, Nematostella_vectensis_NV2t008880002.1 NV2t008880002.1	Ephydatia_muelleri_Em0005g1671a Em0005g1671a
OG0000400	Nematostella_vectensis_NV2t012452001.1 NV2t012452001.1	Ephydatia_muelleri_Em0016g543a Em0016g543a
OG0000476	Nematostella_vectensis_NV2t008265001.1 NV2t008265001.1	Ephydatia_muelleri_Em0099g3a Em0099g3a, Ephydatia_muelleri_Em0099g23a Em0099g23a, Ephydatia_muelleri_Em0429g7a Em0429g7a, Ephydatia_muelleri_Em0145g12a Em0145g12a
OG0001576	Nematostella_vectensis_NV2t022384002.1 NV2t022384002.1, Nematostella_vectensis_NV2t022384001.1 NV2t022384001.1	Ephydatia_muelleri_Em0005g601a Em0005g601a
OG0002016	Nematostella_vectensis_NV2t003577001.1 NV2t003577001.1	Ephydatia_muelleri_Em0013g1128a Em0013g1128a
