Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Ctenophora_Nuda_Beroe_ovata
OG0000133	Nematostella_vectensis_NV2t005944001.1 NV2t005944001.1	Beroe_ovata_Bova1_4.0231.g5.t2 Bova1_4.0231.g5.t2, Beroe_ovata_Bova1_4.0231.g5.t1 Bova1_4.0231.g5.t1
OG0000134	Nematostella_vectensis_NV2t019051002.1 NV2t019051002.1, Nematostella_vectensis_NV2t019051001.1 NV2t019051001.1, Nematostella_vectensis_NV2t008904001.1 NV2t008904001.1	Beroe_ovata_Bova1_4.0165.g23.t1 Bova1_4.0165.g23.t1, Beroe_ovata_Bova1_4.0165.g23.t2 Bova1_4.0165.g23.t2, Beroe_ovata_Bova1_4.0165.g23.t3 Bova1_4.0165.g23.t3
OG0000152	Nematostella_vectensis_NV2t015243001.1 NV2t015243001.1	Beroe_ovata_Bova1_4.0464.g3.t1 Bova1_4.0464.g3.t1
OG0000156	Nematostella_vectensis_NV2t013515001.1 NV2t013515001.1	Beroe_ovata_Bova1_4.0124.g23.t1 Bova1_4.0124.g23.t1
OG0000159	Nematostella_vectensis_NV2t018043001.1 NV2t018043001.1, Nematostella_vectensis_NV2t014678001.1 NV2t014678001.1	Beroe_ovata_Bova1_4.0003.g170.t1 Bova1_4.0003.g170.t1
OG0000165	Nematostella_vectensis_NV2t022022001.1 NV2t022022001.1	Beroe_ovata_Bova1_4.0080.g32.t1 Bova1_4.0080.g32.t1, Beroe_ovata_Bova1_4.0080.g31.t1 Bova1_4.0080.g31.t1
OG0000171	Nematostella_vectensis_NV2t012417001.1 NV2t012417001.1	Beroe_ovata_Bova1_4.0014.g57.t1 Bova1_4.0014.g57.t1
OG0000176	Nematostella_vectensis_NV2t007812002.1 NV2t007812002.1, Nematostella_vectensis_NV2t007812003.1 NV2t007812003.1, Nematostella_vectensis_NV2t007812001.1 NV2t007812001.1	Beroe_ovata_Bova1_4.0138.g15.t2 Bova1_4.0138.g15.t2, Beroe_ovata_Bova1_4.0138.g15.t1 Bova1_4.0138.g15.t1
OG0000177	Nematostella_vectensis_NV2t013212001.1 NV2t013212001.1	Beroe_ovata_Bova1_4.0025.g79.t1 Bova1_4.0025.g79.t1
OG0000187	Nematostella_vectensis_NV2t005309001.1 NV2t005309001.1, Nematostella_vectensis_NV2t005308001.1 NV2t005308001.1, Nematostella_vectensis_NV2t005309002.1 NV2t005309002.1	Beroe_ovata_Bova1_4.0039.g18.t1 Bova1_4.0039.g18.t1
OG0000192	Nematostella_vectensis_NV2t007835001.1 NV2t007835001.1, Nematostella_vectensis_NV2t007835002.1 NV2t007835002.1, Nematostella_vectensis_NV2t007835003.1 NV2t007835003.1	Beroe_ovata_Bova1_4.0025.g92.t1 Bova1_4.0025.g92.t1, Beroe_ovata_Bova1_4.0025.g94.t1 Bova1_4.0025.g94.t1
OG0000193	Nematostella_vectensis_NV2t009771001.1 NV2t009771001.1	Beroe_ovata_Bova1_4.0008.g11.t1 Bova1_4.0008.g11.t1, Beroe_ovata_Bova1_4.0008.g9.t1 Bova1_4.0008.g9.t1
OG0000194	Nematostella_vectensis_NV2t011108001.1 NV2t011108001.1, Nematostella_vectensis_NV2t011108002.1 NV2t011108002.1	Beroe_ovata_Bova1_4.0138.g26.t1 Bova1_4.0138.g26.t1
OG0000195	Nematostella_vectensis_NV2t011142001.1 NV2t011142001.1	Beroe_ovata_Bova1_4.0190.g12.t1 Bova1_4.0190.g12.t1
OG0000199	Nematostella_vectensis_NV2t017578001.1 NV2t017578001.1	Beroe_ovata_Bova1_4.0026.g82.t1 Bova1_4.0026.g82.t1
OG0000200	Nematostella_vectensis_NV2t002853001.1 NV2t002853001.1	Beroe_ovata_Bova1_4.0002.g138.t1 Bova1_4.0002.g138.t1
OG0000204	Nematostella_vectensis_NV2t003725001.1 NV2t003725001.1	Beroe_ovata_Bova1_4.0059.g16.t1 Bova1_4.0059.g16.t1, Beroe_ovata_Bova1_4.0059.g17.t1 Bova1_4.0059.g17.t1
OG0000210	Nematostella_vectensis_NV2t021186001.1 NV2t021186001.1, Nematostella_vectensis_NV2t019015002.1 NV2t019015002.1	Beroe_ovata_Bova1_4.0208.g6.t1 Bova1_4.0208.g6.t1, Beroe_ovata_Bova1_4.0208.g6.t2 Bova1_4.0208.g6.t2
OG0000211	Nematostella_vectensis_NV2t025670003.1 NV2t025670003.1, Nematostella_vectensis_NV2t025670006.1 NV2t025670006.1	Beroe_ovata_Bova1_4.0037.g29.t1 Bova1_4.0037.g29.t1
OG0000212	Nematostella_vectensis_NV2t025332003.1 NV2t025332003.1, Nematostella_vectensis_NV2t025332002.1 NV2t025332002.1	Beroe_ovata_Bova1_4.0035.g39.t1 Bova1_4.0035.g39.t1, Beroe_ovata_Bova1_4.0035.g40.t1 Bova1_4.0035.g40.t1
OG0000214	Nematostella_vectensis_NV2t024154001.1 NV2t024154001.1	Beroe_ovata_Bova1_4.0015.g97.t1 Bova1_4.0015.g97.t1
OG0000219	Nematostella_vectensis_NV2t022330001.1 NV2t022330001.1	Beroe_ovata_Bova1_4.0029.g52.t1 Bova1_4.0029.g52.t1
OG0000220	Nematostella_vectensis_NV2t015168001.1 NV2t015168001.1	Beroe_ovata_Bova1_4.0196.g21.t1 Bova1_4.0196.g21.t1
OG0000237	Nematostella_vectensis_NV2t022294001.1 NV2t022294001.1	Beroe_ovata_Bova1_4.0123.g22.t1 Bova1_4.0123.g22.t1
OG0000240	Nematostella_vectensis_NV2t019924001.1 NV2t019924001.1	Beroe_ovata_Bova1_4.0090.g1.t1 Bova1_4.0090.g1.t1, Beroe_ovata_Bova1_4.0011.g80.t1 Bova1_4.0011.g80.t1
OG0000240	Nematostella_vectensis_NV2t001304001.1 NV2t001304001.1, Nematostella_vectensis_NV2t001304003.1 NV2t001304003.1, Nematostella_vectensis_NV2t001304002.1 NV2t001304002.1	Beroe_ovata_Bova1_4.0275.g12.t1 Bova1_4.0275.g12.t1
OG0000276	Nematostella_vectensis_NV2t004034001.1 NV2t004034001.1, Nematostella_vectensis_NV2t004033001.1 NV2t004033001.1	Beroe_ovata_Bova1_4.0017.g35.t1 Bova1_4.0017.g35.t1
OG0000400	Nematostella_vectensis_NV2t012452001.1 NV2t012452001.1	Beroe_ovata_Bova1_4.0004.g104.t1 Bova1_4.0004.g104.t1, Beroe_ovata_Bova1_4.0004.g103.t1 Bova1_4.0004.g103.t1, Beroe_ovata_Bova1_4.0114.g5.t1 Bova1_4.0114.g5.t1
OG0000428	Nematostella_vectensis_NV2t024045001.1 NV2t024045001.1	Beroe_ovata_Bova1_4.0973.g1.t1 Bova1_4.0973.g1.t1, Beroe_ovata_Bova1_4.0181.g7.t2 Bova1_4.0181.g7.t2, Beroe_ovata_Bova1_4.0181.g7.t1 Bova1_4.0181.g7.t1
OG0000436	Nematostella_vectensis_NV2t002072001.1 NV2t002072001.1	Beroe_ovata_Bova1_4.0153.g3.t3 Bova1_4.0153.g3.t3, Beroe_ovata_Bova1_4.0153.g3.t1 Bova1_4.0153.g3.t1
OG0000500	Nematostella_vectensis_NV2t000112002.1 NV2t000112002.1	Beroe_ovata_Bova1_4.0087.g43.t1 Bova1_4.0087.g43.t1
OG0000598	Nematostella_vectensis_NV2t000771001.1 NV2t000771001.1	Beroe_ovata_Bova1_4.0061.g27.t2 Bova1_4.0061.g27.t2, Beroe_ovata_Bova1_4.0061.g27.t1 Bova1_4.0061.g27.t1
