Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000007	Nematostella_vectensis_NV2t016433001.1 NV2t016433001.1	Exaiptasia_diaphana_XP_028513923.1 XP_028513923.1 sushi domain-containing protein 2 [Exaiptasia diaphana]
OG0000007	Nematostella_vectensis_NV2t016270001.1 NV2t016270001.1, Nematostella_vectensis_NV2t016270002.1 NV2t016270002.1, Nematostella_vectensis_NV2t016273001.1 NV2t016273001.1	Exaiptasia_diaphana_XP_020915927.1 XP_020915927.1 uncharacterized protein LOC110253367 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895662.2 XP_020895662.2 fibulin-1 [Exaiptasia diaphana]
OG0000007	Nematostella_vectensis_NV2t003396003.1 NV2t003396003.1, Nematostella_vectensis_NV2t003396001.1 NV2t003396001.1	Exaiptasia_diaphana_XP_020908530.1 XP_020908530.1 fibrillin-2 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908531.1 XP_020908531.1 fibrillin-2 isoform X2 [Exaiptasia diaphana]
OG0000007	Nematostella_vectensis_NV2t006897001.1 NV2t006897001.1	Exaiptasia_diaphana_XP_028515269.1 XP_028515269.1 pro-epidermal growth factor-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514361.1 XP_028514361.1 uncharacterized protein LOC110237188 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t006437001.1 NV2t006437001.1, Nematostella_vectensis_NV2t006437002.1 NV2t006437002.1	Exaiptasia_diaphana_XP_020901878.1 XP_020901878.1 uncharacterized protein LOC110240410 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515273.1 XP_028515273.1 uncharacterized protein LOC110240410 isoform X1 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t010243001.1 NV2t010243001.1	Exaiptasia_diaphana_XP_020901957.1 XP_020901957.1 protein jagged-1-like [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t011904001.1 NV2t011904001.1, Nematostella_vectensis_NV2t011904002.1 NV2t011904002.1, Nematostella_vectensis_NV2t011904015.1 NV2t011904015.1, Nematostella_vectensis_NV2t011904007.1 NV2t011904007.1, Nematostella_vectensis_NV2t011904010.1 NV2t011904010.1, Nematostella_vectensis_NV2t011904016.1 NV2t011904016.1, Nematostella_vectensis_NV2t011904013.1 NV2t011904013.1, Nematostella_vectensis_NV2t011904014.1 NV2t011904014.1, Nematostella_vectensis_NV2t011904012.1 NV2t011904012.1, Nematostella_vectensis_NV2t011904005.1 NV2t011904005.1, Nematostella_vectensis_NV2t011904008.1 NV2t011904008.1, Nematostella_vectensis_NV2t011904004.1 NV2t011904004.1, Nematostella_vectensis_NV2t011904003.1 NV2t011904003.1, Nematostella_vectensis_NV2t011904009.1 NV2t011904009.1, Nematostella_vectensis_NV2t011904006.1 NV2t011904006.1, Nematostella_vectensis_NV2t011903001.1 NV2t011903001.1	Exaiptasia_diaphana_XP_028516255.1 XP_028516255.1 uromodulin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516256.1 XP_028516256.1 uncharacterized protein LOC110243828 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905625.1 XP_020905625.1 uncharacterized protein LOC110243830_ partial [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t023645001.1 NV2t023645001.1, Nematostella_vectensis_NV2t025393001.1 NV2t025393001.1	Exaiptasia_diaphana_XP_028516771.1 XP_028516771.1 fibropellin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893910.1 XP_020893910.1 oncoprotein-induced transcript 3 protein isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513086.1 XP_028513086.1 neurogenic locus Notch protein [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t020124005.1 NV2t020124005.1, Nematostella_vectensis_NV2t020124003.1 NV2t020124003.1, Nematostella_vectensis_NV2t020124004.1 NV2t020124004.1, Nematostella_vectensis_NV2t020124002.1 NV2t020124002.1, Nematostella_vectensis_NV2t020124001.1 NV2t020124001.1, Nematostella_vectensis_NV2t008000001.1 NV2t008000001.1, Nematostella_vectensis_NV2t019957001.1 NV2t019957001.1	Exaiptasia_diaphana_XP_028513929.1 XP_028513929.1 uromodulin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904484.1 XP_020904484.1 uromodulin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514431.1 XP_028514431.1 uromodulin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513931.1 XP_028513931.1 uncharacterized protein LOC114574740 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020897911.1 XP_020897911.1 uromodulin [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t017065001.1 NV2t017065001.1, Nematostella_vectensis_NV2t017065002.1 NV2t017065002.1	Exaiptasia_diaphana_XP_028513637.1 XP_028513637.1 uncharacterized protein LOC110234972 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t005917001.1 NV2t005917001.1	Exaiptasia_diaphana_XP_028513461.1 XP_028513461.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t006441001.1 NV2t006441001.1	Exaiptasia_diaphana_XP_028512553.1 XP_028512553.1 neurogenic locus notch homolog protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512554.1 XP_028512554.1 uncharacterized protein LOC110231339 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020892013.1 XP_020892013.1 uncharacterized protein LOC110231339 isoform X2 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t006439001.1 NV2t006439001.1	Exaiptasia_diaphana_XP_020901876.2 XP_020901876.2 fibropellin-1 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t006022001.1 NV2t006022001.1, Nematostella_vectensis_NV2t006021001.1 NV2t006021001.1, Nematostella_vectensis_NV2t005918001.1 NV2t005918001.1, Nematostella_vectensis_NV2t005918002.1 NV2t005918002.1	Exaiptasia_diaphana_XP_020895457.1 XP_020895457.1 neurogenic locus Notch protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895456.1 XP_020895456.1 LOW QUALITY PROTEIN_ fibropellin-1-like [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t005916001.1 NV2t005916001.1	Exaiptasia_diaphana_XP_028513462.1 XP_028513462.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t025661003.1 NV2t025661003.1, Nematostella_vectensis_NV2t025661002.1 NV2t025661002.1, Nematostella_vectensis_NV2t025659003.1 NV2t025659003.1, Nematostella_vectensis_NV2t025659001.1 NV2t025659001.1, Nematostella_vectensis_NV2t025659004.1 NV2t025659004.1, Nematostella_vectensis_NV2t025659002.1 NV2t025659002.1, Nematostella_vectensis_NV2t025658001.1 NV2t025658001.1	Exaiptasia_diaphana_XP_028518339.1 XP_028518339.1 protein crumbs homolog 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517733.1 XP_028517733.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t005960001.1 NV2t005960001.1, Nematostella_vectensis_NV2t005962001.1 NV2t005962001.1	Exaiptasia_diaphana_XP_020895618.2 XP_020895618.2 sushi_ von Willebrand factor type A_ EGF and pentraxin domain-containing protein 1 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t023650001.1 NV2t023650001.1, Nematostella_vectensis_NV2t015698001.1 NV2t015698001.1, Nematostella_vectensis_NV2t015715001.1 NV2t015715001.1, Nematostella_vectensis_NV2t015716001.1 NV2t015716001.1	Exaiptasia_diaphana_XP_028519364.1 XP_028519364.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t019209001.1 NV2t019209001.1	Exaiptasia_diaphana_XP_028515036.1 XP_028515036.1 fibrillin-2 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t010370001.1 NV2t010370001.1, Nematostella_vectensis_NV2t010398001.1 NV2t010398001.1, Nematostella_vectensis_NV2t010398002.1 NV2t010398002.1	Exaiptasia_diaphana_XP_020911361.1 XP_020911361.1 fibropellin-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911360.1 XP_020911360.1 fibropellin-1 isoform X1 [Exaiptasia diaphana]
OG0000008	Nematostella_vectensis_NV2t010371001.1 NV2t010371001.1	Exaiptasia_diaphana_XP_020901168.1 XP_020901168.1 fibropellin-1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t018837001.1 NV2t018837001.1, Nematostella_vectensis_NV2t017853001.1 NV2t017853001.1	Exaiptasia_diaphana_XP_020913923.2 XP_020913923.2 CUB domain-containing protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913902.1 XP_020913902.1 procollagen C-endopeptidase enhancer 2 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t013293002.1 NV2t013293002.1, Nematostella_vectensis_NV2t013293001.1 NV2t013293001.1	Exaiptasia_diaphana_XP_028518752.1 XP_028518752.1 uncharacterized protein LOC110251671 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914061.1 XP_020914061.1 uncharacterized protein LOC110251671 isoform X1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t003100001.1 NV2t003100001.1	Exaiptasia_diaphana_XP_020911194.1 XP_020911194.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t021954001.1 NV2t021954001.1	Exaiptasia_diaphana_XP_020913508.1 XP_020913508.1 tolloid-like protein 2 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t014830001.1 NV2t014830001.1, Nematostella_vectensis_NV2t014830002.1 NV2t014830002.1, Nematostella_vectensis_NV2t014356001.1 NV2t014356001.1	Exaiptasia_diaphana_XP_020891852.1 XP_020891852.1 uncharacterized protein LOC110231209 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512500.1 XP_028512500.1 uncharacterized protein LOC110231209 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512501.1 XP_028512501.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512503.1 XP_028512503.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028512502.1 XP_028512502.1 uncharacterized protein LOC110231209 isoform X3 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t014699001.1 NV2t014699001.1	Exaiptasia_diaphana_XP_028515415.1 XP_028515415.1 CUB and peptidase domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515413.1 XP_028515413.1 ribosome-binding protein 1-like [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t003026001.1 NV2t003026001.1, Nematostella_vectensis_NV2t002825001.1 NV2t002825001.1	Exaiptasia_diaphana_XP_020917130.1 XP_020917130.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t016314001.1 NV2t016314001.1, Nematostella_vectensis_NV2t016315002.1 NV2t016315002.1, Nematostella_vectensis_NV2t016315001.1 NV2t016315001.1	Exaiptasia_diaphana_XP_020914713.1 XP_020914713.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914712.1 XP_020914712.1 tolloid-like protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914711.1 XP_020914711.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t003625001.1 NV2t003625001.1	Exaiptasia_diaphana_XP_020905815.1 XP_020905815.1 tolloid-like protein 2_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905817.2 XP_020905817.2 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905818.2 XP_020905818.2 protein shisa-5-like_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905821.1 XP_020905821.1 tolloid-like protein 2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020905820.1 XP_020905820.1 tolloid-like protein 2 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t005224001.1 NV2t005224001.1	Exaiptasia_diaphana_XP_028518116.1 XP_028518116.1 cubilin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911687.2 XP_020911687.2 cubilin-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902050.1 XP_020902050.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t002814001.1 NV2t002814001.1	Exaiptasia_diaphana_XP_020914019.1 XP_020914019.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t003167001.1 NV2t003167001.1, Nematostella_vectensis_NV2t003167002.1 NV2t003167002.1	Exaiptasia_diaphana_XP_020905197.1 XP_020905197.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t003698001.1 NV2t003698001.1	Exaiptasia_diaphana_XP_020913976.1 XP_020913976.1 cubilin [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t003699001.1 NV2t003699001.1, Nematostella_vectensis_NV2t003699002.1 NV2t003699002.1, Nematostella_vectensis_NV2t003699003.1 NV2t003699003.1	Exaiptasia_diaphana_XP_020913978.1 XP_020913978.1 dorsal-ventral patterning tolloid-like protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020913979.1 XP_020913979.1 dorsal-ventral patterning tolloid-like protein 1 isoform X2 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t014373001.1 NV2t014373001.1	Exaiptasia_diaphana_XP_020909071.1 XP_020909071.1 tolloid-like protein 1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t001391003.1 NV2t001391003.1, Nematostella_vectensis_NV2t001391002.1 NV2t001391002.1, Nematostella_vectensis_NV2t001391001.1 NV2t001391001.1	Exaiptasia_diaphana_XP_028515218.1 XP_028515218.1 dorsal-ventral patterning tolloid-like protein 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515217.1 XP_028515217.1 dorsal-ventral patterning tolloid-like protein 1 isoform X1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t003735001.1 NV2t003735001.1	Exaiptasia_diaphana_XP_020913999.1 XP_020913999.1 LOW QUALITY PROTEIN_ fibrillin-1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518791.1 XP_028518791.1 LOW QUALITY PROTEIN_ fibrillin-1-like isoform X1 [Exaiptasia diaphana]
OG0000009	Nematostella_vectensis_NV2t003736003.1 NV2t003736003.1, Nematostella_vectensis_NV2t003736001.1 NV2t003736001.1, Nematostella_vectensis_NV2t003736002.1 NV2t003736002.1	Exaiptasia_diaphana_XP_020914029.1 XP_020914029.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X5 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518788.1 XP_028518788.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914027.1 XP_020914027.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518787.1 XP_028518787.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518786.1 XP_028518786.1 LOW QUALITY PROTEIN_ fibrillin-2-like isoform X1 [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t014905001.1 NV2t014905001.1, Nematostella_vectensis_NV2t014905002.1 NV2t014905002.1, Nematostella_vectensis_NV2t014905003.1 NV2t014905003.1	Exaiptasia_diaphana_XP_020914581.2 XP_020914581.2 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t021353001.1 NV2t021353001.1, Nematostella_vectensis_NV2t021353003.1 NV2t021353003.1	Exaiptasia_diaphana_XP_020899237.1 XP_020899237.1 roundabout homolog 1 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514562.1 XP_028514562.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899232.1 XP_020899232.1 roundabout homolog 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899235.1 XP_020899235.1 roundabout homolog 1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899236.1 XP_020899236.1 roundabout homolog 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899238.1 XP_020899238.1 roundabout homolog 1 isoform X5 [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t001116001.1 NV2t001116001.1	Exaiptasia_diaphana_XP_020915443.2 XP_020915443.2 contactin-5-like [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t022600001.1 NV2t022600001.1	Exaiptasia_diaphana_XP_028519700.1 XP_028519700.1 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917370.1 XP_020917370.1 hemicentin-2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020917369.1 XP_020917369.1 hemicentin-2 [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t025565001.1 NV2t025565001.1	Exaiptasia_diaphana_XP_020912327.1 XP_020912327.1 Down syndrome cell adhesion molecule [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t024790001.1 NV2t024790001.1	Exaiptasia_diaphana_XP_028516420.1 XP_028516420.1 hemicentin-1 [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t023125001.1 NV2t023125001.1	Exaiptasia_diaphana_XP_028519293.1 XP_028519293.1 hemicentin-2-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519300.1 XP_028519300.1 hemicentin-1 [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t022783003.1 NV2t022783003.1, Nematostella_vectensis_NV2t022783004.1 NV2t022783004.1, Nematostella_vectensis_NV2t022783001.1 NV2t022783001.1, Nematostella_vectensis_NV2t022783005.1 NV2t022783005.1, Nematostella_vectensis_NV2t022783002.1 NV2t022783002.1	Exaiptasia_diaphana_XP_020898537.1 XP_020898537.1 hemicentin-1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898540.1 XP_020898540.1 uncharacterized protein LOC110237290 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906332.1 XP_020906332.1 titin_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906312.1 XP_020906312.1 neurogenic locus notch homolog protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898535.1 XP_020898535.1 hemicentin-1 [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t022081001.1 NV2t022081001.1	Exaiptasia_diaphana_XP_020902103.1 XP_020902103.1 hemicentin-1 [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t006047001.1 NV2t006047001.1	Exaiptasia_diaphana_XP_020894828.2 XP_020894828.2 protein eyes shut homolog [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t014904001.1 NV2t014904001.1	Exaiptasia_diaphana_XP_028518930.1 XP_028518930.1 basement membrane-specific heparan sulfate proteoglycan core protein [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t000707001.1 NV2t000707001.1	Exaiptasia_diaphana_XP_028518186.1 XP_028518186.1 pikachurin [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t013423001.1 NV2t013423001.1	Exaiptasia_diaphana_XP_028516406.1 XP_028516406.1 zonadhesin [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t014043001.1 NV2t014043001.1	Exaiptasia_diaphana_XP_020902315.1 XP_020902315.1 uncharacterized protein LOC110240840 [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t014046006.1 NV2t014046006.1, Nematostella_vectensis_NV2t014046005.1 NV2t014046005.1	Exaiptasia_diaphana_XP_028513610.1 XP_028513610.1 agrin_ partial [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t014092001.1 NV2t014092001.1	Exaiptasia_diaphana_XP_020909932.2 XP_020909932.2 uncharacterized protein LOC110247804_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517563.1 XP_028517563.1 neurogenic locus notch homolog protein 1-like [Exaiptasia diaphana]
OG0000010	Nematostella_vectensis_NV2t014093001.1 NV2t014093001.1	Exaiptasia_diaphana_XP_028517562.1 XP_028517562.1 agrin [Exaiptasia diaphana]
OG0000011	Nematostella_vectensis_NV2t012077002.1 NV2t012077002.1, Nematostella_vectensis_NV2t006768001.1 NV2t006768001.1	Exaiptasia_diaphana_XP_020895286.2 XP_020895286.2 uncharacterized protein LOC110234259_ partial [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513122.1 XP_028513122.1 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894038.2 XP_020894038.2 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513123.1 XP_028513123.1 tyrosine-protein kinase transmembrane receptor Ror2-like isoform X3 [Exaiptasia diaphana]
OG0000012	Nematostella_vectensis_NV2t012902001.1 NV2t012902001.1	Exaiptasia_diaphana_XP_028517760.1 XP_028517760.1 mucin-2_ partial [Exaiptasia diaphana]
OG0000012	Nematostella_vectensis_NV2t016210001.1 NV2t016210001.1	Exaiptasia_diaphana_XP_028519674.1 XP_028519674.1 mucin-5AC [Exaiptasia diaphana]
OG0000012	Nematostella_vectensis_NV2t012730001.1 NV2t012730001.1	Exaiptasia_diaphana_XP_020913063.1 XP_020913063.1 kielin_chordin-like protein [Exaiptasia diaphana]
OG0000012	Nematostella_vectensis_NV2t006919001.1 NV2t006919001.1	Exaiptasia_diaphana_XP_020901426.1 XP_020901426.1 uncharacterized protein LOC110239999 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020907660.2 XP_020907660.2 uncharacterized protein LOC110245709 [Exaiptasia diaphana]
OG0000012	Nematostella_vectensis_NV2t019905001.1 NV2t019905001.1	Exaiptasia_diaphana_XP_020911414.1 XP_020911414.1 neuropilin-1a [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t002707001.1 NV2t002707001.1	Exaiptasia_diaphana_XP_020904195.1 XP_020904195.1 protein Wnt-16 [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t023407003.1 NV2t023407003.1, Nematostella_vectensis_NV2t023407002.1 NV2t023407002.1, Nematostella_vectensis_NV2t023407001.1 NV2t023407001.1	Exaiptasia_diaphana_XP_028514350.1 XP_028514350.1 protein Wnt-7b-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514349.1 XP_028514349.1 protein Wnt-4a-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898386.1 XP_020898386.1 protein Wnt-1 [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t011033001.1 NV2t011033001.1	Exaiptasia_diaphana_XP_020913045.1 XP_020913045.1 protein Wnt-2-like [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t012225001.1 NV2t012225001.1	Exaiptasia_diaphana_XP_020893168.1 XP_020893168.1 protein Wnt-1 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893167.1 XP_020893167.1 protein Wnt-1 isoform X1 [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t012463001.1 NV2t012463001.1	Exaiptasia_diaphana_XP_020893235.1 XP_020893235.1 protein Wnt-3a [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t003611004.1 NV2t003611004.1, Nematostella_vectensis_NV2t003611002.1 NV2t003611002.1, Nematostella_vectensis_NV2t003611005.1 NV2t003611005.1, Nematostella_vectensis_NV2t003611001.1 NV2t003611001.1, Nematostella_vectensis_NV2t003611003.1 NV2t003611003.1	Exaiptasia_diaphana_XP_020904203.1 XP_020904203.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904202.1 XP_020904202.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904201.1 XP_020904201.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515919.1 XP_028515919.1 protein Wnt-5b isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904200.1 XP_020904200.1 protein Wnt-5b isoform X1 [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t022664005.1 NV2t022664005.1, Nematostella_vectensis_NV2t022664004.1 NV2t022664004.1, Nematostella_vectensis_NV2t022664001.1 NV2t022664001.1, Nematostella_vectensis_NV2t022664003.1 NV2t022664003.1, Nematostella_vectensis_NV2t022664006.1 NV2t022664006.1, Nematostella_vectensis_NV2t022664002.1 NV2t022664002.1	Exaiptasia_diaphana_XP_020904766.1 XP_020904766.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904744.1 XP_020904744.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904751.1 XP_020904751.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904759.1 XP_020904759.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902344.1 XP_020902344.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902345.1 XP_020902345.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902346.1 XP_020902346.1 protein Wnt-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902347.1 XP_020902347.1 protein Wnt-4 [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t003609002.1 NV2t003609002.1, Nematostella_vectensis_NV2t003609001.1 NV2t003609001.1	Exaiptasia_diaphana_XP_020904181.2 XP_020904181.2 protein Wnt-7b isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904180.2 XP_020904180.2 protein Wnt-7a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904179.2 XP_020904179.2 protein Wnt-7a isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904182.1 XP_020904182.1 protein Wnt-7a isoform X4 [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t003168003.1 NV2t003168003.1, Nematostella_vectensis_NV2t003168001.1 NV2t003168001.1, Nematostella_vectensis_NV2t003168002.1 NV2t003168002.1	Exaiptasia_diaphana_XP_020895878.1 XP_020895878.1 protein Wnt-2b-A [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t003689001.1 NV2t003689001.1, Nematostella_vectensis_NV2t004522001.1 NV2t004522001.1	Exaiptasia_diaphana_XP_028514332.1 XP_028514332.1 protein Wnt-8a isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898355.1 XP_020898355.1 protein Wnt-8b [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020898335.1 XP_020898335.1 protein Wnt-8b isoform X1 [Exaiptasia diaphana]
OG0000013	Nematostella_vectensis_NV2t005661001.1 NV2t005661001.1	Exaiptasia_diaphana_XP_020898370.1 XP_020898370.1 protein Wnt-8b_ partial [Exaiptasia diaphana]
