Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Chordata_Vertebrata_Coturnix_japonica
OG0000041	Nematostella_vectensis_NV2t020167001.1 NV2t020167001.1, Nematostella_vectensis_NV2t022463002.1 NV2t022463002.1, Nematostella_vectensis_NV2t022463001.1 NV2t022463001.1, Nematostella_vectensis_NV2t019996001.1 NV2t019996001.1, Nematostella_vectensis_NV2t019992001.1 NV2t019992001.1	Coturnix_japonica_XP_015740894.1 PREDICTED_ LOW QUALITY PROTEIN_ von Willebrand factor A domain-containing protein 5A [Coturnix japonica]
OG0000041	Nematostella_vectensis_NV2t015230001.1 NV2t015230001.1	Coturnix_japonica_XP_015727259.1 von Willebrand factor A domain-containing protein 5B2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737811.1 von Willebrand factor A domain-containing protein 5B1 [Coturnix japonica]
OG0000044	Nematostella_vectensis_NV2t009869001.1 NV2t009869001.1, Nematostella_vectensis_NV2t010348003.1 NV2t010348003.1, Nematostella_vectensis_NV2t010348004.1 NV2t010348004.1, Nematostella_vectensis_NV2t010348002.1 NV2t010348002.1, Nematostella_vectensis_NV2t010348007.1 NV2t010348007.1, Nematostella_vectensis_NV2t010348005.1 NV2t010348005.1, Nematostella_vectensis_NV2t010348010.1 NV2t010348010.1, Nematostella_vectensis_NV2t010348008.1 NV2t010348008.1	Coturnix_japonica_XP_015737318.1 protein-glutamine gamma-glutamyltransferase 2 [Coturnix japonica], Coturnix_japonica_XP_015736940.1 PREDICTED_ protein-glutamine gamma-glutamyltransferase E-like_ partial [Coturnix japonica], Coturnix_japonica_XP_015736972.1 protein-glutamine gamma-glutamyltransferase 6-like [Coturnix japonica], Coturnix_japonica_XP_015709680.1 protein-glutamine gamma-glutamyltransferase 4 [Coturnix japonica], Coturnix_japonica_XP_015710131.1 coagulation factor XIII A chain [Coturnix japonica]
OG0000045	Nematostella_vectensis_NV2t015819001.1 NV2t015819001.1, Nematostella_vectensis_NV2t017119001.1 NV2t017119001.1	Coturnix_japonica_XP_015710913.1 PREDICTED_ laminin subunit alpha-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015736975.1 laminin subunit alpha-5 isoform X3 [Coturnix japonica]
OG0000045	Nematostella_vectensis_NV2t015818001.1 NV2t015818001.1	Coturnix_japonica_XP_015714210.1 laminin subunit alpha-4 [Coturnix japonica]
OG0000049	Nematostella_vectensis_NV2t002812001.1 NV2t002812001.1	Coturnix_japonica_XP_015730469.1 plexin-A1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740621.1 PREDICTED_ plexin-A2 [Coturnix japonica], Coturnix_japonica_XP_015716725.1 plexin-A4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730724.1 plexin-B1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015708110.1 plexin-B2 [Coturnix japonica], Coturnix_japonica_XP_015730333.1 plexin-D1 [Coturnix japonica]
OG0000054	Nematostella_vectensis_NV2t000638001.1 NV2t000638001.1	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]
OG0000059	Nematostella_vectensis_NV2t018056001.1 NV2t018056001.1, Nematostella_vectensis_NV2t018054001.1 NV2t018054001.1, Nematostella_vectensis_NV2t013183002.1 NV2t013183002.1, Nematostella_vectensis_NV2t013183001.1 NV2t013183001.1, Nematostella_vectensis_NV2t021120001.1 NV2t021120001.1	Coturnix_japonica_XP_015740640.1 signal peptide_ CUB and EGF-like domain-containing protein 3 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015725419.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015719548.1 PREDICTED_ signal peptide_ CUB and EGF-like domain-containing protein 2 isoform X1 [Coturnix japonica]
OG0000063	Nematostella_vectensis_NV2t000128002.1 NV2t000128002.1, Nematostella_vectensis_NV2t000128001.1 NV2t000128001.1, Nematostella_vectensis_NV2t000128004.1 NV2t000128004.1, Nematostella_vectensis_NV2t000128003.1 NV2t000128003.1, Nematostella_vectensis_NV2t010760002.1 NV2t010760002.1, Nematostella_vectensis_NV2t010760001.1 NV2t010760001.1	Coturnix_japonica_XP_015708514.1 sonic hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015724713.1 indian hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015742402.1 desert hedgehog protein [Coturnix japonica]
OG0000064	Nematostella_vectensis_NV2t022930001.1 NV2t022930001.1	Coturnix_japonica_XP_015720647.1 PREDICTED_ latent-transforming growth factor beta-binding protein 2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015713186.1 latent-transforming growth factor beta-binding protein 1 isoform X6 [Coturnix japonica]
OG0000064	Nematostella_vectensis_NV2t022931001.1 NV2t022931001.1	Coturnix_japonica_XP_015742103.1 PREDICTED_ fibrillin-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705146.1 fibrillin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728443.1 fibrillin-1 isoform X1 [Coturnix japonica]
OG0000065	Nematostella_vectensis_NV2t022015001.1 NV2t022015001.1, Nematostella_vectensis_NV2t022018001.1 NV2t022018001.1	Coturnix_japonica_XP_015707026.1 glypican-5 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715912.1 glypican-3 isoform X1 [Coturnix japonica]
OG0000078	Nematostella_vectensis_NV2t017628001.1 NV2t017628001.1	Coturnix_japonica_XP_015712526.1 cystatin [Coturnix japonica], Coturnix_japonica_XP_015712583.1 cystatin-F [Coturnix japonica]
OG0000080	Nematostella_vectensis_NV2t017964001.1 NV2t017964001.1, Nematostella_vectensis_NV2t003669001.1 NV2t003669001.1, Nematostella_vectensis_NV2t003671001.1 NV2t003671001.1, Nematostella_vectensis_NV2t002779001.1 NV2t002779001.1	Coturnix_japonica_XP_015719193.1 metalloproteinase inhibitor 3 [Coturnix japonica], Coturnix_japonica_XP_015735526.1 metalloproteinase inhibitor 2 [Coturnix japonica], Coturnix_japonica_XP_015730262.1 metalloproteinase inhibitor 4 isoform X3 [Coturnix japonica]
OG0000081	Nematostella_vectensis_NV2t010636001.1 NV2t010636001.1, Nematostella_vectensis_NV2t010636002.1 NV2t010636002.1, Nematostella_vectensis_NV2t001170001.1 NV2t001170001.1	Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica], Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica]
OG0000083	Nematostella_vectensis_NV2t014428001.1 NV2t014428001.1, Nematostella_vectensis_NV2t014444001.1 NV2t014444001.1	Coturnix_japonica_XP_015730132.1 hyaluronidase-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015729975.1 hyaluronidase-1 [Coturnix japonica], Coturnix_japonica_XP_015708262.1 hyaluronidase PH-20 [Coturnix japonica], Coturnix_japonica_XP_015729965.1 PREDICTED_ hyaluronidase-2 [Coturnix japonica]
OG0000084	Nematostella_vectensis_NV2t011420001.1 NV2t011420001.1	Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015723175.2 collagen alpha-1_XVIII_ chain isoform X1 [Coturnix japonica]
OG0000088	Nematostella_vectensis_NV2t009987001.1 NV2t009987001.1	Coturnix_japonica_XP_015718401.1 spondin-2 [Coturnix japonica], Coturnix_japonica_XP_015719003.1 PREDICTED_ spondin-1 [Coturnix japonica]
OG0000089	Nematostella_vectensis_NV2t014185001.1 NV2t014185001.1	Coturnix_japonica_XP_015727358.1 chordin [Coturnix japonica]
OG0000089	Nematostella_vectensis_NV2t022735001.1 NV2t022735001.1	Coturnix_japonica_XP_015716178.1 chordin-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015708156.1 PREDICTED_ chordin-like protein 2 isoform X1 [Coturnix japonica]
OG0000090	Nematostella_vectensis_NV2t007793001.1 NV2t007793001.1, Nematostella_vectensis_NV2t022626001.1 NV2t022626001.1, Nematostella_vectensis_NV2t022622001.1 NV2t022622001.1, Nematostella_vectensis_NV2t022624001.1 NV2t022624001.1, Nematostella_vectensis_NV2t022627001.1 NV2t022627001.1, Nematostella_vectensis_NV2t011760001.1 NV2t011760001.1, Nematostella_vectensis_NV2t012169001.1 NV2t012169001.1	Coturnix_japonica_XP_015742253.1 hyaluronan and proteoglycan link protein 4 [Coturnix japonica], Coturnix_japonica_XP_015705243.1 PREDICTED_ hyaluronan and proteoglycan link protein 1 [Coturnix japonica], Coturnix_japonica_XP_015728574.1 hyaluronan and proteoglycan link protein 3 [Coturnix japonica], Coturnix_japonica_XP_015739947.1 hyaluronan and proteoglycan link protein 2 [Coturnix japonica]
OG0000093	Nematostella_vectensis_NV2t008996001.1 NV2t008996001.1, Nematostella_vectensis_NV2t009097001.1 NV2t009097001.1	Coturnix_japonica_XP_015729012.1 leukocyte cysteine proteinase inhibitor 1-like [Coturnix japonica], Coturnix_japonica_XP_015729006.1 cystatin-B-like [Coturnix japonica]
OG0000095	Nematostella_vectensis_NV2t011433006.1 NV2t011433006.1, Nematostella_vectensis_NV2t011433002.1 NV2t011433002.1, Nematostella_vectensis_NV2t011433001.1 NV2t011433001.1, Nematostella_vectensis_NV2t011433005.1 NV2t011433005.1, Nematostella_vectensis_NV2t011433003.1 NV2t011433003.1, Nematostella_vectensis_NV2t011433004.1 NV2t011433004.1	Coturnix_japonica_XP_015713495.1 PREDICTED_ SPARC-related modular calcium-binding protein 2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015720199.1 SPARC-related modular calcium-binding protein 1 isoform X5 [Coturnix japonica]
OG0000102	Nematostella_vectensis_NV2t003768002.1 NV2t003768002.1	Coturnix_japonica_XP_015720830.1 fibulin-5 [Coturnix japonica], Coturnix_japonica_XP_015712283.1 EGF-containing fibulin-like extracellular matrix protein 1 isoform X1 [Coturnix japonica]
OG0000112	Nematostella_vectensis_NV2t018651001.1 NV2t018651001.1, Nematostella_vectensis_NV2t017717001.1 NV2t017717001.1	Coturnix_japonica_XP_015722579.1 PREDICTED_ inactive heparanase-2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015717103.1 PREDICTED_ heparanase isoform X3 [Coturnix japonica]
OG0000114	Nematostella_vectensis_NV2t003399001.1 NV2t003399001.1	Coturnix_japonica_XP_015719754.1 host cell factor 2 isoform X2 [Coturnix japonica]
OG0000120	Nematostella_vectensis_NV2t006659001.1 NV2t006659001.1	Coturnix_japonica_XP_015736984.1 syndecan-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711411.1 syndecan-2 [Coturnix japonica], Coturnix_japonica_XP_015714984.1 syndecan-1 [Coturnix japonica], Coturnix_japonica_XP_015739164.1 syndecan-3 [Coturnix japonica]
OG0000122	Nematostella_vectensis_NV2t020322001.1 NV2t020322001.1, Nematostella_vectensis_NV2t024359001.1 NV2t024359001.1, Nematostella_vectensis_NV2t024561001.1 NV2t024561001.1	Coturnix_japonica_XP_015729348.1 72 kDa type IV collagenase [Coturnix japonica], Coturnix_japonica_XP_015737409.1 matrix metalloproteinase-9 [Coturnix japonica]
OG0000150	Nematostella_vectensis_NV2t025632001.1 NV2t025632001.1	Coturnix_japonica_XP_015725032.1 pappalysin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015734233.1 PREDICTED_ pappalysin-1 isoform X2 [Coturnix japonica]
OG0000156	Nematostella_vectensis_NV2t013515001.1 NV2t013515001.1	Coturnix_japonica_XP_015728918.1 microfibrillar-associated protein 1 [Coturnix japonica]
OG0000157	Nematostella_vectensis_NV2t019212001.1 NV2t019212001.1	Coturnix_japonica_XP_015716670.1 extracellular matrix protein FRAS1 isoform X1 [Coturnix japonica]
OG0000171	Nematostella_vectensis_NV2t012417001.1 NV2t012417001.1	Coturnix_japonica_XP_015709459.1 PREDICTED_ peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Coturnix japonica]
OG0000178	Nematostella_vectensis_NV2t006547001.1 NV2t006547001.1, Nematostella_vectensis_NV2t007463001.1 NV2t007463001.1	Coturnix_japonica_XP_015726790.1 PREDICTED_ kyphoscoliosis peptidase isoform X1 [Coturnix japonica]
OG0000182	Nematostella_vectensis_NV2t006820001.1 NV2t006820001.1	Coturnix_japonica_XP_015732559.1 von Willebrand factor A domain-containing protein 3A [Coturnix japonica]
OG0000200	Nematostella_vectensis_NV2t002853001.1 NV2t002853001.1	Coturnix_japonica_XP_015706466.1 PREDICTED_ von Willebrand factor A domain-containing protein 3B isoform X4 [Coturnix japonica]
OG0000235	Nematostella_vectensis_NV2t010668001.1 NV2t010668001.1	Coturnix_japonica_XP_015733986.1 EMI domain-containing protein 1 isoform X1 [Coturnix japonica]
OG0000268	Nematostella_vectensis_NV2t007378001.1 NV2t007378001.1	Coturnix_japonica_XP_015735107.1 cytokine receptor-like factor 3 [Coturnix japonica]
OG0000291	Nematostella_vectensis_NV2t019027001.1 NV2t019027001.1	Coturnix_japonica_XP_015714548.2 interphotoreceptor matrix proteoglycan 1 [Coturnix japonica], Coturnix_japonica_XP_015732524.1 interphotoreceptor matrix proteoglycan 2 isoform X1 [Coturnix japonica]
OG0000344	Nematostella_vectensis_NV2t021613001.1 NV2t021613001.1	Coturnix_japonica_XP_015730282.1 follistatin-related protein 1 [Coturnix japonica]
