Orthogroup	Cnidaria_Anthozoa_Nematostella_vectensis	Cnidaria_Anthozoa_Xenia_spec
OG0000015	Nematostella_vectensis_NV2t021903002.1 NV2t021903002.1, Nematostella_vectensis_NV2t021903003.1 NV2t021903003.1, Nematostella_vectensis_NV2t021904001.1 NV2t021904001.1, Nematostella_vectensis_NV2t021903004.1 NV2t021903004.1, Nematostella_vectensis_NV2t021903001.1 NV2t021903001.1, Nematostella_vectensis_NV2t021905001.1 NV2t021905001.1, Nematostella_vectensis_NV2t005822001.1 NV2t005822001.1, Nematostella_vectensis_NV2t021283002.1 NV2t021283002.1, Nematostella_vectensis_NV2t021283003.1 NV2t021283003.1, Nematostella_vectensis_NV2t021283001.1 NV2t021283001.1, Nematostella_vectensis_NV2t021284001.1 NV2t021284001.1, Nematostella_vectensis_NV2t021284002.1 NV2t021284002.1, Nematostella_vectensis_NV2t005824002.1 NV2t005824002.1, Nematostella_vectensis_NV2t005824001.1 NV2t005824001.1, Nematostella_vectensis_NV2t021288001.1 NV2t021288001.1, Nematostella_vectensis_NV2t021285001.1 NV2t021285001.1, Nematostella_vectensis_NV2t024478001.1 NV2t024478001.1, Nematostella_vectensis_NV2t024478002.1 NV2t024478002.1, Nematostella_vectensis_NV2t021585001.1 NV2t021585001.1, Nematostella_vectensis_NV2t024461001.1 NV2t024461001.1, Nematostella_vectensis_NV2t024741004.1 NV2t024741004.1, Nematostella_vectensis_NV2t024741001.1 NV2t024741001.1, Nematostella_vectensis_NV2t024741002.1 NV2t024741002.1, Nematostella_vectensis_NV2t025392002.1 NV2t025392002.1, Nematostella_vectensis_NV2t025392001.1 NV2t025392001.1, Nematostella_vectensis_NV2t025391001.1 NV2t025391001.1, Nematostella_vectensis_NV2t025393002.1 NV2t025393002.1, Nematostella_vectensis_NV2t025395001.1 NV2t025395001.1, Nematostella_vectensis_NV2t025402001.1 NV2t025402001.1, Nematostella_vectensis_NV2t025394001.1 NV2t025394001.1, Nematostella_vectensis_NV2t025394002.1 NV2t025394002.1, Nematostella_vectensis_NV2t025462001.1 NV2t025462001.1, Nematostella_vectensis_NV2t024877001.1 NV2t024877001.1, Nematostella_vectensis_NV2t025401001.1 NV2t025401001.1, Nematostella_vectensis_NV2t012183001.1 NV2t012183001.1, Nematostella_vectensis_NV2t011069001.1 NV2t011069001.1, Nematostella_vectensis_NV2t011632001.1 NV2t011632001.1, Nematostella_vectensis_NV2t011345005.1 NV2t011345005.1, Nematostella_vectensis_NV2t011345001.1 NV2t011345001.1, Nematostella_vectensis_NV2t011345002.1 NV2t011345002.1, Nematostella_vectensis_NV2t011345004.1 NV2t011345004.1, Nematostella_vectensis_NV2t011345003.1 NV2t011345003.1	Xenia_spec_Xe_002027_T1 Xe_002027_T1 Xe_002027, Xenia_spec_Xe_002017_T1 Xe_002017_T1 Xe_002017, Xenia_spec_Xe_002026_T1 Xe_002026_T1 Xe_002026, Xenia_spec_Xe_002028_T1 Xe_002028_T1 Xe_002028, Xenia_spec_Xe_001050_T1 Xe_001050_T1 Xe_001050, Xenia_spec_Xe_001050_T2 Xe_001050_T2 Xe_001050, Xenia_spec_Xe_007946_T1 Xe_007946_T1 Xe_007946, Xenia_spec_Xe_007945_T1 Xe_007945_T1 Xe_007945
OG0000016	Nematostella_vectensis_NV2t019146002.1 NV2t019146002.1, Nematostella_vectensis_NV2t019146001.1 NV2t019146001.1	Xenia_spec_Xe_000409_T1 Xe_000409_T1 Xe_000409
OG0000016	Nematostella_vectensis_NV2t020474002.1 NV2t020474002.1, Nematostella_vectensis_NV2t020474001.1 NV2t020474001.1	Xenia_spec_Xe_012247_T1 Xe_012247_T1 Xe_012247, Xenia_spec_Xe_012248_T1 Xe_012248_T1 Xe_012248
OG0000016	Nematostella_vectensis_NV2t020475001.1 NV2t020475001.1	Xenia_spec_Xe_012246_T1 Xe_012246_T1 Xe_012246
OG0000016	Nematostella_vectensis_NV2t000808001.1 NV2t000808001.1, Nematostella_vectensis_NV2t014820001.1 NV2t014820001.1, Nematostella_vectensis_NV2t014297001.1 NV2t014297001.1, Nematostella_vectensis_NV2t019316003.1 NV2t019316003.1, Nematostella_vectensis_NV2t019316002.1 NV2t019316002.1, Nematostella_vectensis_NV2t010833003.1 NV2t010833003.1, Nematostella_vectensis_NV2t010833002.1 NV2t010833002.1, Nematostella_vectensis_NV2t010833001.1 NV2t010833001.1, Nematostella_vectensis_NV2t008027001.1 NV2t008027001.1, Nematostella_vectensis_NV2t008027002.1 NV2t008027002.1, Nematostella_vectensis_NV2t003582001.1 NV2t003582001.1, Nematostella_vectensis_NV2t001647001.1 NV2t001647001.1, Nematostella_vectensis_NV2t003581001.1 NV2t003581001.1, Nematostella_vectensis_NV2t008375002.1 NV2t008375002.1, Nematostella_vectensis_NV2t008375001.1 NV2t008375001.1, Nematostella_vectensis_NV2t000808002.1 NV2t000808002.1, Nematostella_vectensis_NV2t000807001.1 NV2t000807001.1, Nematostella_vectensis_NV2t006370001.1 NV2t006370001.1	Xenia_spec_Xe_012705_T1 Xe_012705_T1 Xe_012705
OG0000018	Nematostella_vectensis_NV2t019165001.1 NV2t019165001.1, Nematostella_vectensis_NV2t019165003.1 NV2t019165003.1, Nematostella_vectensis_NV2t019165002.1 NV2t019165002.1, Nematostella_vectensis_NV2t019166001.1 NV2t019166001.1	Xenia_spec_Xe_013913_T1 Xe_013913_T1 Xe_013913, Xenia_spec_Xe_013934_T1 Xe_013934_T1 Xe_013934
OG0000018	Nematostella_vectensis_NV2t022574001.1 NV2t022574001.1	Xenia_spec_Xe_013911_T1 Xe_013911_T1 Xe_013911
OG0000018	Nematostella_vectensis_NV2t006191001.1 NV2t006191001.1, Nematostella_vectensis_NV2t006127002.1 NV2t006127002.1, Nematostella_vectensis_NV2t006127001.1 NV2t006127001.1	Xenia_spec_Xe_005091_T1 Xe_005091_T1 Xe_005091
OG0000018	Nematostella_vectensis_NV2t016213001.1 NV2t016213001.1	Xenia_spec_Xe_004831_T1 Xe_004831_T1 Xe_004831
OG0000019	Nematostella_vectensis_NV2t006269003.1 NV2t006269003.1, Nematostella_vectensis_NV2t006269002.1 NV2t006269002.1, Nematostella_vectensis_NV2t006269001.1 NV2t006269001.1	Xenia_spec_Xe_002372_T1 Xe_002372_T1 Xe_002372, Xenia_spec_Xe_002371_T1 Xe_002371_T1 Xe_002371
OG0000019	Nematostella_vectensis_NV2t019847002.1 NV2t019847002.1, Nematostella_vectensis_NV2t019847001.1 NV2t019847001.1	Xenia_spec_Xe_000961_T1 Xe_000961_T1 Xe_000961, Xenia_spec_Xe_000961_T2 Xe_000961_T2 Xe_000961
OG0000019	Nematostella_vectensis_NV2t006489001.1 NV2t006489001.1	Xenia_spec_Xe_002679_T1 Xe_002679_T1 Xe_002679
OG0000020	Nematostella_vectensis_NV2t024375002.1 NV2t024375002.1	Xenia_spec_Xe_008243_T1 Xe_008243_T1 Xe_008243
OG0000020	Nematostella_vectensis_NV2t012027001.1 NV2t012027001.1	Xenia_spec_Xe_009290_T1 Xe_009290_T1 Xe_009290
OG0000020	Nematostella_vectensis_NV2t011872001.1 NV2t011872001.1, Nematostella_vectensis_NV2t011872002.1 NV2t011872002.1, Nematostella_vectensis_NV2t012159001.1 NV2t012159001.1	Xenia_spec_Xe_009738_T1 Xe_009738_T1 Xe_009738, Xenia_spec_Xe_010176_T1 Xe_010176_T1 Xe_010176, Xenia_spec_Xe_009677_T1 Xe_009677_T1 Xe_009677
OG0000020	Nematostella_vectensis_NV2t010959004.1 NV2t010959004.1, Nematostella_vectensis_NV2t010959005.1 NV2t010959005.1, Nematostella_vectensis_NV2t012104001.1 NV2t012104001.1	Xenia_spec_Xe_001362_T1 Xe_001362_T1 Xe_001362, Xenia_spec_Xe_009975_T1 Xe_009975_T1 Xe_009975, Xenia_spec_Xe_009974_T1 Xe_009974_T1 Xe_009974
OG0000020	Nematostella_vectensis_NV2t024535002.1 NV2t024535002.1, Nematostella_vectensis_NV2t024535001.1 NV2t024535001.1	Xenia_spec_Xe_007912_T2 Xe_007912_T2 Xe_007912, Xenia_spec_Xe_007912_T1 Xe_007912_T1 Xe_007912
OG0000021	Nematostella_vectensis_NV2t020722001.1 NV2t020722001.1, Nematostella_vectensis_NV2t020722002.1 NV2t020722002.1, Nematostella_vectensis_NV2t020722003.1 NV2t020722003.1	Xenia_spec_Xe_012353_T1 Xe_012353_T1 Xe_012353
OG0000021	Nematostella_vectensis_NV2t009849002.1 NV2t009849002.1, Nematostella_vectensis_NV2t009849001.1 NV2t009849001.1	Xenia_spec_Xe_008104_T1 Xe_008104_T1 Xe_008104
OG0000022	Nematostella_vectensis_NV2t009562002.1 NV2t009562002.1, Nematostella_vectensis_NV2t009562001.1 NV2t009562001.1	Xenia_spec_Xe_008122_T1 Xe_008122_T1 Xe_008122
OG0000023	Nematostella_vectensis_NV2t018385002.1 NV2t018385002.1, Nematostella_vectensis_NV2t018385001.1 NV2t018385001.1	Xenia_spec_Xe_013551_T1 Xe_013551_T1 Xe_013551, Xenia_spec_Xe_013537_T1 Xe_013537_T1 Xe_013537
OG0000024	Nematostella_vectensis_NV2t014046002.1 NV2t014046002.1, Nematostella_vectensis_NV2t014046001.1 NV2t014046001.1, Nematostella_vectensis_NV2t014045001.1 NV2t014045001.1, Nematostella_vectensis_NV2t014040001.1 NV2t014040001.1	Xenia_spec_Xe_015864_T1 Xe_015864_T1 Xe_015864
OG0000024	Nematostella_vectensis_NV2t003372003.1 NV2t003372003.1, Nematostella_vectensis_NV2t003372002.1 NV2t003372002.1, Nematostella_vectensis_NV2t003372001.1 NV2t003372001.1	Xenia_spec_Xe_015637_T1 Xe_015637_T1 Xe_015637
OG0000024	Nematostella_vectensis_NV2t003373001.1 NV2t003373001.1, Nematostella_vectensis_NV2t003373002.1 NV2t003373002.1, Nematostella_vectensis_NV2t003373003.1 NV2t003373003.1	Xenia_spec_Xe_015634_T1 Xe_015634_T1 Xe_015634
OG0000027	Nematostella_vectensis_NV2t007036001.1 NV2t007036001.1	Xenia_spec_Xe_010141_T1 Xe_010141_T1 Xe_010141
OG0000028	Nematostella_vectensis_NV2t021411001.1 NV2t021411001.1	Xenia_spec_Xe_014296_T1 Xe_014296_T1 Xe_014296
OG0000028	Nematostella_vectensis_NV2t021409001.1 NV2t021409001.1	Xenia_spec_Xe_014297_T1 Xe_014297_T1 Xe_014297
OG0000029	Nematostella_vectensis_NV2t009601003.1 NV2t009601003.1, Nematostella_vectensis_NV2t009601002.1 NV2t009601002.1, Nematostella_vectensis_NV2t009601001.1 NV2t009601001.1, Nematostella_vectensis_NV2t011326001.1 NV2t011326001.1, Nematostella_vectensis_NV2t011326002.1 NV2t011326002.1, Nematostella_vectensis_NV2t011326003.1 NV2t011326003.1, Nematostella_vectensis_NV2t011326004.1 NV2t011326004.1	Xenia_spec_Xe_009791_T1 Xe_009791_T1 Xe_009791
OG0000030	Nematostella_vectensis_NV2t006771001.1 NV2t006771001.1, Nematostella_vectensis_NV2t006771002.1 NV2t006771002.1	Xenia_spec_Xe_002453_T1 Xe_002453_T1 Xe_002453
OG0000030	Nematostella_vectensis_NV2t013893003.1 NV2t013893003.1, Nematostella_vectensis_NV2t013893002.1 NV2t013893002.1	Xenia_spec_Xe_020361_T1 Xe_020361_T1 Xe_020361, Xenia_spec_Xe_020374_T1 Xe_020374_T1 Xe_020374
OG0000030	Nematostella_vectensis_NV2t024729009.1 NV2t024729009.1, Nematostella_vectensis_NV2t024729016.1 NV2t024729016.1, Nematostella_vectensis_NV2t024729018.1 NV2t024729018.1, Nematostella_vectensis_NV2t024729004.1 NV2t024729004.1, Nematostella_vectensis_NV2t024729015.1 NV2t024729015.1, Nematostella_vectensis_NV2t024729005.1 NV2t024729005.1, Nematostella_vectensis_NV2t024729010.1 NV2t024729010.1, Nematostella_vectensis_NV2t024729008.1 NV2t024729008.1, Nematostella_vectensis_NV2t024729007.1 NV2t024729007.1, Nematostella_vectensis_NV2t024729006.1 NV2t024729006.1	Xenia_spec_Xe_008808_T1 Xe_008808_T1 Xe_008808, Xenia_spec_Xe_008342_T1 Xe_008342_T1 Xe_008342
OG0000031	Nematostella_vectensis_NV2t009359001.1 NV2t009359001.1, Nematostella_vectensis_NV2t009305001.1 NV2t009305001.1, Nematostella_vectensis_NV2t009302001.1 NV2t009302001.1, Nematostella_vectensis_NV2t002216003.1 NV2t002216003.1, Nematostella_vectensis_NV2t002216004.1 NV2t002216004.1, Nematostella_vectensis_NV2t002216002.1 NV2t002216002.1, Nematostella_vectensis_NV2t002216001.1 NV2t002216001.1, Nematostella_vectensis_NV2t005727001.1 NV2t005727001.1	Xenia_spec_Xe_001203_T1 Xe_001203_T1 Xe_001203
OG0000033	Nematostella_vectensis_NV2t002667001.1 NV2t002667001.1	Xenia_spec_Xe_009545_T1 Xe_009545_T1 Xe_009545, Xenia_spec_Xe_009552_T1 Xe_009552_T1 Xe_009552, Xenia_spec_Xe_009447_T1 Xe_009447_T1 Xe_009447, Xenia_spec_Xe_009467_T1 Xe_009467_T1 Xe_009467, Xenia_spec_Xe_009470_T2 Xe_009470_T2 Xe_009470, Xenia_spec_Xe_009470_T1 Xe_009470_T1 Xe_009470, Xenia_spec_Xe_009458_T1 Xe_009458_T1 Xe_009458, Xenia_spec_Xe_009454_T1 Xe_009454_T1 Xe_009454, Xenia_spec_Xe_009450_T1 Xe_009450_T1 Xe_009450, Xenia_spec_Xe_009466_T1 Xe_009466_T1 Xe_009466, Xenia_spec_Xe_009546_T1 Xe_009546_T1 Xe_009546, Xenia_spec_Xe_009448_T1 Xe_009448_T1 Xe_009448, Xenia_spec_Xe_018287_T1 Xe_018287_T1 Xe_018287, Xenia_spec_Xe_018285_T1 Xe_018285_T1 Xe_018285
OG0000034	Nematostella_vectensis_NV2t018302001.1 NV2t018302001.1	Xenia_spec_Xe_013993_T1 Xe_013993_T1 Xe_013993
OG0000034	Nematostella_vectensis_NV2t021926001.1 NV2t021926001.1	Xenia_spec_Xe_014074_T1 Xe_014074_T1 Xe_014074, Xenia_spec_Xe_014072_T1 Xe_014072_T1 Xe_014072
OG0000035	Nematostella_vectensis_NV2t012171001.1 NV2t012171001.1	Xenia_spec_Xe_009804_T1 Xe_009804_T1 Xe_009804, Xenia_spec_Xe_009806_T1 Xe_009806_T1 Xe_009806
OG0000035	Nematostella_vectensis_NV2t010387001.1 NV2t010387001.1	Xenia_spec_Xe_008542_T1 Xe_008542_T1 Xe_008542, Xenia_spec_Xe_008540_T1 Xe_008540_T1 Xe_008540
OG0000035	Nematostella_vectensis_NV2t000997001.1 NV2t000997001.1, Nematostella_vectensis_NV2t000996001.1 NV2t000996001.1, Nematostella_vectensis_NV2t010141001.1 NV2t010141001.1, Nematostella_vectensis_NV2t003648001.1 NV2t003648001.1, Nematostella_vectensis_NV2t010139001.1 NV2t010139001.1	Xenia_spec_Xe_009250_T1 Xe_009250_T1 Xe_009250
OG0000036	Nematostella_vectensis_NV2t017270001.1 NV2t017270001.1	Xenia_spec_Xe_004446_T1 Xe_004446_T1 Xe_004446
OG0000037	Nematostella_vectensis_NV2t020441001.1 NV2t020441001.1, Nematostella_vectensis_NV2t020449001.1 NV2t020449001.1, Nematostella_vectensis_NV2t003437001.1 NV2t003437001.1, Nematostella_vectensis_NV2t002364001.1 NV2t002364001.1, Nematostella_vectensis_NV2t002361001.1 NV2t002361001.1, Nematostella_vectensis_NV2t002361003.1 NV2t002361003.1, Nematostella_vectensis_NV2t002361002.1 NV2t002361002.1, Nematostella_vectensis_NV2t002361004.1 NV2t002361004.1	Xenia_spec_Xe_014976_T1 Xe_014976_T1 Xe_014976, Xenia_spec_Xe_014975_T1 Xe_014975_T1 Xe_014975, Xenia_spec_Xe_014974_T1 Xe_014974_T1 Xe_014974
OG0000038	Nematostella_vectensis_NV2t022131001.1 NV2t022131001.1, Nematostella_vectensis_NV2t022058002.1 NV2t022058002.1, Nematostella_vectensis_NV2t022058001.1 NV2t022058001.1, Nematostella_vectensis_NV2t022054001.1 NV2t022054001.1, Nematostella_vectensis_NV2t022057001.1 NV2t022057001.1, Nematostella_vectensis_NV2t022056001.1 NV2t022056001.1	Xenia_spec_Xe_014048_T1 Xe_014048_T1 Xe_014048, Xenia_spec_Xe_014047_T1 Xe_014047_T1 Xe_014047, Xenia_spec_Xe_014050_T1 Xe_014050_T1 Xe_014050, Xenia_spec_Xe_014051_T1 Xe_014051_T1 Xe_014051, Xenia_spec_Xe_014049_T1 Xe_014049_T1 Xe_014049
OG0000038	Nematostella_vectensis_NV2t022707001.1 NV2t022707001.1, Nematostella_vectensis_NV2t022707002.1 NV2t022707002.1	Xenia_spec_Xe_014606_T1 Xe_014606_T1 Xe_014606
OG0000039	Nematostella_vectensis_NV2t023271001.1 NV2t023271001.1, Nematostella_vectensis_NV2t023270001.1 NV2t023270001.1	Xenia_spec_Xe_001980_T1 Xe_001980_T1 Xe_001980, Xenia_spec_Xe_015792_T1 Xe_015792_T1 Xe_015792
OG0000039	Nematostella_vectensis_NV2t023497001.1 NV2t023497001.1, Nematostella_vectensis_NV2t023274001.1 NV2t023274001.1	Xenia_spec_Xe_001991_T1 Xe_001991_T1 Xe_001991, Xenia_spec_Xe_015795_T1 Xe_015795_T1 Xe_015795
OG0000039	Nematostella_vectensis_NV2t021586002.1 NV2t021586002.1, Nematostella_vectensis_NV2t023495001.1 NV2t023495001.1, Nematostella_vectensis_NV2t023494004.1 NV2t023494004.1, Nematostella_vectensis_NV2t023494005.1 NV2t023494005.1, Nematostella_vectensis_NV2t023494003.1 NV2t023494003.1, Nematostella_vectensis_NV2t023494002.1 NV2t023494002.1, Nematostella_vectensis_NV2t023494001.1 NV2t023494001.1	Xenia_spec_Xe_010089_T1 Xe_010089_T1 Xe_010089
OG0000040	Nematostella_vectensis_NV2t010172001.1 NV2t010172001.1, Nematostella_vectensis_NV2t010172003.1 NV2t010172003.1, Nematostella_vectensis_NV2t010172002.1 NV2t010172002.1, Nematostella_vectensis_NV2t010172004.1 NV2t010172004.1	Xenia_spec_Xe_008384_T1 Xe_008384_T1 Xe_008384, Xenia_spec_Xe_008384_T2 Xe_008384_T2 Xe_008384
OG0000040	Nematostella_vectensis_NV2t021204001.1 NV2t021204001.1	Xenia_spec_Xe_014394_T1 Xe_014394_T1 Xe_014394
OG0000040	Nematostella_vectensis_NV2t013801001.1 NV2t013801001.1	Xenia_spec_Xe_008627_T1 Xe_008627_T1 Xe_008627
OG0000041	Nematostella_vectensis_NV2t020167001.1 NV2t020167001.1, Nematostella_vectensis_NV2t022463002.1 NV2t022463002.1, Nematostella_vectensis_NV2t022463001.1 NV2t022463001.1, Nematostella_vectensis_NV2t019996001.1 NV2t019996001.1, Nematostella_vectensis_NV2t019992001.1 NV2t019992001.1	Xenia_spec_Xe_005440_T1 Xe_005440_T1 Xe_005440, Xenia_spec_Xe_005437_T1 Xe_005437_T1 Xe_005437, Xenia_spec_Xe_005431_T1 Xe_005431_T1 Xe_005431, Xenia_spec_Xe_005447_T1 Xe_005447_T1 Xe_005447, Xenia_spec_Xe_005456_T1 Xe_005456_T1 Xe_005456, Xenia_spec_Xe_005470_T1 Xe_005470_T1 Xe_005470, Xenia_spec_Xe_005444_T1 Xe_005444_T1 Xe_005444, Xenia_spec_Xe_005450_T1 Xe_005450_T1 Xe_005450, Xenia_spec_Xe_005434_T1 Xe_005434_T1 Xe_005434, Xenia_spec_Xe_005453_T1 Xe_005453_T1 Xe_005453, Xenia_spec_Xe_005472_T1 Xe_005472_T1 Xe_005472, Xenia_spec_Xe_005471_T1 Xe_005471_T1 Xe_005471, Xenia_spec_Xe_005454_T1 Xe_005454_T1 Xe_005454
OG0000041	Nematostella_vectensis_NV2t015230001.1 NV2t015230001.1	Xenia_spec_Xe_012595_T1 Xe_012595_T1 Xe_012595
OG0000042	Nematostella_vectensis_NV2t019653001.1 NV2t019653001.1	Xenia_spec_Xe_012350_T1 Xe_012350_T1 Xe_012350
OG0000042	Nematostella_vectensis_NV2t017038001.1 NV2t017038001.1, Nematostella_vectensis_NV2t016569001.1 NV2t016569001.1, Nematostella_vectensis_NV2t017107001.1 NV2t017107001.1, Nematostella_vectensis_NV2t016567001.1 NV2t016567001.1, Nematostella_vectensis_NV2t017148001.1 NV2t017148001.1	Xenia_spec_Xe_020831_T1 Xe_020831_T1 Xe_020831, Xenia_spec_Xe_020822_T1 Xe_020822_T1 Xe_020822
OG0000044	Nematostella_vectensis_NV2t009869001.1 NV2t009869001.1, Nematostella_vectensis_NV2t010348003.1 NV2t010348003.1, Nematostella_vectensis_NV2t010348004.1 NV2t010348004.1, Nematostella_vectensis_NV2t010348002.1 NV2t010348002.1, Nematostella_vectensis_NV2t010348007.1 NV2t010348007.1, Nematostella_vectensis_NV2t010348005.1 NV2t010348005.1, Nematostella_vectensis_NV2t010348010.1 NV2t010348010.1, Nematostella_vectensis_NV2t010348008.1 NV2t010348008.1	Xenia_spec_Xe_014375_T1 Xe_014375_T1 Xe_014375, Xenia_spec_Xe_014377_T1 Xe_014377_T1 Xe_014377
OG0000045	Nematostella_vectensis_NV2t017119001.1 NV2t017119001.1	Xenia_spec_Xe_020060_T1 Xe_020060_T1 Xe_020060
OG0000045	Nematostella_vectensis_NV2t015818001.1 NV2t015818001.1	Xenia_spec_Xe_002601_T1 Xe_002601_T1 Xe_002601
OG0000047	Nematostella_vectensis_NV2t000021003.1 NV2t000021003.1, Nematostella_vectensis_NV2t000021001.1 NV2t000021001.1, Nematostella_vectensis_NV2t000021002.1 NV2t000021002.1, Nematostella_vectensis_NV2t000027001.1 NV2t000027001.1	Xenia_spec_Xe_015330_T1 Xe_015330_T1 Xe_015330, Xenia_spec_Xe_015331_T1 Xe_015331_T1 Xe_015331, Xenia_spec_Xe_015337_T1 Xe_015337_T1 Xe_015337, Xenia_spec_Xe_015332_T1 Xe_015332_T1 Xe_015332, Xenia_spec_Xe_015336_T1 Xe_015336_T1 Xe_015336
OG0000049	Nematostella_vectensis_NV2t002812001.1 NV2t002812001.1	Xenia_spec_Xe_014133_T1 Xe_014133_T1 Xe_014133
OG0000051	Nematostella_vectensis_NV2t001994001.1 NV2t001994001.1	Xenia_spec_Xe_016324_T2 Xe_016324_T2 Xe_016324, Xenia_spec_Xe_016324_T1 Xe_016324_T1 Xe_016324
OG0000053	Nematostella_vectensis_NV2t012441001.1 NV2t012441001.1	Xenia_spec_Xe_017104_T1 Xe_017104_T1 Xe_017104
OG0000054	Nematostella_vectensis_NV2t000638001.1 NV2t000638001.1	Xenia_spec_Xe_016386_T1 Xe_016386_T1 Xe_016386
OG0000054	Nematostella_vectensis_NV2t005524014.1 NV2t005524014.1, Nematostella_vectensis_NV2t005524013.1 NV2t005524013.1, Nematostella_vectensis_NV2t005524012.1 NV2t005524012.1	Xenia_spec_Xe_002676_T1 Xe_002676_T1 Xe_002676
OG0000058	Nematostella_vectensis_NV2t023484001.1 NV2t023484001.1	Xenia_spec_Xe_018432_T1 Xe_018432_T1 Xe_018432, Xenia_spec_Xe_018431_T1 Xe_018431_T1 Xe_018431, Xenia_spec_Xe_018421_T1 Xe_018421_T1 Xe_018421, Xenia_spec_Xe_018425_T1 Xe_018425_T1 Xe_018425, Xenia_spec_Xe_018257_T1 Xe_018257_T1 Xe_018257, Xenia_spec_Xe_018259_T1 Xe_018259_T1 Xe_018259
OG0000058	Nematostella_vectensis_NV2t009815001.1 NV2t009815001.1, Nematostella_vectensis_NV2t023295002.1 NV2t023295002.1, Nematostella_vectensis_NV2t023295001.1 NV2t023295001.1, Nematostella_vectensis_NV2t022985001.1 NV2t022985001.1, Nematostella_vectensis_NV2t023818001.1 NV2t023818001.1, Nematostella_vectensis_NV2t023715001.1 NV2t023715001.1	Xenia_spec_Xe_008100_T1 Xe_008100_T1 Xe_008100
OG0000059	Nematostella_vectensis_NV2t013183002.1 NV2t013183002.1, Nematostella_vectensis_NV2t013183001.1 NV2t013183001.1, Nematostella_vectensis_NV2t021120001.1 NV2t021120001.1	Xenia_spec_Xe_008324_T1 Xe_008324_T1 Xe_008324
OG0000061	Nematostella_vectensis_NV2t000137001.1 NV2t000137001.1, Nematostella_vectensis_NV2t000137003.1 NV2t000137003.1, Nematostella_vectensis_NV2t000137002.1 NV2t000137002.1	Xenia_spec_Xe_003790_T1 Xe_003790_T1 Xe_003790
OG0000062	Nematostella_vectensis_NV2t020618001.1 NV2t020618001.1	Xenia_spec_Xe_011999_T1 Xe_011999_T1 Xe_011999
OG0000062	Nematostella_vectensis_NV2t020616011.1 NV2t020616011.1, Nematostella_vectensis_NV2t020616009.1 NV2t020616009.1, Nematostella_vectensis_NV2t020616013.1 NV2t020616013.1, Nematostella_vectensis_NV2t020616012.1 NV2t020616012.1, Nematostella_vectensis_NV2t020616010.1 NV2t020616010.1, Nematostella_vectensis_NV2t020616014.1 NV2t020616014.1, Nematostella_vectensis_NV2t020616016.1 NV2t020616016.1, Nematostella_vectensis_NV2t020616015.1 NV2t020616015.1, Nematostella_vectensis_NV2t020616006.1 NV2t020616006.1, Nematostella_vectensis_NV2t020616007.1 NV2t020616007.1, Nematostella_vectensis_NV2t020616004.1 NV2t020616004.1, Nematostella_vectensis_NV2t020616001.1 NV2t020616001.1, Nematostella_vectensis_NV2t020616005.1 NV2t020616005.1, Nematostella_vectensis_NV2t020616002.1 NV2t020616002.1, Nematostella_vectensis_NV2t020616008.1 NV2t020616008.1, Nematostella_vectensis_NV2t020616003.1 NV2t020616003.1, Nematostella_vectensis_NV2t019817003.1 NV2t019817003.1, Nematostella_vectensis_NV2t019817001.1 NV2t019817001.1, Nematostella_vectensis_NV2t019817002.1 NV2t019817002.1	Xenia_spec_Xe_011884_T1 Xe_011884_T1 Xe_011884
OG0000063	Nematostella_vectensis_NV2t000128002.1 NV2t000128002.1, Nematostella_vectensis_NV2t000128001.1 NV2t000128001.1, Nematostella_vectensis_NV2t000128004.1 NV2t000128004.1, Nematostella_vectensis_NV2t000128003.1 NV2t000128003.1, Nematostella_vectensis_NV2t010760002.1 NV2t010760002.1, Nematostella_vectensis_NV2t010760001.1 NV2t010760001.1	Xenia_spec_Xe_010055_T1 Xe_010055_T1 Xe_010055
OG0000064	Nematostella_vectensis_NV2t022930001.1 NV2t022930001.1, Nematostella_vectensis_NV2t022932001.1 NV2t022932001.1, Nematostella_vectensis_NV2t022931001.1 NV2t022931001.1	Xenia_spec_Xe_002322_T1 Xe_002322_T1 Xe_002322
OG0000065	Nematostella_vectensis_NV2t022015001.1 NV2t022015001.1	Xenia_spec_Xe_015613_T1 Xe_015613_T1 Xe_015613
OG0000069	Nematostella_vectensis_NV2t004783002.1 NV2t004783002.1, Nematostella_vectensis_NV2t008679001.1 NV2t008679001.1, Nematostella_vectensis_NV2t016090001.1 NV2t016090001.1, Nematostella_vectensis_NV2t013457001.1 NV2t013457001.1	Xenia_spec_Xe_015069_T1 Xe_015069_T1 Xe_015069, Xenia_spec_Xe_015069_T2 Xe_015069_T2 Xe_015069, Xenia_spec_Xe_019791_T1 Xe_019791_T1 Xe_019791
OG0000070	Nematostella_vectensis_NV2t013306001.1 NV2t013306001.1	Xenia_spec_Xe_012561_T1 Xe_012561_T1 Xe_012561
