Orthogroup	Porifera_Demospongiae_Ephydatia_muelleri	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000083	Ephydatia_muelleri_Em0023g687a Em0023g687a, Ephydatia_muelleri_Em0023g690a Em0023g690a	Stylophora_pistillata_Spis24099 Spis24099 SpisGene24099, Stylophora_pistillata_Spis9213 Spis9213 SpisGene9213, Stylophora_pistillata_Spis6958 Spis6958 SpisGene6958
OG0000103	Ephydatia_muelleri_Em0009g1125a Em0009g1125a	Stylophora_pistillata_Spis345 Spis345 SpisGene345
OG0000111	Ephydatia_muelleri_Em0020g1027a Em0020g1027a	Stylophora_pistillata_Spis10022 Spis10022 SpisGene10022
OG0000113	Ephydatia_muelleri_Em0021g76a Em0021g76a	Stylophora_pistillata_Spis1485 Spis1485 SpisGene1485
OG0000114	Ephydatia_muelleri_Em0014g123a Em0014g123a, Ephydatia_muelleri_Em0014g127a Em0014g127a	Stylophora_pistillata_Spis1676 Spis1676 SpisGene1676
OG0000117	Ephydatia_muelleri_Em0005g336a Em0005g336a, Ephydatia_muelleri_Em0006g406a Em0006g406a	Stylophora_pistillata_Spis9088 Spis9088 SpisGene9088
OG0000117	Ephydatia_muelleri_Em0006g200a Em0006g200a, Ephydatia_muelleri_Em0005g320a Em0005g320a, Ephydatia_muelleri_Em0005g632a Em0005g632a, Ephydatia_muelleri_Em0001g3087a Em0001g3087a, Ephydatia_muelleri_Em0023g846a Em0023g846a, Ephydatia_muelleri_Em0269g8a Em0269g8a, Ephydatia_muelleri_Em0001g2124a Em0001g2124a, Ephydatia_muelleri_Em0001g857a Em0001g857a, Ephydatia_muelleri_Em0006g333a Em0006g333a, Ephydatia_muelleri_Em0115g1a Em0115g1a	Stylophora_pistillata_Spis19826 Spis19826 SpisGene19826, Stylophora_pistillata_Spis15496 Spis15496 SpisGene15496
OG0000117	Ephydatia_muelleri_Em0009g858a Em0009g858a, Ephydatia_muelleri_Em0051g8a Em0051g8a, Ephydatia_muelleri_Em0003g1817a Em0003g1817a, Ephydatia_muelleri_Em0011g925a Em0011g925a	Stylophora_pistillata_Spis14951 Spis14951 SpisGene14951, Stylophora_pistillata_Spis22642 Spis22642 SpisGene22642, Stylophora_pistillata_Spis18051 Spis18051 SpisGene18051, Stylophora_pistillata_Spis18048 Spis18048 SpisGene18048, Stylophora_pistillata_Spis23815 Spis23815 SpisGene23815, Stylophora_pistillata_Spis23126 Spis23126 SpisGene23126, Stylophora_pistillata_Spis20894 Spis20894 SpisGene20894, Stylophora_pistillata_Spis22320 Spis22320 SpisGene22320
OG0000121	Ephydatia_muelleri_Em0010g817a Em0010g817a, Ephydatia_muelleri_Em0021g539a Em0021g539a	Stylophora_pistillata_Spis16744 Spis16744 SpisGene16744, Stylophora_pistillata_Spis20265 Spis20265 SpisGene20265
OG0000131	Ephydatia_muelleri_Em0008g193a Em0008g193a, Ephydatia_muelleri_Em0008g173a Em0008g173a, Ephydatia_muelleri_Em0008g203a Em0008g203a, Ephydatia_muelleri_Em0008g167a Em0008g167a, Ephydatia_muelleri_Em0008g172a Em0008g172a, Ephydatia_muelleri_Em0008g335a Em0008g335a, Ephydatia_muelleri_Em0008g332a Em0008g332a, Ephydatia_muelleri_Em0008g324a Em0008g324a	Stylophora_pistillata_Spis6119 Spis6119 SpisGene6119, Stylophora_pistillata_Spis6120 Spis6120 SpisGene6120
OG0000133	Ephydatia_muelleri_Em0005g1588a Em0005g1588a	Stylophora_pistillata_Spis7100 Spis7100 SpisGene7100
OG0000134	Ephydatia_muelleri_Em0016g534a Em0016g534a	Stylophora_pistillata_Spis15413 Spis15413 SpisGene15413
OG0000140	Ephydatia_muelleri_Em0010g969a Em0010g969a	Stylophora_pistillata_Spis12986 Spis12986 SpisGene12986, Stylophora_pistillata_Spis23467 Spis23467 SpisGene23467
OG0000148	Ephydatia_muelleri_Em0015g1213a Em0015g1213a, Ephydatia_muelleri_Em0015g1236a Em0015g1236a	Stylophora_pistillata_Spis17259 Spis17259 SpisGene17259
OG0000152	Ephydatia_muelleri_Em0017g45a Em0017g45a, Ephydatia_muelleri_Em0017g29a Em0017g29a	Stylophora_pistillata_Spis11015 Spis11015 SpisGene11015
OG0000156	Ephydatia_muelleri_Em0017g31a Em0017g31a	Stylophora_pistillata_Spis944 Spis944 SpisGene944
OG0000159	Ephydatia_muelleri_Em0013g93a Em0013g93a	Stylophora_pistillata_Spis13820 Spis13820 SpisGene13820
OG0000165	Ephydatia_muelleri_Em0005g150a Em0005g150a, Ephydatia_muelleri_Em0005g181a Em0005g181a, Ephydatia_muelleri_Em0005g136a Em0005g136a	Stylophora_pistillata_Spis9482 Spis9482 SpisGene9482
OG0000166	Ephydatia_muelleri_Em0016g600a Em0016g600a, Ephydatia_muelleri_Em0016g747a Em0016g747a, Ephydatia_muelleri_Em0016g746a Em0016g746a, Ephydatia_muelleri_Em0016g753a Em0016g753a	Stylophora_pistillata_Spis1126 Spis1126 SpisGene1126
OG0000177	Ephydatia_muelleri_Em0008g1060a Em0008g1060a	Stylophora_pistillata_Spis16587 Spis16587 SpisGene16587
OG0000178	Ephydatia_muelleri_Em0001g1073a Em0001g1073a, Ephydatia_muelleri_Em0001g1111a Em0001g1111a	Stylophora_pistillata_Spis9622 Spis9622 SpisGene9622, Stylophora_pistillata_Spis9843 Spis9843 SpisGene9843
OG0000179	Ephydatia_muelleri_Em0003g259a Em0003g259a	Stylophora_pistillata_Spis21317 Spis21317 SpisGene21317, Stylophora_pistillata_Spis22165 Spis22165 SpisGene22165, Stylophora_pistillata_Spis4606 Spis4606 SpisGene4606, Stylophora_pistillata_Spis20491 Spis20491 SpisGene20491, Stylophora_pistillata_Spis932 Spis932 SpisGene932
OG0000182	Ephydatia_muelleri_Em0020g994a Em0020g994a, Ephydatia_muelleri_Em0714g1a Em0714g1a	Stylophora_pistillata_Spis6187 Spis6187 SpisGene6187
OG0000184	Ephydatia_muelleri_Em0020g39a Em0020g39a, Ephydatia_muelleri_Em0020g43a Em0020g43a	Stylophora_pistillata_Spis19196 Spis19196 SpisGene19196, Stylophora_pistillata_Spis8245 Spis8245 SpisGene8245, Stylophora_pistillata_Spis19199 Spis19199 SpisGene19199, Stylophora_pistillata_Spis19197 Spis19197 SpisGene19197, Stylophora_pistillata_Spis19198 Spis19198 SpisGene19198, Stylophora_pistillata_Spis24673 Spis24673 SpisGene24673
OG0000194	Ephydatia_muelleri_Em0014g778a Em0014g778a, Ephydatia_muelleri_Em0014g767a Em0014g767a	Stylophora_pistillata_Spis7867 Spis7867 SpisGene7867
OG0000195	Ephydatia_muelleri_Em0032g6a Em0032g6a, Ephydatia_muelleri_Em0032g16a Em0032g16a	Stylophora_pistillata_Spis16217 Spis16217 SpisGene16217
OG0000200	Ephydatia_muelleri_Em0022g403a Em0022g403a	Stylophora_pistillata_Spis3925 Spis3925 SpisGene3925
OG0000204	Ephydatia_muelleri_Em0022g268a Em0022g268a, Ephydatia_muelleri_Em0022g257a Em0022g257a	Stylophora_pistillata_Spis8062 Spis8062 SpisGene8062
OG0000209	Ephydatia_muelleri_Em0021g593a Em0021g593a	Stylophora_pistillata_Spis1455 Spis1455 SpisGene1455
OG0000214	Ephydatia_muelleri_Em0009g1219a Em0009g1219a	Stylophora_pistillata_Spis15474 Spis15474 SpisGene15474
OG0000219	Ephydatia_muelleri_Em0021g659a Em0021g659a	Stylophora_pistillata_Spis1071 Spis1071 SpisGene1071
OG0000230	Ephydatia_muelleri_Em0009g1283a Em0009g1283a	Stylophora_pistillata_Spis9710 Spis9710 SpisGene9710
OG0000237	Ephydatia_muelleri_Em0021g631a Em0021g631a	Stylophora_pistillata_Spis9508 Spis9508 SpisGene9508
OG0000253	Ephydatia_muelleri_Em0008g944a Em0008g944a	Stylophora_pistillata_Spis8764 Spis8764 SpisGene8764
OG0000270	Ephydatia_muelleri_Em0013g791a Em0013g791a, Ephydatia_muelleri_Em0013g790a Em0013g790a	Stylophora_pistillata_Spis10021 Spis10021 SpisGene10021
OG0000284	Ephydatia_muelleri_Em0001g1874a Em0001g1874a	Stylophora_pistillata_Spis4956 Spis4956 SpisGene4956, Stylophora_pistillata_Spis4957 Spis4957 SpisGene4957, Stylophora_pistillata_Spis4976.t1 Spis4976.t1 SpisGene4976
OG0000314	Ephydatia_muelleri_Em0020g193a Em0020g193a	Stylophora_pistillata_Spis16091 Spis16091 SpisGene16091
OG0000363	Ephydatia_muelleri_Em0010g253a Em0010g253a	Stylophora_pistillata_Spis12896 Spis12896 SpisGene12896
OG0000476	Ephydatia_muelleri_Em0099g3a Em0099g3a, Ephydatia_muelleri_Em0099g23a Em0099g23a, Ephydatia_muelleri_Em0429g7a Em0429g7a, Ephydatia_muelleri_Em0145g12a Em0145g12a	Stylophora_pistillata_Spis513 Spis513 SpisGene513
OG0000554	Ephydatia_muelleri_Em0019g315a Em0019g315a, Ephydatia_muelleri_Em0019g316a Em0019g316a	Stylophora_pistillata_Spis18270 Spis18270 SpisGene18270
OG0000607	Ephydatia_muelleri_Em0022g628a Em0022g628a, Ephydatia_muelleri_Em0022g621a Em0022g621a, Ephydatia_muelleri_Em0008g1230a Em0008g1230a, Ephydatia_muelleri_Em0002g962a Em0002g962a	Stylophora_pistillata_Spis23655 Spis23655 SpisGene23655, Stylophora_pistillata_Spis22009 Spis22009 SpisGene22009
OG0000879	Ephydatia_muelleri_Em0006g959a Em0006g959a	Stylophora_pistillata_Spis24641 Spis24641 SpisGene24641
