Orthogroup	Ctenophora_Nuda_Beroe_ovata	Chordata_Vertebrata_Bos_taurus
OG0000156	Beroe_ovata_Bova1_4.0124.g23.t1 Bova1_4.0124.g23.t1	sp|Q5EA98.1|MFAP1_BOVIN RecName_ Full=Microfibrillar-associated protein 1; AltName_ Full=Spliceosome B complex protein MFAP1
OG0000171	Beroe_ovata_Bova1_4.0014.g57.t1 Bova1_4.0014.g57.t1	XP_059738228.1 peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Bos taurus]
OG0000177	Beroe_ovata_Bova1_4.0025.g79.t1 Bova1_4.0025.g79.t1	XP_010801455.2 oviduct-specific glycoprotein isoform X1 [Bos taurus]
OG0000181	Beroe_ovata_Bova1_4.0127.g30.t1 Bova1_4.0127.g30.t1	NP_001099091.1 R-spondin-1 precursor [Bos taurus], sp|Q1RMU1.1|RSPO3_BOVIN RecName_ Full=R-spondin-3; AltName_ Full=Roof plate-specific spondin-3; Flags_ Precursor, NP_001193021.1 R-spondin-2 precursor [Bos taurus], XP_002692324.1 R-spondin-4 [Bos taurus]
OG0000182	Beroe_ovata_Bova1_4.0038.g27.t1 Bova1_4.0038.g27.t1	NP_001068891.1 2_4-dienoyl-CoA reductase [_3E_-enoyl-CoA-producing]_ mitochondrial [Bos taurus]
OG0000202	Beroe_ovata_Bova1_4.0420.g8.t2 Bova1_4.0420.g8.t2, Beroe_ovata_Bova1_4.0420.g8.t1 Bova1_4.0420.g8.t1	NP_001192227.2 cysteine-rich motor neuron 1 protein precursor [Bos taurus]
OG0000214	Beroe_ovata_Bova1_4.0015.g97.t1 Bova1_4.0015.g97.t1	sp|Q5EA76.1|INT14_BOVIN RecName_ Full=Integrator complex subunit 14; AltName_ Full=von Willebrand factor A domain-containing protein 9
OG0000276	Beroe_ovata_Bova1_4.0017.g35.t1 Bova1_4.0017.g35.t1	sp|Q9TTK4.1|LYST_BOVIN RecName_ Full=Lysosomal-trafficking regulator
OG0000277	Beroe_ovata_Bova1_4.0113.g12.t3 Bova1_4.0113.g12.t3, Beroe_ovata_Bova1_4.0113.g12.t1 Bova1_4.0113.g12.t1, Beroe_ovata_Bova1_4.0113.g12.t2 Bova1_4.0113.g12.t2	NP_001094702.1 carboxypeptidase N subunit 2 precursor [Bos taurus]
OG0000393	Beroe_ovata_Bova1_4.0167.g5.t1 Bova1_4.0167.g5.t1, Beroe_ovata_Bova1_4.0167.g4.t1 Bova1_4.0167.g4.t1	NP_001291206.1 relaxin receptor 2 precursor [Bos taurus]
OG0000864	Beroe_ovata_Bova1_4.0262.g14.t2 Bova1_4.0262.g14.t2, Beroe_ovata_Bova1_4.0262.g14.t1 Bova1_4.0262.g14.t1	pdb|7O7F|B Chain B_ Guanine nucleotide-binding protein G_I_/G_S_/G_T_ subunit beta-1
OG0001122	Beroe_ovata_Bova1_4.0155.g19.t1 Bova1_4.0155.g19.t1	XP_024846044.1 LOW QUALITY PROTEIN_ erythroferrone [Bos taurus]
