Orthogroup	Ctenophora_Nuda_Beroe_ovata	Cnidaria_Anthozoa_Exaiptasia_diaphana
OG0000041	Beroe_ovata_Bova1_4.0027.g62.t1 Bova1_4.0027.g62.t1, Beroe_ovata_Bova1_4.0027.g62.t3 Bova1_4.0027.g62.t3	Exaiptasia_diaphana_XP_020912183.1 XP_020912183.1 protein mono-ADP-ribosyltransferase PARP4 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912184.1 XP_020912184.1 protein mono-ADP-ribosyltransferase PARP4 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912185.1 XP_020912185.1 protein mono-ADP-ribosyltransferase PARP4 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518262.1 XP_028518262.1 protein mono-ADP-ribosyltransferase PARP4 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020912186.1 XP_020912186.1 protein mono-ADP-ribosyltransferase PARP4 isoform X5 [Exaiptasia diaphana]
OG0000042	Beroe_ovata_Bova1_4.0050.g30.t2 Bova1_4.0050.g30.t2, Beroe_ovata_Bova1_4.0050.g30.t1 Bova1_4.0050.g30.t1, Beroe_ovata_Bova1_4.0822.g1.t1 Bova1_4.0822.g1.t1	Exaiptasia_diaphana_XP_020913153.1 XP_020913153.1 neurexin-4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028515387.1 XP_028515387.1 uncharacterized protein LOC110240742 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902191.1 XP_020902191.1 neurexin-3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902193.1 XP_020902193.1 neurexin-1b [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902210.1 XP_020902210.1 neurexin-3 [Exaiptasia diaphana]
OG0000044	Beroe_ovata_Bova1_4.0038.g71.t1 Bova1_4.0038.g71.t1	Exaiptasia_diaphana_XP_028519449.1 XP_028519449.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916544.1 XP_020916544.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916593.1 XP_020916593.1 protein-glutamine gamma-glutamyltransferase K [Exaiptasia diaphana]
OG0000045	Beroe_ovata_Bova1_4.0013.g40.t1 Bova1_4.0013.g40.t1, Beroe_ovata_Bova1_4.0013.g39.t1 Bova1_4.0013.g39.t1	Exaiptasia_diaphana_XP_028518553.1 XP_028518553.1 laminin subunit alpha [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519634.1 XP_028519634.1 laminin subunit alpha-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519624.1 XP_028519624.1 laminin subunit alpha_ partial [Exaiptasia diaphana]
OG0000049	Beroe_ovata_Bova1_4.0316.g2.t1 Bova1_4.0316.g2.t1, Beroe_ovata_Bova1_4.1059.g2.t1 Bova1_4.1059.g2.t1, Beroe_ovata_Bova1_4.0316.g1.t2 Bova1_4.0316.g1.t2, Beroe_ovata_Bova1_4.0316.g1.t1 Bova1_4.0316.g1.t1, Beroe_ovata_Bova1_4.0027.g58.t1 Bova1_4.0027.g58.t1, Beroe_ovata_Bova1_4.0027.g59.t1 Bova1_4.0027.g59.t1	Exaiptasia_diaphana_XP_028518799.1 XP_028518799.1 plexin-A1 [Exaiptasia diaphana]
OG0000051	Beroe_ovata_Bova1_4.0093.g5.t1 Bova1_4.0093.g5.t1, Beroe_ovata_Bova1_4.0012.g17.t2 Bova1_4.0012.g17.t2, Beroe_ovata_Bova1_4.0012.g17.t1 Bova1_4.0012.g17.t1, Beroe_ovata_Bova1_4.0023.g89.t1 Bova1_4.0023.g89.t1	Exaiptasia_diaphana_XP_028515912.1 XP_028515912.1 VWFA and cache domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899021.2 XP_020899021.2 LOW QUALITY PROTEIN_ VWFA and cache domain-containing protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513623.1 XP_028513623.1 voltage-dependent calcium channel subunit alpha-2_delta-3 [Exaiptasia diaphana]
OG0000053	Beroe_ovata_Bova1_4.0359.g4.t1 Bova1_4.0359.g4.t1	Exaiptasia_diaphana_XP_020910451.1 XP_020910451.1 malignant fibrous histiocytoma-amplified sequence 1 homolog isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020910452.1 XP_020910452.1 malignant fibrous histiocytoma-amplified sequence 1 homolog isoform X2 [Exaiptasia diaphana]
OG0000054	Beroe_ovata_Bova1_4.0046.g52.t1 Bova1_4.0046.g52.t1	Exaiptasia_diaphana_XP_020910667.1 XP_020910667.1 erbin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513465.1 XP_028513465.1 protein scribble homolog [Exaiptasia diaphana]
OG0000058	Beroe_ovata_Bova1_4.0217.g1.t1 Bova1_4.0217.g1.t1, Beroe_ovata_Bova1_4.0047.g1.t1 Bova1_4.0047.g1.t1, Beroe_ovata_Bova1_4.0230.g20.t1 Bova1_4.0230.g20.t1, Beroe_ovata_Bova1_4.0047.g4.t1 Bova1_4.0047.g4.t1	Exaiptasia_diaphana_XP_020913733.1 XP_020913733.1 uncharacterized protein LOC110251370 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916045.1 XP_020916045.1 cubilin [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028514138.1 XP_028514138.1 uncharacterized protein LOC110236629 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028517068.1 XP_028517068.1 uncharacterized protein LOC114575757 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516447.1 XP_028516447.1 uncharacterized protein LOC110244407 [Exaiptasia diaphana]
OG0000061	Beroe_ovata_Bova1_4.0085.g17.t2 Bova1_4.0085.g17.t2, Beroe_ovata_Bova1_4.0085.g17.t1 Bova1_4.0085.g17.t1, Beroe_ovata_Bova1_4.0085.g17.t5 Bova1_4.0085.g17.t5, Beroe_ovata_Bova1_4.0085.g17.t3 Bova1_4.0085.g17.t3, Beroe_ovata_Bova1_4.0085.g17.t4 Bova1_4.0085.g17.t4	Exaiptasia_diaphana_XP_020893258.1 XP_020893258.1 copine-3 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893259.1 XP_020893259.1 copine-3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906480.1 XP_020906480.1 copine-3 isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020906472.1 XP_020906472.1 copine-3 isoform X1 [Exaiptasia diaphana]
OG0000061	Beroe_ovata_Bova1_4.0166.g1.t2 Bova1_4.0166.g1.t2, Beroe_ovata_Bova1_4.0166.g1.t1 Bova1_4.0166.g1.t1	Exaiptasia_diaphana_XP_020897999.1 XP_020897999.1 copine-5 [Exaiptasia diaphana]
OG0000073	Beroe_ovata_Bova1_4.0225.g2.t1 Bova1_4.0225.g2.t1	Exaiptasia_diaphana_XP_020915772.1 XP_020915772.1 uncharacterized protein LOC110253235 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020895933.1 XP_020895933.1 uncharacterized protein LOC110234861 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028513712.1 XP_028513712.1 uncharacterized protein LOC110234892 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020916520.2 XP_020916520.2 uncharacterized protein LOC110253908 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911803.2 XP_020911803.2 deleted in malignant brain tumors 1 protein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020902310.1 XP_020902310.1 uncharacterized protein LOC110240831 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020911812.2 XP_020911812.2 uncharacterized protein LOC110249578 [Exaiptasia diaphana]
OG0000076	Beroe_ovata_Bova1_4.0005.g52.t1 Bova1_4.0005.g52.t1	Exaiptasia_diaphana_XP_028513134.1 XP_028513134.1 multiple epidermal growth factor-like domains protein 6 [Exaiptasia diaphana]
OG0000078	Beroe_ovata_Bova1_4.0097.g25.t1 Bova1_4.0097.g25.t1, Beroe_ovata_Bova1_4.0199.g16.t1 Bova1_4.0199.g16.t1, Beroe_ovata_Bova1_4.0018.g111.t1 Bova1_4.0018.g111.t1, Beroe_ovata_Bova1_4.0122.g38.t1 Bova1_4.0122.g38.t1	Exaiptasia_diaphana_XP_020897050.1 XP_020897050.1 cathepsin L [Exaiptasia diaphana]
OG0000087	Beroe_ovata_Bova1_4.0008.g42.t2 Bova1_4.0008.g42.t2, Beroe_ovata_Bova1_4.0008.g42.t1 Bova1_4.0008.g42.t1, Beroe_ovata_Bova1_4.0008.g42.t3 Bova1_4.0008.g42.t3	Exaiptasia_diaphana_XP_028512643.1 XP_028512643.1 A-kinase anchor protein 9 [Exaiptasia diaphana]
OG0000087	Beroe_ovata_Bova1_4.0068.g34.t1 Bova1_4.0068.g34.t1, Beroe_ovata_Bova1_4.0068.g34.t2 Bova1_4.0068.g34.t2	Exaiptasia_diaphana_XP_020915847.1 XP_020915847.1 peripheral-type benzodiazepine receptor-associated protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915850.1 XP_020915850.1 peripheral-type benzodiazepine receptor-associated protein 1 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915848.1 XP_020915848.1 peripheral-type benzodiazepine receptor-associated protein 1 isoform X2 [Exaiptasia diaphana]
OG0000094	Beroe_ovata_Bova1_4.0260.g6.t1 Bova1_4.0260.g6.t1	Exaiptasia_diaphana_XP_020908799.1 XP_020908799.1 leucine-rich repeat and calponin homology domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020908800.1 XP_020908800.1 leucine-rich repeat and calponin homology domain-containing protein 1 isoform X2 [Exaiptasia diaphana]
OG0000103	Beroe_ovata_Bova1_4.0001.g4.t1 Bova1_4.0001.g4.t1, Beroe_ovata_Bova1_4.0001.g5.t1 Bova1_4.0001.g5.t1	Exaiptasia_diaphana_XP_028519276.1 XP_028519276.1 leucine-rich repeat-containing protein 49 isoform X3 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519277.1 XP_028519277.1 leucine-rich repeat-containing protein 49 isoform X4 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915977.1 XP_020915977.1 leucine-rich repeat-containing protein 49 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020915978.1 XP_020915978.1 leucine-rich repeat-containing protein 49 isoform X2 [Exaiptasia diaphana]
OG0000113	Beroe_ovata_Bova1_4.0104.g16.t1 Bova1_4.0104.g16.t1, Beroe_ovata_Bova1_4.0104.g16.t2 Bova1_4.0104.g16.t2	Exaiptasia_diaphana_XP_020908660.2 XP_020908660.2 fibronectin type-III domain-containing protein 3A-like [Exaiptasia diaphana]
OG0000114	Beroe_ovata_Bova1_4.0155.g12.t1 Bova1_4.0155.g12.t1, Beroe_ovata_Bova1_4.0155.g12.t2 Bova1_4.0155.g12.t2	Exaiptasia_diaphana_XP_020909724.1 XP_020909724.1 host cell factor 2 [Exaiptasia diaphana]
OG0000133	Beroe_ovata_Bova1_4.0231.g5.t2 Bova1_4.0231.g5.t2, Beroe_ovata_Bova1_4.0231.g5.t1 Bova1_4.0231.g5.t1	Exaiptasia_diaphana_XP_020911647.1 XP_020911647.1 leucine-rich repeat-containing protein 9 [Exaiptasia diaphana]
OG0000134	Beroe_ovata_Bova1_4.0165.g23.t1 Bova1_4.0165.g23.t1, Beroe_ovata_Bova1_4.0165.g23.t2 Bova1_4.0165.g23.t2, Beroe_ovata_Bova1_4.0165.g23.t3 Bova1_4.0165.g23.t3	Exaiptasia_diaphana_XP_028519000.1 XP_028519000.1 uncharacterized protein LOC110252463 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020914922.1 XP_020914922.1 uncharacterized protein LOC110252439 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028518255.1 XP_028518255.1 midasin [Exaiptasia diaphana]
OG0000146	Beroe_ovata_Bova1_4.0152.g23.t1 Bova1_4.0152.g23.t1, Beroe_ovata_Bova1_4.0152.g24.t1 Bova1_4.0152.g24.t1	Exaiptasia_diaphana_XP_028512736.1 XP_028512736.1 uncharacterized protein LOC110231904 [Exaiptasia diaphana]
OG0000148	Beroe_ovata_Bova1_4.0104.g11.t1 Bova1_4.0104.g11.t1	Exaiptasia_diaphana_XP_020915263.1 XP_020915263.1 transforming growth factor beta-2 proprotein [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028519105.1 XP_028519105.1 transforming growth factor beta-2 proprotein [Exaiptasia diaphana]
OG0000152	Beroe_ovata_Bova1_4.0464.g3.t1 Bova1_4.0464.g3.t1	Exaiptasia_diaphana_XP_020904233.1 XP_020904233.1 leucine-rich repeat protein soc-2 homolog isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020904234.1 XP_020904234.1 leucine-rich repeat protein soc-2 homolog isoform X2 [Exaiptasia diaphana]
OG0000156	Beroe_ovata_Bova1_4.0124.g23.t1 Bova1_4.0124.g23.t1	Exaiptasia_diaphana_XP_028513245.1 XP_028513245.1 microfibrillar-associated protein 1 [Exaiptasia diaphana]
OG0000159	Beroe_ovata_Bova1_4.0003.g170.t1 Bova1_4.0003.g170.t1	Exaiptasia_diaphana_XP_020913849.1 XP_020913849.1 fibronectin type 3 and ankyrin repeat domains protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020893289.1 XP_020893289.1 fibronectin type 3 and ankyrin repeat domains protein 1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903022.1 XP_020903022.1 fibronectin type 3 and ankyrin repeat domains protein 1-like [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020903026.1 XP_020903026.1 fibronectin type 3 and ankyrin repeat domains protein 1_ partial [Exaiptasia diaphana]
OG0000165	Beroe_ovata_Bova1_4.0080.g32.t1 Bova1_4.0080.g32.t1, Beroe_ovata_Bova1_4.0080.g31.t1 Bova1_4.0080.g31.t1	Exaiptasia_diaphana_XP_020906110.1 XP_020906110.1 leucine-rich repeat-containing protein 58 [Exaiptasia diaphana]
OG0000171	Beroe_ovata_Bova1_4.0014.g57.t1 Bova1_4.0014.g57.t1	Exaiptasia_diaphana_XP_020911895.1 XP_020911895.1 peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase [Exaiptasia diaphana]
OG0000176	Beroe_ovata_Bova1_4.0138.g15.t2 Bova1_4.0138.g15.t2, Beroe_ovata_Bova1_4.0138.g15.t1 Bova1_4.0138.g15.t1	Exaiptasia_diaphana_XP_020901377.1 XP_020901377.1 ankyrin repeat and fibronectin type-III domain-containing protein 1 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020901378.1 XP_020901378.1 ankyrin repeat and fibronectin type-III domain-containing protein 1 isoform X2 [Exaiptasia diaphana]
OG0000177	Beroe_ovata_Bova1_4.0025.g79.t1 Bova1_4.0025.g79.t1	Exaiptasia_diaphana_XP_020898461.1 XP_020898461.1 protein phosphatase 1 regulatory subunit 7 [Exaiptasia diaphana]
OG0000187	Beroe_ovata_Bova1_4.0039.g18.t1 Bova1_4.0039.g18.t1	Exaiptasia_diaphana_XP_020906478.1 XP_020906478.1 leucine-rich repeat-containing protein 69 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020894430.1 XP_020894430.1 leucine-rich repeat-containing protein 69 [Exaiptasia diaphana]
OG0000192	Beroe_ovata_Bova1_4.0025.g92.t1 Bova1_4.0025.g92.t1, Beroe_ovata_Bova1_4.0025.g94.t1 Bova1_4.0025.g94.t1	Exaiptasia_diaphana_XP_020895920.1 XP_020895920.1 protein flightless-1 homolog [Exaiptasia diaphana]
OG0000193	Beroe_ovata_Bova1_4.0008.g11.t1 Bova1_4.0008.g11.t1, Beroe_ovata_Bova1_4.0008.g9.t1 Bova1_4.0008.g9.t1	Exaiptasia_diaphana_XP_020902775.1 XP_020902775.1 CCR4-NOT transcription complex subunit 6-like [Exaiptasia diaphana]
OG0000194	Beroe_ovata_Bova1_4.0138.g26.t1 Bova1_4.0138.g26.t1	Exaiptasia_diaphana_XP_020902507.1 XP_020902507.1 leucine-rich repeat-containing protein 40 [Exaiptasia diaphana]
OG0000195	Beroe_ovata_Bova1_4.0190.g12.t1 Bova1_4.0190.g12.t1	Exaiptasia_diaphana_XP_020893065.1 XP_020893065.1 ras suppressor protein 1 [Exaiptasia diaphana]
OG0000199	Beroe_ovata_Bova1_4.0026.g82.t1 Bova1_4.0026.g82.t1	Exaiptasia_diaphana_XP_020899985.1 XP_020899985.1 26S proteasome non-ATPase regulatory subunit 4 [Exaiptasia diaphana]
OG0000200	Beroe_ovata_Bova1_4.0002.g138.t1 Bova1_4.0002.g138.t1	Exaiptasia_diaphana_XP_020915029.1 XP_020915029.1 von Willebrand factor A domain-containing protein 3B [Exaiptasia diaphana]
OG0000210	Beroe_ovata_Bova1_4.0208.g6.t1 Bova1_4.0208.g6.t1, Beroe_ovata_Bova1_4.0208.g6.t2 Bova1_4.0208.g6.t2	Exaiptasia_diaphana_XP_020908043.1 XP_020908043.1 X-ray radiation resistance-associated protein 1 [Exaiptasia diaphana]
OG0000211	Beroe_ovata_Bova1_4.0037.g29.t1 Bova1_4.0037.g29.t1	Exaiptasia_diaphana_XP_028519363.1 XP_028519363.1 protein MLP1 [Exaiptasia diaphana]
OG0000212	Beroe_ovata_Bova1_4.0035.g39.t1 Bova1_4.0035.g39.t1, Beroe_ovata_Bova1_4.0035.g40.t1 Bova1_4.0035.g40.t1	Exaiptasia_diaphana_XP_020904592.1 XP_020904592.1 LOW QUALITY PROTEIN_ E3 ubiquitin-protein ligase LRSAM1-like isoform X2 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_028516015.1 XP_028516015.1 E3 ubiquitin-protein ligase LRSAM1-like isoform X1 [Exaiptasia diaphana]
OG0000214	Beroe_ovata_Bova1_4.0015.g97.t1 Bova1_4.0015.g97.t1	Exaiptasia_diaphana_XP_020904790.1 XP_020904790.1 LOW QUALITY PROTEIN_ integrator complex subunit 14-like [Exaiptasia diaphana]
OG0000219	Beroe_ovata_Bova1_4.0029.g52.t1 Bova1_4.0029.g52.t1	Exaiptasia_diaphana_XP_020899206.1 XP_020899206.1 von Willebrand factor A domain-containing protein 8 isoform X1 [Exaiptasia diaphana], Exaiptasia_diaphana_XP_020899208.1 XP_020899208.1 von Willebrand factor A domain-containing protein 8 isoform X2 [Exaiptasia diaphana]
OG0000237	Beroe_ovata_Bova1_4.0123.g22.t1 Bova1_4.0123.g22.t1	Exaiptasia_diaphana_XP_020908032.1 XP_020908032.1 uncharacterized protein LOC110246071 [Exaiptasia diaphana]
OG0000240	Beroe_ovata_Bova1_4.0275.g12.t1 Bova1_4.0275.g12.t1	Exaiptasia_diaphana_XP_028514983.1 XP_028514983.1 nischarin [Exaiptasia diaphana]
OG0000276	Beroe_ovata_Bova1_4.0017.g35.t1 Bova1_4.0017.g35.t1	Exaiptasia_diaphana_XP_020915527.1 XP_020915527.1 N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase [Exaiptasia diaphana]
OG0000393	Beroe_ovata_Bova1_4.0167.g5.t1 Bova1_4.0167.g5.t1, Beroe_ovata_Bova1_4.0167.g4.t1 Bova1_4.0167.g4.t1	Exaiptasia_diaphana_XP_020904196.1 XP_020904196.1 protein Wnt-16-like [Exaiptasia diaphana]
OG0000436	Beroe_ovata_Bova1_4.0153.g3.t3 Bova1_4.0153.g3.t3, Beroe_ovata_Bova1_4.0153.g3.t1 Bova1_4.0153.g3.t1	Exaiptasia_diaphana_XP_020896526.1 XP_020896526.1 CUB and zona pellucida-like domain-containing protein 1 [Exaiptasia diaphana]
OG0000598	Beroe_ovata_Bova1_4.0061.g27.t2 Bova1_4.0061.g27.t2, Beroe_ovata_Bova1_4.0061.g27.t1 Bova1_4.0061.g27.t1	Exaiptasia_diaphana_XP_028513969.1 XP_028513969.1 cilia- and flagella-associated protein 54 [Exaiptasia diaphana]
OG0000625	Beroe_ovata_Bova1_4.0494.g3.t1 Bova1_4.0494.g3.t1	Exaiptasia_diaphana_XP_028516770.1 XP_028516770.1 uncharacterized protein LOC110245407 [Exaiptasia diaphana]
OG0000708	Beroe_ovata_Bova1_4.0075.g18.t2 Bova1_4.0075.g18.t2, Beroe_ovata_Bova1_4.0075.g18.t1 Bova1_4.0075.g18.t1	Exaiptasia_diaphana_XP_028517404.1 XP_028517404.1 uncharacterized protein LOC114575897 [Exaiptasia diaphana]
