Orthogroup	Ctenophora_Nuda_Beroe_ovata	Cnidaria_Scyphozoa_Aurelia_aurita
OG0000017	Beroe_ovata_Bova1_4.0021.g29.t1 Bova1_4.0021.g29.t1, Beroe_ovata_Bova1_4.0101.g29.t1 Bova1_4.0101.g29.t1	Aurelia_aurita_Seg932.11 Seg932.11 transcript_id=Seg932.11_GoldUCD_mRNA.D3Y31 product="Leukocyte elastase inhibitor C" protein_id=Seg932.11_GoldUCD_D3Y31, Aurelia_aurita_Seg1617.8 Seg1617.8 transcript_id=Seg1617.8_GoldUCD_mRNA.D3Y31 product="Serpin B11" protein_id=Seg1617.8_GoldUCD_D3Y31, Aurelia_aurita_Seg2092.5 Seg2092.5 transcript_id=Seg2092.5_GoldUCD_mRNA.D3Y31 product="Serpin B11" protein_id=Seg2092.5_GoldUCD_D3Y31, Aurelia_aurita_Seg910.11 Seg910.11 transcript_id=Seg910.11_GoldUCD_mRNA.D3Y31 product="Serpin B11" protein_id=Seg910.11_GoldUCD_D3Y31, Aurelia_aurita_Seg2092.8 Seg2092.8 transcript_id=Seg2092.8_GoldUCD_mRNA.D3Y31 product="Leukocyte elastase inhibitor C" protein_id=Seg2092.8_GoldUCD_D3Y31, Aurelia_aurita_Seg6085.3 Seg6085.3 transcript_id=Seg6085.3_GoldUCD_mRNA.D3Y31 product="Leukocyte elastase inhibitor C" protein_id=Seg6085.3_GoldUCD_D3Y31, Aurelia_aurita_Seg873.2 Seg873.2 transcript_id=Seg873.2_GoldUCD_mRNA.D3Y31 product="Serpin B8" protein_id=Seg873.2_GoldUCD_D3Y31
OG0000019	Beroe_ovata_Bova1_4.0040.g35.t3 Bova1_4.0040.g35.t3, Beroe_ovata_Bova1_4.0040.g35.t2 Bova1_4.0040.g35.t2	Aurelia_aurita_Seg36.3 Seg36.3 transcript_id=Seg36.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 10" protein_id=Seg36.3_GoldUCD_D3Y31, Aurelia_aurita_Seg1073.3 Seg1073.3 transcript_id=Seg1073.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 10" protein_id=Seg1073.3_GoldUCD_D3Y31, Aurelia_aurita_Seg3305.2 Seg3305.2 transcript_id=Seg3305.2_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 5" protein_id=Seg3305.2_GoldUCD_D3Y31, Aurelia_aurita_Seg2319.3 Seg2319.3 transcript_id=Seg2319.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 5" protein_id=Seg2319.3_GoldUCD_D3Y31, Aurelia_aurita_Seg630.3 Seg630.3 transcript_id=Seg630.3_GoldUCD_mRNA.D3Y31 product="Bone morphogenetic protein 2-B" protein_id=Seg630.3_GoldUCD_D3Y31, Aurelia_aurita_Seg4745.1 Seg4745.1 transcript_id=Seg4745.1_GoldUCD_mRNA.D3Y31 product="Growth_differentiation factor 6-A" protein_id=Seg4745.1_GoldUCD_D3Y31, Aurelia_aurita_Seg562.17 Seg562.17 transcript_id=Seg562.17_GoldUCD_mRNA.D3Y31 product="Growth_differentiation factor 6-A" protein_id=Seg562.17_GoldUCD_D3Y31
OG0000022	Beroe_ovata_Bova1_4.0785.g1.t1 Bova1_4.0785.g1.t1, Beroe_ovata_Bova1_4.0354.g2.t1 Bova1_4.0354.g2.t1, Beroe_ovata_Bova1_4.0085.g13.t1 Bova1_4.0085.g13.t1	Aurelia_aurita_Seg190.12 Seg190.12 transcript_id=Seg190.12_GoldUCD_mRNA.D3Y31 product="Annexin A6" protein_id=Seg190.12_GoldUCD_D3Y31
OG0000022	Beroe_ovata_Bova1_4.0298.g2.t1 Bova1_4.0298.g2.t1, Beroe_ovata_Bova1_4.0337.g7.t1 Bova1_4.0337.g7.t1, Beroe_ovata_Bova1_4.0337.g7.t2 Bova1_4.0337.g7.t2	Aurelia_aurita_Seg940.20 Seg940.20 transcript_id=Seg940.20_GoldUCD_mRNA.D3Y31 product="Annexin A7" protein_id=Seg940.20_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg6005.1 Seg6005.1 transcript_id=Seg6005.1_GoldUCD_mRNA.D3Y31 product="Annexin A7" protein_id=Seg6005.1_GoldUCD_D3Y31
OG0000023	Beroe_ovata_Bova1_4.0174.g1.t1 Bova1_4.0174.g1.t1, Beroe_ovata_Bova1_4.0174.g2.t1 Bova1_4.0174.g2.t1, Beroe_ovata_Bova1_4.0076.g65.t1 Bova1_4.0076.g65.t1, Beroe_ovata_Bova1_4.0120.g4.t1 Bova1_4.0120.g4.t1, Beroe_ovata_Bova1_4.0595.g2.t1 Bova1_4.0595.g2.t1, Beroe_ovata_Bova1_4.0008.g40.t1 Bova1_4.0008.g40.t1	Aurelia_aurita_Seg1673.1 Seg1673.1 transcript_id=Seg1673.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase-disintegrin-like Eoc1" protein_id=Seg1673.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1897.2 Seg1897.2 transcript_id=Seg1897.2_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 22" protein_id=Seg1897.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1673.2 Seg1673.2 transcript_id=Seg1673.2_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase-disintegrin-like VLAIP-A" protein_id=Seg1673.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4219.1 Seg4219.1 transcript_id=Seg4219.1_GoldUCD_mRNA.D3Y31 product="Zinc metalloproteinase-disintegrin-like BfMP" protein_id=Seg4219.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1897.5 Seg1897.5 transcript_id=Seg1897.5_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 12" protein_id=Seg1897.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1897.4 Seg1897.4 transcript_id=Seg1897.4_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 7" protein_id=Seg1897.4_GoldUCD_D3Y31
OG0000030	Beroe_ovata_Bova1_4.0151.g33.t1 Bova1_4.0151.g33.t1, Beroe_ovata_Bova1_4.0151.g32.t1 Bova1_4.0151.g32.t1, Beroe_ovata_Bova1_4.0256.g28.t2 Bova1_4.0256.g28.t2, Beroe_ovata_Bova1_4.0256.g28.t1 Bova1_4.0256.g28.t1	Aurelia_aurita_Seg1709.3 Seg1709.3 transcript_id=Seg1709.3_GoldUCD_mRNA.D3Y31 product="ADAM 17-like protease" protein_id=Seg1709.3_GoldUCD_D3Y31
OG0000030	Beroe_ovata_Bova1_4.0003.g115.t1 Bova1_4.0003.g115.t1, Beroe_ovata_Bova1_4.0003.g114.t1 Bova1_4.0003.g114.t1	Aurelia_aurita_Seg5003.4 Seg5003.4 transcript_id=Seg5003.4_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 10" protein_id=Seg5003.4_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg604.5 Seg604.5 transcript_id=Seg604.5_GoldUCD_mRNA.D3Y31 product="Disintegrin and metalloproteinase domain-containing protein 10" protein_id=Seg604.5_GoldUCD_D3Y31
OG0000034	Beroe_ovata_Bova1_4.0642.g1.t1 Bova1_4.0642.g1.t1, Beroe_ovata_Bova1_4.0049.g39.t3 Bova1_4.0049.g39.t3, Beroe_ovata_Bova1_4.0049.g39.t4 Bova1_4.0049.g39.t4, Beroe_ovata_Bova1_4.0049.g39.t5 Bova1_4.0049.g39.t5, Beroe_ovata_Bova1_4.0049.g39.t1 Bova1_4.0049.g39.t1, Beroe_ovata_Bova1_4.0049.g39.t2 Bova1_4.0049.g39.t2	Aurelia_aurita_Seg485.7_Seg485.4 Seg485.7_Seg485.4 transcript_id=Seg485.7_Seg485.4_GoldUCD_mRNA.D3Y31 product="putative protein tag-53" protein_id=Seg485.7_Seg485.4_GoldUCD_D3Y31
OG0000036	Beroe_ovata_Bova1_4.0040.g35.t1 Bova1_4.0040.g35.t1	Aurelia_aurita_Seg2023.3 Seg2023.3 transcript_id=Seg2023.3_GoldUCD_mRNA.D3Y31 product="Epidermal growth factor-like protein 7" protein_id=Seg2023.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg5645.1 Seg5645.1 transcript_id=Seg5645.1_GoldUCD_mRNA.D3Y31 product=Vitrin protein_id=Seg5645.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2341.1 Seg2341.1 transcript_id=Seg2341.1_GoldUCD_mRNA.D3Y31 product="Epidermal growth factor-like protein 7" protein_id=Seg2341.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2425.5 Seg2425.5 transcript_id=Seg2425.5_GoldUCD_mRNA.D3Y31 product="von Willebrand factor C and EGF domain-containing protein" protein_id=Seg2425.5_GoldUCD_D3Y31, Aurelia_aurita_Seg593.16 Seg593.16 transcript_id=Seg593.16_GoldUCD_mRNA.D3Y31 product=Fibulin-1 protein_id=Seg593.16_GoldUCD_D3Y31, Aurelia_aurita_Seg1549.14 Seg1549.14 transcript_id=Seg1549.14_GoldUCD_mRNA.D3Y31 product="Signal peptide CUB and EGF-like domain-containing protein 1" protein_id=Seg1549.14_GoldUCD_D3Y31, Aurelia_aurita_Seg889.20 Seg889.20 transcript_id=Seg889.20_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg889.20_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1425.3 Seg1425.3 transcript_id=Seg1425.3_GoldUCD_mRNA.D3Y31 product=Matrilin-2 protein_id=Seg1425.3_GoldUCD_D3Y31, Aurelia_aurita_Seg2435.1 Seg2435.1 transcript_id=Seg2435.1_GoldUCD_mRNA.D3Y31 product=Matrilin-2 protein_id=Seg2435.1_GoldUCD_D3Y31 partial=true
OG0000041	Beroe_ovata_Bova1_4.0006.g146.t1 Bova1_4.0006.g146.t1	Aurelia_aurita_Seg391.15 Seg391.15 transcript_id=Seg391.15_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 5A" protein_id=Seg391.15_GoldUCD_D3Y31, Aurelia_aurita_Seg391.14 Seg391.14 transcript_id=Seg391.14_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 5A" protein_id=Seg391.14_GoldUCD_D3Y31, Aurelia_aurita_Seg391.13 Seg391.13 transcript_id=Seg391.13_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 5A" protein_id=Seg391.13_GoldUCD_D3Y31, Aurelia_aurita_Seg4755.1 Seg4755.1 transcript_id=Seg4755.1_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 5A" protein_id=Seg4755.1_GoldUCD_D3Y31, Aurelia_aurita_Seg391.16 Seg391.16 transcript_id=Seg391.16_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 5A" protein_id=Seg391.16_GoldUCD_D3Y31, Aurelia_aurita_Seg4755.2 Seg4755.2 transcript_id=Seg4755.2_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 5A" protein_id=Seg4755.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4755.3 Seg4755.3 transcript_id=Seg4755.3_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 5A" protein_id=Seg4755.3_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg4063.1 Seg4063.1 transcript_id=Seg4063.1_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 5A" protein_id=Seg4063.1_GoldUCD_D3Y31, Aurelia_aurita_Seg5415.1 Seg5415.1 transcript_id=Seg5415.1_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein" protein_id=Seg5415.1_GoldUCD_D3Y31 partial=true
OG0000041	Beroe_ovata_Bova1_4.0027.g44.t1 Bova1_4.0027.g44.t1	Aurelia_aurita_Seg65.4 Seg65.4 transcript_id=Seg65.4_GoldUCD_mRNA.D3Y31 product="von Willebrand factor A domain-containing protein 5B1" protein_id=Seg65.4_GoldUCD_D3Y31
OG0000041	Beroe_ovata_Bova1_4.0027.g62.t1 Bova1_4.0027.g62.t1, Beroe_ovata_Bova1_4.0027.g62.t3 Bova1_4.0027.g62.t3	Aurelia_aurita_Seg1686.12 Seg1686.12 transcript_id=Seg1686.12_GoldUCD_mRNA.D3Y31 product=Poly protein_id=Seg1686.12_GoldUCD_D3Y31 partial=true
OG0000042	Beroe_ovata_Bova1_4.0050.g30.t2 Bova1_4.0050.g30.t2, Beroe_ovata_Bova1_4.0050.g30.t1 Bova1_4.0050.g30.t1, Beroe_ovata_Bova1_4.0822.g1.t1 Bova1_4.0822.g1.t1	Aurelia_aurita_Seg1788.1 Seg1788.1 transcript_id=Seg1788.1_GoldUCD_mRNA.D3Y31 product=Neurexin-3 protein_id=Seg1788.1_GoldUCD_D3Y31, Aurelia_aurita_Seg289.1 Seg289.1 transcript_id=Seg289.1_GoldUCD_mRNA.D3Y31 product=Neurexin-1 protein_id=Seg289.1_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1027.18 Seg1027.18 transcript_id=Seg1027.18_GoldUCD_mRNA.D3Y31 product=Neurexin-3 protein_id=Seg1027.18_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2195.10 Seg2195.10 transcript_id=Seg2195.10_GoldUCD_mRNA.D3Y31 product=Neurexin-3 protein_id=Seg2195.10_GoldUCD_D3Y31
OG0000044	Beroe_ovata_Bova1_4.0038.g71.t1 Bova1_4.0038.g71.t1	Aurelia_aurita_Seg5.2 Seg5.2 transcript_id=Seg5.2_GoldUCD_mRNA.D3Y31 product="Protein-glutamine gamma-glutamyltransferase K" protein_id=Seg5.2_GoldUCD_D3Y31, Aurelia_aurita_Seg1628.2 Seg1628.2 transcript_id=Seg1628.2_GoldUCD_mRNA.D3Y31 product="Protein-glutamine gamma-glutamyltransferase K" protein_id=Seg1628.2_GoldUCD_D3Y31, Aurelia_aurita_Seg4454.1 Seg4454.1 transcript_id=Seg4454.1_GoldUCD_mRNA.D3Y31 product="Protein-glutamine gamma-glutamyltransferase K" protein_id=Seg4454.1_GoldUCD_D3Y31
OG0000045	Beroe_ovata_Bova1_4.0013.g40.t1 Bova1_4.0013.g40.t1, Beroe_ovata_Bova1_4.0013.g39.t1 Bova1_4.0013.g39.t1	Aurelia_aurita_Seg3360.5 Seg3360.5 transcript_id=Seg3360.5_GoldUCD_mRNA.D3Y31 product="Laminin-like protein epi-1" protein_id=Seg3360.5_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg2845.2 Seg2845.2 transcript_id=Seg2845.2_GoldUCD_mRNA.D3Y31 product="Laminin-like protein epi-1" protein_id=Seg2845.2_GoldUCD_D3Y31
OG0000045	Beroe_ovata_Bova1_4.0938.g1.t1 Bova1_4.0938.g1.t1	Aurelia_aurita_Seg276.2 Seg276.2 transcript_id=Seg276.2_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg276.2_GoldUCD_D3Y31 partial=true, Aurelia_aurita_Seg1120.6 Seg1120.6 transcript_id=Seg1120.6_GoldUCD_mRNA.D3Y31 product="Laminin subunit alpha-5" protein_id=Seg1120.6_GoldUCD_D3Y31 partial=true
OG0000049	Beroe_ovata_Bova1_4.0343.g5.t1 Bova1_4.0343.g5.t1, Beroe_ovata_Bova1_4.0343.g5.t2 Bova1_4.0343.g5.t2	Aurelia_aurita_Seg3864.1 Seg3864.1 transcript_id=Seg3864.1_GoldUCD_mRNA.D3Y31 product=Plexin-A1 protein_id=Seg3864.1_GoldUCD_D3Y31, Aurelia_aurita_Seg642.4 Seg642.4 transcript_id=Seg642.4_GoldUCD_mRNA.D3Y31 product=Plexin-A1 protein_id=Seg642.4_GoldUCD_D3Y31
OG0000051	Beroe_ovata_Bova1_4.0093.g5.t1 Bova1_4.0093.g5.t1, Beroe_ovata_Bova1_4.0012.g17.t2 Bova1_4.0012.g17.t2, Beroe_ovata_Bova1_4.0012.g17.t1 Bova1_4.0012.g17.t1, Beroe_ovata_Bova1_4.0023.g89.t1 Bova1_4.0023.g89.t1	Aurelia_aurita_Seg1227.4 Seg1227.4 transcript_id=Seg1227.4_GoldUCD_mRNA.D3Y31 product="VWFA and cache domain-containing protein 1" protein_id=Seg1227.4_GoldUCD_D3Y31
OG0000053	Beroe_ovata_Bova1_4.0359.g4.t1 Bova1_4.0359.g4.t1	Aurelia_aurita_Seg752.5 Seg752.5 transcript_id=Seg752.5_GoldUCD_mRNA.D3Y31 product="Malignant fibrous histiocytoma-amplified sequence 1-like" protein_id=Seg752.5_GoldUCD_D3Y31, Aurelia_aurita_Seg6940.1 Seg6940.1 transcript_id=Seg6940.1_GoldUCD_mRNA.D3Y31 product="Malignant fibrous histiocytoma-amplified sequence 1" protein_id=Seg6940.1_GoldUCD_D3Y31
OG0000054	Beroe_ovata_Bova1_4.0046.g52.t1 Bova1_4.0046.g52.t1	Aurelia_aurita_Seg2059.2 Seg2059.2 transcript_id=Seg2059.2_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 1" protein_id=Seg2059.2_GoldUCD_D3Y31
OG0000058	Beroe_ovata_Bova1_4.0217.g1.t1 Bova1_4.0217.g1.t1, Beroe_ovata_Bova1_4.0047.g1.t1 Bova1_4.0047.g1.t1, Beroe_ovata_Bova1_4.0230.g20.t1 Bova1_4.0230.g20.t1, Beroe_ovata_Bova1_4.0047.g4.t1 Bova1_4.0047.g4.t1	Aurelia_aurita_Seg1029.1 Seg1029.1 transcript_id=Seg1029.1_GoldUCD_mRNA.D3Y31 product="MAM and LDL-receptor class A domain-containing protein 1" protein_id=Seg1029.1_GoldUCD_D3Y31 partial=true
OG0000061	Beroe_ovata_Bova1_4.0085.g17.t2 Bova1_4.0085.g17.t2, Beroe_ovata_Bova1_4.0085.g17.t1 Bova1_4.0085.g17.t1, Beroe_ovata_Bova1_4.0085.g17.t5 Bova1_4.0085.g17.t5, Beroe_ovata_Bova1_4.0085.g17.t3 Bova1_4.0085.g17.t3, Beroe_ovata_Bova1_4.0085.g17.t4 Bova1_4.0085.g17.t4	Aurelia_aurita_Seg4277.4 Seg4277.4 transcript_id=Seg4277.4_GoldUCD_mRNA.D3Y31 product=Copine-1 protein_id=Seg4277.4_GoldUCD_D3Y31, Aurelia_aurita_Seg4633.1 Seg4633.1 transcript_id=Seg4633.1_GoldUCD_mRNA.D3Y31 product=Copine-3 protein_id=Seg4633.1_GoldUCD_D3Y31
OG0000061	Beroe_ovata_Bova1_4.0166.g1.t2 Bova1_4.0166.g1.t2, Beroe_ovata_Bova1_4.0166.g1.t1 Bova1_4.0166.g1.t1	Aurelia_aurita_Seg1254.9 Seg1254.9 transcript_id=Seg1254.9_GoldUCD_mRNA.D3Y31 product=Copine-8 protein_id=Seg1254.9_GoldUCD_D3Y31, Aurelia_aurita_Seg2080.8 Seg2080.8 transcript_id=Seg2080.8_GoldUCD_mRNA.D3Y31 product=Copine-8 protein_id=Seg2080.8_GoldUCD_D3Y31
OG0000065	Beroe_ovata_Bova1_4.0102.g7.t1 Bova1_4.0102.g7.t1, Beroe_ovata_Bova1_4.0102.g8.t1 Bova1_4.0102.g8.t1	Aurelia_aurita_Seg2474.2 Seg2474.2 transcript_id=Seg2474.2_GoldUCD_mRNA.D3Y31 product=Glypican-6 protein_id=Seg2474.2_GoldUCD_D3Y31
OG0000070	Beroe_ovata_Bova1_4.0502.g2.t5 Bova1_4.0502.g2.t5	Aurelia_aurita_Seg370.2 Seg370.2 transcript_id=Seg370.2_GoldUCD_mRNA.D3Y31 product=Peroxidasin protein_id=Seg370.2_GoldUCD_D3Y31 partial=true
OG0000075	Beroe_ovata_Bova1_4.0018.g38.t1 Bova1_4.0018.g38.t1	Aurelia_aurita_Seg2020.6 Seg2020.6 transcript_id=Seg2020.6_GoldUCD_mRNA.D3Y31 product="hypothetical protein" protein_id=Seg2020.6_GoldUCD_D3Y31
OG0000078	Beroe_ovata_Bova1_4.0097.g25.t1 Bova1_4.0097.g25.t1, Beroe_ovata_Bova1_4.0199.g16.t1 Bova1_4.0199.g16.t1, Beroe_ovata_Bova1_4.0018.g111.t1 Bova1_4.0018.g111.t1, Beroe_ovata_Bova1_4.0122.g38.t1 Bova1_4.0122.g38.t1, Beroe_ovata_Bova1_4.0116.g23.t1 Bova1_4.0116.g23.t1, Beroe_ovata_Bova1_4.0169.g19.t1 Bova1_4.0169.g19.t1, Beroe_ovata_Bova1_4.0249.g10.t1 Bova1_4.0249.g10.t1, Beroe_ovata_Bova1_4.0010.g20.t2 Bova1_4.0010.g20.t2	Aurelia_aurita_Seg1437.7 Seg1437.7 transcript_id=Seg1437.7_GoldUCD_mRNA.D3Y31 product=Cystatin-1 protein_id=Seg1437.7_GoldUCD_D3Y31
OG0000093	Beroe_ovata_Bova1_4.0024.g37.t1 Bova1_4.0024.g37.t1, Beroe_ovata_Bova1_4.0024.g36.t1 Bova1_4.0024.g36.t1, Beroe_ovata_Bova1_4.0126.g23.t1 Bova1_4.0126.g23.t1, Beroe_ovata_Bova1_4.0024.g35.t1 Bova1_4.0024.g35.t1	Aurelia_aurita_Seg1903.2 Seg1903.2 transcript_id=Seg1903.2_GoldUCD_mRNA.D3Y31 product=Cystatin-B protein_id=Seg1903.2_GoldUCD_D3Y31
OG0000103	Beroe_ovata_Bova1_4.0001.g4.t1 Bova1_4.0001.g4.t1, Beroe_ovata_Bova1_4.0001.g5.t1 Bova1_4.0001.g5.t1	Aurelia_aurita_Seg2032.4 Seg2032.4 transcript_id=Seg2032.4_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 49" protein_id=Seg2032.4_GoldUCD_D3Y31
OG0000133	Beroe_ovata_Bova1_4.0231.g5.t2 Bova1_4.0231.g5.t2, Beroe_ovata_Bova1_4.0231.g5.t1 Bova1_4.0231.g5.t1	Aurelia_aurita_Seg1842.5 Seg1842.5 transcript_id=Seg1842.5_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 9" protein_id=Seg1842.5_GoldUCD_D3Y31
OG0000134	Beroe_ovata_Bova1_4.0165.g23.t1 Bova1_4.0165.g23.t1, Beroe_ovata_Bova1_4.0165.g23.t2 Bova1_4.0165.g23.t2, Beroe_ovata_Bova1_4.0165.g23.t3 Bova1_4.0165.g23.t3	Aurelia_aurita_Seg453.13 Seg453.13 transcript_id=Seg453.13_GoldUCD_mRNA.D3Y31 product=Midasin protein_id=Seg453.13_GoldUCD_D3Y31
OG0000146	Beroe_ovata_Bova1_4.0152.g23.t1 Bova1_4.0152.g23.t1, Beroe_ovata_Bova1_4.0152.g24.t1 Bova1_4.0152.g24.t1	Aurelia_aurita_Seg2266.3 Seg2266.3 transcript_id=Seg2266.3_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat protein SHOC-2" protein_id=Seg2266.3_GoldUCD_D3Y31
OG0000159	Beroe_ovata_Bova1_4.0003.g170.t1 Bova1_4.0003.g170.t1	Aurelia_aurita_Seg1354.12 Seg1354.12 transcript_id=Seg1354.12_GoldUCD_mRNA.D3Y31 product="Fibronectin type 3 and ankyrin repeat domains protein 1" protein_id=Seg1354.12_GoldUCD_D3Y31
OG0000165	Beroe_ovata_Bova1_4.0080.g32.t1 Bova1_4.0080.g32.t1, Beroe_ovata_Bova1_4.0080.g31.t1 Bova1_4.0080.g31.t1	Aurelia_aurita_Seg1081.15 Seg1081.15 transcript_id=Seg1081.15_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 58" protein_id=Seg1081.15_GoldUCD_D3Y31
OG0000171	Beroe_ovata_Bova1_4.0014.g57.t1 Bova1_4.0014.g57.t1	Aurelia_aurita_Seg1937.6 Seg1937.6 transcript_id=Seg1937.6_GoldUCD_mRNA.D3Y31 product=Peptide-N protein_id=Seg1937.6_GoldUCD_D3Y31, Aurelia_aurita_Seg5238.1 Seg5238.1 transcript_id=Seg5238.1_GoldUCD_mRNA.D3Y31 product=Peptide-N protein_id=Seg5238.1_GoldUCD_D3Y31 partial=true
OG0000176	Beroe_ovata_Bova1_4.0138.g15.t2 Bova1_4.0138.g15.t2, Beroe_ovata_Bova1_4.0138.g15.t1 Bova1_4.0138.g15.t1	Aurelia_aurita_Seg1613.8 Seg1613.8 transcript_id=Seg1613.8_GoldUCD_mRNA.D3Y31 product="Ankyrin repeat and fibronectin type-III domain-containing protein 1" protein_id=Seg1613.8_GoldUCD_D3Y31 partial=true
OG0000177	Beroe_ovata_Bova1_4.0025.g79.t1 Bova1_4.0025.g79.t1	Aurelia_aurita_Seg2025.6 Seg2025.6 transcript_id=Seg2025.6_GoldUCD_mRNA.D3Y31 product="Acidic mammalian chitinase" protein_id=Seg2025.6_GoldUCD_D3Y31
OG0000187	Beroe_ovata_Bova1_4.0039.g18.t1 Bova1_4.0039.g18.t1	Aurelia_aurita_Seg3528.1 Seg3528.1 transcript_id=Seg3528.1_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 69" protein_id=Seg3528.1_GoldUCD_D3Y31
OG0000192	Beroe_ovata_Bova1_4.0025.g92.t1 Bova1_4.0025.g92.t1, Beroe_ovata_Bova1_4.0025.g94.t1 Bova1_4.0025.g94.t1	Aurelia_aurita_Seg1524.6 Seg1524.6 transcript_id=Seg1524.6_GoldUCD_mRNA.D3Y31 product="Protein flightless-1-like" protein_id=Seg1524.6_GoldUCD_D3Y31 partial=true
OG0000194	Beroe_ovata_Bova1_4.0138.g26.t1 Bova1_4.0138.g26.t1	Aurelia_aurita_Seg152.4 Seg152.4 transcript_id=Seg152.4_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 57" protein_id=Seg152.4_GoldUCD_D3Y31
OG0000199	Beroe_ovata_Bova1_4.0026.g82.t1 Bova1_4.0026.g82.t1	Aurelia_aurita_Seg1662.4 Seg1662.4 transcript_id=Seg1662.4_GoldUCD_mRNA.D3Y31 product="26S proteasome non-ATPase regulatory subunit 4" protein_id=Seg1662.4_GoldUCD_D3Y31
OG0000204	Beroe_ovata_Bova1_4.0059.g16.t1 Bova1_4.0059.g16.t1, Beroe_ovata_Bova1_4.0059.g17.t1 Bova1_4.0059.g17.t1	Aurelia_aurita_Seg2327.2 Seg2327.2 transcript_id=Seg2327.2_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 59" protein_id=Seg2327.2_GoldUCD_D3Y31, Aurelia_aurita_Seg573.1 Seg573.1 transcript_id=Seg573.1_GoldUCD_mRNA.D3Y31 product="Leucine-rich repeat-containing protein 59" protein_id=Seg573.1_GoldUCD_D3Y31
OG0000210	Beroe_ovata_Bova1_4.0208.g6.t1 Bova1_4.0208.g6.t1, Beroe_ovata_Bova1_4.0208.g6.t2 Bova1_4.0208.g6.t2	Aurelia_aurita_Seg1703.3 Seg1703.3 transcript_id=Seg1703.3_GoldUCD_mRNA.D3Y31 product="X-ray radiation resistance-associated protein 1" protein_id=Seg1703.3_GoldUCD_D3Y31
OG0000211	Beroe_ovata_Bova1_4.0037.g29.t1 Bova1_4.0037.g29.t1	Aurelia_aurita_Seg2763.1 Seg2763.1 transcript_id=Seg2763.1_GoldUCD_mRNA.D3Y31 product=Centriolin protein_id=Seg2763.1_GoldUCD_D3Y31 partial=true
OG0000214	Beroe_ovata_Bova1_4.0015.g97.t1 Bova1_4.0015.g97.t1	Aurelia_aurita_Seg298.30 Seg298.30 transcript_id=Seg298.30_GoldUCD_mRNA.D3Y31 product="Integrator complex subunit 14" protein_id=Seg298.30_GoldUCD_D3Y31
