Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Staurozoa_Calvadosia_cruxmelitensis
OG0000023	Coturnix_japonica_XP_015721656.1 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015738502.1 disintegrin and metalloproteinase domain-containing protein 28 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015733264.1 disintegrin and metalloproteinase domain-containing protein 9-like [Coturnix japonica], Coturnix_japonica_XP_015738633.1 disintegrin and metalloproteinase domain-containing protein 9 [Coturnix japonica], Coturnix_japonica_XP_015723079.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 12 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015718482.1 disintegrin and metalloproteinase domain-containing protein 33 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015731731.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 19 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015723724.1 disintegrin and metalloproteinase domain-containing protein 23 [Coturnix japonica], Coturnix_japonica_XP_015708948.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740988.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 11 isoform X2 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.38278 Ccrux.Trinity.38278, Calvadosia_cruxmelitensis_Ccrux.Trinity.38288 Ccrux.Trinity.38288, Calvadosia_cruxmelitensis_Ccrux.Trinity.38282 Ccrux.Trinity.38282, Calvadosia_cruxmelitensis_Ccrux.Trinity.38277 Ccrux.Trinity.38277
OG0000024	Coturnix_japonica_XP_015716467.1 testican-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015731364.1 testican-1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015721924.1 testican-2 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.1042 Ccrux.Trinity.1042
OG0000028	Coturnix_japonica_XP_015706908.1 collagen alpha-1_IV_ chain [Coturnix japonica], Coturnix_japonica_XP_015715960.1 collagen alpha-5_IV_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015726877.1 collagen alpha-3_IV_ chain [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.12863 Ccrux.Trinity.12863, Calvadosia_cruxmelitensis_Ccrux.Trinity.12860 Ccrux.Trinity.12860
OG0000030	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.10006 Ccrux.Trinity.10006, Calvadosia_cruxmelitensis_Ccrux.Trinity.10008 Ccrux.Trinity.10008, Calvadosia_cruxmelitensis_Ccrux.Trinity.10007 Ccrux.Trinity.10007
OG0000030	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.26176 Ccrux.Trinity.26176, Calvadosia_cruxmelitensis_Ccrux.Trinity.26172 Ccrux.Trinity.26172, Calvadosia_cruxmelitensis_Ccrux.Trinity.55193 Ccrux.Trinity.55193
OG0000034	Coturnix_japonica_XP_015728800.1 multiple epidermal growth factor-like domains protein 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705198.1 multiple epidermal growth factor-like domains protein 10 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.29401 Ccrux.Trinity.29401, Calvadosia_cruxmelitensis_Ccrux.Trinity.29405 Ccrux.Trinity.29405
OG0000036	Coturnix_japonica_XP_015734828.1 epidermal growth factor-like protein 7 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015703683.1 PREDICTED_ epidermal growth factor-like protein 6 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015716910.1 LOW QUALITY PROTEIN_ nephronectin [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.355 Ccrux.Trinity.355
OG0000037	Coturnix_japonica_XP_015707407.1 periostin isoform X8 [Coturnix japonica], Coturnix_japonica_XP_015731386.1 transforming growth factor-beta-induced protein ig-h3 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.8137 Ccrux.Trinity.8137, Calvadosia_cruxmelitensis_Ccrux.Trinity.9835 Ccrux.Trinity.9835, Calvadosia_cruxmelitensis_Ccrux.Trinity.9838 Ccrux.Trinity.9838, Calvadosia_cruxmelitensis_Ccrux.Trinity.9837 Ccrux.Trinity.9837, Calvadosia_cruxmelitensis_Ccrux.Trinity.9839 Ccrux.Trinity.9839, Calvadosia_cruxmelitensis_Ccrux.Trinity.9836 Ccrux.Trinity.9836, Calvadosia_cruxmelitensis_Ccrux.Trinity.9834 Ccrux.Trinity.9834
OG0000040	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.51979 Ccrux.Trinity.51979
OG0000041	Coturnix_japonica_XP_015727259.1 von Willebrand factor A domain-containing protein 5B2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737811.1 von Willebrand factor A domain-containing protein 5B1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.59000 Ccrux.Trinity.59000
OG0000044	Coturnix_japonica_XP_015737318.1 protein-glutamine gamma-glutamyltransferase 2 [Coturnix japonica], Coturnix_japonica_XP_015736940.1 PREDICTED_ protein-glutamine gamma-glutamyltransferase E-like_ partial [Coturnix japonica], Coturnix_japonica_XP_015736972.1 protein-glutamine gamma-glutamyltransferase 6-like [Coturnix japonica], Coturnix_japonica_XP_015709680.1 protein-glutamine gamma-glutamyltransferase 4 [Coturnix japonica], Coturnix_japonica_XP_015710131.1 coagulation factor XIII A chain [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.11028 Ccrux.Trinity.11028, Calvadosia_cruxmelitensis_Ccrux.Trinity.11029 Ccrux.Trinity.11029, Calvadosia_cruxmelitensis_Ccrux.Trinity.31172 Ccrux.Trinity.31172, Calvadosia_cruxmelitensis_Ccrux.Trinity.31175 Ccrux.Trinity.31175, Calvadosia_cruxmelitensis_Ccrux.Trinity.31178 Ccrux.Trinity.31178, Calvadosia_cruxmelitensis_Ccrux.Trinity.31183 Ccrux.Trinity.31183
OG0000045	Coturnix_japonica_XP_015710913.1 PREDICTED_ laminin subunit alpha-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015736975.1 laminin subunit alpha-5 isoform X3 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.3251 Ccrux.Trinity.3251, Calvadosia_cruxmelitensis_Ccrux.Trinity.9800 Ccrux.Trinity.9800, Calvadosia_cruxmelitensis_Ccrux.Trinity.9793 Ccrux.Trinity.9793, Calvadosia_cruxmelitensis_Ccrux.Trinity.71194 Ccrux.Trinity.71194
OG0000045	Coturnix_japonica_XP_015714210.1 laminin subunit alpha-4 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.9796 Ccrux.Trinity.9796, Calvadosia_cruxmelitensis_Ccrux.Trinity.2314 Ccrux.Trinity.2314
OG0000049	Coturnix_japonica_XP_015730469.1 plexin-A1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740621.1 PREDICTED_ plexin-A2 [Coturnix japonica], Coturnix_japonica_XP_015716725.1 plexin-A4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730724.1 plexin-B1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015708110.1 plexin-B2 [Coturnix japonica], Coturnix_japonica_XP_015730333.1 plexin-D1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.36955 Ccrux.Trinity.36955, Calvadosia_cruxmelitensis_Ccrux.Trinity.36954 Ccrux.Trinity.36954
OG0000054	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.18828 Ccrux.Trinity.18828
OG0000064	Coturnix_japonica_XP_015720647.1 PREDICTED_ latent-transforming growth factor beta-binding protein 2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015713186.1 latent-transforming growth factor beta-binding protein 1 isoform X6 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.19626 Ccrux.Trinity.19626
OG0000064	Coturnix_japonica_XP_015742103.1 PREDICTED_ fibrillin-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705146.1 fibrillin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728443.1 fibrillin-1 isoform X1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.62793 Ccrux.Trinity.62793
OG0000065	Coturnix_japonica_XP_015707026.1 glypican-5 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715912.1 glypican-3 isoform X1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.465 Ccrux.Trinity.465
OG0000070	Coturnix_japonica_XP_015714841.1 peroxidasin homolog [Coturnix japonica], Coturnix_japonica_XP_015737187.1 peroxidasin homolog [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.11503 Ccrux.Trinity.11503, Calvadosia_cruxmelitensis_Ccrux.Trinity.11506 Ccrux.Trinity.11506, Calvadosia_cruxmelitensis_Ccrux.Trinity.11509 Ccrux.Trinity.11509
OG0000080	Coturnix_japonica_XP_015719193.1 metalloproteinase inhibitor 3 [Coturnix japonica], Coturnix_japonica_XP_015735526.1 metalloproteinase inhibitor 2 [Coturnix japonica], Coturnix_japonica_XP_015730262.1 metalloproteinase inhibitor 4 isoform X3 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.5691 Ccrux.Trinity.5691, Calvadosia_cruxmelitensis_Ccrux.Trinity.70554 Ccrux.Trinity.70554
OG0000081	Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica], Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.39810 Ccrux.Trinity.39810, Calvadosia_cruxmelitensis_Ccrux.Trinity.39813 Ccrux.Trinity.39813, Calvadosia_cruxmelitensis_Ccrux.Trinity.39808 Ccrux.Trinity.39808
OG0000083	Coturnix_japonica_XP_015730132.1 hyaluronidase-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015729975.1 hyaluronidase-1 [Coturnix japonica], Coturnix_japonica_XP_015708262.1 hyaluronidase PH-20 [Coturnix japonica], Coturnix_japonica_XP_015729965.1 PREDICTED_ hyaluronidase-2 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.17144 Ccrux.Trinity.17144
OG0000084	Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015723175.2 collagen alpha-1_XVIII_ chain isoform X1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.35548 Ccrux.Trinity.35548, Calvadosia_cruxmelitensis_Ccrux.Trinity.35549 Ccrux.Trinity.35549, Calvadosia_cruxmelitensis_Ccrux.Trinity.35546 Ccrux.Trinity.35546
OG0000088	Coturnix_japonica_XP_015718401.1 spondin-2 [Coturnix japonica], Coturnix_japonica_XP_015719003.1 PREDICTED_ spondin-1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.51932 Ccrux.Trinity.51932
OG0000089	Coturnix_japonica_XP_015716178.1 chordin-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015708156.1 PREDICTED_ chordin-like protein 2 isoform X1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.31544 Ccrux.Trinity.31544, Calvadosia_cruxmelitensis_Ccrux.Trinity.31553 Ccrux.Trinity.31553, Calvadosia_cruxmelitensis_Ccrux.Trinity.31550 Ccrux.Trinity.31550, Calvadosia_cruxmelitensis_Ccrux.Trinity.31548 Ccrux.Trinity.31548, Calvadosia_cruxmelitensis_Ccrux.Trinity.31555 Ccrux.Trinity.31555
OG0000093	Coturnix_japonica_XP_015729012.1 leukocyte cysteine proteinase inhibitor 1-like [Coturnix japonica], Coturnix_japonica_XP_015729006.1 cystatin-B-like [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.53582 Ccrux.Trinity.53582
OG0000112	Coturnix_japonica_XP_015722579.1 PREDICTED_ inactive heparanase-2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015717103.1 PREDICTED_ heparanase isoform X3 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.11290 Ccrux.Trinity.11290
OG0000120	Coturnix_japonica_XP_015736984.1 syndecan-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711411.1 syndecan-2 [Coturnix japonica], Coturnix_japonica_XP_015714984.1 syndecan-1 [Coturnix japonica], Coturnix_japonica_XP_015739164.1 syndecan-3 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.62450 Ccrux.Trinity.62450
OG0000122	Coturnix_japonica_XP_015729348.1 72 kDa type IV collagenase [Coturnix japonica], Coturnix_japonica_XP_015737409.1 matrix metalloproteinase-9 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.2403 Ccrux.Trinity.2403
OG0000141	Coturnix_japonica_XP_015736960.1 WNT1-inducible-signaling pathway protein 2 [Coturnix japonica], Coturnix_japonica_XP_015711858.1 WNT1-inducible-signaling pathway protein 1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015714079.1 PREDICTED_ LOW QUALITY PROTEIN_ WNT1-inducible-signaling pathway protein 3 [Coturnix japonica], Coturnix_japonica_XP_015714065.1 CCN family member 2 [Coturnix japonica], Coturnix_japonica_NP_001310148.1 CCN family member 3 precursor [Coturnix japonica], Coturnix_japonica_XP_015725662.1 CCN family member 1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.59381 Ccrux.Trinity.59381, Calvadosia_cruxmelitensis_Ccrux.Trinity.56706 Ccrux.Trinity.56706
OG0000150	Coturnix_japonica_XP_015725032.1 pappalysin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015734233.1 PREDICTED_ pappalysin-1 isoform X2 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.70441 Ccrux.Trinity.70441
OG0000154	Coturnix_japonica_XP_015728755.1 cartilage intermediate layer protein 1 [Coturnix japonica], Coturnix_japonica_XP_015741555.1 cartilage intermediate layer protein 2 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.71132 Ccrux.Trinity.71132
OG0000156	Coturnix_japonica_XP_015728918.1 microfibrillar-associated protein 1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.38048 Ccrux.Trinity.38048, Calvadosia_cruxmelitensis_Ccrux.Trinity.38045 Ccrux.Trinity.38045, Calvadosia_cruxmelitensis_Ccrux.Trinity.38037 Ccrux.Trinity.38037, Calvadosia_cruxmelitensis_Ccrux.Trinity.38043 Ccrux.Trinity.38043
OG0000157	Coturnix_japonica_XP_015716670.1 extracellular matrix protein FRAS1 isoform X1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.52207 Ccrux.Trinity.52207
OG0000182	Coturnix_japonica_XP_015732559.1 von Willebrand factor A domain-containing protein 3A [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.25498 Ccrux.Trinity.25498, Calvadosia_cruxmelitensis_Ccrux.Trinity.24872 Ccrux.Trinity.24872
OG0000200	Coturnix_japonica_XP_015706466.1 PREDICTED_ von Willebrand factor A domain-containing protein 3B isoform X4 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.18866 Ccrux.Trinity.18866
OG0000235	Coturnix_japonica_XP_015733986.1 EMI domain-containing protein 1 isoform X1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.13886 Ccrux.Trinity.13886, Calvadosia_cruxmelitensis_Ccrux.Trinity.13884 Ccrux.Trinity.13884
OG0000236	Coturnix_japonica_XP_015732360.1 platelet-derived growth factor subunit A isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715772.1 platelet-derived growth factor subunit B [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.2453 Ccrux.Trinity.2453
OG0000281	Coturnix_japonica_XP_015714621.1 collagen alpha-1_XIX_ chain isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015714610.1 collagen alpha-1_IX_ chain isoform X1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.38263 Ccrux.Trinity.38263
OG0000344	Coturnix_japonica_XP_015730282.1 follistatin-related protein 1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.28926 Ccrux.Trinity.28926
OG0000463	Coturnix_japonica_XP_015711086.1 wnt inhibitory factor 1 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.26478 Ccrux.Trinity.26478
OG0000860	Coturnix_japonica_XP_015737693.1 matrix metalloproteinase-23 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.53791 Ccrux.Trinity.53791
OG0001133	Coturnix_japonica_XP_015728048.1 uncharacterized protein LOC107318572 [Coturnix japonica]	Calvadosia_cruxmelitensis_Ccrux.Trinity.57084 Ccrux.Trinity.57084
