Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Anthozoa_Stylophora_pistillata
OG0000031	Coturnix_japonica_XP_015709056.1 PREDICTED_ von Willebrand factor D and EGF domain-containing protein [Coturnix japonica]	Stylophora_pistillata_Spis10367 Spis10367 SpisGene10367
OG0000033	Coturnix_japonica_XP_015711635.2 collagen triple helix repeat-containing protein 1 [Coturnix japonica]	Stylophora_pistillata_Spis10179 Spis10179 SpisGene10179, Stylophora_pistillata_Spis22124 Spis22124 SpisGene22124, Stylophora_pistillata_Spis13256 Spis13256 SpisGene13256, Stylophora_pistillata_Spis13246 Spis13246 SpisGene13246, Stylophora_pistillata_Spis13243 Spis13243 SpisGene13243, Stylophora_pistillata_Spis1740 Spis1740 SpisGene1740, Stylophora_pistillata_Spis10 Spis10 SpisGene10, Stylophora_pistillata_Spis13247 Spis13247 SpisGene13247, Stylophora_pistillata_Spis7304 Spis7304 SpisGene7304, Stylophora_pistillata_Spis7301 Spis7301 SpisGene7301
OG0000035	Coturnix_japonica_XP_015728570.1 lactadherin isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis12182 Spis12182 SpisGene12182, Stylophora_pistillata_Spis12651 Spis12651 SpisGene12651, Stylophora_pistillata_Spis13909 Spis13909 SpisGene13909, Stylophora_pistillata_Spis7427 Spis7427 SpisGene7427, Stylophora_pistillata_Spis23000 Spis23000 SpisGene23000, Stylophora_pistillata_Spis4780.t1 Spis4780.t1 SpisGene4780, Stylophora_pistillata_Spis23218 Spis23218 SpisGene23218, Stylophora_pistillata_Spis4434 Spis4434 SpisGene4434, Stylophora_pistillata_Spis2013 Spis2013 SpisGene2013, Stylophora_pistillata_Spis2018 Spis2018 SpisGene2018, Stylophora_pistillata_Spis2012 Spis2012 SpisGene2012, Stylophora_pistillata_Spis2002 Spis2002 SpisGene2002
OG0000036	Coturnix_japonica_XP_015734828.1 epidermal growth factor-like protein 7 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015703683.1 PREDICTED_ epidermal growth factor-like protein 6 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015716910.1 LOW QUALITY PROTEIN_ nephronectin [Coturnix japonica]	Stylophora_pistillata_Spis6171 Spis6171 SpisGene6171
OG0000037	Coturnix_japonica_XP_015707407.1 periostin isoform X8 [Coturnix japonica], Coturnix_japonica_XP_015731386.1 transforming growth factor-beta-induced protein ig-h3 [Coturnix japonica]	Stylophora_pistillata_Spis13601 Spis13601 SpisGene13601
OG0000038	Coturnix_japonica_XP_015734323.1 tumor necrosis factor ligand superfamily member 15 [Coturnix japonica], Coturnix_japonica_XP_015725223.1 PREDICTED_ tumor necrosis factor ligand superfamily member 6 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015707222.1 tumor necrosis factor ligand superfamily member 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015727439.1 tumor necrosis factor ligand superfamily member 10 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis1158 Spis1158 SpisGene1158, Stylophora_pistillata_Spis1157 Spis1157 SpisGene1157, Stylophora_pistillata_Spis1160 Spis1160 SpisGene1160, Stylophora_pistillata_Spis1159 Spis1159 SpisGene1159, Stylophora_pistillata_Spis1161 Spis1161 SpisGene1161, Stylophora_pistillata_Spis1162 Spis1162 SpisGene1162
OG0000040	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis21214 Spis21214 SpisGene21214
OG0000041	Coturnix_japonica_XP_015740894.1 PREDICTED_ LOW QUALITY PROTEIN_ von Willebrand factor A domain-containing protein 5A [Coturnix japonica]	Stylophora_pistillata_Spis2408 Spis2408 SpisGene2408
OG0000041	Coturnix_japonica_XP_015727259.1 von Willebrand factor A domain-containing protein 5B2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737811.1 von Willebrand factor A domain-containing protein 5B1 [Coturnix japonica]	Stylophora_pistillata_Spis15631 Spis15631 SpisGene15631
OG0000044	Coturnix_japonica_XP_015737318.1 protein-glutamine gamma-glutamyltransferase 2 [Coturnix japonica], Coturnix_japonica_XP_015736940.1 PREDICTED_ protein-glutamine gamma-glutamyltransferase E-like_ partial [Coturnix japonica], Coturnix_japonica_XP_015736972.1 protein-glutamine gamma-glutamyltransferase 6-like [Coturnix japonica], Coturnix_japonica_XP_015709680.1 protein-glutamine gamma-glutamyltransferase 4 [Coturnix japonica], Coturnix_japonica_XP_015710131.1 coagulation factor XIII A chain [Coturnix japonica]	Stylophora_pistillata_Spis4982 Spis4982 SpisGene4982, Stylophora_pistillata_Spis20352 Spis20352 SpisGene20352, Stylophora_pistillata_Spis4987 Spis4987 SpisGene4987
OG0000045	Coturnix_japonica_XP_015710913.1 PREDICTED_ laminin subunit alpha-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015736975.1 laminin subunit alpha-5 isoform X3 [Coturnix japonica]	Stylophora_pistillata_Spis6767 Spis6767 SpisGene6767, Stylophora_pistillata_Spis7390 Spis7390 SpisGene7390
OG0000049	Coturnix_japonica_XP_015730469.1 plexin-A1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740621.1 PREDICTED_ plexin-A2 [Coturnix japonica], Coturnix_japonica_XP_015716725.1 plexin-A4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730724.1 plexin-B1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015708110.1 plexin-B2 [Coturnix japonica], Coturnix_japonica_XP_015730333.1 plexin-D1 [Coturnix japonica]	Stylophora_pistillata_Spis6729 Spis6729 SpisGene6729
OG0000054	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis4424.t3 Spis4424.t3 SpisGene4424
OG0000059	Coturnix_japonica_XP_015740640.1 signal peptide_ CUB and EGF-like domain-containing protein 3 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015725419.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015719548.1 PREDICTED_ signal peptide_ CUB and EGF-like domain-containing protein 2 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis9841 Spis9841 SpisGene9841, Stylophora_pistillata_Spis16037 Spis16037 SpisGene16037
OG0000063	Coturnix_japonica_XP_015708514.1 sonic hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015724713.1 indian hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015742402.1 desert hedgehog protein [Coturnix japonica]	Stylophora_pistillata_Spis5904 Spis5904 SpisGene5904, Stylophora_pistillata_Spis15269 Spis15269 SpisGene15269
OG0000064	Coturnix_japonica_XP_015742103.1 PREDICTED_ fibrillin-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705146.1 fibrillin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728443.1 fibrillin-1 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis3364 Spis3364 SpisGene3364
OG0000065	Coturnix_japonica_XP_015707026.1 glypican-5 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715912.1 glypican-3 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis8479 Spis8479 SpisGene8479, Stylophora_pistillata_Spis8480 Spis8480 SpisGene8480
OG0000070	Coturnix_japonica_XP_015714841.1 peroxidasin homolog [Coturnix japonica], Coturnix_japonica_XP_015737187.1 peroxidasin homolog [Coturnix japonica]	Stylophora_pistillata_Spis14637 Spis14637 SpisGene14637
OG0000080	Coturnix_japonica_XP_015719193.1 metalloproteinase inhibitor 3 [Coturnix japonica], Coturnix_japonica_XP_015735526.1 metalloproteinase inhibitor 2 [Coturnix japonica], Coturnix_japonica_XP_015730262.1 metalloproteinase inhibitor 4 isoform X3 [Coturnix japonica]	Stylophora_pistillata_Spis6044 Spis6044 SpisGene6044, Stylophora_pistillata_Spis855.t1 Spis855.t1 SpisGene855, Stylophora_pistillata_Spis854 Spis854 SpisGene854, Stylophora_pistillata_Spis857 Spis857 SpisGene857, Stylophora_pistillata_Spis7913 Spis7913 SpisGene7913, Stylophora_pistillata_Spis847 Spis847 SpisGene847, Stylophora_pistillata_Spis845 Spis845 SpisGene845, Stylophora_pistillata_Spis846 Spis846 SpisGene846, Stylophora_pistillata_Spis844 Spis844 SpisGene844
OG0000081	Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica], Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica]	Stylophora_pistillata_Spis10729 Spis10729 SpisGene10729, Stylophora_pistillata_Spis9086 Spis9086 SpisGene9086, Stylophora_pistillata_Spis18739 Spis18739 SpisGene18739, Stylophora_pistillata_Spis17434 Spis17434 SpisGene17434
OG0000083	Coturnix_japonica_XP_015730132.1 hyaluronidase-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015729975.1 hyaluronidase-1 [Coturnix japonica], Coturnix_japonica_XP_015708262.1 hyaluronidase PH-20 [Coturnix japonica], Coturnix_japonica_XP_015729965.1 PREDICTED_ hyaluronidase-2 [Coturnix japonica]	Stylophora_pistillata_Spis24099 Spis24099 SpisGene24099, Stylophora_pistillata_Spis9213 Spis9213 SpisGene9213, Stylophora_pistillata_Spis6958 Spis6958 SpisGene6958
OG0000084	Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015710321.1 PREDICTED_ collagen alpha-1_XV_ chain-like isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015723175.2 collagen alpha-1_XVIII_ chain isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis20307 Spis20307 SpisGene20307
OG0000088	Coturnix_japonica_XP_015718401.1 spondin-2 [Coturnix japonica], Coturnix_japonica_XP_015719003.1 PREDICTED_ spondin-1 [Coturnix japonica]	Stylophora_pistillata_Spis17637 Spis17637 SpisGene17637
OG0000089	Coturnix_japonica_XP_015727358.1 chordin [Coturnix japonica]	Stylophora_pistillata_Spis9074 Spis9074 SpisGene9074
OG0000089	Coturnix_japonica_XP_015716178.1 chordin-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015708156.1 PREDICTED_ chordin-like protein 2 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis6266 Spis6266 SpisGene6266
OG0000090	Coturnix_japonica_XP_015742253.1 hyaluronan and proteoglycan link protein 4 [Coturnix japonica], Coturnix_japonica_XP_015705243.1 PREDICTED_ hyaluronan and proteoglycan link protein 1 [Coturnix japonica], Coturnix_japonica_XP_015728574.1 hyaluronan and proteoglycan link protein 3 [Coturnix japonica], Coturnix_japonica_XP_015739947.1 hyaluronan and proteoglycan link protein 2 [Coturnix japonica]	Stylophora_pistillata_Spis19161 Spis19161 SpisGene19161, Stylophora_pistillata_Spis19159 Spis19159 SpisGene19159
OG0000093	Coturnix_japonica_XP_015729012.1 leukocyte cysteine proteinase inhibitor 1-like [Coturnix japonica], Coturnix_japonica_XP_015729006.1 cystatin-B-like [Coturnix japonica]	Stylophora_pistillata_Spis1325 Spis1325 SpisGene1325, Stylophora_pistillata_Spis1324 Spis1324 SpisGene1324
OG0000095	Coturnix_japonica_XP_015713495.1 PREDICTED_ SPARC-related modular calcium-binding protein 2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015720199.1 SPARC-related modular calcium-binding protein 1 isoform X5 [Coturnix japonica]	Stylophora_pistillata_Spis6340 Spis6340 SpisGene6340
OG0000112	Coturnix_japonica_XP_015722579.1 PREDICTED_ inactive heparanase-2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015717103.1 PREDICTED_ heparanase isoform X3 [Coturnix japonica]	Stylophora_pistillata_Spis17656 Spis17656 SpisGene17656, Stylophora_pistillata_Spis8942 Spis8942 SpisGene8942
OG0000114	Coturnix_japonica_XP_015719754.1 host cell factor 2 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis1676 Spis1676 SpisGene1676
OG0000122	Coturnix_japonica_XP_015729348.1 72 kDa type IV collagenase [Coturnix japonica], Coturnix_japonica_XP_015737409.1 matrix metalloproteinase-9 [Coturnix japonica]	Stylophora_pistillata_Spis21332 Spis21332 SpisGene21332, Stylophora_pistillata_Spis9409 Spis9409 SpisGene9409, Stylophora_pistillata_Spis9410.t1 Spis9410.t1 SpisGene9410
OG0000125	Coturnix_japonica_XP_015721413.1 inter-alpha-trypsin inhibitor heavy chain H5 [Coturnix japonica], Coturnix_japonica_XP_015729920.1 PREDICTED_ inter-alpha-trypsin inhibitor heavy chain H3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015721732.1 inter-alpha-trypsin inhibitor heavy chain H2 [Coturnix japonica]	Stylophora_pistillata_Spis7316 Spis7316 SpisGene7316
OG0000148	Coturnix_japonica_XP_015720635.1 transforming growth factor beta-3 proprotein [Coturnix japonica], Coturnix_japonica_XP_015712764.1 transforming growth factor beta-2 proprotein [Coturnix japonica], Coturnix_japonica_XP_015706031.1 PREDICTED_ transforming growth factor beta-1 [Coturnix japonica]	Stylophora_pistillata_Spis17259 Spis17259 SpisGene17259
OG0000150	Coturnix_japonica_XP_015725032.1 pappalysin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015734233.1 PREDICTED_ pappalysin-1 isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis1789 Spis1789 SpisGene1789
OG0000154	Coturnix_japonica_XP_015728755.1 cartilage intermediate layer protein 1 [Coturnix japonica], Coturnix_japonica_XP_015741555.1 cartilage intermediate layer protein 2 [Coturnix japonica]	Stylophora_pistillata_Spis18052 Spis18052 SpisGene18052, Stylophora_pistillata_Spis14694 Spis14694 SpisGene14694, Stylophora_pistillata_Spis14691 Spis14691 SpisGene14691, Stylophora_pistillata_Spis14700.t1 Spis14700.t1 SpisGene14700
OG0000156	Coturnix_japonica_XP_015728918.1 microfibrillar-associated protein 1 [Coturnix japonica]	Stylophora_pistillata_Spis944 Spis944 SpisGene944
OG0000171	Coturnix_japonica_XP_015709459.1 PREDICTED_ peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis4618.t1 Spis4618.t1 SpisGene4618, Stylophora_pistillata_Spis4617 Spis4617 SpisGene4617
OG0000178	Coturnix_japonica_XP_015726790.1 PREDICTED_ kyphoscoliosis peptidase isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis9622 Spis9622 SpisGene9622, Stylophora_pistillata_Spis9843 Spis9843 SpisGene9843
OG0000182	Coturnix_japonica_XP_015732559.1 von Willebrand factor A domain-containing protein 3A [Coturnix japonica]	Stylophora_pistillata_Spis6187 Spis6187 SpisGene6187
OG0000200	Coturnix_japonica_XP_015706466.1 PREDICTED_ von Willebrand factor A domain-containing protein 3B isoform X4 [Coturnix japonica]	Stylophora_pistillata_Spis3925 Spis3925 SpisGene3925
OG0000233	Coturnix_japonica_XP_015741560.1 mucin-16 [Coturnix japonica]	Stylophora_pistillata_Spis19039 Spis19039 SpisGene19039
OG0000235	Coturnix_japonica_XP_015733986.1 EMI domain-containing protein 1 isoform X1 [Coturnix japonica]	Stylophora_pistillata_Spis7715.t1 Spis7715.t1 SpisGene7715
OG0000268	Coturnix_japonica_XP_015735107.1 cytokine receptor-like factor 3 [Coturnix japonica]	Stylophora_pistillata_Spis4565 Spis4565 SpisGene4565
OG0000269	Coturnix_japonica_XP_015728372.1 gliomedin isoform X2 [Coturnix japonica]	Stylophora_pistillata_Spis18090 Spis18090 SpisGene18090, Stylophora_pistillata_Spis989 Spis989 SpisGene989
OG0000277	Coturnix_japonica_XP_015727354.1 carboxypeptidase N subunit 2 [Coturnix japonica]	Stylophora_pistillata_Spis12990 Spis12990 SpisGene12990
OG0000298	Coturnix_japonica_XP_015732676.1 PREDICTED_ insulin-like growth factor-binding protein complex acid labile subunit [Coturnix japonica]	Stylophora_pistillata_Spis6868 Spis6868 SpisGene6868
