Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Placozoa_Trichoplacidae_Trichoplax_spec-H2
OG0000089	Coturnix_japonica_XP_015716178.1 chordin-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015708156.1 PREDICTED_ chordin-like protein 2 isoform X1 [Coturnix japonica]	Trichoplax_specH2_tr_A0A369SKS5_A0A369SKS5_9METZ tr|A0A369SKS5|A0A369SKS5_9METZ Chordin-like protein 2 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_000973 PE=4 SV=1
OG0000114	Coturnix_japonica_XP_015719754.1 host cell factor 2 isoform X2 [Coturnix japonica]	Trichoplax_specH2_tr_A0A369SL69_A0A369SL69_9METZ tr|A0A369SL69|A0A369SL69_9METZ Host cell factor 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001164 PE=4 SV=1
OG0000150	Coturnix_japonica_XP_015725032.1 pappalysin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015734233.1 PREDICTED_ pappalysin-1 isoform X2 [Coturnix japonica]	Trichoplax_specH2_tr_A0A369SEN7_A0A369SEN7_9METZ tr|A0A369SEN7|A0A369SEN7_9METZ Pappalysin-1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002674 PE=4 SV=1
OG0000156	Coturnix_japonica_XP_015728918.1 microfibrillar-associated protein 1 [Coturnix japonica]	Trichoplax_specH2_tr_A0A369S512_A0A369S512_9METZ tr|A0A369S512|A0A369S512_9METZ Microfibrillar-associated protein 1 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_005170 PE=3 SV=1
OG0000171	Coturnix_japonica_XP_015709459.1 PREDICTED_ peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Coturnix japonica]	Trichoplax_specH2_tr_A0A369SB05_A0A369SB05_9METZ tr|A0A369SB05|A0A369SB05_9METZ Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_003946 PE=3 SV=1
OG0000182	Coturnix_japonica_XP_015732559.1 von Willebrand factor A domain-containing protein 3A [Coturnix japonica]	Trichoplax_specH2_tr_A0A369RQE4_A0A369RQE4_9METZ tr|A0A369RQE4|A0A369RQE4_9METZ von Willebrand factor A domain-containing protein 3A OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011375 PE=4 SV=1
OG0000200	Coturnix_japonica_XP_015706466.1 PREDICTED_ von Willebrand factor A domain-containing protein 3B isoform X4 [Coturnix japonica]	Trichoplax_specH2_tr_A0A369SIX8_A0A369SIX8_9METZ tr|A0A369SIX8|A0A369SIX8_9METZ von Willebrand factor A domain-containing protein 3B OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_001129 PE=4 SV=1
OG0000268	Coturnix_japonica_XP_015735107.1 cytokine receptor-like factor 3 [Coturnix japonica]	Trichoplax_specH2_tr_A0A369SFP1_A0A369SFP1_9METZ tr|A0A369SFP1|A0A369SFP1_9METZ Cytokine receptor-like factor 3 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_002349 PE=4 SV=1
OG0000348	Coturnix_japonica_XP_015740364.1 nyctalopin [Coturnix japonica]	Trichoplax_specH2_tr_A0A369RXF9_A0A369RXF9_9METZ tr|A0A369RXF9|A0A369RXF9_9METZ Chondroadherin OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008135 PE=4 SV=1
OG0000392	Coturnix_japonica_XP_015716328.1 PREDICTED_ chondroadherin-like protein [Coturnix japonica]	Trichoplax_specH2_tr_A0A369RU13_A0A369RU13_9METZ tr|A0A369RU13|A0A369RU13_9METZ Leucine-rich repeat-containing protein 15 OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_011063 PE=4 SV=1
OG0000473	Coturnix_japonica_XP_015718041.1 protein phosphatase 1 regulatory subunit 29 [Coturnix japonica], Coturnix_japonica_XP_015732452.1 protein ELFN1 [Coturnix japonica]	Trichoplax_specH2_tr_A0A369S267_A0A369S267_9METZ tr|A0A369S267|A0A369S267_9METZ Insulin-like growth factor-binding protein complex acid labile subunit OS=Trichoplax sp. H2 OX=287889 GN=TrispH2_008434 PE=4 SV=1
