Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Bos_taurus
OG0000014	Coturnix_japonica_XP_015731090.1 PREDICTED_ A disintegrin and metalloproteinase with thrombospondin motifs 2 [Coturnix japonica]	sp|P79331.1|ATS2_BOVIN RecName_ Full=A disintegrin and metalloproteinase with thrombospondin motifs 2; Short=ADAM-TS 2; Short=ADAM-TS2; Short=ADAMTS-2; AltName_ Full=Procollagen I N-proteinase; Short=PC I-NP; AltName_ Full=Procollagen I/II amino propeptide-processing enzyme; AltName_ Full=Procollagen N-endopeptidase; Short=pNPI; Flags_ Precursor
OG0000014	Coturnix_japonica_XP_015721929.1 A disintegrin and metalloproteinase with thrombospondin motifs 14 isoform X4 [Coturnix japonica]	XP_005226419.1 A disintegrin and metalloproteinase with thrombospondin motifs 14 isoform X1 [Bos taurus]
OG0000014	Coturnix_japonica_XP_015717246.1 A disintegrin and metalloproteinase with thrombospondin motifs 3 isoform X1 [Coturnix japonica]	NP_001179726.1 A disintegrin and metalloproteinase with thrombospondin motifs 3 precursor [Bos taurus]
OG0000014	Coturnix_japonica_XP_015704104.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 isoform X2 [Coturnix japonica]	NP_001179945.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 precursor [Bos taurus]
OG0000014	Coturnix_japonica_XP_015742113.1 PREDICTED_ A disintegrin and metalloproteinase with thrombospondin motifs 10 isoform X1 [Coturnix japonica]	XP_059744100.1 A disintegrin and metalloproteinase with thrombospondin motifs 10 isoform X1 [Bos taurus]
OG0000014	Coturnix_japonica_XP_015728774.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X3 [Coturnix japonica]	XP_024837785.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X1 [Bos taurus]
OG0000014	Coturnix_japonica_XP_015703899.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 [Coturnix japonica]	NP_001179538.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 precursor [Bos taurus]
OG0000014	Coturnix_japonica_XP_015728644.1 PREDICTED_ A disintegrin and metalloproteinase with thrombospondin motifs 17 isoform X1 [Coturnix japonica]	XP_024838029.1 A disintegrin and metalloproteinase with thrombospondin motifs 17 isoform X1 [Bos taurus]
OG0000014	Coturnix_japonica_XP_015704889.1 A disintegrin and metalloproteinase with thrombospondin motifs 19 [Coturnix japonica]	NP_001193043.1 A disintegrin and metalloproteinase with thrombospondin motifs 19 precursor [Bos taurus]
OG0000014	Coturnix_japonica_XP_015720070.1 papilin isoform X1 [Coturnix japonica]	XP_024853897.1 papilin isoform X1 [Bos taurus]
OG0000014	Coturnix_japonica_XP_015710221.1 PREDICTED_ LOW QUALITY PROTEIN_ A disintegrin and metalloproteinase with thrombospondin motifs 20_ partial [Coturnix japonica]	NP_001193022.1 A disintegrin and metalloproteinase with thrombospondin motifs 20 precursor [Bos taurus]
OG0000014	Coturnix_japonica_XP_015730744.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform X2 [Coturnix japonica]	NP_001193502.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 precursor [Bos taurus]
OG0000014	Coturnix_japonica_XP_015737403.1 A disintegrin and metalloproteinase with thrombospondin motifs 5 [Coturnix japonica]	NP_001159987.1 A disintegrin and metalloproteinase with thrombospondin motifs 5 precursor [Bos taurus]
OG0000014	Coturnix_japonica_XP_015736363.1 A disintegrin and metalloproteinase with thrombospondin motifs 1 [Coturnix japonica]	NP_001094550.1 A disintegrin and metalloproteinase with thrombospondin motifs 1 [Bos taurus]
OG0000014	Coturnix_japonica_XP_015739476.1 A disintegrin and metalloproteinase with thrombospondin motifs 8 [Coturnix japonica]	NP_001179254.2 A disintegrin and metalloproteinase with thrombospondin motifs 8 precursor [Bos taurus]
OG0000015	Coturnix_japonica_NP_001310174.1 zona pellucida sperm-binding protein 2 precursor [Coturnix japonica]	NP_776398.1 zona pellucida sperm-binding protein 2 precursor [Bos taurus], sp|Q9BH10.1|ZP2_BOVIN RecName_ Full=Zona pellucida sperm-binding protein 2; AltName_ Full=Zona pellucida glycoprotein 2; Short=Zp-2; AltName_ Full=Zona pellucida protein A; Contains_ RecName_ Full=Processed zona pellucida sperm-binding protein 2; Flags_ Precursor, XP_059737125.1 zona pellucida sperm-binding protein 2 isoform X1 [Bos taurus]
OG0000015	Coturnix_japonica_NP_001310173.1 zona pellucida sperm-binding protein 1 precursor [Coturnix japonica], Coturnix_japonica_XP_015722052.1 PREDICTED_ zona pellucida sperm-binding protein 4-like [Coturnix japonica]	sp|Q9BH11.2|ZP4_BOVIN RecName_ Full=Zona pellucida sperm-binding protein 4; AltName_ Full=Zona pellucida glycoprotein 4; Short=Zp-4; AltName_ Full=Zona pellucida protein B; Contains_ RecName_ Full=Processed zona pellucida sperm-binding protein 4; Flags_ Precursor
OG0000015	Coturnix_japonica_XP_015721772.1 oncoprotein-induced transcript 3 protein isoform X1 [Coturnix japonica]	sp|Q29RU2.1|OIT3_BOVIN RecName_ Full=Oncoprotein-induced transcript 3 protein; Flags_ Precursor
OG0000016	Coturnix_japonica_XP_015707761.1 matrix metalloproteinase-27-like [Coturnix japonica]	XP_059730713.1 matrix metalloproteinase-27 isoform X1 [Bos taurus]
OG0000016	Coturnix_japonica_XP_015707755.1 collagenase 3-like [Coturnix japonica]	sp|O77656.1|MMP13_BOVIN RecName_ Full=Collagenase 3; AltName_ Full=Matrix metalloproteinase-13; Short=MMP-13; Flags_ Precursor
OG0000016	Coturnix_japonica_XP_015733516.1 stromelysin-3 [Coturnix japonica]	XP_024833618.1 stromelysin-3 [Bos taurus]
OG0000016	Coturnix_japonica_XP_015736822.1 PREDICTED_ matrix metalloproteinase-24 [Coturnix japonica]	XP_024856667.1 matrix metalloproteinase-24 [Bos taurus]
OG0000016	Coturnix_japonica_XP_015711460.1 matrix metalloproteinase-16 [Coturnix japonica], Coturnix_japonica_XP_015711460.1 matrix metalloproteinase-16 [Coturnix japonica]	NP_001179551.1 matrix metalloproteinase-16 [Bos taurus]
OG0000016	Coturnix_japonica_XP_015729170.1 matrix metalloproteinase-15 [Coturnix japonica]	NP_001178363.1 matrix metalloproteinase-15 precursor [Bos taurus]
OG0000016	Coturnix_japonica_XP_015736298.1 matrix metalloproteinase-28 [Coturnix japonica]	XP_024847653.1 matrix metalloproteinase-19 isoform X2 [Bos taurus], XP_024836411.1 matrix metalloproteinase-28 isoform X1 [Bos taurus]
OG0000017	Coturnix_japonica_XP_015727492.1 neuroserpin [Coturnix japonica]	NP_001179167.1 neuroserpin precursor [Bos taurus]
OG0000017	Coturnix_japonica_XP_015707344.1 serpin E3 [Coturnix japonica]	XP_059748012.1 serpin E3 isoform X1 [Bos taurus]
OG0000017	Coturnix_japonica_XP_015725185.1 antithrombin-III [Coturnix japonica]	sp|P41361.2|ANT3_BOVIN RecName_ Full=Antithrombin-III; Short=ATIII; AltName_ Full=Serpin C1; Flags_ Precursor
OG0000017	Coturnix_japonica_XP_015709971.1 leukocyte elastase inhibitor-like [Coturnix japonica]	XP_024839237.1 leukocyte elastase inhibitor isoform X1 [Bos taurus]
OG0000017	Coturnix_japonica_XP_015709969.1 serpin B6-like [Coturnix japonica]	XP_059736204.1 serpin B6 isoform X1 [Bos taurus], NP_001069327.1 serpin B9 [Bos taurus], XP_015315532.1 serpin B8 isoform X1 [Bos taurus]
OG0000017	Coturnix_japonica_XP_015710071.1 serpin B5 [Coturnix japonica]	XP_024840088.1 serpin B5 isoform X1 [Bos taurus]
OG0000017	Coturnix_japonica_XP_015709958.1 PREDICTED_ heterochromatin-associated protein MENT isoform X1 [Coturnix japonica]	sp|A5PJK0.1|SPB10_BOVIN RecName_ Full=Serpin B10
OG0000017	Coturnix_japonica_XP_015709963.1 serpin B10-like [Coturnix japonica]	NP_001178980.1 plasminogen activator inhibitor 2 [Bos taurus]
OG0000017	Coturnix_japonica_XP_015710070.1 serpin B12-like [Coturnix japonica]	XP_024840297.1 serpin B12 [Bos taurus], NP_001095792.2 serpin B4 [Bos taurus], XP_059737104.1 LOW QUALITY PROTEIN_ serpin B11 [Bos taurus], XP_010799074.2 serpin B7 isoform X1 [Bos taurus]
OG0000017	Coturnix_japonica_XP_015720855.1 protein Z-dependent protease inhibitor isoform X2 [Coturnix japonica]	NP_001092467.1 protein Z-dependent protease inhibitor precursor [Bos taurus]
OG0000017	Coturnix_japonica_XP_015733029.1 heparin cofactor 2 [Coturnix japonica]	NP_001098516.1 heparin cofactor 2 precursor [Bos taurus]
OG0000017	Coturnix_japonica_XP_015719142.1 plasma protease C1 inhibitor [Coturnix japonica]	NP_777246.1 factor XIIa inhibitor precursor [Bos taurus]
OG0000017	Coturnix_japonica_XP_015736135.1 alpha-2-antiplasmin isoform X1 [Coturnix japonica]	sp|P28800.2|A2AP_BOVIN RecName_ Full=Alpha-2-antiplasmin; Short=Alpha-2-AP; AltName_ Full=Alpha-2-plasmin inhibitor; Short=Alpha-2-PI; AltName_ Full=Serpin F2; Flags_ Precursor
OG0000018	Coturnix_japonica_XP_015722587.1 PREDICTED_ LOW QUALITY PROTEIN_ lysyl oxidase homolog 4-like [Coturnix japonica]	sp|Q8MJ24.1|LOXL4_BOVIN RecName_ Full=Lysyl oxidase homolog 4; AltName_ Full=Lysyl oxidase-like protein 4; Flags_ Precursor
OG0000018	Coturnix_japonica_XP_015705736.1 lysyl oxidase homolog 3 [Coturnix japonica]	XP_059747438.1 lysyl oxidase homolog 3 isoform X1 [Bos taurus]
OG0000018	Coturnix_japonica_XP_015738393.1 lysyl oxidase homolog 2 [Coturnix japonica]	sp|A6H737.1|LOXL2_BOVIN RecName_ Full=Lysyl oxidase homolog 2; AltName_ Full=Lysyl oxidase-like protein 2; Flags_ Precursor
OG0000018	Coturnix_japonica_XP_015722969.1 PREDICTED_ deleted in malignant brain tumors 1 protein [Coturnix japonica]	XP_059738076.1 deleted in malignant brain tumors 1 protein [Bos taurus]
OG0000018	Coturnix_japonica_XP_015728258.1 lysyl oxidase homolog 1 [Coturnix japonica]	DAA17499.1 TPA_ lysyl oxidase homolog 1 precursor [Bos taurus]
OG0000019	Coturnix_japonica_XP_015742291.1 PREDICTED_ growth/differentiation factor 15 [Coturnix japonica]	NP_001193227.1 growth/differentiation factor 15 precursor [Bos taurus]
OG0000019	Coturnix_japonica_XP_015742513.1 growth/differentiation factor 11 [Coturnix japonica]	XP_002687467.2 growth/differentiation factor 11 [Bos taurus]
OG0000019	Coturnix_japonica_XP_015742408.1 PREDICTED_ inhibin beta E chain-like [Coturnix japonica]	NP_001192912.1 inhibin beta C chain precursor [Bos taurus], NP_001192771.1 inhibin beta E chain precursor [Bos taurus]
OG0000019	Coturnix_japonica_XP_015738689.1 bone morphogenetic protein 8B-like [Coturnix japonica]	XP_024845991.1 bone morphogenetic protein 8B [Bos taurus], NP_001193798.2 bone morphogenetic protein 8A precursor [Bos taurus]
OG0000019	Coturnix_japonica_XP_015714712.1 bone morphogenetic protein 5 isoform X1 [Coturnix japonica]	NP_001291945.1 bone morphogenetic protein 5 precursor [Bos taurus]
OG0000019	Coturnix_japonica_XP_015737280.1 bone morphogenetic protein 7 [Coturnix japonica]	NP_001192944.1 bone morphogenetic protein 7 precursor [Bos taurus]
OG0000019	Coturnix_japonica_XP_015705631.1 PREDICTED_ growth/differentiation factor 6_ partial [Coturnix japonica]	sp|P55106.2|GDF6_BOVIN RecName_ Full=Growth/differentiation factor 6; Short=GDF-6; AltName_ Full=Bone morphogenetic protein 13; Short=BMP-13; AltName_ Full=Cartilage-derived morphogenetic protein 2; Short=CDMP-2; Flags_ Precursor
OG0000019	Coturnix_japonica_XP_015736826.1 growth/differentiation factor 5 [Coturnix japonica]	NP_001179202.1 growth/differentiation factor 5 precursor [Bos taurus]
OG0000019	Coturnix_japonica_XP_015714970.1 growth/differentiation factor 7 [Coturnix japonica]	NP_001193030.1 growth/differentiation factor 7 precursor [Bos taurus]
OG0000019	Coturnix_japonica_XP_015717295.1 bone morphogenetic protein 3 [Coturnix japonica]	sp|P22444.2|BMP3_BOVIN RecName_ Full=Bone morphogenetic protein 3; Short=BMP-3; AltName_ Full=Osteogenin; Flags_ Precursor
OG0000019	Coturnix_japonica_XP_015722337.1 growth/differentiation factor 10 [Coturnix japonica]	sp|Q08DX6.1|GDF10_BOVIN RecName_ Full=Growth/differentiation factor 10; Short=GDF-10; AltName_ Full=Bone morphogenetic protein 3B; Short=BMP-3B; Flags_ Precursor
OG0000019	Coturnix_japonica_XP_015741601.1 embryonic growth/differentiation factor 1 [Coturnix japonica]	XP_010804844.1 embryonic growth/differentiation factor 1 [Bos taurus], XP_002687893.2 growth/differentiation factor 3 [Bos taurus]
OG0000019	Coturnix_japonica_XP_015738516.1 bone morphogenetic protein 10 [Coturnix japonica]	NP_001179047.1 bone morphogenetic protein 10 precursor [Bos taurus]
OG0000019	Coturnix_japonica_XP_015722339.1 growth/differentiation factor 2 [Coturnix japonica]	NP_001179349.1 growth/differentiation factor 2 precursor [Bos taurus]
OG0000020	Coturnix_japonica_XP_015734782.1 collagen alpha-1_V_ chain isoform X1 [Coturnix japonica]	XP_024855495.1 collagen alpha-1_V_ chain isoform X2 [Bos taurus]
OG0000020	Coturnix_japonica_XP_015725391.1 collagen alpha-1_XI_ chain isoform X1 [Coturnix japonica]	NP_001159981.2 collagen alpha-1_XI_ chain [Bos taurus]
OG0000020	Coturnix_japonica_XP_015705870.1 collagen alpha-1_II_ chain isoform X1 [Coturnix japonica]	sp|P02459.4|CO2A1_BOVIN RecName_ Full=Collagen alpha-1_II_ chain; AltName_ Full=Alpha-1 type II collagen; Flags_ Precursor
OG0000020	Coturnix_japonica_XP_015741354.1 LOW QUALITY PROTEIN_ collagen alpha-1_I_ chain [Coturnix japonica]	sp|P02453.3|CO1A1_BOVIN RecName_ Full=Collagen alpha-1_I_ chain; AltName_ Full=Alpha-1 type I collagen; Flags_ Precursor, sp|P02453.3|CO1A1_BOVIN RecName_ Full=Collagen alpha-1_I_ chain; AltName_ Full=Alpha-1 type I collagen; Flags_ Precursor
OG0000020	Coturnix_japonica_XP_015709029.1 collagen alpha-2_I_ chain [Coturnix japonica]	sp|P02465.2|CO1A2_BOVIN RecName_ Full=Collagen alpha-2_I_ chain; AltName_ Full=Alpha-2 type I collagen; Flags_ Precursor
OG0000020	Coturnix_japonica_XP_015723325.1 collagen alpha-1_III_ chain [Coturnix japonica]	NP_001070299.1 collagen alpha-1_III_ chain precursor [Bos taurus]
OG0000020	Coturnix_japonica_XP_015723324.1 collagen alpha-2_V_ chain [Coturnix japonica]	XP_059736296.1 collagen alpha-2_V_ chain [Bos taurus]
OG0000020	Coturnix_japonica_XP_015725659.1 collagen alpha-1_XXIV_ chain isoform X1 [Coturnix japonica]	XP_024845867.1 collagen alpha-1_XXIV_ chain [Bos taurus], NP_001193609.1 collagen alpha-1_XXVII_ chain [Bos taurus]
OG0000021	Coturnix_japonica_XP_015721444.1 nidogen-2 isoform X2 [Coturnix japonica]	NP_001095535.1 nidogen-2 precursor [Bos taurus]
OG0000021	Coturnix_japonica_XP_015713380.1 nidogen-1 isoform X1 [Coturnix japonica]	NP_001094625.1 nidogen-1 precursor [Bos taurus]
OG0000022	Coturnix_japonica_XP_015717391.1 annexin A5 isoform X1 [Coturnix japonica]	sp|P81287.3|ANXA5_BOVIN RecName_ Full=Annexin A5; AltName_ Full=Anchorin CII; AltName_ Full=Annexin V; AltName_ Full=Annexin-5; AltName_ Full=Calphobindin I; Short=CPB-I; AltName_ Full=Endonexin II; AltName_ Full=Lipocortin V; AltName_ Full=Placental anticoagulant protein 4; AltName_ Full=Placental anticoagulant protein I; Short=PAP-I; AltName_ Full=Thromboplastin inhibitor; AltName_ Full=Vascular anticoagulant-alpha; Short=VAC-alpha
OG0000022	Coturnix_japonica_XP_015731367.1 annexin A6 isoform X2 [Coturnix japonica]	sp|P79134.2|ANXA6_BOVIN RecName_ Full=Annexin A6; AltName_ Full=Annexin VI; AltName_ Full=Annexin-6
OG0000022	Coturnix_japonica_XP_015722277.1 annexin A8 isoform X2 [Coturnix japonica]	NP_776666.1 annexin A8 [Bos taurus], sp|Q95L54.1|ANXA8_BOVIN RecName_ Full=Annexin A8; AltName_ Full=Annexin VIII; AltName_ Full=Annexin-8
OG0000022	Coturnix_japonica_XP_015728000.1 annexin A2 [Coturnix japonica]	pdb|4X9P|A Chain A_ Annexin A2, sp|P04272.2|ANXA2_BOVIN RecName_ Full=Annexin A2; AltName_ Full=Annexin II; AltName_ Full=Annexin-2; AltName_ Full=Calpactin I heavy chain; AltName_ Full=Calpactin-1 heavy chain; AltName_ Full=Chromobindin-8; AltName_ Full=Lipocortin II; AltName_ Full=Placental anticoagulant protein IV; Short=PAP-IV; AltName_ Full=Protein I; AltName_ Full=p36
OG0000022	Coturnix_japonica_XP_015704635.1 annexin A1 [Coturnix japonica]	sp|P46193.2|ANXA1_BOVIN RecName_ Full=Annexin A1; AltName_ Full=Annexin I; AltName_ Full=Annexin-1; AltName_ Full=Calpactin II; AltName_ Full=Calpactin-2; AltName_ Full=Chromobindin-9; AltName_ Full=Lipocortin I; AltName_ Full=Phospholipase A2 inhibitory protein; AltName_ Full=p35; Contains_ RecName_ Full=Annexin Ac2-26
OG0000022	Coturnix_japonica_XP_015738497.1 PREDICTED_ LOW QUALITY PROTEIN_ annexin A4 [Coturnix japonica]	sp|P13214.2|ANXA4_BOVIN RecName_ Full=Annexin A4; AltName_ Full=35-beta calcimedin; AltName_ Full=Annexin IV; AltName_ Full=Annexin-4; AltName_ Full=Carbohydrate-binding protein p33/p41; AltName_ Full=Chromobindin-4; AltName_ Full=Endonexin I; AltName_ Full=Lipocortin IV; AltName_ Full=P32.5; AltName_ Full=PP4-X; AltName_ Full=Placental anticoagulant protein II; Short=PAP-II; AltName_ Full=Protein II, sp|P13214.2|ANXA4_BOVIN RecName_ Full=Annexin A4; AltName_ Full=35-beta calcimedin; AltName_ Full=Annexin IV; AltName_ Full=Annexin-4; AltName_ Full=Carbohydrate-binding protein p33/p41; AltName_ Full=Chromobindin-4; AltName_ Full=Endonexin I; AltName_ Full=Lipocortin IV; AltName_ Full=P32.5; AltName_ Full=PP4-X; AltName_ Full=Placental anticoagulant protein II; Short=PAP-II; AltName_ Full=Protein II
OG0000022	Coturnix_japonica_XP_015721609.1 annexin A11 [Coturnix japonica]	NP_776927.1 annexin A11 [Bos taurus]
OG0000022	Coturnix_japonica_XP_015716358.1 PREDICTED_ annexin A10 [Coturnix japonica]	NP_001178987.1 annexin A10 [Bos taurus]
OG0000022	Coturnix_japonica_XP_015722004.1 annexin A7 isoform X2 [Coturnix japonica]	XP_005226473.2 annexin A7 isoform X1 [Bos taurus]
OG0000022	Coturnix_japonica_XP_015711775.1 annexin A13 [Coturnix japonica]	AAI33571.1 ANXA13 protein [Bos taurus]
OG0000023	Coturnix_japonica_XP_015721656.1 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Coturnix japonica]	XP_005225761.2 disintegrin and metalloproteinase domain-containing protein 8 isoform X1 [Bos taurus]
OG0000023	Coturnix_japonica_XP_015738502.1 disintegrin and metalloproteinase domain-containing protein 28 isoform X2 [Coturnix japonica]	XP_024852023.1 disintegrin and metalloproteinase domain-containing protein 7 isoform X1 [Bos taurus], DAA26695.1 TPA_ Disintegrin and metalloproteinase domain-containing protein 28-like [Bos taurus], XP_010806362.2 ADAM DEC1 isoform X1 [Bos taurus]
OG0000023	Coturnix_japonica_XP_015733264.1 disintegrin and metalloproteinase domain-containing protein 9-like [Coturnix japonica]	NP_001039715.1 disintegrin and metalloproteinase domain-containing protein 32 precursor [Bos taurus], DAA14469.1 TPA_ ADAM metallopeptidase domain 18 [Bos taurus], XP_024841956.1 disintegrin and metalloproteinase domain-containing protein 2 isoform X1 [Bos taurus], NP_001193401.1 a disintegrin and metallopeptidase domain 1a [Bos taurus], XP_024845019.1 disintegrin and metalloproteinase domain-containing protein 1b [Bos taurus], DAA27082.1 TPA_ ADAM metallopeptidase domain 21 [Bos taurus], XP_024851812.1 disintegrin and metalloproteinase domain-containing protein 29 isoform X1 [Bos taurus], XP_015328761.2 disintegrin and metalloproteinase domain-containing protein 20 [Bos taurus], DAA31603.1 TPA_ ADAM metallopeptidase domain 30-like [Bos taurus]
OG0000023	Coturnix_japonica_XP_015738633.1 disintegrin and metalloproteinase domain-containing protein 9 [Coturnix japonica]	NP_001179747.2 disintegrin and metalloproteinase domain-containing protein 9 precursor [Bos taurus]
OG0000023	Coturnix_japonica_XP_015723079.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 12 isoform X2 [Coturnix japonica]	NP_001001156.1 disintegrin and metalloproteinase domain-containing protein 12 precursor [Bos taurus]
OG0000023	Coturnix_japonica_XP_015718482.1 disintegrin and metalloproteinase domain-containing protein 33 isoform X2 [Coturnix japonica]	DAA23365.1 TPA_ ADAM metallopeptidase domain 33 [Bos taurus]
OG0000023	Coturnix_japonica_XP_015723724.1 disintegrin and metalloproteinase domain-containing protein 23 [Coturnix japonica]	NP_001076927.1 disintegrin and metalloproteinase domain-containing protein 23 [Bos taurus]
OG0000023	Coturnix_japonica_XP_015708948.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Coturnix japonica]	XP_059741591.1 disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Bos taurus]
OG0000023	Coturnix_japonica_XP_015740988.1 PREDICTED_ disintegrin and metalloproteinase domain-containing protein 11 isoform X2 [Coturnix japonica]	DAA18315.1 TPA_ ADAM metallopeptidase domain 11 preproprotein-like [Bos taurus]
OG0000024	Coturnix_japonica_XP_015731364.1 testican-1 isoform X1 [Coturnix japonica]	XP_024849863.1 testican-1 isoform X1 [Bos taurus]
OG0000024	Coturnix_japonica_XP_015721924.1 testican-2 [Coturnix japonica]	NP_001094585.1 testican-2 precursor [Bos taurus]
OG0000028	Coturnix_japonica_XP_015706908.1 collagen alpha-1_IV_ chain [Coturnix japonica]	sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor, sp|Q7SIB2.2|CO4A1_BOVIN RecName_ Full=Collagen alpha-1_IV_ chain; Contains_ RecName_ Full=Arresten; Flags_ Precursor
OG0000028	Coturnix_japonica_XP_015715960.1 collagen alpha-5_IV_ chain isoform X1 [Coturnix japonica]	DAA13054.1 TPA_ type IV collagen alpha 5-like isoform 1 [Bos taurus]
OG0000028	Coturnix_japonica_XP_015726877.1 collagen alpha-3_IV_ chain [Coturnix japonica]	NP_001160001.2 collagen alpha-3_IV_ chain precursor [Bos taurus]
OG0000028	Coturnix_japonica_XP_015706905.1 collagen alpha-2_IV_ chain [Coturnix japonica]	XP_024855939.1 collagen alpha-2_IV_ chain isoform X1 [Bos taurus]
OG0000028	Coturnix_japonica_XP_015715965.1 collagen alpha-6_IV_ chain isoform X1 [Coturnix japonica]	XP_005227954.1 collagen alpha-6_IV_ chain isoform X1 [Bos taurus]
OG0000028	Coturnix_japonica_XP_015726876.1 collagen alpha-4_IV_ chain [Coturnix japonica]	XP_024837496.1 collagen alpha-4_IV_ chain isoform X1 [Bos taurus]
OG0000030	Coturnix_japonica_XP_015714888.1 disintegrin and metalloproteinase domain-containing protein 17 [Coturnix japonica]	XP_002691532.1 disintegrin and metalloproteinase domain-containing protein 17 isoform X1 [Bos taurus]
OG0000030	Coturnix_japonica_XP_015727888.1 disintegrin and metalloproteinase domain-containing protein 10 isoform X1 [Coturnix japonica]	sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor, sp|Q10741.1|ADA10_BOVIN RecName_ Full=Disintegrin and metalloproteinase domain-containing protein 10; Short=ADAM 10; AltName_ Full=Kuzbanian protein homolog; AltName_ Full=Mammalian disintegrin-metalloprotease; AltName_ Full=Myelin-associated metalloproteinase; AltName_ CD_antigen=CD156c; Flags_ Precursor
OG0000031	Coturnix_japonica_XP_015709056.1 PREDICTED_ von Willebrand factor D and EGF domain-containing protein [Coturnix japonica]	XP_059742008.1 LOW QUALITY PROTEIN_ von Willebrand factor D and EGF domain-containing protein [Bos taurus]
OG0000033	Coturnix_japonica_XP_015711635.2 collagen triple helix repeat-containing protein 1 [Coturnix japonica]	NP_001075005.1 collagen triple helix repeat-containing protein 1 precursor [Bos taurus]
OG0000034	Coturnix_japonica_XP_015728800.1 multiple epidermal growth factor-like domains protein 11 isoform X1 [Coturnix japonica]	XP_024853677.1 multiple epidermal growth factor-like domains protein 11 isoform X1 [Bos taurus]
OG0000034	Coturnix_japonica_XP_015705198.1 multiple epidermal growth factor-like domains protein 10 [Coturnix japonica]	XP_005209151.1 multiple epidermal growth factor-like domains protein 10 isoform X1 [Bos taurus]
OG0000035	Coturnix_japonica_XP_015728570.1 lactadherin isoform X1 [Coturnix japonica]	DAA17644.1 TPA_ lactadherin [Bos taurus]
OG0000036	Coturnix_japonica_XP_015734828.1 epidermal growth factor-like protein 7 isoform X2 [Coturnix japonica]	NP_001092657.1 epidermal growth factor-like protein 8 precursor [Bos taurus], XP_059747443.1 epidermal growth factor-like protein 7 isoform X1 [Bos taurus]
OG0000036	Coturnix_japonica_XP_015703683.1 PREDICTED_ epidermal growth factor-like protein 6 isoform X2 [Coturnix japonica]	XP_059739882.1 LOW QUALITY PROTEIN_ epidermal growth factor-like protein 6 [Bos taurus]
OG0000036	Coturnix_japonica_XP_015716910.1 LOW QUALITY PROTEIN_ nephronectin [Coturnix japonica]	XP_024849279.1 nephronectin isoform X1 [Bos taurus]
OG0000037	Coturnix_japonica_XP_015707407.1 periostin isoform X8 [Coturnix japonica]	AAS02052.2 periostin [Bos taurus]
OG0000037	Coturnix_japonica_XP_015731386.1 transforming growth factor-beta-induced protein ig-h3 [Coturnix japonica]	sp|P55906.2|BGH3_BOVIN RecName_ Full=Transforming growth factor-beta-induced protein ig-h3; Short=Beta ig-h3; AltName_ Full=MP70; AltName_ Full=MP78; Flags_ Precursor
OG0000038	Coturnix_japonica_XP_015715653.1 PREDICTED_ ectodysplasin-A isoform X1 [Coturnix japonica]	sp|Q9BEG5.2|EDA_BOVIN RecName_ Full=Ectodysplasin-A; AltName_ Full=Ectodermal dysplasia protein; AltName_ Full=Ectodysplasin-1; Contains_ RecName_ Full=Ectodysplasin-A_ membrane form; Contains_ RecName_ Full=Ectodysplasin-A_ secreted form
OG0000038	Coturnix_japonica_XP_015706939.1 tumor necrosis factor ligand superfamily member 13B isoform X1 [Coturnix japonica]	NP_001107978.1 tumor necrosis factor ligand superfamily member 13B [Bos taurus]
OG0000038	Coturnix_japonica_XP_015734323.1 tumor necrosis factor ligand superfamily member 15 [Coturnix japonica]	NP_001192711.1 tumor necrosis factor ligand superfamily member 15 [Bos taurus]
OG0000038	Coturnix_japonica_XP_015725223.1 PREDICTED_ tumor necrosis factor ligand superfamily member 6 isoform X1 [Coturnix japonica]	XP_002697417.1 lymphotoxin-beta isoform X1 [Bos taurus]
OG0000038	Coturnix_japonica_XP_015707222.1 tumor necrosis factor ligand superfamily member 11 isoform X1 [Coturnix japonica]	NP_001192699.1 tumor necrosis factor ligand superfamily member 11 [Bos taurus]
OG0000038	Coturnix_japonica_XP_015727439.1 tumor necrosis factor ligand superfamily member 10 isoform X1 [Coturnix japonica]	NP_001306830.1 tumor necrosis factor ligand superfamily member 10 [Bos taurus]
