Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Hydrozoa_Clytia_hemispherica
OG0000178	Coturnix_japonica_XP_015726790.1 PREDICTED_ kyphoscoliosis peptidase isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00050084-protein TCONS_00050084-protein
OG0000182	Coturnix_japonica_XP_015732559.1 von Willebrand factor A domain-containing protein 3A [Coturnix japonica]	Clytia_hemispherica_TCONS_00059231-protein TCONS_00059231-protein, Clytia_hemispherica_TCONS_00046759-protein TCONS_00046759-protein
OG0000200	Coturnix_japonica_XP_015706466.1 PREDICTED_ von Willebrand factor A domain-containing protein 3B isoform X4 [Coturnix japonica]	Clytia_hemispherica_TCONS_00023146-protein TCONS_00023146-protein
OG0000215	Coturnix_japonica_XP_015713227.1 vascular endothelial growth factor A isoform X11 [Coturnix japonica], Coturnix_japonica_XP_015720581.1 PREDICTED_ placenta growth factor isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015742109.1 PREDICTED_ vascular endothelial growth factor D isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015717296.1 PREDICTED_ LOW QUALITY PROTEIN_ vascular endothelial growth factor C [Coturnix japonica]	Clytia_hemispherica_TCONS_00055555-protein TCONS_00055555-protein
OG0000236	Coturnix_japonica_XP_015732360.1 platelet-derived growth factor subunit A isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715772.1 platelet-derived growth factor subunit B [Coturnix japonica]	Clytia_hemispherica_TCONS_00057922-protein TCONS_00057922-protein, Clytia_hemispherica_TCONS_00055444-protein TCONS_00055444-protein, Clytia_hemispherica_TCONS_00009404-protein TCONS_00009404-protein
OG0000247	Coturnix_japonica_XP_015713449.1 epiphycan [Coturnix japonica], Coturnix_japonica_XP_015740848.1 opticin isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730161.1 PREDICTED_ mimecan [Coturnix japonica]	Clytia_hemispherica_TCONS_00047950-protein TCONS_00047950-protein
OG0000298	Coturnix_japonica_XP_015732676.1 PREDICTED_ insulin-like growth factor-binding protein complex acid labile subunit [Coturnix japonica]	Clytia_hemispherica_TCONS_00057296-protein TCONS_00057296-protein
OG0000392	Coturnix_japonica_XP_015716328.1 PREDICTED_ chondroadherin-like protein [Coturnix japonica]	Clytia_hemispherica_TCONS_00062021-protein TCONS_00062021-protein
OG0000463	Coturnix_japonica_XP_015711086.1 wnt inhibitory factor 1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00022780-protein TCONS_00022780-protein
OG0000666	Coturnix_japonica_XP_015724874.1 fibronectin type III domain-containing protein 7 isoform X1 [Coturnix japonica]	Clytia_hemispherica_TCONS_00002265-protein TCONS_00002265-protein
