Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Cnidaria_Anthozoa_Acropora_digitifera
OG0000038	Coturnix_japonica_XP_015734323.1 tumor necrosis factor ligand superfamily member 15 [Coturnix japonica], Coturnix_japonica_XP_015725223.1 PREDICTED_ tumor necrosis factor ligand superfamily member 6 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015707222.1 tumor necrosis factor ligand superfamily member 11 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015727439.1 tumor necrosis factor ligand superfamily member 10 isoform X1 [Coturnix japonica]	Acropora_digitifera_adi_v1.19173 adi_v1.19173, Acropora_digitifera_adi_v1.19174 adi_v1.19174, Acropora_digitifera_adi_v1.19172 adi_v1.19172
OG0000040	Coturnix_japonica_XP_015704232.1 endothelial cell-specific molecule 1 [Coturnix japonica], Coturnix_japonica_XP_015722767.1 kazal-type serine protease inhibitor domain-containing protein 1 [Coturnix japonica], Coturnix_japonica_XP_015717063.1 insulin-like growth factor-binding protein 7 isoform X2 [Coturnix japonica]	Acropora_digitifera_adi_v1.09775 adi_v1.09775
OG0000041	Coturnix_japonica_XP_015740894.1 PREDICTED_ LOW QUALITY PROTEIN_ von Willebrand factor A domain-containing protein 5A [Coturnix japonica]	Acropora_digitifera_adi_v1.03072 adi_v1.03072
OG0000041	Coturnix_japonica_XP_015727259.1 von Willebrand factor A domain-containing protein 5B2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737811.1 von Willebrand factor A domain-containing protein 5B1 [Coturnix japonica]	Acropora_digitifera_adi_v1.21179 adi_v1.21179
OG0000044	Coturnix_japonica_XP_015737318.1 protein-glutamine gamma-glutamyltransferase 2 [Coturnix japonica], Coturnix_japonica_XP_015736940.1 PREDICTED_ protein-glutamine gamma-glutamyltransferase E-like_ partial [Coturnix japonica], Coturnix_japonica_XP_015736972.1 protein-glutamine gamma-glutamyltransferase 6-like [Coturnix japonica], Coturnix_japonica_XP_015709680.1 protein-glutamine gamma-glutamyltransferase 4 [Coturnix japonica], Coturnix_japonica_XP_015710131.1 coagulation factor XIII A chain [Coturnix japonica]	Acropora_digitifera_adi_v1.17869 adi_v1.17869, Acropora_digitifera_adi_v1.01279 adi_v1.01279, Acropora_digitifera_adi_v1.01276 adi_v1.01276, Acropora_digitifera_adi_v1.01277 adi_v1.01277
OG0000045	Coturnix_japonica_XP_015710913.1 PREDICTED_ laminin subunit alpha-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015736975.1 laminin subunit alpha-5 isoform X3 [Coturnix japonica]	Acropora_digitifera_adi_v1.10227 adi_v1.10227, Acropora_digitifera_adi_v1.09586 adi_v1.09586, Acropora_digitifera_adi_v1.17109 adi_v1.17109
OG0000045	Coturnix_japonica_XP_015714210.1 laminin subunit alpha-4 [Coturnix japonica]	Acropora_digitifera_adi_v1.23198 adi_v1.23198
OG0000049	Coturnix_japonica_XP_015730469.1 plexin-A1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015740621.1 PREDICTED_ plexin-A2 [Coturnix japonica], Coturnix_japonica_XP_015716725.1 plexin-A4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015730724.1 plexin-B1 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015708110.1 plexin-B2 [Coturnix japonica], Coturnix_japonica_XP_015730333.1 plexin-D1 [Coturnix japonica]	Acropora_digitifera_adi_v1.00526 adi_v1.00526
OG0000054	Coturnix_japonica_XP_015728474.1 PREDICTED_ pro-interleukin-16 isoform X2 [Coturnix japonica]	Acropora_digitifera_adi_v1.13439 adi_v1.13439
OG0000059	Coturnix_japonica_XP_015740640.1 signal peptide_ CUB and EGF-like domain-containing protein 3 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015725419.1 signal peptide_ CUB and EGF-like domain-containing protein 1 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015719548.1 PREDICTED_ signal peptide_ CUB and EGF-like domain-containing protein 2 isoform X1 [Coturnix japonica]	Acropora_digitifera_adi_v1.03807 adi_v1.03807, Acropora_digitifera_adi_v1.22370 adi_v1.22370
OG0000063	Coturnix_japonica_XP_015708514.1 sonic hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015724713.1 indian hedgehog protein [Coturnix japonica], Coturnix_japonica_XP_015742402.1 desert hedgehog protein [Coturnix japonica]	Acropora_digitifera_adi_v1.13405 adi_v1.13405, Acropora_digitifera_adi_v1.14406 adi_v1.14406
OG0000064	Coturnix_japonica_XP_015742103.1 PREDICTED_ fibrillin-3 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015705146.1 fibrillin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728443.1 fibrillin-1 isoform X1 [Coturnix japonica]	Acropora_digitifera_adi_v1.06463 adi_v1.06463, Acropora_digitifera_adi_v1.10842 adi_v1.10842
OG0000065	Coturnix_japonica_XP_015707026.1 glypican-5 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015715912.1 glypican-3 isoform X1 [Coturnix japonica]	Acropora_digitifera_adi_v1.01898 adi_v1.01898, Acropora_digitifera_adi_v1.06117 adi_v1.06117, Acropora_digitifera_adi_v1.06118 adi_v1.06118
OG0000070	Coturnix_japonica_XP_015714841.1 peroxidasin homolog [Coturnix japonica], Coturnix_japonica_XP_015737187.1 peroxidasin homolog [Coturnix japonica]	Acropora_digitifera_adi_v1.05628 adi_v1.05628
OG0000080	Coturnix_japonica_XP_015719193.1 metalloproteinase inhibitor 3 [Coturnix japonica], Coturnix_japonica_XP_015735526.1 metalloproteinase inhibitor 2 [Coturnix japonica], Coturnix_japonica_XP_015730262.1 metalloproteinase inhibitor 4 isoform X3 [Coturnix japonica]	Acropora_digitifera_adi_v1.23049 adi_v1.23049, Acropora_digitifera_adi_v1.20179 adi_v1.20179, Acropora_digitifera_adi_v1.03235 adi_v1.03235
OG0000081	Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica], Coturnix_japonica_XP_015730872.1 PREDICTED_ LOW QUALITY PROTEIN_ cysteine-rich with EGF-like domain protein 1 [Coturnix japonica]	Acropora_digitifera_adi_v1.11224 adi_v1.11224, Acropora_digitifera_adi_v1.14148 adi_v1.14148
OG0000083	Coturnix_japonica_XP_015730132.1 hyaluronidase-3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015729975.1 hyaluronidase-1 [Coturnix japonica], Coturnix_japonica_XP_015708262.1 hyaluronidase PH-20 [Coturnix japonica], Coturnix_japonica_XP_015729965.1 PREDICTED_ hyaluronidase-2 [Coturnix japonica]	Acropora_digitifera_adi_v1.06821 adi_v1.06821, Acropora_digitifera_adi_v1.08924 adi_v1.08924
OG0000088	Coturnix_japonica_XP_015718401.1 spondin-2 [Coturnix japonica], Coturnix_japonica_XP_015719003.1 PREDICTED_ spondin-1 [Coturnix japonica]	Acropora_digitifera_adi_v1.01059 adi_v1.01059
OG0000089	Coturnix_japonica_XP_015727358.1 chordin [Coturnix japonica]	Acropora_digitifera_adi_v1.13331 adi_v1.13331, Acropora_digitifera_adi_v1.09609 adi_v1.09609
OG0000089	Coturnix_japonica_XP_015716178.1 chordin-like protein 1 [Coturnix japonica], Coturnix_japonica_XP_015708156.1 PREDICTED_ chordin-like protein 2 isoform X1 [Coturnix japonica]	Acropora_digitifera_adi_v1.01316 adi_v1.01316
OG0000093	Coturnix_japonica_XP_015729012.1 leukocyte cysteine proteinase inhibitor 1-like [Coturnix japonica], Coturnix_japonica_XP_015729006.1 cystatin-B-like [Coturnix japonica]	Acropora_digitifera_adi_v1.22486 adi_v1.22486, Acropora_digitifera_adi_v1.07717 adi_v1.07717, Acropora_digitifera_adi_v1.18858 adi_v1.18858
OG0000095	Coturnix_japonica_XP_015713495.1 PREDICTED_ SPARC-related modular calcium-binding protein 2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015720199.1 SPARC-related modular calcium-binding protein 1 isoform X5 [Coturnix japonica]	Acropora_digitifera_adi_v1.07740 adi_v1.07740
OG0000102	Coturnix_japonica_XP_015720830.1 fibulin-5 [Coturnix japonica], Coturnix_japonica_XP_015712283.1 EGF-containing fibulin-like extracellular matrix protein 1 isoform X1 [Coturnix japonica]	Acropora_digitifera_adi_v1.12081 adi_v1.12081
OG0000112	Coturnix_japonica_XP_015722579.1 PREDICTED_ inactive heparanase-2 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015717103.1 PREDICTED_ heparanase isoform X3 [Coturnix japonica]	Acropora_digitifera_adi_v1.23845 adi_v1.23845, Acropora_digitifera_adi_v1.09025 adi_v1.09025
OG0000114	Coturnix_japonica_XP_015719754.1 host cell factor 2 isoform X2 [Coturnix japonica]	Acropora_digitifera_adi_v1.04340 adi_v1.04340
OG0000120	Coturnix_japonica_XP_015736984.1 syndecan-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015711411.1 syndecan-2 [Coturnix japonica], Coturnix_japonica_XP_015714984.1 syndecan-1 [Coturnix japonica], Coturnix_japonica_XP_015739164.1 syndecan-3 [Coturnix japonica]	Acropora_digitifera_adi_v1.22301 adi_v1.22301
OG0000122	Coturnix_japonica_XP_015729348.1 72 kDa type IV collagenase [Coturnix japonica], Coturnix_japonica_XP_015737409.1 matrix metalloproteinase-9 [Coturnix japonica]	Acropora_digitifera_adi_v1.02556 adi_v1.02556
OG0000125	Coturnix_japonica_XP_015721413.1 inter-alpha-trypsin inhibitor heavy chain H5 [Coturnix japonica], Coturnix_japonica_XP_015729920.1 PREDICTED_ inter-alpha-trypsin inhibitor heavy chain H3 isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015721732.1 inter-alpha-trypsin inhibitor heavy chain H2 [Coturnix japonica]	Acropora_digitifera_adi_v1.07066 adi_v1.07066
OG0000150	Coturnix_japonica_XP_015725032.1 pappalysin-2 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015734233.1 PREDICTED_ pappalysin-1 isoform X2 [Coturnix japonica]	Acropora_digitifera_adi_v1.12343 adi_v1.12343
OG0000154	Coturnix_japonica_XP_015728755.1 cartilage intermediate layer protein 1 [Coturnix japonica], Coturnix_japonica_XP_015741555.1 cartilage intermediate layer protein 2 [Coturnix japonica]	Acropora_digitifera_adi_v1.09531 adi_v1.09531
OG0000156	Coturnix_japonica_XP_015728918.1 microfibrillar-associated protein 1 [Coturnix japonica]	Acropora_digitifera_adi_v1.15791 adi_v1.15791
OG0000171	Coturnix_japonica_XP_015709459.1 PREDICTED_ peptide-N_4_-_N-acetyl-beta-glucosaminyl_asparagine amidase isoform X1 [Coturnix japonica]	Acropora_digitifera_adi_v1.04624 adi_v1.04624, Acropora_digitifera_adi_v1.01870 adi_v1.01870
OG0000200	Coturnix_japonica_XP_015706466.1 PREDICTED_ von Willebrand factor A domain-containing protein 3B isoform X4 [Coturnix japonica]	Acropora_digitifera_adi_v1.07516 adi_v1.07516
OG0000233	Coturnix_japonica_XP_015741560.1 mucin-16 [Coturnix japonica]	Acropora_digitifera_adi_v1.18952 adi_v1.18952, Acropora_digitifera_adi_v1.11116 adi_v1.11116
OG0000235	Coturnix_japonica_XP_015733986.1 EMI domain-containing protein 1 isoform X1 [Coturnix japonica]	Acropora_digitifera_adi_v1.14371 adi_v1.14371, Acropora_digitifera_adi_v1.18016 adi_v1.18016
OG0000269	Coturnix_japonica_XP_015728372.1 gliomedin isoform X2 [Coturnix japonica]	Acropora_digitifera_adi_v1.15033 adi_v1.15033
OG0000348	Coturnix_japonica_XP_015740364.1 nyctalopin [Coturnix japonica]	Acropora_digitifera_adi_v1.13243 adi_v1.13243
