Orthogroup	Chordata_Vertebrata_Coturnix_japonica	Chordata_Vertebrata_Danio_rerio
OG0000004	Coturnix_japonica_XP_015715058.1 matrilin-3 [Coturnix japonica]	Danio_rerio_tr_F1QH94_F1QH94_DANRE tr|F1QH94|F1QH94_DANRE Matrilin 3a OS=Danio rerio OX=7955 GN=ns_zf-e359 PE=1 SV=1, Danio_rerio_tr_Q68EK6_Q68EK6_DANRE tr|Q68EK6|Q68EK6_DANRE Matn3a protein OS=Danio rerio OX=7955 GN=ns_zf-e359 PE=1 SV=1, Danio_rerio_tr_B7ZD91_B7ZD91_DANRE tr|B7ZD91|B7ZD91_DANRE Matrilin 3b OS=Danio rerio OX=7955 GN=zgc_123028 PE=4 SV=1, Danio_rerio_tr_Q5NIW0_Q5NIW0_DANRE tr|Q5NIW0|Q5NIW0_DANRE Matrilin-3 precursor OS=Danio rerio OX=7955 GN=zgc_123028 PE=2 SV=1, Danio_rerio_tr_Q5NJJ7_Q5NJJ7_DANRE tr|Q5NJJ7|Q5NJJ7_DANRE Matrilin-3 isoform X3 OS=Danio rerio OX=7955 GN=zgc_123028 PE=2 SV=1, Danio_rerio_tr_Q5NJJ6_Q5NJJ6_DANRE tr|Q5NJJ6|Q5NJJ6_DANRE Matrilin-3 isoform X2 OS=Danio rerio OX=7955 GN=zgc_123028 PE=2 SV=1
OG0000004	Coturnix_japonica_XP_015738684.1 cartilage matrix protein [Coturnix japonica]	Danio_rerio_tr_A5WWJ4_A5WWJ4_DANRE tr|A5WWJ4|A5WWJ4_DANRE Cartilage matrix protein precursor OS=Danio rerio OX=7955 GN=matn1 PE=1 SV=1
OG0000004	Coturnix_japonica_XP_015737175.1 PREDICTED_ matrilin-4 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015737176.1 PREDICTED_ matrilin-4 isoform X2 [Coturnix japonica]	Danio_rerio_tr_Q6PYX2_Q6PYX2_DANRE tr|Q6PYX2|Q6PYX2_DANRE Matrilin 4 OS=Danio rerio OX=7955 GN=im_7137546 PE=1 SV=1, Danio_rerio_tr_Q5NJJ5_Q5NJJ5_DANRE tr|Q5NJJ5|Q5NJJ5_DANRE Matrilin-4 OS=Danio rerio OX=7955 GN=im_7137546 PE=1 SV=1
OG0000004	Coturnix_japonica_XP_015714716.1 collagen alpha-1_XXI_ chain [Coturnix japonica], Coturnix_japonica_XP_015711896.1 collagen alpha-1_XXII_ chain isoform X1 [Coturnix japonica]	Danio_rerio_tr_M5BFV8_M5BFV8_DANRE tr|M5BFV8|M5BFV8_DANRE Collagen alpha-1_XXII_ chain precursor OS=Danio rerio OX=7955 GN=prp PE=1 SV=1
OG0000004	Coturnix_japonica_XP_015709146.1 collagen alpha-1_XXVIII_ chain [Coturnix japonica]	Danio_rerio_tr_F1QAB3_F1QAB3_DANRE tr|F1QAB3|F1QAB3_DANRE Collagen type XXVIII alpha 1 a precursor OS=Danio rerio OX=7955 GN=si_dkey-211m23.2 PE=1 SV=1, Danio_rerio_tr_C0H5W1_C0H5W1_DANRE tr|C0H5W1|C0H5W1_DANRE Collagen alpha-1_XXVIII_ chain isoform X1 _Fragment_ OS=Danio rerio OX=7955 GN=col28a1 PE=1 SV=1, Danio_rerio_tr_A0A060Q6E4_A0A060Q6E4_DANRE tr|A0A060Q6E4|A0A060Q6E4_DANRE Collagen type XXVIII alpha 1 b OS=Danio rerio OX=7955 GN=col28a1d PE=2 SV=1
OG0000005	Coturnix_japonica_XP_015715407.1 meprin A subunit alpha [Coturnix japonica]	Danio_rerio_tr_Q5RHM1_Q5RHM1_DANRE tr|Q5RHM1|Q5RHM1_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=MEP1A PE=2 SV=1, Danio_rerio_tr_B3DKP9_B3DKP9_DANRE tr|B3DKP9|B3DKP9_DANRE Meprin A subunit OS=Danio rerio OX=7955 GN=si_dkey-30j22.6 PE=2 SV=1
OG0000005	Coturnix_japonica_XP_015710982.1 meprin A subunit beta isoform X1 [Coturnix japonica]	Danio_rerio_tr_B8JKC0_B8JKC0_DANRE tr|B8JKC0|B8JKC0_DANRE Meprin A subunit OS=Danio rerio OX=7955 GN=mep1b PE=4 SV=1
OG0000005	Coturnix_japonica_XP_015720065.1 astacin-like metalloendopeptidase [Coturnix japonica]	Danio_rerio_tr_Q1LW00_Q1LW00_DANRE tr|Q1LW00|Q1LW00_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=cb284 PE=1 SV=1, Danio_rerio_tr_Q4G0A2_Q4G0A2_DANRE tr|Q4G0A2|Q4G0A2_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=he1 PE=2 SV=1, Danio_rerio_sp_Q1LW01_HE12_DANRE sp|Q1LW01|HE12_DANRE Hatching enzyme 1.2 OS=Danio rerio OX=7955 GN=he1.2 PE=1 SV=1, Danio_rerio_tr_A4VCG4_A4VCG4_DANRE tr|A4VCG4|A4VCG4_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=he2 PE=2 SV=1
OG0000006	Coturnix_japonica_XP_015715861.1 sushi repeat-containing protein SRPX2 [Coturnix japonica]	Danio_rerio_tr_E7F8X0_E7F8X0_DANRE tr|E7F8X0|E7F8X0_DANRE Sushi repeat-containing protein SRPX2 isoform X1 OS=Danio rerio OX=7955 GN=srpx2 PE=4 SV=1
OG0000006	Coturnix_japonica_XP_015740022.1 sushi repeat-containing protein SRPX isoform X1 [Coturnix japonica]	Danio_rerio_tr_Q58ED3_Q58ED3_DANRE tr|Q58ED3|Q58ED3_DANRE Sushi repeat-containing protein SRPX precursor OS=Danio rerio OX=7955 GN=sprx PE=1 SV=1
OG0000007	Coturnix_japonica_XP_015705002.1 growth arrest-specific protein 6 [Coturnix japonica]	Danio_rerio_tr_Q7T3H4_Q7T3H4_DANRE tr|Q7T3H4|Q7T3H4_DANRE Growth arrest-specific 6 OS=Danio rerio OX=7955 GN=fj34a12 PE=2 SV=1
OG0000007	Coturnix_japonica_XP_015712174.1 fibulin-7 [Coturnix japonica]	Danio_rerio_tr_E7FFU9_E7FFU9_DANRE tr|E7FFU9|E7FFU9_DANRE Fibulin 7 OS=Danio rerio OX=7955 GN=fbln7 PE=4 SV=1
OG0000007	Coturnix_japonica_XP_015726540.1 sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 [Coturnix japonica]	Danio_rerio_tr_E7F2S5_E7F2S5_DANRE tr|E7F2S5|E7F2S5_DANRE Sushi_ nidogen and EGF-like domain-containing protein 1 isoform X1 OS=Danio rerio OX=7955 GN=sned1 PE=4 SV=1
OG0000009	Coturnix_japonica_XP_015722340.1 tolloid-like protein 2 [Coturnix japonica], Coturnix_japonica_XP_015716446.1 tolloid-like protein 1 isoform X1 [Coturnix japonica]	Danio_rerio_sp_O57460_TLL1_DANRE sp|O57460|TLL1_DANRE Dorsal-ventral patterning tolloid-like protein 1 OS=Danio rerio OX=7955 GN=tll1 PE=2 SV=1, Danio_rerio_tr_B3DJN6_B3DJN6_DANRE tr|B3DJN6|B3DJN6_DANRE Metalloendopeptidase OS=Danio rerio OX=7955 GN=tll1 PE=2 SV=1
OG0000009	Coturnix_japonica_XP_015724525.1 tumor necrosis factor-inducible gene 6 protein [Coturnix japonica]	Danio_rerio_tr_Q1RLU5_Q1RLU5_DANRE tr|Q1RLU5|Q1RLU5_DANRE Tumor necrosis factor_ alpha-induced protein 6 OS=Danio rerio OX=7955 GN=tnfaip6 PE=2 SV=1, Danio_rerio_tr_B0UY56_B0UY56_DANRE tr|B0UY56|B0UY56_DANRE Tumor necrosis factor_ alpha-induced protein 6 OS=Danio rerio OX=7955 GN=si_dkey-89p3.1 PE=4 SV=1
OG0000009	Coturnix_japonica_XP_015726956.1 procollagen C-endopeptidase enhancer 2 isoform X2 [Coturnix japonica]	Danio_rerio_tr_X1WD58_X1WD58_DANRE tr|X1WD58|X1WD58_DANRE Procollagen C-endopeptidase enhancer 2 OS=Danio rerio OX=7955 GN=pcolce2a PE=4 SV=2, Danio_rerio_tr_Q7SY25_Q7SY25_DANRE tr|Q7SY25|Q7SY25_DANRE Procollagen C-endopeptidase enhancer 2 precursor OS=Danio rerio OX=7955 GN=zgc_63590 PE=2 SV=1
OG0000010	Coturnix_japonica_XP_015727630.1 immunoglobulin superfamily member 10 isoform X1 [Coturnix japonica]	Danio_rerio_tr_E7F5U2_E7F5U2_DANRE tr|E7F5U2|E7F5U2_DANRE Immunoglobulin superfamily member 10 OS=Danio rerio OX=7955 GN=igsf10 PE=4 SV=1
OG0000010	Coturnix_japonica_XP_015704262.1 LOW QUALITY PROTEIN_ matrix-remodeling-associated protein 5 [Coturnix japonica]	Danio_rerio_tr_F1QHX4_F1QHX4_DANRE tr|F1QHX4|F1QHX4_DANRE Matrix-remodeling-associated protein 5 OS=Danio rerio OX=7955 GN=mxra5b PE=4 SV=2, Danio_rerio_tr_A0A8M1QK92_A0A8M1QK92_DANRE tr|A0A8M1QK92|A0A8M1QK92_DANRE Matrix-remodeling-associated protein 5 OS=Danio rerio OX=7955 GN=mxra5a PE=4 SV=1
OG0000010	Coturnix_japonica_XP_015738166.1 agrin isoform X4 [Coturnix japonica]	Danio_rerio_tr_A0A0R4IJ40_A0A0R4IJ40_DANRE tr|A0A0R4IJ40|A0A0R4IJ40_DANRE Agrin OS=Danio rerio OX=7955 GN=hm_gc12 PE=1 SV=1, Danio_rerio_tr_B3GQ72_B3GQ72_DANRE tr|B3GQ72|B3GQ72_DANRE Agrin OS=Danio rerio OX=7955 GN=wu_fb57e07 PE=1 SV=1
OG0000010	Coturnix_japonica_XP_015704191.1 follistatin isoform X1 [Coturnix japonica]	Danio_rerio_tr_A7MBP8_A7MBP8_DANRE tr|A7MBP8|A7MBP8_DANRE Follistatin b isoform 2 precursor OS=Danio rerio OX=7955 GN=fst2 PE=2 SV=1, Danio_rerio_tr_Q2PMI4_Q2PMI4_DANRE tr|Q2PMI4|Q2PMI4_DANRE Follistatin 2 OS=Danio rerio OX=7955 GN=fst2 PE=2 SV=1, Danio_rerio_sp_Q9YHV4_FSTA_DANRE sp|Q9YHV4|FSTA_DANRE Follistatin-A OS=Danio rerio OX=7955 GN=fsta PE=2 SV=2
OG0000010	Coturnix_japonica_XP_015741848.1 follistatin-related protein 3 [Coturnix japonica]	Danio_rerio_tr_A4IG14_A4IG14_DANRE tr|A4IG14|A4IG14_DANRE Follistatin-like 3 _secreted glycoprotein_ OS=Danio rerio OX=7955 GN=zgc_114170 PE=2 SV=1
OG0000011	Coturnix_japonica_XP_015730064.1 hepatocyte growth factor-like protein isoform X1 [Coturnix japonica]	Danio_rerio_tr_Q90ZN6_Q90ZN6_DANRE tr|Q90ZN6|Q90ZN6_DANRE Hepatocyte growth factor-like 1 OS=Danio rerio OX=7955 GN=hgfl1 PE=2 SV=1
OG0000011	Coturnix_japonica_XP_015734132.1 hepatocyte growth factor isoform X4 [Coturnix japonica]	Danio_rerio_tr_Q5RGG3_Q5RGG3_DANRE tr|Q5RGG3|Q5RGG3_DANRE Hepatocyte growth factor OS=Danio rerio OX=7955 GN=hgf1 PE=3 SV=1, Danio_rerio_tr_F1REK1_F1REK1_DANRE tr|F1REK1|F1REK1_DANRE Hepatocyte growth factor OS=Danio rerio OX=7955 GN=hgf1 PE=3 SV=1
OG0000011	Coturnix_japonica_XP_015719970.1 prothrombin [Coturnix japonica]	Danio_rerio_tr_E7FAN5_E7FAN5_DANRE tr|E7FAN5|E7FAN5_DANRE Prothrombin OS=Danio rerio OX=7955 GN=wu_fb57c10 PE=1 SV=1, Danio_rerio_tr_Q7SXH8_Q7SXH8_DANRE tr|Q7SXH8|Q7SXH8_DANRE Prothrombin OS=Danio rerio OX=7955 GN=zgc_66319 PE=1 SV=1
OG0000011	Coturnix_japonica_XP_015722804.1 hyaluronan-binding protein 2 [Coturnix japonica]	Danio_rerio_tr_F1QW52_F1QW52_DANRE tr|F1QW52|F1QW52_DANRE Hyaluronan-binding protein 2 OS=Danio rerio OX=7955 GN=fd56a04 PE=1 SV=2
OG0000011	Coturnix_japonica_XP_015722037.1 urokinase-type plasminogen activator [Coturnix japonica]	Danio_rerio_tr_D3GE88_D3GE88_DANRE tr|D3GE88|D3GE88_DANRE Plasminogen activator_ urokinase a OS=Danio rerio OX=7955 GN=si_dkey-252g6.1 PE=2 SV=1, Danio_rerio_tr_G8CXX6_G8CXX6_DANRE tr|G8CXX6|G8CXX6_DANRE Plasminogen activator_ urokinase b OS=Danio rerio OX=7955 GN=wu_fk07g01 PE=2 SV=1
OG0000011	Coturnix_japonica_XP_015738580.1 tissue-type plasminogen activator [Coturnix japonica]	Danio_rerio_tr_F1QB78_F1QB78_DANRE tr|F1QB78|F1QB78_DANRE Plasminogen activator OS=Danio rerio OX=7955 GN=plat PE=3 SV=1
OG0000011	Coturnix_japonica_XP_015713548.1 plasminogen [Coturnix japonica]	Danio_rerio_tr_F1Q890_F1Q890_DANRE tr|F1Q890|F1Q890_DANRE Plasminogen OS=Danio rerio OX=7955 GN=wu_fb70e09 PE=1 SV=1
OG0000011	Coturnix_japonica_XP_015733606.1 phosphoinositide-3-kinase-interacting protein 1 isoform X1 [Coturnix japonica]	Danio_rerio_sp_Q7SXB3_P3IP1_DANRE sp|Q7SXB3|P3IP1_DANRE Phosphoinositide-3-kinase-interacting protein 1 OS=Danio rerio OX=7955 GN=pik3ip1 PE=2 SV=1
OG0000012	Coturnix_japonica_XP_015719204.1 PREDICTED_ mucin-6 [Coturnix japonica], Coturnix_japonica_XP_015719203.1 PREDICTED_ LOW QUALITY PROTEIN_ mucin-2 [Coturnix japonica], Coturnix_japonica_XP_015719308.1 mucin-5AC [Coturnix japonica]	Danio_rerio_tr_X1WBL9_X1WBL9_DANRE tr|X1WBL9|X1WBL9_DANRE Mucin 5.1_ oligomeric mucus/gel-forming OS=Danio rerio OX=7955 GN=muc5.1 PE=1 SV=1
OG0000012	Coturnix_japonica_XP_015708265.1 PREDICTED_ SCO-spondin [Coturnix japonica], Coturnix_japonica_XP_015726977.1 von Willebrand factor [Coturnix japonica], Coturnix_japonica_XP_015719635.1 otogelin isoform X2 [Coturnix japonica]	Danio_rerio_tr_E7F9Z1_E7F9Z1_DANRE tr|E7F9Z1|E7F9Z1_DANRE von Willebrand factor OS=Danio rerio OX=7955 GN=VWF PE=1 SV=3
OG0000012	Coturnix_japonica_XP_015739529.1 alpha-tectorin isoform X2 [Coturnix japonica], Coturnix_japonica_XP_015739529.1 alpha-tectorin isoform X2 [Coturnix japonica]	Danio_rerio_tr_A0A8M3ASW3_A0A8M3ASW3_DANRE tr|A0A8M3ASW3|A0A8M3ASW3_DANRE Alpha-tectorin isoform X1 OS=Danio rerio OX=7955 GN=tecta PE=1 SV=1
OG0000012	Coturnix_japonica_XP_015710551.1 BMP-binding endothelial regulator protein isoform X1 [Coturnix japonica]	Danio_rerio_tr_A6H8K2_A6H8K2_DANRE tr|A6H8K2|A6H8K2_DANRE BMP-binding endothelial regulator protein precursor OS=Danio rerio OX=7955 GN=cvl2 PE=2 SV=1, Danio_rerio_tr_Q5D734_Q5D734_DANRE tr|Q5D734|Q5D734_DANRE Crossveinless 2 OS=Danio rerio OX=7955 GN=cvl2 PE=1 SV=1
OG0000013	Coturnix_japonica_XP_015708300.1 protein Wnt-16 [Coturnix japonica]	Danio_rerio_tr_A5WVL3_A5WVL3_DANRE tr|A5WVL3|A5WVL3_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=zgc_77293 PE=3 SV=1
OG0000013	Coturnix_japonica_XP_015724725.1 protein Wnt-6 isoform X2 [Coturnix japonica]	Danio_rerio_tr_F1R205_F1R205_DANRE tr|F1R205|F1R205_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt6b PE=3 SV=1
OG0000013	Coturnix_japonica_XP_015742371.1 proto-oncogene Wnt-1 [Coturnix japonica]	Danio_rerio_tr_B3DI55_B3DI55_DANRE tr|B3DI55|B3DI55_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt1 PE=2 SV=1, Danio_rerio_sp_P24257_WNT1_DANRE sp|P24257|WNT1_DANRE Protein Wnt-1 OS=Danio rerio OX=7955 GN=wnt1 PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015740945.1 PREDICTED_ proto-oncogene Wnt-3 [Coturnix japonica]	Danio_rerio_tr_B0LK22_B0LK22_DANRE tr|B0LK22|B0LK22_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt3 PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015708521.1 PREDICTED_ protein Wnt-3a [Coturnix japonica]	Danio_rerio_tr_Q6IYD9_Q6IYD9_DANRE tr|Q6IYD9|Q6IYD9_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=Zwnt[a] PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015737876.1 protein Wnt-4 isoform X2 [Coturnix japonica]	Danio_rerio_tr_Q9IAU3_Q9IAU3_DANRE tr|Q9IAU3|Q9IAU3_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt4b PE=2 SV=1, Danio_rerio_tr_Q1RLW9_Q1RLW9_DANRE tr|Q1RLW9|Q1RLW9_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt4a PE=2 SV=1, Danio_rerio_sp_P47793_WNT4A_DANRE sp|P47793|WNT4A_DANRE Protein Wnt-4a OS=Danio rerio OX=7955 GN=wnt4a PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015720854.1 protein Wnt-5b [Coturnix japonica]	Danio_rerio_sp_Q92050_WNT5B_DANRE sp|Q92050|WNT5B_DANRE Protein Wnt-5b OS=Danio rerio OX=7955 GN=wnt5b PE=2 SV=1, Danio_rerio_tr_B3DI33_B3DI33_DANRE tr|B3DI33|B3DI33_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt5b PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015730917.1 protein Wnt-5a isoform X2 [Coturnix japonica]	Danio_rerio_tr_A1BPR0_A1BPR0_DANRE tr|A1BPR0|A1BPR0_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt5a PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015707967.1 protein Wnt-11 isoform X1 [Coturnix japonica]	Danio_rerio_sp_O73864_WNT11_DANRE sp|O73864|WNT11_DANRE Protein Wnt-11 OS=Danio rerio OX=7955 GN=wnt11 PE=2 SV=1, Danio_rerio_tr_B8JM95_B8JM95_DANRE tr|B8JM95|B8JM95_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=Slb/Wnt11 PE=3 SV=1, Danio_rerio_tr_Q9I9I2_Q9I9I2_DANRE tr|Q9I9I2|Q9I9I2_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt11r PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015725941.1 PREDICTED_ protein Wnt-7b [Coturnix japonica]	Danio_rerio_tr_Q4JLT0_Q4JLT0_DANRE tr|Q4JLT0|Q4JLT0_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt7a PE=2 SV=1, Danio_rerio_tr_F1Q5B7_F1Q5B7_DANRE tr|F1Q5B7|F1Q5B7_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt7ba PE=3 SV=1
OG0000013	Coturnix_japonica_XP_015709062.1 protein Wnt-2 [Coturnix japonica]	Danio_rerio_sp_Q92048_WNT2_DANRE sp|Q92048|WNT2_DANRE Protein Wnt-2 OS=Danio rerio OX=7955 GN=wnt2 PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015740732.1 protein Wnt-2b [Coturnix japonica]	Danio_rerio_tr_Q8AY89_Q8AY89_DANRE tr|Q8AY89|Q8AY89_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt2b PE=2 SV=1, Danio_rerio_tr_Q1L130_Q1L130_DANRE tr|Q1L130|Q1L130_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt2bb PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015731087.1 protein Wnt-8a [Coturnix japonica]	Danio_rerio_tr_Q90YL8_Q90YL8_DANRE tr|Q90YL8|Q90YL8_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt8 PE=3 SV=1, Danio_rerio_sp_P51028_WNT8A_DANRE sp|P51028|WNT8A_DANRE Protein Wnt-8a OS=Danio rerio OX=7955 GN=wnt8a PE=2 SV=2
OG0000013	Coturnix_japonica_XP_015721972.1 PREDICTED_ protein Wnt-8b [Coturnix japonica]	Danio_rerio_sp_P51029_WNT8B_DANRE sp|P51029|WNT8B_DANRE Protein Wnt-8b OS=Danio rerio OX=7955 GN=wnt8b PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015724730.1 protein Wnt-10a [Coturnix japonica]	Danio_rerio_tr_B0V1G8_B0V1G8_DANRE tr|B0V1G8|B0V1G8_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=WNT-10A PE=3 SV=1, Danio_rerio_sp_P43446_WN10A_DANRE sp|P43446|WN10A_DANRE Protein Wnt-10a OS=Danio rerio OX=7955 GN=wnt10a PE=1 SV=1
OG0000013	Coturnix_japonica_XP_015740908.1 PREDICTED_ protein Wnt-9b [Coturnix japonica]	Danio_rerio_tr_B6V3E2_B6V3E2_DANRE tr|B6V3E2|B6V3E2_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=wnt9b PE=2 SV=1
OG0000013	Coturnix_japonica_XP_015708473.1 protein Wnt-9a [Coturnix japonica]	Danio_rerio_tr_B6V3E1_B6V3E1_DANRE tr|B6V3E1|B6V3E1_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=zgc_153617 PE=2 SV=1, Danio_rerio_tr_Q0P406_Q0P406_DANRE tr|Q0P406|Q0P406_DANRE Protein Wnt OS=Danio rerio OX=7955 GN=zgc_153617 PE=2 SV=1
OG0000014	Coturnix_japonica_XP_015704587.1 ADAMTS-like protein 1 isoform X1 [Coturnix japonica], Coturnix_japonica_XP_015728496.1 ADAMTS-like protein 3 isoform X1 [Coturnix japonica]	Danio_rerio_tr_E7FBX1_E7FBX1_DANRE tr|E7FBX1|E7FBX1_DANRE ADAMTS-like 3 OS=Danio rerio OX=7955 GN=adamtsl3 PE=4 SV=3
OG0000014	Coturnix_japonica_XP_015729658.1 A disintegrin and metalloproteinase with thrombospondin motifs 18 isoform X1 [Coturnix japonica]	Danio_rerio_tr_E7FEJ5_E7FEJ5_DANRE tr|E7FEJ5|E7FEJ5_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 18 isoform X1 OS=Danio rerio OX=7955 GN=adamts18 PE=4 SV=1
OG0000014	Coturnix_japonica_XP_015731090.1 PREDICTED_ A disintegrin and metalloproteinase with thrombospondin motifs 2 [Coturnix japonica]	Danio_rerio_tr_A0A0R4ISF7_A0A0R4ISF7_DANRE tr|A0A0R4ISF7|A0A0R4ISF7_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 2 isoform X1 OS=Danio rerio OX=7955 GN=adamts2 PE=4 SV=2
OG0000014	Coturnix_japonica_XP_015721929.1 A disintegrin and metalloproteinase with thrombospondin motifs 14 isoform X4 [Coturnix japonica], Coturnix_japonica_XP_015717246.1 A disintegrin and metalloproteinase with thrombospondin motifs 3 isoform X1 [Coturnix japonica]	Danio_rerio_tr_S5RVW8_S5RVW8_DANRE tr|S5RVW8|S5RVW8_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 3 precursor OS=Danio rerio OX=7955 GN=adamts3 PE=2 SV=1
OG0000014	Coturnix_japonica_XP_015704104.1 A disintegrin and metalloproteinase with thrombospondin motifs 6 isoform X2 [Coturnix japonica]	Danio_rerio_tr_A0A8M6Z1D0_A0A8M6Z1D0_DANRE tr|A0A8M6Z1D0|A0A8M6Z1D0_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 6 isoform X1 OS=Danio rerio OX=7955 GN=adamts6 PE=4 SV=1
OG0000014	Coturnix_japonica_XP_015742113.1 PREDICTED_ A disintegrin and metalloproteinase with thrombospondin motifs 10 isoform X1 [Coturnix japonica]	Danio_rerio_tr_A0A8M1NG56_A0A8M1NG56_DANRE tr|A0A8M1NG56|A0A8M1NG56_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 10 isoform X1 OS=Danio rerio OX=7955 GN=si_dkey-45m5.4 PE=4 SV=1
OG0000014	Coturnix_japonica_XP_015728774.1 A disintegrin and metalloproteinase with thrombospondin motifs 7 isoform X3 [Coturnix japonica], Coturnix_japonica_XP_015703899.1 A disintegrin and metalloproteinase with thrombospondin motifs 12 [Coturnix japonica]	Danio_rerio_tr_F1R8A1_F1R8A1_DANRE tr|F1R8A1|F1R8A1_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 12 OS=Danio rerio OX=7955 GN=adamts12 PE=4 SV=2
OG0000014	Coturnix_japonica_XP_015720070.1 papilin isoform X1 [Coturnix japonica]	Danio_rerio_tr_Q503V4_Q503V4_DANRE tr|Q503V4|Q503V4_DANRE Papilin b_ proteoglycan-like sulfated glycoprotein OS=Danio rerio OX=7955 GN=wu_fi31b03 PE=2 SV=1
OG0000014	Coturnix_japonica_XP_015710221.1 PREDICTED_ LOW QUALITY PROTEIN_ A disintegrin and metalloproteinase with thrombospondin motifs 20_ partial [Coturnix japonica], Coturnix_japonica_XP_015730744.1 A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform X2 [Coturnix japonica]	Danio_rerio_tr_G3G3K0_G3G3K0_DANRE tr|G3G3K0|G3G3K0_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 9 OS=Danio rerio OX=7955 GN=adamts9 PE=2 SV=1
OG0000014	Coturnix_japonica_XP_015737403.1 A disintegrin and metalloproteinase with thrombospondin motifs 5 [Coturnix japonica]	Danio_rerio_tr_G3G3J8_G3G3J8_DANRE tr|G3G3J8|G3G3J8_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 5 precursor OS=Danio rerio OX=7955 GN=adamts5 PE=2 SV=1
OG0000014	Coturnix_japonica_XP_015739474.1 A disintegrin and metalloproteinase with thrombospondin motifs 15 [Coturnix japonica]	Danio_rerio_tr_X1WDJ8_X1WDJ8_DANRE tr|X1WDJ8|X1WDJ8_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 15-like OS=Danio rerio OX=7955 GN=LOC100002059 PE=4 SV=1, Danio_rerio_tr_A2BIA3_A2BIA3_DANRE tr|A2BIA3|A2BIA3_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 15 precursor OS=Danio rerio OX=7955 GN=adamts15 PE=4 SV=1
OG0000014	Coturnix_japonica_XP_015736363.1 A disintegrin and metalloproteinase with thrombospondin motifs 1 [Coturnix japonica], Coturnix_japonica_XP_015739476.1 A disintegrin and metalloproteinase with thrombospondin motifs 8 [Coturnix japonica]	Danio_rerio_tr_E7EYL5_E7EYL5_DANRE tr|E7EYL5|E7EYL5_DANRE A disintegrin and metalloproteinase with thrombospondin motifs 8 OS=Danio rerio OX=7955 GN=LOC100001991 PE=4 SV=1
